"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","VideoURL1","SkillGemsKey","VideoURL2","CharactersKeys"
10,"FreezingPulse&Volley","Increases the number of projectiles Freezing Pulse casts. Projectiles are in parallel to each other allowing a greater number of targets to be hit at once.","Augmente la quantité de projectiles envoyés par Pulsation glaciale en les positionnant parallèlement les uns aux autres, afin que le sort puisse toucher plus d'ennemis à la fois.","Erhöht die Anzahl der Projektile, die man mit 'Frostpuls' zaubert. Die Projektile werden parallel abgefeuert, wodurch man gleichzeitig mehr Ziele auf einmal treffen kann.","フリージングパルスの投射物の数が増加する。投射物は平行に発射され、一度により多くの敵にヒットする。","동결 파동이 더 많은 투사체를 생성합니다. 이 투사체는 평행으로 날아가기 때문에 한 번에 더 많은 대상을 명중할 수 있습니다.","Aumenta a quantidade de projéteis que o Pulso Congelante conjura. Os projéteis são paralelos uns aos outros, permitindo que uma maior quantidade de alvos sejam acertados de uma vez.","Увеличивает количество снарядов Волны холода. Снаряды летят параллельно друг другу, что позволяет единовременно поразить большое количество целей.","Aumenta el número de proyectiles que lanza Pulso Congelante. Los proyectiles son paralelos entre sí, lo que permite golpear muchos objetivos al mismo tiempo.","เพิ่มจำนวนกระสุนที่ร่ายออกมาจาก คลื่นเยือกแข็ง (Freezing Pulse) กระสุนจะยิงออกมาแบบขนานกัน ทำให้มันสามารถปะทะเป้าหมายจำนวนมากขึ้นในคราวเดียว","增加冰霜脈衝的投射物數量。投射物以水平的型式發射，可以一次擊中大量的目標。","http://web.poecdn.com/public/videos/FreezingPulse/FreezingPulse+Volley.bk2 ",345,"http://down.qq.com/poe/videos/skills/FreezingPulse/FreezingPulse+Volley.bk2","[2,4,0,1,5,3]"
11,"LightingTendrils&AddedLightningDamage","Increases the amount of flat lightning damage your Lightning Tendrils does.","Augmente la quantité de Dégâts de foudre bruts infligés par Filaments de foudre.","Fügt 'Blitzranken' zusätzlichen Blitzschaden hinzu.","ライトニングテンドリルによる、フラット雷ダメージが増加する。","덩굴 번개가 주는 균일 번개 피해가 증가합니다.","Aumenta a quantidade de dano de raio puro que seus Tentáculos Relampejantes causam.","Увеличивает количество плоского урона от молнии, который наносят ваши Побеги молний.","Aumenta la cantidad de daño fijo de rayo que infligen tus Centellas.","เพิ่มความเสียหาย สายฟ้า ตายตัวให้กับ สายฟ้าแลบ (Lightning Tendrils)","增加你的電能釋放的總傷害。","http://web.poecdn.com/public/videos/LightningTendrils/Lighting%20Tendrils+AddedLightningDamage.bk2",41,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightningTendrils+AddedLightningDamage.bk2","[6,2,1,5]"
12,"LightingTendrils&ControlledDestruction","Grants more spell damage to Lightning Tendrils but reduces critical strike chance. The more spell damage provided by this support allows a direct and stable increase in damage, not contingent on critical strikes.","Octroie Davantage de Dégâts des sorts à Filaments de foudre, mais réduit ses chances d'infliger un Coup critique. Cette Gemme de soutien a pour avantage d'améliorer vos dégâts de manière fiable, puisque vous dépendrez moins du hasard des Coups critiques.","Verringert zwar die Chance auf kritische Treffer, gewährt 'Blitzranken' jedoch mehr Zauberschaden, der zu einer direkten und stabilen Schadenserhöhung führt, die nicht von kritischen Treffern abhängig ist.","ライトニングテンドリルのスペルダメージが上昇するが、クリティカル率が低下する。このサポートによるスペルダメージの上昇はクリティカルに左右されず、直接的で安定したダメージ増加を可能にする。","덩굴 번개의 주문 피해가 증폭하지만 치명타 확률은 감소합니다. 이 영향으로 주문 피해가 증폭하여 치명타에 의존하지 않아도 안정적이면서 직접적으로 더 많은 피해를 줄 수 있습니다.","Concede mais dano mágico aos Tentáculos Relampejantes, mas reduz a chance de golpe crítico. O modificador de \""mais dano mágico\"" concedido por este suporte permite um aumento direto e estável de dano independente dos golpes críticos.","Дает больше урона от чар Побегам молний, но снижает шанс критического удара. Свойство \""больше урона от чар\"", которое дает этот камень поддержки, обеспечивает прямое и стабильное увеличение урона, не зависящее от критических ударов.","Otorga más daño de hechizos a Centellas, pero reduce su probabilidad de golpe crítico. El aumento de daño de hechizos que otorga esta asistencia permite un aumento directo y estable del daño que no depende de los golpes críticos.","เพิ่มความเสียหาย เวท อีก ให้กับ สายฟ้าแลบ (Lightning Tendrils) แต่ลดโอกาสคริติคอล การเพิ่มความเสียหาย เวท อีก ของหินเสริมนี้จะเป็นการเพิ่มความเสียหายโดยตรงและเสถียรกว่าความเสียหายคริติคอลที่เอาแน่เอานอนไม่ได้","電能釋放獲得更多法術傷害，但會減少暴擊率。此輔助會提供更多法術傷害，直接並穩定的增加傷害，並不用依靠暴擊。","http://web.poecdn.com/public/videos/LightningTendrils/LightningTendrils+ControlledDestruction.bk2 ",306,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightningTendrils+ControlledDestruction.bk2",[]
13,"LightingTendrils&ElementalFocus","Removes the ability for Lightning Tendrils to inflict elemental ailments, such as shock, on enemies. However, it significantly boosts Lightning Tendril's elemental damage.","Empêche Filaments de foudre d'appliquer des Altérations élémentaires, telles que l'Électrocution. En contrepartie, cette Gemme de soutien améliore grandement les Dégâts élémentaires de Filaments de foudre.","Nimmt zwar die Fähigkeit, durch 'Blitzranken' bei Gegnern Beeinträchtigungen zu verursachen (wie zum Beispiel Schock), führt jedoch zu einer beträchtlichen Steigerung des Elementarschadens.","ライトニングテンドリルが敵に対して感電などの元素状態異常を付与できなくなるが、ライトニングテンドリルの元素ダメージを大きく増加させることができる。","덩굴 번개가 적에게 감전과 같은 원소 상태 이상을 유발할 수는 없으나 막대한 원소 피해를 줄 수 있습니다.","Remove a habilidade dos Tentáculos Relampejantes de infligirem afecções elementais, tais como eletrização, nos inimigos, mas aumenta significativamente o dano elemental dos Tentáculos Relampejantes.","Ваши Побеги молний не смогут накладывать на врагов стихийные состояния, такие как шок. Однако, урон от стихий Побегов молний будет существенно увеличен.","Elimina la capacidad de que Centellas pueda aplicar estados alterados elementales a los enemigos, como por ejemplo electrocución. Sin embargo, aumenta significativamente la cantidad de daño elemental que inflige la habilidad.","ทำให้ สายฟ้าแลบ (Lightning Tendrils) ไม่สามารถสร้างสถานะ เจ็บป่วยธาตุ อย่างเช่น ลุกไหม้ ต่อศัตรูได้อีกต่อไป แต่ทว่า มันจะเพิ่มความเสียหาย ธาตุ ให้กับ สายฟ้าแลบ เป็นอย่างมาก","使電能釋放無法對敵人造成元素異常狀態，像是感電。但它會大量增加電能釋放的元素傷害。","http://web.poecdn.com/public/videos/LightningTendrils/LightningTendrils+ElementalFocus_1.bk2 ",315,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightingTendrils+ElementalFocus.bk2",[]
14,"LightingTendrils&LightningPenetration","Reduces enemy resistance to lightning damage, making them take more lightning damage from Lightning Tendrils.","Réduit la Résistance à la foudre des ennemis, permettant ainsi à Filaments de foudre de leur infliger plus de Dégâts de foudre.","Verringert den Blitzwiderstand von Gegnern und lässt diese durch 'Blitzranken' mehr Blitzschaden erleiden.","敵の雷ダメージへの耐性を下げ、敵がライトニングテンドリルから受ける雷ダメージを上昇させる。","적의 번개 피해 저항을 감소시켜, 덩굴 번개에 더 큰 번개 피해를 받게 합니다.","Reduz a resistência a dano de raio dos inimigos, fazendo com que sofram mais danod e raio dos Tentáculos Relampejantes.","Уменьшает вражеское сопротивление молнии, заставляя их получать больше урона от молнии от Побегов молний.","Reduce la resistencia de los enemigos al daño de rayo, y con esto aumenta el daño que reciben cuando son golpeados por Centellas.","ลดค่าต้านทาน สายฟ้า ของศัตรู ทำให้มันได้รับความเสียหาย สายฟ้า จาก สายฟ้าแลบ (Lightning Tendrils) เพิ่มขึ้น อีก","減少敵人的閃電抗性，使他們承受更多電能釋放的閃電傷害。","http://web.poecdn.com/public/videos/LightningTendrils/LightningTendrils+ElementalFocus_1.bk2 ",175,"http://down.qq.com/poe/videos/skills/LightningTendrils/LightningTendrils+LightningPenetration.bk2",[]
15,"MagmaOrb&Combustion","Gives Rolling Magma more fire damage, additional chance to ignite enemies and reduces the fire resistance of ignited enemies. This makes it a great all-round support for any fire based skill.","Octroie Davantage de dégâts à Magma déferlant, ainsi que plus de chances d'Embraser. De plus, Soutien : Combustion réduit la Résistance au feu des ennemis Embrasés. Cette polyvalance fait que cette Gemme de soutien s'avère utile avec un bon nombre d'aptitudes de feu.","Gewährt 'Magmakugel' mehr Feuerschaden, eine höhere Chance auf Entzünden und verringert den Feuerwiderstand von entzündeten Gegnern, wodurch sich diese Unterstützungsgemme für alle Feuerfertigkeiten eignet.","ローリングマグマによる火ダメージが上昇し、敵に対する発火率を上げるとともに、発火した敵の炎耐性を減少させる。全ての火系スキルにとって万能なサポートである。","몰려오는 마그마로 주는 화염 피해가 증폭하고 적을 점화할 확률이 증가하며 점화된 적의 화염 저항력은 감소합니다. 이 보조 젬은 모든 화염 기반 스킬을 보조합니다.","Dá à Bola de Magma mais dano de fogo, chance adicional de incendiar os inimigos e reduz a resistência a fogo do inimigo incendiado. Isso o torna um suporte muito bom para qualquer habilidade baseada em fogo.","Дарует Ползучей магме больше урона от огня, дополнительный шанс поджечь врагов, и уменьшает сопротивление подожжённых врагов огню. Этот камень поддержки отлично подойдёт к любому огненному умению.","Otorga más daño de fuego y probabilidad adicional de quemar enemigos a Bola de magma, y reduce la resistencia al fuego de los enemigos quemados. Esto hace que sea una asistencia muy completa para cualquier habilidad de fuego.","เพิ่มความเสียหาย ไฟ อีก ให้กับ กระสุนหินหลอม (Rolling Magma) และเพิ่มโอกาสสร้างสถานะ ลุกไหม้ ต่อศัตรู และลดค่าต้านทาน ไฟ ของศัตรูที่ติดสถานะลุกไหม้ มันจึงเป็นหินเสริมที่เหมาะกับสกิลไฟทุกสกิล","給予熔岩翻騰更多火焰傷害，有額外機率點燃敵人並減少被點燃敵人的火焰抗性。任何火焰基礎的技能都很適合此輔助。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrb+Combustion.bk2",110,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrb+Combustion.bk2","[6,0,1,5]"
16,"MagmaOrb&LMP","Increases the amount of projectiles Rolling Magma casts, allowing it to hit more targets at once.\n\nAt later levels, obtain the Greater Multiple Projectiles Support gem to hit enemies in a larger area.","Augmente la quantité de projectiles envoyés par Magma déferlant, permettant ainsi au sort de toucher plusieurs ennemis à la fois.\n\nPlus tard, vous pourrez également vous procurer Soutien : Projectiles multiples majeurs afin couvrir encore plus de terrain.","Erhöht die Projektilanzahl von 'Magmakugel', wodurch man gleichzeitig mehr Ziele auf einmal treffen kann.\n\nIm späteren Spielverlauf kann man die Gemme durch 'Unterstützung: Größere Projektilaufteilung' ersetzen, um damit Gegner in einem größeren Bereich zu treffen.","ローリングマグマが放つ投射物の数が増加し、一度により多くの敵にヒットする。\n\nレベルが上がり投射物追加（大）サポートジェムを手に入れれば、より広い範囲の敵をヒットできるようになる。","몰려오는 마그마 시전 시, 더 많은 투사체를 만들어 한 번에 더 많은 대상을 명중시킵니다.\n\n레벨이 높아지면 상위 다중 투사체 보조 젬을 사용하여 더 넓은 범위에 있는 적을 명중시킬 수도 있습니다.","Aumenta a quantidade de projéteis que a Bola de Magma conjura, permitindo que ele acerte mais alvos por vez.\n\nEm níveis superiores, adicione a gema de Suporte: Projéteis Múltiplos Maior para acertar inimigos em uma área maior.","Увеличивает количество снарядов Ползучей магмы, позволяя ей одновременно поражать больше целей.\n\nНа более высоких уровнях возьмите камень поддержки Много дополнительных снарядов, чтобы наносить удары врагам в большей области.","Aumenta la cantidad de proyectiles que lanza Bola de magma, lo que permitirá que golpee a más objetivos simultáneamente.\n\nA mayor nivel, obtén la gema de Asistencia de Proyectiles Múltiples Mayores para golpear enemigos en un área más grande.","เพิ่มจำนวนกระสุนที่ร่ายออกมาจาก กระสุนหินหลอม (Rolling Magma) ทำให้มันปะทะได้หลายเป้าหมายในคราวเดียว\n\nเมื่อเลเวลสูงขึ้น เปลี่ยนไปใช้ หินเสริม Greater Multiple Projectiles เพื่อปะทะศัตรูหลายตัวในพื้นที่ที่ใหญ่กว่าเดิม","增加熔岩翻騰的投射物數量，可以一次擊中大量的目標。\n\n在高等後可以獲得高階多重投射物輔助，可以擊中更大範圍的敵人。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrb+LesserMultipleProjections.bk2 ",36,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrb+LMP.bk2","[2,4,5,3,1]"
17,"MagmaOrb&FirePenetration","Reduces enemy resistance to fire damage, making them take more fire damage from Rolling Magma.","Réduit la Résistance au feu des ennemis, permettant ainsi à Magma déferlant de leur infliger plus de Dégâts de feu.","Verringert den Feuerwiderstand von Gegnern und lässt diese durch 'Magmakugel' mehr Feuerschaden erleiden.","敵の火ダメージへの耐性を下げ、敵がローリングマグマから受ける火ダメージを上昇させる。","적의 화염 피해 저항을 감소시켜, 몰려오는 마그마에 더 큰 화염 피해를 받게 합니다.","Reduz a resistência a fogo dos inimigos, fazendo com que sofram mais dano de fogo da Bola de Magma.","Уменьшает вражеское сопротивление огню, заставляя врагов получать больше урона от огня от Ползучей магмы.","Reduce la resistencia de los enemigos al daño de fuego, por lo que reciben más daño de fuego de Bola de magma.","ลดค่าต้านทาน ไฟ ของศัตรู ทำให้มันได้รับความเสียหาย น้ำแข็ง จาก กระสุนหินหลอม (Rolling Magma) เพิ่มขึ้น อีก","減少敵人的火焰抗性，使他們承受更多熔岩翻騰的火焰傷害。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrb+FirePenetration.bk2 ",173,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrb+FirePenetration.bk2",[]
18,"MagmaOrb&SpellEcho","Repeats Rolling Magma an additional time while also greatly increasing the cast speed.","Répète l'incantation de Magma déferlant tout en augmentant sa Vitesse d'incantation.","Wiederholt 'Magmakugel' ein zusätzliches Mal und erhöht zudem stark die Zaubergeschwindigkeit.","ローリングマグマを追加でもう一度繰り返すとともに、キャストスピードも大幅に増加させる。","몰려오는 마그마가 1회 더 시전되며 시전 속도도 크게 증가합니다.","Repete a Bola de Magma uma vez adicional, aumentando amplamente a velocidade de conjuração.","Ещё один раз повторно сотворяет Ползучую магму и значительно повышает скорость её сотворения.","Repite Bola de magma una vez adicional, además de aumentar en gran medida la velocidad de lanzamiento.","ทำให้ กระสุนหินหลอม (Rolling Magma) เกิดซ้ำเพิ่มเติม 1 ครั้ง และเพิ่มความเร็วในการร่ายเป็นอย่างยิ่ง","重複施放熔岩翻騰一次，同時也會增加施放速度。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrb+SpellEcho.bk2 ",189,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrb+SpellEcho.bk2",[]
19,"MagmaOrb&SlowerProjectiles","Increases Rolling Magma's damage and decreases the distance between each chain, allowing one orb to impact on a pack of monsters multiple times.","Augmente les dégâts de Magma déferlant et réduit la distance entre chaque Ricochet, permettant aux orbes de rebondir plusieurs fois au sein d'un même groupe de monstres.","Erhöht den Schaden von 'Magmakugel' und verringert die Distanz zwischen jeder Verkettung, wodurch eine Kugel eine Monstergruppe mehrfach treffen kann.","ローリングマグマのダメージを増加させ、各連鎖間の距離を減少させる。これにより、一つのオーブをモンスターの群れに複数回当てることが可能になる。","몰려오는 마그마의 피해가 증가하고 연쇄되는 거리가 감소하여 하나의 구체가 다수의 몬스터와 여러 번 충돌할 수 있습니다.","Aumenta o dano da Bola de Magma e reduz a distância entre cada sequência, permitindo que uma orbe acerte um grupo de monstros várias vezes.","Увеличивает урон Ползучей магмы и уменьшает дальность полёта снаряда между каждым нанесением удара по цепи, позволяя одному шару несколько раз поразить одну и ту же группу монстров.","Aumenta el daño de Bola de magma y reduce la distancia entre cada uno de sus encadenamientos, lo cual permitirá que un orbe impacte varias veces en un mismo grupo de monstruos.","เพิ่มความเสียหายให้กับ กระสุนหินหลอม (Rolling Magma) และลดระยะห่างระหว่างการชิ่งแต่ละครั้ง ทำให้ลูกบอล 1 ลูกมีโอกาสกระทบมอนสเตอร์แพ็คหนึ่งได้มากกว่า 1 ครั้ง","增加熔岩翻騰的傷害，並減少每次連鎖的距離，這可以使熔岩翻騰對怪物群造成多次傷害。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrb+SlowerProjectiles.bk2 ",210,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrb+SlowerProjectiles.bk2",[]
20,"MagmaOrb&Empower","Raises the gem level of Rolling Magma granting additional base fire damage and potentially allowing it to chain additional times. This is a drop-only gem that is very rare. Levelling this support gem takes a long time making it not very useful early on.","Augmente le niveau de Magma déferlant en lui donnant des Dégâts de feu de base supplémentaires, et en lui permettant potentiellement de faire plus de Ricochets. Soutien : Amélioration est une gemme très rare qui ne s'achète pas auprès de PNJ. De plus, elle nécessite une très grande quantité d'expérience pour monter en niveau — il lui faut donc un certain temps avant d'être utile.","Erhöht die Stufe der Magmakugel-Gemme, gewährt damit zusätzlichen Feuerschaden und eine potenziell höhere Anzahl an Verkettungen. Diese Gemme kann nur gefunden werden und ist sehr selten. Das Hochstufen der Gemme dauert relativ lange, weshalb sie am Anfang noch nicht nützlich ist.","ローリングマグマのジェムレベルを上げることで、追加基礎火ダメージを与えるとともに連鎖回数を追加する可能性もある。このジェムはドロップのみで手に入るため、とてもレアである。このジェムのレベルを上げるには時間がかかるので、ゲーム初期にはそれほど有用ではない。","몰려오는 마그마의 젬 레벨을 올려 기본 화염 피해를 증가시키고, 추가로 연쇄하게 합니다. 이 젬은 드롭으로만 획득 가능하므로 희귀한 아이템입니다. 이 보조 젬의 레벨을 올리려면 오랜 시간이 걸리므로 초반에는 그다지 유용하지 않습니다.","Aumenta o nível da gema Bola de Magma concedendo dano de fogo base adicional e potencialmente permitindo que ela  ricocheteie por vezes adicionais. Esta é uma gema que só pode ser derrubada e muito rara. Nivelar esta gema de suporte demora bastante, fazendo com que ela não seja muito útil no início.","Повышает уровень камня Ползучая магма, даёт дополнительный базовый урон от огня и открывает возможность нанесения дополнительных ударов по цепи. Это очень редкий камень, который может только выпасть. Повышение уровня этого камня занимает много времени, что делает его не очень полезным на ранних стадиях игры.","Aumenta el nivel de gema de Bola de magma, con lo que otorga daño de fuego base adicional y potencialmente permite que se encadene más veces. Esta gema solo puede caer de los monstruos como botín y es muy rara. Subir de nivel a esta gema de asistencia toma mucho tiempo, por lo que no es muy útil al comienzo.","เพิ่มเลเวลของหินสกิล กระสุนหินหลอม (Rolling Magma) ทำให้มีความเสียหาย ไฟ พื้นฐานเพิ่มเติม และอาจทำให้ชิ่งเพิ่มขึ้นด้วย หินเสริมนี้จะดรอปเท่านั้นและหายากมาก การเพิ่มเลเวลหินเสริมนี้ยังใช้เวลานานอีกด้วย จึงไม่ค่อยมีประโยชน์นักในช่วงแรก","提升熔岩翻騰寶石等級會額外獲得基礎火焰傷害，和可以使它有額外的連鎖。此寶石只能透過打怪掉落，是相當稀有的。提升此寶石等級會花費大量的時間，且在早期並沒有太大的幫助。","http://web.poecdn.com/public/videos/MagmaOrb/MagmaOrb+Empower.bk2 ",201,"http://down.qq.com/poe/videos/skills/MagmaOrb/MagmaOrb+Empower.bk2",[]
