"rownum","Id","Types","ExtraMods","TypesFiltered","PreviousTier","bool_72","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","[string]_91","BuffTemplates","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[rid]_135","TextAudio","rid_167","MapStats","MapStatValues","MapMods","i32_231","i32_235","i32_239","[i32]_243","i32_259","i32_263","bool_267","[i32]_268","i32_284","i32_288"
98,"FireTurrets3",[4],[],[],[97],1,"Burning Turrets III","Tourelles brûlantes III","Feurige Geschütze III","灼熱の砲塔 III","불타는 포탑 III","Torretas Abrasadoras III","Поджигающие турели III","Torretas abrasadoras III","ป้อมอัคคี ระดับ 3","燃燒哨戒塔 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsFire",16120,[],[],5,"Challenge area contains even more [Fire] turrets that will periodically fire [Projectile|Projectiles] ahead","La zone de défi contient encore plus de tourelles qui tirent périodiquement de [Projectile|Projectiles] de [Fire|Feu] vers l'avant","Das Herausforderungsgebiet enthält noch mehr [Fire|Feuer]-Geschütze, die in regelmäßigen Abständen [Projectile|Projektile] nach vorne abfeuern","挑戦エリアに定期的に[Fire|火]の[Projectile|投射物]を前方に連射する砲塔がさらに多く出現する","도전 구역에 주기적으로 전방에 한층 더 많은 [Projectile|투사체]를 발사하는 화염 포탑이 등장합니다.","A área do desafio contém ainda mais torretas de [Fire|fogo] que periodicamente disparam [Projectile|projéteis] à frente","В области испытания находится очень много [Fire|огненных] турелей, которые периодически стреляют вперёд [Projectile|снарядами]","El área del desafío contiene aun más torretas de [Fire|fuego] que disparan periódicamente [Projectile|proyectiles] hacia delante","พื้นที่ท้าทาย มีป้อม[Fire|ไฟ]มากขึ้นยิ่งกว่าเดิมที่จะยิง[Projectile|โพรเจกไทล์]ออกไปข้างหน้าเป็นระยะ","挑戰區域含有甚至更多[Fire|火焰]哨戒塔，會週期性地向前方發射[Projectile|投射物]",[],11119,"",[8205],[22],[],0,0,0,"[97,0]",-16843010,-16843010,"",[],0,0
99,"LightningTurrets1",[4],[],[4],[],1,"Shocking Turrets","Tourelles électrocutantes","Schockende Geschütze","電撃の砲塔","감전 포탑","Torretas Eletrificantes","Шокирующие турели","Torretas electrocutantes","ป้อมช็อค ระดับ 1","感電哨戒塔","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",52422,[],[],1,"Challenge area contains [Lightning] turrets that will periodically fire [Projectile|Projectiles] ahead","La zone de défi contient des tourelles qui tirent périodiquement des [Projectile|Projectiles] de [Lightning|Foudre] vers l'avant","Das Herausforderungsgebiet enthält [Lightning|Blitz]-Geschütze, die in regelmäßigen Abständen [Projectile|Projektile] nach vorne abfeuern","挑戦エリアに定期的に[Lightning|雷]の[Projectile|投射物]を前方に放つ砲塔が出現する","도전 구역에 주기적으로 전방에 [Projectile|투사체]를 발사하는 [Lightning|번개] 포탑이 등장합니다.","A área do desafio contém torretas [Lightning|elétricas] que periodicamente disparam [Projectile|projéteis] à frente","В области испытания находятся турели [Lightning|молнии], которые периодически стреляют вперёд [Projectile|снарядами]","El área del desafío contiene torretas de [Lightning|rayo] que disparan periódicamente [Projectile|proyectiles] hacia delante ","พื้นที่ท้าทาย มีป้อม[Lightning|สายฟ้า]ที่จะยิง[Projectile|โพรเจกไทล์]ออกไปข้างหน้าเป็นระยะ","挑戰區域含有[Lightning|閃電]哨戒塔，會週期性地向前方發射[Projectile|投射物]",[],11313,"",[8205],[9],[],0,0,0,[],100,0,"",[],0,0
100,"LightningTurrets2",[4],[],[],[99],1,"Shocking Turrets II","Tourelles électrocutantes II","Schockende Geschütze II","電撃の砲塔 II","감전 포탑 II","Torretas Eletrificantes II","Шокирующие турели II","Torretas electrocutantes II","ป้อมช็อค ระดับ 2","感電哨戒塔 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",27206,[],[],3,"Challenge area contains more [Lightning] turrets that will periodically fire [Projectile|Projectiles] ahead","La zone de défi contient des tourelles qui tirent périodiquement des [Projectile|Projectiles] de [Lightning|Foudre] vers l'avant","Das Herausforderungsgebiet enthält mehr [Lightning|Blitz]-Geschütze, die in regelmäßigen Abständen [Projectile|Projektile] nach vorne abfeuern","挑戦エリアに定期的に[Lightning|雷]の[Projectile|投射物]を前方に放つ砲塔が数多く出現する","도전 구역에 주기적으로 전방에 더 많은 [Projectile|투사체]를 발사하는 [Lightning|번개] 포탑이 등장합니다.","A área do desafio contém mais torretas [Lightning|elétricas] que periodicamente disparam [Projectile|projéteis] à frente","В области испытания находится много турелей [Lightning|молнии], которые периодически стреляют вперёд [Projectile|снарядами]","El área del desafío contiene más torretas de [Lightning|rayo] que disparan periódicamente [Projectile|proyectiles] hacia delante ","พื้นที่ท้าทาย มีป้อม[Lightning|สายฟ้า]มากขึ้นที่จะยิง[Projectile|โพรเจกไทล์]ออกไปข้างหน้าเป็นระยะ","挑戰區域含有更多[Lightning|閃電]哨戒塔，會週期性地向前方發射[Projectile|投射物]",[],11313,"",[8205],[15],[],0,0,0,[99],101,0,"",[],0,0
101,"LightningTurrets3",[4],[],[],[100],1,"Shocking Turrets III","Tourelles électrocutantes III","Schockende Geschütze III","電撃の砲塔 III","감전 포탑 III","Torretas Eletrificantes III","Шокирующие турели III","Torretas electrocutantes III","ป้อมช็อค ระดับ 3","感電哨戒塔 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ProjectileTurretsLightning",53293,[],[],5,"Challenge area contains even more [Lightning] turrets that will periodically fire [Projectile|Projectiles] ahead","La zone de défi contient encore plus de tourelles qui tirent périodiquement des [Projectile|Projectiles] de [Lightning|Foudre] vers l'avant","Das Herausforderungsgebiet enthält noch mehr [Lightning|Blitz]-Geschütze, die in regelmäßigen Abständen [Projectile|Projektile] nach vorne abfeuern","挑戦エリアに定期的に[Lightning|雷]の[Projectile|投射物]の波を前方に放つ砲塔がさらに多く出現する","도전 구역에 주기적으로 전방에 한층 더 많은 [Projectile|투사체]를 발사하는 [Lightning|번개] 포탑이 등장합니다.","A área do desafio contém ainda mais torretas [Lightning|elétricas] que periodicamente disparam [Projectile|projéteis] à frente","В области испытания находится очень много турелей [Lightning|молнии], которые периодически стреляют вперёд [Projectile|снарядами]","El área del desafío contiene aun más torretas de [Lightning|rayo] que disparan periódicamente [Projectile|proyectiles] hacia delante ","พื้นที่ท้าทาย มีป้อม[Lightning|สายฟ้า]มากขึ้นยิ่งกว่าเดิมที่จะยิง[Projectile|โพรเจกไทล์]ออกไปข้างหน้าเป็นระยะ","挑戰區域含有甚至更多[Lightning|閃電]哨戒塔，會週期性地向前方發射[Projectile|投射物]",[],11313,"",[8205],[22],[],0,0,0,"[100,0]",-16843010,-16843010,"",[],0,0
102,"SpikedGround1",[2],[],[],[],1,"Temple Traps","Pièges du temple","Tempelfallen","寺院の罠","사원 덫","Armadilhas do Templo","Храмовые ловушки","Trampas del templo","กับดักวิหาร ระดับ 1","神殿陷阱","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",48920,[],[],1,"Challenge area contains spikes that deal [Physical] damage to those who step on them","La zone de défi contient des pointes qui infligent des dégâts [Physical|Physiques] à ceux qui marchent dessus","Das Herausforderungsgebiet enthält Stacheln, die [Physical|physischen] Schaden verursachen, wenn man auf sie tritt","挑戦エリアに踏んだ者に[Physical|物理]ダメージを与えるスパイクが出現する","도전 구역에 밟으면 [Physical|물리] 피해를 주는 가시가 등장합니다.","A área do desafio contém espinhos que causam dano [Physical|físico] a quem pisar neles","В области испытания находятся шипы, которые наносят [Physical|физический] урон наступившим на них","El área del desafío contiene pinchos que infligen daño [Physical|físico] a quienes los pisan","พื้นที่ท้าทาย มีหนามที่สร้างความเสียหาย [Physical|กายภาพ] ต่อผู้ที่เหยียบหนามเหล่านั้น","挑戰區域中含有能對踩到的人造成[Physical|物理]傷害的尖刺",[],11134,"",[8205],[15],[],0,0,0,[],103,0,"",[],0,0
103,"SpikedGround2",[2],[],[],[102],1,"Temple Traps II","Pièges du temple II","Tempelfallen II","寺院の罠 II","사원 덫 II","Armadilhas do Templo II","Храмовые ловушки II","Trampas del templo II","กับดักวิหาร ระดับ 2","神殿陷阱 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",37629,[],[],2,"Challenge area contains many spikes that deal [Physical] damage to those who step on them","La zone de défi contient de nombreuses pointes qui infligent des dégâts [Physical|Physiques] à ceux qui marchent dessus","Das Herausforderungsgebiet enthält Stacheln, die [Physical|physischen] Schaden verursachen, wenn man auf sie tritt","挑戦エリアに踏んだ者に[Physical|物理]ダメージを与える複数のスパイクが出現する","도전 구역에 밟으면 [Physical|물리] 피해를 주는 가시가 많이 등장합니다.","A área do desafio contém muitos espinhos que causam dano [Physical|físico] a quem pisar neles","В области испытания находится множество шипов, которые наносят [Physical|физический] урон наступившим на них","El área del desafío contiene muchos pinchos que infligen daño [Physical|físico] a quienes los pisan","พื้นที่ท้าทาย มีหนามที่สร้างความเสียหาย [Physical|กายภาพ] ต่อผู้ที่เหยียบหนามเหล่านั้น","挑戰區域中含有許多能對踩到的人造成[Physical|物理]傷害的尖刺",[],11137,"",[8205],[22],[],0,0,0,[102],-16843010,-16843010,"",[],0,0
104,"MonsterBuffVinesOnHit",[0],[13420],[],[],1,"Entangling Monsters","Monstres agrippants","Fesselnde Monster","絡まりの魔物","얽어매는 몬스터","Monstros Constringentes","Опутывающие монстры","Monstruos enredadores","มอนสเตอร์เหนี่ยวรั้ง","糾纏怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EntanglingMonsters",43195,[],[],1,"Monsters inflict [GraspingVines|Grasping Vines] on [Hit]","Les Monstres infligent des [GraspingVines|Lianes agrippantes] au [Hit|Toucher]","Monster wenden bei [Hit|Treffer] [GraspingVines|Greifende Ranken] an","モンスターは[Hit|ヒット]時に[GraspingVines|束縛するツタ]を付与する","몬스터가 [Hit|명중] 시 [GraspingVines|탐욕스러운 덩굴] 개 유발","Monstros infligem [GraspingVines|Vinhas Constringentes] ao [Hit|atingir]","Монстры накладывают [GraspingVines|цепкие лианы ] при [Hit|ударе]","Los monstruos aplican [GraspingVines|enredaderas acechantes] al [Hit|impactar]","มอนสเตอร์ สร้างสถานะ [GraspingVines|เถาวัลย์เหนี่ยวรั้ง] เมื่อ[Hit|ปะทะ]","怪物[Hit|擊中]時施加[GraspingVines|緩速藤蔓]",[],11241,"",[8205],[15],[],0,0,0,[],-16843010,-16843010,"",[],0,0
105,"PlayerDebuffRandomProjectileDirection","[0,1]",[],[1],[],1,"Random Projectiles","Projectiles aléatoires","Zufällige Projektile","ランダムな投射物","무작위 투사체","Projéteis Aleatórios","Случайные снаряды","Proyectiles aleatorios","สุ่มโพรเจกไทล์","隨機投射物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ScatteredProjectiles",46286,[],[36],1,"Your [Projectile|Projectiles] fly in random directions","Vos [Projectile|Projectiles] volent dans des directions aléatoires","Eure [Projectile|Projektile] werden in zufällige Richtungen abgefeuert","プレイヤーの[Projectile|投射物]がランダムな方向に飛ぶ","[Projectile|투사체]가 임의의 방향으로 날아감","Seus [Projectile|projéteis] percorrem direções aleatórias","Ваши [Projectile|снаряды] летят в случайных направлениях\r\nМонстры выпускают дополнительные [Projectile|снаряды]","Tus [Projectile|proyectiles] vuelan en direcciones aleatorias","[Projectile|โพรเจกไทล์]ของคุณ สุ่มทิศทาง","你的[Projectile|投射物]會向隨機方向發射",[],11292,"",[8205],[15],[],0,0,0,[],-16843010,-16843010,"",[],0,0
106,"PlayerDebuffUltimatumDealNoDamageFor2SecondEvery8Seconds",[0],[],[],[],1,"Occasional Impotence","Impuissance épisodique","Gelegentliche Schwäche","周期的な無力","간헐적 무기력","Impotência Ocasional","Случайное бессилие","Impotencia ocasional","หมดกำลังชั่วครู่","暫時失效","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OccasionalImpotence",65051,[],[66],2,"You and your [Minion|Minions] deal no damage for 2 seconds every 8 seconds","Toutes les 8 secondes, vous et vos [Minion|Créatures] devenez incapables d'infliger des dégâts pendant 2 secondes","Ihr und Eure [Minion|Kreaturen] verursachen alle 8 Sekunden für 2 Sekunden keinen Schaden","プレイヤーとその[Minion|ミニオン]は8秒ごとに2秒間ダメージを与えることが出来ない","플레이어와 [Minion|소환수]가 8초마다 2초 동안 아무 피해를 주지 않습니다.","Você e seus [Minion|lacaios] não causam dano por 2 segundos a cada 8 segundos","Раз в 8 секунд вы и ваши [Minion|приспешники] не наносите урона в течение 2 секунд","Tú y tus [Minion|esbirros] no infligen nada de daño durante 2 segundos cada 8 segundos","คุณและ[Minion|มิเนียน]ของคุณ ไม่สร้างความเสียหายใดๆ 2 วินาที ทุก 8 วินาที","每 8 秒你和你的[Minion|召喚物]有 2 秒不會造成傷害",[],11262,"",[8205],[15],[],0,0,0,[],-16843010,-16843010,"",[],0,0
107,"BindingChainsDaemon1",[5],[],[],[],1,"Heart Tethers","Cœur à attaches","Herzfesseln","縛る鎖の心臓","심장 밧줄","Amarras do Coração","Сердечные узы","Ataduras de corazón","โซ่ล่ามจิต ระดับ 1","心靈束縛","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",20189,[],[],1,"Bloody hearts appear that apply tethers, [Slow|Slowing] you for 3 seconds. Breaking the tether will [Stun] you and cause you to take 5% increased damage for 3 seconds","Des cœurs ensanglantés apparaissent et s'attachent à vous, vous [Slow|Ralentissant] pendant 3 secondes. Si vous rompez l'attache, vous vous faites [Stun|Étourdir] et avez 5% d'augmentation des dégâts subis pendant 3 secondes","Es erscheinen blutige Herzen, die Fesseln anwenden und Euch für 3 Sekunden [Slow|verlangsamen]. Wird die Fessel zerstört, werdet Ihr [Stun|betäubt] und erleidet für 3 Sekunden 5% erhöhten Schaden","テザーを付与する血まみれの心臓が出現し、3秒間[Slow|減速]させる。テザーを破壊すると[Stun|スタン]を受け、受けるダメージが3秒間5%増加する","피투성이 심장이 나타나 밧줄로 플레이어를 3초 동안 [Slow|감속]시킵니다. 밧줄을 끊으면 [Stun|기절]하고 3초 동안 받는 피해가 5% 증가합니다.","Corações ensanguentados aparecem e aplicam amarras que [Slow|desaceleram] você por 3 segundos. Ao romper as amarras, você sofre [Stun|atordoamento] e recebe dano aumentado em 5% por 3 segundos","Появляются кровавые сердца, накладывающие узы, которые [Slow|замедляют] вас на 3 секунды. Если узы разорвать, вы будете [Stun|оглушены] и в течение 3 секунд будете получать увеличенный на 5% урон","Aparecen unos corazones sangrientos que aplican ataduras que te [Slow|ralentizan] durante 3 segundos. Si rompes la atadura, quedarás [Stun|aturdido] y recibirás el daño aumentado en un 5% durante 3 segundos ","หัวใจอาบเลือด จะปรากฏเพื่อติดโซ่ล่ามให้กับคุณและทำให้คุณ[Slow|เชื่องช้า] 3 วินาที คุณจะติดสถานะ [Stun|สตัน] และได้รับความเสียหาย เพิ่มขึ้น 5% 3 วินาที หากทำให้โซ่ขาด","出現會施加束縛的血腥心臟，使你受到[Slow|緩速]，持續 3 秒。掙脫束縛會使你[Stun|暈眩]，且使你增加 5% 承受的傷害，持續 3 秒。",[],11062,"",[8205],[9],[],0,0,0,[],108,0,"",[],0,0
108,"BindingChainsDaemon2",[5],[],[],[107],1,"Heart Tethers II","Cœur à attaches II","Herzfesseln II","縛る鎖の心臓 II","심장 밧줄 II","Amarras do Coração II","Сердечные узы II","Ataduras de corazón II","โซ่ล่ามจิต ระดับ 2","心靈束縛 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",24494,[],[],3,"Bloody hearts appear that apply tethers, [Slow|Slowing] you for 4 seconds. Breaking the tether will [Stun] you and cause you to take 10% increased damage for 4 seconds","Des cœurs ensanglantés apparaissent et s'attachent à vous, vous [Slow|Ralentissant] pendant 4 secondes. Si vous rompez l'attache, vous vous faites [Stun|Étourdir] et avez 10% d'augmentation des dégâts subis pendant 4 secondes","Es erscheinen blutige Herzen, die Fesseln anwenden und Euch für 4 Sekunden [Slow|verlangsamen]. Wird die Fessel zerstört, werdet Ihr [Stun|betäubt] und erleidet für 4 Sekunden 10% erhöhten Schaden","テザーを付与する血まみれの心臓が出現し、4秒間[Slow|減速]させる。テザーを破壊すると[Stun|スタン]を受け、受けるダメージが4秒間10%増加する","피투성이 심장이 나타나 밧줄로 플레이어를 4초 동안 [Slow|감속]시킵니다. 밧줄을 끊으면 [Stun|기절]하고 4초 동안 받는 피해가 10% 증가합니다.","Corações ensanguentados aparecem e aplicam amarras que [Slow|desaceleram] você por 4 segundos. Ao romper as amarras, você sofre [Stun|atordoamento] e recebe dano aumentado em 10% por 4 segundos","Появляются кровавые сердца, накладывающие узы, которые [Slow|замедляют] вас на 4 секунды. Если узы разорвать, вы будете [Stun|оглушены] и в течение 4 секунд будете получать увеличенный на 10% урон","Aparecen unos corazones sangrientos que aplican ataduras que te [Slow|ralentizan] durante 4 segundos. Si rompes la atadura, quedarás [Stun|aturdido] y recibirás el daño aumentado en un 10% durante 4 segundos ","หัวใจอาบเลือด จะปรากฏเพื่อติดโซ่ล่ามให้กับคุณและทำให้คุณ[Slow|เชื่องช้า] 4 วินาที คุณจะติดสถานะ [Stun|สตัน] และได้รับความเสียหาย เพิ่มขึ้น 10% 4 วินาที หากทำให้โซ่ขาด","出現會施加束縛的血腥心臟，使你受到[Slow|緩速]，持續 4 秒。掙脫束縛會使你[Stun|暈眩]，且使你增加 10% 承受的傷害，持續 4 秒。",[],11065,"",[8205],[15],[],0,0,0,[107],109,0,"",[],0,0
109,"BindingChainsDaemon3",[5],[],[],[108],1,"Heart Tethers III","Cœur à attaches III","Herzfesseln III","縛る鎖の心臓 III","심장 밧줄 III","Amarras do Coração III","Сердечные узы III","Ataduras de corazón III","โซ่ล่ามจิต ระดับ 3","心靈束縛 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SpawnsHeart",63930,[],[],5,"Bloody hearts appear that apply tethers, [Slow|Slowing] you for 5 seconds. Breaking the tether will [Stun] you and cause you to take 15% increased damage for 5 seconds","Des cœurs ensanglantés apparaissent et s'attachent à vous, vous [Slow|Ralentissant] pendant 5 secondes. Si vous brisez l'attache, vous vous faites [Stun|Étourdir] et vous avez 15% d'Augmentation des Dégâts subis pendant 5 secondes.","Es erscheinen blutige Herzen, die Fesseln anwenden und Euch für 5 Sekunden [Slow|verlangsamen]. Wird die Fessel zerstört, werdet Ihr [Stun|betäubt] und erleidet für 5 Sekunden 15% erhöhten Schaden","テザーを付与する血まみれの心臓が出現し、5秒間[Slow|減速]させる。テザーを破壊すると[Stun|スタン]を受け、受けるダメージが5秒間15%増加する","피투성이 심장이 나타나 밧줄로 플레이어를 5초 동안 [Slow|감속]시킵니다. 밧줄을 끊으면 [Stun|기절]하고 5초 동안 받는 피해가 15% 증가합니다.","Corações ensanguentados aparecem e aplicam amarras que [Slow|desaceleram] você por 5 segundos. Ao romper as amarras, você sofre [Stun|atordoamento] e recebe dano aumentado em 15% por 5 segundos","Появляются кровавые сердца, накладывающие узы, которые [Slow|замедляют] вас на 5 секунд. Если узы разорвать, вы будете [Stun|оглушены] и в течение 5 секунд будете получать увеличенный на 15% урон","Aparecen unos corazones sangrientos que aplican ataduras que te [Slow|ralentizan] durante 5 segundos. Si rompes la atadura, quedarás [Stun|aturdido] y recibirás el daño aumentado en un 15% durante 5 segundos ","หัวใจอาบเลือด จะปรากฏเพื่อติดโซ่ล่ามให้กับคุณและทำให้คุณ[Slow|เชื่องช้า] 5 วินาที คุณจะติดสถานะ [Stun|สตัน] และได้รับความเสียหาย เพิ่มขึ้น 15% 5 วินาที หากทำให้โซ่ขาด","出現會施加束縛的血腥心臟，使你受到[Slow|緩速]，持續 5 秒。掙脫束縛會使你[Stun|暈眩]，且使你增加 15% 承受的傷害，持續 5 秒。",[],11065,"",[8205],[22],[],0,0,0,"[108,0]",-16843010,-16843010,"",[],0,0
110,"BloodFog1",[6],[],[],[],1,"Blood Mist","Brume de sang","Blutnebel","血の霧","피 안개","Névoa Sangrenta","Кровавый туман","Niebla sangrienta","ไอโลหิต","鮮血迷霧","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BloodFog",43277,[],[],1,"Challenge area is enshrouded by a blood mist which makes monsters within it immune to damage","La zone de défi est enveloppée d'une brume de sang qui immunise les monstres qui s'y trouvent contre les dégâts","Das Herausforderungsgebiet ist von einem Blutnebel umhüllt, der Monster in diesem Gebiet immun gegen Schaden macht","挑戦エリアは血の霧に覆われ、その中にいるモンスターはダメージを完全無効化する","도전 구역이 피 안개에 휩싸입니다. 피 안개 안의 몬스터들은 피해에 면역이 됩니다.","A área do desafio está envolta por uma névoa sangrenta, que torna os monstros imunes a dano","Область испытания окутана кровавым туманом, который делает монстров внутри него невосприимчивыми к урону","El área del desafío está envuelta en una niebla sangrienta que vuelve a los monstruos de su interior inmunes al daño","พื้นที่ท้าทาย อาบไปด้วย ไอโลหิต ที่ทำให้มอนสเตอร์ภายในไม่ได้รับความเสียหายใดๆ","挑戰區域被鮮血迷霧覆蓋，使其中的怪物免疫傷害",[],11098,"",[8205],[10],[],0,0,0,[],-16843010,-16843010,"",[],0,0
111,"CurrentModsPlusOne",[7],[],[],[],"","Wager of the Present","Pari du Présent","Wette der Gegenwart","現在の賭け","현재의 내기","Aposta de Presente","Ставка на настоящее","Apuesta del presente","เดิมพันปัจจุบัน","當下賭注","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Wager",46981,[],[],1,"All previously chosen Modifiers gain +1 Tier\r\nAll pending Currency Item Rewards are Doubled","Tous les Modificateurs précédemment choisis gagnent +1 Palier\r\nToutes les Récompenses en attente octroyant des Objets monétaires sont Doublées","Alle bisher ausgewählten Modifikatoren erhalten +1 Level\r\nAlle ausstehenden Währungsgegenstand-Belohnungen werden verdoppelt","これまでに選択したモッドがティア+1を獲得する\r\n保留中のカレンシーアイテム報酬が2倍になる","앞서 선택한 모든 속성의 등급 +1\r\n대기 중인 모든 화폐 아이템 보상이 2배로 증가","Todos os modificadores escolhidos anteriormente ganham +1 de nível\r\nTodas as recompensas de moeda pendentes são dobradas","Все ранее выбранные свойства получают +1 уровень\r\nВся уже заработанная валюта удваивается","Todos los modificadores previamente elegidos ganan +1 al grado\r\nTodas las recompensas de objetos monetarios pendientes se duplican","ม็อดที่เคยเลือกมาก่อน มีระดับ +1\r\nของรางวัลไอเทมเงินตราที่รอรับ เพิ่มเป็นสองเท่า","先前所有已選擇的詞綴會 +1 階級\r\n所有待定的通貨物品獎勵翻倍",[],11335,"",[],[],[],0,0,0,[],-16843010,-16843010,1,"[0,4]",2,0
112,"RemoveRewardsIncreaseRarity",[7],[],[],[],"","Wager of Rarity","Pari de Rareté","Wette der Seltenheit","レアリティの賭け","희귀도의 내기","Aposta de Raridade","Ставка на редкость","Apuesta de rareza","เดิมพันหายาก","稀有度賭注","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Wager",32056,[],[346],1,"All pending Rewards are Destroyed\r\n100% more [ItemRarity|Item Rarity]","Toutes les Récompenses en attente sont Détruites\r\n100% Davantage de [ItemRarity|Rareté des Objets]","Alle ausstehenden Belohnungen werden zerstört\r\n100% mehr [Rarity|Gegenstandsseltenheit]","保留中の全ての報酬が取り除かれる\r\nモッドから得られる[Rarity|レアリティ]が100%上昇する","대기 중인 모든 보상이 파괴됨\r\n[ItemRarity|아이템 희귀도] 100% 증폭","Todas as recompensas pendentes são destruídas\r\n+100% de [Rarity|raridade]","Все уже заработанные награды удаляются\r\nНа 100% больше [ItemRarity|редкости предметов]","Todas las recompensas pendientes se destruyen\r\n100% más de [Rarity|rareza de objetos]","ทำลายของรางวัลที่รอรับทั้งหมด\r\nเพิ่ม[ItemRarity|ระดับความหายากของไอเทม] อีก 100%","摧毀所有待定的通貨物品獎勵\r\n100% 更多[Rarity|稀有度]",[],11342,"",[],[],[],0,0,0,[],-16843010,-16843010,1,[3],2,25
113,"UpgradeModsRerollCurrency",[7],[],[],[],"","Wager of Rerolling","Pari de Relance","Wette des Würfelns","リロールの賭け","무작위 변경의 내기","Aposta de Recriação","Ставка на перемену","Apuesta de aleatorización","เดิมพันสุ่มใหม่","重擲賭注","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Wager",7144,[],[],1,"Upgrade 2 previously chosen Modifiers\r\nAll pending Currency Item Rewards are Rerolled","Améliore 2 Modificateurs précédemment choisis\r\nToutes les Récompenses en attente octroyant des Objets monétaires sont Relancées","Wertet 2 bisher ausgewählte Modifikatoren auf\r\nAlle ausstehenden Währungsgegenstand-Belohnungen werden neu gewürfelt","これまでに選択したモッド2個をアップグレードする\r\n保留中のカレンシーアイテム報酬をリロールする","앞서 선택한 속성 2개 업그레이드\r\n대기 중인 모든 화폐 아이템 보상 무작위 변경","Atualiza dois modificadores escolhidos anteriormente\r\nTodas as recompensas de moeda pendentes são recriadas","Улучшает 2 ранее выбранных свойства\r\nЗаменяет всю заработанную валюту на другую","Mejora 2 modificadores previamente elegidos\r\nAleatoriza todas las recompensas de objetos monetarios pendientes","อัพเกรดม็อดที่เคยเลือกมาก่อน 2 อย่าง\r\nสุ่มของรางวัลไอเทมเงินตราที่รอรับทั้งหมดขึ้นมาใหม่","升級 2 條先前已選擇的詞綴\r\n重骰所有待定的通貨物品獎勵",[],11346,"",[],[],[],0,0,0,[],-16843010,-16843010,1,"[6,1]",2,0
114,"UpgradeModsRerollSoulCores",[7],[],[],[],"","Wager of Rerolling","Pari de Relance","Wette des Würfelns","リロールの賭け","무작위 변경의 내기","Aposta de Recriação","Ставка на перемену","Apuesta de aleatorización","เดิมพันสุ่มใหม่","重擲賭注","Art/2DArt/UIImages/InGame/Ultimatum/Icons/Wager",34580,[],[],1,"Upgrade 2 previously chosen Modifiers\r\nAll pending [SoulCore|Soul Core] Rewards are Rerolled","Améliore 2 Modificateurs précédemment choisis\r\nToutes les Récompenses en attente octroyant des [SoulCore|Noyaux d'âme] sont Relancées","Wertet 2 bisher ausgewählte Modifikatoren auf\r\nAlle ausstehenden [SoulCore|Seelenkern]-Belohnungen werden neu gewürfelt","これまでに選択したモッド2個を可能ならばアップグレードする\r\n保留中の[SoulCore|ソウルコア]報酬をリロールする","앞서 선택한 속성 2개 업그레이드\r\n대기 중인 모든 [SoulCore|영혼 핵] 보상 무작위 변경","Atualiza dois modificadores escolhidos anteriormente\r\nTodas as recompensas de [SoulCore|Núcleo d'Alma] pendentes são recriadas","Улучшает 2 ранее выбранных свойства\r\nЗаменяет все заработанные [SoulCore|Ядра душ] на другие","Mejora 2 modificadores previamente elegidos\r\nAleatoriza todas las recompensas de [SoulCore|núcleos de alma] pendientes","อัพเกรดม็อดที่เคยเลือกมาก่อน 2 อย่าง\r\nสุ่มของ[SoulCore|แกนวิญญาณ]ที่รอรับทั้งหมดขึ้นมาใหม่","升級 2 條先前已選擇的詞綴\r\n重骰所有待定地的[SoulCore|靈魂核心]獎勵",[],4584,"",[],[],[],0,0,0,[],-16843010,-16843010,1,"[6,2]",2,0
