"rownum","Id","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32_56","bool_60","EffectCategory","NextEffect","string_85","BoonDesc","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32_109","i32_113","bool_117","[rid]_118","Guard","FirstEffect","i32_158","i32_162","bool_166","bool_167","HASH16"
71,"BoonInstaKillGuards4",[16572],[4],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 4 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 4 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 4 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた4体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 4마리가 즉사","Os próximos 4 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 4 монстра, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 4 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 4 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 4 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
72,"BoonInstaKillGuards3",[16572],[3],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 3 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 3 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 3 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた3体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 3마리가 즉사","Os próximos 3 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 3 монстра, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 3 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 3 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 3 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
73,"BoonInstaKillGuards2",[16572],[2],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next 2 non-Boss Monsters you [HitDamage|Hit] are killed Instantly","Les 2 prochains monstres (hors boss) que vous [HitDamage|Touchez] meurent sur le coup","Die nächsten 2 Monster (Bosse ausgenommen), die Ihr [HitDamage|trefft], werden sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた2体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터 2마리가 즉사","Os próximos 2 Monstros que você [HitDamage|Acertar] e que não sejam Chefes são mortos instantaneamente ","Следующие 2 монстра, не являющихся боссами, будут мгновенно убиты при получении [HitDamage|удара] от вас","Los próximos 2 monstruos que [HitDamage|impactes] y que no sean jefes morirán al instante","มอนสเตอร์ที่ไม่ใช่บอส 2 ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 2 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
74,"BoonInstaKillGuards1",[16572],[1],"Assassin's Blade","Lame de l'Assassin","Klinge des Assassinen","暗殺者の刃","암살자의 칼날","Lâmina do Assassino","Клинок убийцы","Espada del asesino","มีดมือสังหาร","刺客之刃","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAssassinsBladeIcon",9,1,2,"","","The next non-Boss Monster you [HitDamage|Hit] is killed Instantly","Le prochain monstre (hors boss) que vous [HitDamage|Touchez] meurt sur le coup","Das nächste Monster (Bosse ausgenommen), das Ihr [HitDamage|trefft], wird sofort getötet","これ以降プレイヤーが[HitDamage|ヒット]を与えた1体のボス以外のモンスターは即座に死ぬ","다음으로 [HitDamage|명중]하는 비-보스 몬스터가 즉사","O próximo Monstro que você [HitDamage|Acertar] e que não seja Chefe é morto instantaneamente ","Следующий монстр, не являющийся боссом, будет мгновенно убит при получении [HitDamage|удара] от вас","El próximo monstruo que [HitDamage|impactes] y que no sea un jefe morirá al instante","มอนสเตอร์ที่ไม่ใช่บอส ตัวถัดไปที่คุณ[HitDamage|ปะทะ]จะถูกสังหารทันที","你接下來[HitDamage|擊中]的 1 個非頭目怪物會被立即擊殺","","","","","","","","","","",3,0,"",[],[],65,3,0,"","",6090
75,"BoonIncreasedRelicEffect",[16604],[30],"Enchanted Urn","Urne enchantée","Verzauberte Urne","エンチャントされた骨壷","인챈트된 단지","Urna Encantada","Зачарованная урна","Urna encantada","ไหลงเสน่ห์","附魔之甕","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrnIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEnchantedUrn","30% increased Effect of your Non-[ItemRarity|Unique] [Relic|Relics]","30% d'Augmentation des Effets de vos [Relic|Reliques] non [ItemRarity|Uniques]","30% erhöhte Wirkung Eurer [Relic|Relikte] ([ItemRarity|einzigartige] ausgenommen)","[ItemRarity|ユニーク]でない[Relic|レリック]の効果が30%増加する","비-[ItemRarity|고유] [Relic|유물]의 효과 30% 증가","Efeito das suas [Relic|Relíquias] Não-[ItemRarity|Únicas] aumentado em 30% ","30% усиление эффекта ваших не [ItemRarity|уникальных] [Relic|реликвий]","Efecto de tus [Relic|reliquias] que no son [ItemRarity|únicas] aumentado un 30%","เพิ่มผลของ [Relic|วัตถุตกทอด]ที่ไม่ใช่[ItemRarity|ยูนิค] ของคุณ 30%","增加 30% 你的非[ItemRarity|傳奇][Relic|聖物]的效果","","","","","","","","","","",3,0,"",[],[],"",3,0,"",1,38167
76,"BoonHonourRestoredOnEnterBossRoom",[16674],[60],"Adrenaline Vial","Fiole d'adrénaline","Phiole des Adrenalins","アドレナリンの小瓶","아드레날린 시약","Frasco de Adrenalina","Флакон адреналина","Vial de adrenalina","ขวดอะดรีนาลีน","腎上腺素瓶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVialIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVial","Restore {0} of your [Honour] on entering a Boss Room","Restaure {0} de votre [Honour|Honneur] lorsque vous entrez dans une salle de Boss","Stellt {0} Eurer [Honour|Ehre] beim Betreten eines Bossraums wieder her","ボス部屋に入った時に[Honour|名誉]の{0}が回復する","보스 방 입장 시 [Honour|명예] {0} 회복","Restaure {0} de sua [Honour|Honra] ao entrar em uma Sala de Chefe ","Восстанавливает {0} вашей [Honour|чести] при входе в зал с боссом","Restauras {0} de [Honour|honor] al entrar en una sala de jefe","คุณรับ[Honour|เกียรติ] {0} เมื่อเข้าห้องบอส","進入頭目房時，恢復 {0} [Honour|榮譽]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",59406
77,"BoonDuplicateARandomDeferredReward",[19951],[1],"Mirror of Fortune","Miroir de la chance","Glücksspiegel","幸運の鏡","행운의 거울","Espelho da Fortuna","Зеркало удачи","Espejo de fortuna","กระจกนำโชค","財富之鏡","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortuneIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortune","The next [SekhemaKeys|Key] you pick up is duplicated","La prochaine [SekhemaKeys|Clé] que vous ramassez est dupliquée","Der nächste von Euch aufgenommene [SekhemaKeys|Schlüssel] wird dupliziert","次に手に入れた[SekhemaKeys|鍵]が複製される","다음으로 습득하는 [SekhemaKeys|열쇠]가 복제됨","A próxima [SekhemaKeys|Chave] que você pegar será duplicada ","Следующий подобранный вами [SekhemaKeys|ключ] дублируется","La siguiente [SekhemaKeys|llave] que recojas estará duplicada","[SekhemaKeys|กุญแจ] ดอกถัดไปที่คุณเก็บ ถูกสร้างซ้ำ","你撿起的下一把[SekhemaKeys|鑰匙]會被複製。","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",45428
78,"BoonMaximumHonour",[20760],[25],"Orbala Statuette","Statuette d'Orbala","Orbalas Statuette","オルバラの小像","오발라 조각상","Estátua de Orbala","Статуэтка Орбалы","Estatuilla de Orbala","รูปปั้นออร์บาล่า","奧爾巴拉雕像","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonOrbalaStatueIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonOrbalaStatue","You have 25% more Maximum [Honour]","Vous avez 25% Davantage d'[Honour|Honneur] maximal","Ihr habt 25% mehr maximale [Honour|Ehre]","[Honour|名誉]の最大値が25%上昇する","최대 [Honour|명예] 25% 증폭","Você tem 25% a mais de [Honour|Honra] Máxima ","У вас на 25% больший максимум [Honour|чести]","Tienes un 25% más de [Honour|honor] máximo","คุณมี[Honour|เกียรติ]สูงสุด เพิ่มขึ้น อีก 25%","你有 25% 更多最大[Honour|榮譽]","","","","","","","","","","",1,125,"",[],[],"",2,125,"","",54204
79,"BoonRandomMinorBoonOnFountainUse",[16560],[1],"Holy Water","Eau bénite","Weihwasser","聖水","성수","Água Benta","Святая вода","Agua bendita","น้ำมนต์","聖水","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyWaterIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyWater","Gain a random Minor [Boons|Boon] when you venerate a Maraketh Shrine","Vous recevez un [Boons|Bienfait] mineur lorsque vous vénérez un Autel Maraketh","Erhaltet einen zufälligen Kleinen [Boons|Segen], wenn Ihr einen Maraketh-Schrein verehrt","マラケスの社を拝んだ時にランダムな軽微な[Boons|恩恵]を獲得する","마라케스 성소 숭배 시 무작위 보조 [Boons|은혜] 1개 획득","Receba uma [Boons|Dádiva] Menor aleatória ao venerar um Altar Maraketiano ","Дарует случайное малое [Boons|благословение], когда вы оказываете почести у маракетского алтаря","Obtienes una [Boons|ventaja] menor aleatoria cuando veneras un santuario maraketh","ได้รับ [Boons|พร]ชั้นต่ำแบบสุ่ม 1 ประการ\r\nเมื่อคุณสักการะ แท่นบูชามาราเค็ท","當你膜拜一座馬拉克斯神殿時，獲得 1 個隨機次要[Boons|恩惠]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",28826
80,"BoonRestoreHonourOnFountainUse",[16562],[30],"Fountain of Youth","Fontaine de Jouvence","Jungbrunnen","若さの泉","젊음의 분수","Fonte da Juventude","Фонтан молодости","Fuente de juventud","น้ำพุเยาว์วัย","青春之泉","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFountainOfYouthIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFountainOfYouth","Restore {0} of your [Honour] when you venerate a Maraketh Shrine","Restaure {0} de votre [Honour|Honneur] lorsque vous vénérez un Autel Maraketh","Stellt {0} Eurer [Honour|Ehre] wieder her, wenn Ihr einen Maraketh-Schrein verehrt","マラケスの社を拝んだ時に[Honour|名誉]の{0}が回復する","마라케스 성소 숭배 시 [Honour|명예] {0} 회복","Restaure {0} de sua [Honour|Honra] ao venerar um Altar Maraketiano ","Восстанавливает {0} [Honour|чести], когда вы оказываете почести у маракетского алтаря","Restauras {0} de [Honour|honor] cuando veneras un santuario maraketh","รับ[Honour|เกียรติ] {0} เมื่อคุณสักการะ\r\nแท่นบูชามาราเค็ท","當你膜拜一座馬拉克斯神殿時，恢復 {0} [Honour|榮譽]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",40142
81,"BoonNextMinorBoonConvertedToMajor",[16556],[1],"Silver Chalice","Calice d'argent","Silberkelch","銀色の聖杯","은 성배","Cálice de Prata","Серебряная чаша","Cáliz de plata","ถ้วยจอกเงิน","銀聖杯","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSliverChaliceIcon",8,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSliverChalice","The next Minor [Boons|Boon] you gain is converted into a random Major [Boons|Boon]","Le prochain [Boons|Bienfait] mineur que vous recevez est converti en [Boons|Bienfait] majeur tiré au hasard","Der nächste Kleine [Boons|Segen], den Ihr erhaltet, wird in einen zufälligen Großen [Boons|Segen] umgewandelt","次に獲得する軽微な[Boons|恩恵]はランダムな強力な[Boons|恩恵]に変換される","다음으로 획득하는 보조 [Boons|은혜]가 무작위 주요 [Boons|은혜]로 전환","A próxima [Boons|Dádiva] Menor que você receber será convertida em uma [Boons|Dádiva] Maior aleatória ","Следующее полученное малое [Boons|благословение] превратится в случайное сильное [Boons|благословение]","La siguiente [Boons|ventaja] menor que obtengas se convertirá en una [Boons|ventaja] mayor aleatoria","แปลง [Boons|พร]ชั้นต่ำ ถัดไปที่คุณได้รับเป็น\r\n[Boons|พร]ชั้นสูงแบบสุ่ม 1 ประการ","你下個獲得的次要[Boons|恩惠]，轉化成 1 個隨機主要[Boons|恩惠]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",51458
82,"BoonTrapsReducedDamage",[19116],[-50],"Black Pearl","Perle noire","Schwarze Perle","黒真珠","검은 진주","Pérola Negra","Чёрная жемчужина","Perla negra","ไข่มุกดำ","黑珍珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBlackPearlIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBlackPearl","Traps deal 50% reduced Damage","Les pièges ont 50% de réduction de Dégâts","Fallen verursachen 50% weniger Schaden","罠のダメージが50%減少する","덫이 주는 피해 50% 감소","Armadilhas causam Dano reduzido em 50%","Урон ловушек уменьшается на 50%","Las trampas infligen el daño reducido un 50%","กับดัก สร้างความเสียหาย ลดลง 50%","陷阱減少 50% 傷害","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",41498
83,"BoonNextMerchantItemFree",[16675],[1],"Balbala's Gift","Cadeau de Balbala","Balbalas Geschenk","バルバラの贈り物","발바라의 선물","Presente de Balbala","Дар Балбалы","Regalo de Balbala","ของขวัญของบัลบาล่า","芭芭拉的禮物","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBalbalasMaskIcon",10,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBalbalasMask","Your next purchase from the Merchant has no cost","Votre prochain achat chez le Marchand ne coûte rien","Euer nächster Kauf vom Händler kostet nichts","次回商人から購入するときのコストが0になる","다음번 상인에게서 구입 시 비용 없음","Sua próxima compra do Mercador não terá custo","У вашей следующей покупки у торговца будет нулевая стоимость","Tu siguiente compra en el mercader será gratis","การซื้อจาก แม่ค้า ครั้งถัดไปของคุณ ไม่มีราคา","你下次從商人購買物品時免費","","","","","","","","","","",3,0,1,[],[],"",3,0,"","",52622
84,"BoonCanRerollMerchantShop",[16676],[1],"Chipped Dice","Dés abîmés","Lädierte Würfel","欠けたサイコロ","이 빠진 주사위","Dado Lascado","Сколотые кости","Dado astillado","ลูกเต๋าบิ่น","骰子","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonChippedDiceIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonChippedDice","The Merchant's Shop can be Rerolled","La liste de choix du Marchand peut être tirée au hasard de nouveau","Das Angebot des Händlers kann neu gewürfelt werden","商人の品揃えをリロールすることができる","상인의 상점 무작위 변경 가능","A Loja do Mercador pode ser Re-rolada","Ассортимент товаров торговца можно будет обновить","La oferta de la tienda del mercader se puede aleatorizar","ร้านค้าของแม่ค้า สามารถสุ่มได้","商人的店舖可以被重骰","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",60796
85,"BoonGoldPerRoomRemovedAtMerchant",[16635],[10],"Upward Path","Voie ascendante","Weg nach oben","上向きの道","위로 가는 길","Caminho Superior","Путь наверх","Camino ascendente","เส้นทางขึ้นสูง","上行之路","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldTrophyIcon",10,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldTrophy","Your [SacredWater|Sacred Water] found is increased by 10% on room completion\r\n(removed when you purchase something from the Merchant)","Vous avez 10% d'Augmentation d'[SacredWater|Eaux sacrées] trouvées lorsque vous terminez une salle\r\n(se dissipe quand vous achetez quelque chose au Marchand)","Euer gefundenes [SacredWater|Heiliges Wasser] wird beim Abschluss eines Raums um 10% erhöht \r\n(wird entfernt, wenn Ihr etwas vom Händler kauft)","部屋を完了すると[SacredWater|神聖な水]が10%増加する\r\n (商人から何かを購入すると失われる )","방 완료 시 발견하는 [SacredWater|신성한 물] 10% 증가\r\n(상인에게서 구입 시 제거됨)","Suas [SacredWater|Águas Sagradas] encontradas são aumentadas em 10% ao completar a sala\r\n(removido ao comprar algo do Mercador)","Объём находимой вами [SacredWater|святой воды] увеличивается на 10% при завершении зала\r\n(пропадает при покупке чего-либо у торговца)","Cuando completas una sala, el [SacredWater|agua sagrada] encontrada aumenta un 10% (se elimina cuando le compras algo al mercader)","[SacredWater|วารีศักดิ์สิทธิ์] ที่คุณพบ จะเพิ่มขึ้น 10% เมื่อคุณผ่านห้อง\r\n(ถูกกำจัด เมื่อคุณซื้อของจาก แม่ค้า)","完成房間時，找到的[SacredWater|神聖之水]增加 10%\r\n(當你從商人那購買物品時，恩惠會被移除)","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",3716
86,"BoonDuplicateAllKeyFound",[19951],[1],"Sacred Mirror","Miroir sacré","Heiliger Spiegel","聖なる鏡","성스러운 거울","Espelho Sagrado","Священное зеркало","Espejo sagrado","กระจกศักดิ์สิทธิ์","聖鏡","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSacredMirrorIcon",13,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSacredMirror","[SekhemaKeys|Keys] you pick up are duplicated","Les [SekhemaKeys|Clés] que vous ramassez sont dupliquées","Von Euch ufgenommene [SekhemaKeys|Schlüssel] werden dupliziert","手に入れた[SekhemaKeys|鍵]が複製される","습득하는 [SekhemaKeys|열쇠]가 복제됨","[SekhemaKeys|Chaves] que você pegar são duplicadas","Подобранные вами [SekhemaKeys|ключи] дублируются","Las [SekhemaKeys|llaves] que recoges están duplicadas","[SekhemaKeys|กุญแจ] ที่คุณเก็บ ถูกสร้างซ้ำ","你拾取的[SekhemaKeys|鑰匙]變為 2 倍","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",27130
87,"BoonNextAfflictionConvertedToMinorBoon",[16558],[1],"Crystal Shard","Éclat de cristal","Kristallscherbe","水晶の欠片","수정 파편","Fragmento de Cristal","Хрустальный осколок","Esquirla de cristal","เศษคริสตัล","水晶碎片","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalShardIcon",7,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalShard","The next [Afflictions|Affliction] you gain is converted into a random Minor [Boons|Boon]","La prochaine [Afflictions|Affliction] que vous recevez est convertie en un [Boons|Bienfait] mineur tiré au hasard","Die nächste [Afflictions|Bürde], die Ihr erhaltet, wird in einen zufälligen Kleinen [Boons|Segen] umgewandelt","次回獲得する[Afflictions|不幸]はランダムな軽微な[Boons|恩恵]に変換される","다음으로 획득하는 [Afflictions|고난]이 무작위 보조 [Boons|은혜]로 전환","A próxima [Afflictions|Aflição] que você receber será convertida em uma [Boons|Dádiva] Menor aleatória","Следующее полученное [Afflictions|проклятие] превратится в случайное малое [Boons|благословение]","La siguiente [Afflictions|desventaja] que obtengas se convertirá en una [Boons|ventaja] menor aleatoria","แปลง [Afflictions|ทัณฑ์] ถัดไปที่คุณได้รับเป็น\r\n[Boons|พร]ชั้นต่ำแบบสุ่ม 1 ประการ","你下個獲得的[Afflictions|苦痛]，轉化成 1 個隨機次要[Boons|恩惠]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",30042
88,"BoonMoreDefences",[18271],[50],"Lustrous Lacquer","Laque brillante","Glänzender Lack","光沢のある塗料","빛나는 광택제","Verniz","Сверкающий лак","Barniz brillante","น้ำมันขัดเงาแวววาว","光亮漆","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousLacquerIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousLacquer","You have 50% more [Defences]","Vous avez 50% Davantage de [Defences|Défenses]","Ihr habt 50% mehr [Defences|Verteidigungen]","[Defences|防御力]が50%上昇する","[Defences|방어] 50% 증폭","Você tem 50% a mais de [Defences|Defesas]","У вас на 50% больше [Defences|защиты]","Tienes un 50% más de [Defences|defensas]","คุณมี [Defences|ค่าป้องกัน] เพิ่มขึ้น อีก 50%","你有 50% 更多[Defences|防禦]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",379
89,"AfflictionReducedEffectOfRelics",[16604],[-50],"Forgotten Traditions","Traditions oubliées","Vergessene Traditionen","忘れ去られた伝統","잊힌 전통","Tradições Esquecidas","Забытые традиции","Tradiciones olvidadas","ประเพณีที่ถูกลืม","忘卻傳統","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionForgottenTraditionsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionForgottenTraditions","","","","","","","","","","","50% reduced Effect of your Non-[ItemRarity|Unique] [Relic|Relics]","50% de Réduction des Effets de vos [Relic|Reliques] non [ItemRarity|Uniques]","50% verringerte Wirkung Eurer [Relic|Relikte] ([ItemRarity|einzigartige] ausgenommen)","[ItemRarity|ユニーク]でない[Relic|レリック]の効果が50%減少する","비-[ItemRarity|고유] [Relic|유물]의 효과 50% 감소","Efeito das suas [Relic|Relíquias] Não-[ItemRarity|Únicas] reduzido em 50% ","50% ослабление эффекта ваших не [ItemRarity|уникальных] [Relic|реликвий]","Efecto de tus [Relic|reliquias] que no son [ItemRarity|únicas] reducido un 50%","ลดผลของ [Relic|วัตถุตกทอด]ที่ไม่ใช่[ItemRarity|ยูนิค] ของคุณ 50%","減少 50% 你非[ItemRarity|傳奇][Relic|聖物]的效果",3,0,"",[],[],"",3,0,"",1,18125
90,"AfflictionMaximumNumberOfBoons",[],[],"[UNUSED]","Collier étrangleur","Enges Halsband","きつい首輪","꽉 끼는 목줄","Gargantilha Apertada","Тесное колье","Collar ajustado","สร้อยรัดคอ","勒緊褲帶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTightCollarIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTightCollar","","","","","","","","","","","You can have a maximum of 5 [Boons]","Vous pouvez bénéficier de 5 [Boons|Bienfaits] au maximum","Ihr könnt maximal 5 Segen haben","最大で5個の[Boons|恩恵]しか持てなくなる","[Boons|은혜]를 최대 5개까지 보유 가능","Você pode ter no máximo 5 [Boons|Dádivas] ","Вы можете иметь максимум 5 [Boons|благословений]","Puedes tener un máximo de 5 [Boons|ventajas]","คุณมี [Boons|พร] ได้สูงสุด 5 ประการ","你最多可以獲得 5 個[Boons|恩惠]",3,0,"",[],[],"",3,0,"","",16773
91,"AfflictionMerchantFewerChoices",[16633],[-50],"Season of Famine","Saison de famine","Zeit der Hungersnot","飢饉の季節","기근의 계절","Temporada da Fome","Голодный сезон","Temporada de hambruna","ฤดูกาลอดอยาก","飢荒季節","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedAmuletIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedAmulet","","","","","","","","","","","The Merchant offers 50% fewer choices","Le Marchand vous propose 50% moins de choix","Händler bieten 50% weniger Auswahl an","商人が提供する選択肢の数が50%低下する","상인이 제안하는 선택지 수 50% 감소","O Mercador oferece 50% menos escolhas","Торговец предлагает на 50% меньше товаров","El mercader te ofrece un 50% menos de opciones","แม่ค้า มีตัวเลือก น้อยลง 50%","商人提供 50% 更少選擇",3,0,"",[],[],"",3,0,"","",35605
92,"AfflictionAfflictionOnGainAffliction",[16559],[1],"Myriad Aspersions","Myriade de calomnies","Unzählige Aspersionen","無数の中傷","중상모략","Inúmeras Difamações","Море поношений","Miríada de calumnias","คำกล่าวหามากมาย","流言四起","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionMyriadAspersionsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionMyriadAspersions","","","","","","","","","","","When you gain an [Afflictions|Affliction], gain an additional random Minor [Afflictions|Affliction]","Quand vous recevez une [Afflictions|Affliction], vous recevez une [Afflictions|Affliction] mineure supplémentaire","Wenn Ihr eine [Afflictions|Bürde] erhaltet, erhaltet Ihr eine zusätzliche Kleine [Afflictions|Bürde]","[Afflictions|不幸]を獲得した時に追加でランダムな軽微な[Afflictions|不幸]を獲得する","[Afflictions|고난] 획득 시 추가로 무작위 보조 [Afflictions|고난] 1개 획득","Quando você receber uma [Afflictions|Aflição], receba uma [Afflictions|Aflição] Menor aleatória adicional ","Когда вы получаете [Afflictions|проклятие], вы получаете дополнительное случайное малое [Afflictions|проклятие]","Cuando obtienes una [Afflictions|desventaja], obtienes una [Afflictions|desventaja] menor aleatoria adicional","เมื่อคุณได้รับ [Afflictions|ทัณฑ์]\r\nคุณจะได้รับ [Afflictions|ทัณฑ์]ชั้นต่ำแบบสุ่ม เพิ่มเติม 1 ประการ","當你獲得 1 個 [Afflictions|苦痛]時，獲得 1 個額外隨機次要[Afflictions|苦痛]",3,0,"",[],[],"",3,0,"","",56996
