"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)","i32_24","i32_28","i32_32","i32_36","[rid]_40","i32_56"
57,"ProxyKey62","","","","","","","","","","","Use a <<itemvisual:CurrencyIdentification>> <currencyitem>{Scroll of Wisdom} to identify <magicitem>{Magic}, <rareitem>{Rare} and <uniqueitem>{Unique} items.","Utilisez un <<itemvisual:CurrencyIdentification>> <currencyitem>{Parchemin de sagesse} pour identifier les objets <magicitem>{magiques}, <rareitem>{rares} et <uniqueitem>{uniques}.","Verwende eine <<itemvisual:CurrencyIdentification>> <currencyitem>{Identifikationsrolle}, um <magicitem>{magische}, <rareitem>{seltene} und <uniqueitem>{einzigartige} Gegenstände zu identifizieren.","<<itemvisual:CurrencyIdentification>> <currencyitem>{鑑定の巻物}を使用して<magicitem>{マジック}、<rareitem>{レア}および<uniqueitem>{ユニーク}アイテムを鑑定できます。","<<itemvisual:CurrencyIdentification>> <currencyitem>{감정 주문서}를 사용해 <magicitem>{마법}, <rareitem>{희귀}, <uniqueitem>{고유} 아이템을 식별할 수 있습니다.","Use um <<itemvisual:CurrencyIdentification>> <currencyitem>{Pergaminho da Sabedoria} para identificar itens <magicitem>{Mágicos}, <rareitem>{Raros} e <uniqueitem>{Únicos}. ","Используйте <<itemvisual:CurrencyIdentification>> <currencyitem>{свиток мудрости} для опознания <magicitem>{волшебных}, <rareitem>{редких} и <uniqueitem>{уникальных} предметов.","Usa un <<itemvisual:CurrencyIdentification>> <currencyitem>{pergamino de sabiduría} para identificar objetos <magicitem>{mágicos}, <rareitem>{raros} y <uniqueitem>{únicos}.","ใช้ <<itemvisual:CurrencyIdentification>> <currencyitem>{Scroll of Wisdom} เพื่อตรวจสอบไอเทม<magicitem>{เมจิก}, <rareitem>{แรร์} และ<uniqueitem>{ยูนิค}","使用<<itemvisual:CurrencyIdentification>> <currencyitem>{知識卷軸}可以鑑定<magicitem>{魔法}、<rareitem>{稀有}和<uniqueitem>{傳奇}物品。",1,100,0,0,[],56
58,"ProxyKey63","","","","","","","","","","","Use a <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{Blacksmith's Whetstone} to improve the base physical damage of a martial weapon.","Utilisez une <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{Pierre à aiguiser de forgeron} pour améliorer les dégâts physiques de base d'une arme martiale.","Verwende einen <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{Schleifstein}, um den physischen Basisschaden einer Kampfwaffe zu verbessern.","<<itemvisual:CurrencyWeaponQuality>> <currencyitem>{鍛冶屋の砥石}を使用してマーシャル武器の基礎物理ダメージを強化できます。","<<itemvisual:CurrencyWeaponQuality>> <currencyitem>{대장장이의 숫돌}을 사용하면 무도 무기의 기본 물리 피해를 개선할 수 있습니다.","Use um <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{Amolador do Ferreiro} para melhorar o dano físico base de uma arma marcial.","Используйте <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{точильный камень} для повышения базового физического урона боевого оружия.","Usa una <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{piedra de afilar} para mejorar el daño físico base de un arma marcial.","ใช้ <<itemvisual:CurrencyWeaponQuality>> <currencyitem>{Blacksmith's Whetstone} เพื่อเพิ่มความเสียหาย กายภาพ พื้นฐานของอาวุธจู่โจม","使用<<itemvisual:CurrencyWeaponQuality>> <currencyitem>{磨刀石}可以強化軍用武器的基礎物理傷害。",1,100,0,0,[],56
59,"ProxyKey64","","","","","","","","","","","Use an <<itemvisual:CurrencyArmourQuality>> <currencyitem>{Armourer's Scrap} to improve the base defensive quality of armour.","Utilisez une <<itemvisual:CurrencyArmourQuality>> <currencyitem>{Ferraille d'armurier} pour améliorer la qualité défensive de base d'une pièce d'armure.","Use an <<itemvisual:CurrencyArmourQuality>> <currencyitem>{Plattnerstück}, um die Basisverteidigung der Rüstung zu verbessern.","<<itemvisual:CurrencyArmourQuality>> <currencyitem>{鎧鍛冶の端材}を使用して防具の基礎防御品質を強化できます。","<<itemvisual:CurrencyArmourQuality>> <currencyitem>{방어구 장인의 고철}을 사용하면 방어구의 기본 방어 특성을 개선할 수 있습니다.","Use uma <<itemvisual:CurrencyArmourQuality>> <currencyitem>{Sucata do Armeiro} para melhorar a qualidade defensiva base de uma armadura.","Используйте <<itemvisual:CurrencyArmourQuality>> <currencyitem>{деталь доспеха} для повышения базовых защитных качеств доспехов.","Usa <<itemvisual:CurrencyArmourQuality>> <currencyitem>{restos de armaduras} para mejorar la calidad defensiva base de tus piezas de armadura.","ใช้ <<itemvisual:CurrencyArmourQuality>> <currencyitem>{Armourer's Scrap} เพื่อเพิ่มคุณภาพในการป้องกันพื้นฐานของเกราะ","使用<<itemvisual:CurrencyArmourQuality>> <currencyitem>{護甲片}可以強化護甲的基礎防禦品質。",1,100,0,0,[],56
60,"ProxyKey65","","","","","","","","","","","Use an <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{Orb of Transmutation} to upgrade a <whiteitem>{Normal} item to a <magicitem>{Magic} item with 1 modifier.","Utilisez un <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{Orbe de transmutation} pour améliorer un objet <whiteitem>{normal} en objet <magicitem>{magique} avec 1 modificateur.","Verwende eine <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{Umwandlungssphäre}, um einen <whiteitem>{normalen} Gegenstand zu einen <magicitem>{magischen} Gegenstand mit 1 Modifikator umzuwandeln.","<<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{変成のオーブ}を使用して<whiteitem>{ノーマル}アイテムをモッドを1個持つ<magicitem>{マジック}アイテムにアップグレードできます。","<<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{진화의 오브}를 사용하면 <whiteitem>{일반} 아이템을 속성이 1개 있는 <magicitem>{마법} 아이템으로 업그레이드할 수 있습니다.","Use um <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{Orbe da Transmutação} para transformar um item <whiteitem>{Normal} em um item <magicitem>{Mágico} com 1 modificador.","Используйте <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{сферу превращения} для улучшения <whiteitem>{обычного} предмета до a <magicitem>{волшебного} с 1 свойством.","Usa un <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{orbe de transmutación} para convertir un objeto <whiteitem>{normal} en un objeto <magicitem>{mágico} con 1 modificador.","ใช้ <<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{Orb of Transmutation} เพื่ออัพเกรดไอเทม<whiteitem>{ธรรมดา}ให้เป็นไอเทม<magicitem>{เมจิก}ที่มีม็อด 1 อย่าง","使用<<itemvisual:CurrencyUpgradeToMagic>> <currencyitem>{蛻變石}可以把<whiteitem>{普通}物品升級成帶有 1 個詞綴的<magicitem>{魔法}物品。",1,100,0,0,[],56
61,"ProxyKey66","","","","","","","","","","","Use an <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{Orb of Augmentation} to augment a <magicitem>{Magic} item with a new random modifier.","Utilisez un <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{Orb d'augmentation} pour ajouter un nouveau modificateur aléatoire sur un objet <magicitem>{magique}.","Verwende eine <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{Aufwertungssphäre}, um einen <magicitem>{magischen} Gegenstand mit einem neuen zufälligen Modifikator zu ergänzen.","<<itemvisual:CurrencyAddModToMagic>> <currencyitem>{増強のオーブ}を使用して<magicitem>{マジック}アイテムに新しいランダムなモッドを1個追加できます。","<<itemvisual:CurrencyAddModToMagic>> <currencyitem>{확장의 오브}를 사용하면 <magicitem>{마법} 아이템에 무작위 속성을 1개 부여할 수 있습니다.","Use um <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{Orbe da Ampliação} para adicionar um novo modificador aleatório a um item <magicitem>{Mágico}.","Используйте <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{сферу усиления} для добавления нового случайного свойства <magicitem>{волшебному} предмету.","Usa un <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{orbe de aumento} para agregar un nuevo modificador aleatorio a un objeto <magicitem>{mágico}.","ใช้ <<itemvisual:CurrencyAddModToMagic>> <currencyitem>{Orb of Augmentation} เพื่อเพิ่มม็อด 1 อย่างแบบสุ่มให้กับไอเทม<magicitem>{เมจิก}","使用<<itemvisual:CurrencyAddModToMagic>> <currencyitem>{增幅石}可以增強<magicitem>{魔法}物品，使其帶有 1 個新的隨機詞綴。",1,100,0,0,[],56
62,"ProxyKey67","","","","","","","","","","","Use an <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{Orb of Alchemy} to upgrade a <whiteitem>{Normal} item to a <rareitem>{Rare} item with 4 modifiers.","Utilisez un <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{Orb d'alchimie} pour améliorer un objet <whiteitem>{normal} en un objet <rareitem>{rare} avec 4 modificateurs.","Verwende eine <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{Sphäre der Alchemie}, um einen <whiteitem>{normalen} Gegenstand zu einem <rareitem>{seltenen} Gegenstand mit 4 Modifikatoren zu verbessern.","<<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{錬金術のオーブ}を使用して<whiteitem>{ノーマル}アイテムをモッドを4個持つ<rareitem>{レア}アイテムにアップグレードできます。","<<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{연금술의 오브}를 사용하면 <whiteitem>{일반} 아이템을 속성이 4개 있는 <rareitem>{희귀} 아이템으로 업그레이드할 수 있습니다.","Use um <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{Orbe da Alquimia} para transformar um item <whiteitem>{Normal} em um item <rareitem>{Raro} com 4 modificadores.","Используйте <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{сферу алхимии} для улучшения <whiteitem>{обычного} предмета до <rareitem>{редкого} с 4 свойствами.","Usa un <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{orbe de alquimia} para convertir un objeto <whiteitem>{normal} en un objeto <rareitem>{raro} con 4 modificadores.","ใช้ <<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{Orb of Alchemy} เพื่ออัพเกรดไอเทม<whiteitem>{ธรรมดา}ให้เป็นไอเทม<rareitem>{แรร์}ที่มีม็อด 4 อย่าง","使用<<itemvisual:CurrencyUpgradeToRare>> <currencyitem>{點金石}可以把<whiteitem>{普通}物品升級成帶有 4 個詞綴的<rareitem>{稀有}物品。",1,100,0,0,[],56
63,"ProxyKey68","","","","","","","","","","","Use an <<itemvisual:CurrencyAddModToRare>> <currencyitem>{Exalted Orb} to augment a <rareitem>{Rare} item with a new random modifier.","Utilisez un <<itemvisual:CurrencyAddModToRare>> <currencyitem>{Orbe éxalté} pour ajouter un nouveau modificateur aléatoire sur un objet <rareitem>{rare}.","Verwende eine <<itemvisual:CurrencyAddModToRare>> <currencyitem>{Erhabene Sphäre}, um einen <rareitem>{seltenen} Gegenstand durch einen neuen zufälligen Modifikator zu ergänzen.","<<itemvisual:CurrencyAddModToRare>> <currencyitem>{高貴なオーブ}を使用して<rareitem>{レア}アイテムに新しいランダムなモッドを1個追加できます。","<<itemvisual:CurrencyAddModToRare>> <currencyitem>{엑잘티드 오브}를 사용하면 <rareitem>{희귀} 아이템에 무작위 속성을 1개 부여할 수 있습니다.","Use um <<itemvisual:CurrencyAddModToRare>> <currencyitem>{Orbe Exaltado} para adicionar um novo modificador aleatório a um item <rareitem>{Raro}.","Используйте <<itemvisual:CurrencyAddModToRare>> <currencyitem>{сферу возвышения} для добавления нового случайного свойства <rareitem>{редкому} предмету.","Usa un <<itemvisual:CurrencyAddModToRare>> <currencyitem>{orbe exaltado} para agregarle un nuevo modificador aleatorio a un objeto <rareitem>{raro}.","ใช้ <<itemvisual:CurrencyAddModToRare>> <currencyitem>{Exalted Orb} เพื่อเพิ่มม็อด 1 อย่างแบบสุ่มให้กับไอเทม<rareitem>{แรร์}","使用<<itemvisual:CurrencyAddModToRare>> <currencyitem>{崇高石}可以增強<rareitem>{稀有}物品，使其帶有 1 個新的隨機詞綴。",1,100,0,0,[],56
64,"ProxyKey69","","","","","","","","","","","Use a <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{Regal Orb} to upgrade a <magicitem>{Magic} item to a <rareitem>{Rare} item with 1 additional modifier.","Utilisez un <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{Orbe royal} pour améliorer un objet <magicitem>{magique} en un objet <rareitem>{rare} avec 1 modificateur supplémentaire.","Verwende eine <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{Hoheitliche Sphäre}, um einen <magicitem>{magischen} Gegenstand zu einem <rareitem>{seltenen} Gegenstand mit 1 zusätzlichen Modifikator zu verbessern.","<<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{王者のオーブ}を使用して<magicitem>{マジック}アイテムを追加で1個のモッドを持つ<rareitem>{レア}アイテムにアップグレードできます。","<<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{제왕의 오브}를 사용하면 <magicitem>{마법} 아이템을 추가 속성이 1개 있는 <rareitem>{희귀} 아이템으로 업그레이드할 수 있습니다.","Use um <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{Orbe Régio} para transformar um item <magicitem>{Mágico} em um item <rareitem>{Raro} com 1 modificador adicional.","Используйте <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{сферу царей} для улучшения <magicitem>{волшебного} предмета до <rareitem>{редкого} с 1 дополнительным свойством.","Usa un <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{orbe regio} para convertir un objeto <magicitem>{mágico} en un objeto <rareitem>{raro} con 1 modificador adicional.","ใช้ <<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{Regal Orb} เพื่ออัพเกรดไอเทม<magicitem>{เมจิก}ให้เป็นไอเทม<rareitem>{แรร์}และเพิ่มม็อด 1 อย่าง","使用<<itemvisual:CurrencyUpgradeMagicToRare>> <currencyitem>{富豪石}可以把<magicitem>{魔法}物品升級成帶有 1 個額外詞綴的<rareitem>{稀有}物品。",1,100,0,0,[],56
65,"ProxyKey70","","","","","","","","","","","Use a <<itemvisual:CurrencyRerollRare>> <currencyitem>{Chaos Orb} on a <rareitem>{Rare} item to replace a random existing modifier with a new random modifer. ","Utilisez un <<itemvisual:CurrencyRerollRare>> <currencyitem>{Orbe de chaos} sur un objet <rareitem>{rare} pour remplacer un modificateur existant choisi aléatoirement en un nouveau modificateur aléatoire. ","Verwende eine <<itemvisual:CurrencyRerollRare>> <currencyitem>{Chaossphäre} auf einen <rareitem>{seltenen} Gegenstand, um einen zufälligen existierenden Modifikator durch einen neuen zufällige Modifikator zu ersetzen.","<<itemvisual:CurrencyRerollRare>> <currencyitem>{混沌のオーブ}を使用して<rareitem>{レア}アイテムの既存のランダムなモッド1個を新しいモッドに置き換えることができます。 ","<<itemvisual:CurrencyRerollRare>> <currencyitem>{카오스 오브}를 <rareitem>{희귀} 아이템에 사용하면 기존 속성 1개를 새로운 무작위 속성으로 바꿀 수 있습니다.","Use um <<itemvisual:CurrencyRerollRare>> <currencyitem>{Orbe do Caos} em um item <rareitem>{Raro} para substituir um modificador existente aleatoriamente por um novo modificador aleatório.","Используйте <<itemvisual:CurrencyRerollRare>> <currencyitem>{сферу хаоса} на a <rareitem>{редком} предмете, чтобы заменить его случайное свойство новым.","Usa un <<itemvisual:CurrencyRerollRare>> <currencyitem>{orbe de caos} en un objeto <rareitem>{raro} para sustituir un modificador existente aleatorio por un nuevo modificador aleatorio.","ใช้ <<itemvisual:CurrencyRerollRare>> <currencyitem>{Chaos Orb} ไปกับไอเทม<rareitem>{แรร์} เพื่อลบม็อดที่มีอยู่แบบสุ่ม 1 อย่างแล้วเพิ่มม็อดแบบสุ่ม 1 อย่าง","使用<<itemvisual:CurrencyRerollRare>> <currencyitem>{混沌石}可以把<rareitem>{稀有}物品上的一個隨機既有詞綴替換成一個新的隨機詞綴。",1,100,0,0,[],56
66,"ProxyKey71","Assign your purchased skill cosmetics from your <b>{Skills} menu using <b>{Ctrl + Shift Left-click} on an assign skill.","Attribuez vos cosmétiques d'aptitude achetés depuis votre menu des {Aptitudes} en utilisant {Ctrl + Maj + Clic gauche} sur une aptitude assignée.","Weise deine gekauften Mikrotransaktionen für Fertigkeiten in deinem <b>{Fertigkeiten}menü zu, indem du mit <b>{Strg + Umschalt-Linksklick} auf eine Fertigkeit klickst.","購入したスキルエフェクトは、<b>{スキル}メニューから、割り当て済みスキルを<b>{Ctrl + Shift + 左クリック}することで適用できます。","<b>{스킬} 메뉴에서 할당한 스킬을 <b>{Ctrl + Shift + 좌클릭}하면 구매한 스킬 꾸미기 항목을 적용할 수 있습니다.","No menu de <b>{habilidades}, use <b>{Ctrl + Shift + clique-esquerdo} em uma habilidade atribuída para aplicar os efeitos cosméticos que você adquiriu.","Назначьте купленные украшения для умений из меню <b>{умений}, нажав <b>{Ctrl + Shift + ЛКМ} на умении.","Asigna los cosméticos de habilidades que has adquirido desde tu menú de <b>{habilidades} haciendo <b>{Ctrl + Shift Clic izq.} en una habilidad asignada.","เลือกใช้เอฟเฟคสกิลที่คุณซื้อมาได้จากเมนู<b>{สกิล}ด้วย <b>{Ctrl + Shift คลิกซ้าย}ไปกับสกิลที่ตั้งปุ่มเอาไว้","在你的<b>{技能}選單中對你裝備的技能按下<b>{Ctrl + Shift + 滑鼠左鍵}，以設定你已買的技能造型外觀。","Assign your purchased skill cosmetics from your <b>{Skills} tab of the <<xbox_button_view>> <b>{Character menu}.","Attribuez vos cosmétiques d'aptitude achetés depuis votre onglet des {Aptitudes} du <<xbox_button_view>> <b>{Menu de personnage}.","Weise deine gekauften Fertigkeitsmikrotransaktionen in deinem <b>{Fertigkeiten}reiter des <<xbox_button_view>> <b>{Charaktermenüs} zu. ","購入したスキルのコスメティックスは、<<xbox_button_view>> の<b>{キャラクターメニュー}内<b>{スキル}タブから割り当てられます","<<xbox_button_view>> <b>{캐릭터 메뉴}의 <b>{스킬} 탭에서 구매한 스킬 꾸미기 항목을 적용할 수 있습니다.","Use <<xbox_button_view>> para abrir o menu <b>{personagem}, acesse a aba de <b>{habilidades} e aplique os efeitos cosméticos que você adquiriu.","Назначьте купленные украшения для умений во вкладке <b>{умений} <<xbox_button_view>> <b>{меню персонажа}.","Asigna los cosméticos de habilidades que has adquirido desde tu pestaña de <b>{habilidades} del <<xbox_button_view>> <b>{menú del personaje}.","เลือกใช้เอฟเฟคสกิลที่คุณซื้อมาได้จากแท็บ<b>{สกิล}ภายใน <<xbox_button_view>> <b>{เมนูตัวละคร}","在你<<xbox_button_view>> <b>{角色選單}中的<b>{技能}頁面設定你已買的技能造型外觀。",1,100,0,0,[],56
67,"ProxyKey72","","","","","","","","","","","Assign <b>{Stash Affinities} to a tab via the <b>{Edit Tab Settings} to force item by category to quick stash to the selected tab.","Affectez des {Préférences de Réserve} à un onglet via les {Modifier les paramètres de l'Onglet} pour forcer le rangement rapide des objets par catégorie vers l'onglet sélectionné.","Weise <b>{Truhenfachzuweisungen} mit Hilfe von <b>{Facheinstellungen editieren} einem Fach zu, um zu erzwingen, dass Gegenstände nach Kategorie schnell in das ausgewählte Fach gelegt werden.","<b>{タブ設定の編集}から<b>{スタッシュアフィニティ}をタブに割り当てると、カテゴリごとにアイテムを選択タブへ自動収納できます。","<b>{탭 설정 편집}에서 <b>{보관함 속성}을 지정하면 특정 분류의 아이템을 선택한 탭에 빠르게 보관할 수 있습니다.","Em <b>{Editar Configurações de Aba}, defina as <b>{afinidades do baú} para guardar automaticamente os itens da categoria certa na aba correspondente.","Настройте <b>{распределение} по секциям в <b>{настройках секций}, чтобы быстро перекладывать предметы по категориям в выбранную секцию.","Asigna <b>{afinidades de pestañas} a una pestaña a través de <b>{Editar ajustes de pestañas} para forzar a que los objetos se guarden rápidamente en la pestaña seleccionada en función de su categoría.","จัดระบบกำหนดแท็บเป้าหมายให้กับแท็บต่างๆ ได้ผ่านทาง<b>{แก้ไขการตั้งค่าแท็บ}เพื่อบังคับให้ไอเทมหมวดหมู่ต่างๆ ถูกเก็บไปยังแท็บที่เลือกไว้อย่างรวดเร็ว","透過<b>{編輯頁面設定}，將<b>{倉庫相容性}設定到某個頁面，以強制按類別將物品快速移動到選定的頁面。",1,100,0,0,[],56
68,"ProxyKey73","","","","","","","","","","","<b>{Create Folders} in your stash via the <b>{Edit Tab Settings} to help organise them or cursor over a tab and press <<xbox_button_y>> to quickly reorder them.","Créez des dossiers dans votre réserve via {Modifier les paramètres de l'Onglet} pour les organiser ou passez le curseur sur un onglet et appuyez sur <<xbox_button_y>> pour les réordonner rapidement.","<b>{Erstelle Ordner} in deiner Truhe mit Hilfe von <b>{Facheinstellungen editieren}, um sie zu organisieren, oder bewege den Cursor über ein Truhenfach und drücke<<xbox_button_y>>, um sie schnell neu anzuordnen.","<b>{タブ設定の編集}から<b>{フォルダ作成}を行い、スタッシュを整理できます。また、タブにカーソルを合わせて <<xbox_button_y>> を押すと、素早く順序を並べ替えられます。","<b>{탭 설정 편집}에서는 <b>{폴더를 만들어} 탭을 정리할 수 있고, 탭 위에 커서를 가져가 <<xbox_button_y>>를 누르면 빠르게 순서를 변경할 수 있습니다.","<b>{Edite as configurações de aba} para <b>{criar pastas} e organizar o seu baú ou passe o cursor sobre uma aba e aperte <<xbox_button_y>> para reorganizar.","<b>{Создавайте папки} в вашем тайнике в <b>{настройках секций} для удобства организации или наведите курсор на секцию и нажмите <<xbox_button_y>>, чтобы быстро поменять порядок секций.","<b>{Crea carpetas} en tu alijo a través de <b>{Editar ajustes de pestañas} para ayudar a organizarlas o pasa el cursor sobre una pestaña y presiona <<xbox_button_y>> para reordenarlas rápidamente.","<b>{สร้างโฟลเดอร์}ภายในแท็บของคุณได้ผ่านทาง<b>{แก้ไขการตั้งค่าแท็บ}เพื่อจัดให้เป็นระเบียบ หรือชี้เคอร์เซอร์เหนือแท็บหนึ่งแล้ว <<xbox_button_y>> เพื่อจัดลำดับแท็บต่างๆ ใหม่อย่างรวดเร็ว","透過<b>{編輯頁面設定}，在倉庫中<b>{建立資料夾}以便於分類它們，或是將鼠標移動到頁面上方並按下 <<xbox_button_y>> 來快速分類它們。",1,100,0,0,[],56
69,"ProxyKey75","","","","","","","","","","","Skills can be bound to multiple slots in the <b>{Skill Binds} Menu to allow multiple targeting setups","Les aptitudes peuvent être liées à plusieurs emplacements dans le menu {Raccourcis des aptitudes} afin de permettre plusieurs configurations de ciblage.","Fertigkeiten können auf mehrere Plätze im Menü <b>{Fertigkeitenzuweisungen} gebunden werden, um mehrere Zielkonfigurationen zu ermöglichen.","<b>{スキル割り当て}メニューでスキルを複数のスロットに割り当て、複数のターゲット設定を行うことができます。","<b>{스킬 지정} 메뉴에서는 스킬을 여러 개의 칸에 지정하여, 대상 지정 설정을 여러 개 사용할 수 있습니다.","É possível vincular habilidades a vários espaços no menu de <b>{atalhos de habilidades} para usar diferentes tipos de mira.","Умения можно привязать к нескольким ячейкам в меню <b>{привязки умений}, чтобы задать для них разные методы прицеливания","Puedes asignar habilidades a diferentes espacios en el menú de <b>{Asignaciones de habilidades} para permitir varias configuraciones de selección de objetivos","คุณสามารถตั้งสกิลหนึ่งให้ใช้ได้หลายช่องภายในเมนู<b>{ตั้งปุ่มสกิล}เพื่อเซ็ตการเลือกเป้าหมายหลายวิธี","技能可以在<b>{技能綁定}選單中綁定到多個欄位，使一個技能可以有多種目標瞄準設定",1,100,0,0,[],56
70,"ProxyKey76","","","","","","","","","","","Assign <b>{Stash Affinities} to a tab via the <b>{Edit Tab Settings} to force item by category to quick stash to the selected tab.","Affectez des {Préférences de Réserve} à un onglet via les {Modifier les paramètres de l'Onglet} pour forcer le rangement rapide des objets par catégorie vers l'onglet sélectionné.","Weise <b>{Truhenfachzuweisungen} mit Hilfe von <b>{Facheinstellungen editieren} einem Fach zu, um zu erzwingen, dass Gegenstände nach Kategorie schnell in das ausgewählte Fach gelegt werden.","<b>{タブ設定の編集}から<b>{スタッシュアフィニティ}をタブに割り当てると、カテゴリごとのアイテムを選択したタブに強制的にクイック収納できます。","<b>{탭 설정 편집}에서 <b>{보관함 속성}을 지정하면 특정 분류의 아이템을 선택한 탭에 빠르게 보관할 수 있습니다.","Em <b>{Editar Configurações de Aba}, defina as <b>{afinidades do baú} para guardar automaticamente os itens da categoria certa na aba correspondente.","Настройте <b>{распределение} по секциям в <b>{настройках секций}, чтобы быстро перекладывать предметы по категориям в выбранную секцию.","Asigna <b>{afinidades de pestañas} a una pestaña a través de <b>{Editar ajustes de pestañas} para forzar a que los objetos se guarden rápidamente en la pestaña seleccionada en función de su categoría.","จัดระบบกำหนดแท็บเป้าหมายให้กับแท็บต่างๆ ได้ผ่านทาง<b>{แก้ไขการตั้งค่าแท็บ}เพื่อบังคับให้ไอเทมหมวดหมู่ต่างๆ ถูกเก็บไปยังแท็บที่เลือกไว้อย่างรวดเร็ว","透過<b>{編輯頁面設定}，將<b>{倉庫相容性}設定到某個頁面，以強制按類別將物品快速移動到選定的頁面。",1,100,0,0,[],56
71,"ProxyKey77","Hold Spacebar after Dodge Rolling to go into a Sprint!","Maintenez la barre d'espace enfoncée après une Roulade pour vous lancer dans un Sprint !","Halte nach der Ausweichrolle die Leertaste gedrückt, um in den Sprint überzugehen!","スペースキーを押し続けることで、ドッジロールした後にスプリント状態になることができます！","회피 구르기 후 스페이스바를 길게 누르면 달리기 시작합니다!","Segure a barra de espaço após usar a cambalhota evasiva para correr!","Удерживайте пробел после уворота кувырком, чтобы перейти на спринт!","¡Mantén presionada la barra espaciadora después de esquivar rodando para comenzar a esprintar!","กด <b>{Spacebar} ค้างหลังจากที่กลิ้งหลบเพื่อวิ่ง!","在閃避翻滾後按住空白鍵，就可以進行衝刺！","","","","","","","","","","",1,100,0,0,[],56
72,"ProxyKey78","Only one copy of any given <b>{Skill Gem} can be socketed at a time.","Seule une copie d'une même <b>{Gemme d'aptitude} peut-être enchâssée à la fois.","Es kann gleichzeitig nur eine Kopie einer <b>{Fertigkeitengemme} eingefasst sein.","同じスキルジェムを複数同時にソケットすることはできません。","동일한 <b>{스킬 젬}은 한 번에 하나만 장착할 수 있습니다.","Só é possível encaixar uma cópia de uma mesma <b>{gema de habilidade} por vez.","Одновременно можно разместить в ячейке только одну копию любого <b>{камня умения}.","No puedes engarzar más de una copia de cualquier <b>{gema de habilidad} a la vez.","คุณสามารถใส่<b>{หินสกิล}แบบเดียวกันได้เพียงเม็ดเดียวเท่านั้น","同一種<b>{技能寶石}在同一時間內只能鑲嵌一顆。","","","","","","","","","","",1,100,0,0,[],56
