"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Invisible","Removable","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Stats","CancelOnDeath","MergeMode","ShowCount","Maximum_Stat","Current_Stat","bool_80","i32_81","BuffVisual","bool_101","bool_102","BuffCategory","bool_107","bool_108","bool_109","bool_110","BuffLimit","bool_115","Implementation","IsRecovery","bool_125","MinStat","bool_142","UIStackMode","bool_147","IsSkillBuff","i32_149","[i32]_153","bool_169","bool_170","MultiPartAchievement","bool_187","Stats2","GrantedFlags","GrantedStats","ConditionStats","bool_252","bool_253","bool_254","bool_255","rid_256","[i32]_272","string_288","string_288 (French)","string_288 (German)","string_288 (Japanese)","string_288 (Korean)","string_288 (Portuguese)","string_288 (Russian)","string_288 (Spanish)","string_288 (Thai)","string_288 (Traditional Chinese)","[rid]_296","[i32]_312","i32_328","PreloadGroup","bool_348","bool_349","bool_350"
2487,"ignagduk_firewall_degen","You are taking Fire Damage while inside a Flame Wall.","Vous subissez des Dégâts de feu tant que vous vous trouvez à l'intérieur d'un Mur de flammes.","Ihr erleidet Feuerschaden, während ihr Euch in einer Feuermauer befindet.","フレイムウォールの中にいるため火継続ダメージを受けている","화염 벽 안에 있어 화염 피해를 받고 있습니다.","Você sofre dano de fogo por permanecer na Parede de Fogo.","Вы получаете урон от огня, стоя в Стене пламени.","Recibes daño de fuego por estar dentro de un muro de fuego.","คุณจะได้รับความเสียหาย ไฟ ขณะที่อยู่ในกำแพงไฟ","你在烈焰之牆內受到火焰傷害。","","","Flame Wall","Mur de flammes","Feuermauer","フレイムウォール","화염 벽","Parede de Fogo","Стена пламени","Muro de fuego","กำแพงไฟ","烈焰之牆",[1963],1,3,"","","","",31,186,"","",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[1963],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2488,"unique_enemies_in_presence_have_exposure","","","","","","","","","","",1,"","","","","","","","","","","",[],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","GenericBuffAura","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2489,"infernal_hound_burning_ring","","","","","","","","","","",1,"","","","","","","","","","","",[],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","AilmentApplicationAura","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2490,"time_stop_resistance","","","","","","","","","","",1,"","","","","","","","","","","",[],"",1,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2491,"Sanctum_frozen","Cannot move or take actions","Ne peut pas se déplacer ni agir","Kann sich nicht bewegen oder Aktionen durchführen.","移動できず、アクションを起こせない。","이동하거나 행동을 할 수 없습니다.","Não pode se mover ou executar ações.","Нельзя двигаться или предпринимать действия","No puedes moverte ni realizar acciones","ไม่สามารถเคลื่อนที่หรือกระทำอะไรได้","無法移動或做任何動作","","","Frozen","Gelé","Eingefroren","凍結","동결","Congelado","Заморожен","Congelado","แช่แข็ง","冰凍",[11610],1,13,"","","",1,31,2292,"","",2,"",1,1,"",0,"","FreezeBuff","","","","",8,"","",0,[],"","",[],"",[],[],[11610],"[13646,1985]","","",1,1,"",[],"","","","","","","","","","",[],[],1,[],"","",""
2492,"sanctum_frozen_hideout","You are slowed","Vous êtes ralenti","Ihr seid verlangsamt.","減速している","움직임이 느려집니다.","Você sofre desaceleração","Вы замедлены","Estás ralentizado","คุณถูกทำให้เชื่องช้า","你被緩速。","","","Slowed Time","Ralentissement du temps","Zeitverlangsamung","減速する時間","느려진 시간","Tempo Desacelerado","Замедление времени","Tiempo ralentizado","กาลเวลาเชื่องช้า","時間減緩",[22436],1,2,"","","",1,31,2292,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[22436],[],"","",1,1,"",[],"","","","","","","","","","",[],[],1,[],"","",""
2493,"charge_mastery_reservation","","","","","","","","","","",1,"","","","","","","","","","","","[19950,19951,19952,20207,20208,20206,8948]","",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"",1,0,[],"","",[],"",[],"[19912,19913,19914]","[19950,19951,19952,20207,20208,20206,8948]",[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2494,"tornado_shot_damaging_debuff","","","","","","","","","","",1,"","","","","","","","","","","",[344],"",3,"","","","",31,0,1,"",2,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],[344],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2495,"number_of_crossbow_bolts_reloaded_in_past_X_seconds_from_support_fresh_clip","","","","","","","","","","",1,"","","","","","","","","","","",[],"",3,1,"","","",31,0,1,"",18,"",1,1,"",0,1,"ActionRecentlyCounterBuff","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2496,"shard_despoiler_reservation","","","","","","","","","","",1,"","","","","","","","","","","",[19927],"",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","ShardDespoilerReservation","","","","",8,"",1,0,[],"","",[],"",[],[],[19927],[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2497,"ready_ancestral_slam","","","","","","","","","","",1,"","","","","","","","","","","",[],"",2,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[19955],[],[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2498,"shrine_fire_2","You gain Damage as Fire Damage and Meteors rain down around you.","Vous rajoutez des Dégâts sous forme de Dégâts de feu et des Météores s'abattent autour de vous.","Ihr erhaltet Schaden als Feuerschaden und Meteore regnen um Euch herum herab.","ダメージの一部を火ダメージとして獲得し、隕石が周囲に降り注ぐ。","피해를 화염 피해로 획득하고 유성이 주위에 마구 떨어집니다.","Você ganha dano como dano de fogo e meteoros caem ao seu redor.","Вы наносите дополнительный урон от огня и вокруг вас падают метеоры.","Ganas el daño como daño de fuego y caen meteoritos a tu alrededor.","คุณนำความเสียหายไปเสริมเป็น ไฟ และอุกกาบาตตกลงมารอบตัวคุณ","你獲得火焰傷害，且隕星在你周圍從天而降。","",1,"Meteoric Shrine","Autel météorique","Meteoritenschrein","隕石のシュライン","유성 성소","Altar Meteórico","Алтарь метеоров","Santuario de meteoritos","แท่นบูชาอุกกาบาต","隕石神殿","[5470,17753]",1,3,"","","","",31,271,1,"",9,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,17753]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2499,"shrine_lightning_2","You gain Damage as Lightning Damage and bolts strike the ground around you.","Vous rajoutez des Dégâts sous forme de Dégâts de foudre et des éclairs frappent le sol autour de vous.","Ihr erhaltet Schaden als Blitzschaden und Blitze schlagen in den Boden um Euch herum ein.","ダメージの一部を雷ダメージとして獲得し、稲妻が周囲の地面に落ちる。","피해를 번개 피해로 획득하고 주위의 바닥에 벼락이 떨어집니다.","Você ganha dano como dano elétrico e relâmpagos atingem o chão ao seu redor.","Вы наносите дополнительный урон от молнии и вокруг вас в землю бьют разряды.","Ganas el daño como daño de rayo y unas descargas golpean el suelo a tu alrededor.","คุณนำความเสียหายไปเสริมเป็น สายฟ้า และฟ้าผ่าลงมายังพื้นรอบตัวคุณ","你獲得閃電傷害，且閃電會擊中你周圍的地面。","",1,"Tempest Shrine","Autel de la Tempête","Gewitterschrein","嵐のシュライン","폭풍의 성소","Altar da Tempestade","Алтарь бури","Santuario de tempestad","แท่นบูชามรสุม","暴風神殿","[5470,17755]",1,3,"","","","",31,272,1,"",9,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,17755]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2500,"shrine_cold_2","You gain Damage as Cold Damage and freezing shards fire around you in a spiral.","Vous rajoutez des Dégâts sous forme de Dégâts de froid et des éclats de glace sont tirés en spirale autour de vous.","Ihr erhaltet Kälteschaden und eisige Splitter werden spiralförmig um Euch herum abgefeuert.","ダメージの一部を冷気ダメージとして獲得し、氷の破片が螺旋を描いて周囲に放たれる。","피해를 냉기 피해로 획득하고 동결의 파편이 주위에 나선형으로 발사됩니다.","Você ganha dano como dano de frio e lança fragmentos de gelo em espiral ao seu redor.","Вы наносите дополнительный урон от холода и вокруг вас по спирали разлетаются замораживающие осколки.","Ganas el daño como daño de hielo y unas esquirlas congelantes se disparan a tu alrededor en forma de espiral.","คุณนำความเสียหายไปเสริมเป็น น้ำแข็ง และสะเก็ดน้ำแข็งยิงออกมาเป็นเกลียวรอบตัวคุณ","你獲得冰冷傷害，且冰凍裂片會以螺旋狀朝你周圍發射。","",1,"Freezing Shrine","Autel du Gel","Gefrierschrein","凍結のシュライン","동결의 성소","Altar Congelante","Алтарь стужи","Santuario de congelamiento","แท่นบูชาแช่แข็ง","霜寒神殿","[5470,17754]",1,3,"","","","",31,273,1,"",9,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,17754]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2501,"shrine_cold_2_monster","","","","","","","","","","","",1,"","","","","","","","","","","[5470,17754]",1,3,"","","","",31,273,1,"",9,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,17754]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2502,"shrine_gloom_2","You gain Damage as Chaos Damage and slain enemies can explode dealing Chaos Damage based on their maximum Life.","Vous rajoutez des Dégâts sous forme de Dégâts de chaos et les ennemis que vous tuez peuvent exploser, infligeant des Dégâts de chaos en fonction de leur Vie maximale.","Ihr erhaltet Schaden als Chaosschaden und Gegner, die Ihr tötet, haben eine Chance zu explodieren und einen Teil ihres maximalen Lebens als Chaosschaden zu verursachen.","ダメージの一部を混沌ダメージとして獲得し、倒した敵は爆発し、その最大ライフに基づいて混沌ダメージを与える。","피해를 카오스 피해로 획득하고, 처치한 적이 일정 확률로 폭발하며 최대 생명력에 따라 카오스 피해를 줍니다.","Você ganha dano como dano de caos e inimigos abatidos podem explodir, causando dano de caos com base na vida máxima deles.","Вы наносите дополнительный урон хаосом и убитые враги могут взорваться, нанеся урон хаосом на основе их максимума здоровья.","Ganas el daño como daño de caos, y los enemigos derrotados pueden explotar para infligir daño de caos en función de su vida máxima. ","คุณนำความเสียหายไปเสริมเป็น เคออส และศัตรูที่คุณสังหารมีโอกาสที่จะระเบิด สร้างความเสียหาย เคออส ตามพลังชีวิตสูงสุดของมัน","你獲得混沌傷害。擊殺的敵人會爆炸，並依其最大生命造成混沌傷害。","",1,"Gloom Shrine","Autel de la Morosité","Finsterschrein","暗闇のシュライン","순흑의 성소","Altar Sombrio","Алтарь мрака","Santuario de penumbra","แท่นบูชามืดมัว","漆黑神殿","[17756,4296,5470]",1,3,"","","","",31,274,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[17756,4296,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2503,"shrine_acceleration_2","You have increased Skill and Movement Speed.","Vous avez une Augmentation de Vitesse des aptitudes et de délacement.","Ihr habt erhöhte Fertigkeits- und Bewegungsgeschwindigkeit.","スキルスピードおよび移動スピードが増加している。","스킬 속도 및 이동 속도가 증가합니다.","Você tem mais velocidade de habilidade e de movimento.","У вас повышена скорость умений и передвижения.","Tienes las velocidades de habilidades y movimiento aumentadas.","คุณมีความเร็วในการใช้สกิลและเคลื่อนที่ เพิ่มขึ้น","你增加技能和移動速度。","",1,"Acceleration Shrine","Autel d'Accélération","Schrein der Beschleunigung","加速のシュライン","가속의 성소","Altar da Aceleração","Алтарь скорости","Santuario de aceleración","แท่นบูชาเร่งความเร็ว","迅速神殿","[19910,172,5470]",1,3,"","","","",31,275,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[19910,172,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2504,"shrine_godmode_2","You cannot be Damaged.","Vous ne pouvez pas subir de Dégâts.","Ihr erleidet keinen Schaden.","ダメージを受けることがない。","피해를 받지 않습니다.","Você não sofre dano.","Вам нельзя нанести урон.","No te pueden infligir daño.","คุณไม่ได้รับความเสียหาย","你不會受到任何傷害。","",1,"Divine Shrine","Autel Divin","Göttlicher Schrein","神のシュライン","신성한 성소","Altar Divino","Алтарь богоподобия","Santuario divino","แท่นบูชาเทพเจ้า","聖潔神殿","[135,5470]",1,3,"","","","",31,276,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[135,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2505,"shrine_godmode_2_boss","Taking 80% less damage.","Vous avez 80% de Perte de Dégâts subis.","Erleidet 80% weniger Schaden.","受けるダメージが80%低下している。","받는 피해가 80% 감폭됩니다.","Sofrendo -80% de dano.","Вы получаете на 80% меньше урона.","Recibes un 80% menos de daño.","ได้รับความเสียหาย ลดลง อีก 80%","承受80%更少傷害。","",1,"Divine Shrine","Autel Divin","Göttlicher Schrein","神のシュライン","신성한 성소","Altar Divino","Алтарь богоподобия","Santuario divino","แท่นบูชาเทพเจ้า","聖潔神殿","[25968,5470]",1,3,"","","","",31,276,1,"",1,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[25968,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2506,"shrine_magicfind_2","You have increased Rarity of Items Found.","Vous avez une Augmentation de Rareté des objets trouvés.","Ihr habt erhöhte Seltenheit.","見つかるアイテムのレアリティが増加している。","발견하는 아이템의 희귀도가 증가합니다.","Você tem mais raridade de itens.","Вы находите предметы повышенной редкости.","Tienes rareza de objetos aumentada.","คุณมีระดับความหายากของ ไอเทม ที่พบ เพิ่มขึ้น","你增加物品掉落稀有度。","",1,"Seeking Shrine","Autel de la Convoitise","Schrein der Suche","探求のシュライン","추적의 성소","Altar da Busca","Алтарь поисков","Santuario de búsqueda","แท่นบูชาเสาะแสวง","追尋神殿","[5470,148]",1,3,"","","","",31,283,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,148]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2507,"shrine_magicfind_2_monster","","","","","","","","","","","",1,"","","","","","","","","","","[5470,19074]",1,3,"","","","",31,283,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,19074]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2508,"shrine_massive_2","You have increased Life and Defences.","Vous avez une Augmentation de Vie et de Défenses.","Ihr habt erhöhtes Leben und Verteidigungen.","ライフおよび防御力が増加している。","생명력과 방어력이 증가합니다.","Você tem mais vida e defesas.","У вас увеличено здоровье и повышена защита.","Tienes vida y defensas aumentadas.","คุณมีพลังชีวิตและค่าป้องกัน เพิ่มขึ้น","你的生命和防禦增加。","",1,"Enduring Shrine","Autel de la Ténacité","Ausdauernder Schrein","持久のシュライン","인내의 성소","Altar da Tolerância","Алтарь выносливости","Santuario de fortaleza","แท่นบูชาทนทาน","耐久神殿","[1990,118,5470]",1,3,"","","","",31,278,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[1990,118,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2509,"shrine_regeneration_2","You are regenerating Life and Mana.","Vous régénérez de la Vie et du Mana.","Ihr regeneriert Leben und Mana.","ライフおよびマナが自動回復している。","생명력 및 마나를 재생합니다.","Você está regenerando vida e mana.","Вы регенерируете здоровье и ману.","Regeneras vida y maná.","คุณกำลังฟื้นฟู พลังชีวิตและมานา","你的生命和魔力正在回復。","",1,"Replenishing Shrine","Autel de la Régénération","Schrein der Erneuerung","補充のシュライン","회복의 성소","Altar Revigorante","Алтарь восполнения","Santuario de recarga","แท่นบูชาเติมพลัง","回復神殿","[123,440,5470]",1,3,"","","","",31,279,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[123,440,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2510,"shrine_experience_2","You gain increased Experience.","Vous avez une Augmentation de l'expérience gagnée.","Ihr erhaltet erhöhte Erfahrung.","獲得する経験値が増加している。","경험치 획득량이 증가합니다.","Você ganha mais experiência.","Вы получаете увеличенное количество опыта.","Ganas experiencia aumentada.","คุณได้รับค่าประสบการณ์ เพิ่มขึ้น","你獲得的經驗增加。","",1,"Enlightening Shrine","Autel de l'Illumination","Schrein der Erleuchtung","啓蒙のシュライン","깨우침의 성소","Altar Iluminador","Алтарь просвещения","Santuario de instrucción","แท่นบูชาเบิกปัญญา","啟蒙神殿","[152,5470]",1,3,"","","","",31,277,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[152,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2511,"shrine_experience_2_monster","","","","","","","","","","","",1,"","","","","","","","","","","[5470,19074]",1,3,"","","","",31,277,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,19074]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2512,"shrine_goldfind_2","Monsters you kill only drop gold.","Les monstres que vous tuez cèdent uniquement de l'or.","Von Euch getötet Monster lassen nur Gold fallen.","倒したモンスターはゴールドだけをドロップする","처치하는 몬스터가 골드만 떨어뜨립니다.","Os monstros que você mata só largam ouro.","Из убитых вами монстров выпадает только золото.","Los monstruos que matas solo arrojan oro.","ศัตรูที่คุณสังหารจะดรอปเฉพาะทองเท่านั้น","你所擊殺的怪物僅會掉落金幣。","",1,"Greed Shrine","Autel de la Cupidité","Schrein der Gier","強欲のシュライン","탐욕의 성소","Altar da Ganância","Алтарь жадности","Santuario de avaricia","แท่นบูชาความโลภ","貪婪神殿","[5470,21623,19679]",1,3,"","","","",31,280,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,21623,19679]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2513,"shrine_goldfind_2_monster","","","","","","","","","","","",1,"Greed Shrine","Autel de la Cupidité","Schrein der Gier","強欲のシュライン","탐욕의 성소","Altar da Ganância","Алтарь жадности","Santuario de avaricia","แท่นบูชาความโลภ","貪婪神殿","[5470,19074]",1,3,"","","","",31,280,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,19074]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2514,"shrine_noequipment_2","All Equipment found converted to other items.","Tous les objets d'Équipement trouvés sont convertis en autres objets.","Sämtliche gefundene Rüstung wird in andere Gegenstände umgewandelt.","見つけた装備品は全て他のアイテムに変換される","찾는 모든 장비를 다른 아이템으로 전환합니다.","Todos os equipamentos encontrados são convertidos em outros itens.","Всё найденное снаряжение превращается в другие предметы.","Todo el equipamiento que cae se convierte en otros objetos.","ไอเทมสวมใส่ที่พบทั้งหมดจะถูกแปลงเป็นไอเทมอื่น","所有掉落的裝備都會轉換成其他物品。","",1,"Greed Shrine","Autel de la Cupidité","Schrein der Gier","強欲のシュライン","탐욕의 성소","Altar da Ganância","Алтарь жадности","Santuario de avaricia","แท่นบูชาความโลภ","貪婪神殿","[5470,21623]",1,3,"","","","",31,280,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,21623]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2515,"shrine_noequipment_2_monster","","","","","","","","","","","",1,"Greed Shrine","Autel de la Cupidité","Schrein der Gier","強欲のシュライン","탐욕의 성소","Altar da Ganância","Алтарь жадности","Santuario de avaricia","แท่นบูชาความโลภ","貪婪神殿","[5470,19074]",1,3,"","","","",31,280,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,19074]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2516,"shrine_resistance_2","You have additional Resistance to Elemental Damage.","Vous avez une Résistance supplémentaire contre les Dégâts élémentaires.","Ihr habt zusätzliche Widerstände gegen Elementarschaden.","元素ダメージに対する追加の耐性を得ている。","원소 피해 저항을 추가로 획득합니다.","Você tem resistência a dano elemental adicional.","Вы получаете дополнительное сопротивление урону от стихий.","Tienes resistencia adicional al daño elemental.","คุณมีค่าต้านทานความเสียหายจาก ธาตุ เพิ่มเติม","你獲得額外的元素傷害抗性。","",1,"Resistance Shrine","Autel de la Résistance","Schrein des Widerstands","耐性のシュライン","저항의 성소","Altar da Resistência","Алтарь выдержки","Santuario de resistencia","แท่นบูชาต้านทาน","抗性神殿","[136,953,5470]",1,3,"","","","",31,281,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[136,953,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2517,"shrine_critical_2","You always deal [Critical|Critical Hits].","Vous infligez toujours des [Critical|Touches critiques].","Ihr verursacht immer [Critical|kritische Treffer].","常に[Critical|クリティカルヒット]を与える。","항상 [Critical|치명타 명중]을 가합니다.","Você sempre causa [Critical|golpes críticos].","Вы всегда наносите [Critical|критические попадания].","Siempre infliges [Critical|impactos críticos].","คุณ[Critical|ปะทะคริติคอล]เสมอ","你必定造成[Critical|暴擊]","",1,"Diamond Shrine","Autel de Diamant","Diamantenschrein","ダイアモンドのシュライン","다이아몬드의 성소","Altar Diamante","Алтарь алмазов","Santuario de diamante","แท่นบูชาเพชร","鑽石神殿","[339,5470]",1,3,"","","","",31,282,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[339,5470]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2518,"shrine_corrupt_2","All item drops are Corrupted.","Tous les objets cédés sont Corrompus.","Alle fallen gelassenen Gegenstände sind verderbt.","ドロップするすべてのアイテムはコラプト状態である。","떨어지는 모든 아이템이 타락합니다.","Todos os itens encontrados são corrompidos.","Все выпадающие предметы осквернены.","Todos los objetos que caen están corruptos.","ไอเทมทุกอย่างที่ดรอป มีมลทิน","所有掉落物品均已汙染。","",1,"Corrupting Shrine","Autel de la Corruption","Verderbender Schrein","穢れのシュライン","타락의 성소","Altar Corruptivo","Алтарь порчи","Santuario corruptor","แท่นบูชามลทิน","腐化神殿","[5470,3037,3040]",1,3,"","","","",31,284,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,3037,3040]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2519,"shrine_corrupt_2_monster","","","","","","","","","","","",1,"","","","","","","","","","","[5470,19074]",1,3,"","","","",31,284,1,"",7,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[5470,19074]",[16399],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2520,"overwhelming_pressure_aura","Reduced [EnemyStunThreshold|Stun] and [AilmentThreshold|Ailment Threshold].","Seuils d'[EnemyStunThreshold|Étourdissement] et d'[AilmentThreshold|Altération] réduits.","Verringert die Schwelle für [EnemyStunThreshold|Betäubungen] und [AilmentThreshold|Beeinträchtigungen].","[EnemyStunThreshold|スタン]および[AilmentThreshold|元素状態閾値]が減少している。","[EnemyStunThreshold|기절] 및 [AilmentThreshold|상태 이상 한계치] 감소","Você tem menos [EnemyStunThreshold|resistência-limite a atordoamento] e a [AilmentThreshold|afecções].","Снижает порог [EnemyStunThreshold|оглушения] и [AilmentThreshold|наложения состояний] на врагов.","Umbrales de [EnemyStunThreshold|aturdimiento] y [AilmentThreshold|estados alterados] reducidos.","ลดความยากในการติดสถานะ [EnemyStunThreshold|สตัน] และ [AilmentThreshold|สถานะเจ็บป่วย]","降低[EnemyStunThreshold|暈眩]和[AilmentThreshold|異常狀態門檻]。","","","Overwhelming Presence","Présence accablante","Überwältigende Präsenz","圧倒的な存在感","압도적인 존재감","Presença Sobrepujante","Подавляющее присутствие","Presencia abrumadora","ปรากฏกายท่วมท้น","壓倒性的存在","[3340,9878]","",3,"","","","",31,2299,1,"",2,"",1,1,"",0,"","","","","","",8,"",1,0,[],"","",[],"",[],[],"[3340,9878]",[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2521,"alchemist_boon_reservation","","","","","","","","","","",1,"","","","","","","","","","","","[19449,19957,25313,26500]","",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"",1,0,[],"","",[],"",[],[],"[19449,19957,25313,26500]",[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2522,"demon_claw_boss_chill_sword","","","","","","","","","","",1,"","","","","","","","","","","","[4792,17754]",1,2,"","","","",31,2300,1,"",18,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],"[4792,17754]",[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2523,"demon_claw_boss_blackflame_sword","","","","","","","","","","",1,"","","","","","","","","","","",[17756],1,2,"","","","",31,2301,1,"",18,"",1,1,"",0,1,"","","","","",8,"","",0,[],"","",[],"",[],[],[17756],[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2524,"harvester_reservation","","","","","","","","","","",1,"","","","","","","","","","","","[19963,154]","",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"",1,0,[],"","",[],"",[],[19965],"[19963,154]",[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2525,"melee_kill_invocation_reserve","","","","","","","","","","","","","Reaper Invocation","Invocation de Faucheur","Schnitter-Heraufbeschwörung","リーパーインボケーション","수확자 기원","Invocação Ceifadora","Вызов жнеца","Conjuración de segador","มนต์ยมทูต","收割者祈願",[],1,3,1,"","","",31,2143,1,"",1,"",1,1,"",0,"","","","","","",5,"",1,0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2526,"melee_kill_invocation_count","","","","","","","","","","",1,"","","","","","","","","","","",[],1,1,"","","","",31,0,1,"",18,"","","","",0,"","GenericOngoingTriggerCount","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],1,[],"","",""
2527,"demon_form_spell_gem_buff","","","","","","","","","","",1,"","","","","","","","","","","","[9521,213,17787]","",2,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"","",0,[],"","",[],"",[],[],"[9521,213,17787]",[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2528,"archmage_reservation","","","","","","","","","","",1,"","","","","","","","","","","","[19985,19973]","",3,"","","","",31,0,1,"",18,"",1,1,"",0,"","","","","","",8,"",1,0,[],"","",[],"",[],[19980],"[19985,19973]",[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
2529,"minion_gain_and_lose_life_when_owner_does","","","","","","","","","","",1,"","","","","","","","","","","",[],1,3,"","","","",31,0,1,"",18,"",1,1,"",0,"","MinionGainAndLoseLifeWhenOwnerDoes","","","","",8,"","",0,[],"","",[],"",[],[],[],[],"","","","","",[],"","","","","","","","","","",[],[],6,[],"","",""
