"rownum","Id","WorldArea","WorldAreasKeys","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","QuestFlags1","Act","QuestFlags2","QuestFlags3","QuestFlag1","string_124","ParentMapPin","MetadataId","PinProperty","QuestFlag2","string_180","string_180 (French)","string_180 (German)","string_180 (Japanese)","string_180 (Korean)","string_180 (Portuguese)","string_180 (Russian)","string_180 (Spanish)","string_180 (Thai)","string_180 (Traditional Chinese)","bool_188","i32_189","i32_193","bool_197","i32_198"
391,"G4_4_1_NavaliRewardEarned",187,[],"Navali's Rest","Le Repos de Navali","Navalis Rast","ナヴァリの安息地","나발리의 휴식처","Refúgio de Navali","Могила Навали","Descanso de Navali","ที่พักของนาวาลี","娜瓦莉憩地","Navali offers wisdom to those who seek it.\r\n\r\n<white>{5% increased Maximum Mana}","Navali offre la sagesse à ceux qui la recherchent.\r\n\r\n<white>{5% d'Augmentation du Mana maximal}","Navali gewährt denjenigen Weisheit, die danach suchen.\r\n\r\n<white>{5% erhöhtes maximales Mana}","ナヴァリは求める者には知恵を授ける。\r\n\r\n<white>{最大マナ 5%増加}","나발리는 지혜를 구하는 자에게 지혜를 줍니다.\r\n\r\n<white>{마나 최대치 5% 증가}","Navali oferece conselhos a quem busca orientação.\r\n\r\n<white>{Mana máximo aumentado em 5%}","Навали дарует мудрость ищущим.\r\n\r\n<white>{5% увеличение максимума маны}","Navali ofrece sabiduría a quienes la buscan.\r\n\r\n<white>{Maná máximo aumentado un 5%}","นาวาลีให้ปัญญา\r\nแก่ผู้ที่แสวงหา\r\n\r\n<white>{เพิ่มมานาสูงสุด 5%}","娜瓦莉給予追尋者智慧。\r\n\r\n<white>{增加 5% 最大魔力}",[497],4,[72],[],"","WorldMapContentQuestionMarkUpgradeDone",389,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinNavaliReward",0,"","","","","","","","","","","","",4830,4830,1,56
392,"G4_4_2",188,[188],"Halls of the Dead","Les Couloirs des Morts","Hallen der Toten","死者の殿堂","죽음의 전당","Salão dos Mortos","Залы мёртвых","Salones de los muertos","โถงแห่งผู้วายชนม์","亡者之殿","The greatest warriors in history challenge one another eternal.","Les plus grands guerriers de l'histoire se défient éternellement.","Die größten Krieger der Geschichte fordern sich gegenseitig zum ewigen Kampf heraus.","史上最強の戦士たちが永遠に互いと競っている。","사상 최고의 전사들이 영원히 서로 도전합니다.","Os maiores guerreiros da história se enfrentam pela eternidade.","Величайшие воины в истории бьются друг с другом без конца.","Los mayores guerreros de la historia se desafían entre sí eternamente.","นักรบผู้ยิ่งใหญ่\r\nในประวัติศาสตร์\r\nท้าทายกันและกัน\r\nไปชั่วกาลนาน","史上最偉大的戰士們會永無止盡地戰鬥。",[3868],4,[3869],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinHallsOfTheDead","","","","","","","","","","","","","",4830,4830,"",56
393,"G4_4_2_YamaBoss",188,[],"Yama The White","Yama le Blanc","Yama der Weiße","白猿のヤマ","하얀 야마","Yama, o Branco","Белый Яма","Yama, el Blanco","ยามา วานรขาว","白之亞瑪","Monkey business awaits at the bottom of the Halls of the Dead.","Une sorte de singerie vous attend au fond des Couloirs des morts.","Ein Affentheater wartet tief unten in den Hallen der Toten.","死者の殿堂で待ち受けるのはモンキー・ビジネスだ。","죽음의 전당 바닥에서 짓궂은 원숭이가 기다립니다.","Assuntos de macaco acontecem no fundo do Salão dos Mortos.","Обезьяний вопрос ждёт на дне Залов мёртвых.","El asunto del mono se ha resuelto. ¡Acércate para encontrar a la Madre de la muerte!","มีเรื่องลิงรออยู่เบื้องล่าง\r\nโถงแห่งผู้วายชนม์","在亡者之殿底部，有隻猴子等著跟你演一齣戲。",[3869],4,[72],[5206],"","WorldMapContentBoss",392,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinYama",0,"","","","","","","","","","","","",4830,4830,"",56
394,"G4_4_2_YamaBossSlain",188,[],"Yama The White","Yama le Blanc","Yama der Weiße","白猿のヤマ","하얀 야마","Yama, o Branco","Белый Яма","Yama, el Blanco","ยามา วานรขาว","白之亞瑪","Monkey business solved. Step forth to meet the Mother of Death!\r\n\r\n<white>{Grants Two Weapon Set Passive Skill Points}","Singerie déjouée. Avancez pour rencontrer la Mère de la Mort !","Das Affentheater ist vorbei. Tretet vor, um die Mutter des Todes zu treffen!\r\n\r\n<white>{Gewährt zwei Waffenset-Fertigkeitspunkte}","モンキー・ビジネスは解決した。死の母に会いに行くのだ！\r\n\r\n<white>{武器セットパッシブスキルポイント2点を与える}","원숭이의 짓궂은 짓은 끝났습니다. 앞으로 나와 죽음의 어머니를 알현하십시오!\r\n\r\n<white>{무기 세트 패시브 스킬 포인트 2 부여}","O assunto de macaco foi resolvido. Avance e encontre a Mãe da Morte!\r\n\r\n<white>{Concede dois pontos de habilidades passivas de conjunto de armas}","С обезьяной разобрались. Ступай вперёд и встреть Мать Смерти!\r\n\r\n<white>{Дарует два очка пассивных умений для набора оружия}","El asunto del mono se ha resuelto. ¡Acércate para encontrar a la Madre de la muerte!\r\n\r\n<white>{Otorga dos puntos de habilidades pasivas de set de armas}","จบเรื่องลิงแล้ว\r\nก้าวออกมาพบกับ\r\nพระมารดาแห่งความตาย!\r\n\r\n<white>{ให้แต้มพาสซีฟชุดอาวุธ 2 แต้ม}","猴戲已經耍完。向前邁進，和死亡之母會面！\r\n\r\n<white>{獲得 2 點武器套裝天賦點}",[5206],4,[72],[],"","WorldMapContentBossDone",392,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinYama",0,"","","","","","","","","","","","",4830,4830,1,56
395,"G4_4_2_Tattoos",188,[],"Ancestral Tattoos","Tatouages ancestraux","Ahnentätowierungen","先祖のタトゥー","선조 문신","Tatuagens Ancestrais","Татуировки предков","Tatuajes ancestrales","ลายสักบรรพชน","先祖刺青","Seek the wisdom of the ancestors.","Recherchez la sagesse des ancêtres.","Ersucht die Weisheit der Ahnen.","先祖たちの知恵を求めよ。","선조들의 지혜를 구하십시오.","Busque a sabedoria dos Ancestrais.","Ищи мудрости предков.","Busca la sabiduría de los ancestros.","แสวงหาปัญญา\r\nจากเหล่าบรรพชน","尋求先祖的智慧。",[3869],4,[72],[5212],"","WorldMapContentBag",392,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTattoos",0,"","","","","","","","","","","","",4830,4830,"",56
396,"G4_4_2_TattoosApplied",188,[],"Ancestral Tattoos","Tatouages ancestraux","Ahnentätowierungen","先祖のタトゥー","선조 문신","Tatuagens Ancestrais","Татуировки предков","Tatuajes ancestrales","ลายสักบรรพชน","先祖刺青","The ancestors favour you.\r\n\r\n<white>{Grants Bonus Attributes And Resistances}","Les ancêtres vous accordent leur faveur.","Die Ahnen meinen es gut mit Euch.\r\n\r\n<white>{Gewährt zusätzliche Attribute und Widerstände}","先祖はお前を気に入った。\r\n\r\n<white>{ボーナスとして能力値および耐性を付与する}","선조들이 당신을 총애합니다.\r\n\r\n<white>{보너스 능력치 및 저항 부여}","Você conta com a bênção dos Ancestrais.\r\n\r\n{Concede atributos e resistências bônus}","Предки благоволят тебе.\r\n\r\n<white>{Дарует характеристики и сопротивления}","Los ancestros te favorecen.\r\n\r\n<white>{Otorga atributos y resistencias adicionales}","เหล่าบรรพชน\r\nทรงเป็นใจแก่เจ้า\r\n\r\n<white>{ให้ค่าคุณสมบัติและค่าต้านทานเพิ่มเติม}","先祖為你降下祝福。\r\n\r\n<white>{獲得額外的能力值和抗性}",[5212],4,[72],[],"","WorldMapContentBagDone",392,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTattoos",0,"","","","","","","","","","","","",4830,4830,1,56
397,"G4_4_3",189,[189],"Trial of the Ancestors","L'Épreuve des Ancêtres","Prüfung der Ahnen","先祖の試練","선조들의 심판","Provação dos Ancestrais","Испытание предков","La prueba de los ancestros","บททดสอบแห่งบรรพชน","祖靈的試煉","Prove yourself before Hinekora.","Prouvez votre valeur devant Hinekora.","Beweist Euch vor Hinekora.","ヒネコラに力を示せ。","히네코라 앞에서 스스로를 증명하십시오.","Mostre seu valor diante de Hinekora.","Докажи свою силу перед Хинекорой.","Muestra lo que vales ante Hinekora.","พิสูจน์ตนต่อหน้า\r\nฮิเนโคราเสีย","在悉妮蔻拉面前證明你自己。",[3869],4,[3917],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinAscendancyArena","","","","","","","","","","","","","",4830,4830,"",56
398,"G4_ShipMarker_Prison",190,[],"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","La prisión abandonada","เรือนจำร้าง","廢棄監獄","","","","","","","","","","",[3861],4,[72],[],"","",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinIzarosPrison","","","","","","","","","","","","","",4830,4830,"",56
399,"G4_5_1",190,[190],"Abandoned Prison","La Prison abandonnée","Aufgegebenes Gefängnis","放棄された監獄","버려진 감옥","Prisão Abandonada","Заброшенная тюрьма","La prisión abandonada","เรือนจำร้าง","廢棄監獄","They still clatter at the bars, desperate for release...","Ils continuent de claquer contre les barreaux, désespérés d'être libérés...","Sie rütteln immer noch verzweifelt an den Gitterstäben, um sich zu befreien …","彼らは今だ鉄格子を鳴らし、必死に解放を求める……","그들은 아직도 풀려나기만을 절박하게 바라며 철창 앞에서 소란을 벌입니다...","Eles ainda batem nas grades, desesperados por liberdade...","Они до сих пор стучат по решёткам, мечтая о свободе...","Aún siguen golpeando los barrotes, desesperados por liberarse...","พวกเขายังเขย่ากรงขัง\r\nหวังได้รับปลดปล่อยใจจะขาด...","他們仍在欄杆邊發出喀喀聲響，渴望被釋放……",[3861],4,[3870],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinIzarosPrison","","","","","","","","","","","","","",4830,4830,"",56
400,"G4_5_1Armoury",190,[],"The Armoury","L'Armurerie","Das Waffenlager","武器庫","병기 창고","O Arsenal","Оружейная","La armería","คลังแสง","裝備庫","The armaments rest, but the violence they promise never sleeps.","Les armements reposent en paix, mais la violence qu'ils promettent, elle, ne dort jamais.","Die Waffen ruhen, aber die Gewalt, die sie versprechen, ruht niemals.","武器は眠りについているが、それらの約束する暴力が眠ることはない。","병기는 쉬고 있지만, 병기가 약속하는 폭력은 결코 잠들지 않습니다.","As armas param, mas a violência que prometem não dá trégua.","Оружие покоится, но обещанное им насилие не дремлет.","Los armamentos descansan, pero la violencia que prometen nunca duerme.","สรรพาวุธหยุดพัก\r\nทว่าเจตนาการ\r\nก่อความรุนแรงของมัน\r\nมิได้หลับลง","干戈尚有停歇時，爭戰卻無一息休止。",[3870],4,[72],[191],"","WorldMapContentChest",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinArmoury",0,"","","","","","","","","","","","",4830,4830,"",56
401,"G4_5_1ArmouryLooted",190,[],"The Armoury","L'Armurerie","Das Waffenlager","武器庫","병기 창고","O Arsenal","Оружейная","La armería","คลังแสง","裝備庫","The steel is gone, but the promise of violence lingers.","L'acier a disparu, mais la promesse de violence persiste.","Der Stahl ist weg, aber das Versprechen der Gewalt währt noch.","鋼鉄は失われたが、暴力の約束は健在だ。","강철은 사라졌으나, 폭력에 대한 약속은 남아 있습니다.","O aço se foi, mas a promessa de violência permanece.","Стали больше нет, но обещание насилия ещё витает здесь.","El acero se ha ido, pero la promesa de violencia permanece.","เหล็กกล้าจากไป\r\nเจตนาการก่อความรุนแรง\r\nยังคงอยู่","堅鋼亦會磨盡，但殺戮永不停卻。",[191],4,[72],[],"","WorldMapContentChestDone",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinArmoury",0,"","","","","","","","","","","","",4830,4830,1,56
402,"G4_5_1Cages",190,[],"Forgotten Cells","Cellules oubliées","Vergessene Zellen","忘れ去られた独房","잊혀진 감방","Celas Esquecidas","Забытые камеры","Celdas olvidadas","ห้องขังโลกลืม","被遺忘的囚籠","...they still clamour to be released...","...ils réclament toujours d'être libérés...","… noch erheben sie ihr Geschrei, um freigelassen zu werden …","……未だ解放を求め騒いでいる……","...아직도 풀어달라며 울부짖고 있습니다...","... eles ainda clamam por liberdade...","...они до сих пор стенают о свободе...","...aún claman para que los liberen...","...พวกเขายังส่งเสียงโห่ร้อง\r\nเพื่อให้ได้ปล่อยตัวเสมอมา...","……他們敲打著牢籠，等待著重獲自由的一天……",[3870],4,[72],[276],"","WorldMapContentBag",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinCages",0,"","","","","","","","","","","","",4830,4830,"",56
403,"G4_5_1CagesOpened",190,[],"Forgotten Cells","Cellules oubliées","Vergessene Zellen","忘れ去られた独房","잊혀진 감방","Celas Esquecidas","Забытые камеры","Celdas olvidadas","ห้องขังโลกลืม","被遺忘的囚籠","...perhaps they may finally rest...","...peut-être qu'ils pourront enfin se reposer...","… vielleicht können sie nun endlich ruhen …","……ついに休める時が来たのかもしれない……","...마침내 안식에 들 수 있을지도요...","... quem sabe agora eles consigam descansar...","...может быть, они наконец обретут покой...","...quizás puedan descansar por fin...","...พวกเขาอาจไปสู่สุคติ\r\nได้จริงๆ เสียที...","……他們總算能得到安息……",[276],4,[72],[],"","WorldMapContentBagDone",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinCages",0,"","","","","","","","","","","","",4830,4830,1,56
404,"G4_5_2",191,[191],"Solitary Confinement","Le Mitard","Ort der Abgeschiedenheit","監禁独房","독방 감금실","Confinamento Solitário","Одиночные камеры","Confinamiento solitario","คุกขังเดี่ยว","單獨禁閉","Chains clank in the waveswept darkness...","Des chaînes s'entrechoquent dans cette obscurité qui s'abat telle une lame de fond...","Ketten klirren in der wellengepeitschten Dunkelheit …","波に晒された闇の中で鎖が鳴る……","사슬이 파도에 휩쓸린 어둠 속에서 철컹거립니다...","Correntes rangem no breu varrido pelo mar...","Цепи бряцают в омываемой волнами темноте...","Las cadenas tintinean en la oscuridad barrida por las olas...","เสียงโซ่กึกก้อง\r\nในความมืดมิด\r\nท่ามกลางคลื่นที่ซัดสาด...","暗處的浪濤聲伴隨著鎖鏈鏗鏘之響而來。",[3870],4,[3871],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinSolitaryConfinement","","","","","","","","","","","","","",4830,4830,"",56
405,"G4_5_1GoddessOfJustice",190,[],"Goddess of Justice","Déesse de la Justice","Göttin der Gerechtigkeit","正義の女神","정의의 여신","Deusa da Justiça","Богиня правосудия","Diosa de la justicia","เทพีแห่งความยุติธรรม","正義女神","Blind to pleas. Deaf to lies.","Aveugle face aux supplications. Sourde face aux mensonges.","Blind gegenüber Bitten. Taub gegenüber Lügen.","懇願は見えず、嘘は聞こえぬ。","간청을 보지 못하고, 거짓말을 듣지 못하니.","Cega aos apelos. Surda às mentiras.","Слепа к мольбам. Глуха к обману.","Ciega ante las súplicas. Sorda ante las mentiras.","ไม่เห็นการวิงวอน\r\nไม่ยินเสียงคำลวง","無視請求。不聞謊言。",[3870],4,[72],"[152,153]","","Act4/WorldMapContentGoddessOfJustice",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinGoddessOfJustice",0,"","","","","","","","","","","","",4830,4830,"",56
406,"G4_5_1GoddessOfJusticeActive1",190,[],"Goddess of Justice","Déesse de la Justice","Göttin der Gerechtigkeit","正義の女神","정의의 여신","Deusa da Justiça","Богиня правосудия","Diosa de la justicia","เทพีแห่งความยุติธรรม","正義女神","Her scales weigh only truth.\r\n\r\n<white>{30% increased Life Recovery from Flasks}","Sa balance ne pèse que la vérité.\r\n\r\n<white>{30% d'Augmentation de la Récupération de Vie des Flacons}","Ihre Waage wiegt nur die Wahrheit.\r\n\r\n<white>{30% erhöhte Lebenswiederherstellung von Fläschen}","彼女の秤は真実のみを量る。\r\n\r\n<white>{フラスコのライフ回復30%増加}\r\n","그녀의 천칭은 오직 진실의 무게만 단다.\r\n\r\n<white>{플라스크로 회복하는 생명력 30% 증가}","Sua balança pesa apenas a verdade.\r\n\r\n<white>{Vida recuperada de frascos aumentada em 30%}","Её весы взвешивают только правду.\r\n\r\n<white>{30% увеличение восстановления здоровья от флаконов}","Su balanza solo pesa la verdad.\r\n\r\n<white>{Recuperación de vida de los frascos aumentada un 30%}","ตาชั่งของเธอ\r\nมีไว้ใช้ชั่งความจริงเท่านั้น\r\n\r\n<white>{เพิ่มการ เติมพลังชีวิต จากขวดยา 30%}","她的天秤只會衡量真相。\r\n\r\n<white>{增加 30% 藥劑的生命恢復}",[152],4,[72],[153],"","Act4/WorldMapContentGoddessOfJusticeRightActive",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinGoddessOfJustice",0,"","","","","","","","","","","","",4830,4830,1,56
407,"G4_5_1GoddessOfJusticeActive2",190,[],"Goddess of Justice","Déesse de la Justice","Göttin der Gerechtigkeit","正義の女神","정의의 여신","Deusa da Justiça","Богиня правосудия","Diosa de la justicia","เทพีแห่งความยุติธรรม","正義女神","Her scales weigh only truth.\r\n\r\n<white>{30% increased Mana Recovery from Flasks}","Sa balance ne pèse que la vérité.\r\n\r\n<white>{30% d'Augmentation de la Récupération de Mana des Flacons}","Ihre Waage wiegt nur die Wahrheit.\r\n\r\n<white>{30% erhöhte Manawiederherstellung von Fläschen}","彼女の秤は真実のみを量る。\r\n\r\n<white>{フラスコのライフ回復30%増加}\r\n","그녀의 천칭은 오직 진실의 무게만 단다.\r\n\r\n<white>{플라스크로 회복하는 마나 30% 증가}","Sua balança pesa apenas a verdade.\r\n\r\n<white>{Mana recuperado de frascos aumentado em 30%}","Её весы взвешивают только правду.\r\n\r\n<white>{30% увеличение восстановления маны от флаконов}","Su balanza solo pesa la verdad.\r\n\r\n<white>{Recuperación de maná de los frascos aumentada un 30%}","ตาชั่งของเธอ\r\nมีไว้ใช้ชั่งความจริงเท่านั้น\r\n\r\n<white>{เพิ่มการ เติมมานา จากขวดยา 30%}","她的天秤只會衡量真相。\r\n\r\n<white>{增加 30% 藥劑的魔力恢復}",[153],4,[72],[152],"","Act4/WorldMapContentGoddessOfJusticeLeftActive",399,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinGoddessOfJustice",0,"","","","","","","","","","","","",4830,4830,1,56
408,"G4_5_2_PrisonerBoss",191,[],"The Prisoner","Le Prisonnier","Der Gefangene","囚人","포로","O Prisioneiro","Узник","El prisionero","นักโทษฉกรรจ์","囚犯","...waiting in the harrowing depths...","…croupissant dans les profondeurs atroces…","… in den qualvollen Tiefen wartend …","……恐ろしい深淵で待ち受ける……","...참혹한 심연 속에서 기다리던...","Aguardando nas profundezas angustiantes...","...ждёт в мучительных глубинах...","...esperando en las espantosas profundidades...","...รออยู่ในเบื้องลึก\r\nอันทรมานยิ่ง...","……在慘澹的深淵中等待……",[3870],4,[72],[4127],"","WorldMapContentBoss",404,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinPrisoner",0,"","","","","","","","","","","","",4830,4830,"",56
409,"G4_5_2_PrisonerBossSlain",191,[],"The Prisoner","Le Prisonnier","Der Gefangene","囚人","포로","O Prisioneiro","Узник","El prisionero","นักโทษฉกรรจ์","囚犯","...the wretched experiment met his end.","…l'abjecte expérimentation connut sa fin.","… fand das grausame Experiment sein Ende.","……哀れな実験体は終わりを迎えた。","...가련한 실험체가 끝을 맞이했다.","O experimento deplorável chegou ao fim...","...злополучный эксперимент встретил свой конец.","...el desdichado experimento encontró su final.","...ตัวทดลองผู้น่าเวทนา\r\nพบจุดจบเสียที...","……這場卑劣的實驗迎來了他的終結。",[4127],4,[72],[],"","WorldMapContentBossDone",404,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinPrisoner",0,"","","","","","","","","","","","",4830,4830,1,56
410,"G4_ShipMarker_RuggedTor",193,[],"Shrike Island","L'Île des Pies-grièches","Die Würgerinsel","モズの島","때까치 섬","Ilha dos Peneireiros","Остров криков","Isla de los alcaudones","เกาะไชร์ค","伯勞鳥之島","","","","","","","","","","",[3861],4,[72],[],"","",411,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinRuggedTor","","","","","","","","","","","","","",4830,4830,"",56
411,"G4_7",193,[193],"Shrike Island","L'Île des Pies-grièches","Die Würgerinsel","モズの島","때까치 섬","Ilha dos Peneireiros","Остров криков","Isla de los alcaudones","เกาะไชร์ค","伯勞鳥之島","Corruption has made the Test deadlier with each passing year.","La corruption a rendu le Test plus mortel d'année en année.","Die Verderbtheit hat die Prüfung von Jahr zu Jahr tödlicher gemacht.","穢れにより試練は毎年更に危険になっている。","한 해, 한 해 갈수록 시험은 타락으로 인해 점점 위험해졌습니다.","A corrupção deixa a Provação mais mortal a cada ano.","С каждым годом Порча делает испытание всё смертоноснее.","La corrupción vuelve la prueba más letal con cada año que pasa.","พลังมลทิน\r\nทำให้การพิสูจน์ตน\r\nโหดร้ายขึ้นไปทุกปี","腐化使得試驗的危險度逐年提升。",[3861],4,[3873],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinRuggedTor","","","","","","","","","","","","","",4830,4830,"",56
412,"G4_7_ScourgeBoss",193,[],"Scourge of the Skies","Le Fléau des Cieux","Geißel des Himmels","空のスカージ","하늘의 재앙","Flagelo dos Céus","Бич небес","Azote de los cielos","หายนะแห่งฟากฟ้า","天之禍殃","...a horrific abomination bloodies the sky...","...une horrible abomination ensanglante le ciel...","… eine entsetzliche Abscheulichkeit lässt den Himmel bluten …","……恐ろしい化け物が空を血で濡らす……","...끔찍한 흉물이 하늘을 핏빛으로 물들입니다...","... uma abominação horrível tinge o céu de sangue...","...чудовищное отродье красит небо кровью...","...una horrible abominación ensangrienta el cielo...","...อสุรหายสยดสยอง\r\nทำให้ท้องฟ้าเปื้อนเลือด...","...一頭恐怖的憎惡染紅了天空……",[3873],4,[72],[5207],"","WorldMapContentBoss",411,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinScourge",0,"","","","","","","","","","","","",4830,4830,"",56
413,"G4_7_ScourgeBossKilled",193,[],"Scourge of the Skies","Le Fléau des Cieux","Geißel des Himmels","空のスカージ","하늘의 재앙","Flagelo dos Céus","Бич небес","Azote de los cielos","หายนะแห่งฟากฟ้า","天之禍殃","...the Karui may climb these peaks once more...","...les Karui pourraient à nouveau gravir ces sommets...","… die Karui können die Spitzen nun wieder erklimmen …","……カルイは再びこの山を登れるだろう……","...카루이가 다시 이 봉우리를 오를 수 있을지도 모릅니다...","... os karui podem subir esses picos novamente...","...каруи снова смогут взбираться на эти вершины...","...los karui pueden volver a subir a estos picos una vez más...","...ชาวคารุยอาจปีน\r\nภูเขาเหล่านี้ได้อีกครา...","卡魯族或許終於能再次攀登這些山峰……",[5207],4,[72],[],"","WorldMapContentBossDone",411,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinScourge",0,"","","","","","","","","","","","",4830,4830,1,56
414,"G4_7_MapFragment4",193,[],"Torn Map Piece","Morceau de Carte déchirée","Zerrissenes Kartenstück","破れた地図の切れ端","찢어진 지도 조각","Parte de Mapa Deteriorado","Обрывок карты","Trozo de mapa rasgado","แผนที่ขาด","撕碎的地圖碎片","One piece of a lost puzzle.","Une pièce d'un puzzle perdu.","Ein Teil eines verlorenen Puzzles.","失われしパズルの一欠片。","잊힌 퍼즐의 한 조각입니다.","Uma peça de um quebra-cabeça esquecido.","Часть забытой головоломки.","Un fragmento de un puzle perdido.","ชิ้นหนึ่งของปริศนาที่สาบสูญ","一塊失落的拼圖。",[3873],4,[72],"[18,19]","","Act4/WorldMapContentTreasureMapFragments4",411,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinMapFragment4",0,"","","","","","","","","","","","",4830,4830,"",56
415,"G4_7_MapFragment4Found",193,[],"Torn Map Piece","Morceau de Carte déchirée","Zerrissenes Kartenstück","破れた地図の切れ端","찢어진 지도 조각","Parte de Mapa Deteriorado","Обрывок карты","Trozo de mapa rasgado","แผนที่ขาด","撕碎的地圖碎片","Plunder's Point awaits.","La Pointe du pillage attend.","Die Plündererklippe wartet.","略奪の岬が待っている。","약탈자의 거점이 기다립니다.","O Ponto dos Saqueadores aguarda.","Мыс грабителя ждёт.","Punta del botín aguarda.","จุดนักปล้นสะดมรออยู่","藏寶點正等待著你。","[18,19]",4,[72],[],"","Act4/WorldMapContentTreasureMapFragments4Done",411,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinMapFragment4",0,"","","","","","","","","","","","",4830,4830,1,56
416,"G4_ShipMarker_TwilightEnclave_a",194,[],"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","","","","","","","","","","",[3861],4,[72],[],"","",418,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightEnclave","","","","","","","","","","","","","",4830,4830,"",56
417,"G4_ShipMarker_TwilightEnclave_b",195,[],"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","","","","","","","","","","",[4],4,[72],[],"","",419,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightEnclave","","","","","","","","","","","","","",4830,4830,"",56
418,"G4_8a",194,[194],"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","A peaceful enclave of the Twilight Order.","Une enclave paisible de l'Ordre du Crépuscule.","Eine friedliche Enklave des Ordens des Zwielichts.","黄昏の教団の平和な居留地。","황혼의 교단의 평화로운 공동체입니다.","Um refúgio pacífico da Ordem do Crepúsculo.","Мирный анклав Сумеречного Ордена.","Un enclave pacífico para la Orden del crepúsculo.","ดินแดนแสนสงบ\r\nของภาคีสนธยา","黎明教團不具煙硝味的領地。",[3861],4,[3885],[4],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightEnclave","","","","","","","","","","","","","",4830,4830,"",56
419,"G4_8b",195,[195],"Arastas","Arastas","Arastas","アラスタス","아라스타스","Arastas","Арастас","Arastas","อะราสตาส์","阿拉塔斯","An island claimed by the Twilight Order.","Une île revendiquée par l'Ordre du Crépuscule.","Eine Insel, die vom Orden des Zwielichts erobert wurde.","黄昏の教団に奪われた島。","황혼의 교단이 점령한 섬입니다.","Uma ilha tomada pela Ordem do Crepúsculo.","Остров, занятый Сумеречным Орденом.","Una isla reclamada por la Orden del crepúsculo.","เกาะที่ถูกยึดครอง\r\nโดยภาคีสนธยา","一座由黎明教團奪下的島嶼",[4],4,[3874],[],"","","","Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightEnclave","","","","","","","","","","","","","",4830,4830,"",56
420,"G4_8b_TwilightOrderGuard",195,[],"Torvian, Hand of the Saviour","Torvian, la Main du Sauveur","Torvian, Hand des Erlösers","救世主の片腕、トーヴィアン","구원자의 손 토르비안","Torvian, a Mão do Salvador","Торвиан, Длань Спасителя","Torvian, la Mano del Salvador","ทอร์เวียน หัตถ์แห่งผู้กอบกู้","救贖者之手．托維安","...guardian of the heart of Arastas...","...gardien du cœur d'Arastas...","… Wächter des Herzens von Arastas …","……アラスタスの心臓部を護る者……","...아라스타스 심장부의 수호자...","... guardião do coração de Arastas...","...страж сердца Арастаса...","...guardián del corazón de Arastas...","...ผู้คุ้มกัน\r\nหัวใจแห่งอะราสตาส์...","……阿特拉斯核心的守護者……",[3874],4,[72],[5208],"","WorldMapContentBoss",419,"Metadata/Terrain/WorldMaps/Act4/Objects/MapPinTwilightGuard",0,"","","","","","","","","","","","",4830,4830,"",56
