"rownum","Id","HASH16","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
2203,"UniqueHelmetStrInt19",15014,"The line that divides hope and fear,\r\nlife and death, crowd and mob,\r\nis as thin as a whisper.","La ligne qui sépare l'espoir de la peur,\r\nla vie de la mort, la foule de la horde,\r\nest aussi fragile qu'un murmure.","Der Grat zwischen Hoffnung und Angst,\r\nLeben und Tod, Menge und Mob,\r\nist so hauchzart wie ein Flüstern.","希望と恐怖、生と死、\r\n群衆と暴徒を隔てる線は\r\n囁きのように細い。","희망과 공포, 삶과 죽음, 집단과 집단을 나누는 기준은 속삭임 만큼이나 나약하다.","A linha que separa a esperança e o medo,\r\na vida e a morte, a multidão e a ralé,\r\né fina como agulha.","Черта, отделяющая надежду от отчаяния,\r\nжизнь от смерти, толпу от стада,\r\nтонка словно шёпот.","La línea que separa a la esperanza del miedo,\r\na la vida de la muerte, y a una multitud de una turba,\r\nes tan débil como un susurro.","เส้นแบ่ง​ระหว่าง​ความหวัง​กับ​ความกลัว\r\nชีวิต​และ​ความตาย ผู้คน​หรือ​การจลาจล\r\nมัน​ก็​เบาบาง​ดั่ง​เสียง​กระซิบ","劃分希望和恐懼的界限，\r\n生與死，人群和暴民，\r\n像耳語一樣稀薄。"
2204,"UniqueBelt39",32925,"\""This will help with the pain.\r\nOne for you... and one for me.\""\r\n- Doctor 'Shaky Hands' Opden","« Ceci calmera votre douleur.\r\nUne pour vous… et une pour moi. »\r\n– Docteur Opden, dit « la Tremblotte »","\""Dies wird den Schmerz lindern.\r\nEine für dich... und eine für mich.\""\r\n– Doktor \""Zitterhand\"" Opden","「これで痛みは良くなるだろう。\r\n一つは君に...一つは私に」\r\nー『震える手』の医師オプデン","\""이게 고통을 덜어 줄 겁니다.\r\n하나는 당신 거고... 하나는 제 거죠.\""\r\n- '떨리는 손' 의사 옵덴","\""Isso ajudará com a dor.\r\nUm pra você… e um pra mim.\""\r\n- Doutor Opden \""Mãos Trêmulas\""","«Это поможет справиться с болью.\r\nОдну тебе, одну - мне».\r\n— доктор «Тремор» Опден.","\""Esto ayudará con el dolor.\r\nUno para ti... y uno para mí.\""\r\n- Doctor 'Manos temblorosas' Opden","\""ไอ้​นี่​จะ​ช่วย​ให้​เจ้า​หาย​เจ็บ\r\nนี่​ของ​เจ้า... ส่วน​นี่​น่ะ​ของ​ข้า\""\r\n- หมอ 'มือสั่น' ออปเด็น","“這將有助於減輕痛苦。\r\n一個給你...一個給我。\""\r\n- 「抖不停」歐普登"
2205,"UniqueJewel148",16027,"The sky, the land, the people burned.\r\nWhat little still stood soon faced wild, battering storms.\r\nWinter arrived suddenly and stayed for a generation.\r\nCivilisation was not simply halted, but reversed, erased.","Le ciel, la terre, le peuple s'embrasèrent.\r\nLe peu qu'il resta fut bientôt frappé par des orages dévastateurs.\r\nL'hiver arriva sans crier gare et sévit pendant une génération entière.\r\nLa civilisation fut non pas simplement paralysée,\r\nmais tout bonnement renversée, effacée.","\""Der Himmel, das Land, die Menschen verbrannten. Das wenige, das noch stand, \r\nwurde bald von wilden, heftigen Stürmen heimgesucht.\r\nDer Winter kam plötzlich und dauerte eine Generation lang.\r\nDie Zivilisation wurde nicht einfach aufgehalten, sondern zurückgeworfen, ausgelöscht.\""","空が、大地が、人が燃えた。\r\n未だ立ち続けていた数少ないものは荒れ狂う嵐に晒された。\r\n突如冬が到来し、一世代続いた。\r\n文明は停止に留まらず、逆行し、削除された。","하늘이, 땅이, 사람들이 불탔다.\r\n몇 남지 않은 사람들도 곧 거칠게 몰아치는 태풍을 만났다.\r\n겨울은 갑자기 닥쳐와서 한 세대가 가도록 머물렀다.\r\n문명은 그저 멈추어 선 것이 아니라, 역행하고 절멸했다.","O céu, a terra, as pessoas queimadas.\r\nAs poucas coisas ainda de pé logo enfrentaram fortes tempestades.\r\nO Inverno chegou subitamente e permaneceu por toda uma geração.\r\nA civilização não foi simplesmente suspensa, mas revertida, apagada.","Небо, землю, людей охватил огонь.\r\nТо немногое, что осталось, вскоре изведало дикие, жестокие бури.\r\nЗима нагрянула внезапно и длилась поколение.\r\nЦивилизация не просто остановилась, но пошла вспять, была стёрта.","El cielo, la tierra y las personas ardieron.\r\nLo poco que seguía en pie pronto se enfrentó a terribles tormentas.\r\nEl invierno llegó de repente y duró una generación.\r\nLa civilización no solo se detuvo, sino que se revirtió, se eliminó.","ท้องฟ้า ผืนดิน ปวงประชาต่าง​มอดไหม้\r\nสิ่ง​ที่​เหลือ​เพียง​เล็ก​น้อย​ก็​เผชิญ​กับ​พายุ​ที่​โหม​กระหน่ำ\r\nฤดูหนาว​มา​ถึง​อย่าง​กะทันหัน​แล้ว​อยู่​ต่อ​มา​หนึ่ง​ชั่ว​อายุ​คน\r\nอารยธรรม​ไม่ได้​ถูก​หยุดยั้ง แต่​ถูก​ย้อน​กลับ ถูก​ขจัด​จน​สิ้น","天空，土地，人民被燒毀。\r\n仍然站著的一切很快就面臨狂野的狂風暴雨。\r\n冬天突然來了，住了一代人。\r\n文明不僅被制止了，反而被消除了。"
2206,"UniqueRing67",53029,"Somebody does have to get hurt.","Quelqu'un doit souffrir.","Einer wird einstecken müssen.","誰かが傷つく必要がある。","누군가는 다칠 수밖에 없다.","Alguém tem de se machucar.","Кое-кому надо преподать урок.","Alguien tiene que resultar herido.","ต้อง​มี​คน​เจ็บ​สัก​คน​ละ​นะ","確實有人必須受傷。"
2207,"UniqueRing68",32355,"All roads lead to that destined doom.","Tous les chemins mènent à cette pièce fatidique.","Alle Wege führen zum vorherbestimmten Untergang.","全ての道はその定められし破滅へと続いている。","모든 길은 피할 수 없는 파멸로 이어진다.","Todos os caminhos levam ao destino condenado.","Все дороги ведут к этой неминуемой судьбе.","Todos los caminos llevan a ese destino mortal.","เส้นทาง​ทุก​สายนำ​ไป​สู่​หายนะ​ที่​ชะตา​ลิขิต","條條大路通向那注定的厄運。"
2208,"UniqueDagger1000",64802,"Nothing stabs colder than pure hatred.","Rien n'est plus mordant que le froid de la haine absolue.","Nichts sticht kälter als purer Hass zu.","純粋な憎しみほど冷たく突き刺さるものはない。","순수한 증오에 찔리는 것이야말로 무엇보다 오싹하다.","Não há nada mais pungente do que o ódio puro.","Ничто не жалит сильнее чистой ненависти.","Nada apuñala más frío que el odio puro.","ไม่มี​อะไร​ทิ่มแทง​ได้​เยือก​เย็น​เช่น​ความ​เกลียด​ชัง","沒有什麼能比純粹的憎恨帶來更深的寒意。"
2209,"UniqueSpear1000",18468,"As the flow of battle demanded, she became a sudden storm or a vanishing wind.","Selon le cours de la bataille, elle se fit tour à tour tempête soudaine et brise fugace.","Wenn der Kampf es erforderte, wurde sie zu einem plötzlichen Sturm oder zu einem verschwindenden Wind.","戦いの流れが求めるままに、彼女は突然の嵐になり、消えゆく風となった。","그녀는 전투의 흐름에 따라, 갑작스러운 폭풍이 되기도 하고 사라지는 바람이 되기도 했다.","Quando a batalha exigia, ela se tornava uma súbita tempestade e ágil como o vento. ","Когда того требовала битва, она становилась то внезапной бурей, то неуловимым ветром.","Según el flujo de la batalla, se convertía en\r\nuna tormenta repentina o en un viento desvanecedor.","เธอ​เป็น​พายุ​ฉับพลัน​หรือ​ลม​ที่​เลือนหาย\r\nได้​ตาม​ที่​จำเป็น​ใน​การ​ศึก","隨著戰鬥流向的需要，她化身為突如其來的風暴或轉瞬即逝的疾風。"
2210,"UniqueStaff1000",34153,"A thousand years of dark skies and unending cold.","Un millénaire de cieux assombris et de frimas sans fin.","Tausend Jahre voller dunkler Himmel und unendlicher Kälte.","暗い空と果てしない寒さの千年もの日々。","천 년의 깜깜한 하늘과 끝나지 않는 추위.","Mil anos de céu escuro e frio sem fim.","Тысяча лет тёмного неба и бесконечного хлада.","Mil años de cielos oscuros y frío interminable.","หนาว​เหน็บ​ไม่​สิ้น​ซาก ฟาก​ฟ้า​มืดมน​มา​พันปี","千年的黑暗深空與無止境的寒冷。"
2211,"UniqueShieldStrInt1000",7924,"Druids of the Grelwood never fight alone.","Les druides de Grelbois ne se battent jamais seuls.","Druiden des Grelwalds kämpfen nie allein.","グレルウッドのドルイドは決して一人では戦わない。","그렐나무의 드루이드들은 결코 혼자 싸우지 않는다.","Druidas de Grelwood nunca lutam sozinhos.","Друиды Грельвуда никогда не сражаются в одиночку.","Los druidas del bosque singular nunca luchan solos.","ดรูอิด​แห่ง​เกรลวูด​ไม่​เคย​ต่อสู้​ตาม​ลำพัง","葛瑞爾林的德魯伊永不孤軍奮戰。"
2212,"UniqueBodyDexInt13",5198,"The Oriathans built their empire on naval mobility, which allowed\r\nthem to wage war wherever their enemy was weakest.","Les Oriathéens ont pu bâtir leur empire grâce à la mobilité de leur flotte militaire,\r\nqui leur permettait de frapper là où l'ennemi était le plus faible.","Die Oriather bauten ihr Reich auf Seemobilität auf, \r\nwodurch sie dort Krieg führen konnten, wo ihr Feind am schwächsten war.","オリアス人は敵の最も弱い箇所に戦を仕掛けられる\r\n海軍の機動性を帝国の基盤とした。","오리아스인들은 해상 기동력으로 제국을 건설했기에, 적이\r\n가장 취약한 곳에서 전쟁을 벌일 수 있었다.","Os Oriatianos construíram seu império a partir de mobilidade náutica, o que os permitiu fazer guerra nos pontos mais fracos de seus inimigos.","Империя Ориата держалась на мобильности военного флота,\r\nкоторый позволял наносить удары по уязвимым местам противника.","Los oriathanos construyeron su imperio sobre la movilidad naval, lo cual\r\nles permitió librar la guerra allá donde su enemigo era más débil.","ชาว​โอริอาท​ตั้ง​อาณาจักร​ของ​ตน​ด้วย​การ​เดิน​เรือ\r\nทหาร​ของ​พวกเขา​จึง​ทำ​สงคราม​ใน​จุด​ที่​ศัตรู​เพลี่ยงพล้ำ​ได้​เสมอ","奧瑞亞人建立帝國在海上機動性之上，\r\n他們在敵人最弱的地方發動戰爭。"
2213,"UniqueBodyStr12",35820,"The giant cares not for the ants.","Le géant ne se soucie pas des fourmis.","Der Riese schert sich nicht um Ameisen.","巨人は蟻のことなど見ていない。","거인은 개미를 생각해 주지 않는다.","O gigante não se importa com as formigas.","Проблемы муравьёв гиганта не волнуют.","Al gigante no le importan las hormigas.","ราชสีห์​ย่อม​ไม่​สนใจ​พวก​หนู","巨人不在乎螞蟻。"
2214,"UniqueHelmetStrDex8",20323,"Expand one single ambition to crystal clarity... and beyond.","Apportez à votre unique ambition\r\nune clarté limpide comme le cristal… et plus encore.","Verfolgt eine Ambition mit kristallener Klarheit... und darüber hinaus.","単一の夢を拡大し、水晶のように明瞭に...そしてその更に先まで。","하나의 야망을 수정처럼 명확하게... 아니, 더 명확하게 만들라.","Expanda uma única ambição até a iluminada clareza... e além.","Доведи единственное стремление до полной ясности... и продолжи.","Expande una única ambición a una claridad cristalina... y más allá.","ขยาย​ความ​ทะเยอทะยาน​เพียง​หนึ่ง​เดียว​ให้​กระจ่าง​แจ้ง... และ​ยิ่ง​ไป​กว่า​นั้น","擴大單一目標，以達到水晶般的清晰度…甚至超越。"
2215,"UniqueStaff27",43682,"To stand at the confluence of the elements,\r\nthe master must achieve perfect balance.","Le maître doit atteindre l'équilibre absolu\r\ns'il souhaite se dresser au point de confluence des éléments.","Erst wenn der Meister das perfekte Gleichgewicht halten kann,\r\nkann er am Zusammenfluss der Elemente stehen.","元素の合流地点に立つには、\r\n達人は完全なる均衡を会得しなければならない。","원소가 뒤엉키는 곳에 서려면,\r\n대가는 완벽한 균형을 유지해야 한다.","Para ficar na confluência dos elementos,\r\no mestre deve atingir o equilíbrio perfeito.","Чтобы выдержать слияние стихий,\r\nмастер должен достичь идеального баланса.","Para conseguir la confluencia de los elementos,\r\nel maestro debe lograr el equilibrio perfecto.","หาก​จะ​ยืน​อยู่​ท่ามกลาง​จุด​ศูนย์​รวม​ของ​ธาตุ​ทั้งหลาย\r\nอาจารย์​ต้อง​เข้า​ถึง​ความ​สมดุล​อย่าง​สมบูรณ์แบบ","站在這些要素的交匯處，\r\n主人必須達到完美的平衡。"
2216,"UniqueHelmetDexInt15",19045,"Obtaining information depends upon pretending one already has it.","L'obtention d'informations dépend du fait de se convaincre\r\nque la personne interrogée la possède.","Um Informationen zu erhalten, muss man so tun, als hätte man sie bereits.","情報を得るには既にそれを持っているふりをすることだ。","정보를 얻으려면 이미 정보를 가지고 있는 척해야 한다.","A obtenção de informação depende da habilidade de fingir que você já a tem.","Чтобы получить информацию, можно притвориться,\r\nчто она уже кому-то известна.","La información se obtiene fingiendo que ya la tienes.","การ​เก็บ​ข้อมูล​นั้น​ขึ้น​อยู่​กับ​การ​แสร้ง​ว่า​มี​ข้อมูล​นั้น​อยู่​แล้ว","獲取信息取決於假裝已經擁有。"
2217,"UniqueShieldDexInt7",33640,"The lightning fears not the flame.","La foudre ne craint pas la flamme.","Der Blitz fürchtet sich nicht vor der Flamme.","雷は炎を恐れない。","번개는 화염을 두려워하지 않는다.","O raio não teme a chama.","Молния не боится пламени.","El rayo no teme a la llama.","สายฟ้า​หาได้​กลัว​เปลว​ไฟ","閃電不懼怕火焰。"
2218,"UniqueJewel152",45458,"Maximum power fueled by science gone mad.","La puissance absolue, alimentée par une science devenue folle.","Maximale Leistung, angetrieben von einer verrückt gewordenen Wissenschaft.","狂える科学による最大級の力。","선을 넘은 과학에서 비롯한 극한의 힘.","Poder máximo alimentado pela ciência enlouquecida.","Только выход за границы разумного\r\nпозволяет науке достичь небывалых высот.","El poder máximo alimentado por la ciencia enloquecida.","พลัง​สูงสุด​ที่​ขับเคลื่อน​โดย​วิทยาศาสตร์​ที่​บ้าคลั่ง","科學注入的最大功率發瘋了。"
2219,"UniqueJewel153",5891,"Indiscriminate destruction fueled by science gone mad.","La destruction aveugle, alimentée par une science devenue folle.","Die wahllose Zerstörung, angetrieben von einer verrückt gewordenen Wissenschaft.","狂える科学による無差別の破壊。","선을 넘은 과학에서 비롯한 무차별적 파괴.","Destruição indiscriminada alimentada pela ciência enlouquecida.","Выход за границы разумного превращает науку\r\nв величайший инструмент разрушения.","Destrucción indiscriminada alimentada por la ciencia enloquecida.","การ​ทำลาย​ล้าง​ตาม​อำเภอ​ใจ​โดย​วิทยาศาสตร์​ที่​บ้าคลั่ง","科學注入的肆意破壞造成了瘋狂。"
2220,"UniqueShieldStrDex5",55544,"Fragile, explosive, and punishing.","Fragile, explosif et impitoyable.","Zerbrechlich, explosiv und bestrafend.","壊れやすく、爆発的で、苛烈。","연약하고, 폭발적이며, 치명적이다.","Frágil, explosivo, e punitivo.","Хрупкая, нестабильная и опасная.","Frágil, explosivo, and castigador.","เปราะบาง ระเบิด​ได้ และ​เจ็บปวดนัก","易碎，爆炸和懲罰。"
2221,"UniqueShieldStrDex6",5070,"Never let the audience know your true form. Misdirect them,\r\nbeguile them. Strike when they least expect it.","Ne jamais laisser l'auditoire voir votre vrai visage.\r\nTrompez-le, séduisez-le,\r\net frappez-le quand il s'y attend le moins.","Offenbart eurem Publikum niemals eure wahre Form. Leitet sie in die Irre,\r\nbetört sie. Schlagt zu, wenn sie es am wenigsten erwarten.","観客に真の姿を知られるな。欺き、騙せ。\r\n最も予想していない時に襲え。","관객에게 진짜 모습을 보이면 안 돼. 그들을 오도하고,\r\n속여야 하지. 그리고 가장 방심했을 때 치는 거야.","Jamais deixe o público conhecer sua forma verdadeira. Deixe-os desorientados, engane-os. Ataque quando eles menos esperarem.","Не позволяй публике узнать твою истинную суть.\r\nЗапутывай и смущай их, чтобы ударить, когда они этого не ждут.","Nunca dejes que la audiencia conozca tu verdadera forma. Distráelos,\r\nengáñalos. Golpea cuando menos se lo esperen.","อย่า​ปล่อย​ให้​ผู้​ชม​รู้ตัว​ตน​ที่​แท้​จริง​ของ​เจ้า จง​หลอกลวง\r\nตบตา​พวก​มัน​ไว้ แล้ว​ปะทะ​เมื่อ​พวก​มัน​ไม่​ได้​ระวัง​​ตัว","絕對不要讓聽眾知道你的真實形式。誤導他們，\r\n欺騙他們。 在他們最不期望的時候罷工。"
2222,"UniqueHelmetStrDex9",55858,"The single well-placed arrow that changes the world\r\nmust be preceded by ten thousand practice shots.","La flèche décisive qui changera le monde\r\nest précédée de dix mille tirs d'entraînement. ","Dem einzelnen, gut platzierten Pfeil, der die Welt verändert,\r\nmüssen zehntausend Übungsschüsse vorausgehen.","世界を変える一本の狙い澄ました矢の前には\r\n一万本の練習が積み重なっている。","세상을 바꾸는 한 발은 만 번의\r\n연습 끝에 완성된다.","Uma simples flecha bem lançada muda o mundo,\r\nmas deve ser precedida por dez mil tiros de prática.","Всего одна метко пущенная стрела может изменить мир,\r\nно ей предшествуют десять тысяч стрел, выпущенных в мишень.","La flecha certera que cambie el mundo\r\ndebe ser precedida por diez mil disparos de prueba.","ศรแม่นยำ​เพียง​ดอกเดียว​ที่​เปลี่ยนโลก\r\nย่อม​ถูก​นำ​ด้วย​ศร​ซ้อม​เป็น​หมื่น​ดอก","改變世界的單個位置正確\r\n的箭必須先進行一萬次練習。"
2223,"UniqueBelt40",53517,"Teach a man to burn, and you'll be warm for the rest of his life.","Apprenez à un homme comment brûler\r\net vous serez au chaud pour le reste de son existence.","Bringt einem Mann bei zu brennen, und Ihr werdet für den Rest seines Lebens warm bleiben.","人に燃え方を教えてやれば、君は彼が死ぬまで暖を取れるだろう。","남에게 불타는 법을 가르치면, 그자가 죽을 때까지 나는 따뜻하다.","Ensine um homem a usar o fogo e você ficará quente pelo resto da vida dele.","Научи человека гореть и будешь согрет до конца его жизни.","Enseña a un hombre a quemar, y estarás caliente durante el resto de su vida.","สอน​ให้​ผู้ชาย​ลุกไหม้ แล้ว​เจ้า​จะ​อบอุ่น​ไป​ตลอดชีวิต​ของ​เขา","教一個人要燃燒，你將在他的餘生中變得溫暖。"
2224,"UniqueAmulet65",50542,"\""Remain poised. Remain balanced. Keep all the emotions of a lifetime caged.\r\nLet only your enemies see the truth of your rage.\""","« Demeurez posé. Équilibré.\r\nRéprimez toutes ces émotions accumulées au fil de votre existence.\r\nFaites en sorte que seuls vos ennemis soient exposés à l'ampleur secrète de votre rage. »","\""Haltet Euch bereit. Bewahrt Euer Gleichgewicht. Hütet alle Emotionen einer Lebzeit.\r\nLasst nur Eure Feinde die Wahrheit Eurer Wut sehen.\""","「落ち着きを欠くな。平静を乱すな。一生涯分の感情を全て閉じ込めろ。\r\n其方の真の怒りは敵にだけ見せろ」","\""자세를 유지해라. 균형을 유지해라. 일생의 모든 감정을 억눌러라.\r\n오직 적에게만 네 분노의 진면모를 보여라.\""","\""Tenha postura. Permaneça equilibrado. Mantenha todas as emoções de toda uma vida enjauladas. Deixe que apenas seus inimigos vejam a verdade de sua fúria.\""","«Сохраняй спокойствие. Сохраняй равновесие. Запри в клетку\r\nвсе свои переживания. Пусть только враги видят твою истинную ярость».","\""Mantente preparado. Mantente en equilibrio. Contén todas las emociones de una vida.\r\nDeja que solo tus enemigos vean la verdad de tu furia.\""","\""วางตัว​เสมอ สุขุม​เสมอ เก็บ​ความ​รู้สึก​ชั่ว​ชีวิต​เอา​ไว้\r\nปล่อย​โทสะ​ที่​แท้​จริง​ให้​ศัตรู​ของ​เจ้า​เห็น​เพียง​เท่านั้น\""","\""保持鎮定。保持平衡。保持一生的所有情感。\r\n只讓你的敵人看到你憤怒的真相。\"""
2225,"HeistUrnOfFarud",19774,"\""The Faridun cannot earn burial in the sky.\r\nThey have other ways of keeping the dead.\""","« Les Fariduns ne méritent pas d'être inhumés dans les cieux.\r\nIls ont d'autres moyens de conserver leurs morts. »","\""Die Faridun können keine Himmelsbestattung erhalten.\r\nSie haben andere Wege, die Toten aufzubewahren.\""","「ファリダンは空の埋葬を勝ち取ることはできない。\r\n彼らには死者を保存する別の方法がある」","\""파리둔은 하늘에 묻힐 수 없다.\r\n그들은 다른 방식으로 죽은 자를 예우한다.\""","\""Os Faridun não podem receber sepultamentos nos céus.\r\nEles possuem outras formas de tratar seus mortos.\""","«Фаридунцы недостойны погребения на небе.\r\nУ них другие способы захоронения покойников».","\""Los faridun no pueden ganar entierros en el cielo.\r\nTienen otros modos de mantener a los muertos.\""","\""พวก​ฟาริดัน​ไม่​อาจ​ได้​ฝัง​ศพ​ไว้​กับ​ฟาก​ฟ้า\r\nพวก​เขา​มี​วิธี​อื่น​ใน​การ​รักษา​ศพ​เอา​ไว้\""","\""法里頓無法在空中獲得埋葬。\r\n他們還有其他辦法可以使死者喪生。\"""
2226,"HeistBoxofTripyxis",20584,"\""Allegedly turns water to Lethe. That makes it my competition. \r\nI don't like competition.\""","« Censée transformer l'eau en Léthé. En d'autres termes, de la concurrence pour moi. Je n'aime pas la concurrence. »","\""Sie soll Wasser in Lethe verwandeln.\r\nDas macht sie zu meiner Konkurrenz.\r\nIch mag keine Konkurrenz.\""","「水をレーテに変えるらしい。ならば私の競争相手だ。\r\n私は競争を好まない」","\""전해지는 바에 의하면, 물을 레테로 바꾼다고 한다. 그것이 내 경쟁 상대가 될 것이다.\r\n나는 경쟁을 즐기지 않는다.\""","\""Diz-se que ele pode transforma um simples rio no Lethe. Isso o torna meu concorrente.\r\nEu não gosto de concorrência.\""","«Якобы превращает воду в Лету. Для меня это конкуренция.\r\nЯ не люблю конкуренции».","\""Supuestamente convierte agua en Lete. Eso lo vuelve mi competencia.\r\nNo me gusta la competencia\""","\""ว่า​กัน​ว่า​สามารถ​เปลี่ยน​น้ำ​ให้​เป็น​น้ำเมา​ได้ ของ​ชิ้น​นี้​จึง​เป็น​คู่แข่ง​ของ​ข้า\r\nข้า​ไม่​ชอบ​ให้​มี​คู่แข่ง\""","\""據說是把水交給萊特。使得它成為我的競賽。\r\n我不喜歡競爭。\"""
2227,"HeistIncenseofKeth",5160,"\""Sap of the Aturi tree, known only to grow at the meeting point of the seven waters.\r\nNothing since its disappearance has smelled as wondrous.\""","« Sève de l'arbre d'Aturi, qui ne pousse qu'au point de convergence des sept eaux.\r\nDepuis sa disparition, aucune senteur n'a égalé celle-là. »","\""Der Saft des Aturibaums, der nur dort wächst, wo die sieben Wasser aufeinander treffen.\r\nNichts konnte seit seinem Verschwinden seinen wunderbaren Duft übertreffen.\""","「七つの水が出会う場所にしか育たぬ、アトゥリ樹の樹液だ。\r\n無くなって以来、あれほど素晴らしき香りを嗅いだことはない」","\""일곱 개의 물이 만나는 지점에서만 자란다는 아투리 나무의 수액,\r\n그것이 사라진 후 그 무엇도 경이로운 향을 풍기지 않았나니.\""","\""Seiva da árvore Aturi, conhecida apenas por crescer no ponto de encontro das sete águas. Nada, desde seu desaparecimento, cheirou tão mal.\""","«Сок древа Атури, что растёт только у слияния семи вод.\r\nПосле его пропажи ничто так чудесно не благоухало».","\""Savia del árbol Aturi, conocido por crecer solamente en la unión de los siete ríos.\r\nDespués de su desaparición, nada ha alcanzado su maravilloso aroma.\""","\""ยางไม้​จาก​ต้น​อะทูริ เป็น​ที่​รู้​กัน​ว่า​เติบโต​ได้​จาก​จุดรวม​สายธาร​ทั้ง​เจ็ด​เท่านั้น\r\nตั้งแต่​ต้น​นี้​หาย​ไป​ก็​ไม่มี​สิ่ง​ใด​ที่​มี​กลิ่น​หอม​รัญจวน​เท่ากับ​มัน​อีก​แล้ว\""","\""阿圖里樹的樹液，僅在七個水域的匯合點生長。\r\n自消失以來，沒有什麼聞起來像奇妙的。\"""
2228,"HeistCrestofEzomyr",49287,"\""A symbol of my birthright and claim to my fiefdom. \r\nI must have it if I am to return my family to its rightful place.\""","« Un symbole de mon droit de naissance\r\net de la revendication légitime de mon fief.\r\nJe dois l'avoir en ma possession si je souhaite\r\nrestituer à ma famille la place qui lui revient. »","\""Ein Symbol für mein Geburtsrecht und den Anspruch auf mein Lehen. \r\nIch muss es haben, wenn ich meine Familie an ihren rechtmäßigen Platz zurückbringen will.\""","「私の生まれ持った権利と封土の権利の象徴だ。\r\n我が一族を正当な地位に復権させるには取り戻さなければならない」","\""나의 생득권과 봉토 소유권의 상징. \r\n우리 가문을 정당한 위치로 돌려놓으려면 이것이 필요하다.","\""Trata-se do símbolo do meu direito de nascença e afirmação ao meu feudo.\r\nPreciso dele para retornar à minha família, que é seu lugar de direito.\""","«Символ моего происхождения и притязаний на лен.\r\nЯ должен его заполучить, если хочу вернуть своей семье законные права».","\""Un símbolo de mi derecho de nacimiento y de mi derecho a mi feudo. \r\nDebo tenerlo si quiero restituir a mi familia a su legítimo lugar.\""","\""สัญลักษณ์​ของ​สิทธิ์​ที่​ข้า​มี​แต่​กำเนิด\r\nเป็น​สิ่ง​อ้าง​สิทธิ์​แก่​ที่ดิน​ศักดินา​ของ​ข้า ข้า​จะ​ต้อง​เอา​ของ​ชิ้น​นี้​มา​ให้​จง​ได้\r\nเพื่อ​นำพา​ครอบครัว​ข้า​กลับ​สู่​ตำแหน่ง​อัน​ชอบธรรม","“象徵我與生俱來的權利，並宣稱擁有我的領地。\r\n如果我要讓家人回到其應有的地位，我必須擁有它。\"""
2229,"HeistEzMyraeTome",20466,"\""A true curiosity. Matches no known language, yet its illustrations hint at knowledge \r\nonly rediscovered hundreds of years after the death of its unknown author.\""","« Une véritable curiosité. Son écriture ne correspond à aucune langue connue,\r\nmais ses illustrations laissent paraître un savoir qui ne fut redécouvert\r\nque des siècles après la mort de son auteur anonyme. »","\""Eine echte Rarität. Es ähnelt keiner bekannten Sprache,\r\naber die Illustrationen deuten Wissen an, das erst hunderte von Jahren\r\nnach dem Tod des unbekannten Autors wiederentdeckt wurde.\""","「実に奇妙だ。知られている言語のどれにも一致しないが、描かれている図は知られざる著者の\r\n死後数百年後まで再発見されていない知識を示唆している」","\""진정으로 신비한 물건. 현대에 알려진 어떤 언어와도 일치하지 않지만,\r\n미상의 저자가 죽고 수백 년 후에야 재발견된 지식에 관한 단서가 들어 있다.\""","\""Uma curiosidade: Não se traduz em nenhum idioma, mas, ainda assim, suas ilustrações trazem um conhecimento desvendado centenas de anos após a morte de seu autor desconhecido.\""","«Настоящая редкость. Не похожа ни на один известный язык, но иллюстрации намекают на знания,\r\nвновь открытые лишь спустя столетия после смерти её неизвестного автора».","\""Una verdadera curiosidad. No se asemeja a ninguna lengua conocida, pero sus ilustraciones sugieren\r\nun conocimiento que solo fue redescubierto siglos después\r\nde la muerte de su autor anónimo.\""","\""มัน​เป็น​สิ่ง​ที่​น่า​ฉงน​สิ้น​ดี ไม่​ตรง​กับ​ภาษา​ใด​ที่​ข้า​รู้จัก\r\nแต่​ภาพ​ส่วน​ใหญ่​นั้น​กลับ​บอกใบ้​ถึง​ความ​รู้​ที่​ถูก​ค้น​พบ​อีก​ครั้ง\r\nใน​เวลา​หลาย​ร้อย​ปี​ถัด​จาก​การ​ตาย​ของ​ผู้​แต่ง​ปริศนา​ผู้​นี้\""","“真正的好奇心。任何語言都無法符合，但其暗示了知識\r\n直到其不知名的作者去世數百年後才重新被發現。\"""
