"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
143,"GamepadOptionPriortiseInteractOverSkills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","Priortise Interact Over Skills","","","","","","","","","","","",-86029282,"",""
144,"GamepadOptionPriortiseInteractOverSkillsDesc","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","Forces interact to always take priority over Skills.\r\n\r\nWith this Setting off, only certain Interactions will have priority, such as Area Transitions.","","","","","","","","","","","",-1941044830,"",""
145,"MicrotransactionTrackedStatisticTitleNumUltimatumTrialMasterBossKills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","Trial Master Kills","","","","","","","","","","","",1994709809,"",""
146,"MicrotransactionTrackedStatisticTitleNumUltimatumEncountersFailed","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","Failed Ultimatums","","","","","","","","","","","",-1047188718,"",""
147,"MicrotransactionTrackedStatisticTitleNumUltimatumEncountersSucceeded","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","Completed Ultimatums","","","","","","","","","","","",1666783054,"",""
148,"MicrotransactionTrackedStatisticTitleNumUltimatumEncounterWavesCompleted","Total waves completed","Total waves completed","Total waves completed","Total waves completed","Total waves completed","Total waves completed","Total waves completed","Total waves completed","Total waves completed","Total waves completed","","","","","","","","","","","",-600328174,"",""
149,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleBreach","Breach","Breach","Breach","Breach","Breach","Breach","Breach","Breach","Breach","Breach","","","","","","","","","","","",-162555980,"",""
150,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleAbyss","Abyss","Abyss","Abyss","Abyss","Abyss","Abyss","Abyss","Abyss","Abyss","Abyss","","","","","","","","","","","",-69359781,"",""
151,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleExpedition","Expedition","Expedition","Expedition","Expedition","Expedition","Expedition","Expedition","Expedition","Expedition","Expedition","","","","","","","","","","","",-1865240465,"",""
152,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleHarvest","Harvest","Harvest","Harvest","Harvest","Harvest","Harvest","Harvest","Harvest","Harvest","Harvest","","","","","","","","","","","",129209383,"",""
153,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleLegion","Legion","Legion","Legion","Legion","Legion","Legion","Legion","Legion","Legion","Legion","","","","","","","","","","","",-22723043,"",""
154,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleSettlers","Settlers","Settlers","Settlers","Settlers","Settlers","Settlers","Settlers","Settlers","Settlers","Settlers","","","","","","","","","","","",-676234956,"",""
155,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleDelirium","Delirium","Delirium","Delirium","Delirium","Delirium","Delirium","Delirium","Delirium","Delirium","Delirium","","","","","","","","","","","",-836685494,"",""
156,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleUltimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","Ultimatum","","","","","","","","","","","",-1365380731,"",""
157,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleBlight","Blight","Blight","Blight","Blight","Blight","Blight","Blight","Blight","Blight","Blight","","","","","","","","","","","",81073548,"",""
158,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleRitual","Ritual","Ritual","Ritual","Ritual","Ritual","Ritual","Ritual","Ritual","Ritual","Ritual","","","","","","","","","","","",1822934718,"",""
159,"MicrotransactionTrackedStatisticTitleNumKillDeathRatio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","K/D Ratio","","","","","","","","","","","",1405935899,"",""
160,"MicrotransactionTrackedStatisticTitleNumKills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","Kills","","","","","","","","","","","",1149078704,"",""
161,"MicrotransactionTrackedStatisticTitleNumDeaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","Deaths","","","","","","","","","","","",1978256908,"",""
