"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","XBoxText","XBoxText (French)","XBoxText (German)","XBoxText (Japanese)","XBoxText (Korean)","XBoxText (Portuguese)","XBoxText (Russian)","XBoxText (Spanish)","XBoxText (Thai)","XBoxText (Traditional Chinese)","XBoxText2","HASH32","PlaystationText","string_44"
749,"IncursionTempleSacrificialChamberRoom4","Empyrean of Blood","Empyrean of Blood","Lichthimmel des Blutes","血の天空","피의 천공","Empyreano de Sangue","Кровавый рай","Empíreo de sangre","วิมานเลือด","血之星穹","","","","","","","","","","","",2793107976,"",""
750,"IncursionTempleSmithyRoom4","Immaculate Forge","Immaculate Forge","Makellose Schmiede","無垢なる鍛冶場","완전무결한 대장간","Forja Imaculada","Безупречная кузня","Forja inmaculada","โรงหลอมไร้ราคี","完美熔爐","","","","","","","","","","","",2417664595,"",""
751,"IncursionTempleSynthfleshLabRoom4","Supremacy of Function","Supremacy of Function","Funktionsüberlegenheit","機能の至高","기능의 우월함","Primazia da Função","Превосходство функции","Supremacía de función","ความสามารถเหนืออื่นใด","職能至上","","","","","","","","","","","",3562734346,"",""
752,"IncursionTempleThaumaturgeRoom4","Thaumaturge's Culmination","Thaumaturge's Culmination","Gipfel des Thaumaturgen","ソーマタージの到達点","마석학자의 고조","Auge do Taumaturgo","Кульминация волшебства","Culminación del taumaturgo","บทสรุปของนักเวทมณี","奇術師之巔","","","","","","","","","","","",3889026342,"",""
753,"IncursionTempleTranscendentBarracksRoom4","Chamber of the Perfected","Chamber of the Perfected","Kammer der Vollendeten","完成されしものの間","완벽자의 방","Câmara dos Aperfeiçoados","Залы совершенных","Cámara de los perfeccionados","สถานรวมผู้สมบูรณ์แบบ","完美密室","","","","","","","","","","","",1973228069,"",""
754,"IncursionTempleViperLegionBarracksRoom4","Unmatched Legionnaires","Unmatched Legionnaires","Unübertroffene Legionäre","比類なき軍団兵","대적할 자 없는 군단병","Legionários Imbatíveis","Несравненные легионеры","Legionarios inigualables","กองพันไร้พ่าย","無雙軍團兵","","","","","","","","","","","",3564607801,"",""
755,"IncursionTempleViperSpymasterRoom4","Espionage Core","Espionage Core","Kernbereich Spionage","諜報の中枢","첩보 중심부","Centro de Espionagem","Центр шпионажа","Núcleo de espionaje","แกนจารกรรม","諜報核心","","","","","","","","","","","",1200075031,"",""
756,"IncursionEndgameDistrictInaccessibleArchitect","Defeat Xipocado, Royal Architect in the Temple to access this District","Defeat Xipocado, Royal Architect in the Temple to access this District","Besiege Xipocado, Königlicher Architekt im Tempel für den Zugang zu diesem Bezirk","この区域にアクセスするには、神殿でロイヤルアーキテクト、シポカドを倒してください","이 구역에 들어가려면 사원에서 왕실 건축가 지포카도를 쓰러뜨리십시오.","Para acessar este distrito, você deve derrotar Xipocado, o Arquiteto Real, no templo","Победите Шипокадо, царского архитектора в Храме для доступа к этому району","Derrota a Xipocado, Arquitecto real en el Templo para acceder a este distrito","สยบจีโปคาโด สถาปนิกราชสำนักในวิหารเพื่อเข้าถึงเขตนี้","在神廟中擊敗皇家建築師祝帕卡多以進入此區域。","","","","","","","","","","","",4107444988,"",""
757,"IncursionEndgameDistrictInaccessibleAtziri","Defeat Atziri in the Temple to access this District","Defeat Atziri in the Temple to access this District","Besiege Atziri im Tempel für den Zugang zu diesem Bezirk","この区域にアクセスするには、神殿でアッツィリを倒してください","이 구역에 들어가려면 사원에서 앗지리를 쓰러뜨리십시오.","Para acessar este distrito, você deve derrotar Atziri no templo","Победите Атзири в Храме для доступа к этому району","Derrota a Atziri en el Templo para acceder a este distrito","สยบอัถสิริในวิหารเพื่อเข้าถึงเขตนี้","在神廟中擊敗阿茲里以進入此區域。","","","","","","","","","","","",1187390208,"",""
758,"Active","Active","Active","Aktiv","有効化","활성","Ativo","Активно","Activo","ทำงาน","啟動","","","","","","","","","","","",4213573846,"",""
759,"Inactive","Inactive","Inactive","Inaktiv","無効化","비활성","Desativado","Неактивно","Inactivo","ไม่ทำงาน","未啟動","","","","","","","","","","","",3135282359,"",""
760,"RitualPinnacleEffigyRestartRiteButton","Attach the Head of the King","Attach the Head of the King","Kopf des Königs anbringen","王の首を取り付ける","왕의 머리 부착","Anexe a Cabeça do Rei","Прикрепить голову Хозяина","Coloca la Cabeza del rey","ติดเศียรราชัน","接上國王的頭顱","","","","","","","","","","","",34085198,"",""
761,"BreachTreeStashButtonPopupShowInventory","Open Inventory","Open Inventory","Inventar öffnen","インベントリーを開く","소지품창 열기","Abrir Inventário","Открыть инвентарь","Abrir inventario","เปิดช่องเก็บของ","開啟背包","","","","","","","","","","","",1110681462,"",""
762,"BreachTreeStashButtonPopupShowStash","Open Stash","Open Stash","Truhe öffnen","スタッシュを開く","보관함 열기","Abrir Baú","Открыть тайник","Abrir alijo","เปิดคลังเก็บของ","開啟倉庫","","","","","","","","","","","",3077531099,"",""
763,"Minion","Minion","Minion","Kreatur","ミニオン","소환수","Lacaio","Приспешник","Esbirro","มิเนียน","召喚物","","","","","","","","","","","",3604890679,"",""
764,"ShowBuildPlannerPopupInfo","Show Build Planner Notes","Show Build Planner Notes","Zeige Anmerkungen des Build-Planers","ビルドプランナーのメモを表示する","빌드 플래너 메모 표시","Mostrar comentários do Planejador de Arquétipo","Показать примечания планировщика билдов","Mostrar notas del Planificador de build","แสดงข้อความจากเครื่องมือจัดบิลด์","顯示流派規劃備注","","","","","","","","","","","",2834859116,"",""
765,"MapEntryRequirementRitualRiteStarted","Start the [RitualRiteOfTheNameless|Rite of the Nameless] to access","Start the [RitualRiteOfTheNameless|Rite of the Nameless] to access","Starte den [RitualRiteOfTheNameless|Ritus der Namenlosen] für den Zugang","アクセスするには[RitualRiteOfTheNameless|名もなき者の儀式]を開始してください","입장하려면 [RitualRiteOfTheNameless|이름 없는 자의 의례]를 시작하십시오.","Inicie o [RitualRiteOfTheNameless|Rito dos Inominados] para acessar","Для доступа начните [RitualRiteOfTheNameless|Ритуал Безымянных]","Inicia el [RitualRiteOfTheNameless|Rito de los sin nombre] para acceder","เริ่ม[RitualRiteOfTheNameless|พิธีไร้นาม]เพื่อเปิดทางไปยังด่านนี้","開始[RitualRiteOfTheNameless|無名之儀]以解鎖","","","","","","","","","","","",4043600507,"",""
766,"AtlasClassPassivesIndicatorXPopup","{0} Atlas Masters Points Available","{0} Atlas Masters Points Available","{0} Atlasmeister-Punkte verfügbar","{0} アトラスマスターポイントが利用可能です","아틀라스 대가 포인트 {0} 사용 가능","{0} pontos de Mestres do Atlas disponíveis","Доступно очков Мастеров Атласа: {0}","{0} puntos de Maestros del atlas disponibles","มีแต้มพาสซีฟมาสเตอร์แอตลาส {0} แต้ม","{0} 點輿圖大師點數可用","","","","","","","","","","","",1739263093,"",""
767,"AtlasClassPassivesIndicatorPopup","{0} Atlas Masters Point Available","{0} Atlas Masters Point Available","{0} Atlasmeister-Punkt verfügbar","{0} アトラスマスターポイントが利用可能です","아틀라스 대가 포인트 {0} 사용 가능","{0} ponto de Mestres do Atlas disponível","Доступно очков Мастеров Атласа: {0}","{0} punto de Maestros del atlas disponible","มีแต้มพาสซีฟมาสเตอร์แอตลาส {0} แต้ม","{0} 點輿圖大師點數可用","","","","","","","","","","","",2747756926,"",""
768,"MapFailedSimulacrumName","Fading Simulacrum","Fading Simulacrum","Verblassendes Simulacrum","消えゆくシミュラクラム","희미해지는 복제된 영토","Simulacrum Desvanecido","Исчезающий Симулякр","Simulacro deteriorado","เมืองจำแลงสลายตัว","消散中的模擬物","","","","","","","","","","","",3113948629,"",""
769,"MapFailedSimulacrumDescription","A manifestation of [ContainsDelirium|Delirium] is fading from existance","A manifestation of [ContainsDelirium|Delirium] is fading from existance","Eine Manifestation des [ContainsDelirium|Deliriums] verblasst aus der Existenz","[ContainsDelirium|デリリウム]の具現化の存在が消えようとしている","[ContainsDelirium|환영] 발현의 존재가 희미해지고 있습니다.","Uma manifestação de [ContainsDelirium|Delírio] está desaparecendo","Воплощение [ContainsDelirium|Делириума] постепенно исчезает","Una manifestación del [ContainsDelirium|delirio] se está desvaneciendo de la existencia","ภาพสำแดงจาก[ContainsDelirium|เดลิเรียม]กำลังเลือนหายไปจากโลกความจริง","[ContainsDelirium|譫妄]的顯現正在從世界中消散","","","","","","","","","","","",2563832751,"",""
770,"ExpandableMainInventoryLeaguePassRequiredMessage","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","[DNT] You have not activated the LeaguePass, so you cannot expand your ExpandableMainInventory.\nWould you like to go activate the LeaguePass?","","","","","","","","","","","",2474044267,"",""
771,"ExpandableMainInventoryGoToLeaguePass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","[DNT] Go to League Pass","","","","","","","","","","","",2883339997,"",""
772,"ExpandableMainInventoryCancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","[DNT] Cancel","","","","","","","","","","","",1224312775,"",""
773,"ShowExpandableMainInventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","[DNT] Show Expandable Main Inventory","","","","","","","","","","","",734228906,"",""
774,"HideExpandableMainInventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","[DNT] Hide  Expandable Main Inventory","","","","","","","","","","","",1696456711,"",""
775,"EShopMtxCardSkillInfoTip","Skill Info","Skill Info","Fertigkeiteninformation","スキル情報","스킬 정보","Informação da Habilidade","Об умении","Info de habilidad","ข้อมูลสกิล","技能資訊","","","","","","","","","","","",1829821502,"",""
776,"AtlasAbyssalDepthsObjective","Complete the {0}","Complete the {0}","Schließt ab: {0}","{0}を完了しろ","{0} 완료하기","Conclua {0}","Завершите {0}","Completa el área {0}","ผ่าน {0} ให้สำเร็จ","完成{0}","","","","","","","","","","","",3610737502,"",""
777,"AtlasAbyssalDepthsObjectiveComplete","{0} Complete","{0} Complete","{0} abgeschlossen","{0} 完了済み","{0} 완료","Área {0} Concluída","Завершено: {0}","Has completado {0}","ผ่าน {0} สำเร็จแล้ว","{0} 已完成","","","","","","","","","","","",3857563439,"",""
778,"DeliriumBench","Decanter of Madness","Decanter of Madness","Karaffe des Wahnsinns","狂気のデカンター","광기의 디캔터","Decantador da Loucura","Декантер безумия","Decantador de locura","คนโทบ้าคลั่ง","癲狂之瓶","","","","","","","","","","","",2500344804,"",""
779,"EShopItemUnavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","[DNT]Unavailable","","","","","","","","","","","",3195103204,"",""
780,"EShopShareLookButton","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","[DNT]Share Look","","","","","","","","","","","",266735822,"",""
781,"EShopReceiveLookButton","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","[DNT]Receive Look","","","","","","","","","","","",643035043,"",""
782,"EShopShareCodeTitle","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","[DNT]Share Code","","","","","","","","","","","",4025449285,"",""
783,"EShopShareCodeShareButton","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","[DNT]Copy","","","","","","","","","","","",528545797,"",""
784,"EShopReceiveCodeTitle","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","[DNT]Paste Share Code","","","","","","","","","","","",1487977537,"",""
785,"EShopReceiveCodePasteButton","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","[DNT]Paste","","","","","","","","","","","",2791569448,"",""
786,"EShopShareCodeInvalidError","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","[DNT]Invalid share code.","","","","","","","","","","","",1377134170,"",""
787,"EShopShareCodeSenderName","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","[DNT]Shared","","","","","","","","","","","",831489770,"",""
788,"StashAllButton","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","[DNT] Quick Stash\n(Not applicable to Expandable Main Inventory)","","","","","","","","","","","",3535393649,"",""
789,"MapEntryRequirementBreachBreachstoneQuest","Reveal the Breach City to access","Reveal the Breach City to access","Enthülle die Riss-Stadt für den Zugang","ブリーチの都市を公開してアクセスする","들어가려면 균열 도시를 드러내십시오.","Revele a Cidade da Fenda para acessar","Для доступа обнаружьте город Разлома","Revela la Ciudad de fisura para acceder","เผยนครบรีชเพื่อเปิดทางไปยังด่านนี้","揭露裂痕城市以解鎖","","","","","","","","","","","",3163019152,"",""
790,"MapEntryRequirementDeliriumFogSpread","Use the Grand Mirror to access","Use the Grand Mirror to access","Benutze den Großen Spiegel für den Zugang","グランドミラーを使用してアクセスする","들어가려면 웅장한 거울을 사용하십시오.","Use o Espelho Imponente para acessar","Для доступа используйте большое зеркало","Usa el Espejo grande para acceder","ใช้กระจกมโหฬารเพื่อเปิดทางไปยังด่านนี้","使用宏偉之鏡以解鎖","","","","","","","","","","","",1568559479,"",""
791,"ChamberInteract","Enter the Chamber","Enter the Chamber","Betrete die Kammer","部屋に入る","방에 들어가기","Entre na Câmara","Войти в зал","Acceder a la cámara","เข้าห้อง","進入密室","","","","","","","","","","","",3968323701,"",""
792,"ChamberInteractAbove","Claim a Mote Of The Martyr's Power","Claim a Mote Of The Martyr's Power","Beanspruche einen Teil der Macht des Märtyrers","殉教者の力のかけらを獲得する","순교자의 힘의 티끌 획득하기","Obtenha uma partícula do poder do mártir","Получить частичку силы жертвы","Obtén una mota del poder del Mártir","ครองละอองพลังของผู้พลีชีพ","領取烈士的一絲力量","","","","","","","","","","","",2529260115,"",""
793,"GamepadActionInspectRewards","Inspect Rewards","Inspect Rewards","Belohnungen ansehen","報酬を確認する","조사 보상","Inspecionar Recompensas","Осмотреть награды","Inspeccionar recompensas","ดูของรงวัล","檢視獎勵","","","","","","","","","","","",267701431,"",""
794,"EShopFilterNewItemsFirst","New Items First","New Items First","Neue Gegenstände zuerst","新商品を先に","새로운 아이템 먼저","Novos Itens Primeiro","Сначала новинки","Objetos nuevos primero","เรียงตามไอเทมใหม่","新物品優先","","","","","","","","","","","",109708012,"",""
795,"EShopShareCodeHint","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","[DNT]After copying, share this code with other players.","","","","","","","","","","","",4089543454,"",""
796,"WorldScreenGamepadToggleAtlasClassPanel","Toggle Atlas Masters/Quests","Toggle Atlas Masters/Quests","Atlas-Meister/Quests ein-/ausblenden","アトラスマスター/クエストを切り替える","아틀라스 대가/퀘스트 전환","Alternar Mestres do Atlas/Missões","Вкл./выкл. мастеров/задания Атласа","Mostrar maestros y misiones del Atlas","เปิด/ปิดมาสเตอร์แอตลาสและเควสต์","切換輿圖大師/任務","","","","","","","","","","","",2000857982,"",""
797,"ChallengeRewardsStatueXPopup","At {0} challenges you are rewarded with an upgraded\nChallenger Statue to display in your hideout","At {0} challenges you are rewarded with an upgraded\nChallenger Statue to display in your hideout","Bei {0} Herausforderungen wirst du mit einer verbesserten\nHerausfordererstatue belohnt, die du als Dekoration in deinem Versteck platzieren kannst","{0}個のチャレンジ達成で、隠れ家に飾れる\nアップグレードされたチャレンジャー像が報酬として与えられる","도전과제를 {0}개 완료하면 보상으로\n은신처에 설치할 업그레이드된 도전자 조각상이 추가됩니다.","Com {0} desafios, você ganha uma Estátua do Desafiante\natualizada para exibir em seu refúgio.","За {0} испытания(-й) вы получите улучшенный\nтотем испытаний для убежища.","Con {0} desafíos completados, recibnirás una\nEstatua de retador mejorada para exhibir en tu guarida","เมื่อผ่านครบ {0} ภารกิจ คุณจะได้รับรางวัลเป็นรูปปั้นอนุสรณ์แห่งการทายที่อัพเกรดเพื่อเอาไว้ประดับที่ซ่อน","達成 {0} 個挑戰後，你將獲得一個升級版\n挑戰者雕像，可在你的藏身處展示","","","","","","","","","","","",1753837087,"",""
798,"MapObjectiveBurningMonolith","Investigate the Burning Monolith","Investigate the Burning Monolith","Untersucht den Brennenden Monolithen","燃えるモノリスを調査しろ","불타는 거석 조사하기","Investigue o Monólito Ardente","Осмотрите Горящий монолит","Investiga el Monolito ardiente","เข้าไปสำรวจอนุสาวรีย์เพลิงพิโรธ","調查燃燒豐碑","","","","","","","","","","","",2468806624,"",""
799,"MapObjectiveGigaMirror","Investigate the Grand Mirror","Investigate the Grand Mirror","Untersucht den Großen Spiegel","グランドミラーを調査しろ","웅장한 거울 조사하기","Investigue o Espelho Imponente","Осмотрите большое зеркало","Investiga el Espejo grande","เข้าไปสำรวจกระจกมโหฬาร","調查宏偉之鏡","","","","","","","","","","","",3233334974,"",""
800,"OrbOfFlameName","The Fourth Edict","The Fourth Edict","Das Vierte Edikt","第四の勅令","네 번째 칙령","O Quarto Edito","Четвёртый эдикт","El cuarto edicto","โองการที่สี่","第四戒律","","","","","","","","","","","",3120988685,"",""
801,"RemnantRecipeSkillGemAutoDescription","Skill: {0}","Skill: {0}","Fertigkeit: {0}","スキル: {0}","스킬: {0}","Habilidade: {0}","Умение: {0}","Habilidad: {0}","สกิล: {0}","技能：{0}","","","","","","","","","","","",3310257164,"",""
802,"RemnantRecipeSupportGemAutoDescription","Support: {0}","Support: {0}","Unterstützung: {0}","サポート: {0}","보조: {0}","Reforço: {0}","Поддержка: {0}","Asistencia: {0}","เสริม: {0}","輔助：{0}","","","","","","","","","","","",2553845630,"",""
803,"GamepadNotificationInspectRewardAdditionalLine","Press <<xbox_button_view>> to inspect your reward.","Press <<xbox_button_view>> to inspect your reward.","Drücke <<xbox_button_view>> zum Ansehen deiner Belohnung.","<<xbox_button_view>>を押して報酬を確認する","<<xbox_button_view>> 버튼을 눌러 보상을 살펴보십시오.","Pressione <<xbox_button_view>> para ver sua recompensa.","Нажмите <<xbox_button_view>> чтобы осмотреть награду.","Presiona <<xbox_button_view>> para inspeccionar tu recompensa.","<<xbox_button_view>> เพื่อดูของรางวัลของคุณ","按下<<xbox_button_view>>以檢視你的獎勵。","","","","","","","","","","","",824996976,"",""
804,"MouseKeyboardNotificationInspectRewardAdditionalLine","Click here to inspect your reward.","Click here to inspect your reward.","Klicke hier zum Ansehen deiner Belohnung.","ここをクリックして報酬を確認する","이곳을 클릭해 보상을 살펴보십시오.","Clique aqui para ver sua recompensa.","Щёлкните здесь, чтобы осмотреть награду","Haz clic aquí para inspeccionar tu recompensa.","คลิกที่นี่เพื่อดูของรางวัลของคุณ","點此以檢視你的獎勵。","","","","","","","","","","","",3049019145,"",""
805,"ChamberInteractFail","The Martyr must be strong. The Martyr must be brave. You are not worthy.","The Martyr must be strong. The Martyr must be brave. You are not worthy.","Der Märtyrer muss stark sein. Der Märtyrer muss mutig sein. Du bist nicht würdig.","殉教者は強くあらねばならぬ。殉教者は勇敢でなければならぬ。お前にはその資格はない","순교자는 강해야 한다. 순교자는 용감해야 한다. 너에게는 자격이 없다.","O mártir precisa ser forte. O mártir precisa ser corajoso. Você não é digno.","Жертва должна быть сильной. Жертва должна быть храброй. Ты недостоин.","El mártir debe ser fuerte. El mártir debe ser valiente. No eres digno.","ผู้พลีชีพต้องแข็งแกร่ง ผู้พลีชีพต้องกล้าหาญ เจ้ายังไม่คู่ควร","烈士必須強大。烈士必須勇敢。你不配。","","","","","","","","","","","",3300388013,"",""
806,"ChamberConfirmationTitle","Become the Martyr of the First Edict?","Become the Martyr of the First Edict?","Zum Märtyrer des Ersten Edikts werden?","第一の勅令の殉教者になりますか？","첫 번째 칙령의 순교자가 되시겠습니까?","Tornar-se o mártir do Primeiro Edito?","Стать жертвой Первого эдикта?","¿Quieres convertirte en el mártir del primer edicto?","ตั้งตนเป็นผู้พลีชีพแห่งโองการที่หนึ่งไหม?","成為第一戒律的烈士？","","","","","","","","","","","",3259365030,"",""
807,"ChamberComfirmationContent","Your strength is unquestioned. Your resolve, unbreakable. Are you ready, Martyr?\n\n<red>{Warning: This will <bold>{permanently} destroy your character!} ","Your strength is unquestioned. Your resolve, unbreakable. Are you ready, Martyr?\n\n<red>{Warning: This will <bold>{permanently} destroy your character!} ","Deine Stärke steht außer Frage. Deine Entschlossenheit ist unschlagbar. Bist du bereit, Märtyrer?\n\n<red>{Warnung: Dies wird deinen Charakter <bold>{endgültig} auslöschen!} ","お前の強さに疑いはない。その決意が揺るぐことはない。殉教者となる準備はできているか？\n\n<red>{Warning: これによりキャラクターは<bold>{永久に失われます！}} ","그대의 힘에는 이론의 여지가 없다. 그대의 결의는 깨지지 않는다. 준비는 되었는가, 순교자여?\n\n<red>{경고: 캐릭터가 <bold>{영구히} 파괴됩니다!}","Sua força é inquestionável. Sua determinação é inabalável. Você está pronto, mártir?\n\n<red>{Atenção: isso destruirá <bold>{permanentemente} o seu personagem!}","Твоя сила неоспорима. Твоя воля несгибаема. Готов ли ты, жертва?\n\n<red>{Внимание: это <bold>{навсегда} уничтожит вашего персонажа!} ","Tu fuerza es incontestable. Tu resolución, irrompible. ¿Empezamos, mártir?\n\n<red>{Advertencia: ¡Esto destruirá <bold>{permanentemente} a tu personaje!} ","พละกำลังของเจ้าไร้ผู้ทัดเทียม ความแน่วแน่ของเจ้าไม่สั่นคลอน เจ้าพร้อมไหม ผู้พลีชีพ?\n\n<red>{คำเตือน: การกระทำนี้จะทำลายตัวละครของคุณ<bold>{โดยถาวร}!} ","你的力量無庸置疑。你的決心，堅不可摧。你準備好了嗎，烈士？\n\n<red>{警告：這將<bold>{永久}摧毀你的角色！}","","","","","","","","","","","",4137372625,"",""
808,"ChamberConfirmationAcceptButton","Enter","Enter","Betreten","入る","들어가기","Entrar","Войти","Entrar","เข้า","進入","","","","","","","","","","","",1383077100,"",""
809,"ChamberConfirmationCancelButton","Do not enter","Do not enter","Nicht betreten","入らない","들어가지 않기","Não entrar","Не входить","No entrar","ไม่เข้า","不要進入","","","","","","","","","","","",2104093019,"",""
810,"GrandExpeditionCompletionText","Place Explosives & Activate the Detonator","Place Explosives & Activate the Detonator","Sprengstoffe platzieren & Detonator aktivieren","爆発物を設置し爆破装置を起動する","폭발물을 설치하고 기폭 장치 작동하기","Coloque os explosivos e ative o detonador","Разместите взрывчатку и активируйте детонатор","Colocar explosivos y activar el detonador","วางวัตถุระเบิดและเปิดตัวจุดชนวน","放置炸藥並啟動引爆器","","","","","","","","","","","",3240210128,"",""
811,"GamepadMarketPreviewSearchTitle","Preview Search","Preview Search","Suchvorschau","検索プレビュー","검색 미리보기","Visualizar Busca","Предварительный поиск","Previsualizar búsqueda","ดูตัวอย่างการค้นหา","預覽搜尋","","","","","","","","","","","",2285219267,"",""
812,"ChamberReturnToTown","Return to The Ziggurat Refuge","Return to The Ziggurat Refuge","Kehre zur Zikkurat-Zuflucht zurück","ジッグラトの避難所に戻る","지구라트 피난처로 돌아가기","Volte ao Refúgio Zigurate","Вернуться в Лагерь на зиккурате","Regresa al Refugio del zigurat","กลับไปยังที่หลบภัยซิกกุรัต","返回高地神塔庇護所","","","","","","","","","","","",3659589176,"",""
813,"GamepadTradeMarketOpenWebsitePopup","Open the trade website using the last trade results.","Open the trade website using the last trade results.","Öffnet die Handelswebseite mit den letzten Handelsergebnissen.","直近のトレード検索を用いてトレードウェブサイトを開く","최신 거래 결과를 사용해 거래 웹사이트를 엽니다.","Acesse o site de trocas usando os últimos resultados da negociação.","Открыть торговый сайт, используя результаты последнего обмена.","Abre la página web de comercio y usa los resultados de comercio más recientes.","เปิดเว็บไซต์แลกเปลี่ยนโดยใช้การค้นหาในการแลกเปลี่ยนครั้งล่าสุด","使用最後一次交易的結果開啟交易網站。","","","","","","","","","","","",2067740935,"",""
814,"RuneRockReactivatorTitle","Activate Rune","Activate Rune","Rune aktivieren","ルーンを起動する","룬 활성화하기","Ativar Runa","Активировать руну","Activar runa","เปิดอักขระ","啟動符文","","","","","","","","","","","",2701913507,"",""
