"rownum","Id","PositionX","PositionY","Waypoint_WorldAreasKey","WorldAreasKeys","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText (English)","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","[i32]","Act","string","[i32]","i32","i32","i32","i32","rid"
125,"9_8",376,161,143,[143],"The Quarry","La Carrière","Der Steinbruch","採石場","채석장","Pedreira","Каменоломня","La Cantera","เหมืองแร่","廢棄挖石場","A monstrous terror stalks chthonic mines, yearning for the boundless sky.","Une horreur effroyable arpente les galeries souterraines, avide de prendre son envol vers l'infini.","Ein monströser Schrecken streift in diesen unterirdischen Minen umher, in Sehnsucht nach dem grenzenlosen Himmel.","果て無き空に憧れ、凄まじい恐怖が、地下鉱山を闊歩する。","지하 광산을 활보하는 무시무시한 공포의 존재. 끝없는 하늘을 갈망하는 걸까요.","Um terror monstruoso espreita minas ctônicas, ansiando pelo céu sem limites.","Чудовищный ужас витает в извечных залах, томясь по безграничности небес.","Un monstruoso terror acecha minas subterráneas y anhela el ilimitado cielo.","ภัยสยอง​ย่อง​ตาม​ใน​เหมือง​เบื้อง​ลึก\r\nเพรียก​หา​ท้องฟ้า​ไร้​ขอบเขต","駭人的怪物潛行於礦山，渴望著蒼茫的天空。",[1533],9,"9_8",[1534],-16843010,-16843010,-16843010,-16843010,""
126,"9_9",396,113,"",[144],"The Refinery","La Raffinerie","Die Veredelung","精錬所","제련소","Refinaria","Фабрика","La Refinería","โรงแปรธาตุ","破損煉油廠","Madness was visited upon those who dug too deep.","La folie s'est abattue sur ceux qui ont creusé trop bas.","Wahnsinn sprang auf diejenigen über, die zu tief gegraben haben.","深く掘り過ぎた者達に、狂気が訪れた。","너무 깊게 파고 들어가지 마십시오. 광기가 찾아올지 모르니까요.","A loucura foi visitada por aqueles que cavaram fundo demais.","Тех, кто копал слишком глубоко, навестило безумие.","La locura asoló a aquellos que cavaron demasiado profundo.","ความ​บ้า​คลั่ง​มา​เยือน\r\nผู้​ที่​ดำ​ดิ่ง​ลึก​เกิน​ไป","挖掘過深的人，成為瘋狂的訪客。",[1534],9,"9_9",[1535],-16843010,-16843010,-16843010,-16843010,""
127,"9_10",163,137,"",[145],"The Belly of the Beast","Le Ventre de la Bête","Der Wanst der Bestie","魔獣の内部","짐승의 소굴","Ventre da Besta","Брюхо Зверя","La Barriga de la Bestia","ช่องท้องของบีสต์","獸穴之腹","Once flushed with the warmness of blood, now festering; consumed by fungal rot.","Jadis irrigué par la chaleur du sang, le voilà à présent imprégné de pus et dévoré par une dégénérescence fongique.","Einst mit der Wärme des Blutes umspült. Jetzt eiternd; verzehrt von einer Pilzfäule.","かつて血の温かさで満たされていたが、今は膿み、菌に蝕まれている。","피의 따스함으로 가득 찼던 곳. 지금은 썩은 곰팡이에 의해 곪아버렸습니다.","Uma vez tingido pelo calor do sangue, agora apodrecido; consumido pela podridão de fungos.","Когда-то согретое теплой кровью, теперь наполненное гноем и траченное грибковой гнилью.","Alguna vez enrojecida por la calidez de la sangre, ahora supura, consumida por fúngica podredumbre.","เคย​ชุ่มฉ่ำ​ไป​ด้วย​เลือด\r\nบัดนี้​เป็น​หนอง​เน่า​ใน​ไป​ด้วย​รา","溫暖的血液使紅暈若隱若現，如今潰爛，飽受真菌腐蝕。",[1534],9,"9_10_1",[1536],-16843010,-16843010,-16843010,-16843010,""
128,"9_11",83,195,"",[146],"The Rotting Core","Le Cœur noir","Der faulende Kern","腐った核","썩어가는 중심부","Núcleo em Putrefação","Гниющее нутро","El Núcleo Putrefacto","แก่นเน่าเปื่อย","腐敗之核","The putrid interior oozes and spoils.","Une cavité en putréfaction qui suppure et se gangrène.","Das faulige Innenleben trieft und verdirbt.","腐敗した内部が、滲み出て露わになっている。","썩은 내부가 상하다 못해 진물이 흐르고 있습니다.","O interior pútrido transborda e deteriora.","Отвратное средоточие распада и разложения.","El pútrido interior supura y se arruina.","ภายใน​เน่าเปื่อย​หลั่ง​น้ำ​หนอง","腐敗的內部漸漸滲出。",[1536],9,"9_10_2",[1537],-16843010,-16843010,-16843010,-16843010,""
129,"10_town",262,60,147,[147],"Oriath Docks","Les Docks d'Oriath","Die Docks von Oriath","オリアスの船着場","오리아스 부두","Docas de Oriath","Доки Ориата","Las Dársenas de Oriath","ท่าเรือโอริอาท","奧瑞亞港口","A final refuge, backed hard against the waves of a raging sea.","Un ultime refuge, acculé par les lames d'une mer en furie.","Die letzte Zuflucht. Stark gesichert gegen die Wellen einer tosenden See.","荒れ狂う波に逆い、最後の避難場所に戻ってきた。","성난 바다에서 오는 파도를 힘겹게 등진 마지막 피난처.","Um refúgio final, retraído contra as ondas de um mar em fúria.","Последнее убежище, укреплённое от набегов бушующего моря.","Un refugio final, respaldado fuertemente por las olas de un mar embravecido.","ที่​ซ่อน​สุดท้าย\r\nหลัง​ชน​คลื่น​ทะเล​เดือดดาล","最後的避難處，堅持反抗著洶湧的海浪。",[],10,"10_town",[1538],-16843010,-16843010,-16843010,-16843010,""
130,"10_1",340,130,"",[148],"The Cathedral Rooftop","Le Toit de la cathédrale","Das Kathedralendach","大聖堂の屋上","대성당 옥상","Telhado da Catedral","Крыша собора","El Techo de la Catedral","ดาดฟ้าวิหาร","聖堂屋頂","From above, the true scope of carnage is clearly espied.","Vue d'en haut, l'ampleur du carnage ne laisse aucun doute.","Aus der Vogelperspektive wird einem der wahre Umfang des Gemetzels bewusst.","上から望めば、真の殺戮の規模が明らかとなる。","높은 곳에 있으니 살육의 실제 규모가 또렷이 보입니다.","De cima, o verdadeiro escopo da carnificina é claramente espiado.","С высоты виден истинный размах катастрофы.","Desde arriba se vislumbra el verdadero alcance de la carnicería.","เมื่อ​อยู่​เบื้อง​บน\r\nก็​เห็น​การ​นองเลือด​​ทั่ว​สารทิศ","處於高處才可能清楚地發覺屠殺的真實。",[1538],10,"10_1",[1539],-16843010,-16843010,-16843010,-16843010,""
131,"10_2",406,224,149,[149],"The Ravaged Square","La Place ravagée","Der verwüstete Stadtplatz","荒廃した広場","파괴된 광장","Praça Devastada","Разорённая площадь","La Plaza Devastada","จัตุรัสวินาศ","殘摧大廣場","A flourishing place of trade, barely recognizable amidst the countless deaths.","Un lieu de commerce prospère, devenu méconnaissable au milieu des innombrables cadavres.","Ein florierender Handelsplatz, kaum wiederzuerkennen inmitten der Vielzahl an Toten.","貿易で栄えたこの場所は、無数の死者の中で辛うじて見分けられる。","거래의 중심지. 수많은 사망자에 가려져 희미하게 보입니다.","Um lugar próspero para comércio, mal reconhecido no meio de incontáveis mortes.","Место буйной торговли едва узнаваемо после бессчётных смертей.","Un lugar de comercio floreciente, apenas reconocible en medio de las innumerables muertes.","สถานที่​ค้าขาย​มั่งคั่ง\r\nแต่​จำ​แทบ​ไม่ได้​ท่ามกลาง​ศพ​เกลื่อน​กลาด","曾經繁榮的貿易場所，如今在無數的死亡之中已無法識別。",[1539],10,"10_2",[1540],-16843010,-16843010,-16843010,-16843010,""
132,"10_3",720,440,"",[150],"The Torched Courts","Le Tribunal incendié","Das entflammte Gericht","焼けた裁判所","타오르는 법정","Cortes Incendiadas","Подожжённые суды","Las Cortes Incendiadas","ศาลมอดไหม้","焚燒大教堂","Pious priests once dealt cruel justice within these halls, now they both smoulder in silent agony.","Des prêtres pieux rendaient autrefois de cruelles sentences en ces lieux ; à présent, ils s'y consument dans une agonie silencieuse.","Fromme Priester haben in diesen Hallen grausame Gerechtigkeit verübt, jetzt brennen beide in stiller Pein.","かつてこの場所では敬虔な司祭による残酷な裁きが行われていたが、今は両者とも静かな苦悩の中でくすぶっている。","독실한 사제들이 잔혹한 심판을 내리던 장소입니다. 소리 없는 고통 속에 이젠 모두 잿더미로 화해버리고 말았습니다.","Sacerdotes devotos já aplicaram cruelmente a justiça nestes salões, agora ambos ardem em uma agonia silenciosa.","В этих стенах набожные жрецы творили жестокое правосудие. Теперь здесь дым и огонь.","En otro tiempo, los piadosos sacerdotes dictaron una justicia cruel en estas salas, ahora ambos arden en silenciosa agonía.","พระ​ผู้​ทรงธรรม​เคย​ลงฑัณฑ์​เหี้ยมโหด​ใน​ห้อง​พวก​นี้\r\nบัดนี้​ทั้ง​สอง​ต่าง​ร้อน​ระอุ ​ทรมาน​อย่าง​เงียบงัน","虔誠的牧師曾在此執行殘酷的正義，如今他們都因悶燒的痛苦沉默不語。",[1540],10,"10_3",[1541],-16843010,-16843010,-16843010,-16843010,""
133,"10_4",660,505,151,[151],"The Desecrated Chambers","Les Chambres profanées","Die entweihten Kammern","冒涜された広間","무너진 방","Câmaras Desecradas","Осквернённая обитель","Las Cámaras Profanadas","โถงที่พังทลาย","褻瀆之室","Mad men toil under smoking skies to pervert a holy sanctum.","Sous un ciel de fumée, des forcenés s'acharnent à pervertir un sanctuaire sacré.","Wahnsinnige Männer schuften unter rußendem Himmel, um ein heiliges Sanktum zu verderben.","煙る空の下、聖所を穢すために狂人たちが働き続ける。","연기로 덮인 하늘 아래에서 광인들이 신성한 성소를 오욕하고 있습니다.","Homens loucos trabalham arduamente sob céus esfumaçados para corromper um santuário sagrado.","Под смрадом небес безумцы в поте лица извращают святыню.","Hombres enloquecidos se esfuerzan bajo humeantes cielos para pervertir un santuario sagrado.","คน​บ้า​ตรากตรำ​ใต้​ฟ้า​ระอุ\r\nเพื่อ​ทำลาย​สถานที่​ศักดิ์สิทธิ์","瘋狂的人們在煙霧瀰漫的天空下辛勞，反對聖地。",[1541],10,"10_4",[1542],-16843010,-16843010,-16843010,-16843010,""
134,"10_5",640,223,"",[152],"The Canals","Les Canaux","Die Kanäle","運河","운하","Canais","Каналы","Los Canales","คูน้ำ","陰屍河道","A man-made rupture from which both blood and water flow.","Une blessure ouverte par l'Homme, de laquelle s'écoulent de l'eau et du sang.","Ein künstlich erschaffener Bruch, aus dem sowohl Blut als auch Wasser fließen.","血液と水の両方が流れる、人が造りし裂け目。","사람들은, 피와 물이 흐르는 곳에 균열을 일으켰습니다.","Uma ruptura feita pelo homem, na qual tanto sangue como água escorrem.","Рукотворные проломы, по которым текут вода и кровь.","Una fisura creada por el hombre de la cual fluyen tanto sangre como agua.","คลอง​ทำ​มือ\r\nที่​มี​ทั้ง​น้ำ​และ​เลือด​ไหลผ่าน","人為的破裂，使血液和水流動。",[1540],10,"10_5",[1543],-16843010,-16843010,-16843010,-16843010,""
135,"10_6",750,215,"",[153],"The Feeding Trough","L'Auge","Der Futtertrog","餌場","먹이통","Comedouro","Кормушка","El Comedero","สายส่งอาหาร","破沿血道","Cries of torment and pathetic moans as the unholy banquet of flesh continues.","Des cris de souffrance et des plaintes déchirantes se font entendre alors que le banquet de chair suit son cours.","Schreie der Qual und erbärmliches Stöhnen, während das unheilige Festmahl des Fleisches fortgeführt wird.","不浄な肉の宴が続く限り、苦悩が叫び、悲愴が呻く。","부정한 살육의 연회가 계속되는 가운데 고통과 슬픔이 담긴 신음이 들려옵니다.","Gritos de tormento e choros patéticos enquanto o banquete ímpio de carne continua.","Нечестивое и бесконечное поедание плоти в криках боли и мольбах о жалости.","Gritos de tormento y quejidos patéticos mientras continúa el impío banquete de carne.","เสียง​กรีดร้อง​ด้วย​ความ​เจ็บปวด\r\nและ​เสียง​ร้อง​น่า​สังเวช​ดัง\r\nขณะ​ที่​งานฉลอง​ด้วย​เนื้อ​หนัง​ดำเนิน​ไป","邪惡不潔的宴會持續進行著，哭泣、痛苦和可悲的呻吟聲也不曾停歇。",[1543],10,"10_6",[1544],-16843010,-16843010,-16843010,-16843010,""
136,"10_7",230,350,154,[154],"The Control Blocks","Le Quartier de contrôle","Die Wachhäuser","奴隷管理区画","관리 구역","Blocos de Controle","Изолятор","Los Bloques de Control","บล็อกคุมขัง","鎮壓地帶","Sadists and cut-throats break both bone and brain.","Un coupe-gorge sadique où l'on brise aussi bien les os que le mental.","Sadisten und Halsabschneider brechen Knochen und Schädel gleichermaßen.","サディストやカットスロートが骨も脳も壊す。","살벌하고 가학적인 무리가 뼈와 머리를 으깨버립니다.","Sádicos e degoladores quebram tanto ossos quanto cérebro.","Садисты и головорезы ломают и кости и разум.","Los sádicos y los degolladores fracturan tanto huesos como mentes.","พวก​ซาดิสต์​และ​พวก​ฆาตกร\r\nที่​หักกระดูก​และ​ระเบิด​สมอง","虐待和割喉折磨身心。",[1540],10,"10_7",[1545],-16843010,-16843010,-16843010,-16843010,""
137,"10_8",326,418,155,[155],"The Reliquary","Le Reliquaire","Die Reliquienkammer","聖廟","성유물 보관실","Relicário","Реликварий","El Relicario","สถานเก็บวัตถุเก่าแก่","聖物間","Empty, broken shelves linger, looted and forgotten in the wake of this horrid war.","Des étagères vides, cassées, subsistent en ces lieux. Pillées, puis oubliées dans le sillage de cette guerre atroce.","Leere, zerstörte Regale stehen geplündert und vergessen infolge des schrecklichen Krieges.","この恐ろしい戦争のすぐ後、壊れた空の棚は、取り残され略奪され忘れ去られた。","부서진 책꽂이. 끔찍한 전쟁 이후, 내용물을 잃은 채 홀연히 버려져 있습니다.","Prateleiras vazias e quebradas perduram, saqueadas e esquecidas como resultado desta guerra horrível.","Разграбленные и забытые, разбитые полки висят напоминанием об ужасной резне.","Estantes vacíos y rotos se resisten, saqueados y olvidados tras los pasos de esta horrible guerra.","ชั้น​พังๆ ว่างเปล่า​ตั้ง​อยู่\r\nถูก​ปล้น​และ​ถูก​ลืม​ท่ามกลาง​สงคราม​แสนสยอง","空盪、破碎的貨架、已掠奪，已遺忘，做為戰爭的苦難的紀念。",[1540],10,"10_8",[1546],-16843010,-16843010,-16843010,-16843010,""
138,"10_9",687,150,"",[156],"The Ossuary","L'Ossuaire","Das Ossuarium","納骨堂","납골당","Ossuário","Костница","El Osario","สถานเก็บกระดูก","葬骨禮堂","The dead offer thanks, for they have been spared this final savagery.","Les morts sont reconnaissants d'avoir été épargnés de cette ultime sauvagerie.","Die Toten offerieren ihren Dank, denn sie wurden von dieser letzten Grausamkeit verschont.","死者は、最後の残虐行為を免れたことに感謝を捧げる。","망자들은 최후의 만행을 피할 수 있어, 감사를 표하고 있습니다.","Os mortos agradecem por terem sido poupados desta última selvageria.","Мёртвые благодарны за то, что избавлены от дикости происходящего.","Los muertos ofrecen sus agradecimientos, ya que se han salvado de este salvajismo final.","คนตาย​ย่อม​ดีใจ\r\nที่​รอดพ้น​จาก​ความ​ป่าเถื่อน​ครั้ง​สุดท้าย​เช่น​นี้","來自死者的感謝，因死亡讓他們僥倖躲過了最後的殘暴。",[1540],10,"10_9",[1547],-16843010,-16843010,-16843010,-16843010,""
139,"11_town2",781,354,165,[165],"Karui Shores","Le Rivage karui","Karui-Ufer","カルイの海岸","카루이의 바닷가","Enseadas Karui","Берега каруи","Costas karui","ชายฝั่งคารุย","卡魯沿岸","The fates of two peoples now stand reversed, but history has taught the Oriathans humility and the Karui mercy.","Le destin de deux peuples se retrouve inversé, mais l'Histoire a enseigné l'humilité aux Oriathéens et la pitié aux Karuis.","Die Schicksale zweier Menschen sind nun vertauscht, doch die Geschichte hat den Oriathern Demut und den Karui Gnade gelehrt.","二つの民族の運命は逆転したが、歴史はオリアス人に謙虚さを、カルイ人に慈悲を教えた。","역사는 오리아스인에겐 겸손을, 카루이인에겐 자비를 가르칩니다. 현재 두 민족의 운명은 뒤바뀌었지만 말이죠.","Os destinos de duas pessoas agora estão reservados, mas a história ensino humildade aos Oriatianos e compaixão aos Karui.","Судьбы двух народов теперь стоят вспять, но история научила ориатцев смирению, а каруи - милосердию.","El destino de dos personas está ahora invertido, pero la historia les ha enseñado humildad a los Oriathanos y compasión a los Karui.","ชะตากรรม​ของ​คน​สอง​กลุ่ม​กลับ​ตาลปัตร\r\nทว่า​ประวัติศาสตร์​สอน​ให้​ชาว​โอริอาท​นอบน้อม\r\nและ​สอน​ให้​ชาว​คารุย​มี​เมตตา","雙方人民的命運現在對調，但歷史教會了奧瑞亞人謙卑，卡魯人仁慈。",[],11,"11_town2",[1548],-16843010,-16843010,-16843010,-16843010,""
