"rownum","Id","i32","[i32]","UnlockType (English)","UnlockType (French)","UnlockType (German)","UnlockType (Japanese)","UnlockType (Korean)","UnlockType (Portuguese)","UnlockType (Russian)","UnlockType (Spanish)","UnlockType (Thai)","UnlockType (Traditional Chinese)","CraftingItemClassCategories","ObtainingDescription (English)","ObtainingDescription (French)","ObtainingDescription (German)","ObtainingDescription (Japanese)","ObtainingDescription (Korean)","ObtainingDescription (Portuguese)","ObtainingDescription (Russian)","ObtainingDescription (Spanish)","ObtainingDescription (Thai)","ObtainingDescription (Traditional Chinese)"
94,"JunPhysicalDamageReductionRatingDuringSoulGainPrevention",1,"[1,1,1]","Armour during Soul Gain Prevention - Rank","Armure pendant l'Empêchement de gain d'Âmes - Rang","Rüstung während 'Kein Seelenerhalt'-Dauer - Rang","ソウル獲得不能中のアーマー - ランク","영혼 획득 방지 중 방어도 - 단계","Armadura durante a Anulação do Ganho de Almas - Rank","Броня во время действия предотвращения получения душ - уровень","Armadura durante la prevención de obtención de almas - Nivel","ค่าเกราะ ขณะที่มีสถานะ ห้ามเก็บวิญญาณ - อันดับ","停止獲得靈魂期間內護甲－階級","[6,4]","Unveiling body armour or shields","Décryptez des armures ou des boucliers","Enthüllen: Körperrüstungen oder Schilde","アンヴェール: 鎧または盾","갑옷, 방패 장막 해제","Revelando peitorais ou escudos","Нераскрытое свойство нательных доспехов и щитов","Desencriptando armaduras o escudos","เปิดผนึก เสื้อเกราะหรือโล่","揭露身體護甲或盾牌"
95,"JunPhysicalDamageTakenAsFirePercent",1,"[1,1]","Physical Damage taken As Fire Percent - Rank","Pourcentage de Dégâts physiques subis sous forme de Dégâts de feu - Rang","Physischer Schaden als prozentualer Feuerschaden erlitten - Rang","物理ダメージを火ダメージで受ける - ランク","받는 물리 피해를 화염의 일부로 전환 - 단계","Dano Físico sofrido Como Porcentagem de Fogo - Rank","Процент получаемого физического урона становится уроном от огня - уровень","Porcentaje de daño físico recibido como fuego - Nivel","รับ ความเสียหาย กายภาพ % เป็น ไฟ - อันดับ","物理傷害部分視為火焰－階級",[5],"Unveiling certain helmets from Korell Goya","Décryptez certains casques de Korell Goya","Enthüllen: bestimmte Helme von Korell Goya","アンヴェール: コレル・ゴイヤから得られる特定の兜","코렐 고야의 특정 투구 장막 해제","Revelando certos elmos do Korell Goya","Нераскрытое свойство отдельных шлемов Корелла Гойя","Desencriptando ciertos cascos de Korell Goya","เปิดผนึก หมวก ที่ได้จาก คอเรลล์ โกยา ที่กำหนด","揭露庫歐．果雅特定頭盔"
96,"JunProjectilePierceAndProjectileGemLevel",1,"[1,1,1]","Projectile Pierce and Projectile Modifiers - Rank","Modificateurs de Projectiles et Transpercement - Rang","Durchbohren mit Projektilen und Projektilmodifikatoren - Rang","投射物貫通および投射物モッド - ランク","투사체 관통 및 투사체 속성 부여 - 단계","Perfuração de Projéteis e Modificadores de Projétil - Rank","Шанс пронзить врага снарядом и модификаторы снарядов - уровень","Perforación de proyectiles y modificadores de proyectiles - Nivel","กระสุนเจาะทะลุ และม็อดกระสุน - อันดับ","投射物穿透和投射物詞綴－階級","[5,7,10]","Unveiling helmets, gloves or amulets","Décryptez des casques, des gants ou des amulettes","Enthüllen: Helme, Handschuhe oder Amulette","アンヴェール: 兜、手袋またはアミュレット","투구, 장갑, 목걸이 장막 해제","Revelando elmos, luvas ou amuletos","Нераскрытое свойство шлемов, перчаток и амулетов","Desencriptando cascos, guantes o amuletos","เปิดผนึก หมวก, ถุงมือ หรือ สร้อย","揭露頭盔、手套或項鍊"
97,"JunReduceGlobalFlatManaCost",1,"[1,1,1]","Mana Cost of Skills - Rank","Coût en Mana des Aptitudes - Rang","Manakosten von Fertigkeiten - Rang","スキルマナコスト - ランク","스킬의 마나 소모 - 단계","Custo de Mana das Habilidades - Rank","Затраты маны умениями - уровень","Costo de maná de las habilidades","ค่าใช้งานมานาของสกิล - อันดับ","技能魔力消耗－階級","[9,10]","Unveiling certain rings or amulets from Elreon","Décryptez certaines amulettes, ou certaines bagues ou anneaux d'Elréon","Enthüllen: bestimmte Ringe oder Amulette von Elreon","アンヴェール: エルレオンから得られる特定の指輪またはアミュレット","엘레온의 특정 목걸이 장막 해제","Revelando certos anéis ou amuletos do Elreon","Нераскрытое свойство отдельных колец и амулетов Элреона","Desencriptando ciertos anillos o amuletos de Elreon","เปิดผนึก แหวนหรือสร้อย ที่ได้จาก เอล์เรออน ที่กำหนด","揭露艾爾雷恩特定戒指或項鍊"
98,"JunRestoreManaAndEnergyShieldOnFocus",1,"[1,1,1]","Mana and Energy Shield when you Focus - Rank","Mana et Bouclier d'énergie lorsque vous vous Focalisez - Rang","Mana und Energieschild, wenn Ihr Fokus erhaltet - Rang","フォーカス中のマナおよびエナジーシールド - ランク","집중 시 마나 및 에너지 보호막 - 단계","Mana e Escudo de Energia quando se Concentrar - Rank","Мана и энергетический щит в момент получения Фокуса - уровень","Maná y escudo de energía cuando te concentras - Nivel","มานาและโล่พลังงาน เมื่อคุณ ตั้งสมาธิ - อันดับ","當你專注時魔力和能量護盾－階級",[6],"Unveiling body armour","Décryptez des armures","Enthüllen: Körperrüstungen","アンヴェール: 鎧","갑옷 장막 해제","Revelando peitorais","Нераскрытое свойство нательных доспехов","Desencriptando armaduras","เปิดผนึก เสื้อเกราะ","揭露身體護甲"
99,"JunShockNearbyEnemiesOnFocus",1,"[1,1,1]","Shock nearby Enemies when you Focus - Rank","Électrocution des Ennemis à proximité lorsque vous vous Focalisez - Rang","Schockt Gegner im Umkreis, wenn Ihr Fokus erhaltet - Rang","フォーカス時、周囲の敵への感電付与 - ランク","집중 시 주변 적 감전 - 단계","Eletriza Inimigos próximos quando se Focar - Rank","Наложение шока на ближайших врагов в момент получения Фокуса - уровень","Electrocuta a los enemigos cercanos cuando te concentras - Nivel","สร้างสถานะ ช็อค ต่อศัตรูที่อยู่ใกล้ เมื่อคุณ ตั้งสมาธิ - อันดับ","當你專注時感電附近敵人－階級",[9],"Unveiling rings","Décryptez des bagues ou des anneaux","Enthüllen: Ringe","アンヴェール: 指輪","반지 장막 해제","Revelando anéis","Нераскрытое свойство колец","Desencriptando anillos","เปิดผนึก แหวน","揭露戒指"
100,"JunSkillAreaOfEffectPercentAndAreaOfEffectGemLevel",1,"[1,1,1]","Area of Effect and Area Modifiers - Rank","Zone d'effet et Modificateurs de Zone - Rang","Wirkungsbereich und Flächenmodifikatoren","効果範囲および効果範囲モッド - ランク","효과 범위 및 지역 속성 부여 - 단계","Modificadores de Área de Efeito e Área","Модификаторы области и области действия - уровень","Área de efecto y modificadores de área","พื้นที่ส่งผล และม็อดพื้นที่ - อันดับ","範圍效果和光環詞綴－階級","[5,7,10]","Unveiling helmets, gloves or amulets","Décryptez des casques, des gants ou des amulettes","Enthüllen: Helme, Handschuhe oder Amulette","アンヴェール: 兜、手袋またはアミュレット","투구, 장갑, 목걸이 장막 해제","Revelando elmos, luvas ou amuletos","Нераскрытое свойство шлемов, перчаток и амулетов","Desencriptando cascos, guantes o amuletos","เปิดผนึก หมวก, ถุงมือ หรือ สร้อย","揭露頭盔、手套或項鍊"
101,"JunSkillsCostNoManaWhileFocused",1,[1],"Skills Cost no Mana while Focused","Vos Aptitudes ne coûtent pas de Mana pendant la Focalisation","Fertigkeiten kosten kein Mana, während Ihr fokussiert seid","フォーカス中のマナコスト非消費","집중하는 동안 스킬 사용 시 마나 소모 없음","Habilidades Sem Custo de Mana enquanto Concentrado","Пока вы сфокусированы, умения не расходуют ману","Las habilidades no cuestan maná mientras estés concentrado","สกิลไม่ใช้มานา ขณะที่มีสถานะ ตั้งสมาธิ","專注時技能不消耗魔力",[10],"Unveiling amulets","Décryptez des amulettes","Enthüllen: Amulette","アンヴェール: アミュレット","목걸이 장막 해제","Revelando amuletos","Нераскрытое свойство амулетов","Desencriptando amuletos","เปิดผนึก สร้อย","揭露項鍊"
102,"JunSocketedGemQuality",1,"[1,1]","Quality of Gems - Rank","Qualité des Gemmes - Rang","Qualität von Gemmen - Rang","ジェムの品質 - ランク","젬 퀄리티 - 단계","Qualidade das Gemas - Rank","Качество камней - уровень","Gemas de calidad - Nivel","ค่าคุณภาพของ หิน - อันดับ","寶石品質－階級","[0,2,1,3,4]","Unveiling certain weapons or shields from Haku","Décryptez certaines armes ou certains boucliers d'Haku","Enthüllen: bestimmte Waffen oder Schilde von Haku","アンヴェール: ハクから得られる特定の武器または盾","하쿠의 특정 무기 장막 해제","Revelando certas armas ou escudos do Haku","Нераскрытое свойство отдельных видов оружия и щитов Хаку","Desencriptando ciertas armas o escudos de Haku","เปิดผนึก อาวุธหรือโล่ ที่ได้จาก ฮาคู ที่กำหนด","揭露哈庫特定武器或盾牌"
103,"JunSpellDamageAndManaRegenerationRate",1,"[1,1,1]","Spell Damage and Mana Regeneration Rate - Rank","Dégâts des Sorts et Taux de Régénération de Mana - Rang","Zauberschaden und Mana-Regenerationsrate - Rang","スペルダメージおよびマナ自動回復レート - ランク","주문 피해 및 마나 재생 속도 - 단계","Dano Mágico e Regeneração de Mana - Rank","Урон от чар и скорость регенерации маны - уровень","Daño de hechizos y velocidad de regeneración de maná - Nivel","ความเสียหาย เวท และอัตราการ ฟื้นฟูมานา - อันดับ","法術傷害和魔力回復速度－階級","[0,1,2,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
104,"JunSpellDamageAndNonChaosDamageToAddAsChaosDamage",1,"[1,1,1]","Spell Damage and Non-Chaos as Extra Chaos - Rank","Dégâts des Sorts et Rajout des Dégâts autres que chaos sous forme de Dégâts de chaos - Rang","Zauberschaden und Schaden (Chaosschaden ausgenommen) als extra Chaosschaden - Rang","スペルダメージおよび非混沌ダメージを追加の混沌ダメージとして獲得 - ランク","주문 피해 및 비-카오스 피해를 추가 카오스로 전환 - 단계","Dano Mágico e Dano Não-Caótico como Caos Extra ão-Caótico como Dano Extra de Caos - Rank","Урон от чар и урон не-хаосом в виде дополнительного урона хаосом - уровень","Daño de hechizos y daño que no sea de caos como daño de caos extra - Nivel","ความเสียหาย เวท และเสริมความเสียหาย เคออส จาก ความเสียหายที่ไม่ใช่เคออส - อันดับ","法術傷害和非混沌的額外混沌－階級","[0,1,2]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
105,"JunStatusAilmentsYouInflictDurationWhileFocused",1,"[1,1,1]","Duration of Ailments while Focused - Rank","Durée des Altérations pendant la Focalisation - Rang","Dauer von Beeinträchtigungen, während Ihr fokussiert seid - Rang","フォーカス中の状態異常持続時間 - ランク","집중하는 동안 상태 이상 지속시간 - 단계","Duração de Afecções enquanto Concentrado - Rank","Длительность состояний, пока вы сфокусированы - уровень","Duración de estados alterados mientras estás concentrado - Nivel","ระยะเวลาเจ็บป่วย ขณะที่มีสถานะ ตั้งสมาธิ - อันดับ","專注時異常效果持續時間－階級",[5],"Unveiling helmets","Décryptez des casques","Enthüllen: Helme","アンヴェール: 兜","투구 장막 해제","Revelando elmos","Нераскрытое свойство шлемов","Desencriptando cascos","เปิดผนึก หมวก","揭露頭盔"
106,"JunStrengthAndDexterity",1,"[1,1,1]","Strength and Dexterity - Rank","Force et Dextérité - Rang","Stärke und Geschick - Rang","筋力および器用さ - ランク","힘과 민첩 - 단계","Força e Destreza - Rank","Сила и ловкость - уровень","Fuerza y destreza - Nivel","Strength และ Dexterity - อันดับ","力量和敏捷－階級","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers","Décryptez des armures, des bottes, des gants, des casques, des boucliers, des amulettes, des ceintures, des bagues, des anneaux ou des carquois","Enthüllen: Körperrüstungen, Stiefel, Handschuhe, Helme, Schilde, Amulette, Gürtel, Ringe oder Köcher","アンヴェール: 鎧、靴、手袋、兜、盾、アミュレット、ベルト、指輪または矢筒","갑옷, 장화, 장갑, 투구, 방패, 목걸이, 허리띠, 반지, 화살통 장막 해제","Revelando peitorais, botas, luvas, elmos, escudos, amuletos, cintos, anéis ou aljavas","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов, щитов, амулетов, поясов, колец и колчанов","Desencriptando armaduras, botas, guantes, cascos, escudos, amuletos, cinturones, anillos o carcajes","เปิดผนึก เสื้อเกราะ, รองเท้า, ถุงมือ, หมวก, โล่, สร้อย, เข็มขัด, แหวน หรือ ซองธนู","揭露身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋"
107,"JunStrengthAndIntelligence",1,"[1,1,1]","Strength and Intelligence - Rank","Force et Intelligence - Rang","Stärke und Intelligenz - Rang","筋力および知性 - ランク","힘과 지능 - 단계","Força e Inteligência - Rank","Сила и интеллект - уровень","Fuerza e inteligencia - Nivel","Strength และ Intelligence - อันดับ","力量和智慧－階級","[6,8,7,5,4,10,11,9,13]","Unveiling body armour, boots, gloves, helmets, shields, amulets, belts, rings or quivers","Décryptez des armures, des bottes, des gants, des casques, des boucliers, des amulettes, des ceintures, des bagues, des anneaux ou des carquois","Enthüllen: Körperrüstungen, Stiefel, Handschuhe, Helme, Schilde, Amulette, Gürtel, Ringe oder Köcher","アンヴェール: 鎧、靴、手袋、兜、盾、アミュレット、ベルト、指輪または矢筒","갑옷, 장화, 장갑, 투구, 방패, 목걸이, 허리띠, 반지, 화살통 장막 해제","Revelando peitorais, botas, luvas, elmos, escudos, amuletos, cintos, anéis ou aljavas","Нераскрытое свойство нательных доспехов, сапог, перчаток, шлемов, щитов, амулетов, поясов, колец и колчанов","Desencriptando armaduras, botas, guantes, cascos, escudos, amuletos, cinturones, anillos o carcajes","เปิดผนึก เสื้อเกราะ, รองเท้า, ถุงมือ, หมวก, โล่, สร้อย, เข็มขัด, แหวน หรือ ซองธนู","揭露身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋"
108,"JunSummonTotemCastSpeed",1,"[1,1,1]","Totem Placement Speed - Rank","Vitesse de placement des Totems - Rang","Totem-Platzierungsgeschwindigkeit - Rang","トーテム設置速度 - ランク","토템 설치 속도 - 단계","Velocidade de Posicionamento de Totem - Rank","Скорость установки тотемов - уровень","Velocidad de colocación de tótems - Nivel","ความเร็วในการ ปักโทเทม - อันดับ","圖騰放置速度－階級","[8,10]","Unveiling boots or amulets","Décryptez des bottes ou des amulettes","Enthüllen: Stiefel oder Amulette","アンヴェール: 靴またはアミュレット","장화, 목걸이 장막 해제","Revelando botas ou amuletos","Нераскрытое свойство сапог и амулетов","Desencriptando botas o amuletos","เปิดผนึก รองเท้าหรือสร้อย","揭露鞋子或項鍊"
109,"JunTrapThrowSpeed",1,"[1,1,1]","Trap Throwing Speed - Rank","Vitesse de jet des Pièges - Rang","Fallen-Wurfgeschwindigkeit - Rang","トラップ投擲速度 - ランク","덫 투척 속도 - 단계","Velocidade de Arremesso de Armadilha - Rank","Скорость броска ловушек - уровень","Velocidad de lanzamiento de trampas - Nivel","ความเร็วในการ โยนกับดัก - อันดับ","投擲陷阱速度－階級","[10,11]","Unveiling amulets or belts","Décryptez des amulettes ou des ceintures","Enthüllen: Amulette oder Gürtel","アンヴェール: アミュレットまたはベルト","목걸이, 허리띠 장막 해제","Revelando amuletos ou cintos","Нераскрытое свойство амулетов и поясов","Desencriptando amuletos o cinturones","เปิดผนึก สร้อยหรือเข็มขัด","揭露項鍊或腰袋"
110,"JunTriggerSocketedSpellWhenYouFocus",1,[1],"Trigger Socketed Spells when you Focus","Déclenche les Sorts Enchâssés lorsque vous vous Focalisez","Löst eingefasste Zauber aus, wenn Ihr Fokus erhaltet","フォーカス時ソケットスペルトリガー","집중 시 장착된 주문 발동","Ativa Magias Encaixadas enquanto Concentrado","Срабатывание чар в момент получения Фокуса","Activa hechizos engarzados cuando te concentras","ทริกเกอร์ สกิลที่ใส่ เมื่อคุณ ตั้งสมาธิ","當你專注時觸發插槽中的法術",[5],"Unveiling helmets","Décryptez des casques","Enthüllen: Helme","アンヴェール: 兜","투구 장막 해제","Revelando elmos","Нераскрытое свойство шлемов","Desencriptando cascos","เปิดผนึก หมวก","揭露頭盔"
111,"JunLocalAttackSpeedAndLocalItemQuality",1,"[1,1]","Local Attack Speed, Dexterity and Intelligence - Rank","Vitesse d'atttaque Locale ; Dextérité et Intelligence - Rang","Lokale Angriffsgeschwindigkeit, Geschick und Intelligenz - Rang","ローカルアタックスピード、器用さおよび知性 - ランク","특정 공격 속도 및 민첩, 지능 - 단계","Velocidade de Ataque Local e Qualidade de Item Local - Rank","Локальная скорость атаки, ловкость и интеллект - уровень","Velocidad de ataque local, destreza e inteligencia - Nivel","ความเร็วในการโจมตีของไอเทม, Dexterity และ Intelligence - อันดับ","區域攻擊速度、敏捷和智慧－階級","[0,2,1,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
112,"JunLocalCriticalStrikeChanceAndLocalItemQuality",1,"[1,1]","Critical Strike Chance, Strength and Intelligence - Rank","Chances de Coup critique ; Force et Intelligence - Rang","Kritische Trefferchance, Stärke und Intelligenz - Rang","クリティカル率、筋力および知性 - ランク","치명타 확률 및 힘, 지능 - 단계","Chance de Acerto Crítico e Qualidade - Rank","Шанс критического удара, сила и интеллект - уровень","Probabilidad de golpe crítico, fuerza e inteligencia - Nivel","โอกาสคริติคอล, Strength และ Intelligence - อันดับ","暴擊率、力量和智慧－階級","[0,2,1,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
113,"JunLocalAccuracyRatingAndLocalItemQuality",1,"[1,1,1]","Accuracy Rating, Strength and Dexterity - Rank","Score de Précision ; Force et Dextérité - Rang","Treffgenauigkeit, Stärke und Geschick - Rang","命中率、筋力および器用さ - ランク","정확도 및 힘, 민첩 - 단계","Precisão e Qualidade dos Itens - Rank","Меткость, сила и ловкость - уровень","Precisión, fuerza y destreza - Nivel","อัตราความแม่นยำ, Strength และ Dexterity - อันดับ","命中值、力量和敏捷－階級","[0,2,1,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
114,"JunLocalAttackSpeedAndLocalDisplayTriggerLevelBloodRageOnKillChance",1,"[1,1]","Attack Speed and Trigger Blood Rage on Kill - Rank","Vitesse d'attaque et Déclenche Rage sanguinaire lorsque vous Tuez - Rang","Angriffsgeschwindigkeit und Auslösung von Blutrausch bei Tötung - Rang","アタックスピードおよび撃破時ブラッドレイジトリガー - ランク","공격 속도 및 처치 시 피의 격노 발동 - 단계","Velocidade de Ataque e Ativa Fúria Sangrenta ao Matar - Rank","Скорость атаки и срабатывание Кровавого угара при убийстве - уровень","Velocidad de ataque y activa Furia de sangre al matar - Nivel","ความเร็วในการโจมตี และทริกเกอร์ Blood Rage เมื่อสังหาร - อันดับ","攻擊速度和擊殺時觸發鮮血狂怒－階級","[0,2,1,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
115,"JunCastSpeedAndGainArcaneSurgeOnKillChance",1,"[1,1,1]","Cast Speed and gain Arcane Surge on Kill - Rank","Vitesse d'incantation et gain d'Éruption arcanique en Tuant - Rang","Zaubergeschwindigkeit und Erhalt von Arkane Woge bei Tötung - Rang","キャストスピードおよび撃破時アーケインサージ獲得 - ランク","시전 속도 및 처치 시 비전 쇄도 획득 - 단계","Velocidade de Conjuração e Ganha Fúria Arcana ao Matar - Rank","Скорость сотворения чар и получение Колдовского выброса при убийстве - уровень","Velocidad de lanzamiento de hechizos y gana sobrecarga arcana al matar - Nivel","ความเร็วในการร่าย และได้รับ กระแสอาคม เมื่อสังหาร - อันดับ","施放速度和擊殺時獲得秘能波動－階級","[0,2,1,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
116,"JunTriggerSocketedSpellOnSkillUse",1,[1],"Trigger a Socketed Spell when you Use a Skill","Déclenche un Sort Enchâssé lorsque vous utilisez une Aptitude","Löst einen eingefassten Zauber aus, wenn Ihr eine Fertigkeit benutzt","スキル使用時ソケットスペルトリガー","스킬 사용 시 장착된 주문 발동","Ativa uma Magia Encaixada quando Usar uma Habilidade","Срабатывание размещенных чар при использовании умения","Activa un hechizo engarzado cuando usas una habilidad","ทริกเกอร์ เวทที่ใส่ เมื่อคุณใช้สกิล","當你使用技能觸發插槽中的法術","[0,2,1,3]","Unveiling weapons","Décryptez des armes","Enthüllen: Waffen","アンヴェール: 武器","무기 장막 해제","Revelando armas","Нераскрытое свойство оружия","Desencriptando armas","เปิดผนึก อาวุธ","揭露武器"
117,"JunFireAndChaosDamageResistance",1,"[1,1,1]","Fire and Chaos Resistance - Rank","Résistances au feu et au chaos - Rang","Feuer- und Chaoswiderstand - Rang","火および混沌耐性- ランク","화염 및 카오스 저항 - 단계","Resistência à Fogo e Caos - Rank","Сопротивление огню и хаосу - уровень","Resistencia al fuego y al caos - Nivel","ค่าต้านทาน ไฟและเคออส - อันดับ","火焰和混沌抗性－階級","[0,1,2,3,6,7,8,5,4,9,10,11,13]","Unveiling weapons, body armour, gloves, boots, helmets, shields, rings, amulets, belts or quivers","Décryptez des armes, des armures, des gants, des bottes, des casques, des boucliers, des bagues, des anneaux, des amulettes, des ceintures ou des carquois","Enthüllen: Waffen, Körperrüstungen, Handschuhe, Stiefel, Helme, Schilde, Ringe, Amulette, Gürtel oder Köcher","アンヴェール: 武器、鎧、手袋、靴、兜、盾、指輪、アミュレット、ベルトまたは矢筒","무기, 갑옷, 장갑, 장화, 투구, 방패, 반지, 목걸이, 허리띠, 화살통 장막 해제","Revelando armas, peitorais, luvas, botas, elmos, escudos, anéis, amuletos, cintos ou aljavas","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов, щитов, колец, амулетов, поясов и колчанов","Desencriptando armas, armaduras, guantes, botas, cascos, escudos, anillos, amuletos, cinturones o carcajes","เปิดผนึก อาวุธ, เสื้อเกราะ, ถุงมือ, รองเท้า, หมวก, โล่, แหวน, สร้อย, เข็มขัด หรือ ซองธนู","揭露武器、身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋"
118,"JunLightningAndChaosDamageResistance",1,"[1,1,1]","Lightning and Chaos Resistance - Rank","Résistances à la foudre et au chaos - Rang","Blitz- und Chaoswiderstand - Rang","雷および混沌耐性- ランク","번개 및 카오스 저항 - 단계","Resistência à Raio e Caos - Rank","Сопротивление молнии и хаосу - уровень","Resistencia al rayo y al caos - Nivel","ค่าต้านทาน สายฟ้าและเคออส - อันดับ","閃電和混沌抗性－階級","[0,1,2,3,6,7,8,5,4,9,10,11,13]","Unveiling weapons, body armour, gloves, boots, helmets, shields, rings, amulets, belts or quivers","Décryptez des armes, des armures, des gants, des bottes, des casques, des boucliers, des bagues, des anneaux, des amulettes, des ceintures ou des carquois","Enthüllen: Waffen, Körperrüstungen, Handschuhe, Stiefel, Helme, Schilde, Ringe, Amulette, Gürtel oder Köcher","アンヴェール: 武器、鎧、手袋、靴、兜、盾、指輪、アミュレット、ベルトまたは矢筒","무기, 갑옷, 장갑, 장화, 투구, 방패, 반지, 목걸이, 허리띠, 화살통 장막 해제","Revelando armas, peitorais, luvas, botas, elmos, escudos, anéis, amuletos, cintos ou aljavas","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов, щитов, колец, амулетов, поясов и колчанов","Desencriptando armas, armaduras, guantes, botas, cascos, escudos, anillos, amuletos, cinturones o carcajes","เปิดผนึก อาวุธ, เสื้อเกราะ, ถุงมือ, รองเท้า, หมวก, โล่, แหวน, สร้อย, เข็มขัด หรือ ซองธนู","揭露武器、身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋"
119,"JunColdAndChaosDamageResistance",1,"[1,1,1]","Cold and Chaos Resistance - Rank","Résistances au froid et au chaos - Rang","Kälte- und Chaoswiderstand - Rang","冷気および混沌耐性- ランク","냉기 및 카오스 저항 - 단계","Resistência à Gelo e Caos - Rank","Сопротивление холоду и хаосу - уровень","Resistencia al hielo y al caos - Nivel","ค่าต้านทาน น้ำแข็งและเคออส - อันดับ","冰冷和混沌抗性－階級","[0,1,2,3,6,7,8,5,4,9,10,11,13]","Unveiling weapons, body armour, gloves, boots, helmets, shields, rings, amulets, belts or quivers","Décryptez des armes, des armures, des gants, des bottes, des casques, des boucliers, des bagues, des anneaux, des amulettes, des ceintures ou des carquois","Enthüllen: Waffen, Körperrüstungen, Handschuhe, Stiefel, Helme, Schilde, Ringe, Amulette, Gürtel oder Köcher","アンヴェール: 武器、鎧、手袋、靴、兜、盾、指輪、アミュレット、ベルトまたは矢筒","무기, 갑옷, 장갑, 장화, 투구, 방패, 반지, 목걸이, 허리띠, 화살통 장막 해제","Revelando armas, peitorais, luvas, botas, elmos, escudos, anéis, amuletos, cintos ou aljavas","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов, щитов, колец, амулетов, поясов и колчанов","Desencriptando armas, armaduras, guantes, botas, cascos, escudos, anillos, amuletos, cinturones o carcajes","เปิดผนึก อาวุธ, เสื้อเกราะ, ถุงมือ, รองเท้า, หมวก, โล่, แหวน, สร้อย, เข็มขัด หรือ ซองธนู","揭露武器、身體護甲、鞋子、手套、頭盔、盾牌、項鍊、腰帶、戒指或箭袋"
120,"JunStrengthAndLocalItemQuality",1,"[1,1,1]","Strength and Avoid Ignite - Rank","Force et Immunité à l'Embrasement - Rang","Stärke und Entzünden vermeiden - Rang","筋力および発火無効化確率- ランク","힘 및 점화 긴급회피 - 단계","Força e Qualidade - Rank","Сила и избегание поджога - уровень","Fuerza y evitar la quemadura - Nivel","Strength และหลีกเลี่ยงสถานะ ลุกไหม้ - อันดับ","力量和避免點燃－階級","[0,1,2,3,6,4]","Unveiling weapons, body armour or shields","Décryptez des armes, des armures ou des boucliers","Enthüllen: Waffen, Körperrüstungen oder Schilde","アンヴェール: 武器、鎧または盾","무기, 갑옷, 방패 장막 해제","Revelando armas, peitorais ou escudos","Нераскрытое свойство оружия, нательных доспехов, перчаток, сапог, шлемов и щитов ","Desencriptando armas, armaduras o escudos","เปิดผนึก อาวุธ, เสื้อเกราะ หรือ โล่","揭露武器、身體護甲或盾牌"
