"rownum","BaseItemType","StackSize","CurrencyUseType","Action","Directions","FullStack_BaseItemType","Description","Usage_AchievementItems","Scroll","Possession_AchievementItem","[rid]","[i32]","CurrencyTab_StackSize","XBoxDirections","i32","ModifyMapsAchievements","ModifyContractsAchievements","CombineAchievements","ChangedForHardmode","DescriptionHardmode","IsGold","UsageHint","bool"
468,207,10,2,"add_cleansing_fire_implicit_4","Right click this item then left click a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.","","Adds an Exceptional Searing Exarch implicit modifier to a Body Armour, Boots, Gloves or Helmet. This replaces any existing implicit modifiers other than Eater of Worlds implicit modifiers.",[8414],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",100,[],[],[],"","","","Drag this item onto a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",""
469,208,10,2,"add_great_tangle_implicit_1","Right click this item then left click a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.","","Adds a Lesser Eater of Worlds implicit modifier to a Body Armour, Boots, Gloves or Helmet. This replaces any existing implicit modifiers other than Searing Exarch implicit modifiers.",[8362],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",100,[],[],[],"","","","Drag this item onto a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",""
470,209,10,2,"add_great_tangle_implicit_2","Right click this item then left click a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.","","Adds a Greater Eater of Worlds implicit modifier to a Body Armour, Boots, Gloves or Helmet. This replaces any existing implicit modifiers other than Searing Exarch implicit modifiers.",[8363],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",100,[],[],[],"","","","Drag this item onto a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",""
471,210,10,2,"add_great_tangle_implicit_3","Right click this item then left click a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.","","Adds a Grand Eater of Worlds implicit modifier to a Body Armour, Boots, Gloves or Helmet. This replaces any existing implicit modifiers other than Searing Exarch implicit modifiers.",[8364],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",100,[],[],[],"","","","Drag this item onto a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",""
472,211,10,2,"add_great_tangle_implicit_4","Right click this item then left click a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.","","Adds an Exceptional Eater of Worlds implicit modifier to a Body Armour, Boots, Gloves or Helmet. This replaces any existing implicit modifiers other than Searing Exarch implicit modifiers.",[8415],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",100,[],[],[],"","","","Drag this item onto a normal, magic or rare item to apply it. Cannot be used on Shaper, Elder or Elderslayer influenced items.",""
473,212,10,2,"conflict_orb","Right click this item then left click a non-unique item to apply it. Can only be used on items that have both a Searing Exarch and an Eater of Worlds implicit modifier. The chance of raising or lowering a modifier depends on its relative strength.","","Unpredictably raise the strength of one Searing Exarch or Eater of Worlds modifier on an item and lower the strength of another. Lesser modifiers that have their strength lowered will be removed.",[8416],"","",[],[],5000,"<<xbox_button_x>> to use, then <<xbox_button_a>> on a non-unique item to apply it. Can only be used on items that have both a Searing Exarch and Eater of Worlds implicit modifier. The chance of raising or lowering a modifier depends on its relative strength.",100,[],[],[],"","","","Drag this item onto a non-unique item to apply it. Can only be used on items that have both a Searing Exarch and an Eater of Worlds implicit modifier. The chance of raising or lowering a modifier depends on its relative strength.",""
474,213,1,3,"","Trade this in to Siosa inside the Library for a Skill Gem","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
475,1161,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
476,1162,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
477,1163,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
478,1164,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
479,1165,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
480,1166,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
481,1167,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
482,1168,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
483,1169,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
484,1170,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
485,1171,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
486,1172,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
487,1173,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
488,1174,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
489,1175,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
490,1176,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
491,1177,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
492,1178,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
493,1179,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
494,1180,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
495,1181,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
496,1182,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
497,1183,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
498,1184,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
499,1185,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
500,1186,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
501,1187,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
502,1188,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
503,1189,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
504,1190,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
505,1191,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
506,1192,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
507,1193,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
508,1194,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
509,1195,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
510,1196,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
511,1197,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
512,1198,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
513,1199,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
514,1200,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
515,1201,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
516,1202,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
517,1203,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
518,1204,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
519,1205,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
520,1206,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
521,1207,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
522,1208,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
523,1209,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
524,1210,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
525,1211,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
526,1212,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
527,1213,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
528,1214,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
529,1215,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
530,1216,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
531,1217,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
532,1218,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
533,1219,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
534,1220,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
535,1221,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
536,1222,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
537,1223,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
538,1224,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
539,1225,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
540,1226,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
541,1227,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
542,1228,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
543,1229,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
544,1230,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
545,1231,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
546,1232,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
547,1233,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
548,1234,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
549,1235,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
550,1236,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
551,1237,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
552,1238,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
553,1239,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
554,1240,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
555,1241,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
556,1242,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
557,1243,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
558,1244,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
559,1245,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
560,1246,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
561,1247,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
562,1248,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
563,1249,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
564,1250,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
565,1251,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
566,1252,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
567,1253,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
568,1254,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
569,1255,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
570,1256,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
571,1257,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
572,1258,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
573,1259,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
574,1260,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
575,1261,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
576,1262,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
577,1263,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
578,1264,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
579,1265,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
580,1266,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
581,1267,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
582,1268,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
583,1269,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
584,1270,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
585,1271,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
586,1272,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
587,1273,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
588,1274,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
589,1275,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
590,1276,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
591,1277,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
592,1278,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
593,1279,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
594,1280,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
595,1281,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
596,1282,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
597,1283,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
598,1284,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
599,1285,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
600,1286,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
601,1287,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
602,1288,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
603,1289,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
604,1290,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
605,1291,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
606,1292,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
607,1293,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
608,1294,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
609,1295,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
610,1296,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
611,1297,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
612,1298,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
613,1299,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
614,1300,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
615,1301,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
616,1302,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
617,1303,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
618,1304,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
619,1305,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
620,1306,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
621,1307,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
622,1308,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
623,1309,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
624,1310,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
625,1311,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
626,1312,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
627,1313,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
628,1314,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
629,1315,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
630,1316,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
631,1317,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
632,1318,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
633,1319,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
634,1320,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
635,1321,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
636,1322,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
637,1323,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
638,1324,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
639,1325,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
640,1326,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
641,1327,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
642,1328,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
643,1329,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
644,1330,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
645,1331,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
646,1332,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
647,1333,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
648,1334,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
649,1335,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
650,1336,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
651,1337,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
652,1338,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
653,1339,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
654,1340,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
655,1341,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
656,1342,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
657,1343,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
658,1344,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
659,1345,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
660,1346,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
661,1347,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
662,1348,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
663,1349,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
664,1350,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
665,1351,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
666,1352,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
667,1353,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
668,1354,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
669,1355,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
670,1356,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
671,1357,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
672,1358,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
673,1359,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
674,1360,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
675,1361,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
676,1362,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
677,1363,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
678,1364,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
679,1365,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
680,1366,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
681,1367,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
682,1368,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
683,1369,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
684,1370,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
685,1371,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
686,1372,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
687,1373,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
688,1374,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
689,1375,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
690,1376,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
691,1377,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
692,1378,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
693,1379,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
694,1380,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
695,1381,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
696,1382,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
697,1383,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
698,1384,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
699,1385,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
700,1386,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
701,1387,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
702,1388,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
703,1389,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
704,1390,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
705,1391,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
706,1392,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
707,1393,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
708,1394,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
709,1395,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
710,1396,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
711,1397,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
712,1398,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
713,1399,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
714,1400,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
715,1401,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
716,1402,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
717,1403,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
718,1404,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
719,1405,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
720,1406,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
721,1407,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
722,1408,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
723,1409,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
724,1410,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
725,1411,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
726,1412,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
727,1413,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
728,1414,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
729,1415,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
730,1416,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
731,1417,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
732,1418,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
733,1419,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
734,1420,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
735,1421,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
736,1422,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
737,1423,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
738,1424,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
739,1425,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
740,1426,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
741,1427,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
742,1428,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
743,1429,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
744,1430,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
745,1431,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
746,1432,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
747,1433,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
748,1434,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
749,1435,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
750,1436,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
751,1437,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
752,1438,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
753,1439,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
754,1440,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
755,1441,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
756,1442,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
757,1443,1,3,"","","","",[],"","",[],[],0,"",0,[],[],[],"","","","",""
