"rownum","Id","Types","ExtraMods","TypesFiltered","DaemonSpawningData","PreviousTier","bool_80","Radius","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","TypesExtra","MonsterTypesApplyingRuin","MiscAnimated","BuffTemplates","Tier","i32_161","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","MonsterSpawners","bool_189","Achievements","TextAudio","UniqueMapMod"
51,"PlayerDebuffBuffsExpireFaster",[8],[],[],"","","",0,"Buffs Expire Faster","Effets bénéfiques éphémères","Stärkungen laufen schneller aus","バフの消失が速まる","버프 만료 속도 가속","Buffs Expiram mais Rápido","Быстрое истечение положительных эффектов","Las bonificaciones expiran más rápido","บัฟหมดเวลาเร็วขึ้น","增益效果失效加速","Art/2DArt/UIImages/InGame/Ultimatum/Icons/BuffsExpireFaster",29421,[],0,"",[2],1,0,"Buffs expire five times faster on Players","Les Effets bénéfiques qui affectent les joueurs expirent cinq fois plus rapidement.","Stärkungen laufen auf Spielern fünfmal schneller aus","プレイヤーが持つバフが5倍速く消える","플레이어에게 적용되는 버프가 5배 빨리 만료됩니다.","Buffs expiram cinco vezes mais rápido nos jogadores","Положительные эффекты на игроках истекают в пять раз быстрее","Las bonificaciones expiran cinco veces más rápido en los jugadores","บัฟ ต่อ​ตัวผู้​เล่น​หมด​เวลา เร็ว​ขึ้น 5 เท่า","玩家身上的增益效果失效加快 5 倍",[],"",[7836],11155,32315
52,"PlayerDebuffCooldownSpeed",[8],[],[],"","","",0,"Less Cooldown Recovery","Perte de Temps de recharge","Weniger Abklingzeit-Erholungsdauer","クールダウン短縮低下","재사용 대기시간 회복 속도 감폭","Menos Recuperação da Recarga","Замедление перезарядки","Menos recuperación del tiempo de recarga","ลดการฟื้นฟูคูลดาวน์","降低冷卻時間恢復","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessCooldownRecovery",39295,[],0,"",[3],1,0,"Cooldowns take five times longer to recharge","Vos Temps de recharge sont cinq fois plus longs.","Abklingzeiten erfordern eine fünfmal längere Erholungsdauer","クールダウンの回復時間が5倍となる","재사용 대기시간이 끝나기까지 5배 오래 걸립니다.","Tempos de Recarga demoram cinco vezes mais para recarregar","Перезарядка умений занимает в 5 раз больше времени","Los tiempos de recarga duran cinco veces más","คูลดาวน์​ของ​ผู้เล่น ใช้​เวลา​นาน​ขึ้น 5 เท่า","冷卻時間要 5 倍的時間恢復",[],"",[7837],11200,32316
53,"PlayerDebuffIncreasingVulnerability",[8],[],[],"","","",0,"Escalating Damage Taken","Dégâts subis aggravants","Zunehmender erlittener Schaden","増加していく被ダメージ","받는 피해 점증","Escalonamento do Dano Sofrido","Постоянное повышение получаемого урона","El daño recibido escala","ยกระดับความเสียหายที่ได้รับ","增加承受傷害","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingDamageTaken",57621,[],0,"",[4],1,0,"For the remainder of the encounter, damage taken will slowly increase by 2% per second, up to 50%","Chaque seconde qui s'écoule vous inflige 2% d'Augmentation des Dégâts subis (cumulable jusqu'à 50%).\r\nLe cumul de cet effet persiste d'une Épreuve à l'autre.","Der erlittene Schaden wird für die verbleibende Zeit der Begegnung um 2% pro Sekunde langsam erhöht, bis zu 50%","エンカウンターの残りの時間、受けるダメージが毎秒2%ずつ、最大で50%まで増加する。","인카운터가 끝날 때까지 받는 피해가 1초마다 2% 증가하여, 최대 50%까지 증가합니다.","Pelo resto do encontro, dano sofrido aumentará lentamente em 2% por segundo, até 50%","До окончания схватки получаемый урон будет увеличиваться на 2% в секунду, вплоть до максимума в 50%","Durante el resto del encuentro, el daño recibido irá aumentando lentamente un 2% por segundo, hasta un 50%","ค่อยๆ เพิ่ม​ความ​เสียหาย​ที่​ได้​รับ​วินาที​ละ 2% ตลอด​การ​เผชิญหน้า สูงสุด​ไม่​เกิน 50%","在剩下的事件中，每秒慢慢增加 2% 承受的，最多 50%",[],"",[7838],11164,32317
54,"MonsterBuffAcceleratingSpeed",[8],[25534],[],"","","",0,"Escalating Monster Speed","Vitesse des monstres aggravante","Zunehmende Monstergeschwindigkeit","増加していく移動スピード","몬스터 속도 점증","Escalonamento da Velocidade dos Monstros","Постоянное повышение скорости монстров","La velocidad de los monstruos escala","ยกระดับความเร็วมอนสเตอร์","增加怪物速度","Art/2DArt/UIImages/InGame/Ultimatum/Icons/EscalatingMonsterSpeed",7961,[],0,"",[],1,0,"Monsters gain 5% increased attack, cast, and movement speed per second they are alive, up to 50%","Chaque seconde qui s'écoule octroie aux monstres 5% d'Augmentation de Vitesse d'attaque, d'incantation et de déplacement (cumulables jusqu'à 50%).","Alle Monster erhalten 5% erhöhte Angriffs-, Zauber- und Bewegungsgeschwindigkeit pro Sekunde, die sie am Leben sind, bis zu 50%","すべてのモンスターは生存している間アタック、キャストおよび移動スピードが毎秒5%ずつ、最大50%増加する","몬스터가 살아있는 동안 공격, 시전, 이동 속도가 1초마다 5% 증가하여, 최대 50%까지 증가합니다.","Todos os Monstros anham ataque, conjuração e velocidade de movimento aumentados em 5% por segundo que estiverem vivos, até 50%","Все монстры получают 5% повышение скорости атаки, сотворения чар и передвижения в секунду пока они живы, вплоть до 50%","Los monstruos ganan velocidades de ataque, lanzamiento de hechizos y movimiento aumentadas un 5% por cada segundo que permanezcan vivos, hasta un 50%","มอนสเตอร์ มี​ความเร็ว​ใน​การ​โจมตี, ร่าย, เคลื่อนที่ เพิ่มขึ้น 5% ต่อ​จำนวน​วินาที​ที่​มัน​มี​ชีวิต สูงสุด 50%","全部怪物每活 1 秒增加 5% 攻擊、施放和移動速度，最多 50%",[],"",[7839],11182,32318
55,"MonsterBuffNonChaosDamageToAddAsChaosDamage",[8],[25569],[],"","","",0,"Profane Monsters","Monstres impies","Profane Monster","不浄なモンスター","부정한 몬스터","Monstros Profanos","Нечестивые монстры","Monstruos profanos","มอนสเตอร์นอกรีต","褻瀆怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ChaoticTouch",18354,[],0,"",[],1,0,"Monsters deal 80% of Physical Damage Added as Chaos Damage","Les monstres rajoutent 80% des Dégâts physiques qu'ils infligent sous forme de Dégâts de chaos.","Monster verursachen 80% des physischen Schadens als zusätzlichen Chaosschaden","モンスターは物理ダメージの80%を追加の混沌ダメージとして与える","몬스터가 물리 피해의 80%를 추가 카오스 피해로 줍니다.","Monstros causam 80% do Dano Físico adicional como Dano de Caos","Монстры наносят 80% физического урона в виде дополнительного урона хаосом","Los monstruos infligen el 80% del daño físico agregado como daño de caos","มอนสเตอร์ นำ​ความ​เสียหาย กายภาพ 80% ไป​เสริม​เป็น เคออส","怪物造成 80% 物理傷害的附加混沌傷害",[],"",[7840],11308,32319
56,"PlayerDebuffExtraCriticalRolls",[8],[25545],[],"","","",0,"Unlucky Criticals","Critiques défavorables","Ungünstige kritische Treffer","不幸なクリティカル","불운의 치명타","Críticos Azarados","Неудачливые критические удары","Críticos desafortunados","คริติคอลอับโชค","不幸運暴擊","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnluckyCrits",40124,[],0,"",[8],1,0,"Your Critical Strike Chance is Unlucky\r\nMonsters take 50% reduced Extra Damage from Critical Strikes","Vos Chances de coup critique vous sont Défavorables.\r\nLes monstres ont 50% de Réduction des Dégâts supplémentaires subis par les Coups critiques.","Eure kritische Trefferchance ist ungünstig\r\nMonster erleiden 50% verringerten extra Schaden von kritischen Treffern","クリティカル率が不幸になる\r\nモンスターがクリティカルストライクから受ける追加ダメージが50%減少する","치명타 확률에 불운 적용\r\n몬스터가 치명타로 받는 추가 피해 50% 감소","Sua Chance de Golpes Críticos é Azarada\r\nMonstros sofrem Dano Extra dos Golpes Críticos reduzido em 50%","Ваш шанс критического удара неудачлив\r\nМонстры получают сниженный на 50% дополнительный урон от критических ударов","Tu probabilidad de golpe crítico es desafortunada\r\nLos monstruos reciben el daño extra de los golpes críticos reducido un 50%","คุณ โชคร้าย ใน​การ​คำนวณ​โอกาส​คริติคอล\r\nมอนสเตอร์ ได้​รับ​ความ​เสียหาย​เพิ่มเติม​จาก​คริติคอล ลดลง 50%","你的暴擊率很不幸\r\n怪物減少承受 50% 來自暴擊的額外傷害",[],"",[7841],11380,32320
57,"PlayerDebuffHinderedMsOnFlaskUse","[8,21]",[],[21],"","","",0,"Hindering Flasks","Flacons entravants","Lähmende Fläschchen","阻害されるフラスコ","방해하는 플라스크","Frascos Retardantes","Сковывающие флаконы","Frascos entumecedores","ขวดยาที่ขัดขวาง","阻礙藥劑","Art/2DArt/UIImages/InGame/Ultimatum/Icons/HinderingFlasks",27491,[],0,"",[9],1,0,"Using a Flask Hinders you by 50% for 4 seconds","Chaque Flacon que vous buvez vous Entrave de 50% pendant 4 secondes.","Das Benutzen eines Fläschchens lähmt Euch für 4 Sekunden um 50%","フラスコの使用により4秒間50%阻害される","플라스크 사용 시 4초 동안 이동 방해를 50% 받습니다.","Usar um Frasco te Retarda em 50% por 4 segundos","Использование флакона сковывает вас на 50% на 4 секунды","Usar un frasco te entumece en un 50% durante 4 segundos","การ​ใช้ ขวดยา ทำให้​คุณ​ติด​สถานะ ขัดขวาง 50% 4 วินาที","使用藥劑使你被阻礙 50% 4 秒",[],"",[7842],11359,32321
58,"PlayerDebuffCancelFlaskEffectOnFlaskUse","[8,21]",[],[21],"","","",0,"Drought","Sécheresse","Dürre","干ばつ","가뭄","Seca","Засуха","Sequía","แห้งแล้ง","乾旱","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LimitedFlasks",15668,[],0,"",[10],1,0,"Cannot gain Flask Charges","Vous ne pouvez pas gagner de Charges de Flacons.","Ihr könnt keine Fläschchenfüllungen erhalten","フラスコチャージを獲得することができない","플라스크 충전 불가","Não pode ganhar Cargas de Frascos","Вы не получаете заряды флаконов","No puedes ganar cargas de frascos","ไม่​สามารถ​รับ ชาร์จขวดยา ได้","不能獲得藥劑充能",[],"",[7843],11374,32322
59,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",[8],[25546],[],"","","",0,"Ailment and Curse Reflection","Altérations & Malédictions renvoyées","Reflektierte Beeinträchtigungen und Flüche","状態異常および呪い反射","상태 이상 및 저주 반사","Reflexo de Maldições e Afecções","Отражение состояний и проклятий","Reflejo de estados alterados y maldiciones","สะท้อนสถานะเจ็บป่วยและคำสาป","異常狀態和詛咒反射","Art/2DArt/UIImages/InGame/Ultimatum/Icons/CurseAilmentReflection",11872,[],0,"",[11],1,0,"Curses and Non-damaging Ailments you apply are Reflected\r\nMonsters are unaffected by Curses","Les Malédictions que vous infligez vous sont Renvoyées.\r\nLes Altérations n'infligeant pas de Dégâts que vous infligez vous sont Renvoyées.\r\nLes monstres ne sont pas affectés par les Malédictions.","Von Euch angewendete Flüche und nicht schädigende Beeinträchtigungen werden reflektiert\r\nMonster sind unbeeinträchtigt von Flüchen","プレイヤーが付与する呪いおよび非ダメージ性状態異常は反射される\r\nモンスターは呪いの影響を受けない","플레이어가 유발하는 저주와 비-피해 상태 이상 반사\r\n몬스터가 저주의 영향을 받지 않음","Maldições e Afecções Não Nocivas aplicadas por você são Refletidas\r\nMonstros não são afetados por Maldições","Накладываемые вами проклятия и не наносящие урон состояния отражаются обратно на вас\r\nМонстры невосприимчивы к проклятиям","Las maldiciones y los estados alterados no dañinos que aplicas se reflejan\r\nA los monstruos no les afectan las maldiciones","คำสาป​และ​ สถานะเจ็บป่วย​ไร้​ความเสียหาย ที่​คุณ​สร้าง​จะ​ถูก​สะท้อน\r\nมอนสเตอร์ ไม่ได้​รับ​ผล​จาก​คำสาป","你造成的詛咒和非傷害型異常狀態被反射\r\n怪物不被詛咒影響",[],"",[7844],11359,32323
60,"PlayerDebuffSelfLightningDamageOnSkillUseManaSpentOnCostHigh",[8],[],[],"","","",0,"Lightning Damage from Mana Costs","Mana foudroyant","Blitzschaden von Manakosten","マナコストから雷ダメージ","마나 소모로 번개 피해","Dano de Raio dos Custos de Mana","Урон от молнии при расходе маны","Daño de rayo por costo de maná","ความเสียหายสายฟ้าจากค่าใช้งานมานา","魔力消耗的閃電傷害","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LightningDamageFromMana",58901,[],0,"",[12],1,0,"Take 1000% of Mana costs as Lightning Damage","1000% des Coûts en Mana dépensés vous sont infligés sous forme de Dégâts de foudre.","Erleidet 1000% der Manakosten als Blitzschaden","マナコストの1000%を雷ダメージとして受ける","마나 소모의 1000%를 번개 피해로 받습니다.","Sofra 1000% do custo de Mana como Dano de Raio","Наносит урон от молнии, равный 1000% от израсходованной маны","Recibes el 1000% de los costos de maná como daño de rayo","รับ​ความ​เสียหาย สายฟ้า เท่ากับ 1000% ของ ค่า​ใช้​งาน​มานา","承受 1000% 魔力消耗的閃電傷害",[],"",[7845],11365,""
61,"PlayerDebuffRandomProjectileDirection","[8,20]",[6366],[20],"","","",0,"Random Projectiles","Projectiles aléatoires","Zufällige Projektile","無秩序な投射物","무작위 투사체","Projéteis Aleatórios","Случайные снаряды","Proyectiles aleatorios","สุ่มโพรเจกไทล์","隨機投射物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ScatteredProjectiles",46286,[],0,"",[13],1,0,"Your Projectiles fly in random directions\r\nMonsters fire additional Projectiles","Vos Projectiles partent dans des directions aléatoires.\r\nLes monstres tirent des Projectiles supplémentaires.","Eure Projektile werden in zufällige Richtungen abgefeuert\r\nMonster feuern zusätzliche Projektile","放つ投射物がランダムな方向に飛ぶ\r\nモンスターは追加の投射物を放つ","당신의 투사체가 임의의 방향으로 날아갑니다.\r\n몬스터가 투사체를 추가로 발사합니다.","Seus projéteis voam em direções aleatórias\r\nMonstros disparam Projéteis adicionais","Ваши снаряды летят в случайных направлениях\r\nМонстры выпускают дополнительные снаряды","Tus proyectiles vuelan en direcciones aleatorias\r\nLos monstruos disparan proyectiles adicionales","​โพรเจกไทล์ของ​คุณ สุ่มทิศทาง\r\nมอนสเตอร์ ยิง​​โพรเจกไทล์ เพิ่มเติม","你的投射物以隨機方向發射\r\n怪物發射額外投射物",[],"",[7846],11383,""
62,"PlayerDebuffAurasAffectAllies",[8],[],[],"","","",0,"Treacherous Auras","Auras traîtresses","Tückische Auren","裏切りのオーラ","오라의 배신","Auras Perigosas","Предательские ауры","Auras traicioneras","ออร่าทรยศ","奸詐光環","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SharedAuras",12730,[],0,"",[15],1,0,"Your Auras that affect Allies also affect Enemies","Vos Auras qui affectent vos alliés affectent également vos ennemis.","Eure Auren, die auf Verbündete wirken, wirken auch auf Gegner","味方に影響するプレイヤーのオーラは敵にも影響する","아군에게 영향을 주는 오라가 적에게도 영향을 줍니다.","Suas Auras que afetam Aliados também afetam Inimigos","Ваши ауры, действующие на союзников, действуют также и на врагов","Tus auras que afectan a los aliados también afectan a los enemigos","ออร่า​ของ​คุณ ที่​ส่ง​ผล​กับ เพื่อน จะ​ส่ง​ผล​กับ ศัตรู เช่นกัน","你影響友方的光環同時影響敵人",[],"",[7847],11386,32324
63,"PlayerDebuffUltimatumDealNoDamageFor2SecondEvery8Seconds",[8],[],[],"","","",0,"Occasional Impotence","Impuissance épisodique","Gelegentliche Schwäche","偶発する無気力","간헐적 무기력","Impotência Ocasional","Случайное бессилие","Impotencia ocasional","หมดกำลังชั่วครู่","暫時失效","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OccasionalImpotence",65051,[],0,"",[43],1,0,"You and your Minions deal no damage for 2 seconds every 8 seconds","Toutes les 8 secondes, vous et vos Créatures devenez incapables d'infliger des dégâts pendant 2 secondes.","Ihr und Eure Kreaturen verursachen alle 8 Sekunden für 2 Sekunden keinen Schaden","プレイヤーとそのミニオンは8秒ごとに2秒間ダメージを与えることが出来ない","당신과 소환수가 8초마다 2초 동안 아무 피해를 주지 않습니다.","Você e seus Lacaios não causam dano por 2 segundos a cada 8 segundos","Раз в 8 секунд вы и ваши приспешники не наносите урона в течение 2 секунд","Tú y tus esbirros no infligen nada de daño durante 2 segundos cada 8 segundos","คุณ​และ​มิเนียน​ของ​คุณ ไม่​สร้าง​ความเสียหาย​ใดๆ 2 วินาที ทุก 8 วินาที","每 8 秒你和你的召喚物有 2 秒不會造成傷害",[],"",[7848],11209,32325
64,"PlayerDebuffUltimatumLoseChargesEverySecond",[8],"[4896,4897,4898]",[],"","","",0,"Siphoned Charges","Charges dérobées","Schwindende Ladungen","サイフォンドチャージ","충전 흡수","Cargas Sugadas","Исчезающие заряды","Cargas ","ชาร์จที่ถูกกลืน","虹吸球","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphonedCharges",21966,[],0,"",[44],1,0,"Lose a Power, Frenzy, and Endurance Charge every second\r\nMonsters gain Power, Frenzy, and Endurance Charges on hit","Chaque seconde qui s'écoule vous fait perdre une Charge d'endurance, de frénésie et de pouvoir.\r\nLes monstres gagnent une Charge d'endurance, de frénésie et de pouvoir quand ils touchent.","Verliert jede Sekunde eine Energie-, Raserei- und Widerstands-Ladung\r\nMonster erhalten bei Treffer Energie-, Raserei- und Widerstands-Ladungen","毎秒、パワーチャージ、フレンジーチャージおよびエンデュランスチャージを1個失う。\r\nモンスターはヒット時にパワーチャージ、フレンジーチャージおよびエンデュランスチャージを得る","1초마다 권능, 격분, 인내 충전을 1개 상실합니다.\r\n몬스터가 명중 시 권능, 격분, 인내 충전을 획득합니다.","Perca uma Carga de Poder, Frenesi e Tolerância a cada segundo\r\nMonstros ganham uma Carga de Poder, Frenesi e Tolerância ao acertarem","Вы теряете заряд ярости, энергии и выносливости каждую секунду\r\nМонстры получают заряды ярости, энергии и выносливости при нанесении удара","Pierdes una carga de poder, una de frenesí y una de aguante por segundo\r\nLos monstruos ganan cargas de poder, frenesí y aguante con cada golpe","สูญเสีย Power, Frenzy, Endurance Charge 1 ลูก ทุก​วินาที\r\nมอนสเตอร์ ได้รับ Power, Frenzy, Endurance Charge เมื่อ​ปะทะ","每秒失去 1 顆暴擊、狂怒和耐力球\r\n怪物擊中時獲得暴擊、狂怒和耐力球",[],"",[7849],11161,32326
65,"MonsterSlowProtection",[8],[25535],[],"","","",0,"Unstoppable Monsters","Monstres inarrêtables","Unaufhaltbare Monster","止まらぬモンスター","폭주 몬스터","Monstros Imparáveis","Неудержимые монстры","Monstruos imparables","มอนสเตอร์ไม่อาจหยุดยั้ง","不可阻擋怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/UnstoppableMonsters",11559,[],0,"",[],1,0,"Monsters cannot be Slowed or Stunned","Les monstres ne peuvent être Ralentis ou Étourdis.","Monster können nicht verlangsamt oder betäubt werden","モンスターは遅くならずスタンをうけない","몬스터가 느려지거나 기절하지 않음","Monstros não podem ser Desacelerados ou Atordoados","Монстров нельзя замедлить или оглушить","Los monstruos no se pueden ralentizar ni aturdir","มอนสเตอร์ ไม่​ถูก​ทำให้ เชื่องช้า และ​ไม่​ติด​สถานะ สตัน","怪物不能被緩速或暈眩",[],"",[],16768,""
66,"MonsterExtraRareModifiers",[8],[25536],[],"","","",0,"Lethal Rare Monsters","Monstre Rares mortels","Tödliche seltene Monster","致死のレアモンスター","치명적인 희귀 몬스터","Monstros Raros Letais","Беспощадные редкие монстры","Monstruos raros letales","มอนสเตอร์แรร์ร้ายแรง","致死稀有怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LethalRareMonsters",47347,[],0,"",[],1,0,"Rare Monsters have 2 additional Modifiers","Les monstres rares ont 2 Modificateurs supplémentaires.","Seltene Monster haben 2 zusätzliche Modifikatoren","レアモンスターはモッドを追加で2個持つ","희귀 몬스터가 속성 2개 추가 보유","Monstros Raros têm 2 Modificadores adicionais","У редких монстров 2 дополнительных свойства","Los monstruos raros tienen 2 modificadores adicionales","มอนสเตอร์​แรร์ มีม็อด เพิ่มเติม 2 อย่าง","稀有怪物有 2 個額外詞綴",[],"",[],16774,""
67,"MonsterBlock",[8],[25537],[],"","","",0,"Shielding Monsters","Monstres bloquants","Geschützte Monster","盾のモンスター","방어하는 몬스터","Monstros Protetores","Ограждающие монстры","Monstruos escudados","มอนสเตอร์ติดโล่","巨盾怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ShieldingMonsters",36548,[],0,"",[],1,0,"Monsters have 50% chance to Block Attack and Spell Damage","Les monstres ont 50% de chances de bloquer les Dégâts des Attaques et des Sorts.","Monster haben 50% Chance, Angriffsschaden und Zauberschaden zu blocken","モンスターは50％の確率でアタックおよびスペルをブロックする","몬스터가 50%의 확률로 공격 및 주문 피해 막음","Monstros têm 50% de chance de Bloquear o Dano de Ataques e Magias","Монстры имеют 50% шанс блокировать урон от атак и чар","Los monstruos tienen un 50% de probabilidad de bloquear el daño de los ataques y los hechizos","มอนสเตอร์ มี​โอกาส​บล็อค ความ​เสียหาย โจมตี​และ​เวท 50%","怪物有 50% 攻擊和法術傷害格擋率",[],"",[],16781,""
68,"MonsterHitsCantBeEvaded",[8],[25538],[],"","","",0,"Precise Monsters","Monstres précis","Präzise Monster","正確なモンスター","정확한 몬스터","Monstros Precisos","Точные монстры","Monstruos precisos","มอนสเตอร์แม่นยำ","精準怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PreciseMonsters",33891,[],0,"",[],1,0,"Monster Hits cannot be Evaded","Les Touches de monstres ne peuvent être Évitées.","Monstertreffern kann nicht ausgewichen werden","モンスターのヒットは回避することができない","몬스터의 명중 회피 불가","Acertos dos Monstros não podem ser Evadidos","От ударов монстров нельзя уклониться","Los golpes de los monstruos no se pueden evadir","การ​ปะทะ​ขอ​งมอนสเตอร์ ไม่​สามารถ​หลบหลีก​ได้","怪物擊中不能被閃避",[],"",[],16787,""
69,"MonsterOverwhelm",[8],[25539],[],"","","",0,"Overwhelming Monsters","Monstres submergeants","Überwältigende Monster","圧倒するモンスター","압도적인 몬스터","Monstros Esmagadores","Подавляющие монстры","Monstruos sobrepasados","มอนสเตอร์ท่วมท้น","鎮壓怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/OverwhelmingMonsters",59748,[],0,"",[],1,0,"Monster Hits Overwhelm all Physical Damage Reduction","Les monstres submergent toute la Réduction des Dégâts physiques au Toucher.","Monstertreffer überwältigen sämtliche physische Schadensminderung","モンスターのヒットはすべての物理ダメージ軽減を圧倒する","몬스터가 명중 시 모든 물리 피해 감소 압도","Acertos dos Monstros Sobrecarregam toda a Redução de Dano Físico","Удары монстров полностью подавляют любое снижение получаемого физического урона","Los golpes de los monstruos sobrepasan toda la reducción de daño físico","การ​ปะทะ​ของ​มอนสเตอร์ ท่วมท้น ค่า​ป้องกัน​กายภาพ ทั้งหมด","怪物擊中鎮壓全部物理傷害減免",[],"",[],16793,""
70,"MonsterHitsAreCriticalStrikes",[8],[25540],[],"","","",0,"Deadly Monsters","Monstres mortels","Tödliche Monster","致命のモンスター","무시무시한 몬스터","Monstros Mortais","Смертоносные монстры","Monstruos mortales","มอนสเตอร์ร้ายกาจ","致命怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DeadlyMonsters",38838,[],0,"",[],1,0,"Monster Hits are always Critical Strikes","Les Touches de monstres sont toujours des Coups critiques.","Monstertreffer sind immer kritische Treffer","モンスターのヒットは常にクリティカルストライクとなる","몬스터가 항상 치명타로 명중","Acertos dos Monstros são sempre Golpes Críticos","Удары монстров всегда критические","Los golpes de los monstruos son siempre críticos","การ​ปะทะ​ของ​มอนสเตอร์ คริติคอล เสมอ","怪物擊中必定暴擊",[],"",[],16799,""
71,"MonsterPhysAsExtraEachElement",[8],[25541],[],"","","",0,"Prismatic Monsters","Monstres prismatiques","Prismatische Monster","多彩なモンスター","분광 몬스터","Monstros Prismáticos","Радужные монстры","Monstruos prismáticos","มอนสเตอร์หลากธาตุ","三相怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/PrismaticMonsters",39785,[],0,"",[],1,0,"Monsters gain 50% of Physical Damage as Extra Damage of each Element","Les monstres rajoutent 50% des Dégâts physiques sous forme de Dégâts supplémentaires de chaque élément.","Monster verursachen 50% des physischen Schadens als extra Schaden jedes Elements","モンスターは物理ダメージの50%を各の元素属性の追加ダメージとして得る","몬스터가 물리 피해의 50%를 각 원소의 추가 피해로 획득","Monstros ganham 50% do Dano Físico como Dano Extra de cada Elemento","Монстры наносят 50% физического урона в виде дополнительного урона каждой стихией","Los monstruos ganan el 50% del daño físico como daño extra de cada elemento","มอนสเตอร์ นำ​ความ​เสียหาย กายภาพ 50% ไป​เสริม​เป็น ทุกธาตุ","怪物獲得 50% 物理傷害的每種額外元素傷害",[],"",[],16806,""
72,"MonsterResistances",[8],[25542],[],"","","",0,"Resistant Monsters","Monstres résistants","Widerstehende Monster","耐性のモンスター","저항하는 몬스터","Monstros Resistêntes","Устойчивые монстры","Monstruos resistentes","มอนสเตอร์ต้านทาน","抗性怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ResistantMonsters",25457,[],0,"",[],1,0,"Monsters have +50% to all Resistances","Les monstres ont +50% à toutes les Résistances élémentaires.","Monster haben +50% zu allen Widerständen","モンスターの全ての耐性 +50%","몬스터의 모든 저항 +50%","Monstros têm +50% de todas as Resistências","Монстры имеют +50% ко всем сопротивлениям","Los monstruos tienen +50% a todas las resistencias","มอนสเตอร์ มี​ค่า​ต้านทาน ทุกชนิด +50%","怪物 +50% 全部抗性",[],"",[],16812,""
73,"MonsterSuppressionAndEvasion",[8],[25543],[],"","","",0,"Dexterous Monsters","Monstres agiles","Geschickte Monster","器用なモンスター","민첩한 몬스터","Monstros Hábeis","Проворные монстры","Monstruos diestros","มอนสเตอร์คล่องแคล่ว","輕巧怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/DexterousMonsters",10506,[],0,"",[],1,0,"Monsters Suppress Spell Damage and gain 500% increased Evasion Rating","Les monstres Répriment les Dégâts des sorts et gagnent 500% d'Augmentation de leur Score d'Évasion.","Monster unterdrücken Zauberschaden und erhalten 500% erhöhten Ausweichwert","モンスターはスペルダメージを抑制し回避力が500％増加する","몬스터가 주문 피해를 억제하고 몬스터의 회피 500% 증가","Monstros Suprimem Dano Mágico e ganham Evasão aumentada em 500%","Монстры подавляют урон от чар и получают 500% увеличение уклонения","Los monstruos atenúan el daño de hechizos y tienen evasión aumentada un 500%","มอนสเตอร์ ยับยั้ง ความ​เสียหาย​เวท และ​ได้รับ อัตรา​การ​หลบหลีก เพิ่มขึ้น 500%","怪物壓抑法術傷害和增加 500% 閃避值",[],"",[],16818,""
74,"MonsterRemoveEnergyShieldAndManaOnHit",[8],[25544],[],"","","",0,"Siphoning Monsters","Monstres siphonnants","Entziehende Monster","吸引するモンスター","착취하는 몬스터","Monstros do Sifão","Вытягивающие монстры","Monstruos succionadores","มอนสเตอร์ดูดกลืน","虹吸怪物","Art/2DArt/UIImages/InGame/Ultimatum/Icons/SiphoningMonsters",45921,[],0,"",[],1,0,"Monster Hits remove 10% of current Energy Shield and Mana","Les monstres retirent 10% du Mana et du Bouclier d'énergie actuel au Toucher.","Monstertreffer entfernen 10% des derzeitigen Energieschilds und Manas","モンスターのヒットは現在のマナおよびエナジーシールドを10％を取り除く","몬스터가 명중 시 현재 에너지 보호막 및 마나의 10% 제거","Acertos dos Monstros removem 10% do Escudo de Energia e Mana atuais","Удары монстров отнимают 10% текущего энергетического щита и маны","Los golpes de los monstruos eliminan el 10% del escudo de energía y el maná actuales","การ​ปะทะ​ของ​มอนสเตอร์ กำจัด โล่พลังงาน​และ​มานา​ที่​มี 10%","怪物擊中移除 10% 目前能量護盾和魔力",[],"",[],16824,""
