"rownum","Id","i32_8","i32_12","i32_16","Stat","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SupportFamily","HASH16","GemIcon","Variant"
235,"OrbOfStormsSpecificShockCritKnockHigh",0,0,0,"[11066,552]","[1,1000]","Gilded Jolt","Décharge doré","Goldener Schock","金色の衝撃","도금된 경악","Abalar Áureo","Позолоченный: Встряска","Sacudida dorada","Gilded Jolt","鍍金暴擊擊退",31,40212,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
236,"StormCallSpecificResCritHigh",0,0,0,[5225],[1],"Gilded Voltage","Voltage doré","Goldene Spannung","金色の電圧","도금된 전압","Voltagem Áurea","Позолоченный: Напряжение","Voltaje dorado","Gilded Voltage","鍍金電壓",31,22587,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
237,"ArcSpecificDistanceHigh",0,0,0,[7906],[10],"Gilded Chain Distance","Distance de ricochet dorée","Goldene Verkettungsreichweite","金色の連鎖距離","도금된 연쇄 거리","Distância de Propagação Áurea","Позолоченный: Дальность удара по цепи","Distancia de encadenamiento dorada","Gilded Chain Distance","鍍金連鎖距離","",31571,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
238,"GigaShockNovaSpecificAOEHigh",0,0,0,[4853],[-25],"Gilded Inhibitor","Inhibiteur doré","Goldener Inhibitor","金色の抑制","도금된 억제자","Inibidor Áureo","Позолоченный: Ингибитор","Inhibidor dorado","Gilded Inhibitor","鍍金抑制劑","",21678,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
239,"IceNovaSpecificFirePerChillHigh",0,0,0,[1499],[30],"Gilded Freezer Burn","Gelure dorée","Goldener Gefrierbrand","金色の凍結焼け","도금된 동결 화상","Queimadura de Gelo Áurea","Позолоченный: Морозный ожог","Incendio por congelación dorado","Gilded Freezer Burn","鍍金冰冷轉化為額外火焰","",17213,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
240,"SummonSkeletonsSpecificArchersHigh",0,0,0,[12582],[100],"Gilded Archers","Archers dorés","Goldene Bogenschützen","金色の弓兵","도금된 궁수","Arqueiros Áureos","Позолоченный: Лучники","Arqueros dorados","Gilded Archers","鍍金射手","",52378,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
241,"LightningTrapSpecificShockSlowHigh",0,0,0,[4854],[-50],"Gilded Electrocuting","Électrisation dorée","Goldener Stromschlag","金色の麻痺","도금된 전기 처형","Eletrocução Áurea","Позолоченный: Электризация","Parálisis dorada","Gilded Electrocuting","鍍金觸電","",26713,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
242,"FireballAltSpecificChanceToScorchHigh",0,0,0,[8657],[50],"Gilded Scorch Chance","Chances de Calcination dorées","Goldene Versengungschance","金色の焦げ付与","도금된 그을림 확률","Chance de Chamuscar Áurea","Позолоченный: Шанс Опалить","Probabilidad de calcinación dorada","Gilded Scorch Chance","鍍金焦灼機率","",19004,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
243,"VaalReapSpecificFireDebuffHigh",0,0,0,[17901],[1],"Gilded Searing Agony","Agonie brûlante dorée","Goldene Versengende Qual","金色の灼ける苦悶","도금된 이글거리는 고통","Agonia Calcinante Áurea","Позолоченный: Жгучая агония","Agonía abrasadora dorada","Gilded Searing Agony","鍍金灼熱苦難","",50273,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
244,"SRSSpecificShrinesHigh",0,0,0,[17929],[1],"Gilded Devotion","Dévotion dorée","Goldene Hingabe","金色の献身","도금된 헌신","Devoção Áurea","Позолоченный: Служение","Devoción dorada","Gilded Devotion","鍍金奉獻","",40676,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
245,"SoulrendAltSpecificChaosChillHigh",0,0,0,[3520],[1],"Gilded Hopelessness","Déséspérance dorée","Goldene Hoffnungslosigkeit","金色の絶望","도금된 절망","Desesperança Áurea","Позолоченный: Безнадёжность","Impotencia dorada","Gilded Hopelessness","鍍金無望","",38317,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
246,"LightningSpireSpecificBeamsHigh",0,0,0,"[7726,24]","[10,-80]","Gilded Reactor","Réacteur doré","Goldener Reaktor","金色の反応炉","도금된 반응로","Reator Áureo","Позолоченный: Конденсатор","Reactor dorado","Gilded Reactor","鍍金反應爐","",25885,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
247,"ScorchingRayTotemSpecificLengthHigh",0,0,0,[5144],[100],"Gilded Conflagrant","Rayon de feu doré","Goldener Brandstifter","金色の炎上","도금된 타오름","Conflagrar Áureo","Позолоченный: Поджиг","Conflagración dorada","Gilded Conflagrant","鍍金速燃","",59468,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
248,"HolyFlameTotemSpecificConcBlockHigh",0,0,0,[5505],[35],"Gilded Divine Shield","Bouclier divin doré","Goldener Göttlicher Schild","金色の神聖な盾","도금된 신성한 방패","Escudo Divino Áureo","Позолоченный: Божественный щит","Escudo divino dorado","Gilded Divine Shield","鍍金聖盾","",4032,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
249,"SunderAltSpecificAdditionalChainHigh",0,0,0,[21127],[1],"Gilded Snaking","Sinuosité dorée","Goldene Verzweigung","金色の蛇","도금된 구불거림","Serpenteio Áureo","Позолоченный: Петляние","Serpenteo dorado","Gilded Snaking","鍍金蜿蜒","",4006,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
250,"BlastRainAltSpecificExtraBlastHigh",0,0,0,[4511],[50],"Gilded Blasting","Explosion dorée","Goldene Sprengung","金色の爆裂","도금된 폭발 위력","Explosão Áurea","Позолоченный: Взрывы","Explosivo dorado","Gilded Blasting","鍍金爆破","",49189,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
251,"BurningArrowSpecificAlwaysPierceHigh",0,0,0,[4546],[1],"Gilded Pierce","Transpercement doré","Goldenes Durchbohren","金色の貫通","도금된 관통","Perfurar Áureo","Позолоченный: Пронзание","Perforar dorado","Gilded Pierce","鍍金穿透",37,10482,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
252,"VaalLightningArrowSpecificRedirectHigh",0,0,0,[17711],[3],"Gilded Uncertainty","Incertitude dorée","Goldene Ungewissheit","金色の不確実性","도금된 불확실성","Incerteza Áurea","Позолоченный: Изменчивость","Incertidumbre dorada","Gilded Uncertainty","鍍金未知","",11052,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
253,"GiantZombieSpecificSlowZombieHigh",0,0,0,"[2089,616]","[50,-30]","Gilded Lumbering Dead","Mort-vivant colossal doré","Goldene Schwerfällige Tote","金色の鈍重の使者","도금된 굼뜬 시체","Morto Claudicante Áureo","Позолоченный: Шатающиеся мертвецы","Muerto torpe dorado","Gilded Lumbering Dead","鍍金戕伐亡靈","",29562,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
254,"ToxicRainSpecificGraspingVinesHigh",0,0,0,[15776],[1],"Gilded Grasp","Étreinte dorée","Goldener Griff","金色の束縛","도금된 장악","Aperto Áureo","Позолоченный: Хватка","Agarre dorado","Gilded Grasp","鍍金魂掌","",32361,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
255,"ArtilleryBallistaSpecificOnslaughtHigh",0,0,0,[12066],[1],"Gilded Totemic Onslaught","Assaut totémique doré","Goldener Totem-Ansturm","金色の猛攻トーテム","도금된 토템 맹공","Agressividade Totêmica Áurea","Позолоченный: Тотемный раж","Fervor totémico dorado","Gilded Totemic Onslaught","鍍金圖騰猛攻","",25001,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
256,"LancingSteelSpecificRandomProjHigh",0,0,0,"[13895,173]","[1,4]","Gilded Scattershot","Tir dispersé doré","Goldener Schmetterschuss","金色の乱射","도금된 난사","Disparo Disperso Áureo","Позолоченный: Залповый огонь","Disparo disperso dorado","Gilded Scattershot","鍍金散射","",60983,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
257,"CobraLashSpecificPoisonRegenHigh",0,0,0,[15823],[-50],"Gilded Bitterwound","Blessure douloureuse dorée","Goldene Bitterwunde","金色の苦い傷","도금된 쓰라린 상처","Ferida Mordaz Áurea","Позолоченный: Едкая рана","Herida amarga dorada","Gilded Bitterwound","鍍金苦痛傷痕","",51944,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
258,"MoltenStrikeSpecificExtraProjHigh",0,0,0,[19375],[5],"Gilded Molten Eruption","Éruption volcanique dorée","Goldene geschmolzene Eruption","金色の溶岩噴出","도금된 녹아내린 분출","Erupção Derretida Áurea","Позолоченный: Расплавленное извержение","Erupción fundida dorada","Gilded Molten Eruption","鍍金熔岩爆發","",2205,"Art/2DItems/Gems/Support/MercGoldSupportGem.dds",3
