"rownum","Id","Stats","StatValues","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32","bool","EffectCategory","NextEffect","string","BoonDesc (English)","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc (English)","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32","i32","bool","[rid]","Guard","FirstEffect","i32","i32","bool","bool","HASH16"
81,"BoonAureusGainOnLowResolve",[17501],[100],"Tarnished Coin","Pièce ternie","Matte Münze","色褪せたコイン","변색된 동전","Moeda Manchada","Потускневшая монета","Moneda deslustrada","เหรียญมัวหมอง","失去光澤的硬幣","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedCoinIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedCoin","100% increased Aureus coins gained while Resolve is below 50%","100% d'Augmentation des Aureus ramassés lorsque vous avez moins de 50% de Résolution","100% erhöhte Menge an erhaltenen Aurei während die Willenskraft wenige als 50% ist","決心が50%未満の時に獲得するアウレウスが100%増加する","투지가 50% 미만일 때 획득하는 아우레우스 코인 100% 증가","Moedas Aureus recebidas aumentadas em 100% enquanto a Determinação estiver abaixo de 50%","100% увеличение получаемого Ауруса, если решимость ниже 50%","Ganas áureos aumentados un 100% si tu resolución está por debajo del 50%","เพิ่ม เหรียญออเรอัส ที่ได้รับ 100% ขณะ ความมุ่งมั่นต่ำกว่า 50%","決心低於 50% 時，增加 100% 獲得奧瑞厄斯幣","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",37919
82,"BoonResolveRecoveryOnLowResolve",[17500],[100],"Engraved Orb","Orbe gravé","Gravierte Sphäre","彫り込みのあるオーブ","아로새긴 구슬","Orbe Entalhada","Гравированная сфера","Orbe grabado","ลูกจารึก","雕刻寶珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEngravedOrbIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonEngravedOrb","100% increased Resolve recovered while Resolve is below 50%","100% d'Augmentation de Récupération de Résolution lorsque vous avez moins de 50% de Résolution","100% erhöhte wiederhergestellte Willenskraft während die Willenskraft weniger als 50% ist","決心が50%未満の時に決心の回復量が100%増加する","투지가 50% 미만일 때 투지 회복량 100% 증가","Determinação recuperada aumetnada em 100% enquanto a Determinação estiver abaixo de 50%","100% увеличение восстановления решимости, если решимость ниже 50%","Recuperas resolución aumentada un 100% si tu resolución está por debajo del 50%","เพิ่มการเติมความมุ่งมั่น 100% ขณะ ความมุ่งมั่นต่ำกว่า 50%","決心低於 50% 時，增加 100% 恢復決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",64207
83,"BoonResolveRecoveredOnEnterBossRoom",[17502],[50],"Adrenaline Vial","Fiole d'adrénaline","Phiole des Adrenalins","アドレナリンの小瓶","아드레날린 시약","Frasco de Adrenalina","Флакон адреналина","Vial de adrenalina","หลอดอะดรีนาลีน","腎上腺素瓶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVialIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonAdrenalineVial","Recover 50% of your Maximum Resolve on entering Boss Room","Vous récupérez 50% de votre Résolution maximale en entrant dans la salle du Boss","Stellt beim Betreten eines Bossraums 50% Eurer maximalen Willenskraft wieder her","ボス部屋に入った時に決心の最大値の50%を回復する","보스 방 입장 시 투지 최대치의 50% 회복","Recupera 50% da sua Determinação Máxima ao entrar no Salão do Chefe","Восстанавливает 50% от вашего максимума решимости при входе в комнату с боссом","Recuperas el 50% de tu resolución máxima cuando entras en una sala de jefe","เติมความมุ่งมั่น 50% จากความมุ่งมั่นสูงสุด ของคุณ เมื่อเข้าห้องบอส","進入頭目房時，恢復 50% 你最大決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",59406
84,"BoonDuplicateARandomDeferredReward",[],[],"Mirror of Fortune","Miroir de la chance","Glücksspiegel","幸運の鏡","행운의 거울","Espelho da Fortuna","Зеркало удачи","Espejo de fortuna","กระจกนำโชค","財富之鏡","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortuneIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMirrorOfFortune","Duplicate a random Offer Reward","Duplique une récompense d'offre au hasard","Eine zufällige Angebots-Belohnung wird dupliziert","提示された報酬の内ランダムなものを複製する","제안 보상 1개 무작위로 복제","Duplica uma Oferta de Recompensa aleatória","Дублирует случайную предлагаемую награду","Duplica una recompensa de oferta aleatoria","สร้างซ้ำ ของรางวัลที่เสนอแบบสุ่ม 1 อย่าง","複製 1 個隨機獎勵","","","","","","","","","","",2,1,"",[],[9119],"",5,0,"","",45428
85,"BoonArcaneBufferOnShieldBreak",[],[],"Arcane Aegis","Égide arcanique","Arkane Ägis","アーケインイージス","비전의 비호","Égide Arcana","Колдовская эгида","Égida arcana","โล่เอจิสอาคม","奧術神盾","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonArcaneAegisIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonArcaneAegis","Trigger Arcane Buffer when your Inspiration reaches 0","Vous déclenchez une Barrière arcanique quand votre Inspiration atteint 0","Löst 'Arkaner Schutz' aus, wenn Eure Willenskraft 0 erreicht","勇気が0になった時にアーケインバッファーをトリガーする","영감이 0이 되면 비전 강화 발동","Ativa o Buffer Arcano quando sua Inspiração atingir 0","Вызывает срабатывание Колдовского барьера, когда ваше вдохновение достигает 0","Cuando tu inspiración llega a 0, se activa Potenciador arcano ","ทริกเกอร์ อาคมหุ้มกาย เมื่อแรงบันดาลใจของคุณเหลือ 0","當你啟發 0 時，觸發奧術緩衝","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",44006
86,"BoonExtraMaximumResolve",[],[],"Tarnished Descry","Oculus terni","Getrübter Blick","色褪せた希望","변색된 성표","Visão Manchada","Потускневшие заметки","Percepción deslucida","ตราเทวเนตรมัวหมอง","玷污之視","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedDescryIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonTarnishedDescry","+150 to Maximum Resolve","+150 de Résolution maximale","+150 zu maximaler Willenskraft","決心の最大値 +150","투지 최대치 +150","+150 de Determinação Máxima","+150 к максимуму решимости","+150 a la resolución máxima","ความมุ่งมั่นสูงสุด +150","+150 最大決心","","","","","","","","","","",3,150,"",[],[9119],"",3,-150,"","",27017
87,"BoonRandomMinorBoonOnFountainUse",[17383],[1],"Holy Water","Eau bénite","Weihwasser","聖水","성수","Água Benta","Святая вода","Agua bendita","น้ำมนต์","聖水","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyWaterIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHolyWater","Gain a random Minor Boon when you use a Fountain","Vous recevez un Bienfait mineur quand vous buvez à une Fontaine","Erhaltet einen zufälligen Kleinen Segen, wenn Ihr einen Brunnen benutzt","泉を使った時にランダムな軽微な恩恵を獲得する","분수 사용 시 무작위 보조 은혜 1개 획득","Ganha uma Dádiva Menor aleatória quando usar uma Fonte","Дарует случайное малое благословение, когда вы используете фонтан","Obtienes una ventaja menor aleatoria cuando usas una fuente","ได้รับ พรชั้นต่ำแบบสุ่ม 1 ประการ เมื่อคุณใช้ น้ำพุ","當你使用噴泉時，獲得 1 個隨機次要恩惠","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",28826
88,"BoonGainExtraResolveOnFountainUse",[17385],[40],"Fountain of Youth","Fontaine de Jouvence","Jungbrunnen","若さの泉","젊음의 분수","Fonte da Juventude","Фонтан молодости","Fuente de juventud","น้ำพุเยาว์วัย","青春之泉","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFountainOfYouthIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFountainOfYouth","Gain +40 Maximum Resolve each time you use a Fountain","Vous gagnez +40 de Résolution maximale chaque fois que vous buvez à une Fontaine","Erhaltet +40 maximale Willenskraft jedes Mal, wenn Ihr einen Brunnen benutzt","泉を使った時に毎回決心の最大値 +40を獲得する","분수를 사용할 때마다 투지 최대치 +40","Ganha +40 de Determinação Máxima cada vez que usar uma Fonte","Дарует +40 максимума решимости каждый раз, когда вы используете фонтан","Ganas +40 a la resolución máxima cada vez que usas una fuente","ได้รับ ความมุ่งมั่นสูงสุด +40 ทุกครั้งที่คุณใช้ น้ำพุ","每次你使用的噴泉，+40 最大決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",40142
89,"BoonNextMinorBoonConvertedToMajor",[17379],[1],"Silver Chalice","Calice d'argent","Silberkelch","銀色の聖杯","은 성배","Cálice de Prata","Серебряная чаша","Cáliz de plata","ถ้วยจอกเงิน","銀聖杯","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSliverChaliceIcon",8,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSliverChalice","The next Minor Boon you gain is converted into a random Major Boon","Le prochain Bienfait mineur que vous recevez est converti en Bienfait majeur tiré au hasard","Der nächste Kleine Segen, den Ihr erhaltet, wird in einen zufälligen Großen Segen umgewandelt","次に獲得する軽微な恩恵はランダムな強力な恩恵に変換される","다음으로 획득하는 보조 은혜가 무작위 주요 은혜로 전환","A próxima Dádiva Menor que você ganhar será convertida em uma Dádiva Maior aleatória","Следующее полученное малое благословение превратится в случайное сильное благословение","La siguiente ventaja menor que obtengas se convertirá en una ventaja mayor aleatoria","แปลง พรชั้นต่ำ ถัดไปที่คุณได้รับเป็น พรชั้นสูงแบบสุ่ม 1 ประการ","你下個獲得的次要恩惠，轉化成 1 個隨機主要恩惠","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",51458
90,"BoonTrapsImpactReducedResolve",[17556],[1],"Black Pearl","Perle noire","Schwarze Perle","黒真珠","검은 진주","Pérola Negra","Чёрная жемчужина","Perla negra","ไข่มุกดำ","黑珍珠","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBlackPearlIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonBlackPearl","Traps impact 50% reduced Resolve","50% de réduction de l'impact des Pièges sur la Résolution","Fallen haben 50% verringerte Wirkung auf die Willenskraft","罠が減らす決心が50%減少する","덫이 투지에 주는 영향 50% 감소","Armadilhas impactam Determinação reduzida em 50%","Ловушки влияют на решимость на 50% слабее","Resolución perdida por trampas reducida un 50%","กับดัก บั่นทอนความมุ่งมั่น ลดลง 50%","陷阱影響減少 50% 決心","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",41498
91,"BoonExtraShield",[],[],"Untuned Lute","Luth désaccordé","Verstimmte Laute","調子外れのリュート","조율하지 않은 류트","Alaúde Desafinado","Ненастроенная лютня","Laúd desafinado","ลูทที่ไม่ได้ปรับเสียง","未定音的琵琶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonUntunedLuteIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonUntunedLute","+100 to Inspiration","+100 d'Inspiration","+100 zu Inspiration","勇気 +100","영감 +100","+100 de Inspiração","+100 к вдохновению","+100 a la inspiración","แรงบันดาลใจ +100","+100 啟發","","","","","","","","","","",1,100,"",[],[9119],"",1,-100,"","",16490
92,"BoonNextMerchantItemFree",[17504],[1],"Divinia's Gift ","Cadeau de Divinia","Divinias Geschenk","ディヴィニアの贈り物","디비니아의 선물","Presente de Divinia","Дар Дивинии","Regalo de Divinia","ของขวัญของดีวีเนีย","迪維尼亞的禮物","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCallistasGiftIcon",10,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCallistasGift","Your next purchase from the Merchant has no cost","Votre prochain achat chez le Marchand ne coûte rien","Euer nächster Kauf vom Händler kostet nichts","次回商人から購入するときのコストが0になる","다음번 상인에게서 구입 시 비용 없음","Sua próxima compra do Mercador não terá custo","У вашей следующей покупки у торговца будет нулевая стоимость","Tu siguiente compra en el mercader será gratis","การซื้อจาก แม่ค้า ครั้งถัดไปของคุณ ไม่มีราคา","你下次從商人購買物品時免費","","","","","","","","","","",5,0,1,[],[9119],"",5,0,"","",6743
93,"BoonCanRerollMerchantShop",[17505],[1],"Chipped Dice","Dés abîmés","Lädierte Würfel","欠けたサイコロ","이 빠진 주사위","Dado Lascado","Сколотые кости","Dado astillado","ลูกเต๋าบิ่น","骰子","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonChippedDiceIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonChippedDice","The Merchant's Shop can be Rerolled","La liste de choix du Marchand peut être tirée au hasard de nouveau","Das Angebot des Händlers kann nicht neu gewürfelt werden","商人の品揃えをリロールすることができる","상인의 상점 무작위 변경 가능","A Loja do Mercador pode ser Re-rolada","Ассортимент товаров торговца можно будет обновить","La oferta de la tienda del mercader se puede aleatorizar","ร้านค้าของแม่ค้า สามารถสุ่มได้","商人的店舖可以被重骰","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",60796
94,"BoonGoldPerRoomRemovedAtMerchant",[17460],[10],"Gold Trophy","Trophée en or","Goldtrophäe","黄金のトロフィー","황금 트로피","Troféu de Ouro","Золотой трофей","Trofeo dorado","ถ้วยรางวัลทองคำ","金獎杯","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldTrophyIcon",10,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldTrophy","Your aureus coins are increased by 10% on room completion\r\n(removed when you purchase something from the Merchant)","Vous avez 10% d'Augmentation d'Aureus lorsque vous terminez une salle\r\n(se dissipe quand vous achetez quelque chose au Marchand)","Eure Aurei werden beim Abschluss eines Raums um 10% erhöht \r\n(wird entfernt, wenn Ihr etwas vom Händler kauft)","部屋を完了するとアウレウスが10%増える。この恩恵は商人から何か購入すると失われる","방 완료 시 아우레우스 코인 10% 증가\r\n(상인에게서 구입 시 제거됨)","Suas moedas Aureus são aumentadas em 10% ao completar um salão (removido quando você comprar algo do Mercador)","Количество вашего Ауруса увеличивается на 10% по завершению комнаты\r\n(пропадает при покупке чего-либо у торговца)","Cuando completas una sala, tus áureos aumentan un 10% (Se elimina cuando le compras algo al mercader)","เพิ่ม เหรียญออเรอัส ของคุณ 10% เมื่อคุณผ่านห้อง\r\n(ถูกกำจัด เมื่อคุณซื้อของจาก แม่ค้า)","完成房間時，奧瑞厄斯幣增加 10%\r\n(當你從商人那購買物品時，恩惠會被移除)","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",704
95,"BoonDuplicate3RandomDeferrals",[],[],"Sacred Mirror","Miroir sacré","Heiliger Spiegel","聖なる鏡","성스러운 거울","Espelho Sagrado","Священное зеркало","Espejo sagrado","กระจกศักดิ์สิทธิ์","聖鏡","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSacredMirrorIcon",11,"",4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonSacredMirror","Duplicate up to 3 random Offer Rewards","Dupliquez jusqu'à 3 Récompenses d'offre tirées au hasard","Bis zu 3 zufällige Angebots-Belohnungen werden dupliziert","提示された報酬の内最大3つを複製する","무작위 제안 보상 최대 3개 복제","Duplica até 3 Ofertas de Recompensas aleatórias","Дублирует впоть до 3 случайных предложенных наград","Duplica hasta 3 recompensas de oferta aleatorias","สร้างซ้ำ ของรางวัลที่เสนอแบบสุ่ม สูงสุด 3 อย่าง","複製最多 3 個獎勵","","","","","","","","","","",4,0,"",[7],[9119],"",5,0,"","",27130
96,"BoonNextAfflictionConvertedToMinorBoon",[17381],[1],"Crystal Shard","Éclat de cristal","Kristallscherbe","水晶の欠片","수정 파편","Fragmento de Cristal","Хрустальный осколок","Esquirla de cristal","เศษคริสตัล","水晶碎片","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalShardIcon",7,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonCrystalShard","The next Affliction you gain is converted into a random Minor Boon","La prochaine Affliction que vous recevez est convertie en Bienfait mineur tiré au hasard","Die nächste Bürde, die Ihr erhaltet, wird in einen zufälligen Kleinen Segen umgewandelt","次回獲得する不幸はランダムな軽微な恩恵に変換される","다음으로 획득하는 고난이 무작위 보조 은혜로 전환","A próxima Aflição que você ganhar será convertida em uma Dádiva Menor","Следующее полученное проклятие превратится в случайное малое благословение","La siguiente desventaja que obtengas se convertirá en una ventaja menor aleatoria","แปลง ทัณฑ์ ถัดไปที่คุณได้รับเป็น พรชั้นต่ำแบบสุ่ม 1 ประการ","你下個獲得的苦痛，轉化成 1 個隨機次要恩惠","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",30042
97,"BoonRandomShrineOnEnteringRoom",[],[],"Musty Wine","Vin passé","Muffiger Wein","カビ臭いワイン","곰팡이 슨 포도주","Vinho Turvo","Затхлое вино","Vino rancio","ไวน์เหม็นอับ","發霉的酒","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMustyWineIcon",11,1,4,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonMustyWine","At the start of each room, a random Shrine effect is applied to you","Au début de chaque salle, un Effet d'Autel tiré au hasard vous affecte","Beim Start jedes Raums wird eine zufällige Schreinwirkung auf Euch angewendet","部屋の開始時にランダムなシュラインバフがプレイヤーに適用される","각 방 시작 시 플레이어에게 무작위 성소 효과 1개 적용","No início de cada sala, um efeito de Altar aleatório será aplicado em você","В начале каждой комнаты на вас будет действовать эффект случайного алтаря","Al inicio de cada sala, recibirás un efecto aleatorio de un santuario de Domination","เมื่อเริ่มแต่ละห้อง คุณจะได้รับผลจาก แท่นบูชาแบบสุ่ม 1 แท่น","每個房間開始時，你隨機獲得 1 個神殿效果","","","","","","","","","","",5,0,"",[7],[9119],"",5,0,"","",64286
98,"BoonMoreDefences",[18594],[50],"Lustrous Lacquer","Laque brillante","Glänzender Lack","光沢のある塗料","빛나는 광택제","Verniz","Сверкающий лак","Barniz brillante","น้ำมันขัดเงาแวววาว","光亮漆","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousLacquerIcon",11,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonLustrousLacquer","50% more Defences","50% Davantage de Défenses","50% mehr Defensiven","防御力が50%上昇する","방어 50% 증폭","50% mais Defesas","На 50% больше защиты","50% más de defensas","เพิ่มค่าป้องกัน อีก 50%","50% 更多防禦","","","","","","","","","","",5,0,"",[],[9119],"",5,0,"","",379
99,"AfflictionReducedEffectOfRelics",[17428],[-50],"Unholy Urn","Urne impie","Unheilige Urne","邪悪な骨壷","불경한 단지","Urna Profana","Нечестивая урона","Urna impía","ไหอธรรม","邪惡的甕","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnholyUrnIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnholyUrn","","","","","","","","","","","50% reduced Effect of your non-Unique Relics","50% de Réduction des Effets de vos Reliques non uniques","50% verringerte Wirkung Eurer Relikte (einzigartige ausgenommen)","ユニークでないレリックの効果が50%減少する","비-고유 유물의 효과 50% 감소","Efeito das suas Relíquias não Únicas reduzido em 50%","50% ослабление эффекта ваших не уникальных реликвий","Efecto de tus reliquias que no son únicas reducido un 50%","ลดผลของ วัตถุตกทอดที่ไม่ใช่ยูนิค ของคุณ 50%","減少 50% 你非傳奇聖物的效果",5,0,"",[],[9120],"",5,0,"",1,61947
100,"AfflictionMaximumNumberOfBoons",[],[],"Tight Choker","Collier étrangleur","Enges Halsband","きつい首輪","꽉 끼는 목줄","Gargantilha Apertada","Тесное колье","Collar ajustado","สร้อยรัดคอ","勒緊褲帶","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTightCollarIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseTightCollar","","","","","","","","","","","You can have a maximum of 5 Boons","Vous avez droit à 5 Bienfaits maximum","Ihr könnt maximal 5 Segen haben","最大で5個の恩恵しか持てなくなる","은혜를 최대 5개까지 보유 가능","Você pode ter um máximo de 5 Dádivas","Вы можете иметь максимум 5 благословений","Puedes tener un máximo de 5 ventajas","คุณมี พร ได้สูงสุด 5 ประการ","你最多可以獲得 5 恩惠",5,0,"",[],[9120],"",5,0,"","",61518
101,"AfflictionMerchantFewerChoices",[17458],[-50],"Unhallowed Amulet","Amulette profane","Unheiliges Amulett","邪悪なアミュレット","부정한 목걸이","Amuleto Profano","Нечестивый амулет","Amuleto inmoral","สร้อยเสื่อมสักการะ","不潔護身符","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedAmuletIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseUnhallowedAmulet","","","","","","","","","","","The Merchant offers 50% fewer choices","Le Marchand vous propose 50% moins de choix","Händler bieten 50% weniger Auswahl an","商人が提供する選択肢の数が50%低下する","상인이 제안하는 선택지 수 50% 감소","O Mercador oferece 50% menos escolhas","Торговец предлагает на 50% меньше товаров","El mercader te ofrece un 50% menos de opciones","แม่ค้า มีตัวเลือก น้อยลง 50%","商人提供 50% 更少選擇",5,0,"",[],[9120],"",5,0,"","",12494
102,"AfflictionAfflictionOnGainAffliction",[17382],[1],"Accursed Prism","Prisme maudit","Verfluchtes Prisma","呪われたプリズム","저주받은 분광기","Prisma Maldito","Проклятая призма","Prisma maldito","ปริซึมสามานย์","詛咒棱鏡","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAccursedPrismIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAccursedPrism","","","","","","","","","","","When you gain an Affliction, gain an additional random Minor Affliction","Quand vous recevez une Affliction, vous recevez une Affliction mineure supplémentaire","Wenn Ihr eine Bürde erhaltet, erhaltet Ihr eine zusätzliche Kleine Bürde","不幸を獲得した時に追加でランダムな軽微な不幸を獲得する","고난 획득 시 추가로 무작위 보조 고난 1개 획득","Ao ganhar uma Aflição, ganhe uma Aflição Menor aleatória","Когда вы получаете проклятие, вы получаете дополнительное случайное малое проклятие","Cuando obtienes una desventaja, obtienes una desventaja menor aleatoria adicional","เมื่อคุณได้รับ ทัณฑ์ คุณจะได้รับ ทัณฑ์ชั้นต่ำแบบสุ่ม เพิ่มเติม 1 ประการ","當你獲得 1 個苦痛時，獲得 1 個額外隨機次要苦痛",5,0,"",[],[9120],"",5,0,"","",19751
103,"AfflictionAfflictionOnUseFountain",[17384],[1],"Poisoned Water","Eau empoisonnée","Vergiftetes Wasser","毒入りの水","독물","Água Envenenada","Отравленная вода","Agua envenenada","น้ำอาบพิษ","毒水","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePoisonedWaterIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CursePoisonedWater","","","","","","","","","","","Gain a random Minor Affliction when you use a Fountain","Vous recevez une Affliction mineure quand vous buvez à une Fontaine","Erhaltet eine zufällige Kleine Bürde, wenn Ihr einen Brunnen benutzt","泉を使用した時にランダムな軽微な不幸を獲得する","분수 사용 시 무작위 보조 고난 1개 획득","Ganha uma Aflição Menor aleatória ao usar uma Fonte","Вы получаете случайное малое проклятие, когда используете фонтан","Obtienes una desventaja menor aleatoria cuando usas una fuente","ได้รับ ทัณฑ์ชั้นต่ำแบบสุ่ม 1 ประการ เมื่อคุณใช้น้ำพุ","當你使用噴泉時，獲得 1 個隨機次要苦痛",5,0,"",[],[9120],"",5,0,"","",26160
104,"AfflictionLoseResolveOnFlaskUse",[17503],[10],"Liquid Cowardice","Couardise liquide","Flüssige Feigheit","卑怯な液体","겁쟁이의 액체","Covardia Líquida","Жидкая трусость","Cobardía líquida","น้ำยาตาขาว","懦弱液體","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseLiquidCowardiceIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseLiquidCowardice","","","","","","","","","","","Lose 10 Resolve when you use a Flask","Vous perdez 10 de Résolution quand vous utilisez un Flacon","Verliert 10 Willenskraft, wenn Ihr ein Fläschchen benutzt","フラスコを使用した時に決心を10失う","플라스크 사용 시 투지 10 상실","Perde 10 de Determinação ao usar um Frasco","Вы теряете 10 решимости, когда используете флакон","Pierdes 10 de resolución cuando usas un frasco","สูญเสียความมุ่งมั่น 10 เมื่อคุณใช้ขวดยา","當你使用藥劑時，失去 10 決心",5,0,"",[],[9120],"",5,0,"","",45177
105,"AfflictionMonstersBindingChainsOnHit",[17549],[2],"Chains of Binding","Chaînes entravantes","Fesselnde Ketten","束縛の鎖","속박의 사슬","Grilhões Aprisionadores","Связывающие цепи","Cadenas apresantes","โซ่รัดตรึง","束縛連鎖","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseChainOfBindingIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseChainOfBinding","","","","","","","","","","","Monsters inflict Binding Chains on Hit","Les monstres infligent Chaines d'attache au Toucher","Monster verursachen bei Treffer 'Fesselnde Ketten'","モンスターはヒット時に束縛する鎖を付与する","몬스터가 명중 시 속박의 사슬 유발","Monstros infligem Grilhões Aprisionadores ao Acertar","Монстры накладывают связующие цепи при нанесении удара","Los monstruos aplican Cadenas apresantes con cada golpe","มอนสเตอร์ สร้างสถานะ โซ่รัดตรึง เมื่อปะทะ","怪物擊中時造成束縛連鎖",5,0,"",[],[9120],"",5,0,"","",25062
106,"AfflictionMonstersVolatileOnDeath",[17555],[1],"Concealed Anomaly","Anomalie dissimulée","Verborgene Anomalie","秘められたアノマリー","감춰진 이형","Anomalia Escondida","Скрытая аномалия","Anomalía oculta","สิ่งประหลาดซ่อนเร้น","隱藏異常","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseConcealedAnomalyIcon",11,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseConcealedAnomaly","","","","","","","","","","","Guards release a Volatile Anomaly on Death","Les Gardes relâchent une Anomalie instable en mourant","Wächter entfesseln bei Tod eine Explosive Anomalie","ガードは死亡時にヴォラタイルアノマリーを放つ","수호병 사망 시 폭발성 이형 생성","Guardas liberam Anomalias Voláteis ao Morrerem","Охранники оставляют нестабильную аномалию при смерти","Los guardias liberan una anomalía volátil al morir","การ์ด ปลดปล่อย สิ่งประหลาดเสี่ยงปะทุ 1 ลูก เมื่อตาย","守衛死亡時釋放極凍天體",5,0,"",[],[9120],"",5,0,"","",18271
