"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
349,"ReminderTextElderGuardianMapDropChance","(Final Map Boss in Tier 14+ Maps have a 3% base chance to drop an Elder Guardian Map)","(Le Boss final dans les Cartes de Palier 14+ a 3% de chances de base de céder une Carte de l'Ancien)","(Finaler Kartenboss in Karten des Levels 14+ hat 3% Basis-Chance, eine Wächterkarte des Ältesten fallen zu lassen)","(ティア14+のマップの最終ボスがエルダーの守護者のマップをドロップする基礎確率は3%)","(14등급 이상의 지도에 있는 지도의 마지막 보스는 3%의 기본 확률로 엘더 수호자 지도를 떨어뜨립니다)","(Chefes Finais dos Mapas, em mapas de tier 14+, tem 3% de chance base de derrubar um Mapa de Guardião do Ancião)","(Из финального босса карты 14+ уровня с 3% базовым шансом может выпасть карта хранителя Древнего)","(El jefe de mapa final de los mapas de grado 14 o superiores tiene un 3% de probabilidad base de arrojar un mapa de guardián del Antiguo)","(บอสสุดท้ายประจำแผนที่ ในแผนที่ระดับ 14+ มีโอกาสพื้นฐานในการดรอป แผนที่องครักษ์เอลเดอร์ 1 ชิ้น 3%)","（階級 14 以上地圖的最終地圖頭目有 3% 基礎機率掉落一張尊師守護者地圖）","","","","","","","","","",""
350,"ReminderTextConquerorMapDropChance","(Final Map Boss in Tier 14+ Maps have a 2% base chance to drop a Conqueror Map)","(Le Boss final dans les Cartes de Palier 14+ a 2% de chances de base de céder une Carte de Conquérant)","(Finaler Kartenboss in Karten des Levels 14+ hat 2% Basis-Chance, eine Eroberer-Karte fallen zu lassen)","(ティア14+のマップの最終ボスが征服者のマップをドロップする基礎確率は2%)","(14등급 이상의 지도에 있는 지도의 마지막 보스는 2%의 기본 확률로 정복자 지도를 떨어뜨립니다)","(Chefes Finais dos Mapas, em mapas de tier 14+, tem 3% de chance base de derrubar um Mapa de Conquistador)","(Из финального босса карты 14+ уровня с 2% базовым шансом может выпасть карта Завоевателя)","(El jefe de mapa final de los mapas de grado 14 o superiores tiene un 2% de probabilidad base de arrojar un mapa de Conquistador)","(บอสสุดท้ายประจำแผนที่ ในแผนที่ระดับ 14+ มีโอกาสพื้นฐานในการดรอป แผนที่ผู้พิชิต 1 ชิ้น 2%)","（階級 14 以上地圖的最終地圖頭目有 2% 基礎機率掉落一張征服者地圖）","","","","","","","","","",""
351,"ReminderTextSynthesisMapDropChance","(Final Map Boss in Tier 14+ Maps have a 2% base chance to drop a Synthesis Map)","(Le Boss final dans les Cartes de Palier 14+ a 2% de chances de base de céder une Carte de Synthesis)","(Finaler Kartenboss in Karten des Levels 14+ hat 2% Basis-Chance, eine Synthesis-Karte fallen zu lassen)","(ティア14+のマップの最終ボスがシンセシスマップをドロップする基礎確率は2%)","(14등급 이상의 지도에 있는 지도의 마지막 보스는 2%의 기본 확률로 결합 지도를 떨어뜨립니다)","(Chefes Finais dos Mapas, em mapas de tier 14+, tem 3% de chance base de derrubar um Mapa Sintetizado)","(Из финального босса карты 14+ уровня с 2% базовым шансом может выпасть карта Синтеза)","(El jefe de mapa final de los mapas de grado 14 o superiores tiene un 2% de probabilidad base de arrojar un mapa de Synthesis)","(บอสสุดท้ายประจำแผนที่ ในแผนที่ระดับ 14+ มีโอกาสพื้นฐานในการดรอป แผนที่สังเคราะห์ 1 ชิ้น 2%)","（階級 14 以上地圖的最終地圖頭目有 2% 基礎機率掉落一張追憶地圖）","","","","","","","","","",""
352,"ReminderTextModCondensing","(Raising Modifier Tier Rating excludes lower tier Modifiers from rolling, distributing their roll chance among higher tier Modifiers of the same Modifier type)","(Améliorer le Palier des Modificateurs permet d'exclure les Modificateurs des Paliers les plus bas du tirage et redistribue leurs chances d'obtention parmis les Modificateurs du même type des Paliers plus élevés)","(Das Erhöhen der Modifikator-Level-Wertung schließt Modifikatoren niedrigerer Level vom Würfeln aus und verteilt ihre Würfelchance auf Modifikatoren höherer Level desselben Modifikatortyps)","(モッドティアレーティングを上げると、下位ティアモッドがロールから除外され、同じモッドタイプの上位ティアモッド間でロール確率が分配される)","(속성 등급 평점을 높이면 낮은 등급의 속성이 붙지 않으며, 그러한 속성이 붙을 확률이 같은 속성 유형의 등급이 더 높은 속성에 나뉘어 적용됩니다)","(Aumentar a Classificação do Tier do Modificador exclui Modificadores de tier inferior da rolagem, distribuindo sua chance de rolagem entre Modificadores de tier superior do mesmo tipo de Modificador)","(Повышение рейтинга свойств исключает свойства низкого уровня из возможных результатов, распределяя шанс их получения по свойствам более высокого уровня того же типа)","(Al aumentar el índice de gradación de los modificadores, cuando se va a generar un modificador, se excluye a los modificadores de grados más bajos y se distribuye su probabilidad de generación entre los modificadores de grados más altos del mismo tipo de modificador)","(การเพิ่มอัตราการกำหนดอันดับม็อด จะยกเว้นไม่ให้สุ่มขึ้นมาเป็นม็อดที่มีอันดับต่ำกว่า โดยจะกระจายโอกาสการสุ่มม็อดเหล่านั้นไปให้กับม็อดต่างๆ ที่มีอันดับสูงกว่า จากม็อดที่มีชนิดเดียวกัน)","（提高詞綴評分將使較低階級的詞綴無法被骰到，將其被骰到的機率分配給相同詞綴類型的較高階級詞綴）","","","","","","","","","",""
353,"ReminderTextNecropolisPerandusUnique","(Collect four different members of the Perandus line to create a Unique Item)","(Récupérez quatre membres différents de la lignée Perandus pour créer un objet unique)","(Sammelt vier verschiedene Mitglieder der Perandus-Linie, um einen einzigartigen Gegenstand zu erstellen)","(ペランダス家の四人の異なるメンバーを集めることでユニークアイテムを作成できる)","(고유 아이템을 제작하려면 페란두스 혈통의 서로 다른 구성원 4명을 모아야 합니다)","(Colete quatro membros diferentes da linhagem Perandus para criar um Item Único)","(Соберите четырёх разных членов рода Перандусов, чтобы создать уникальный предмет)","(Recolecta a cuatro miembros diferentes de la familia Perandus para crear un objeto único)","(เก็บวิญญาณสมาชิกตระกูล เพแรนดัส 4 ดวงที่แตกต่างกัน เพื่อสร้างไอเทมยูนิค 1 ชิ้น)","（收集普蘭德斯一族的四位不同成員來製造一件傳奇物品）","","","","","","","","","",""
354,"ReminderTextNecropolisPhreciaUnique","(Collect four different members of the Phrecia line to create a Unique Item)","(Récupérez quatre membres différents de la lignée Phrécia pour créer un objet unique)","(Sammelt vier verschiedene Mitglieder der Phrecia-Linie, um einen einzigartigen Gegenstand zu erstellen)","(フレシア家の四人の異なるメンバーを集めることでユニークアイテムを作成できる)","(고유 아이템을 제작하려면 프레시아 혈통의 서로 다른 구성원 4명을 모아야 합니다)","(Colete quatro membros diferentes da linhagem Phrecia para criar um Item Único)","(Соберите четырёх разных членов рода Фрекиев, чтобы создать уникальный предмет)","(Recolecta a cuatro miembros diferentes de la familia Phrecia line para crear un objeto único)","(เก็บวิญญาณสมาชิกตระกูล ฟรีเชีย 4 ดวงที่แตกต่างกันเพื่อสร้างไอเทมยูนิค 1 ชิ้น)","（收集費西亞一族的四位不同成員來製造一件傳奇物品）","","","","","","","","","",""
355,"ReminderTextNecropolisVerusoUnique","(Collect four different members of the Veruso line to create a Unique Item)","(Récupérez quatre membres différents de la lignée Véruso pour créer un objet unique)","(Sammelt vier verschiedene Mitglieder der Veruso-Linie, um einen einzigartigen Gegenstand zu erstellen)","(ヴェルーソ家の四人の異なるメンバーを集めることでユニークアイテムを作成できる)","(고유 아이템을 제작하려면 베루소 혈통의 서로 다른 구성원 4명을 모아야 합니다)","(Colete quatro membros diferentes da linhagem Veruso para criar um Item Único)","(Соберите четырёх разных членов рода Верузо, чтобы создать уникальный предмет)","(Recolecta a cuatro miembros diferentes de la familia Veruso line para crear un objeto único)","(เก็บวิญญาณสมาชิกตระกูล เวรูโซ 4 ดวงที่แตกต่างกันเพื่อสร้างไอเทมยูนิค 1 ชิ้น)","（收集維盧梭一族的四位不同成員來製造一件傳奇物品）","","","","","","","","","",""
356,"ReminderTextNecropolisNevaliusUnique","(Collect four different members of the Nevalius line to create a Unique Item)","(Récupérez quatre membres différents de la lignée Névalius pour créer un objet unique)","(Sammelt vier verschiedene Mitglieder der Nevalius-Linie, um einen einzigartigen Gegenstand zu erstellen)","(ネヴァリウス家の四人の異なるメンバーを集めることでユニークアイテムを作成できる)","(고유 아이템을 제작하려면 네발리우스 혈통의 서로 다른 구성원 4명을 모아야 합니다)","(Colete quatro membros diferentes da linhagem Nevalius para criar um Item Único)","(Соберите четырёх разных членов рода Невалиев, чтобы создать уникальный предмет)","(Recolecta a cuatro miembros diferentes de la familia Nevalius line para crear un objeto único)","(เก็บวิญญาณสมาชิกตระกูล เนวาเลียส 4 ดวงที่แตกต่างกันเพื่อสร้างไอเทมยูนิค 1 ชิ้น)","（收集涅瓦里烏斯一族的四位不同成員來製造一件傳奇物品）","","","","","","","","","",""
357,"ReminderTextNecropolisGrattusUnique","(Collect four different members of the Grattus line to create a Unique Item)","(Récupérez quatre membres différents de la lignée Grattus pour créer un objet unique)","(Sammelt vier verschiedene Mitglieder der Grattus-Linie, um einen einzigartigen Gegenstand zu erstellen)","(グラッタス家の四人の異なるメンバーを集めることでユニークアイテムを作成できる)","(고유 아이템을 제작하려면 그라투스 혈통의 서로 다른 구성원 4명을 모아야 합니다)","(Colete quatro membros diferentes da linhagem Grattus para criar um Item Único)","(Соберите четырёх разных членов рода Граттусов, чтобы создать уникальный предмет)","(Recolecta a cuatro miembros diferentes de la familia Grattus line para crear un objeto único)","(เก็บวิญญาณสมาชิกตระกูล แกรททัส 4 ดวงที่แตกต่างกันเพื่อสร้างไอเทมยูนิค 1 ชิ้น)","（收集格拉圖斯一族的四位不同成員來製造一件傳奇物品）","","","","","","","","","",""
358,"ReminderTextAtlasPrimaryLeagueContent","(Abysses, Blight Encounters, Breaches, Expedition Encounters, Legion Encounters, Mirrors of Delirium, Ore Deposits, Ritual Altars, the Sacred Grove, Smuggler's Caches, and Ultimatum Encounters are Extra Content that can be turned off through Atlas Passives)","(Les contenus supplémentaires qui peuvent être désactivés grâce à des Talents de l'Atlas sont : les Abysses, les Rencontres avec l'Infestation, les Brèches, les Rencontres d'Expédition, les Rencontres de Légions, les Miroirs du Délire, les Gisements de Minerais, les Autels de Rituel, le Bosquet sacré, les Caches de contrebandier, et les Rencontres d'Ultimatum)","(Abgründe, Blight-Begegnungen, Risse, Expedition-Begegnungen, Legion-Begegnungen, Spiegel des Deliriums, Erz-Vorkommen, Ritual-Altäre, der Heilige Hain, Räuber-Schatztruhen und Ultimatum-Begegnungen sind Bonusinhalte, die über den Atlasbaum deaktiviert werden können)","(アビス、ブライトエンカウンター、ブリーチ、エクスペディションエンカウンター、リージョンエンカウンター、デリリウムの鏡、鉱床、リチュアルの祭壇、聖なる木立、密輸人の貯蔵箱、アルティメイタムエンカウンターはアトラスパッシブを通して停止できる追加コンテンツです)","(심연, 역병 인카운터, 균열, 탐험 인카운터, 군단 인카운터, 환영의 거울, 광맥, 의식 제단, 신성한 숲, 밀수범의 은닉함, 결전 인카운터는 추가 콘텐츠로, 아틀라스 패시브 트리를 통해 비활성화할 수 있습니다)","(Abismos, Encontros Infestados, Fendas, Encontros de Expedições, Encontros Legionários, Espelhos do Delírio, Encontros de Minério, Altares Ritualísticos, o Bosque Sagrado, Baús do Contrabandista e Encontros com Ultimatos são Conteúdos Adicionais que podem ser desativados através das Passivas do Atlas.","(Дополнительным контентом, который можно отключить с помощью пассивных умений Атласа, являются: Бездны, схватки со Скверной, Разломы, экспедиции, сражения с Легионами, Зеркала Делириума, месторождения руды, ритуальные алтари, Священная роща, тайники контрабандиста и испытания Ультиматума)","(Los abismos, los encuentros de Blight, las fisuras, los encuentros de Expedition, los encuentros de Legion, los espejos de delirio, los depósitos de mineral, los altares de Ritual, el Huerto sagrado, los alijos del contrabandista y los encuentros de Ultimatum son contenido adicional que se puede desactivar a través de pasivas del Atlas)","(กระจกเดลิเรียม, การเผชิญหน้ากองพัน, การเผชิญหน้ากองสำรวจ, การเผชิญหน้าคำขาด, การเผชิญหน้าไบล์ท, ที่ซ่อนของโจร, แท่นพิธีกรรม, บรีช, สวนศักดิ์สิทธิ์, แหล่งแร่, อะบิส ต่างถือเป็น เนื้อหาเสริม ที่ปิดการทำงานได้ด้วย พาสซีฟแอตลาส ทั้งสิ้น)","（深淵、裂痕、凋落事件、探險事件、戰亂事件、譫妄之鏡、祭祀神壇、聖殿密園、走私者的祕寶和最後通牒等額外內容可以透過輿圖天賦關閉）","","","","","","","","","",""
359,"ReminderTextChaoticMight","(Chaotic Might grants 30% of Physical Damage as extra Chaos Damage)","(Puissance chaotique rajoute 30% des Dégâts physiques sous forme de Dégâts de chaos)","(Chaotische Macht gewährt 30% des physischen Schadens als extra Chaosschaden)","(Chaotic Might: 混沌の力は、物理ダメージの30％を混沌ダメージとして追加する)","('혼돈의 완력'은 물리 피해의 30%를 추가 카오스 피해로 가합니다)","(Poder Caótico concede 30% de Dano Físico como Dano de Caos extra)","(Хаотичное могущество добавляет 30% физического урона в виде дополнительного урона хаосом)","(Poder caótico otorga el 30% del daño físico como daño de caos extra)","(อำนาจเคออส นำ 30% ของความเสียหาย กายภาพ ไปเสริมเป็น เคออส)","（混沌之力將提供等同30%物理傷害的額外混沌傷害）","","","","","","","","","",""
360,"ReminderTextNecropolisGravekeepersBoon","(Gravekeeper's Boon causes you to consume a nearby Corpse every second to recover 10% of Life and Mana for 30 seconds)","(Bienfait du Gardien des tombes vous fait consommer un cadavre proche chaque seconde pour récupérer 10% de Vie et de Mana pour 30 secondes)","(Geschenk des Totengräbers bewirkt, dass Ihr jede Sekunde eine Leiche im Umkreis verbraucht, um 30 Sekunden lang 10% Leben und Mana wiederherzustellen)","(Gravekeeper's Boon:  墓守の恩恵は30秒間毎秒周囲の死体1体を消費しライフおよびマナの10%を回復する)","(묘지기의 은혜는 30초 동안 1초마다 주변의 시체 1구를 소모해 생명력과 마나를 10% 회복하게 해 줍니다.)","(Dádiva do Coveiro faz com que você consuma um Cadáver próximo a cada segundo para recuperar 10% de Vida e Mana por 30 segundos)","(С Благословением могильщика вы в течение 30 секунд поглощаете ближайший труп каждую секунду, чтобы восстановить 10% здоровья и маны)","(Con Bendición del cuidador de tumbas, consumes un cadáver cercano cada segundo para recuperar un 10% de vida y maná durante 30 segundos)","(พรจากสัปเหร่อ ทำให้คุณกลืนกินศพที่อยู่ใกล้ 1 ศพทุกวินาทีเพื่อเติม พลังชีวิตและมานา 10% เป็นเวลา 30 วินาที)","（守墓人的恩惠會使你每秒消耗一具附近的屍體以恢復 10% 的生命和魔力，持續 30 秒）","","","","","","","","","",""
361,"ReminderTextScarcerModifiers","(Modifiers that are 100% scarcer have weighting halved)","(Les Modificateurs qui sont 100% moins fréquents ont un impact sur leur fréquence d'apparition qui est divisé par deux)","(Modifikatoren, die 100% seltener vorkommen, werden zur Hälfte gewichtet)","(100%欠乏したモッドはそのウェイトが半分になる)","(100% 더 희귀한 속성은 가중치가 절반입니다.)","(Modificadores que são 100% mais escassos têm peso reduzido pela metade)","(Шанс получить на 100% более редкие свойства сокращён наполовину)","(Los modificadores que son un 100% más escasos tienen su probabilidad de generación reducida a la mitad)","(ม็อดที่พบได้ยากขึ้น 100% จะมีการให้น้ำหนักลดลงครึ่งหนึ่ง)","（100% 機率更稀缺詞綴的加權值砍半）","","","","","","","","","",""
362,"ReminderTextAscendancyChoiceOfTwo","(Choose one of the two attached options)","(Choisissez l'une des deux options suivantes)","(Wählt eine der beiden beigefügten Optionen)","(2つの選択肢のうち1つを選ぶ)","(두 선택지 중 하나를 선택하십시오)","(Escolha uma das duas opções anexas)","(Выберите один из двух прилагаемых вариантов)","(Elige una de las dos opciones asociadas)","(เลือก 1 ใน 2 ตัวเลือกดังต่อไปนี้)","( 請在兩個選項中擇一 )","","","","","","","","","",""
363,"ReminderTextDualWieldInherentBonus","(Dual Wielding inherently grants +20% chance to Block Attack Damage and 10% more Attack Speed)","(Le combat à deux armes octroie de manière inhérente 20% de chances de Bloquer les Dégâts d'attaque et 10% Davantage de Vitesse d'attaque)","(Das Tragen zweier Waffen gewährt standardmäßig +20% Chance auf Blocken von Angriffsschaden und 10% mehr Angriffsgeschwindigkeit)","(Dual Wielding: 二刀流の場合は固有能力としてアタックブロック率+20%およびアタックスピード10%上昇を得る)","(쌍수는 기본적으로 공격 피해를 막아낼 확률 +20%를 부여하고 공격 속도를 10% 증폭시킵니다.)","(Empunhadura Dupla concede inerentemente +20% de chance de Bloquear o Dano de Ataque e 10% mais Velocidade de Ataque)","(Парное оружие в руках изначально дарует +20% к шансу блокировать урон от атак и на 10% больше скорости атаки)","(La doble empuñadura otorga de forma inherente +20% de probabilidad de bloquear el daño de ataques y un 10% más de velocidad de ataque)","(การถือ อาวุธคู่ จะให้ผลดั้งเดิมด้วยการให้โอกาสบล็อคความเสียหาย โจมตี +20% และเพิ่มความเร็วในการโจมตี อีก 10%)","（雙持武器會固定賦予 +20% 格擋攻擊傷害機率與 10% 更多攻擊速度）","","","","","","","","","",""
364,"ReminderTextSulphiteIntoxication","(Each stack of Sulphite Intoxication grants 35% increased Damage, 15% increased Movement Speed and +1% to all maximum Elemental Resistances. Sulphite Intoxication lasts 60 seconds)","(Chaque cumul d'Intoxication au Sulfite octroie 35% d'Augmentation de Dégâts, 15% de Vitesse de déplacement et +1% à toutes les Résistantes élémentaires maximales. L'Intoxication au Sulfite dure 60 secondes)","(Jeder Stapel von Sulfit-Rausch gewährt 35% erhöhten Schaden, 15% mehr Bewegungsgeschwindigkeit und +1% zu allen maximalen Elementarwiderständen. Sulfit-Rausch hält 60 Sekunden lang an)","(Sulphite Intoxication: サルファイト中毒のスタックごとにダメージ35%増加、移動スピード15%増加、全元素耐性の最大値+1%を得る。サルファイト中毒は60秒間持続する)","(아황산염 중독 중첩 하나당 피해 35% 증가, 이동 속도 15% 증가, 모든 원소 저항 최대치 +1%를 부여합니다. 아황산염 중독은 60초 동안 지속됩니다.)","(Cada acúmulo de Intoxicação por Sulfito concede 35% de aumento de Dano, 15% de aumento de Velocidade de Movimento e +1% a todas as Resistências Elementais máximas. A Intoxicação por Sulfito dura 60 segundos)","(Каждый заряд Опьянения сульфитом дарует 35% увеличение урона, 15% повышение скорости передвижения и +1% к максимуму сопротивлений всем стихиям. Опьянение сульфитом длится 60 секунд)","(Cada acumulación de Intoxicación por sulfito otorga daño aumentado un 35%, velocidad de movimiento aumentada un 15% y +1% a todas las resistencias elementales máximas. Intoxicación por sulfito dura 60 segundos)","(เมาซัลไฟต์ แต่ละระดับ เพิ่มความเสียหาย 35%, เพิ่มความเร็วในการเคลื่อนที่ 15% และ ค่าต้านทาน ทุกธาตุ สูงสุด +1% สถานะนี้คงอยู่ 60 วินาที)","（每層醉硫酸會增加 35% 傷害、 15% 移動速度和所有最大元素抗性 +1%。醉硫酸可持續 60 秒）","","","","","","","","","",""
365,"ReminderTextKeystoneArsenalOfVengeance","(Damaging Retaliation Skills become Usable every sixth Hit from Enemies instead)","(Les Aptitudes de Riposte qui infligent des Dégâts deviennent utilisables toutes les six Touches Ennemis à la place)","(Schädigende Gegenschlag-Fertigkeiten werden stattdessen nach jedem sechsten Treffer von Gegnern benutzbar)","ダメージを与える報復スキルは敵からヒットを6回受ける毎に使用可能になる)","(적에게 여섯 번째 피격될 때마다 피해를 주는 보복 스킬이 사용 가능 상태가 됩니다.)","(Habilidades de Retaliação tornam-se utilizáveis ​​a cada sexto Acertos dos inimigos)","(Наносящие урон умения Ответного удара вместо обычных условий становится можно использовать при получении каждого шестого удара от врага)","(Las habilidades de represalia que infligen daño se vuelven utilizables cada sexto golpe que recibes de los enemigos)","(สกิลโต้กลับที่สร้างความเสียหาย ใช้งานได้ เมื่อถูกศัตรูปะทะครบ 6 ครั้ง แทน)","（改為每被敵人擊中六次，傷害性復仇技能變為可使用）","","","","","","","","","",""
366,"ReminderTextLingerBanner","(The buff still applies to you after you leave the Banner's area)","(L'effet bénéfique vous affecte toujours, même après avoir quitté la zone de l'Étendard)","(Die Stärkung wirkt auch noch, nachdem Ihr den Bereich des Banners verlassen habt)","(バフはバナーの範囲を離れた後でも適用され続ける)","(깃발의 범위에서 벗어난 후에도 버프는 여전히 적용됩니다.)","(O buff ainda se aplica a você depois que você sai da área do Estandarte)","(Положительный эффект продолжает действовать на вас после выхода из области действия знамени)","(Sigues conservando la bonificación después de salir del área del estandarte)","(บัฟยังส่งผลกับคุณต่อไปหลังจากที่คุณออกจากพื้นที่ของธงแล้ว)","（離開鬥旗的範圍之後，增益效果仍會套用在你身上）","","","","","","","","","",""
367,"ReminderTextValourGain","(By default you gain 1 Valour on Melee Kill, or on Melee Hit against Rare or Unique enemies, no more than once every 0.5 seconds, up to a maximum of 50)","(Par défaut vous gagnez 1 de Vaillance en Tuant en mêlée, ou en Touchant des ennemis rares ou uniques en mêlée, pas plus d'une fois toutes les 0,5 seconde. Le maximum de Vaillance est de 50)","(Standardmäßig erhaltet Ihr 1 Heldenmut bei Nahkampftötung oder bei Nahkampftreffer eines seltenen oder einzigartigen Gegners, jedoch nicht öfter als alle 0.5 Sekunden, bis zu einem Maximum von 50)","(Valour: 近接で敵を倒すか、レアまたはユニークな敵を近接ヒットすることで勇猛を獲得する。0.5秒に一度だけ起きる。勇猛の最大値は50)","(기본적으로 근접 처치 시 또는 희귀 적이나 고유 적 근접 명중 시 기백을 1 획득합니다. 기백은 0.5초마다 최대 1번, 최대 50까지 획득할 수 있습니다.)","(Por padrão, você ganha 1 de Valor ao matar corpo a corpo ou ao acertar ataques corpo a corpo contra inimigos raros ou únicos, não mais do que uma vez a cada 0.5 segundos, até um máximo de 50)","(По умолчанию вы получаете 1 заряд доблести при убийстве в ближнем бою или нанесении удара в ближнем бою по редким или уникальным врагам, но не чаще 1 раза каждые 0,5 секунды, вплоть до максимума в 50 зарядов)","(Por defecto, obtienes 1 de valor al matar cuerpo a cuerpo, o con cada golpe cuerpo a cuerpo contra enemigos raros o únicos, con un límite de una vez cada 0,5 segundos, hasta un máximo de 50)","(ปกติคุณจะได้รับสถานะ อาจหาญ 1 ระดับเมื่อสังหารประชิด หรือเมื่อปะทะ ประชิด ต่อ ศัตรูแรร์หรือยูนิค ได้ 1 ครั้งต่อ 0.5 วินาที สูงสุด 50 ระดับ)","（預設情況下，近戰擊殺，或近戰擊中稀有或傳奇敵人可獲得 1 勇氣，每 0.5 秒不超過 1 次，最多獲得 50 勇氣）","","","","","","","","","",""
368,"ReminderTextAilmentBearer","(Unbound Avatar requires 100 Unbound Fury to use and causes you to become Unbound for 10 seconds, which has no effects beyond those listed here)","(Avatar déchaîné nécessite 100 cumul de Furie déchainée pour être utilisé et vous fait devenir Déchaîné pendant 10 secondes, ce qui n'a aucun effet outre ceux listés ici)","(Unbändige Inkarnation erfordert zur Aktivierung 100 Unbändiger Zorn und lässt Euch für 10 Sekunden Unbändig werden, was keine anderen als die hier aufgeführten Wirkungen hat)","(アンバウンドアバターは、その使用にアンバウンドフューリーが100必要であり、10秒間アンバウンド状態にする。ここに明示されている以上の効果はない)","(족쇄 풀린 화신은 족쇄 풀린 광분이 100회 중첩되어야만 사용할 수 있으며, 사용 시 10초 동안 족쇄 풀린 상태가 됩니다. 이곳에 명시되지 않은 다른 효과는 적용되지 않습니다.)","(Avatar Liberto requer 100 de Fúria Liberta para ser usado e faz com que você se torne Liberto por 10 segundos, o que não tem efeitos além dos listados aqui)","(Воплощение безудержности требует 100 Безудержной ярости для использования и делает вас Безудержным на 10 секунд, что не имеет никаких эффектов, кроме перечисленных здесь)","(Avatar desatado requiere 100 de furia desatada para poder utilizarse y hace que entres en estado desatado durante 10 segundos, lo cual no tiene ningún efecto aparte de los enumerados aquí)","(อวตารไร้พันธะ ต้องการสถานะ โทสะไร้พันธะ 100 ระดับ เพื่อใช้งาน ซึ่งทำให้คุณได้รับสถานะ ไร้พันธะ 10 วินาที ซึ่งไม่ให้ผลอย่างอื่นนอกจากผลที่ระบุไว้ตรงนี้)","（無縛化身需要 100 層無縛之怒才能使用，並會使你進入無縛狀態，持續 10 秒，除此處列舉的效果外無其他效果）","","","","","","","","","",""
369,"ReminderTextMonsterToughness","(The higher toughness a monster has, the less damage it takes. A monster with 100% increased Toughness takes 50% less damage, a monster with 200% increased toughness takes 67% less damage, and so on. Reduced toughness causes monsters to take more damage)","Robustesse","(Je höher die Widerstandsfähigkeit eines Monsters ist, desto weniger Schaden erleidet es. Ein Monster mit 100% erhöhter Widerstandsfähigkeit erleidet 50% weniger Schaden, ein Monster mit 200% erhöhter Widerstandsfähigkeit erleidet 67% weniger Schaden, und so weiter. Eine verringerte Widerstandsfähigkeit bewirkt, dass ein Monster mehr Schaden erleidet.)","(Toughness : モンスターの靭性が高いほど、受けるダメージが低下します。靭性が100%増加したモンスターは受けるダメージが50%低下、靭性が200%増加したモンスターは受けるダメージが67%低下、などです。靭性が減少すると、モンスターが受けるダメージは上昇します)","(몬스터의 강인함이 높을수록 해당 몬스터가 받는 피해가 감폭됩니다. 강인함이 100% 증가한 몬스터는 받는 피해가 50% 감폭되고, 강인함이 200% 증가한 괴물은 받는 피해가 67% 감폭됩니다. 강인함이 감소하면 몬스터가 받는 피해가 증폭됩니다.)","(Quanto maior a resistência de um monstro, menos dano ele sofre. Um monstro com 100% de Dureza aumentada sofre 50% menos dano, um monstro com 200% de Dureza aumentada sofre 67% menos dano e assim por diante. Dureza reduzida faz com que os monstros tomem mais danos)","(Чем выше стойкость монстра, тем меньше урона он получает. Монстр с на 100% увеличенной стойкостью получает на 50% меньше урона, монстр с на 200% увеличенной стойкостью получает на 67% меньше урона и так далее. Сниженная стойкость заставляет монстров получать больше урона)","(Cuanta más dureza tenga un monstruo, menos daño recibirá. Un monstruo con dureza aumentada un 100% recibe un 50% menos de daño, un monstruo con dureza aumentada un 200% recibe un 67% menos de daño, y así sucesivamente. Si un monstruo tiene dureza reducida, recibirá más daño)","(ยิ่งมอนสเตอร์มี ความทรหด มากเท่าไร มันยิ่งได้รับความเสียหาย ลดลง อีก เท่านั้น, มอนสเตอร์ที่มีความทรหด เพิ่มขึ้น 100% จะได้รับความเสียหาย ลดลง อีก 50% ส่วนมอนสเตอร์ที่มีความทรหด เพิ่มขึ้น 200% จะได้รับความเสียหาย ลดลง อีก 67% เป็นต้น, การลดความทรหดจะทำให้มอนสเตอร์ได้รับความเสียหายเพิ่มขึ้น)","（怪物的堅韌越高，受到的傷害越低。堅韌增加 100% 的怪物受到 50% 更少傷害，堅韌增加 200% 的怪物受到 67% 更少傷害，以此類推。堅韌被降低會使怪物受到更多傷害）","","","","","","","","","",""
370,"ReminderTextRemainUsable","(They will also not be put on cooldown if they remain Usable)","(Ils ne seront également pas mis en recharge si ils restent Utilisables)","(Sie werden keiner Abklingzeit unterliegen, wenn sie nutzbar sind)","(使用可能なままの場合もクールダウンにはならない)","(또한 사용 가능 상태인 동안에는 재사용 대기시간이 적용되지 않습니다.)","(Eles também não terão tempo de recarca se permanecerem utilizáveis)","(Они также не будут иметь времени перезарядки, если остаются доступными для использования)","(Tampoco entrarán en tiempo de recarga si permanecen utilizables)","(หากใช้งานได้ต่อไป มันจะไม่เข้าคูลดาวน์เช่นกัน)","（若維持可使用，它們也不會進入冷卻）","","","","","","","","","",""
