"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","HASH16","Tags","TagWeight"
188,"TrapsMinesShadow12","No songs are sung in Korathin factories. Just the rhythm of toil and breaking backs.","Aucun chant ne s'élève dans les usines de Korathin. Seuls le rythme du labeur et le bruit des échines qui se brisent retentissent.","Es gibt keine Lieder in den Fabriken von Korathin. Nur den Rhythmus des Schuftens und des Rackerns.","コラシンの工場で歌が歌われることはない。労働と折れる背中がリズムを奏でるだけだ。","코라틴 공장에서 들려오는 소리는 노래가 아니다. 고된 노동과 부러지는 허리의 리듬일 뿐.","Não há música nas fábricas de Korathin, só os sons do esforço e dos ossos estalando.","На факториях Корафина не поют песен. Слышен только ритм согбенного труда и сломанных спин.","En las fábricas de Korathin no se canta ninguna canción. Solo se oye el ritmo del trabajo y de las espaldas rompiéndose.","ไม่มี​เพลง​ใด​ถูก​ร้อง​ออก​มา​ใน​โรงงาน​โคราธิน มี​เพียง​จังหวะ​ของ​การ​ตรากตรำ​และ​การ​ปวดหลัง​เพียง​เท่านั้น","科拉廷的工廠從未有歌唱之聲，只有辛勞工作的喘息聲和不幸受傷者的呻吟此起彼落。",45590,"[1194,1209]","[0,1000]"
189,"TrapsMinesShadowNoble1","Though rotten to the bone, Trarthus still shelters those the world cast aside.","Bien que pourrie jusqu'à l'os, Trarthus abrite encore ceux que le monde a rejetés.","Auch wenn es bis ins Mark verfault ist, bietet Trarthus noch immer denen Zuflucht, die die Welt verstoßen hat.","骨まで腐ってはいるが、それでもトラーサスは世界に捨てられた者を守ってくれる。","뼛속까지 썩었다고는 해도, 트라투스는 여전히 세상이 내치는 자들을 받아 준다.","Mesmo corrompida até a alma, Trarthus ainda abriga os abandonados pelo mundo.","Хоть и прогнившая насквозь, Тератна – всё равно приют для тех, кого мир отбросил прочь.","Aunque está podrida hasta el hueso, Trarthus sigue cobijando a aquellos que el mundo ha apartado.","แม้ว่า​ทาร์ทัส​จะ​เน่าหนอน​ถึง​เนื้อใน แต่​ภูมิภาคนี้​ยัง​ให้การ​พักพิง​ต่อ​เหล่า​ผู้​ที่​โลก​ทอดทิ้ง","特拉特斯雖與一塊朽木無異，其中仍棲息著世間所遺棄的眾生靈。",22700,"[1211,1213,1215]","[1000,1000,1000]"
190,"TrapsMinesShadowNoble2","A Mirror of Delirium cracked {0} Azadi's mind like glass - or so the story goes.","Un miroir du Délire a fissuré son esprit comme du verre. Du moins, c'est ce que raconte l'histoire.","Ein Spiegel des Deliriums hat {0} Azadis Verstand wie Glas zersplittert – so sagt man jedenfalls.","デリリウムの鏡が{0}・アザディの精神をガラスのように砕いてしまった……少なくともそのように語られている。","환영의 거울이 {0} 아자디의 정신을 유리처럼 깨뜨렸다... 고 이야기에서는 말한다.","Dizem que um Espelho do Delírio estilhaçou a mente de {0} Azadi como vidro.","В Зеркале Делириума его разум треснул как стекло – по крайней мере, так гласит история.","Un espejo de delirio quebró la mente de {0} Azadi como si fuera cristal, o eso cuenta la historia.","ว่า​กัน​ว่า​กระจก​เดลิเรียม​ทำให้​จิต​ของ{0} อะซาดิ​แตกร้าว​เสมือน​กระจก... อย่าง​น้อย​ก็​เล่า​กัน​ไว้​เช่น​นั้น","譫妄之鏡讓{0}．愛札丁的心靈如玻璃般粉碎……故事是這麼交代的。",38745,"[1211,1213,1215]","[1000,1000,1000]"
191,"TrapsMinesShadowNoble3","To House Azadi, {0} is a relic. To everyone else, a warning.","Pour la Maison Azadi, il est une véritable relique. Pour tous les autres, il constitue un avertissement.","Für das Haus Azadi ist {0} eine Reliquie. Für alle anderen eine Warnung.","アザディ家にとって、{0}は遺物だ。他の者たちにとっては、警告だ。","아자디 가문에, {0}은(는) 유물이다. 그 외의 모든 사람에게, 그는 경고다.","A casa Azadi trata {0} como uma relíquia. Os outros o veem como um aviso.","Для Дома Азади {0} пережиток. Для всех остальных – предупреждение.","Para la Casa Azadi, {0} es una reliquia. Para todos los demás, una advertencia.","สำหรับ​บ้าน​อะซาดิ {0}​เป็น​เครื่อง​ระลึก สำหรับ​คนอื่นๆ เขา​เป็น​คำเตือน","{0}對於愛札丁家族而言是上個年代的文物，對於其他人來說則有警世之用。",46712,"[1211,1213,1215]","[1000,1000,1000]"
192,"TrapsMinesShadowNoble4","\""The moment the four Great Founders actually won their war of independence, tensions began to rise between them.\""","« À l'instant même où les quatre grands Fondateurs gagnèrent réellement leur guerre d'indépendance, des tensions commencèrent à naître entre eux. »","\""In dem Moment, als die vier großen Gründer den Unabhängigkeitskrieg tatsächlich gewonnen hatten, begannen die Spannungen zwischen ihnen zu wachsen.\""","「四大創立者たちが独立戦争に実際に勝った瞬間、彼らの間の緊張は高まり始めた。」","\""4대 시조들이 독립 전쟁에서 승리했을 때, 그들 사이의 긴장이 고조되기 시작했다.\""","\""No momento em que os quatro grandes fundadores venceram a guerra pela independência, a tensão entre eles começou a crescer.\""","«Как только четверо Великих Основателей действительно выиграли войну за независимость, между ними начали расти трения».","\""En cuanto los cuatro grandes Fundadores ganaron su guerra de la independencia, empezaron a crecer las tensiones entre ellos\"".","\""ทันทีที่สี่ผู้ก่อตั้งบ้านใหญ่ชนะศึกชิงอิสรภาพขึ้นมา พวกเขาทั้งสี่ก็\r\nเริ่มมีความตึงเครียดต่อกันและกัน\""","「當四大創始者贏得了獨立戰爭後，他們之間的情勢也開始變得緊張起來。」",16190,"[1211,1213,1215]","[1000,1000,1000]"
193,"TrapsMinesShadowNoble5","\""The four great Founders were only allies out of necessity. It didn't take much for their hard-won independence to fall apart.\""","« Les quatre grands Fondateurs ne se sont jamais appréciés, et méprisaient mutuellement leurs vices. Leur indépendance chèrement gagnée ne mit pas longtemps avant de voler en éclats. »","\""Die vier großen Gründer konnten sich nie leiden und sahen auf die Laster der anderen herab. Es brauchte nicht viel und ihre hart erkämpfte Unabhängigkeit zerfiel.\""","「四大創立者たちは必要に迫られ同盟を組んでいただけだ。彼らが苦労して勝ち取った独立が崩れていくのに、そう長くはかからなかった。」","\""4대 시조들이 손을 잡은 것은 오로지 필요 때문이었다. 그들이 힘들게 쟁취해 낸 독립이 무너지는 데는 오래 걸리지 않았다.\""","\""Os quatro grandes fundadores só se aliaram por necessidade. A suada independência logo foi por água abaixo.\""","«Четверо Великих Основателей были союзниками только из необходимости. Их с трудом добытая независимость быстро начала трещать по швам».","\""Los cuatro grandes Fundadores solo eran aliados por necesidad. No hizo falta mucho para que la independencia que tanto les costó conseguir se desmoronara\"".","\""สี่ผู้ก่อตั้งบ้านใหญ่เป็นพรรคพวกกันด้วยความจำเป็น ไม่นาน\r\nอิสรภาพที่ชิงมาได้ก็เริ่มล่มลง\""","「這四個偉大的創始者只是為了生存才集結起來。他們來之不易的獨立也很快就土崩瓦解。」",64460,"[1211,1213,1215]","[1000,1000,1000]"
194,"Crit1HShadow1","Azadi was last to rise among the major Houses. Where killing was common, no one paid for it  - until Azadi cornered the market.","Parmi les grandes Maisons, Azadi fut la dernière. Là où tuer était monnaie courante, personne n'en tirait profit ; jusqu'à ce qu'Azadi monopolise le marché.","Azadi war das letzte, das den Aufstieg unter die großen Häuser schaffte. Solange das Töten selbstverständlich war, bezahlte niemand dafür – bis die Azadi den Markt beherrschten.","アザディ家は大家の中で一番最後に名を上げた。殺しがありふれた場所で、それに金を払う者はいなかった……アザディ家が市場を独占するまでは。","아자디 가문이 주요 가문 중에 마지막으로 흥했다. 살인은 흔했지만, 그 대가로 돈을 내는 자는 없었다. 아자디가 시장을 독점할 때까지는.","Azadi foi a última das grandes casas a ascender. Numa terra de matança livre e gratuita, foi ela que estabeleceu o preço desse mercado.","Азади были последним поднявшимся из крупных Домов. Там, где убийство было повсеместным, никто не платил за него – пока Азади не захватили рынок.","Azadi fue la última en alzarse de entre las grandes Casas. Cuando matar era algo habitual, nadie pagaba por ello; hasta que Azadi se hizo con el mercado.","อะซาดิ​เป็น​บ้าน​สุดท้าย​ที่​เป็น​ใหญ่​ใน​บรรดา​บ้าน​ใหญ่ การ​เข่น​ฆ่า​พบ​ได้​ง่าย​จน​ไร้ราคา... จน​กระทั่ง​บ้าน​อะซาดิคุม​ตลาด​นั้น​ได้","在各大家族中，愛札丁家族興起的時間最晚。人們不要命似地逞兇鬥狠時，買兇並不普遍……直到愛札丁家族樹立模範。",234,"[1194,1216]","[0,1000]"
195,"Crit1HShadow2","At first, anyone could kill for coin. House Azadi made the kill itself worth paying for. ","Au début, n'importe qui pouvait tuer en échange de quelques pièces. La Maison Azadi a transformé le meurtre en véritable art méritant dédommagement. ","Zuerst konnte jeder gegen Bezahlung zum Mörder werden. Haus Azadi verstand es, dem Akt des Tötens selbst einen Wert zu geben.","最初は、誰でも金のために殺しを行うことができた。アザディ家は殺しそのものを金を払う価値のあるものにした。","처음에는 누구나 돈을 받고 사람을 죽일 수 있었다. 아자디 가문을 계기로 살해 자체가 돈값을 하게 되었다.","Antes, qualquer um matava por dinheiro. Azadi transformou a morte em um produto. ","Поначалу кто угодно мог убить за плату. Дом Азади сделал само убийство достойным платы.","Al principio, cualquiera podía matar por monedas. La Casa Azadi hizo que valiera la pena pagar por el asesinato. ","ตอนแรก​ใคร​ก็​ฆ่า​เพื่อ​หา​เหรียญ​ได้ แต่​บ้าน​อะซาดิ​ทำให้​การ​ฆ่า​คุ้ม​กับ​ค่าจ้าง​นัก","買兇原是任何人都能幹的勾當，愛札丁家族則是讓行兇演變為一門值錢的藝術。 ",39957,"[1194,1216]","[0,1000]"
196,"Crit1HShadow3","Independent killers didn't last. Clients knew: hire Azadi, or become their next contract.","Les tueurs indépendants n'ont pas survécu longtemps. Les clients le savaient : si l'on n'engageait pas la Maison Azadi, l'on devenait leur prochain contrat.","Unabhängige Auftragsmörder hielten sich nicht lange. Kunden wussten: heuert einen Azadi an oder werdet ihr nächstes Ziel.","独立した殺し屋は長くは続かなかった。客は知っていた：アザディ家を雇うか、彼らの次の標的になるか、だった。","독립적인 살인자들은 오래가지 못했다. 고객들은 알고 있었다. 아자디 가문을 고용하지 않으면, 그들이 맡는 다음 청부 계약의 대상이 된다는 것을.","Os matadores independentes não duravam. Os clientes que não contratavam Azadi entravam em sua lista.","Независимые убийцы не прижились. Клиенты знали: найми Азади или стань их следующим контрактом.","Los asesinos independientes no duraban mucho. Los clientes lo sabían: contrata Azadi, o conviértete en su próximo contrato.","นักฆ่า​อิสระ​อยู่​ไม่​ได้​นาน ลูกค้า​รู้​ดี ถ้า​ไม่​จ้าง​บ้าน​อะซาดิ​ก็​กลาย​เป็น​เป้าหมาย​คน​ต่อ​ไป","無依靠的殺手難以為繼。買兇者了解到：不讓愛札丁家族賺一筆，或許自己就會是下一幅藝術品的素材。",60800,"[1194,1216]","[0,1000]"
197,"Crit1HShadow4","\""When palms need greasing, you go to House Bardiya. When heads need rolling, you send for House Azadi.\""","« Quand il faut graisser des pattes, c'est la Maison Bardiya que l'on va voir. Quand des têtes doivent tomber, c'est la Maison Azadi à qui l'on fait appel. »","\""Soll jemand geschmiert werden, geht man zu Haus Bardiya. Sollen Köpfe rollen, dann schickt man nach Haus Azadi.\""","「袖の下を通す時は、バーディヤ家に頼む。首を転がす時は、アザディ家に連絡する。」","\""돈을 찔러 주어야 할 때는 바르디야 가문을 찾아가라. 머리를 베어야 할 때는 아자디 가문을 수소문해라.\""","\""Quando é preciso subornar alguém, Bardiya é a escolha certa. Mas, para execuções, ninguém é melhor do que a casa Azadi.\""","«Когда надо подмазать руку, ступай к Дому Бардия. Когда должны полететь головы, посылай за Домом Азади».","\""Cuando hay que sobornar a alguien, vas a la Casa Bardiya. Cuando tienen que rodar cabezas, vas a la Casa Azadi\"".","\""อยาก​เกลี้ย​กล่อม​คน​ก็​ไป​หา​บ้าน​บาร์ดิยา อยาก​ฆ่า​แกง​ก็​ส่ง​ไป​หา​บ้าน​อะซาดิ\""","「錢的事情找巴迪亞家族，處理人命的事情則要找愛札丁家族。」",11453,"[1194,1216]","[0,1000]"
198,"Crit1HShadow5","\""A masterful blend of audacity and discretion - that's the Azadi trademark. You'll know who made the kill, never who paid for it.\""","Un savant mélange d'audace et de discrétion, telle est la signature de la Maison Azadi. On saura toujours qui a frappé, jamais qui a commandité le meurtre.","\""Eine meisterhafte Mischung aus Kühnheit und Diskretion – das ist das Markenzeichen der Azadi. Ihr werdet wissen, wer den Mord verübt hat, aber nie, wer dafür zahlte.\""","「大胆さと慎重さの見事な融合……それがアザディ家のトレードマークだ。誰が殺したのかはわかるが、誰が金を出したのかは決してわからない。」","\""과감성과 조심성의 절묘한 조합이야말로 아자디만의 특징이다. 죽인 자가 누구인지는 알 수 있지만, 돈을 댄 자가 누구인지는 절대 알 수 없다.\""","\""Azadi tem um estilo ousado e discreto. Todo mundo sabe quem matou, mas ninguém descobre quem pagou.\""","«Виртуозное сочетание дерзости и секретности – вот визитная карточка Азади. Ты будешь знать, кто совершил убийство, но никогда – кто за него заплатил».","\""Una mezcla maestra de audacia y discreción: esa es la marca de Azadi. Sabrás quién cometió el asesinato, pero nunca quién pagó por él\"".","\""การ​ผสม​ความ​กล้าหาญ​กับ​ความรอบคอบ​เป็น​แบบ​ฉบับ​บ้าน​อะซาดิ เจ้า​จะ​รู้จัก​คน​ลงมือ แต่​ไม่มี​วัน​รู้จัก​ผู้​ว่า​จ้าง\""","「愛札丁家族的事業講究過人膽識和謹小慎微的絕妙平衡。你不難發現殺手的身分，但絕對無法得知背後是何方神聖買兇。」",58128,"[1194,1216]","[0,1000]"
199,"Crit1HShadow6","Azadi's true currency wasn't coin. It was reputation. And reputation, once wounded, bled.","La vraie monnaie d'Azadi n'était pas l'or, mais la réputation. Une fois cette dernière blessée, elle s'est mise à saigner.","Die wahre Währung der Azadi waren keine Münzen. Es war ihr Ruf. Und der Ruf, einmal angekratzt, blutete.","アザディの本当の通過は金貨ではなかった。評判だったのだ。そして評判は一度傷がつくと、血を流した。","아자디의 진짜 화폐는 주화가 아니라, 평판이었다. 그리고 평판은 상처를 입으면 피를 흘렸다.","A moeda de Azadi não era ouro, mas reputação. E, quando sangrava, era pra valer.","Настоящей валютой Азади было не золото. Ей была репутация. А уязвлённая репутация продолжает и дальше кровить.","Azadi no comerciaba con monedas. Si no con reputación. Y la reputación, una vez herida, sangraba.","เงินตรา​ที่​แท้​จริง​ของ​บ้าน​อะซาดิ​มิใช่​เหรียญ​ใด แต่​เป็น​ชื่อเสียง การ​เสื่อมเสีย​ชื่อเสียง​จะ​ตาม​มา​ด้วย​การ​หลั่งเลือด","對於愛札丁家族，名聲遠比金錢來得更有價值。金錢可失而復得，名聲一旦受創，便難以挽回信任。",27988,"[1194,1216]","[0,1000]"
200,"Crit1HShadow7","Azadi contracts came sealed in wax. To break the seal was to accept the mark - and the consequences of failure.","Les contrats arrivaient scellés à la cire. Si vous rompiez le sceau, alors vous acceptiez d'abattre votre cible, ainsi que les conséquences d'un possible échec.","Aufträge hatten ein Siegel aus Wachs. Das Siegel zu brechen hieß, ihn zu akzeptieren – und die Konsequenzen im Falle eines Versagens.","アザディ家の契約は蝋で封をされていた。その封を破ることはその標的……そして失敗の責任を受け入れることだった。","아자디의 청부 계약서는 밀랍으로 봉인되어 도착했다. 그 봉인을 뜯으면, 표적을 받아들이고 실패했을 때의 결과도 받아들이는 것이었다.","Os contratos de Azadi vinham selados. Romper o selo significava não apenas aceitar a missão, mas também as consequências do fracasso.","Контракты Азади поступали запечатанными сургучом. Сломать печать значило принять цель – и последствия провала.","Los contratos de Azadi venían sellados con cera. Para romper el sello había que aceptar al objetivo, y también las consecuencias del fracaso.","สัญญาจ้าง​บ้าน​อะซาดิ​จะ​ลง​ตรา​ประทับ​ขี้​ผึ้ง​เอา​ไว้ การ​เปิด​ตรา​นี้​คือ​การ​รับ​เป้าหมาย​และ​ผลลัพธ์​ที่​จะ​เกิด​เมื่อ​ล้มเหลว","愛札丁工作合約以蠟塊密封。拆信即代表接受委託……以及失敗時的一切風險。",53081,"[1194,1216]","[0,1000]"
201,"Crit1HShadow8","Each Azadi contract was coded - names obscured, motives buried. But the message was always the same: kill. ","Chaque contrat était codé : les noms étaient dissimulés, les motivations enfouies. Toutefois, le message restait identique : « Tuez untel ». ","Jeder Azadi-Auftrag war verschlüsselt – verborgene Namen, versteckte Motive. Aber die Botschaft war immer klar: Töte.","アザディ家の契約は全て暗号化されていた……名前は隠され、目的は埋められていた。だがメッセージの内容は常に同じだった：殺せ。","아자디의 청부 계약서는 모두 암호로 쓰여 있었다. 이름은 가려 있고, 동기는 묻혀 있었다. 하지만 요지는 늘 똑같았다. 죽여라.","Os contratos de Azadi eram codificados, sem nomes, sem explicações. Mas a mensagem era sempre a mesma: matar. ","Каждый контракт у Азади был закодирован – имена завуалированы, мотивы скрыты. Но послание всегда было одно и то же: убей.","Cada contrato de Azadi estaba codificado: los nombres oscurecidos, los motivos ocultados. Pero el mensaje era siempre el mismo: mata.","สัญญาจ้าง​บ้าน​อะซาดิ​แต่ละ​สัญญา​จะ​ถูก​ลง​รหัส​เอา​ไว้... ปิดบัง​ชื่อ ปิดบัง​เจตนา แต่​สาร​ก็​เหมือน​กัน​เสมอ: ฆ่าทิ้ง","每份愛札丁工作合約都經過加密……殺手無從得知買兇者的姓名與動機，但總能明確得知目的是置受害者於死地。 ",57053,"[1194,1216]","[0,1000]"
202,"Crit1HShadow9","Some left trophies. Others left warnings. But all Azadins left a message: the job was done - and the debt had been paid. ","Certains laissaient des trophées. D'autres des avertissements. Cependant, tous les Azadins laissaient un message : la besogne était accomplie, et la dette acquittée. ","Manche hinterließen Trophäen. Andere Warnungen. Aber alle Azadi hinterließen eine Botschaft: Der Auftrag war erledigt – und die Schuld wurde beglichen.","印を残して行く者もいた。警告を残す者もいた。だが全てのアザディ家の者はメッセージを残していった：仕事は完了し……貸しは回収された。","살인의 증거를 남기는 자도 있고, 경고를 남기는 자도 있었다. 하지만 아자디 사람은 모두 메시지를 남겼다. 일이 끝났고, 빚이 청산되었다는 것.","Alguns deixavam troféus. Outros, avisos. Mas todo azadino deixava um recado: missão cumprida, dívida quitada. ","Некоторые оставляли трофеи. Другие – предупреждения. Но все Азади оставляли сообщение: работа выполнена – и долг уплачен.","Algunos dejaban trofeos. Otros dejaban advertencias. Pero todos los Azadi dejaban un mensaje: el trabajo estaba hecho, y la deuda se había pagado.","บางคน​ทิ้งของ บางคน​ทิ้ง​คำเตือน แต่​คน​บ้าน​อะซาดิ​ทุกคน​ทิ้งสาร: งาน​เสร็จ​แล้ว และ​มี​การลงมือ​ตาม​ค่า​จ้าง​ไป​แล้ว","愛札丁家族的殺手或留下戰利品或警語，但總是留下同樣的訊息：工作已完成……且債務已結清。 ",24366,"[1194,1216]","[0,1000]"
203,"Crit1HShadow10","\""Everyone knows: renege on Azadi, and become their next target.\"" ","Chacun le sait : si l'on manque à sa parole envers la Maison Azadi, l'on devient sa prochaine cible. ","\""Jeder weiß: Brich dein Wort gegenüber einem Azadi und du wirst zu seinem nächsten Ziel.\""","「皆知っていることだ：アザディ家との約束を破れば、次の標的となると。」","\""아자디의 뒤통수를 치면 그들의 다음 표적이 된다는 것은 주지의 사실이다.\""","\""Todo mundo sabe que, se trair Azadi, vira o próximo alvo.\"" ","«Все знают: отступись от данного Азади обещания, и станешь их следующей целью».","\""Todo el mundo lo sabe: reniega de un Azadi, y te convertirás en su próximo objetivo\"". ","\""ใคร​ต่อ​ใคร​ก็​รู้ ผิด​สัญญา​กับ​พวก​อะซาดิ​เมื่อไร ก็​เป็น​เป้าหมาย​คน​ต่อไป\""","「所有人都深知對愛札丁家族背信，自己就會成為下一個受害者。」",56269,"[1194,1216]","[0,1000]"
204,"Crit1HShadow11","\""To last in House Azadi, you need to be dead inside - or skilled at making others so. Preferably both.\""","« Pour survivre dans la Maison Azadi, il faut être mort de l'intérieur, ou exceller à tuer les autres. De préférence les deux. »","\""Um im Haus Azadi zu bestehen, muss man innerlich tot sein – oder geschickt darin, es andere werden zu lassen. Am besten beides.\""","「アザディ家で生き残るには、心が死んでいなければならない……あるいは他の者たちの心を殺すのが得意かだ。理想的には両方だな。」","\""아자디 가문에서 살아남기 위해서는, 내면이 죽어 있거나 남들을 죽이는 데 뛰어나거나 둘 중 하나여야 한다. 둘 다라면 더 좋다.\""","\""Só sobrevive na casa Azadi quem já morreu por dentro ou quem sabe como matar por dentro. Melhor se for os dois.\""","«Чтобы протянуть в Доме Азади долго, надо быть бездушным – или уметь забирать душу у других. Лучше и то и другое».","\""Para durar en la Casa Azadi, tienes que estar muerto por dentro, o tener habilidad para hacer que otros lo estén. Preferiblemente las dos cosas\"".","\""เจ้า​จะ​อยู่​ได้​ยาว​ใน​บ้าน​อะซาดิ​ก็​ต่อ​เมื่อ​เป็น​คน​ตายด้าน หรือ​ชำนาญ​กับ​การ​ทำให้​คนอื่น​ตาย​ด้าน ถ้า​ทำได้​สอง​อย่าง​ก็ดี\""","「想在愛札丁家族混口飯吃，你必須泯滅良心，或是擅於取人性命，兩者皆是尤佳。」",63960,"[1194,1216]","[0,1000]"
205,"Crit1HShadow13","\""In Trarthus, life is cheap. We made sure death wasn't.\""\r\n - Ratha Azadi","« À Trarthus, la vie ne vaut rien. Nous avons fait en sorte que la mort ait un prix. » — Ratha Azadi","\""In Trarthus ist ein Leben nicht viel wert. Wir sorgten dafür, dass es beim Tod anders war.\"" \r\n– Ratha Azadi","「トラーサスでは命は安い。私たちは死に高値をつけたんだ。」\r\nーラーサ・アザディ","\""트라투스에서 삶은 싸구려다. 우리는 죽음은 싸구려가 되지 않게 손을 썼다.\""\r\n - 라타 아자디","\""Em Trarthus, a vida é barata. Fazemos questão de valorizar a morte.\""\r\n- Ratha Azadi","«В Тератне жизнь дёшева. Мы позаботились о том, чтобы смерть такой не была».\r\n– Рата Азади","\""En Trarthus, la vida vale poco. Nos aseguramos de que la muerte no fuera así\"".\r\n - Ratha Azadi","\""ชีวิต​ใน​ทาร์ทัส​มี​ราคา​ถูก เรา​ทำให้​ความตาย​มี​ราคา​แพง\""\r\n- ราธา อะซาดิ","「在特拉特斯，人命不值多少錢。我們讓買兇成為一門好生意。」\r\n - 菈妲．愛札丁",11698,"[1194,1216]","[0,1000]"
206,"Crit1HShadowNoble1","{0} Azadi's was not a style. It was a standard - silent, surgical, untraceable.","Son style n'en était pas un à proprement parler. Il s'agissait plutôt d'une référence, silencieuse, chirurgicale, qui ne laissait aucune trace.","{0} Azadis Art war kein Stil. Sie war ein Standard – leise, präzise, ohne Spuren. ","{0}・アザディのそれはスタイルではなかった。基準だった……静かで、精密で、追跡不可能。","{0} 아자디의 솜씨는 양식이 아니라, 규격이었다. 조용하고 정밀하며, 단서를 남기지 않는.","{0} Azadi não tinha estilo, mas um padrão: silencioso, cirúrgico e irrastreável.","{0} Азади работал не просто в своей манере. Это был стандарт – бесшумный, хирургически точный, не оставляющий следа.","{0} Azadi no era un estilo. Era un estándar: silencioso, quirúrgico, irrastreable.","วิธี​ของ{0} อะซาดิ​มิใช่​สไตล์ แต่​เป็น​มาตรฐาน... เงียบงัน เฉียบคม ไร้ร่องรอย","{0}．愛札丁的行事十分低調。他有自己的一套標準：悄然無息、精準，無從追跡。",26110,"[1218,1220,1222]","[1000,1000,1000]"
207,"Crit1HShadowNoble2","Where other Azadi painted death in crimson arcs, {0} delivered it with a whisper. ","Là où d'autres Azadi peignaient la mort en arcs écarlates, lui l'apportait dans un murmure. ","Andere Azadi malten den Tod in roten Schwüngen. {0} brachte ihn mit einem Flüstern.","他のアザディ家が真紅の弧により死を描いている時、{0}は囁きと共にそれを届けていた。","다른 아자디 사람들이 죽음을 진홍빛 호로 채색했을 때, {0} 아자디는 속삭임으로 죽음을 전했다.","Enquanto outros azadinos faziam da morte um espetáculo sangrento, {0} a entregava num sussurro. ","Когда другие Азади рисовали смерть багровыми дугами, {0} разносил её шёпотом.","Donde los otros Azadi pintaban la muerte con arcos de color carmesí, {0} la entregaba con un susurro. ","คนบ้าน​อะซาดิ​คน​อื่น​วาด​ความตาย​ด้วย​โลหิต​เป็น​วง​โค้ง ขณะ​ที่​{0}​ส่งความตาย​ด้วย​เสียงกระซิบ","其他愛札丁成員喜歡大殺特殺，但{0}卻是暗中行事。",36545,"[1218,1220,1222]","[1000,1000,1000]"
208,"Crit1HShadowNoble3","In a House that prized spectacle, {0} Azadi offered none - only results. ","Dans une Maison qui chérissait l'apparat, il offrait seulement des résultats. ","In einem Haus, das große Auftritte schätzte, steuerte {0} Azadi keine bei – nur Resultate.","見世物を是とする家で、{0}・アザディはそれを届けなかった……彼が届けたのは結果だけだ。","볼거리를 중시하는 가문에서, {0} 아자디는 볼거리를 전혀 주지 않았다. 그저 결과를 냈을 뿐.","Numa casa que vivia de espetáculo, {0} Azadi só entregava uma coisa: resultado. ","В Доме, который прежде всего ценил представления, {0} Азади не предлагал их вовсе – только результаты. ","En una Casa que se preciaba por su espectáculo, {0} Azadi no ofrecía ninguno: solo resultados. ","ใน​บ้าน​ที่​ยกย่อง​การ​แสดง {0} อะซาดิ​มิได้​ให้การ​แสดง​ใด ให้​เพียง​ผลลัพธ์​​เท่านั้น","雖然這個家族特別喜歡大張旗鼓地出手，但{0}．愛札丁重視的是結果。",61326,"[1218,1220,1222]","[1000,1000,1000]"
209,"Crit1HShadowNoble4","\""Trarthans never forget a debt. When the Ezomytes rebelled against the Empire, even though centuries had passed, we came to their aid.\""","« Les Trarthiens n'oublient jamais une dette. Quand les Ézomytes se sont rebellés contre l'Empire, nous sommes venus à leur aide même si des siècles s'étaient écoulés. »","\""Trarthaner vergessen nie eine Schuld. Als die Ezomyten gegen das Kaiserreich rebellierten, eilten wir ihnen zu Hilfe, auch wenn schon Jahrhunderte vergangen waren.\""","「トラーサス人は決して借りを忘れない。エゾミアの民が帝国相手に反乱した時、あれから何百年も経っていたにもかかわらず、我々は彼らを助けに行った。」","\""트라투스인은 빚을 지면 절대로 잊지 않는다. 에조미어인이 제국에 반기를 들었을 때, 수 세기가 지난 후였는데도 우리는 그들을 도왔다.\""","\""Os trarthanos não esquecem uma dívida. Quando os ezomytas se levantaram contra o Império, séculos depois, nós os ajudamos.\""","«Тератцы никогда не забывают долга. Когда эзомиты восстали против Империи, пусть даже спустя века, мы пришли им на помощь».","\""Los trarthanos nunca olvidan una deuda. Cuando los ezomitas se rebelaron contra el imperio, aunque hubieran pasado siglos, acudimos en su ayuda\"".","\""ชาว​ทาร์ทาน​ไม่​เคย​ลืม​หนี้ เมื่อ​พวก​เอโซไมต์​กบฏ​ต่อ​จักรวรรดิ แม้​ว่า​จะ​ผ่าน​มา​หลาย​ศตวรรษ เรา​ก็​ไป​ช่วยเหลือ​พวก​เขา\""","「特拉特斯人絕不忘恩。當艾茲麥人挺身反抗帝國時，雖然已經過了幾百年，我們還是伸出了援手。」",10766,"[1218,1220,1222]","[1000,1000,1000]"
