"rownum","Id","ItemClassesKey","Width","Height","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","InheritsFrom","DropLevel","FlavourTextKey","Implicit_ModsKeys","SizeOnGround","SoundEffect","TagsKeys","ModDomain","ItemVisualIdentity","HASH32","VendorRecipe_AchievementItems","Inflection","Inflection (French)","Inflection (German)","Inflection (Japanese)","Inflection (Korean)","Inflection (Portuguese)","Inflection (Russian)","Inflection (Spanish)","Inflection (Thai)","Inflection (Traditional Chinese)","Equip_AchievementItemsKey","IsCorrupted","Identify_AchievementItems","IdentifyMagic_AchievementItems","FragmentBaseItemTypesKey","bool_225","rid_226","rid_242","bool_258","Unmodifiable","Achievement1","Achievement2","IgnoreQuantBonus","bool_293","rid_294"
4754,"Metadata/Items/Currency/AncestralTattooRamako6",30,1,1,"Loyalty Tattoo of Ahuana","Tatouage de Loyauté de Ahuana","Stammestätowierung von Ahuana","アフアナの忠誠のタトゥー","아후아나의 충성 문신","Tatuagem de Lealdade a Ahuana","Татуировка верности Ахване","Tatuaje de lealtad a Ahuana","ลายสักภักดี อะฮัวนา","阿呼阿娜的忠誠紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,83,943948600,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4755,"Metadata/Items/Currency/AncestralTattooRamako7",30,1,1,"Tattoo of the Ramako Makanga","Tatouage du Makanga de Ramako","Tätowierung des Ramako-Makangas","ラマコのマカンガのタトゥー","라마코 마캉가의 문신","Tatuagem da Makanga de Ramako","Татуировка Маканги Рамако","Tatuaje de makanga de Ramako","ลายสัก มาคันกะรามาโค","雷默科馬坎加的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,83,581299291,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4756,"Metadata/Items/Currency/AncestralTattooHinekora1",30,1,1,"Tattoo of the Hinekora Warrior","Tatouage du Guerrier d'Hinekora","Tätowierung des Hinekora-Kriegers","ヒネコラの戦士のタトゥー","히네코라 전사의 문신","Tatuagem do Guerreiro de Hinekora","Татуировка Воина Хинекоры","Tatuaje de guerrero de Hinekora","ลายนัก นักรบฮิเนโครา","悉妮蔻拉戰士的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,1757602185,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4757,"Metadata/Items/Currency/AncestralTattooHinekora2",30,1,1,"Tattoo of the Hinekora Deathwarden","Tatouage du Garde-mort d'Hinekora","Tätowierung des Hinekora-Totenwächters","ヒネコラの死の番人のタトゥー","히네코라 죽음의 간수의 문신","Tatuagem do Guarda Mortal de Hinekora","Татуировка Стража смерти Хинекоры","Tatuaje de guardián de la muerte de Hinekora","ลายสัก ผู้คุมความตายฮิเนโครา","悉妮蔻拉死護衛的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,-253348843,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4758,"Metadata/Items/Currency/AncestralTattooHinekora3",30,1,1,"Tattoo of the Hinekora Shaman","Tatouage du Chaman d'Hinekora","Tätowierung des Hinekora-Schamanen","ヒネコラのシャーマンのタトゥー","히네코라 주술사의 문신","Tatuagem do Xamã de Hinekora","Татуировка Шамана Хинекоры","Tatuaje de chamán de Hinekora","ลายสัก คนทรงฮิเนโครา","悉妮蔻拉薩滿的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,431926025,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4759,"Metadata/Items/Currency/AncestralTattooHinekora4",30,1,1,"Tattoo of the Hinekora Storyteller","Tatouage du Conteur d'Hinekora","Tätowierung des Hinekora-Geschichtenerzählers","ヒネコラの語り部のタトゥー","히네코라 이야기꾼의 문신","Tatuagem do Orador de Hinekora","Татуировка Сказителя Хинекоры","Tatuaje de cuentacuentos de Hinekora","ลายสัก นักเล่าเรื่องฮิเนโครา","悉妮蔻拉說書人的紋身","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,84,-102976982,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4760,"Metadata/Items/Currency/AncestralTattooHinekora5",30,1,1,"Tattoo of the Hinekora Warmonger","Tatouage du Belliciste d'Hinekora","Tätowierung des Hinekora-Kriegstreibers","ヒネコラのウォーモンガーのタトゥー","히네코라 전쟁광의 문신","Tatuagem do Guerrilheiro de Hinekora","Татуировка Зачинщика войны Хинекоры","Tatuaje de belicista de Hinekora","ลายสัก ผู้ก่อศึกฮิเนโครา","悉妮蔻拉戰鬥王的紋身","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,84,-499100636,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4761,"Metadata/Items/Currency/AncestralTattooHinekora6",30,1,1,"Loyalty Tattoo of Tawhanuku","Tatouage de Loyauté de Tawhanuku","Stammestätowierung von Tawhanuku","タウハヌクの忠誠のタトゥー","타하누쿠의 충성 문신","Tatuagem de Lealdade a Tawhanuku","Татуировка верности Тавануку","Tatuaje de lealtad a Tawhanuku","ลายสักภักดี ทาฟาทูคู","塔瓦努庫的忠誠紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,85,257687140,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4762,"Metadata/Items/Currency/AncestralTattooHinekora7",30,1,1,"Tattoo of the Hinekora Makanga","Tatouage du Makanga d'Hinekora","Tätowierung des Hinekora-Makangas","ヒネコラのマカンガのタトゥー","히네코라 마캉가의 문신","Tatuagem da Makanga de Hinekora","Татуировка Маканги Хинекоры","Tatuaje de makanga de Hinekora","ลายสัก มาคันกะฮิเนโครา","悉妮蔻拉馬坎加的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,85,-540949742,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4763,"Metadata/Items/Currency/AncestralTattooTawhoa1",30,1,1,"Tattoo of the Tawhoa Naturalist","Tatouage du Naturaliste de Tawhoa","Tätowierung des Tawhoa-Naturalisten","タウホアの自然主義者のタトゥー","타호아 박물학자의 문신","Tatuagem do Naturalista de Tawhoa","Татуировка Натуралиста Тахоа","Tatuaje de naturalista de Tawhoa","ลายสัก นักธรรมชาติวิทยาทาฟัว","塔赫亞自然的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,82,1240701651,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4764,"Metadata/Items/Currency/AncestralTattooTawhoa2",30,1,1,"Tattoo of the Tawhoa Scout","Tatouage de l'Éclaireur de Tawhoa","Tätowierung des Tawhoa-Spähers","タウホアの偵察者のタトゥー","타호아 정찰병의 문신","Tatuagem do Batedor de Tawhoa","Татуировка Разведчика Тахоа","Tatuaje de explorador de Tawhoa","ลายสัก นักสอดแนมทาฟัว","塔赫亞哨兵的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,82,-1557507855,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4765,"Metadata/Items/Currency/AncestralTattooTawhoa3",30,1,1,"Tattoo of the Tawhoa Warrior","Tatouage du Guerrier de Tawhoa","Tätowierung des Tawhoa-Kriegers","タウホアの戦士のタトゥー","타호아 전사의 문신","Tatuagem do Guerreiro de Tawhoa","Татуировка Воина Тахоа","Tatuaje de guerrero de Tawhoa","ลายสัก นักรบทาฟัว","塔赫亞戰士的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,1578734361,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4766,"Metadata/Items/Currency/AncestralTattooTawhoa4",30,1,1,"Tattoo of the Tawhoa Herbalist","Tatouage de l'Herboriste de Tawhoa","Tätowierung des Tawhoa-Kräutersammlers","タウホアの薬草師のタトゥー","타호아 약초상의 문신","Tatuagem do Herbalista de Tawhoa","Татуировка Травника Тахоа","Tatuaje de herbolario de Tawhoa","ลายสัก นักสมุนไพรทาฟัว","塔赫亞藥草師的紋身","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,82,-2034856764,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4767,"Metadata/Items/Currency/AncestralTattooTawhoa5",30,1,1,"Tattoo of the Tawhoa Shaman","Tatouage du Chaman de Tawhoa","Tätowierung des Tawhoa-Schamanen","タウホアシャーマンのタトゥー","타호아 주술사의 문신","Tatuagem do Xamã de Tawhoa","Татуировка Шамана Тахоа","Tatuaje de chamán de Tawhoa","ลายสัก คนทรงทาฟัว","塔赫亞薩滿的紋身","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,84,-1580429708,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4768,"Metadata/Items/Currency/AncestralTattooTawhoa6",30,1,1,"Loyalty Tattoo of Maata","Tatouage de Loyauté de Maata","Stammestätowierung von Maata","マアタの忠誠のタトゥー","마아타의 충성 문신","Tatuagem de Lealdade a Maata","Татуировка верности Маате","Tatuaje de lealtad a Maata","ลายสักภักดี มาอ์ตา","瑪塔的忠誠紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,85,-553549896,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4769,"Metadata/Items/Currency/AncestralTattooTawhoa7",30,1,1,"Tattoo of the Tawhoa Makanga","Tatouage du Makanga de Tawhoa","Tätowierung des Tawhoa-Makangas","タウホアのマカンガのタトゥー","타호아 마캉가의 문신","Tatuagem da Makanga de Tawhoa","Татуировка Маканги Тахоа","Tatuaje de makanga de Tawhoa","ลายสัก มาคันกะทาฟัว","塔赫亞馬坎加的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,83,-549355799,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4770,"Metadata/Items/Currency/AncestralTattooValako1",30,1,1,"Tattoo of the Valako Stormrider","Tatouage du Chevauche-foudre de Valako","Tätowierung des Valako-Sturmreiters","ヴァラコのストームライダーのタトゥー","발라코 태풍의 기수의 문신","Tatuagem do Tempestuoso de Valako","Татуировка Наездника бури Валако","Tatuaje de caminante de la tormenta de Valako","ลายสัก ผู้ขี่วายุวาลาโค","瓦拉庫風暴馭者的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,-1678110068,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4771,"Metadata/Items/Currency/AncestralTattooValako2",30,1,1,"Tattoo of the Valako Scout","Tatouage de l'Éclaireur de Valako","Tätowierung des Valako-Spähers","ヴァラコの偵察者のタトゥー","발라코 정찰병의 문신","Tatuagem do Batedor de Valako","Татуировка Разведчика Валако","Tatuaje de explorador de Valako","ลายสัก นักสอดแนมวาลาโค","瓦拉庫哨兵的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,-1519086729,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4772,"Metadata/Items/Currency/AncestralTattooValako3",30,1,1,"Tattoo of the Valako Warrior","Tatouage du Guerrier de Valako","Tätowierung des Valako-Kriegers","ヴァラコの戦士のタトゥー","발라코 전사의 문신","Tatuagem do Guerreiro de Valako","Татуировка Воина Валако","Tatuaje de guerrero de Valako","ลายสัก นักรบวาลาโค","瓦拉庫戰士的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,84,-1042744854,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4773,"Metadata/Items/Currency/AncestralTattooValako4",30,1,1,"Tattoo of the Valako Shieldbearer","Tatouage du Porte-bouclier de Valako","Tätowierung des Valako-Schildknappen","ヴァラコのシールドベアラーのタトゥー","발라코 방패 운반자의 문신","Tatuagem do Escudeiro de Valako","Татуировка Щитоносца Валако","Tatuaje de portador de escudo de Valako","ลายสัก ผู้ถือโล่วาลาโค","瓦拉庫護盾大師的紋身","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,80,-1565328705,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4774,"Metadata/Items/Currency/AncestralTattooValako5",30,1,1,"Tattoo of the Valako Shaman","Tatouage du Chaman de Valako","Tätowierung des Valako-Schamanen","ヴァラコのシャーマンのタトゥー","발라코 주술사의 문신","Tatuagem do Xamã de Valako","Татуировка Шамана Валако","Tatuaje de chamán de Valako","ลายสัก คนทรงวาลาโค","瓦拉庫薩滿的紋身","Metadata/Items/Currency/StackableCurrency",35,"",[],1,34,[],39,84,-1792552871,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4775,"Metadata/Items/Currency/AncestralTattooValako6",30,1,1,"Loyalty Tattoo of Kiloava","Tatouage de Loyauté de Kiloava","Stammestätowierung von Kiloava","キロアヴァの忠誠のタトゥー","킬로아바의 충성 문신","Tatuagem de Lealdade a Kiloava","Татуировка верности Килоаве","Tatuaje de lealtad a Kiloava","ลายสักภักดี คีโลอาวา","基洛阿瓦的忠誠紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,85,1419727113,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4776,"Metadata/Items/Currency/AncestralTattooValako7",30,1,1,"Tattoo of the Valako Makanga","Tatouage du Makanga de Valako","Tätowierung des Valako-Makangas","ヴァラコのマカンガのタトゥー","발라코 마캉가의 문신","Tatuagem da Makanga de Valako","Татуировка Маканги Валако","Tatuaje de makanga de Valako","ลายสัก มาคันกะวาลาโค","瓦拉庫馬坎加的紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,85,-494720076,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4777,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode1",30,1,1,"Honoured Tattoo of the Dove","Tatouage honorifique de la Colombe","Ehrenvolle Tätowierung der Taube","鳩の誇り高きタトゥー","비둘기의 명예로운 문신","Tatuagem Honrada do Pássaro","Почётная татуировка голубя","Tatuaje distinguido de la paloma","ลายสักทรงเกียรติ พิราบ","鴿子的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,-977491319,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4778,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode2",30,1,1,"Honoured Tattoo of the Sky","Tatouage honorifique du Ciel","Ehrenvolle Tätowierung des Himmels","空の誇り高きタトゥー","하늘의 명예로운 문신","Tatuagem Honrada do Céu","Почётная татуировка неба","Tatuaje distinguido del cielo","ลายสักทรงเกียรติ นภา","天際的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,88714243,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4779,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode3",30,1,1,"Honoured Tattoo of the Tuatara","Tatouage honorifique du Tuatara","Ehrenvolle Tätowierung des Tuatara","トゥアタラの誇り高きタトゥー","투아타라의 명예로운 문신","Tatuagem Honrada da Tuatara","Почётная татуировка туатары","Tatuaje distinguido del tuátara","ลายสักทรงเกียรติ ทัวทารา","蜥蜴人的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,1472601435,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4780,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode4",30,1,1,"Honoured Tattoo of the Pillager","Tatouage honorifique du Pillard","Ehrenvolle Tätowierung des Plünderers","略奪者の誇り高きタトゥー","약탈꾼의 명예로운 문신","Tatuagem Honrada do Saqueador","Почётная татуировка грабителя","Tatuaje distinguido del saqueador","ลายสักทรงเกียรติ นักปล้นสะดม","劫掠者的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,-2035191110,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4781,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode5",30,1,1,"Honoured Tattoo of the Turtle","Tatouage honorifique de la Tortue","Ehrenvolle Tätowierung der Schildkröte","亀の誇り高きタトゥー","거북이의 명예로운 문신","Tatuagem Honrada da Tartaruga","Почётная татуировка черепахи","Tatuaje distinguido de la tortuga","ลายสักทรงเกียรติ เต่า","巨龜的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,443313709,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4782,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode6",30,1,1,"Honoured Tattoo of the Oak","Tatouage honorifique du Chêne","Ehrenvolle Tätowierung der Eiche","樫の木の誇り高きタトゥー","참나무의 명예로운 문신","Tatuagem Honrada do Carvalho","Почётная татуировка дуба","Tatuaje distinguido del roble","ลายสักทรงเกียรติ โอ๊ค","歐克的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,66428833,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4783,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode7",30,1,1,"Honoured Tattoo of the Hatungo","Tatouage honorifique de l'Hatungo","Ehrenvolle Tätowierung der Hatungo","ハトゥンゴの誇り高きタトゥー","하툰고의 명예로운 문신","Tatuagem Honrada de Hatungo","Почётная татуировка хатанго","Tatuaje distinguido de las hatungo","ลายสักทรงเกียรติ ฮาทุนโก","靈語者的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,164305161,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4784,"Metadata/Items/Currency/AncestralTattooSpecialSmallNode8",30,1,1,"Honoured Tattoo of the Flock","Tatouage honorifique du Troupeau","Ehrenvolle Tätowierung der Herde","群れの誇り高きタトゥー","무리의 명예로운 문신","Tatuagem Honrada do Rebanho","Почётная татуировка стаи","Tatuaje distinguido del rebaño","ลายสักทรงเกียรติ ฝูงสัตว์","群的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,86,-1554015527,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4785,"Metadata/Items/Currency/AncestralTattooSpecialNotableStr1",30,1,1,"Honoured Tattoo of the Warlord","Tatouage honorifique du Seigneur de guerre","Ehrenvolle Tätowierung des Kriegsfürsten","将軍の誇り高きタトゥー","전쟁군주의 명예로운 문신","Tatuagem Honrada do Comandante","Почётная татуировка военачальника","Tatuaje distinguido del señor de la guerra","ลายสักทรงเกียรติ ขุนศึก","戰爭君王的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,87,-1083723547,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4786,"Metadata/Items/Currency/AncestralTattooSpecialNotableStr2",30,1,1,"Honoured Tattoo of the Mountain","Tatouage honorifique de la Montagne","Ehrenvolle Tätowierung des Berges","山の誇り高きタトゥー","산맥의 명예로운 문신","Tatuagem Honrada da Montanha","Почётная татуировка горы","Tatuaje distinguido de la montaña","ลายสักทรงเกียรติ ภูเขา","山巒的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,87,844140035,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4787,"Metadata/Items/Currency/AncestralTattooSpecialNotableStr3",30,1,1,"Honoured Tattoo of the Pa","Tatouage honorifique du Pa","Ehrenvolle Tätowierung des Pa","パの誇り高きタトゥー","파의 명예로운 문신","Tatuagem Honrada de Pa","Почётная татуировка Па","Tatuaje distinguido del padre","ลายสักทรงเกียรติ ปา","帕的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,87,-394330326,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4788,"Metadata/Items/Currency/AncestralTattooSpecialNotableDex1",30,1,1,"Honoured Tattoo of the Hunter","Tatouage honorifique du Chasseur","Ehrenvolle Tätowierung des Jägers","狩人の誇り高きタトゥー","사냥꾼의 명예로운 문신","Tatuagem Honrada do Caçador","Почётная татуировка охотника","Tatuaje distinguido del cazador","ลายสักทรงเกียรติ นักล่า","獵人的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,88,297550366,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4789,"Metadata/Items/Currency/AncestralTattooSpecialNotableDex2",30,1,1,"Honoured Tattoo of the Barbarian","Tatouage honorifique du Barbare","Ehrenvolle Tätowierung des Barbaren","蛮族の誇り高きタトゥー","야만인의 명예로운 문신","Tatuagem Honrada do Bárbaro","Почётная татуировка варвара","Tatuaje distinguido del bárbaro","ลายสักทรงเกียรติ คนเถื่อน","野蠻人的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,88,-328394484,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4790,"Metadata/Items/Currency/AncestralTattooSpecialNotableDex3",30,1,1,"Honoured Tattoo of the Berserker","Tatouage honorifique du Berserker","Ehrenvolle Tätowierung des Berserkers","狂人の誇り高きタトゥー","광전사의 명예로운 문신","Tatuagem Honrada do Berserker","Почётная татуировка берсерка","Tatuaje distinguido del berserker","ลายสักทรงเกียรติ คนคลั่ง","暴徒的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,88,-510338685,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4791,"Metadata/Items/Currency/AncestralTattooSpecialNotableInt1",30,1,1,"Honoured Tattoo of the Wise","Tatouage honorifique du Sage","Ehrenvolle Tätowierung des Weisen","賢人の誇り高きタトゥー","현명한 자의 명예로운 문신","Tatuagem Honrada do Sábio","Почётная татуировка мудреца","Tatuaje distinguido del sabio","ลายสักทรงเกียรติ ผู้รอบรู้","智者的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,89,-725195152,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4792,"Metadata/Items/Currency/AncestralTattooSpecialNotableInt2",30,1,1,"Honoured Tattoo of the Storm","Tatouage honorifique de la Tempête","Ehrenvolle Tätowierung des Sturms","嵐の誇り高きタトゥー","폭풍의 명예로운 문신","Tatuagem Honrada da Tormenta","Почётная татуировка бури","Tatuaje distinguido de la tormenta","ลายสักทรงเกียรติ วายุ","風暴的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,89,188151545,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4793,"Metadata/Items/Currency/AncestralTattooSpecialNotableInt3",30,1,1,"Honoured Tattoo of the Flood","Tatouage honorifique du Déluge","Ehrenvolle Tätowierung der Flut","洪水の誇り高きタトゥー","홍수의 명예로운 문신","Tatuagem Honrada da Inundação","Почётная татуировка потопа","Tatuaje distinguido de la inundación","ลายสักทรงเกียรติ อุทกภัย","水難的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,89,-595267176,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4794,"Metadata/Items/Currency/AncestralTattooSpecialUnique1",30,1,1,"Ancestral Tattoo of Bloodlines","Tatouage ancestral des Lignées","Ahnen-Tätowierung der Blutlinien","血統の先祖のタトゥー","혈맹의 선조 문신","Tatuagem Ancestral da Linhagem","Татуировка кровных уз предков","Tatuaje ancestral de líneas de sangre","ลายสักบรรพชน สายเลือด","血族的祖靈紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,90,1998121346,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4795,"Metadata/Items/Currency/AncestralTattooSpecialUnique2",30,1,1,"Honoured Tattoo of the Makanga","Tatouage honorifique du Makanga","Ehrenvolle Tätowierung der Makanga","マカンガの誇り高きタトゥー","마캉가의 명예로운 문신","Tatuagem Honrada do Makanga","Почётная татуировка маканги","Tatuaje distinguido del makanga","ลายสักทรงเกียรติ มาคันกะ","馬坎加的尊榮紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,91,230850359,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4796,"Metadata/Items/Currency/AncestralTattooSpecialUnique3",30,1,1,"Journey Tattoo of the Body","Tatouage initiatique du Corps","Reisetätowierung des Körpers","肉体の旅のタトゥー","육신의 여정 문신","Tatuagem da Jornada do Corpo","Татуировка странствия тела","Tatuaje de viaje del cuerpo","ลายสักสัญจร ร่างกาย","軀體的歷練紋身","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],39,92,733382194,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4797,"Metadata/Items/Currency/AncestralTattooSpecialUnique4",30,1,1,"Journey Tattoo of the Mind","Tatouage initiatique de l'Esprit","Reisetätowierung des Geists","精神の旅のタトゥー","정신의 여정 문신","Tatuagem da Jornada da Mente","Татуировка странствия разума","Tatuaje de viaje de la mente","ลายสักสัญจร จิตใจ","心智的歷練紋身","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],39,92,-1454230128,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4798,"Metadata/Items/Currency/AncestralTattooSpecialUnique5",30,1,1,"Journey Tattoo of the Soul","Tatouage initiatique de l'Âme","Reisetätowierung der Seele","魂の旅のタトゥー","영혼의 여정 문신","Tatuagem da Jornada da Mente","Татуировка странствия души","Tatuaje de viaje del alma","ลายสักสัญจร วิญญาณ","靈魂的歷練紋身","Metadata/Items/Currency/StackableCurrency",81,"",[],1,34,[],39,92,-462060409,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4799,"Metadata/Items/Currency/AncestralTattooSpecialUnique6",30,1,1,"Journey Tattoo of Makanui","Tatouage initiatique de Makanui","Reisetätowierung der Makanui","マカヌイの旅のタトゥー","마카누이의 여정 문신","Tatuagem da Jornada do Makanui","Татуировка странствия Макануи","Tatuaje de viaje de Makanui","ลายสักสัญจร มาคานุย","馬卡努伊的歷練紋身","Metadata/Items/Currency/StackableCurrency",1,"",[],1,34,[],39,93,1521973969,[],"","M","F","","","F","FS","M","","","","",[],[],"","","","","","",[],[],"","",""
4800,"Metadata/Items/DivinationCards/DivinationCardTheFortunate",42,1,1,"The Fortunate","Le Fortuné","Der Glückliche","幸運な人","행운아","O Afortunado","Счастливец","Los afortunados","The Fortunate","幸運的人","Metadata/Items/DivinationCards/AbstractDivinationCard",35,2549,[],1,"","[1028,1029]",39,14734,-2038492870,[],"","M","M","","","M","M","F","","","","",[],[],"","","","","","",[],[],"","",""
4801,"Metadata/Items/DivinationCards/DivinationCardFireOfUnknownOrigin",42,1,1,"Fire Of Unknown Origin","Feu d'origine inconnue","Feuer unbekannter Herkunft","どこから来たかわからない炎","근원을 알 수 없는 화염","Fogo de Origem Desconhecida","Огонь незнамо откуда","Fuego de origen desconocido","Fire Of Unknown Origin","神秘之火的起源","Metadata/Items/DivinationCards/AbstractDivinationCard",81,2550,[],1,"","[306,1016,1019,1141]",39,14735,-1002593153,[],"","M","N","","","M","M","F","","","","",[],[],"","","","","","",[],[],"","",""
