"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","GrantedEffect","GrantedEffectHardmode","GrantedEffect2","GrantedEffect2Hardmode","SupportText","SupportText (French)","SupportText (German)","SupportText (Japanese)","SupportText (Korean)","SupportText (Portuguese)","SupportText (Russian)","SupportText (Spanish)","SupportText (Thai)","SupportText (Traditional Chinese)","SupportName","SupportName (French)","SupportName (German)","SupportName (Japanese)","SupportName (Korean)","SupportName (Portuguese)","SupportName (Russian)","SupportName (Spanish)","SupportName (Thai)","SupportName (Traditional Chinese)","GemTags","Consumed_ModsKey","ItemColor"
1078,"SummonReaper","","","","","","","","","","",11685,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,33,8,4]","",4
1079,"SummonReaperAltX","Summon Reaper of Revenants","Invocation de Faucheuse des Revenants","Schnitter der Wiedergänger beschwören","死霊のリーパー召喚","원령의 수확자 소환","Convocar Ceifador dos Fantasmas","Призыв Жнеца-призрака","Invocar desgarrador de apariciones","อัญเชิญยมทูตแห่งวิญญาณคืนถิ่น (Summon Reaper of Revenants)","召喚奪魂鐮．亡靈",11686,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,8,4]","",1
1080,"SummonReaperAltY","Summon Reaper of Eviscerating","Invocation de Faucheuse de l'Éviscération","Schnitter der Ausweidung beschwören","腸抜きのリーパー召喚","적출의 수확자 소환","Convocar Ceifador da Evisceração","Призыв Жнеца-потрошителя","Invocar desgarrador de evisceración","อัญเชิญยมทูตแห่งการคว้านไส้ (Summon Reaper of Eviscerating)","召喚奪魂鐮．剜剖",11687,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,33,8,4]","",2
1081,"SupportBehead","","","","","","","","","","",11690,"","","","Supports strike skills.","Modifie les aptitudes de Frappe.","Unterstützt Schlag-Fertigkeiten.","ストライクスキルをサポートする。","타격 스킬에 적용됩니다.","Suporta habilidades de golpe.","Усиливает умения ударов.","Asiste habilidades de golpe.","ใช้เสริม สกิลฟาด","輔助打擊技能。","","","","","","","","","","","[9,16,7,13,36]",14421,4
1082,"Boneshatter","","","","","","","","","","",11692,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,7,36,14,15,33]","",4
1083,"BoneshatterAltX","Boneshatter of Complex Trauma","Brise-os du Traumatisme complexe","Knochenbrechen des schweren Traumas","複雑性トラウマのボーンシャッター","복합 외상의 뼈 박살","Quebra-Ossos do Traumatismo Complexo","Дробление костей сложного перелома","Destrozahuesos de traumatismo complejo","สลายกระดูกแห่งช้ำในซับซ้อน (Boneshatter of Complex Trauma)","碎骨．創傷",11693,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,7,36,14,15,33]","",1
1084,"BoneshatterAltY","Boneshatter of Carnage","Brise-os du Carnage","Knochenbrechen des Gemetzels","虐殺のボーンシャッター","살육의 뼈 박살","Quebra-Ossos da Carnificina","Дробление костей бойни","Destrozahuesos de matanza","สลายกระดูกแห่งความโหดเหี้ยม (Boneshatter of Carnage)","碎骨．屠殺",11694,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,13,7,36,14]","",2
1085,"ExplosiveConcoction","","","","","","","","","","",11706,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,0,1,2,5]","",4
1086,"ExplosiveConcoctionAltX","Explosive Concoction of Destruction","Concoction explosive de la Destruction","Explosiver Trank der Zerstörung","破壊のエクスプローシブコンコクション","파괴의 폭발성 혼합물","Composto Explosivo da Destruição","Взрывная смесь разрушения","Sustancia explosiva de destrucción","น้ำยาระเบิดแห่งการทำลายล้าง (Explosive Concoction of Destruction)","爆裂物．破壞",11707,"","","","","","","","","","","","","","","","","","","","","","","","[47,10,25,13,14,0,1,2,5]","",1
1087,"ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY","[DNT] ExplosiveConcoctionAltY",11708,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,0,1,2,5]","",2
1088,"EyeOfWinter","","","","","","","","","","",11740,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,5,1]","",4
1089,"EyeOfWinterAltX","Eye of Winter of Finality","Œil de l'hiver de la Finalité","Auge des Winters der Endgültigkeit","終焉のアイオブウィンター","종극의 겨울의 눈","Olho Invernal da Finalidade","Око зимы необратимости","Ojo del invierno de finalidad","ดวงตาเหมันต์แห่งการสิ้นสุด (Eye of Winter of Finality)","凜冬之眼．終結",11741,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,5,1]","",1
1090,"EyeOfWinterAltY","Eye of Winter of Transience","Œil de l'hiver de la Fugacité","Auge des Winters der Vergänglichkeit","一時性のアイオブウィンター","덧없음의 겨울의 눈","Olho Invernal da Transitoriedade","Око зимы бренности","Ojo del invierno de transitoriedad","ดวงตาเหมันต์แห่งความไม่จีรัง (Eye of Winter of Transience)","凜冬之眼．轉瞬",11742,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,5,1]","",2
1091,"PoisonousConcoction","","","","","","","","","","",11777,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,3,5]","",4
1092,"PoisonousConcoctionAltX","Poisonous Concoction of Bouncing","Concoction empoisonnée du Rebond","Giftiger Trank des Aufprallens","跳ね返りのポイゾナスコンコクション","반동의 독성 혼합물","Composto Venenoso Saltador","Отскакивающая ядовитая смесь","Sustancia venenosa de rebote","น้ำยาพิษร้ายแห่งการกระดอน (Poisonous Concoction of Bouncing)","彈炸之毒藥",11778,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,3,5,18]","",1
1093,"PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY","[DNT] PoisonousConcoctionAltY",11779,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,3,5]","",2
1094,"CallOfTheWild","","","","","","","","","","",11780,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,8]","",4
1095,"TemporalRift","","","","","","","","","","",11781,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4]","",4
1096,"Tornado","","","","","","","","","","",11784,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,15,33,14,44]","",4
1097,"TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX","[DNT] TornadoAltX",11785,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,15,33,14,44]","",1
1098,"TornadoAltY","Tornado of Elemental Turbulence","Tornade de la Turbulence élémentaire","Tornado der Elementarturbulenz","元素の乱流のトルネード","격동하는 원소의 회오리","Tornado da Turbulência Elemental","Торнадо стихийной хаотичности","Tornado de turbulencia elemental","พายุสลาตันแห่งธาตุระส่ำระสาย (Tornado of Elemental Turbulence)","元素湍流之龍捲風",11786,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,15,33,14,44,0,1,2,45]","",2
1099,"EnergyBlade","","","","","","","","","","",11789,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,2]","",4
1100,"SoulLink","","","","","","","","","","",11791,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,15,49]","",4
1101,"FlameLink","","","","","","","","","","",11793,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,4,15,49,0]","",4
1102,"VampiricLink","","","","","","","","","","",11794,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,15,49]","",4
1103,"ProtectiveLink","","","","","","","","","","",11795,"","","","","","","","","","","","","","","","","","","","","","","","[9,25,4,15,49]","",4
1104,"IntuitiveLink","","","","","","","","","","",11796,"",11797,"","Supports spell skills, causing them to be triggered by Intuitive Link. Cannot support skills used by totems, traps, or mines. Vaal skills, channelling skills, and skills with a reservation cannot be triggered.","Modifie les aptitudes de sorts en leur permet d'être déclenchées par Lien d'intuition. Ne peut pas modifier les aptitudes de totems, de pièges et de mines. Ne permet pas de déclencher les aptitudes vaal, les aptitudes canalisées et les aptitudes avec un coût de réservation.","Unterstützt Zauberfertigkeiten, wodurch diese durch die Intuitive Verbindung ausgelöst werden. Kann keine Totem-, Fallen- oder Minenfertigkeiten unterstützen. Vaal-, Kanalisierungsfertigkeiten und Fertigkeiten mit Reservierungskosten, können nicht ausgelöst werden.","スペルスキルをサポートし、インテュイティブリンクでトリガーできるようにする。トーテム、トラップ、マインで使用されるスキルはサポートできない。ヴァールスキル、チャネリングスキル、リザーブするスキルはトリガーできない。","주문 스킬을 보조하여 직관의 연결로 발동시킵니다. 토템, 덫, 지뢰 스킬에는 적용되지 않으며 바알 스킬, 집중 유지 스킬, 점유가 있는 스킬은 발동되지 않습니다.","Suporta habilidades mágicas, fazendo com que sejam ativadas pelo Vínculo Intuitivo. Não pode suportar habilidades usadas por totens, armadilhas ou minas. Habilidades Vaal, canalizadas e habilidades com reserva não podem ser suportadas.","Усиливает умения чар, вызывая их срабатывание за счёт Подсознательной связи. Нельзя усилить умения, используемые тотемами, ловушками и минами. Невозможно вызвать срабатывание умений ваал, поддерживаемых умений и умений с удержанием.","Asiste habilidades de hechizo para que Vínculo intuitivo las active. No puede asistir habilidades usadas por tótems, trampas ni minas. No puede activar habilidades vaal, habilidades de canalización ni habilidades con reserva.","ใช้เสริม สกิลเวท ทำให้ถูกทริกเกอร์โดย ประสานสัญชาตญาณ (Intuitive Link) ไม่สามารถเสริมสกิลที่ใช้โดย โทเทม, กับดัก หรือ ทุ่นระเบิด ได้ สกิลวาล์, แชนเนล, สกิลที่มีค่าสำรอง ไม่สามารถถูกทริกเกอร์ได้","輔助法術技能，使它們被連結：直覺觸發。不能輔助圖騰、陷阱和地雷技能。瓦爾技能、引導時施放技能和保留技能無法被觸發。","Intuitive Link Support","Soutien : Lien d'intuition","Unterstützung: Intuitive Verbindung","インテュイティブリンクサポート","직관의 연결 보조","Suporte: Vínculo Intuitivo","Подсознательная связь","Asistencia de Vínculo intuitivo","หินเสริม Intuitive Link","連結：直覺輔助","[26,10,25,4,15,49]","",4
1105,"DestructiveLink","","","","","","","","","","",11798,"","","","","","","","","","","","","","","","","","","","","","","","[47,11,25,4,15,49]","",4
1106,"SupportDivineBlessing","","","","","","","","","","",10276,"","","","Supports aura skills that create permanent auras around you, changing their reservation to a cost and making them temporary. Cannot support banner or stance skills.","Modifie les aptitudes d'aura qui créent une aura permanente autour de vous. Remplace leur réservation par un coût à payer, mais rend leur effet temporaire. Ne fonctionne pas avec les aptitudes d'Étendard ou de Posture.","Unterstützt Aura-Fertigkeiten, die permanente Auren um Euch herum erzeugen, ihre Reservierung zu Kosten verändern und sie dadurch temporär machen. Kann keine Banner-Fertigkeiten unterstützen.","使用者の周りに恒久的なオーラを生成するオーラスキルをサポートし、そのリザーブをコストに変換し、効果を一時的なものにする。バナーおよびスタンススキルはサポートできない。","플레이어 주변에 영구적인 오라를 생성하는 오라 스킬에 적용됩니다. 오라의 점유가 소모로 바뀌며 일시적 오라로 변경됩니다. 깃발 또는 태세 스킬에는 적용되지 않습니다","Suporta habilidades de aura que criam auras permanentes ao seu redor, mudando sua reserva para um custo e tornando-a temporária. Não pode suportar habilidades de estandarte.","Усиливает умения аур, создающие постоянные ауры вокруг героя, заменяя удержание расходом и делая ауры временными. Не может усиливать умения знамён и стоек.","Asiste habilidades de aura que crean auras permanentes a tu alrededor para cambiar su reserva por un costo y convertirlas en temporales. No puede asistir habilidades de estandarte ni de postura. ","ใช้เสริม สกิลออร่า ที่สร้างออร่าถาวรรอบตัวคุณ เปลี่ยนค่าสำรองของสกิลเหล่านี้เป็นค่าใช้งาน และทำให้มีผลชั่วคราว ไม่สามารถเสริม สกิลธงหรือกระบวนท่า ได้","輔助在你附近製造永久光環的光環技能，使它們的保留改變為消耗並且為暫時的。不能輔助鬥旗和姿態技能。","","","","","","","","","","","[9,16,12,15,50]",14423,4
1107,"SupportMarkOnHit","","","","","","","","","","",11799,"","","","Supports mark curse skills.","Modifie les aptitudes de Malédiction qui sont des Marques.","Unterstützt Mal-Fluch-Fertigkeiten.","呪印スキルをサポートする。","징표 저주 스킬에 적용됩니다.","Suporta habilidades de marca-maldição.","Усиливает умения проклятий-меток.","Asiste habilidades de maldición de señales.","ใช้เสริม สกิลคำสาปแช่ง","輔助印記詛咒技能。","","","","","","","","","","","[10,16,43,26]",14422,4
1108,"SupportEternalBlessing","","","","","","","","","","",11800,"","","","Supports aura skills that reserve life or mana to create auras around you.","Modifie les aptitudes d'aura qui créent une aura autour de vous et réservent votre vie ou votre mana.","Unterstützt Fertigkeiten, die Leben oder Mana reservieren, um Auren um Euch herum zu erzeugen.","ライフまたはマナをリザーブし、使用者の周りにオーラを生成するオーラスキルをサポートする。","플레이어 주변에 오라를 생성하기 위해 생명력 또는 마나를 점유하는 오라 스킬에 적용됩니다.","Suporta habilidades de aura que reservam vida ou mana para criar auras ao seu redor.","Усиливает умения аур, удерживающие здоровье или ману для создания аур вокруг героя.","Asiste habilidades de aura que reservan vida o maná para crear auras a tu alrededor.","ใช้เสริม สกิลออร่า ที่สำรองพลังชีวิตหรือมานาเพื่อสร้างออร่ารอบตัวคุณ","輔助保留生命或魔力再你附近製造光環的光環技能。","","","","","","","","","","","[9,16,12,50]",14424,4
1109,"SupportOvercharge","","","","","","","","","","",11859,"","","","Supports any skill that hits enemies.","Modifie les aptitudes qui touchent les ennemis.","Unterstützt Fertigkeiten, die Treffer bei Gegnern verursachen.","敵にヒットを与えるスキルをサポートする。","적을 명중하는 모든 스킬에 적용됩니다.","Suporta qualquer habilidade que acerte inimigos.","Усиливает любое умение, наносящее удары по врагам.","Asiste cualquier habilidad que golpee enemigos.","ใช้เสริมสกิลที่ปะทะศัตรู","輔助任何可擊中敵人的技能。","","","","","","","","","","","[2,11,16]",14425,4
1110,"LightningConduit","","","","","","","","","","",11860,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,2]","",4
1111,"LightningConduitAltX","Lightning Conduit of the Heavens","Vecteur de foudre des Cieux","Blitzleitung der Himmel","天のライトニングコンジット","천국의 번개 도관","Condutor Elétrico dos Céus","Проводник молнии небес","Conducto de rayo de los cielos","คาถาล่อฟ้าแห่งสรวงสวรรค์ (Lightning Conduit of the Heavens)","導雷．天堂",11861,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,2]","",1
1112,"LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY","[DNT] LightningConduitAltY",11862,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,2]","",2
1113,"GalvanicField","","","","","","","","","","",11864,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,15,2,18,44]","",4
1114,"GalvanicFieldAltX","Galvanic Field of Intensity","Globe galvanisant de l'Intensité","Galvanisches Feld der Intensität","強烈なガルヴァニックフィールド","격렬함의 충격장","Campo Galvânico da Intensidade","Электризующее поле интенсивности","Campo galvánico de intensidad","สนามกระแสไฟแห่งความแรงกล้า (Galvanic Field of Intensity)","電光領域．強度",11865,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,15,2,18,44]","",1
1115,"GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY","[DNT] GalvanicFieldAltY",11866,"","","","","","","","","","","","","","","","","","","","","","","","[11,25,4,14,15,2,18,44]","",2
1116,"AlchemistsMark","","","","","","","","","","",11868,"","","","","","","","","","","","","","","","","","","","","","","","[10,25,4,17,43,14,15,0,3]","",4
1117,"VolcanicFissure","","","","","","","","","","",11892,"","","","","","","","","","","","","","","","","","","","","","","","[7,9,25,13,5,14,40,0]","",4
1118,"VolcanicFissureAltX","Volcanic Fissure of Snaking","Fissure volcanique du Serpentement","Vulkanische Spalte der Bewegung","蛇行のヴォルカニックフィッシャー","구불거림의 화산 균열","Fissura Vulcânica do Serpenteado","Вулканический разлом зигзагов","Fisura volcánica de serpenteo","ภูเขาไฟผ่าแยกแห่งการเลี้ยวลด (Volcanic Fissure of Snaking)","炎火脈動．蜿蜒",11893,"","","","","","","","","","","","","","","","","","","","","","","","[7,9,25,13,14,40,0]","",1
1119,"VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY","[DNT] VolcanicFissureAltY",11894,"","","","","","","","","","","","","","","","","","","","","","","","[7,9,25,13,5,14,40,0]","",2
1120,"VaalVolcanicFissure","","","","","","","","","","",11896,"",11892,"","","","","","","","","","","","","","","","","","","","","","[7,9,25,13,5,14,40,0,24]","",4
1121,"VaalVolcanicFissureAltX","Vaal Volcanic Fissure","Fissure volcanique vaal","Vaal-Vulkanische Spalte","ヴァールヴォルカニックフィッシャー","바알 화산 균열","Fissura Vulcânica Vaal","Вулканический разлом ваал","Fisura volcánica vaal","วาล์ ภูเขาไฟผ่าแยก (Vaal Volcanic Fissure)","瓦爾．炎火脈動",11896,"",11893,"","","","","","","","","","","","","","","","","","","","","","[7,9,25,13,5,14,40,0,24]","",1
1122,"VaalVolcanicFissureAltY","Vaal Volcanic Fissure","Fissure volcanique vaal","Vaal-Vulkanische Spalte","ヴァールヴォルカニックフィッシャー","바알 화산 균열","Fissura Vulcânica Vaal","Вулканический разлом ваал","Fisura volcánica vaal","วาล์ ภูเขาไฟผ่าแยก (Vaal Volcanic Fissure)","瓦爾．炎火脈動",11896,"",11894,"","","","","","","","","","","","","","","","","","","","","","[7,9,25,13,5,14,40,0,24]","",2
1123,"FrozenLegion","","","","","","","","","","",11885,"",11888,"","","","","","","","","","","","","","","","","","","","","","[9,25,4,1,13,14,7]","",4
1124,"FrozenLegionAltX","Frozen Legion of Rallying","Légion de gel du Ralliement","Gefrorene Legion des Versammelns","結集のフローズンリージョン","재집결의 얼어붙은 군단","Legião Congelada do Agrupamento","Замёрзший легион сплочения","Legión helada de movilización","กองพันเยือกแข็งแห่งการรวมทัพ (Frozen Legion of Rallying)","戰亂．凍結．號召",11886,"",11889,"","","","","","","","","","","","","","","","","","","","","","[9,25,4,1,13,14,7]","",1
1125,"FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY","[DNT] FrozenLegionAltY",11887,"",11888,"","","","","","","","","","","","","","","","","","","","","","[9,25,4,1,13,14,7]","",2
1126,"VaalCleave","","","","","","","","","","",11884,"",184,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,24,15,7]","",4
1127,"VaalCleaveAltX","Vaal Cleave","Taillade vaal","Vaal-Spalten","ヴァールクリーヴ","바알 회전베기","Cutilada Vaal","Рассечение ваал","Hendidura vaal","วาล์ ปาด (Vaal Cleave)","瓦爾．劈砍",11884,"",185,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,24,15,7]","",1
1128,"VaalCleaveAltY","Vaal Cleave","Taillade vaal","Vaal-Spalten","ヴァールクリーヴ","바알 회전베기","Cutilada Vaal","Рассечение ваал","Hendidura vaal","วาล์ ปาด (Vaal Cleave)","瓦爾．劈砍",11884,"",186,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,14,24,15,7]","",2
1129,"VaalCausticArrow","","","","","","","","","","",11900,"",661,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,15,3,24,6]","",4
1130,"VaalCausticArrowAltX","Vaal Caustic Arrow","Flèche caustique vaal","Vaal-Ätzender Pfeil","ヴァールコースティックアロー","바알 부식성 화살","Flecha Cáustica Vaal","Едкая стрела ваал","Flecha cáustica vaal","วาล์ ศรกัดกร่อน (Vaal Caustic Arrow)","瓦爾．腐蝕箭矢",11900,"",662,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,15,3,24,6]","",1
1131,"VaalCausticArrowAltY","Vaal Caustic Arrow","Flèche caustique vaal","Vaal-Ätzender Pfeil","ヴァールコースティックアロー","바알 부식성 화살","Flecha Cáustica Vaal","Едкая стрела ваал","Flecha cáustica vaal","วาล์ ศรกัดกร่อน (Vaal Caustic Arrow)","瓦爾．腐蝕箭矢",11900,"",663,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,14,15,3,24,6]","",2
1132,"VaalMoltenStrike","","","","","","","","","","",3679,"",3673,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,5,14,7,36,0,18,24]","",4
1133,"VaalMoltenStrikeAltX","Vaal Molten Strike","Frappe volcanique vaal","Vaal-Lavaschlag","ヴァールモルテンストライク","바알 용암 타격","Golpe Vulcânico Vaal","Магмовый удар ваал","Golpe fundido vaal","วาล์ ฟาดหลอมละลาย (Vaal Molten Strike)","瓦爾．熔岩之擊",3679,"",3674,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,5,14,7,36,0,18,24]","",1
1134,"VaalMoltenStrikeAltY","Vaal Molten Strike","Frappe volcanique vaal","Vaal-Lavaschlag","ヴァールモルテンストライク","바알 용암 타격","Golpe Vulcânico Vaal","Магмовый удар ваал","Golpe fundido vaal","วาล์ ฟาดหลอมละลาย (Vaal Molten Strike)","瓦爾．熔岩之擊",3679,"",3675,"","","","","","","","","","","","","","","","","","","","","","[9,25,13,5,14,7,36,0,18,24]","",2
1135,"SupportCursedGround","","","","","","","","","","",11902,"","","","Supports non-aura hex curse skills.","Modifie les aptitudes de Malédiction qui ne sont pas des Auras.","Unterstützt Verhexungs-Fluchzauber (Auren ausgenommen).","オーラ以外の呪術スキルをサポートする。","비-오라 사술 저주 스킬에 적용됩니다.","Suporta habilidades não-aura feitiço-maldição.","Усиливает умения проклятий порчи, не являющиеся аурами.","Asiste habilidades de maldición de maleficio que no son de aura.","ใช้เสริม สกิลคำสาปสะกดที่ไม่ใช่ออร่า","輔助非光環咒術詛咒技能。","","","","","","","","","","","[14,15,11,16,42]",14426,4
1136,"SupportHexBloom","","","","","","","","","","",11903,"","","","Supports hex curse skills. Hexes from auras or cursed ground cannot transfer.","Modifie les aptitudes de Malédiction. Les Calamités provenant d'Auras ou du Sol maudit ne peuvent pas être transférées.","Unterstützt Verhexungs-Fluchzauber. Verhexungen von Auren oder verfluchtem Boden können nicht übertragen werden.","呪術スキルをサポートする。オーラまたは呪い領域による呪術を伝搬することはできない。","사술 저주 스킬에 적용됩니다. 오라 또는 저주받은 지대로 건 사술은 전이되지 않습니다.","Suporta habilidades de feitiço-maldição. Feitiços das auras ou solo maldito não podem ser transferidos.","Усиливает умения проклятий порчи. Порчи от аур и проклятой земли не могут передаваться.","Asiste habilidades de maldición de maleficio. No se pueden transferir los maleficios de las auras ni del suelo maldito.","ใช้เสริม สกิลคำสาปสะกด สาปสะกดจากออร่าหรือพื้นคำสาปไม่สามารถส่งต่อได้","輔助咒術詛咒技能。來自光環或詛咒地面的咒術不能被轉移。","","","","","","","","","","","[11,16,42]",14427,4
1137,"VaalVenomGyre","","","","","","","","","","",11927,"",10529,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3,15,24]","",4
1138,"VaalVenomGyreAltX","Vaal Venom Gyre","Spirale venimeuse vaal","Vaal-Giftwirbel","ヴァールヴェノムジャイア","바알 독액 선회","Espiral Venenosa Vaal","Круг яда ваал","Espiral de veneno vaal","วาล์ มีดบินอสรพิษ (Vaal Venom Gyre)","瓦爾．猛毒迴旋",11927,"",10530,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3,15,24]","",1
1139,"VaalVenomGyreAltY","Vaal Venom Gyre","Spirale venimeuse vaal","Vaal-Giftwirbel","ヴァールヴェノムジャイア","바알 독액 선회","Espiral Venenosa Vaal","Круг яда ваал","Espiral de veneno vaal","วาล์ มีดบินอสรพิษ (Vaal Venom Gyre)","瓦爾．猛毒迴旋",11927,"",10531,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,5,3,15,24]","",2
1140,"VaalSmite","","","","","","","","","","",11928,"",9349,"","","","","","","","","","","","","","","","","","","","","","[2,9,25,13,14,15,7,36,12,24]","",4
1141,"VaalSmiteAltX","Vaal Smite","Châtiment vaal","Vaal-Zerschmettern","ヴァールスマイト","바알 징벌","Castigar Vaal","Кара ваал","Aniquilación vaal","วาล์ เฆี่ยนตี (Vaal Smite)","瓦爾．雷鳴重擊",11928,"",9350,"","","","","","","","","","","","","","","","","","","","","","[2,9,25,13,14,15,7,36,12,24]","",1
1142,"VaalSmiteAltY","Vaal Smite","Châtiment vaal","Vaal-Zerschmettern","ヴァールスマイト","바알 징벌","Castigar Vaal","Кара ваал","Aniquilación vaal","วาล์ เฆี่ยนตี (Vaal Smite)","瓦爾．雷鳴重擊",11928,"",9351,"","","","","","","","","","","","","","","","","","","","","","[2,9,25,13,14,15,7,36,12,24]","",2
1143,"VaalBladeFlurry","","","","","","","","","","",11929,"",5776,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,30,24,7]","",4
1144,"VaalBladeFlurryAltX","Vaal Blade Flurry","Déluge de lames vaal","Vaal-Klingentanz","ヴァールブレードフラリィ","바알 질풍의 칼날","Rajada de Lâminas Vaal","Порыв клинков ваал","Aluvión de filos vaal","วาล์ เพลงดาบเกรียวกราว (Vaal Blade Flurry)","瓦爾．刀鋒亂舞",11929,"",5777,"","","","","","","","","","","","","","","","","","","","","","[47,10,25,13,14,30,24,7]","",1
1145,"VaalBladeFlurryAltY","Vaal Blade Flurry","Déluge de lames vaal","Vaal-Klingentanz","ヴァールブレードフラリィ","바알 질풍의 칼날","Rajada de Lâminas Vaal","Порыв клинков ваал","Aluvión de filos vaal","วาล์ เพลงดาบเกรียวกราว (Vaal Blade Flurry)","瓦爾．刀鋒亂舞",11929,"",5778,"","","","","","","","","","","","","","","","","","","","","","[10,25,13,14,30,24,7]","",2
1146,"VaalReap","","","","","","","","","","",11933,"",11507,"","","","","","","","","","","","","","","","","","","","","","[9,25,4,33,14,15,24]","",4
1147,"VaalReapAltX","Vaal Reap","Fauchage vaal","Vaal-Sense","ヴァールリープ","바알 낫질","Ceifar Vaal","Кровавая жатва ваал","Siega vaal","วาล์ เคียวเก็บเกี่ยว (Vaal Reap)","瓦爾．收割",11933,"",11508,"","","","","","","","","","","","","","","","","","","","","","[9,25,4,33,14,15,24]","",1
