"rownum","string_0","i32_8","i32_12","i32_16","[rid]_20","[i32]_36","string_52","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","rid_60","i32_76","undefined (French)","undefined (German)","undefined (Japanese)","undefined (Korean)","undefined (Portuguese)","undefined (Russian)","undefined (Spanish)","undefined (Thai)","undefined (Traditional Chinese)","i32_80","i32_84","u16_88"
213,"TrapTriggerRadiusLow",0,0,0,[311],[20],"Lesser Trigger Radius","Rayon de Déclenchement mineur","Geringerer Auslöserradius","トリガー半径（小）","하위 발동 반경","Alcance de Acionador Menor","Малый радиус срабатывания","Radio de activación menor","Lesser Trigger Radius","低階觸發範圍","",918986238,992255486,983080446,763665918,771005950,952278526,949394942,971808254,918461950,741252606,0,65536,0
214,"TrapTriggerRadiusMid",0,0,0,[311],[40],"Trigger Radius","Rayon de Déclenchement","Auslöserradius","トリガー半径","발동 반경","Alcance de Acionador","Радиус срабатывания","Radio de activación","Trigger Radius","觸發範圍","",918946611,992215859,983040819,763626291,770966323,952238899,949355315,971768627,918422323,741212979,0,131072,0
215,"TrapTriggerRadiusHigh",0,0,0,[311],[60],"Greater Trigger Radius","Rayon de Déclenchement majeur","Größerer Auslöserradius","トリガー半径（大）","상위 발동 반경","Alcance de Acionador Maior","Большой радиус срабатывания","Radio de activación mayor","Greater Trigger Radius","高階觸發範圍","",918999948,992269196,983094156,763679628,771019660,952292236,949408652,971821964,918475660,741266316,0,196608,0
216,"PurifyingFlameSpecificConsecratedGroundEffectHigh",0,0,0,[9038],[30],"Gilded Purified Ground","Sol purifié doré","Goldener gereinigter Boden","金色の神聖領域","도금된 정화된 지대","Chão Purificado Áureo","Позолоченный: Очищенная земля","Suelo purificado dorado","Gilded Purified Ground","鍍金淨化地面","",41999184,42523472,42130256,35183440,35183440,41212752,42261328,42523472,41999184,34134864,0,196608,0
217,"IgnoreEnemyPhysMitLow",0,0,0,[18338],[20],"Lesser Mitigation Ignore","Mitigation ignorée mineure","Geringere Ignorierung der Minderung","軽減無視（小）","하위 완화 무시","Ignorar Mitigação Menor","Слабое игнорирование ослаблений","Ignorar la mitigación menor","Lesser Mitigation Ignore","低階無視減輕",49,1927954309,2099920773,2084585349,1616134021,1616002949,1999781765,2035433349,2051948421,1927430021,1550860165,0,65536,0
218,"IgnoreEnemyPhysMitMid",0,0,0,[18338],[25],"Mitigation Ignore","Mitigation ignorée","Ignorierung der Minderung","軽減無視","완화 무시","Ignorar Mitigação","Игнорирование ослаблений","Ignorar la mitigación","Mitigation Ignore","無視減輕",49,1927942399,2099908863,2084573439,1616122111,1615991039,1999769855,2035421439,2051936511,1927418111,1550848255,0,131072,0
219,"IgnoreEnemyPhysMitHigh",0,0,0,[18338],[30],"Greater Mitigation Ignore","Mitigation ignorée majeure","Größere Ignorierung der Minderung","軽減無視（大）","상위 완화 무시","Ignorar Mitigação Maior","Сильное игнорирование ослаблений","Ignorar la mitigación mayor","Greater Mitigation Ignore","高階無視減輕",49,1927971605,2099938069,2084602645,1616151317,1616020245,1999799061,2035450645,2051965717,1927447317,1550877461,0,196608,0
220,"HolyMortarSpecificCoverInAshHigh",0,0,0,[7852],[50],"Gilded Ash","Cendres dorées","Goldene Asche","金色の灰","도금된 재","Cinza Áurea","Позолоченный: Пепел","Ceniza dorada","Gilded Ash","鍍金灰燼","",41980315,42504603,42111387,35164571,35164571,41193883,42242459,42504603,41980315,34115995,0,196608,0
221,"VaalGroundSlamSpecificStunDurationHigh",0,0,0,[340],[30],"Gilded Stun Duration","Durée d'Étourdissement dorée","Goldene Betäubungsdauer","金色のスタン持続時間","도금된 기절 지속시간","Duração de Atordoamento Áurea","Позолоченный: Длительность оглушения","Duración de aturdimiento dorado","Gilded Stun Duration","鍍金暈眩持續時間","",41969658,42493946,42100730,35153914,35153914,41183226,42231802,42493946,41969658,34105338,0,196608,0
222,"LeapSlamSpecificFrenzyOnHitHigh",0,0,0,[186],[100],"Gilded Frenzy","Frénésie dorée","Goldene Raserei","金色のフレンジー","도금된 격분","Frenesi Áureo","Позолоченный: Бешенство","Frenesí dorado","Gilded Frenzy","鍍金狂怒","",41991778,42516066,42122850,35176034,35176034,41205346,42253922,42516066,41991778,34127458,0,196608,0
223,"GroundSlamSpecificAngleHigh",0,0,0,[3435],[40],"Gilded Increased Angle","Augmentation d'angle dorée","Goldener Vergrößerter Winkel","金色の角度増加","도금된 각도 증가","Ângulo Aumentado Áureo","Позолоченный: Расширенный угол","Ángulo aumentado dorado","Gilded Increased Angle","鍍金增加角度","",41982090,42506378,42113162,35166346,35166346,41195658,42244234,42506378,41982090,34117770,0,196608,0
224,"MoltenShellSpecificPDRHigh",0,0,0,[9799],[15],"Gilded Physical Damage Reduction","Réduction des Dégâts physiques dorée","Goldene physische Schadensminderung","金色の物理ダメージ軽減","도금된 물리 피해 감소","Redução de Dano Físico Áurea","Позолоченный: Уменьшение физического урона","Reducción de daño físico dorada","Gilded Physical Damage Reduction","鍍金物理傷害減免","",41969832,42494120,42100904,35154088,35154088,41183400,42231976,42494120,41969832,34105512,0,196608,0
225,"FistOfWarHigh",0,0,0,"[11855,11856,11859,11858]","[1,100,60,1760]","Fist of War","Poing de guerre","Faust des Krieges","フィストオブウォー","전쟁의 주먹","Punho de Guerra","Кулак войны","Puño de guerra","Fist of War","拳霸","",1999646779,-2119815109,-2133577669,1676030011,1676161083,2072522811,2115907643,2126786619,1999122491,1608396859,0,196608,0
226,"SmiteSpecificAdditionalTargetHigh",0,0,0,[8332],[100],"Gilded Extra Targets","Cibles supplémentaires dorées","Goldene Extraziele","金色の追加対象","도금된 추가 대상","Alvos Adicionais Áureos","Позолоченный: Дополнительные цели","Objetivos extra dorados","Gilded Extra Targets","鍍金額外目標","",41980299,42504587,42111371,35164555,35164555,41193867,42242443,42504587,41980299,34115979,0,196608,0
227,"ShieldChargeSpecificCrushOnHitHigh",0,0,0,[14401],[50],"Gilded Crush","Écrasement doré","Goldenes Zermalmen","金色のクラッシュ","도금된 타쇄","Esmagar Áureo","Позолоченный: Сокрушение","Destrozo dorado","Gilded Crush","鍍金潰擊","",41982347,42506635,42113419,35166603,35166603,41195915,42244491,42506635,41982347,34118027,0,196608,0
228,"PulveriseLow",0,0,0,"[9614,9612,433]","[-15,15,15]","Lesser Pulverise","Pulvérisation mineure","Geringeres Pulverisieren","強打（小）","하위 분쇄","Pulverizar Menor","Малое распыление","Pulverizar menor","Lesser Pulverise","低階磨鍊",48,2026670993,-2091742319,-2104718447,1701088145,1700957073,2099678097,2144504721,-2137486447,2026146705,1632799633,0,65536,0
229,"PulveriseMid",0,0,0,"[9614,9612,433]","[-15,20,30]","Pulverise","Pulvérisation","Pulverisieren","強打","분쇄","Pulverizar","Распыление","Pulverizar","Pulverise","磨鍊",48,2026699981,-2091713331,-2104689459,1701117133,1700986061,2099707085,2144533709,-2137457459,2026175693,1632828621,0,131072,0
230,"PulveriseHigh",0,0,0,"[9614,9612,433]","[-15,30,40]","Greater Pulverise","Pulvérisation majeure","Größeres Pulverisieren","強打（大）","상위 분쇄","Pulverizar Maior","Большое распыление","Pulverizar mayor","Greater Pulverise","高階磨鍊",48,2026699680,-2091713632,-2104689760,1701116832,1700985760,2099706784,2144533408,-2137457760,2026175392,1632828320,0,196608,0
231,"IncreaseAreaOfEffectLow",0,0,0,[433],[20],"Lesser Increased Area of Effect","Augmentation de Zone d'effet mineure","Geringerer vergrößerter Wirkungsbereich","効果範囲増加（小）","하위 효과 범위 증가","Área de Efeito Aumentada Menor","Малое расширение области действия","Área de efecto aumentada menor","Lesser Increased Area of Effect","低階增加效果範圍",51,2056149134,-2060560242,-2073012082,1725192334,1725323406,2129025166,-2120460146,-2108139378,2055624846,1656641678,0,65536,0
232,"IncreaseAreaOfEffectMid",0,0,0,[433],[40],"Increased Area of Effect","Augmentation de Zone d'effet","Vergrößerter Wirkungsbereich","効果範囲増加","효과 범위 증가","Área de Efeito Aumentada","Расширение области действия","Área de efecto aumentada","Increased Area of Effect","增加效果範圍",51,2056179806,-2060529570,-2072981410,1725223006,1725354078,2129055838,-2120429474,-2108108706,2055655518,1656672350,0,131072,0
233,"IncreaseAreaOfEffectHigh",0,0,0,[433],[60],"Greater Area of Effect","Augmentation de Zone d'effet majeure","Größerer vergrößerter Wirkungsbereich","効果範囲増加（大）","상위 효과 범위 증가","Área de Efeito Aumentada Maior","Большое расширение области действия","Área de efecto aumentada mayor","Greater Area of Effect","高階效果範圍",51,2056145577,-2060563799,-2073015639,1725188777,1725319849,2129021609,-2120463703,-2108142935,2055621289,1656638121,0,196608,0
234,"SparkSpecificNovaHigh",0,0,0,[1776],[1],"Gilded Nova","Nova dorée","Goldene Nova","金色のノヴァ","도금된 폭발","Nova Áurea","Позолоченный: Кольцо","Nova dorada","Gilded Nova","鍍金新星",0,41985195,42509483,42116267,35169451,35169451,41198763,42247339,42509483,41985195,34120875,0,196608,0
235,"OrbOfStormsSpecificShockCritKnockHigh",0,0,0,"[11066,552]","[1,1000]","Gilded Jolt","Décharge doré","Goldener Schock","金色の衝撃","도금된 경악","Abalar Áureo","Позолоченный: Встряска","Sacudida dorada","Gilded Jolt","鍍金暴擊擊退",31,41983252,42507540,42114324,35167508,35167508,41196820,42245396,42507540,41983252,34118932,0,196608,0
236,"StormCallSpecificResCritHigh",0,0,0,[5225],[1],"Gilded Voltage","Voltage doré","Goldene Spannung","金色の電圧","도금된 전압","Voltagem Áurea","Позолоченный: Напряжение","Voltaje dorado","Gilded Voltage","鍍金電壓",31,41965627,42489915,42096699,35149883,35149883,41179195,42227771,42489915,41965627,34101307,0,196608,0
237,"ArcSpecificDistanceHigh",0,0,0,[7906],[10],"Gilded Chain Distance","Distance de ricochet dorée","Goldene Verkettungsreichweite","金色の連鎖距離","도금된 연쇄 거리","Distância de Propagação Áurea","Позолоченный: Дальность удара по цепи","Distancia de encadenamiento dorada","Gilded Chain Distance","鍍金連鎖距離","",41974611,42498899,42105683,35158867,35158867,41188179,42236755,42498899,41974611,34110291,0,196608,0
238,"GigaShockNovaSpecificAOEHigh",0,0,0,[4853],[-25],"Gilded Inhibitor","Inhibiteur doré","Goldener Inhibitor","金色の抑制","도금된 억제자","Inibidor Áureo","Позолоченный: Ингибитор","Inhibidor dorado","Gilded Inhibitor","鍍金抑制劑","",41964718,42489006,42095790,35148974,35148974,41178286,42226862,42489006,41964718,34100398,0,196608,0
239,"IceNovaSpecificFirePerChillHigh",0,0,0,[1499],[30],"Gilded Freezer Burn","Gelure dorée","Goldener Gefrierbrand","金色の凍結焼け","도금된 동결 화상","Queimadura de Gelo Áurea","Позолоченный: Морозный ожог","Incendio por congelación dorado","Gilded Freezer Burn","鍍金冰冷轉化為額外火焰","",41960253,42484541,42091325,35144509,35144509,41173821,42222397,42484541,41960253,34095933,0,196608,0
240,"SummonSkeletonsSpecificArchersHigh",0,0,0,[12582],[100],"Gilded Archers","Archers dorés","Goldene Bogenschützen","金色の弓兵","도금된 궁수","Arqueiros Áureos","Позолоченный: Лучники","Arqueros dorados","Gilded Archers","鍍金射手","",41995418,42519706,42126490,35179674,35179674,41208986,42257562,42519706,41995418,34131098,0,196608,0
241,"LightningTrapSpecificShockSlowHigh",0,0,0,[4854],[-50],"Gilded Electrocuting","Électrisation dorée","Goldener Stromschlag","金色の麻痺","도금된 전기 처형","Eletrocução Áurea","Позолоченный: Электризация","Parálisis dorada","Gilded Electrocuting","鍍金觸電","",41969753,42494041,42100825,35154009,35154009,41183321,42231897,42494041,41969753,34105433,0,196608,0
242,"FireballAltSpecificChanceToScorchHigh",0,0,0,[8657],[50],"Gilded Scorch Chance","Chances de Calcination dorées","Goldene Versengungschance","金色の焦げ付与","도금된 그을림 확률","Chance de Chamuscar Áurea","Позолоченный: Шанс Опалить","Probabilidad de calcinación dorada","Gilded Scorch Chance","鍍金焦灼機率","",41962044,42486332,42093116,35146300,35146300,41175612,42224188,42486332,41962044,34097724,0,196608,0
243,"VaalReapSpecificFireDebuffHigh",0,0,0,[17901],[1],"Gilded Searing Agony","Agonie brûlante dorée","Goldene Versengende Qual","金色の灼ける苦悶","도금된 이글거리는 고통","Agonia Calcinante Áurea","Позолоченный: Жгучая агония","Agonía abrasadora dorada","Gilded Searing Agony","鍍金灼熱苦難","",41993313,42517601,42124385,35177569,35177569,41206881,42255457,42517601,41993313,34128993,0,196608,0
244,"SRSSpecificShrinesHigh",0,0,0,[17929],[1],"Gilded Devotion","Dévotion dorée","Goldene Hingabe","金色の献身","도금된 헌신","Devoção Áurea","Позолоченный: Служение","Devoción dorada","Gilded Devotion","鍍金奉獻","",41983716,42508004,42114788,35167972,35167972,41197284,42245860,42508004,41983716,34119396,0,196608,0
245,"SoulrendAltSpecificChaosChillHigh",0,0,0,[3520],[1],"Gilded Hopelessness","Déséspérance dorée","Goldene Hoffnungslosigkeit","金色の絶望","도금된 절망","Desesperança Áurea","Позолоченный: Безнадёжность","Impotencia dorada","Gilded Hopelessness","鍍金無望","",41981357,42505645,42112429,35165613,35165613,41194925,42243501,42505645,41981357,34117037,0,196608,0
246,"LightningSpireSpecificBeamsHigh",0,0,0,"[7726,24]","[10,-80]","Gilded Reactor","Réacteur doré","Goldener Reaktor","金色の反応炉","도금된 반응로","Reator Áureo","Позолоченный: Конденсатор","Reactor dorado","Gilded Reactor","鍍金反應爐","",41968925,42493213,42099997,35153181,35153181,41182493,42231069,42493213,41968925,34104605,0,196608,0
247,"ScorchingRayTotemSpecificLengthHigh",0,0,0,[5144],[100],"Gilded Conflagrant","Rayon de feu doré","Goldener Brandstifter","金色の炎上","도금된 타오름","Conflagrar Áureo","Позолоченный: Поджиг","Conflagración dorada","Gilded Conflagrant","鍍金速燃","",42002508,42526796,42133580,35186764,35186764,41216076,42264652,42526796,42002508,34138188,0,196608,0
248,"HolyFlameTotemSpecificConcBlockHigh",0,0,0,[5505],[35],"Gilded Divine Shield","Bouclier divin doré","Goldener Göttlicher Schild","金色の神聖な盾","도금된 신성한 방패","Escudo Divino Áureo","Позолоченный: Божественный щит","Escudo divino dorado","Gilded Divine Shield","鍍金聖盾","",41947072,42471360,42078144,35131328,35131328,41160640,42209216,42471360,41947072,34082752,0,196608,0
249,"SunderAltSpecificAdditionalChainHigh",0,0,0,[21127],[1],"Gilded Snaking","Sinuosité dorée","Goldene Verzweigung","金色の蛇","도금된 구불거림","Serpenteio Áureo","Позолоченный: Петляние","Serpenteo dorado","Gilded Snaking","鍍金蜿蜒","",41947046,42471334,42078118,35131302,35131302,41160614,42209190,42471334,41947046,34082726,0,196608,0
250,"BlastRainAltSpecificExtraBlastHigh",0,0,0,[4511],[50],"Gilded Blasting","Explosion dorée","Goldene Sprengung","金色の爆裂","도금된 폭발 위력","Explosão Áurea","Позолоченный: Взрывы","Explosivo dorado","Gilded Blasting","鍍金爆破","",41992229,42516517,42123301,35176485,35176485,41205797,42254373,42516517,41992229,34127909,0,196608,0
251,"BurningArrowSpecificAlwaysPierceHigh",0,0,0,[4546],[1],"Gilded Pierce","Transpercement doré","Goldenes Durchbohren","金色の貫通","도금된 관통","Perfurar Áureo","Позолоченный: Пронзание","Perforar dorado","Gilded Pierce","鍍金穿透",37,41953522,42477810,42084594,35137778,35137778,41167090,42215666,42477810,41953522,34089202,0,196608,0
252,"VaalLightningArrowSpecificRedirectHigh",0,0,0,[17711],[3],"Gilded Uncertainty","Incertitude dorée","Goldene Ungewissheit","金色の不確実性","도금된 불확실성","Incerteza Áurea","Позолоченный: Изменчивость","Incertidumbre dorada","Gilded Uncertainty","鍍金未知","",41954092,42478380,42085164,35138348,35138348,41167660,42216236,42478380,41954092,34089772,0,196608,0
253,"GiantZombieSpecificSlowZombieHigh",0,0,0,"[2089,616]","[50,-30]","Gilded Lumbering Dead","Mort-vivant colossal doré","Goldene Schwerfällige Tote","金色の鈍重の使者","도금된 굼뜬 시체","Morto Claudicante Áureo","Позолоченный: Шатающиеся мертвецы","Muerto torpe dorado","Gilded Lumbering Dead","Gilded Lumbering Dead","",41972602,42496890,42103674,35156858,35156858,41186170,42234746,42496890,41972602,34108282,0,196608,0
254,"ToxicRainSpecificGraspingVinesHigh",0,0,0,[15776],[1],"Gilded Grasp","Étreinte dorée","Goldener Griff","金色の束縛","도금된 장악","Aperto Áureo","Позолоченный: Хватка","Agarre dorado","Gilded Grasp","Gilded Grasp","",41975401,42499689,42106473,35159657,35159657,41188969,42237545,42499689,41975401,34111081,0,196608,0
255,"ArtilleryBallistaSpecificOnslaughtHigh",0,0,0,[12066],[1],"Gilded Totemic Onslaught","Assaut totémique doré","Goldener Totem-Ansturm","金色の猛攻トーテム","도금된 토템 맹공","Agressividade Totêmica Áurea","Позолоченный: Тотемный раж","Fervor totémico dorado","Gilded Totemic Onslaught","Gilded Totemic Onslaught","",41968041,42492329,42099113,35152297,35152297,41181609,42230185,42492329,41968041,34103721,0,196608,0
256,"LancingSteelSpecificRandomProjHigh",0,0,0,"[13895,173]","[1,4]","Gilded Scattershot","Tir dispersé doré","Goldener Schmetterschuss","金色の乱射","도금된 난사","Disparo Disperso Áureo","Позолоченный: Залповый огонь","Disparo disperso dorado","Gilded Scattershot","Gilded Scattershot","",42004023,42528311,42135095,35188279,35188279,41217591,42266167,42528311,42004023,34139703,0,196608,0
257,"CobraLashSpecificPoisonRegenHigh",0,0,0,[15823],[-50],"Gilded Bitterwound","Blessure douloureuse dorée","Goldene Bitterwunde","金色の苦い傷","도금된 쓰라린 상처","Ferida Mordaz Áurea","Позолоченный: Едкая рана","Herida amarga dorada","Gilded Bitterwound","Gilded Bitterwound","",41994984,42519272,42126056,35179240,35179240,41208552,42257128,42519272,41994984,34130664,0,196608,0
258,"MoltenStrikeSpecificExtraProjHigh",0,0,0,[19375],[5],"Gilded Molten Eruption","Éruption volcanique dorée","Goldene geschmolzene Eruption","金色の溶岩噴出","도금된 녹아내린 분출","Erupção Derretida Áurea","Позолоченный: Расплавленное извержение","Erupción fundida dorada","Gilded Molten Eruption","Gilded Molten Eruption","",41945245,42469533,42076317,35129501,35129501,41158813,42207389,42469533,41945245,34080925,0,196608,0
