"rownum","Id","SupportCount","PossibleSupports","SecondaryGrantedEffect","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32_80","i32_84","SkillFamily","HASH16","HouseIcon"
10,5344,0,"[11,232,233,234,52,53,54]","","Frost Bomb","Bombe de givre","Frostbombe","フロストボム","서리 폭탄","Bomba Congelante","Морозная бомба","Bomba de escarcha","ระเบิดน้ำแข็ง","寒霜爆","Creates a crystal that pulses with cold for a duration. Each pulse applies a debuff to nearby enemies for a secondary duration which reduces life regeneration rate, and also inflicts Cold Exposure. When the crystal's duration ends, it explodes, dealing heavy cold damage to enemies around it.","Crée un cristal qui inflige des dégâts de froid à chacune de ses pulsations pendant une certaine durée. Ces pulsations appliquent également un effet néfaste aux ennemis pendant une durée secondaire. Cet effet néfaste réduit leur régénération de vie et de bouclier d'énergie, en plus d'appliquer Exposition au froid. Une fois que la durée du cristal se termine, il explose et inflige de lourds dégâts de froid aux ennemis à proximité.","Erzeugt einen Kristall, der für eine Dauer mit Kälte pulsiert. Jeder Impuls wendet bei Gegnern im Umkreis für eine sekundäre Dauer eine Schwächung an, die die Lebensregenerations-Rate verringert und Kälte-Anfälligkeit verursacht. Nach Ablauf der Dauer explodiert der Kristall und fügt Gegnern im Umkreis schweren Kälteschaden zu.","持続時間中冷気のパルスを放つクリスタルを作成する。それぞれのパルスは近くの敵に副次的持続時間の間ライフ自動回復速度を減少させるデバフを付与し、さらに曝露(冷気)も付与する。クリスタルの持続時間が終わると、クリスタルは爆発し、周囲の敵に大きな冷気ダメージを与える。","일정 시간 동안 냉기로 파동치는 수정을 생성합니다. 파동이 칠 때마다 주변의 적들에게 2차 지속시간 동안 디버프를 줍니다. 디버프는 생명력 재생 속도를 낮추고 냉기 노출을 유발합니다. 수정의 지속시간이 종료되면, 폭발하여 주변의 적들에게 큰 냉기 피해를 줍니다.","Cria um cristal que pulsa de frio por um período. Cada pulso aplica uma penalidade aos inimigos próximos por um período secundário, reduzindo sua taxa de regeneração de vida e aplicando exposição ao frio. Quando a duração do cristal termina, ele explode, causando dano considerável de frio aos inimigos ao redor.","На некоторое время создаёт пульсирующий холодом кристалл. Каждый импульс на вторичный промежуток времени накладывает отрицательный эффект на ближайших врагов, который снижает их скорость регенерации здоровья, а также накладывает восприимчивость к холоду. По окончании действия кристалл взрывается, нанося мощный урон от холода всем врагам вокруг.","Crea un cristal que emite pulsos de hielo durante un tiempo. Cada pulso aplica un efecto nocivo a los enemigos cercanos durante un período de tiempo secundario que reduce su velocidad de regeneración de vida y también aplica exposición al hielo. Cuando finaliza la duración del cristal, este explota e inflige un gran daño de hielo a los enemigos que están a su alrededor.","Frost Bomb\r\nสร้างผลึกน้ำแข็งที่จะกระจายคลื่นออกมาเป็นระยะเวลาหนึ่ง แต่ละคลื่นจะสร้างดีบัฟต่อศัตรูที่อยู่ใกล้เป็นระยะเวลารองที่จะลดความเร็วในการ ฟื้นฟูพลังชีวิต ทั้งยังสร้างสถานะ พ่ายแก่น้ำแข็ง อีกด้วย ผลึกน้ำแข็งจะระเบิดเมื่อหมดเวลา สร้างความเสียหาย น้ำแข็ง อย่างรุนแรงต่อศัตรูรอบผลึกน้ำแข็ง","產生一塊在持續時間內發出冰冷脈衝的水晶。每道脈衝會對附近敵人施加具有第二段持續時間、減少其生命回復率，並造成冰冷曝曬的減益效果。水晶會在持續時間結束時爆炸，對其周圍的敵人造成高額冰冷傷害。",4,100,"",10557,""
11,5780,2,"[0,1,37,38,39,68,69,70,99,100,101,142,154,155,156]","","Frostbolt","Globe de givre","Frostkugel","フロストボルト","서리 구체","Seta Gélida","Морозный шар","Descarga de escarcha","บอลเยือกแข็ง","寒冰彈","Fires a slow-moving projectile that pierces through enemies, dealing cold damage.","Un projectile sphérique infligeant des dégâts de froid qui se déplace lentement tout en transperçant les ennemis.","Feuert ein langsames Projektil ab, das Gegner durchbohrt und Kälteschaden verursacht.","敵を貫通するゆっくりと動く投射物を放ち、冷気ダメージを与える。","천천히 움직이는 투사체를 시전하여 적들을 관통하고 냉기 피해를 줍니다.","Dispara um projétil lento que atravessa inimigos, causando dano de frio.","Выпускает медленно движущийся снаряд, проходящий сквозь врагов и наносящий урон от холода.","Dispara un proyectil de movimiento lento que perfora a los enemigos e inflige daño de hielo.","Frostbolt\r\nยิงโพรเจกไทล์ที่เคลื่อนที่อย่างเชื่องช้าซึ่งเจาะทะลุศัตรู สร้างความเสียหาย น้ำแข็ง","發射移動緩慢、穿透敵人的投射物，造成冰冷傷害。",1,100,"",33663,""
12,5808,2,"[37,38,39,232,233,234,49,50,51,80,81,82,55,56,57,59,60,61]",5809,"Vortex","Vortex","Vortex","ヴォーテックス","소용돌이","Vórtice","Пурга","Vórtice","น้ำวน","漩渦","An icy blast explodes around the caster, dealing cold damage to enemies, and leaving behind a whirling vortex which deals cold damage over time and chills enemies caught in it.","Une explosion de glace autour de vous qui inflige des dégâts de froid aux ennemis et laisse un vortex tourbillonnant derrière elle. Le vortex inflige des dégâts de froid sur la durée et frigorifie les ennemis qui s'y trouvent.","Um den Wirkenden wird eine eisige Explosion gezündet, die bei Gegnern Kälteschaden verursacht und einen wirbelnden Vortex hinterlässt, der Kälteschaden über Zeit verursacht und Gegner unterkühlt, die sich darin aufhalten.","使用者の周りに氷の爆発が起こり、敵に冷気ダメージを与え、渦を残す。その渦は敵に冷気の継続ダメージを与え、敵を冷却状態にする。","시전자 주위에 얼음 폭발을 일으켜 냉기 피해를 줍니다. 또한 소용돌이를 남겨 지속 냉기 피해를 주고 적들을 냉각시킵니다.","Uma explosão gelada acontece ao redor do conjurador, causando dano de frio aos inimigos e criando um vórtice que causa dano de frio degenerativo e esfria os alvos atingidos por ele.","Создаёт вокруг сотворившего умение ледяной взрыв, наносящий урон от холода врагам. В области действия порывы ледяного ветра наносят врагам постепенный урон от холода и охлаждают их.","Una explosión de hielo estalla alrededor del personaje e inflige daño de hielo a los enemigos. También deja un vórtice giratorio detrás de sí que inflige daño de hielo degenerativo y escarcha a los enemigos a los que atrapa.","Vortex\r\nระเบิดน้ำแข็งรอบผู้ร่าย สร้างความเสียหาย น้ำแข็ง ให้กับศัตรู และทิ้งวงน้ำวนไว้เพื่อสร้างความเสียหาย น้ำแข็ง ต่อเนื่อง และสร้างสถานะ หนาวเย็น ต่อศัตรูที่อยู่ในพื้นที่","施放者周圍發生寒冰爆破，對敵人造成冰冷傷害，並留下一道漩渦，對其中的敵人造成冰冷持續傷害和冰緩。",28,100,1,31928,""
13,62,2,"[37,38,39,99,100,101,80,81,82,68,69,70,102,148,149,150,168,169,170,83,84,85,244]","","Ice Nova","Nova de glace","Eisnova","アイスノヴァ","얼음 폭발","Nova Glacial","Кольцо льда","Nova de hielo","น้ำแข็งกระจาย","冰霜新星","A circle of ice expands from the caster.","Un cercle frigorifiant de glace s'étend autour du lanceur.","Ein unterkühlender Kreis aus Eis breitet sich vom Wirkenden aus.","凍える氷の輪が使用者の周囲に放たれる。","시전자를 중심으로 얼음이 원형으로 퍼져나갑니다.","Um círculo de gelo se expande ao redor do conjurador.","Создаёт расходящееся от того, кто сотворил умение, кольцо льда.","Un círculo de hielo se expande desde el personaje.","Ice Nova\r\nวงน้ำแข็งแผ่ขยายออกมาจากผู้ร่าย","從施放者擴散出一道冰冷之環。",12,100,"",61497,""
14,63,2,"[37,38,39,99,100,101,80,81,82,68,69,70,102,148,149,150,168,169,170]","","Ice Nova of Projection","Nova de glace de la Projection","Eisnova der Projektion","投影のアイスノヴァ","투영의 얼음 폭발","Nova Glacial de Projeção","Кольцо льда проекции","Nova de hielo de proyección","น้ำแข็งกระจายแห่งการถ่ายทอด","投射之冰霜新星","A circle of ice expands from the target.","Un cercle frigorifiant de glace s'étend autour de la cible.","Ein unterkühlender Kreis aus Eis breitet sich vom Ziel aus.","凍える氷の輪が対象の周囲に放たれる。","대상을 중심으로 얼음이 원형으로 퍼져나갑니다.","Um círculo de gelo se expande do alvo.","Создаёт расходящееся от цели кольцо льда.","Un círculo de hielo se expande desde el objetivo.","Ice Nova of Projection\r\nวงน้ำแข็งแผ่ขยายออกมาจากเป้าหมาย","從目標擴散出一道冰冷之環。",12,100,"",61471,""
15,11450,1,"[37,38,39,232,233,234,49,50,51,168,169,170]",11451,"Flame Wall","Mur de flammes","Feuermauer","フレイムウォール","화염 벽","Parede de Fogo","Стена пламени","Muro de fuego","กำแพงไฟ","烈焰之牆","Creates a wall of fire for a duration, which deals burning damage to everything in its area. Each enemy that enters the wall also receives a secondary burning debuff which persists for a short duration after leaving the wall. Non-enemy projectiles fired through the wall deal added fire damage and apply the wall's secondary debuff on hit.","Dresse un mur de feu pendant une certaine durée. Ces flammes infligent des Dégâts de Brûlure aux ennemis qui le franchissent, et leur applique également un effet néfaste secondaire qui les Brûle pendant un court instant après qu'ils aient quitté le Mur de flammes. Tous les projectiles alliés tirés à travers le Mur de flammes bénéficient de Dégâts de feu supplémentaires et appliquent également l'effet néfaste secondaire.","Erzeugt für eine Dauer eine Feuermauer, die in ihrem gesamten Bereich Brandschaden verursacht. Jeder Gegner, der durch die Mauer tritt, erhält eine sekundäre Brandschwächung, die nach dem Verlassen der Mauer für eine kurze Dauer anhält. Nicht gegnerische Projektile, die durch die Feuermauer abgefeuert werden, verursachen zusätzlichen Feuerschaden und wenden bei Treffer die sekundäre Schwächung der Mauer an.","一定時間持続する炎の壁を生成し、範囲内の全ての敵に燃焼ダメージを与える。壁の範囲内に入った全ての敵は壁から離れても短い間持続する燃焼ダメージを与える副次的デバフを受ける。敵以外が放ち壁を通った投射物は追加の火ダメージを与え、ヒット時にフレイムウォールの副次的デバフを与えるようになる。","일정 시간 동안 불꽃으로 벽을 생성하여 사정거리 내에 있는 모든 것에 화염 피해를 줍니다. 벽에 들어가는 적은 벽을 떠난 후 짧은 시간 동안 지속되는 2차 화상 디버프를 받습니다. 적의 것이 아닌 투사체가 이 벽을 통과하여 발사되면 투사체에 화염 피해가 추가되고, 명중 시 벽과 동일한 2차 화상 디버프를 줍니다.","Cria uma parede de fogo temporária que causa dano por queimadura a tudo na área afetada. Inimigos que entram na área sofrem uma penalidade secundária de queimadura, que persiste por um período mesmo após saírem dela. Projéteis aliados que atravessam a parede causam dano de fogo adicional e aplicam a mesma penalidade secundária ao atingir.","Создаёт временную стену огня, которая наносит урон от горения всему вокруг. Каждый коснувшийся стены враг также получает второстепенный отрицательный эффект горения, сохраняющийся короткое время после того, как противник отойдёт от стены. Снаряды, пущенные не противниками и пролетевшие сквозь стену, наносят дополнительный урон от огня и накладывает второстепенный отрицательный эффект горения при попадании.","Crea un muro de fuego que dura un cierto tiempo y que inflige daño de incendio a todo lo que se encuentra en su área. Los enemigos que entran en el muro también reciben un efecto nocivo de incendio secundario que persiste durante un breve periodo de tiempo después de que salgan del muro. Cualquier proyectil que se dispare a través del muro inflige daño de fuego agregado y aplica el efecto nocivo secundario del muro al impactar.","Flame Wall\r\nสร้างกำแพงไฟขึ้นมาเป็นระยะเวลาหนึ่ง ซึ่งจะสร้างความเสียหาย ติดไฟ ให้กับศัตรูที่อยู่ในพื้นที่ ศัตรูที่เข้ามาในบริเวณของกำแพงจะติดดีบัฟรอง ติดไฟ ซึ่งมีระยะเวลาสั้นๆ หลังจากที่ออกจากกำแพง โพรเจกไทล์ของผู้ที่ไม่ใช่ศัตรูที่ยิงผ่านกำแพงนี้จะมีการเสริมความเสียหาย ไฟ และจะสร้างดีบัฟรองของกำแพงต่อศัตรูที่ถูกปะทะอีกด้วย","產生一道火焰之牆，對其中所有事物造成燃燒傷害。進入牆中的敵人也會受到第二種燃燒減益效果，在離開牆後持續一小段時間。穿越牆面的非敵人投射物會造成附加火焰傷害，並在擊中時造成牆面的第二種減益效果。",4,100,1,57450,""
16,1013,0,"[11,232,233,234,49,50,51,159]","","Frost Wall","Mur de glace","Frostmauer","フロストウォール","서리 방벽","Parede de Gelo","Стена льда","Muro de hielo","กำแพงน้ำแข็ง","冰霜之牆","Creates a wall of ice which holds back enemies. Targets under the wall are damaged and pushed back.","Un sort qui crée un mur de glace qui retient les ennemis. Les cibles sous le mur lors de sa formation sont endommagées et projetées en arrière.","Erschafft eine Mauer aus Eis, um Gegner zurückzuhalten. Ziele unter der Mauer nehmen Schaden und werden zurückgestoßen.","敵を食い止める氷の壁を生成する。壁が生成された際に上の敵はダメージを受け、後ろに押し出される。","얼음의 벽을 생성하여 적을 저지합니다. 방벽이 생성되는 위치에 있던 적들은 피해를 받고 뒤로 밀려납니다.","Cria uma parede de gelo que bloqueia inimigos. Alvos atingidos pela parede sofrem dano e são empurrados.","Создаёт ледяную стену, которая сдерживает врагов. Цели у стены получают урон и отбрасываются.","Crea un muro de hielo que detiene a los enemigos. Los objetivos que están debajo del muro reciben daño y son empujados hacia atrás.","Frost Wall\r\nสร้างกำแพงน้ำแข็งซึ่งกั้นศัตรูเอาไว้ เป้าหมายภายใต้กำแพงจะได้รับความเสียหายและถูกดันออกไป","聚集空氣中的水分，製造一堵能阻擋敵人行動的冰牆。在冰牆成形位置的敵人將會受到傷害並且被擊退。",4,100,1,50009,""
17,5031,2,"[11,12,232,233,234,49,51,50,68,69,70,148,149,150,80,81,82,59,60,61,83,84,85]","","Icestorm","Tempête de glace","Eissturm","アイスストーム","얼음태풍","Tempestade de Gelo","Ледяной шторм","Tormenta de hielo","พายุน้ำแข็ง","冰風暴","Icy bolts rain down over the targeted area. They explode when landing, dealing damage to nearby enemies and chilling them, as well as causing patches of chilled ground.","Des cristaux de glace s'abattent sur la zone ciblée. Ils explosent en touchant le sol, infligeant des dégâts aux ennemis à proximité tout en les frigorifiant. Frigorifie également le sol à l'impact.","Eisblitze jagen über das Zielgebiet dahin. Wenn sie landen, explodieren sie, verursachen bei Gegnern im Umkreis Schaden, unterkühlen sie und den Boden an dieser Stelle.","氷の矢が対象の範囲に降り注ぐ。地面に達すると爆発し、近くにいる敵にダメージを与え、冷却する。同時に冷却領域を生成する。","목표 지역에 얼음 화살이 쏟아져 내립니다. 땅에 떨어진 화살은 주변의 적들에게 피해를 주고 냉각시키는 동시에 땅을 냉기로 뒤덮습니다.","Raios gelados caem na área selecionada. Ao tocarem no chão, explodem, causando dano aos inimigos próximos e esfriando-os, bem como criando trechos de chão gelado.","Вызывает град из ледяных осколков. Осколки взрываются при падении, нанося врагам урон и охлаждая их, и оставляя участки замёрзшей земли.","Una lluvia de bolas de hielo cae sobre el área objetivo. Las bolas de hielo explotan al impactar para infligir daño a los enemigos cercanos, escarcharlos y crear zonas de suelo escarchado.","Icestorm\r\nฝนน้ำแข็งตกทั่วพื้นที่เป้าหมาย ลูกไฟจะระเบิดเมื่อตกถึงพื้น สร้างความเสียหายให้กับศัตรูที่อยู่ใกล้และสร้างสถานะ หนาวเย็น ต่อมันพร้อมทั้งสร้าง พื้นหนาวเย็น อีกด้วย","冰箭如雨般灑落在目標區域。落地時將會爆炸，對周圍敵人造成傷害並冰緩它們，並造成冰緩地面。",28,100,1,28637,"Art/2DArt/SkillIcons/HouseBardiyaSkill.dds"
18,2401,0,"[11,232,233,234,49,50,51,58]","","Flammability","Inflammabilité","Entflammbarkeit","フラマビリティ","인화성","Inflamabilidade","Горючесть","Inflamabilidad","ไวไฟ","易燃","Curses all targets in an area, lowering their fire resistance and giving them a chance to be ignited when hit.","Maudit tous les ennemis dans la zone ciblée. Cette Malédiction réduit la Résistance au feu de ces ennemis et leur donne des Chances d'être Embrasés lorsqu'ils sont touchés.","Verflucht alle Ziele in einem Bereich, was ihren Feuerwiderstand verringert und eine Chance gewährt, dass diese bei Treffer entzündet werden.","範囲内の敵を呪い、敵の火耐性を下げ、ヒット時に発火する確率を上げる。","범위 내 모든 대상에게 저주를 걸어 화염 저항을 낮춥니다. 저주 상태에서 피격되는 적은 일정 확률로 점화됩니다.","Amaldiçoa os alvos em uma área, reduzindo sua resistência a dano de fogo e possibilitando que sejam incendiados ao serem atingidos.","Проклинает всех врагов в области, cнижая их сопротивление огню и повышая шанс поджечь их при ударе.","Maldice a todos los objetivos en un área para disminuir su resistencia al fuego y otorgarles una probabilidad de que se quemen cuando reciben un impacto.","Flammability\r\nสาปทุกเป้าหมายในพื้นที่ ทำให้พวกมันมีค่าต้านทาน ไฟ น้อยลง และทำให้พวกมันมีโอกาสติดสถานะ ลุกไหม้ เมื่อถูกปะทะ","詛咒區域內所有目標，降低他們的火焰抗性，並使他們在遭擊中時有一定機率受到點燃。",24,100,"",40521,""
19,2416,0,"[11,232,233,234,49,50,51,58]","","Frostbite","Frilosité","Schneidende Kälte","フロストバイト","동상","Enregelamento","Обморожение","Congelación","น้ำแข็งกัด","凍傷","Curses all targets in an area, lowering their cold resistance and giving them a chance to be frozen when hit.","Maudit tous les ennemis dans la zone ciblée. Cette Malédiction réduit la Résistance au froid de ces ennemis et leur donne des Chances d'être Gelés lorsqu'ils sont touchés.","Verflucht alle Ziele in einem Bereich, was ihren Kältewiderstand verringert und eine Chance gewährt, dass diese bei Treffer eingefroren werden.","範囲内の敵を呪い、敵の冷気耐性を下げ、ヒット時に凍結する確率を上げる。","범위 내 모든 대상에게 저주를 걸어 냉기 저항을 낮춥니다. 저주 상태에서 피격되는 적은 일정 확률로 동결됩니다.","Amaldiçoa os alvos em uma área, reduzindo sua resistência ao frio e tornando-os suscetíveis ao congelamento quando atingidos.","Проклинает всех врагов в области, cнижая их сопротивление холоду и повышая шанс заморозить их при ударе.","Maldice a todos los objetivos en un área para disminuir su resistencia al hielo y otorgarles una probabilidad de que se congelen cuando reciben un impacto.","Frostbite\r\nสาปทุกเป้าหมายในพื้นที่ ทำให้พวกมันมีค่าต้านทาน น้ำแข็ง น้อยลง และทำให้พวกมันมีโอกาสติดสถานะ แช่แข็ง เมื่อถูกปะทะ","詛咒區域內所有目標，降低他們的冰冷抗性，並使他們在遭擊中時有一定機率受到冰凍。",24,100,"",6479,""
