"rownum","Currency","i32_16","i32_20","i32_24","Cost","i32_32","[rid]_36","[rid]_52","NPCAudio","i32_84","string_88","string_88 (French)","string_88 (German)","string_88 (Japanese)","string_88 (Korean)","string_88 (Portuguese)","string_88 (Russian)","string_88 (Spanish)","string_88 (Thai)","string_88 (Traditional Chinese)","bool_96","i32_97","i32_101","i32_105","bool_109"
243,194,1,3,3,563,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1406,""
244,195,0,2,2,700,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1750,""
245,195,1,3,3,875,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,2188,""
246,196,0,2,2,300,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,750,""
247,196,1,3,3,375,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,938,""
248,197,0,2,2,450,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1125,""
249,197,1,3,3,563,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1406,""
250,198,0,2,2,700,1899,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,1750,""
251,198,1,3,3,875,1876,[],[],"",0,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,2188,""
252,199,0,2,2,1500,1878,[],[],26987,50,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,3750,""
253,200,0,2,2,1500,1878,[],[],26993,50,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,3750,""
254,201,0,2,2,1500,1878,[],[],26990,50,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,3750,""
255,202,0,2,2,1500,1878,[],[],26996,50,"<augmented>{Upgrade this item to Rare, or Reforge if already Rare, with one guaranteed property}","<augmented>{Améliore cet objet en un objet Rare, ou le Remodèle s'il est déjà Rare, avec une propriété garantie}","<augmented>{Verbessert diesen Gegenstand zu einem seltenen Gegenstand, oder würfelt ihn neu, falls er bereits selten ist, mit einer garantierten Eigenschaft.}","<augmented>{プロパティを一個保証した状態でこのアイテムをレアにアップグレードするか、またはすでにレアの場合はリフォージする}","<augmented>{이 아이템을 희귀 아이템으로 업그레이드하거나 이미 희귀 아이템인 경우 재련, 아래 해당하는 속성 1개 보장}","<augmented>{Atualiza este item para raro, ou o reforja, caso já seja raro, com uma propriedade garantida}","<augmented>{Улучшает предмет до редкого или перековывает редкий предмет, наделяя его одним определённым свойством}","<augmented>{Convierte este objeto en un objeto raro, o lo reforja si ya es raro, y le otorga una propiedad garantizada}","<augmented>{อัพเกรด​ไอเทม​นี้​ให้​เป็น ไอเทม​แรร์ หรือ​สุ่ม​ม็อด​ทุกอย่าง​​ขึ้น​มา​ใหม่​หาก​เป็น​ไอเทม​แรร์​ตั้งแต่​แรก โดย​จะ​มี​ม็อด​พิเศษ 1 อย่าง}","<augmented>{將此物品升級至稀有物品、或重置一件稀有物品的屬性，並且確保一項特定屬性}","",5,8,3750,""
256,1153,0,2,2,15000,1878,[],[],26975,50,"<augmented>{Add Crusader influence and a new Crusader modifier to this item}","<augmented>{Ajoute l'influence du Croisé ainsi qu'un nouveau modificateur du Croisé à cet objet}","<augmented>{Fügt diesem Gegenstand den Einfluss des Kreuzritters und einen neuen Kreuzritter-Modifikator hinzu.}","<augmented>{このアイテムにクルセイダーインフルエンスを追加しクルセイダーモッドを1個追加する}","<augmented>{이 아이템에 십자군 영향력 및 신규 십자군 속성 추가}","<augmented>{Adiciona a influência de Cruzado e um novo modificador de Cruzado a este item}","<augmented>{Добавляет влияние Крестоносца и новое свойство Крестоносца на предмет}","<augmented>{Agrega influencia del Cruzado y un nuevo modificador del Cruzado a este objeto}","<augmented>{เพิ่ม​อิทธิพล ผู้​พิชิต​อธรรม และเพิ่ม ม็อด​ผู้​พิชิต​อธรรม 1 อย่างให้กับ​ไอเทม​นี้}","<augmented>{為此物品添加聖戰軍王勢力和一條聖戰軍王詞綴}",1,8,12,0,1
257,1154,0,2,2,15000,1878,[],[],"",0,"<augmented>{Add Redeemer influence and a new Redeemer modifier to this item}","<augmented>{Ajoute l'influence de la Rédemptrice ainsi qu'un nouveau modificateur de la Rédemptrice à cet objet}","<augmented>{Fügt diesem Gegenstand den Einfluss der Erlöserin und einen neuen Erlöserin-Modifikator hinzu.}","<augmented>{このアイテムにレディーマーインフルエンスを追加しレディーマーモッドを1個追加する}","<augmented>{이 아이템에 대속자 영향력 및 신규 대속자 속성 추가}","<augmented>{Adiciona a influência de Redentora e um novo modificador de Redentora a este item}","<augmented>{Добавляет влияние Избавителя и новое свойство Избавителя на редкий предмет}","<augmented>{Agrega influencia de la Redentora y un nuevo modificador de la Redentora a este objeto}","<augmented>{เพิ่ม​อิทธิพล ผู้​พิชิต​บาป และเพิ่ม ม็อด​ผู้​พิชิต​บาป 1 อย่างให้กับ​ไอเทม​นี้}","<augmented>{為此物品添加救贖者勢力和一條救贖者詞綴}",1,8,12,0,1
258,1155,0,2,2,15000,1878,[],[],"",0,"<augmented>{Add Hunter influence and a new Hunter modifier to this item}","<augmented>{Ajoute l'influence du Chasseur ainsi qu'un nouveau modificateur du Chasseur à cet objet}","<augmented>{Fügt diesem Gegenstand den Einfluss des Jägers und einen neuen Jäger-Modifikator hinzu.}","<augmented>{このアイテムにハンターインフルエンスを追加しハンターモッドを1個追加する}","<augmented>{이 아이템에 사냥꾼 영향력 및 신규 사냥꾼 속성 추가}","<augmented>{Adiciona a influência de Caçadora e um novo modificador de Caçadora a este item}","<augmented>{Добавляет влияние Охотника и новое свойство Охотника на редкий предмет}","<augmented>{Agrega influencia del Cazador y un nuevo modificador del Cazador a este objeto}","<augmented>{เพิ่ม​อิทธิพล ผู้​พิชิต​เหยื่อ และเพิ่ม ม็อด​ผู้​พิชิต​เหยื่อ 1 อย่างให้กับ​ไอเทม​นี้}","<augmented>{為此物品添加狩獵者勢力和一條狩獵者詞綴}",1,8,12,0,1
259,1156,0,2,2,15000,1878,[],[],"",0,"<augmented>{Add Warlord influence and a new Warlord modifier to this item}","<augmented>{Ajoute l'influence du Seigneur de guerre ainsi qu'un nouveau modificateur du Seigneur de guerre à cet objet}","<augmented>{Fügt diesem Gegenstand den Einfluss des Kriegsfürsten und einen neuen Kriegsfürst-Modifikator hinzu.}","<augmented>{このアイテムにウォーロードインフルエンスを追加しウォーロードモッドを1個追加する}","<augmented>{이 아이템에 전쟁군주 영향력 및 신규 전쟁군주 속성 추가}","<augmented>{Adiciona a influência de Senhor da Guerra e um novo modificador de Senhor da Guerra a este item}","<augmented>{Добавляет влияние Вождя и новое свойство Вождя на редкий предмет}","<augmented>{Agrega influencia del Jefe de guerra y un nuevo modificador del Jefe de guerra a este objeto}","<augmented>{เพิ่ม​อิทธิพล ผู้​พิชิต​ศึก และเพิ่ม ม็อด​ผู้​พิชิต​ศึก 1 อย่างให้กับ​ไอเทม​นี้}","<augmented>{為此物品添加總督軍勢力和一條總督軍詞綴}",1,8,12,0,1
260,55,0,2,2,15000,1878,[],[],"",0,"<augmented>{Add Shaper influence and a new Shaper modifier to this item}","<augmented>{Ajoute l'influence du Façonneur ainsi qu'un nouveau modificateur du Façonneur à cet objet}","<augmented>{Fügt diesem Gegenstand den Einfluss des Schöpfers und einen neuen Schöpfer-Modifikator hinzu.}","<augmented>{このアイテムにシェイパーインフルエンスを追加しシェイパーモッドを1個追加する}","<augmented>{이 아이템에 쉐이퍼 영향력 및 신규 쉐이퍼 속성 추가}","<augmented>{Adiciona a influência de Criador e um novo modificador de Criador a este item}","<augmented>{Добавляет влияние Создателя и новое свойство Создателя на предмет}","<augmented>{Agrega influencia del Creador y un nuevo modificador del Creador a este objeto}","<augmented>{เพิ่ม​อิทธิพล เชปเปอร์ และเพิ่ม ม็อด​เชปเปอร์ 1 อย่างให้กับ​ไอเทม​นี้}","<augmented>{為此物品添加塑界者勢力和一條塑界者詞綴}",1,8,12,0,1
261,56,0,2,2,15000,1878,[],[],"",0,"<augmented>{Add Elder influence and a new Elder modifier to this item}","<augmented>{Ajoute l'influence de l'Ancien ainsi qu'un nouveau modificateur de l'Ancien à cet objet}","<augmented>{Fügt diesem Gegenstand den Einfluss des Ältesten und einen neuen Ältesten-Modifikator hinzu.}","<augmented>{このアイテムにエルダーインフルエンスを追加しエルダーモッドを1個追加する}","<augmented>{이 아이템에 엘더 영향력 및 신규 엘더 속성 추가}","<augmented>{Adiciona a influência de Ancião e um novo modificador de Ancião a este item}","<augmented>{Добавляет влияние Древнего и новое свойство Древнего на предмет}","<augmented>{Agrega influencia del Antiguo y un nuevo modificador del Antiguo a este objeto}","<augmented>{เพิ่ม​อิทธิพล เอลเดอร์ และเพิ่ม ม็อด​เอลเดอร์ 1 อย่างให้กับ​ไอเทม​นี้}","<augmented>{為此物品添加異界尊師勢力和一條異界尊師詞綴}",1,8,12,0,1
262,1204,0,2,2,10000,1878,[],[],"",0,"<augmented>{Unpredictably raise the strength of a Searing Exarch or Eater of Worlds Modifier on this item, while lowering the strength of another}","<augmented>{Augmente de manière imprévisible la puissance d'un modificateur de l'Exarque ardent ou du Mangeur de mondes sur cet objet et diminue la puissance de l'autre}","<augmented>{Erhöht auf unvorhersehbare Weise die Stärke eines Modifikators des Brennenden Exarchen oder des Weltenfressers auf einem Gegenstand und verringert die Stärke eines anderen.}","<augmented>{このアイテムのシアリングエグザークまたはイーター・オブ・ワールズモッドの一方の強度を上げ、もう一方の強度を下げる。}","<augmented>{이 아이템에 부여된 작열의 총주교 또는 세계 포식자 속성 하나의 강도를 예측 불가능하게 올리고, 나머지 하나의 강도는 낮춤}","<augmented>{Aumenta a força de um modificador do Exarca Calcinante ou Devorador de Mundos de forma imprevisível deste item e reduz a força de outro}","<augmented>{Непредсказуемым образом повышает силу одного свойства Пламенного экзарха или Пожирателя миров на предмете и снижает силу другого}","<augmented>{Aumenta de forma impredecible la fuerza de un modificador del Exarca abrasador o del Devorador de mundos de este objeto, y a la vez disminuye la fuerza de otro}","<augmented>{สุ่ม​เพิ่ม​กำลัง​ของ​ม็อด อุปราช​อาบเพลิง หรือ ผู้กลืนกิน​โลกา 1 อย่าง บน​ไอเทม​นี้​อย่าง​ไม่อาจ​คาดเดา​ได้ แล้ว​ลด​กำลัง​ของ​ม็อด​อีก​อย่าง​หนึ่ง}","<augmented>{隨機提升物品上灼烙總督或吞噬天地其中一個詞綴的強度，並弱化另一個}","",12,16,25000,""
263,1627,0,2,2,5000,1878,[],[],"",0,"<augmented>{If The Searing Exarch is dominant, reroll prefix modifiers. If The Eater of Worlds is dominant, reroll suffix modifiers}","<augmented>{Si l'Exarque ardent est dominant, relance les préfixes. Si le Mangeur de mondes est dominant, relance les suffixes}","<augmented>{Wenn der Brennende Exarch den Gegenstand beherrscht, werden die Präfix-Modifikatoren verändert. Wenn der Weltenfresser den Gegenstand beherrscht, werden die Suffix-Modifikatoren verändert.}","<augmented>{シアリング・エグザークが優位な場合、プレフィックスモッドをリロールする。\r\nイーター・オブ・ワールズが優位な場合、サフィックスモッドをリロールする。}","<augmented>{작열의 총주교가 지배적인 경우 접두어 속성을 무작위 변경합니다. 세계 포식자가 지배적인 경우 접미어 속성을 무작위 변경합니다.}","<augmented>{Se o Exarca Calcinante for dominante, recria os modificadores de prefixo. Se o Devorador de Mundos for dominante, recria os modificadores de sufixo}","<augmented>{Если преобладает Пламенный экзарх, изменяет свойства-префиксы. Если преобладает Пожиратель миров, изменяет свойства-суффиксы.}","<augmented>{Si el Exarca abrasador es el dominante, aleatoriza los modificadores de prefijo. Si el Devorador de mundos es el dominante, aleatoriza los modificadores de sufijo}","<augmented>{หาก​อุปราช​​อาบเพลิง​ครอบงำ สุ่ม​ ม็อด​พรีฟิกซ์ ทุกอย่าง​ขึ้น​มา​ใหม่\r\nหาก​ผู้กลืนกิน​​โลกา​ครอบงำ สุ่ม ​ม็อด​ซัฟฟิกซ์ ทุกอย่าง​ขึ้น​มา​ใหม่}","<augmented>{若為灼烙總督支配，重骰前綴。若為吞噬天地支配，重骰後綴}",1,12,16,12500,""
