"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","i32_32","string_36","string_44"
149,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleExpedition","Expedition","Expedition","Expedition","エクスペディション","탐험","Expedição","Экспедиция","Expedition","กองสำรวจ","探險","","","","","","","","","","","",-1865240465,"",""
150,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleHarvest","Harvest","Harvest","Harvest","ハーベスト","수확","Colheita","Жатва","Harvest","ฮาร์เวสต์","豐收","","","","","","","","","","","",129209383,"",""
151,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleLegion","Legion","Legion","Legion","リージョン","군단","Legião","Легион","Legion","กองพัน","戰亂","","","","","","","","","","","",-22723043,"",""
152,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleSettlers","Settlers","Settlers","Settlers","セトラーズ","정착자들","Colonos","Поселенцы","Settlers","นักบุกเบิก","拓荒者","","","","","","","","","","","",-676234956,"",""
153,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleDelirium","Delirium","Delirium","Delirium","デリリウム","환영","Delírio","Делириум","Delirium","เดลิเรียม","譫妄","","","","","","","","","","","",-836685494,"",""
154,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleUltimatum","Ultimatum","Ultimatum","Ultimatum","アルティメイタム","결전","Ultimato","Ультиматум","Ultimatum","คำขาด","最後通牒","","","","","","","","","","","",-1365380731,"",""
155,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleBlight","Blight","Blight","Blight","ブライト","역병","Infestação","Скверна","Blight","ไบล์ท","凋落","","","","","","","","","","","",81073548,"",""
156,"MicrotransactionHallowedCryptMapDeviceTrackedStatisticTitleRitual","Ritual","Ritual","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀","","","","","","","","","","","",1822934718,"",""
157,"EShopPanelViewBundlesContainingItemButtonPopup","View in Bundle","Voir en Bundle","Als Paket anzeigen","バンドル内表示","포함 꾸러미 보기","Ver no Pacote","Посмотреть в наборе","Ver en paquete","ดูในชุดสุดคุ้ม","以組合包檢視","","","","","","","","","","","",-1768442183,"",""
158,"MicrotransactionTrackedStatisticTitleNumKillDeathRatio","K/D Ratio","Ratio éliminations/morts","K/D Verhältnis","K/D比","처치/사망 비율","Média A/M","Соотношение У/С","Proporción A/M","สัดส่วนฆ่า/ตาย","擊殺死亡比","","","","","","","","","","","",1405935899,"",""
159,"MicrotransactionTrackedStatisticTitleNumKills","Kills","Éliminations","Tötungen","撃破数","처치","Abates","Убийств","Asesinatos","ฆ่า","擊殺","","","","","","","","","","","",1149078704,"",""
160,"MicrotransactionTrackedStatisticTitleNumDeaths","Deaths","Morts","Tode","死亡数","사망","Mortes","Смертей","Muertes","ตาย","死亡","","","","","","","","","","","",1978256908,"",""
161,"GamepadActionUnstash","Unstash","Extraire de la Réserve","Nehmen","スタッシュから取り出す","보관함에서 꺼내기","Resgatar do Baú","Извлечь из тайника","Retirar","นำออกจากคลัง","從倉庫中取出","","","","","","","","","","","",2135819567,"",""
162,"StashTabEditorPublicDesc","Allow other players to view and request to \r\npurchase items within the stash tab.","Autorisez les autres joueurs à consulter et à acheter\r\nles objets de cet onglet de réserve.","Anderen Spielern erlauben, Gegenstände in der Truhe anzusehen und zum Kauf anzufragen.","他のプレイヤーにスタッシュタブの中のアイテムを閲覧し購入をリクエストできるようにする","다른 플레이어들이 보관함 탭 안에 있는 아이템을 보고\r\n구매 요청을 할 수 있습니다.","Permite que outros jogadores vejam a aba do baú\r\n e peçam para comprar os itens.","Разрешить другим игрокам просматривать\r\nи приобретать предметы в этой секции.","Permite que otros jugadores vean y soliciten \r\ncomprar los objetos de la pestaña de alijo.","อนุญาตให้ไอเทมของคุณสามารถนำไปตั้งขายในเว็บไซต์แลกเปลี่ยนและเครื่องมือจากชุมชนผู้เล่นได้","允許其他玩家瀏覽倉庫頁\r\n並請求購買物品。","","","","","","","","","","","",1353124077,"",""
163,"StashTabEditorAffinityDesc","Assign stash affinities to force item types to be stashed here.\r\nMultiple Stash tabs cannot share the same stash affinity.","Assigner des préférences de réserve pour que certains types d'objets y soient automatiquement rangés.\r\nVous ne pouvez assigner la même préférence de réserve qu'à un seul onglet.","Mit Truhenfach-Zuweisungen erzwingst du, dass bestimmte Gegenstände hier gelagert werden.\r\nMehrere Truhenfächer können nicht dieselbe Truhenfach-Zuweisung haben.","スタッシュアフィニティを割り当て、アイテムタイプをここにスタッシュされるようにする。\r\n複数のスタッシュタブで一つのスタッシュアフィニティを共有することはできません。","보관함 속성을 지정하면 특정 아이템 유형이 이곳에 보관되게 할 수 있습니다.\r\n보관함 탭 여러 개에 하나의 보관함 속성을 지정할 수는 없습니다.","Defina afinidades do baú para forçar certos tipos de item a serem guardados aqui.\r\n Abas diferentes não podem usar a mesma afinidade.","Задайте виды предметов, которые будут принудительно помещаться в эту секцию.\r\nНельзя настроить распределение одних и тех же предметов по нескольким секциям.","Asigna afinidades para forzar a que ciertos tipos de objetos se guarden aquí.\r\nUna misma afinidad no puede estar en varias pestañas.","กำหนดแท็บเป้าหมายเพื่อบังคับให้ไอเทมชนิดต่างๆ ถูกส่งมาเก็บภายในแท็บนี้\r\nคุณไม่สามารถกำหนดแท็บเป้าหมายชนิดหนึ่งให้กับแท็บหลายแท็บได้พร้อมกัน","指定倉庫相容性以強迫物品類型存放在這裡。\r\n多個倉庫頁無法共用相同的倉庫相容性。","","","","","","","","","","","",-827222058,"",""
164,"GamepadActionClearSearch","Clear Search","Effacer la recherche","Suche löschen","検索をクリア","검색 초기화","Limpar Busca","Очистить поиск","Borrar búsqueda","ล้างการค้นหา","清除搜尋","","","","","","","","","","","",-1062489818,"",""
