"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","PackLeader1","PackLeader1 (French)","PackLeader1 (German)","PackLeader1 (Japanese)","PackLeader1 (Korean)","PackLeader1 (Portuguese)","PackLeader1 (Russian)","PackLeader1 (Spanish)","PackLeader1 (Thai)","PackLeader1 (Traditional Chinese)","PackLeader2","PackLeader2 (French)","PackLeader2 (German)","PackLeader2 (Japanese)","PackLeader2 (Korean)","PackLeader2 (Portuguese)","PackLeader2 (Russian)","PackLeader2 (Spanish)","PackLeader2 (Thai)","PackLeader2 (Traditional Chinese)","Mod"
24,"MeleeSkeleton4","Brittle Bandits","Bandits frêles","Spröde Banditen","脆い山賊","말라붙은 도적","Bandidos Frágeis","Хрупкие бандиты","Bandidos quebradizos","Brittle Bandit","枯骨盜賊","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons\r\nUses Puncture","Squelettes <white>{morts-vivants}\r\nUtilise Saignée","<white>{Untote} Skelette\r\nBenutzt Durchstoßen","<white>{不死者}のスケルトン\r\nパンクチャーを使用する","<white>{언데드} 해골.\r\n관통상을 사용합니다.","Esqueletos <white>{mortos-vivos}\r\nUsa Punctura","Скелеты (<white>{нежить})\r\nИспользуют Надрез","Esqueletos <white>{no muertos}\r\nUsan Punción","โครงกระดูก<white>{อันเดด}\r\nใช้ กรีดเลือด (Puncture)","<white>{不死}骷髏\r\n使用放血","","","","","","","","","","","","","","","","","","","","",""
25,"MeleeSkeleton5","Ash Harvesters","Récolteurs de cendre","Ascheernter","灰の収獲者","재 수확자","Coletores de Cinzas","Сборщики пепла","Cosechadores de cenizas","Ash Harvester","餘燼獵捕者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons\r\nUses Cyclone","Squelettes <white>{morts-vivants}\r\nUtilise Cyclone","<white>{Untote} Skelette\r\nBenutzt Wirbelsturm","<white>{不死者}のスケルトン\r\nサイクロンを使用する","<white>{언데드} 해골.\r\n회오리바람을 사용합니다.","Esqueletos <white>{mortos-vivos}\r\nUsa Ciclone","Скелеты (<white>{нежить})\r\nИспользуют Вихрь","Esqueletos <white>{no muertos}\r\nUsan Ciclón","โครงกระดูก<white>{อันเดด}\r\nใช้ พายุหมุน (Cyclone)","<white>{不死}骷髏\r\n使用旋風斬","","","","","","","","","","","","","","","","","","","","",""
26,"MeleeSkeletonwhitenec","Brittle Born-Agains","Ressuscités frêles","Spröde Wiedergeborene","脆い生まれ変わり","말라붙은 거듭난 자","Renascidos Frágeis","Хрупкие возрождённые","Renacidos quebradizos","Brittle Born-Again","重生殘骨","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}骷髏","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}","<white>{Chef de groupe :}\r\n<white>{Celui qui apporte les Âmes}","<white>{Gruppenanführer:}\r\n<white>{Bringer der Seelen}","<white>{パックリーダー：}\r\n<white>{魂をもたらす者}","<white>{무리 우두머리:}\r\n<white>{영혼 인도자}","<white>{Líder do Grupo:}\r\n <white>{Invocador de Almas}","<white>{Лидер группы:}\r\n<white>{Вестник душ}","<white>{Líder del grupo:}\r\n<white>{Invocador de almas}","<white>{หัวหน้ากอง:}\r\n<white>{ผู้นำพาวิญญาณ}","<white>{怪物群首領：}<white>{靈魂侍者}","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Celui qui apporte les Âmes}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Bringer der Seelen}\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{魂をもたらす者}\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{영혼 인도자}\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Invocador de Almas}\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Вестник душ}\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Invocador de almas}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{ผู้นำพาวิญญาณ}\r\nคืนชีพ อันเดด","<white>{怪物群首領：}<white>{靈魂侍者}\r\n復活不死族",""
27,"MeleeSkeleton6","Vault Guardians","Gardiens des caveaux","Gewölbewächter","ヴォルトガーディアン","금고 수호자","Guardiões do Cofre","Хранители склепа","Guardianes de la bóveda","Vault Guardian","寶庫守護者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}骷髏","","","","","","","","","","","","","","","","","","","","",""
28,"MeleeSkeleton7","Sandy Guardians","Gardiens ensablés","Sandige Wächter","砂のガーディアン","모래 수호자","Guardiões Arenosos","Песчаные хранители","Guardianes de arena","Sandy Guardian","沙瀑守護者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}骷髏","","","","","","","","","","","","","","","","","","","","",""
29,"MeleeSkeletonvoll","Voll's Fallen","Déchus de Voll","Gefallene Volls","ヴォールの戦死者","볼의 몰락자","Caídos de Voll","Падшие Волла","Caídos de Voll","Voll's Fallen","骷髏士兵","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconVollSkeletonMelee","<white>{Undead} Skeleton Soldiers","Soldats squelettes <white>{morts-vivants}","<white>{Untote} Skelettsoldaten","<white>{不死者}のスケルトンの兵士","<white>{언데드} 해골 병사.","Esqueletos Soldados <white>{mortos-vivos}","Скелеты-солдаты (<white>{нежить})","Soldados esqueleto <white>{no muertos}","ทหารโครงกระดูก<white>{อันเดด}","<white>{不死}骷髏士兵","<white>{Pack Leader:}\r\n<white>{Knitted Horror}","<white>{Chef de groupe :}\r\n<white>{Horreur suturée}","<white>{Gruppenanführer:}\r\n<white>{Gewirkter Schrecken}","<white>{パックリーダー：}\r\n<white>{編まれた恐怖}","<white>{무리 우두머리:}\r\n<white>{견고한 호러}","<white>{Líder do Grupo:}\r\n <white>{Horror Emaranhado}","<white>{Лидер группы:}\r\n<white>{Клубок ужаса}","<white>{Líder del grupo:}\r\n<white>{Horror tejido}","<white>{หัวหน้ากอง:}\r\n<white>{Knitted Horror}","<white>{怪物群首領：}<white>{織襯恐懼}","<white>{Pack Leader:}\r\n<white>{Knitted Horror}\r\nInflicts <craftingphysical>{Bleeding}\r\nSpawns Voll's Fallen on Death","<white>{Chef de groupe :}\r\n<white>{Horreur suturée}\r\nInflige le <craftingphysical>{Saignement}\r\nFait apparaître un Déchu de Voll en mourant","<white>{Gruppenanführer:}\r\n<white>{Gewirkter Schrecken}\r\nVerursacht <craftingphysical>{Bluten}\r\nBeschwört bei Tod Gefallene Volls","<white>{パックリーダー：}\r\n<white>{編まれた恐怖}\r\n<craftingphysical>{出血}を付与する\r\n死亡時にヴォールの戦死者をスポーンする","<white>{무리 우두머리:}\r\n<white>{견고한 호러}\r\n<craftingphysical>{출혈}을 유발합니다.\r\n사망 시 볼의 몰락자를 생성합니다.","<white>{Líder do Grupo:}\r\n <white>{Horror Emaranhado}\r\nInflige <craftingphysical>{Sangramento}\r\nGera Caídos de Voll ao morrer","<white>{Лидер группы:}\r\n<white>{Клубок ужаса}\r\nНакладывает <craftingphysical>{кровотечение}\r\nПорождает падшего Волла при смерти","<white>{Líder del grupo:}\r\n<white>{Horror tejido}\r\nAplica <craftingphysical>{sangrado}\r\nGenera Caídos de Voll al morir","<white>{หัวหน้ากอง:}\r\n<white>{Knitted Horror}\r\nสร้างสถานะ <craftingphysical>{เลือดไหล}\r\nเรียก Voll's Fallen เมื่อตาย","<white>{怪物群首領：}<white>{織襯恐懼}\r\n造成 <craftingphysical>{流血}\r\n死亡時生成福爾墮靈",""
30,"MeleeSkeleton8","Ancient Workers","Travailleur ancien","Uralte Arbeiter","古代の労働者","고대 노동자","Trabalhadores Anciãos","Древние рабочие","Trabajadores ancestrales","Ancient Worker","遠古工人","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}骷髏","","","","","","","","","","","","","","","","","","","","",""
31,"MeleeSkeleton","Skeletons","Squelettes","Skelette","スケルトン","해골","Esqueletos","Скелеты","Esqueletos","Skeleton","骷髏","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconMeleeSkeleton","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}怪物會造成<craftingcold>{冰冷}傷害\r\n不時有死靈法師支援，會復活不死並且詛咒玩家","","","","","","","","","","","","","","","","","","","","",""
32,"MeleeSkeletonNecro","Skeletons","Squelettes","Skelette","スケルトン","해골","Esqueletos","Скелеты","Esqueletos","Skeleton","骷髏","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconNecromancerSkeletonMelee","<white>{Undead} Skeletons","Squelettes <white>{morts-vivants}","<white>{Untote} Skelette","<white>{不死者}のスケルトン","<white>{언데드} 해골.","Esqueletos <white>{mortos-vivos}","Скелеты (<white>{нежить})","Esqueletos <white>{no muertos}","โครงกระดูก<white>{อันเดด}","<white>{不死}怪物會造成<craftingcold>{冰冷}傷害\r\n不時有死靈法師支援，會復活不死並且詛咒玩家","<white>{Pack Leader:}\r\n<white>{Diabolist}","<white>{Chef de groupe :}\r\n<white>{Diaboliste}","<white>{Gruppenanführer:}\r\n<white>{Diabolist}","<white>{パックリーダー：}\r\n<white>{ディアボリスト}","<white>{무리 우두머리:}\r\n<white>{악마술사}","<white>{Líder do Grupo:}\r\n <white>{Diabolistaa}","<white>{Лидер группы:}\r\n<white>{Сатанист}","<white>{Líder del grupo:}\r\n<white>{Diabolista}","<white>{หัวหน้ากอง:}\r\n<white>{Diabolist}","<white>{怪物群首領：}<white>{惡魔咒師}","<white>{Pack Leader:}\r\n<white>{Diabolist}\r\nCasts Enfeeble\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Diaboliste}\r\nLance Affaiblissement\r\nRanime les morts-vivants","<white>{Gruppenanführer:}\r\n<white>{Diabolist}\r\nZaubert Schwächen\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{ディアボリスト}\r\nエンフィーブルをキャストする\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{악마술사}\r\n쇠약화를 시전합니다.\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Diabolistaa}\r\n Conjura Debilitar\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Сатанист}\r\nСотворяет Слабость\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Diabolista}\r\nLanza Debilitar\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{Diabolist}\r\nร่าย หมดเรี่ยวแรง (Enfeeble)\r\nคืนชีพ อันเดด","<white>{怪物群首領：}<white>{惡魔咒師}\r\n施放衰弱\r\n復活不死族",""
33,"RangedSkeleton3","Weathered Watchmen","Veilleurs érodés","Verwahrloste Wachmänner","風化した警備","풍화된 감시원","Vigias Desgastados","Обветренные сторожи","Centinelas deteriorados","Weathered Watchman","夜之守望者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons\r\nUses Tornado Shot","Squelettes <white>{morts-vivants} attaquant à distance\r\nUtilise Tornade de flèches","Fernkämpfende <white>{untote} Skelette\r\nBenutzt Tornadoschuss","遠距離攻撃の<white>{不死者}のスケルトン\r\nトルネードショットを使用する","원거리 <white>{언데드} 해골.\r\n회오리 사격을 사용합니다.","Esqueletos <white>{mortos-vivos} que atacam à distância\r\nUsa Tiro Tornado","Дальнобойные скелеты (<white>{нежить})\r\nИспользуют Вихрь стрел","Esqueletos <white>{no muertos} que atacan a distancia\r\nUsan Disparo de tornado","โครงกระดูก<white>{อันเดด}\r\nใช้ ศรสลาตัน (Tornado Shot)","遠距<white>{不死}骷髏\r\n使用龍捲射擊","","","","","","","","","","","","","","","","","","","","",""
34,"RangedSkeleton2","Timeless Hunters","Chasseurs intemporels","Zeitlose Jäger","永遠のハンター","무궁한 사냥꾼","Caçadores Atemporais","Вечные охотники","Cazadores eternos","Timeless Hunter","永恆獵者","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons","Squelettes <white>{morts-vivants} attaquant à distance","Fernkämpfende <white>{untote} Skelette","遠距離攻撃の<white>{不死者}のスケルトン","원거리 <white>{언데드} 해골.","Esqueletos <white>{mortos-vivos} que atacam à distância","Дальнобойные скелеты (<white>{нежить})","Esqueletos <white>{no muertos} que atacan a distancia","โครงกระดูก<white>{อันเดด}","遠距<white>{不死}骷髏","","","","","","","","","","","","","","","","","","","","",""
35,"RangedSkeletonwhitenec","Bow Skeletons ","Squelettes archers","Bogenskelette","弓のスケルトン","활 해골","Esqueletos Arqueiros","Скелеты-лучники","Esqueletos con arco","Bow Skeleton","遠距骷髏 ","Art/2DArt/UIImages/InGame/Necropolis/Pack Icons/LanternMonsterIconRangedSkeleton","Ranged <white>{Undead} Skeletons","Squelettes <white>{morts-vivants} attaquant à distance","Fernkämpfende <white>{untote} Skelette","遠距離攻撃の<white>{不死者}のスケルトン","원거리 <white>{언데드} 해골.","Esqueletos <white>{mortos-vivos} que atacam à distância","Дальнобойные скелеты (<white>{нежить})","Esqueletos <white>{no muertos} que atacan a distancia","โครงกระดูก<white>{อันเดด}","遠距<white>{不死}骷髏","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}","<white>{Chef de groupe :}\r\n<white>{Celui qui apporte les Âmes}","<white>{Gruppenanführer:}\r\n<white>{Bringer der Seelen}","<white>{パックリーダー：}\r\n<white>{魂をもたらす者}","<white>{무리 우두머리:}\r\n<white>{영혼 인도자}","<white>{Líder do Grupo:}\r\n <white>{Invocador de Almas}","<white>{Лидер группы:}\r\n<white>{Вестник душ}","<white>{Líder del grupo:}\r\n<white>{Invocador de almas}","<white>{หัวหน้ากอง:}\r\n<white>{ผู้นำพาวิญญาณ}","<white>{怪物群首領：}<white>{靈魂侍者}","<white>{Pack Leader:}\r\n<white>{Bringer of Souls}\r\nRevives Undead","<white>{Chef de groupe :}\r\n<white>{Celui qui apporte les Âmes}\r\nRanime les morts","<white>{Gruppenanführer:}\r\n<white>{Bringer der Seelen}\r\nBelebt Untote wieder","<white>{パックリーダー：}\r\n<white>{魂をもたらす者}\r\n不死者を蘇生する","<white>{무리 우두머리:}\r\n<white>{영혼 인도자}\r\n언데드를 되살립니다.","<white>{Líder do Grupo:}\r\n <white>{Bringer of Souls}\r\nRevive Mortos Vivos","<white>{Лидер группы:}\r\n<white>{Вестник душ}\r\nВозрождает нежить","<white>{Líder del grupo:}\r\n<white>{Invocador de almas}\r\nRevive a los no muertos","<white>{หัวหน้ากอง:}\r\n<white>{ผู้นำพาวิญญาณ}\r\nคืนชีพ อันเดด","<white>{怪物群首領：}<white>{靈魂侍者}\r\n復活不死族",""
