"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","ArtFile","AchievementItemsKey"
66,"Breach3","Contains 2 Synthesised Chests with valuable Breach Items\r\nContains 2 to 3 Synthesised Chests with Breach Items","Renferme 2 Coffres synthétisés contenant des Objets de Brèche de valeur\r\nRenferme 2 à 3 Coffres synthétisés contenant des Objets de Brèche","Enthält 2 synthetisierte Truhe mit wertvollen Riss-Gegenständen\r\nEnthält 2 bis 3 synthetisierte Truhen mit Riss-Gegenständen","高価値なブリーチアイテムの入ったシンセシスチェストが2個追加される\r\nブリーチアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2개와 귀중한 균열 아이템 포함\r\n결합물 상자 2~3개와 균열 아이템 포함","Contém 2 Baús Sintetizados com Itens de Fenda valiosos\r\nContém 2 a 3 Baús Sintetizados com itens Fenda","Содержит 2 синтезированных сундука с ценными предметами Разлома\r\nСодержит от 2 до 3 синтезированных сундуков с предметами Разлома","Contiene 2 Cofres Sintetizados que tienen objetos valiosos de Breach\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos de Breach","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Breach อยู่ 2 ถึง 3 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Breach ที่มีค่า อยู่ 2 หีบ","包含 2 個含有價值裂痕之物的追憶之匣\r\n包含 2 至 3 個含有裂痕之物的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/BreachItemRewardIcon",""
67,"Essences","Contains 1 to 2 Synthesised Chests with Essence Items","Renferme 1 à 2 Coffres synthétisés contenant des Essences","Enthält 1 bis 2 synthetisierte Truhen mit Essenz-Gegenständen","エッセンスアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 에센스 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Itens de Essências","Содержит от 1 до 2 синтезированных сундуков с предметами Сущностей","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Essence","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有精髓的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
68,"Essences2","Contains 2 to 3 Synthesised Chests with Essence Items","Renferme 2 à 3 Coffres synthétisés contenant des Essences","Enthält 2 bis 3 synthetisierte Truhen mit Essenz-Gegenständen","エッセンスアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 에센스 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens de Essências","Содержит от 2 до 3 синтезированных сундуков с предметами Сущностей","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Essence","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有精髓的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
69,"Essences3","Contains 3 to 4 Synthesised Chests with Essence Items","Renferme 3 à 4 Coffres synthétisés contenant des Essences","Enthält 3 bis 4 synthetisierte Truhen mit Essenz-Gegenständen","エッセンスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 에센스 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens de Essências","Содержит от 3 до 4 синтезированных сундуков с предметами Сущностей","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Essence","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有精髓的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
70,"EssencesHigh3","Contains a Synthesised Chest with valuable Essence Items\r\nContains 3 to 4 Synthesised Chests with Essence Items","Renferme 1 Coffre synthétisé contenant des Essences de valeur\r\nRenferme 3 à 4 Coffres synthétisés contenant des Essences","Enthält eine synthetisierte Truhe mit wertvollen Essenz-Gegenständen\r\nEnthält 3 bis 4 synthetisierte Truhen mit Essenz-Gegenständen","高価値なエッセンスアイテムの入ったシンセシスチェストが1個追加される\r\nエッセンスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 1개와 귀중한 에센스 아이템 포함\r\n결합물 상자 3~4개와 에센스 아이템 포함","Contém um Baú Sintetizado com Itens de Essências valiosos\r\nContém de 3 a 4 Baús Sintetizados com Itens de Essências","Содержит синтезированный сундук с ценными предметами Сущностей\r\nСодержит от 3 до 4 синтезированных сундуков с предметами Сущностей","Contiene un Cofre Sintetizado que tiene objetos de Essence valiosos\r\nContiene de 3 a 4 Cofres Sintetizados que tienen objetos de Essence","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence ที่มีค่า อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence อยู่ 3 ถึง 4 หีบ","包含 1 個含有價值精髓的追憶之匣\r\n包含 3 至 4 個含有精髓的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIconTier2",""
71,"Essences4","Contains 4 to 5 Synthesised Chests with Essence Items","Renferme 4 à 5 Coffres synthétisés contenant des Essences","Enthält 4 bis 5 synthetisierte Truhen mit Essenz-Gegenständen","エッセンスアイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 4~5개와 에센스 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Itens de Essências","Содержит от 4 до 5 синтезированных сундуков с предметами Сущностей","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Essence","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence อยู่ 4 ถึง 5 หีบ","包含 4 至 5 個含有精髓的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIcon",""
72,"EssencesHigh4","Contains 2 Synthesised Chests with valuable Essence Items\r\nContains 3 to 4 Synthesised Chests with Essence Items","Renferme 2 Coffres synthétisés contenant des Essences de valeur\r\nRenferme 3 à 4 Coffres synthétisés contenant des Essences","Enthält 2 synthetisierte Truhen mit wertvollen Essenz-Gegenständen\r\nEnthält 3 bis 4 synthetisierte Truhen mit Essenz-Gegenständen","高価値なエッセンスアイテムの入ったシンセシスチェストが2個追加される\r\nエッセンスアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 2개와 귀중한 에센스 아이템 포함\r\n결합물 상자 3~4개와 에센스 아이템 포함","Contém 2 Baús Sintetizados com Itens de Essências valiosos\r\nContém de 3 a 4 Baús Sintetizados com Itens de Essências","Содержит 2 синтезированных сундука с ценными предметами Сущностей\r\nСодержит от 3 до 4 синтезированных сундуков с предметами Сущностей","Contiene 2 Cofres Sintetizados que tienen objetos de Essence valiosos\r\nContiene de 3 a 4 Cofres Sintetizados que tienen objetos de Essence","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence ที่มีค่า อยู่ 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Essence อยู่ 3 ถึง 4 หีบ","包含 2 個含有價值精髓的追憶之匣\r\n包含 3 至 4 個含有精髓的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/EssencesItemRewardIconTier2",""
73,"Fragments","Contains 1 to 2 Synthesised Chests with Fragment Items","Renferme 1 à 2 Coffres synthétisés contenant des Fragments","Enthält 1 bis 2 synthetisierte Truhen mit Fragment-Gegenständen","断片アイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 조각 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Itens Fragmentos","Содержит от 1 до 2 синтезированных сундуков с фрагментами","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Fragmentos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fragment อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有碎片的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIcon",""
74,"Fragments2","Contains 2 to 3 Synthesised Chests with Fragment Items","Renferme 2 à 3 Coffres synthétisés contenant des Fragments","Enthält 2 bis 3 synthetisierte Truhen mit Fragment-Gegenständen","断片アイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 조각 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Itens Fragmentos","Содержит от 2 до 3 синтезированных сундуков с фрагментами","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Fragmentos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fragment อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有碎片的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIcon",""
75,"Fragments3","Contains 3 to 4 Synthesised Chests with Fragment Items","Renferme 3 à 4 Coffres synthétisés contenant des Fragments","Enthält 3 bis 4 synthetisierte Truhen mit Fragment-Gegenständen","断片アイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 조각 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Itens Fragmentos","Содержит от 3 до 4 синтезированных сундуков с фрагментами","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Fragmentos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fragment อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有碎片的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIcon",""
76,"FragmentsHigh3","Contains a Synthesised Chest with valuable Fragment Items\r\nContains 2 to 3 Synthesised Chests with Fragment Items","Renferme 1 Coffre synthétisé contenant des Fragments de valeur\r\nRenferme 2 à 3 Coffres synthétisés contenant des Fragments","Enthält eine synthetisierte Truhe mit wertvollen Fragment-Gegenständen\r\nEnthält 2 bis 3 synthetisierte Truhen mit Fragment-Gegenständen","高価値な断片アイテムの入ったシンセシスチェストが1個追加される\r\n断片アイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 1개와 귀중한 조각 아이템 포함\r\n결합물 상자 2~3개와 조각 아이템 포함","Contém um Baú Sintetizado com Itens Fragmentos valiosos\r\nContém de 2 a 3 Baús Sintetizados com Itens Fragmentos","Содержит синтезированный сундук с ценными фрагментами\r\nСодержит от 2 до 3 синтезированных сундуков с фрагментами","Contiene un Cofre Sintetizado que tiene objetos de Fragmentos valiosos\r\nContiene de 2 a 3 Cofres Sintetizados que tienen objetos de Fragmentos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fragment ที่มีค่า อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Fragment อยู่ 2 ถึง 3 หีบ","包含 1 個含有價值碎片的追憶之匣\r\n包含 2 至 3 個含有碎片的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FragmentsItemRewardIconTier2",""
77,"Scarabs","Contains 2 to 3 Synthesised Chests with Scarab Items","Renferme 2 à 3 Coffres synthétisés contenant des Scarabées","Enthält 2 bis 3 synthetisierte Truhen mit Skarabäus-Gegenständen","スカラベアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 갑충석 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Escaravelhos","Содержит от 2 до 3 синтезированных сундуков со скарабеями","Contiene de 2 a 3 Cofres Sintetizados que tienen Escarabajos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Scarab อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有聖甲蟲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ScarabItemRewardIcon",""
78,"Scarabs2","Contains 1 to 2 Synthesised Chests with valuable Scarab Items\r\nContains 1 to 2 Synthesised Chests with Scarab Items","Renferme 1 à 2 Coffres synthétisés contenant des Scarabées de valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Scarabées","Enthält 1 bis 2 synthetisierte Truhen mit wertvollen Skarabäus-Gegenständen\r\nEnthält 1 bis 2 synthetisierte Truhen mit Skarabäus-Gegenständen","高価値なスカラベアイテムの入ったシンセシスチェストが1-2個追加される\r\nスカラベアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 귀중한 갑충석 아이템 포함\r\n결합물 상자 1~2개와 갑충석 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Escaravelhos valiosos\r\nContém de 1 a 2 Baús Sintetizados com Escaravelhos","Содержит от 1 до 2 синтезированных сундуков с ценными скарабеями\r\nСодержит от 1 до 2 синтезированных сундуков со скарабеями","Contiene de 1 a 2 Cofres Sintetizados que tienen Escarabajos valiosos\r\nContiene de 1 a 2 Cofres Sintetizados que tienen Escarabajos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Scarab ที่มีค่า อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Scarab อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有價值聖甲蟲的追憶之匣\r\n包含 1 至 2 個含有聖甲蟲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ScarabItemRewardIconTier2",""
79,"Scarabs3","Contains 1 to 2 Synthesised Chests with very valuable Scarab Items\r\nContains 1 to 2 Synthesised Chests with valuable Scarab Items","Renferme 1 à 2 Coffres synthétisés contenant des Scarabées de grande valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Scarabées de valeur","Enthält 1 bis 2 synthetisierte Truhen mit sehr wertvollen Skarabäus-Gegenständen\r\nEnthält 1 bis 2 synthetisierte Truhen mit wertvollen Skarabäus-Gegenständen","非常に高価値なスカラベアイテムの入ったシンセシスチェストが1-2個追加される\r\n高価値なスカラベアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 매우 귀중한 갑충석 아이템 포함\r\n결합물 상자 1~2개와 귀중한 갑충석 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Escaravelhos muito valiosos\r\nContém de 1 a 2 Baús Sintetizados com Escaravelhos valiosos","Содержит от 1 до 2 синтезированных сундуков с очень ценными скарабеями\r\nСодержит от 1 до 2 синтезированных сундуков с ценными скарабеями","Contiene de 1 a 2 Cofres Sintetizados que tienen Escarabajos muy valiosos\r\nContiene de 1 a 2 Cofres Sintetizados que tienen Escarabajos valiosos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Scarab ที่มีค่ามากๆ อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Scarab ที่มีค่า อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有價值連城聖甲蟲的追憶之匣\r\n包含 1 至 2 個含有價值聖甲蟲的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/ScarabItemRewardIconTier3",""
80,"Fossils","Contains 2 to 3 Synthesised Chests with Fossil Items","Renferme 2 à 3 Coffres synthétisés contenant des Fossiles","Enthält 2 bis 3 synthetisierte Truhen mit Fossil-Gegenständen","化石アイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 화석 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Fósseis","Содержит от 2 до 3 синтезированных сундуков с ископаемыми","Contiene de 2 a 3 Cofres Sintetizados que tienen Fósiles","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fossil อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有化石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FossilItemRewardIcon",""
81,"Fossils2","Contains 1 to 2 Synthesised Chests with valuable Fossil Items\r\nContains 1 to 2 Synthesised Chests with Fossil Items","Renferme 1 à 2 Coffres synthétisés contenant des Fossiles de valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Fossiles","Enthält 1 bis 2 synthetisierte Truhen mit wertvollen Fossil-Gegenständen\r\nEnthält 1 bis 2 synthetisierte Truhen mit Fossil-Gegenständen","高価値な化石アイテムの入ったシンセシスチェストが1-2個追加される\r\n化石アイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 귀중한 화석 아이템 포함\r\n결합물 상자 1~2개와 화석 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Fósseis valiosos\r\nContém de 1 a 2 Baús Sintetizados com Fósseis","Содержит от 1 до 2 синтезированных сундуков с ценными ископаемыми\r\nСодержит от 1 до 2 синтезированных сундуков с ископаемыми","Contiene de 1 a 2 Cofres Sintetizados que tienen Fósiles valiosos\r\nContiene de 1 a 2 Cofres Sintetizados que tienen Fósiles","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fossil ที่มีค่า อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Fossil อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有價值化石的追憶之匣\r\n包含 1 至 2 個含有化石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FossilItemRewardIconTier2",""
82,"Fossils3","Contains 1 to 2 Synthesised Chests with very valuable Fossil Items\r\nContains 1 to 2 Synthesised Chests with valuable Fossil Items","Renferme 1 à 2 Coffres synthétisés contenant des Fossiles de grande valeur\r\nRenferme 1 à 2 Coffres synthétisés contenant des Fossiles de valeur","Enthält 1 bis 2 synthetisierte Truhen mit sehr wertvollen Fossil-Gegenständen\r\nEnthält 1 bis 2 synthetisierte Truhen mit wertvollen Fossil-Gegenständen","非常に高価値な化石アイテムの入ったシンセシスチェストが1-2個追加される\r\n高価値な化石アイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 매우 귀중한 화석 아이템 포함\r\n결합물 상자 1~2개와 귀중한 화석 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Fósseis muito valiosos\r\nContém de 1 a 2 Baús Sintetizados com Fósseis valiosos","Содержит от 1 до 2 синтезированных сундуков с очень ценными ископаемыми\r\nСодержит от 1 до 2 синтезированных сундуков с ценными ископаемыми","Contiene de 1 a 2 Cofres Sintetizados que tienen Fósiles muy valiosos\r\nContiene de 1 a 2 Cofres Sintetizados que tienen Fósiles valiosos","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Fossil ที่มีค่ามากๆ อยู่ 1 ถึง 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Fossil ที่มีค่า อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有價值連城化石的追憶之匣\r\n包含 1 至 2 個含有價值化石的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/FossilItemRewardIconTier3",""
83,"Prophecies","Contains 2 to 3 Synthesised Chests with Prophecy Items","Renferme 2 à 3 Coffres synthétisés contenant des Prophéties","Enthält 2 bis 3 synthetisierte Truhen mit Prophezeiungs-Gegenständen","予言アイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 예언 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Profecias","Содержит от 2 до 3 синтезированных сундуков с предметами Пророчества","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Prophecy","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有預言的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
84,"Prophecies2","Contains 3 to 4 Synthesised Chests with Prophecy Items","Renferme 3 à 4 Coffres synthétisés contenant des Prophéties","Enthält 3 bis 4 synthetisierte Truhen mit Prophezeiungs-Gegenständen","予言アイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 예언 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Profecias","Содержит от 3 до 4 синтезированных сундуков с предметами Пророчества","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Prophecy","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有預言的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
85,"Prophecies3","Contains 4 to 5 Synthesised Chests with Prophecy Items","Renferme 4 à 5 Coffres synthétisés contenant des Prophéties","Enthält 4 bis 5 synthetisierte Truhen mit Prophezeiungs-Gegenständen","予言アイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 4~5개와 예언 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Profecias","Содержит от 4 до 5 синтезированных сундуков с предметами Пророчества","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Prophecy","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy อยู่ 4 ถึง 5 หีบ","包含 4 至 5 個含有預言的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
86,"PropheciesHigh3","Contains a Synthesised Chest with valuable Prophecy Items\r\nContains 3 to 4 Synthesised Chests with Prophecy Items","Renferme 1 Coffre synthétisé contenant des Prophéties de valeur\r\nRenferme 3 à 4 Coffres synthétisés contenant des Prophéties","Enthält eine synthetisierte Truhe mit wertvollen Prophezeiungs-Gegenständen\r\nEnthält 3 bis 4 synthetisierte Truhen mit Prophezeiungs-Gegenständen","高価値な予言アイテムの入ったシンセシスチェストが1個追加される\r\n予言アイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 1개와 귀중한 예언 아이템 포함\r\n결합물 상자 3~4개와 예언 아이템 포함","Contém um Baú Sintetizado com Profecias valiosas\r\nContém de 3 a 4 Baús Sintetizados com Profecias","Содержит синтезированный сундук с ценными предметами Пророчества\r\nСодержит от 3 до 4 синтезированных сундуков с предметами Пророчества","Contiene un Cofre Sintetizado que tiene objetos de Prophecy valiosos\r\nContiene de 3 a 4 Cofres Sintetizados que tienen objetos de Prophecy","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy ที่มีค่า อยู่ 1 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy อยู่ 3 ถึง 4 หีบ","包含 1 個含有價值預言的追憶之匣\r\n包含 3 至 4 個含有預言的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIconTier2",""
87,"Prophecies4","Contains 5 to 6 Synthesised Chests with Prophecy Items","Renferme 5 à 6 Coffres synthétisés contenant des Prophéties","Enthält 5 bis 6 synthetisierte Truhen mit Prophezeiungs-Gegenständen","予言アイテムの入ったシンセシスチェストが5-6個追加される","결합물 상자 5~6개와 예언 아이템 포함","Contém de 5 a 6 Baús Sintetizados com Profecias","Содержит от 5 до 6 синтезированных сундуков с предметами Пророчества","Contiene de 5 a 6 Cofres Sintetizados que tienen objetos de Prophecy","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy อยู่ 5 ถึง 6 หีบ","包含 5 至 6 個含有預言的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIcon",""
88,"PropheciesHigh4","Contains 2 Synthesised Chests with valuable Prophecy Items\r\nContains 3 to 4 Synthesised Chests with Prophecy Items","Renferme 2 Coffres synthétisés contenant des Prophéties de valeur\r\nRenferme 3 à 4 Coffres synthétisés contenant des Prophéties","Enthält 2 synthetisierte Truhen mit wertvollen Prophezeiungs-Gegenständen\r\nEnthält 3 bis 4 synthetisierte Truhen mit Prophezeiungs-Gegenständen","高価値な予言アイテムの入ったシンセシスチェストが2個追加される\r\n予言アイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 2개와 귀중한 예언 아이템 포함\r\n결합물 상자 3~4개와 예언 아이템 포함","Contém 2 Baús Sintetizados com Profecias valiosas\r\nContém de 3 a 4 Baús Sintetizados com Profecias","Содержит 2 синтезированных сундука с ценными предметами Пророчества\r\nСодержит от 3 до 4 синтезированных сундуков с предметами Пророчества","Contiene 2 Cofres Sintetizados que tienen objetos de Prophecy valiosos\r\nContiene de 3 a 4 Cofres Sintetizados que tienen objetos de Prophecy","มีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy ที่มีค่า อยู่ 2 หีบ\r\nมีหีบสมบัติสังเคราะห์ที่มีไอเทม Prophecy อยู่ 3 ถึง 4 หีบ","包含 2 個含有價值預言的追憶之匣\r\n包含 3 至 4 個含有預言的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/PropheciesItemRewardIconTier2",""
89,"DivinationCards","Contains 1 to 2 Synthesised Chests with Divination Card Items","Renferme 1 à 2 Coffres synthétisés contenant des Cartes divinatoires","Enthält 1 bis 2 synthetisierte Truhen mit Weissagungskarten-Gegenständen","占いカードアイテムの入ったシンセシスチェストが1-2個追加される","결합물 상자 1~2개와 점술 카드 아이템 포함","Contém de 1 a 2 Baús Sintetizados com Cartas de Adivinhação","Содержит от 1 до 2 синтезированных сундуков с гадальными картами","Contiene de 1 a 2 Cofres Sintetizados que tienen objetos de Cartas de Adivinación","มีหีบสมบัติสังเคราะห์ที่มีไพ่พยากรณ์อยู่ 1 ถึง 2 หีบ","包含 1 至 2 個含有命運卡的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
90,"DivinationCards2","Contains 2 to 3 Synthesised Chests with Divination Card Items","Renferme 2 à 3 Coffres synthétisés contenant des Cartes divinatoires","Enthält 2 bis 3 synthetisierte Truhen mit Weissagungskarten-Gegenständen","占いカードアイテムの入ったシンセシスチェストが2-3個追加される","결합물 상자 2~3개와 점술 카드 아이템 포함","Contém de 2 a 3 Baús Sintetizados com Cartas de Adivinhação","Содержит от 2 до 3 синтезированных сундуков с гадальными картами","Contiene de 2 a 3 Cofres Sintetizados que tienen objetos de Cartas de Adivinación","มีหีบสมบัติสังเคราะห์ที่มีไพ่พยากรณ์อยู่ 2 ถึง 3 หีบ","包含 2 至 3 個含有命運卡的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
91,"DivinationCards3","Contains 3 to 4 Synthesised Chests with Divination Card Items","Renferme 3 à 4 Coffres synthétisés contenant des Cartes divinatoires","Enthält 3 bis 4 synthetisierte Truhen mit Weissagungskarten-Gegenständen","占いカードアイテムの入ったシンセシスチェストが3-4個追加される","결합물 상자 3~4개와 점술 카드 아이템 포함","Contém de 3 a 4 Baús Sintetizados com Cartas de Adivinhação","Содержит от 3 до 4 синтезированных сундуков с гадальными картами","Contiene de 3 a 4 Cofres Sintetizados que tienen objetos de Cartas de Adivinación","มีหีบสมบัติสังเคราะห์ที่มีไพ่พยากรณ์อยู่ 3 ถึง 4 หีบ","包含 3 至 4 個含有命運卡的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
92,"DivinationCards4","Contains 4 to 5 Synthesised Chests with Divination Card Items","Renferme 4 à 5 Coffres synthétisés contenant des Cartes divinatoires","Enthält 4 bis 5 synthetisierte Truhen mit Weissagungskarten-Gegenständen","占いカードアイテムの入ったシンセシスチェストが4-5個追加される","결합물 상자 4~5개와 점술 카드 아이템 포함","Contém de 4 a 5 Baús Sintetizados com Cartas de Adivinhação","Содержит от 4 до 5 синтезированных сундуков с гадальными картами","Contiene de 4 a 5 Cofres Sintetizados que tienen objetos de Cartas de Adivinación","มีหีบสมบัติสังเคราะห์ที่มีไพ่พยากรณ์อยู่ 4 ถึง 5 หีบ","包含 4 至 5 個含有命運卡的追憶之匣","Art/2DArt/UIImages/InGame/Synthesis/Tiles/MapIslands/DivinationCardsItemRewardIcon",""
