"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextHardmode (English)","TextHardmode (French)","TextHardmode (German)","TextHardmode (Japanese)","TextHardmode (Korean)","TextHardmode (Portuguese)","TextHardmode (Russian)","TextHardmode (Spanish)","TextHardmode (Thai)","TextHardmode (Traditional Chinese)"
237,"ReminderTextBrutalCharges","(Players have 3% chance to deal Triple Damage and 10% increased Stun Threshold per Brutal Charge)","(Les Joueurs ont 3% de chances d'infliger des dégâts triplés et 10% d'Augmentation du Seuil d'Étourdissement par Charge de brutalité)","(Spieler haben pro Brutaler Ladung 10% erhöhte Betäubungsschwelle und 3% Chance, dreifachen Schaden zu verursachen)","(Brutal Charge: プレイヤーはブルータルチャージごとに3%の確率で3倍のダメージを与え、スタン閾値が10%増加する)","(잔인 충전 하나당 3%의 확률로 3배의 피해를 주고 기절 한계치가 10% 증가)","(Jogadores têm 3% de chance de causar Dano Triplicado e Ponto de Atordoamento aumentado em 10% por Carga Brutal)","(Каждый заряд жестокости даёт 3% шанс нанести тройной урон и 10% повышение порога оглушения)","(Los jugadores tienen un 3% de probabilidad de infligir el triple de daño y un umbral de aturdimiento aumentado un 10% por cada carga brutal)","(ผู้เล่นมีโอกาสในการสร้างความเสียหายสามเท่า 3% และมีเกณฑ์ความยากในการติดสถานะ มึนงง เพิ่มขึ้น 10% ต่อจำนวน Brutal Charge)","(每顆殘暴球使玩家有 3% 機率造成 3 倍傷害和增加 10% 暈眩門檻)","","","","","","","","","",""
238,"ReminderTextAfflictionCharges","(Players have 8% more Damage with Ailments and 8% more Effect of Non-Damaging Ailments per Affliction Charge)","(Les Joueurs ont 8% Davantage de Dégâts avec les Altérations et 8% Davantage d'Effet des Altérations n'infligeant pas de Dégâts par Charge d'affliction)","(Spieler verursachen pro Quälender Ladung 8% mehr Schaden mit Beeinträchtigungen und verfügen über 8% mehr Wirkung von nicht schädigenden Beeinträchtigungen)","(Affliction Charge: プレイヤーはアフリクションチャージごとに、状態異常によるダメージが8%上昇し、非ダメージ性状態異常の効果が8%上昇する)","(수난 충전 하나당 상태 이상 피해가 8% 증폭하고 비-피해 상태 이상의 효과가 8% 증폭)","(Jogadores têm 8% mais Dano com Afecções e 8% mais Efeito de Afecções Não Nocivas por Carga de Aflição)","(Каждый заряд подавления даёт на 8% больше урона от состояний и на 8% больший эффект не наносящих урон состояний)","(Los jugadores tienen un 8% más de daño con estados alterados y un 8% más de efecto de estados alterados no dañinos por cada carga de aflicción)","(ผู้เล่นสร้างความเสียหาย เจ็บป่วย เพิ่มขึ้น อีก 8% และมีผลของสถานะ เจ็บป่วยที่ไม่สร้างความเสียหาย เพิ่มขึ้น อีก 8% ต่อจำนวน Affliction Charge)","(每顆苦痛球使玩家有 8% 更多異常狀態傷害和 8% 更多非傷害型異常狀態效果)","","","","","","","","","",""
239,"ReminderTextAbsorptionCharges","(Players Recoup 12% of Elemental Damage taken as Energy Shield per Absorption Charge)","(Les Joueurs Regagnent 12% des Dégâts élémentaires subis sous forme de Bouclier d'énergie par Charge d'absorption)","(Spieler gewinnen pro Absorbierender Ladung 12% des erlittenen Elementarschadens als Energieschild wieder)","(Absorption Charge: プレイヤーはアブソープションチャージごとに受けた元素ダメージの12%をエナジーシールドとして回収する)","(흡수 충전 하나당 받는 원소 피해의 12%를 에너지 보호막으로 회생)","(Jogadores Recuperam 12% do Dano Elemental sofrido como Escudo de Energia por Carga de Absorção)","(Каждый заряд поглощения восполняет 12% получаемого урона от стихий в виде энергетического щита)","(Los jugadores recobran un 12% del daño elemental recibido como escudo de energía por cada carga de absorción)","(ผู้เล่นจะได้รับ 12% ของความเสียหาย ธาตุ ที่ได้รับคืนมาเป็น โล่พลังงาน ต่อจำนวน Absorption Charge)","(每顆吸收球使玩家補償 12% 承受的元素傷害為能量護盾)","","","","","","","","","",""
240,"ReminderTextRandomSafehouse","(Safehouses which have already been Located can still be randomly selected)","(Les Abris qui ont déjà été localisés peuvent toujours être sélectionnés aléatoirement)","(Unterschlüpfe, die bereits ausfindig gemacht wurden, können immer noch zufällig ausgewählt werden)","(すでに所在が明らかになっているアジトもランダムに選ばれることがあります)","(이미 위치를 찾은 안전가옥은 여전히 무작위로 선택될 수 있습니다.)","(Quarteis que já foram Localizados ainda podem ser selecionados aleatoriamente)","(Уже обнаруженные укрытия по-прежнему могут быть выбраны случайным образом)","(Las bases que ya hayan sido localizadas se pueden seguir seleccionando de forma aleatoria)","(เซฟเฮ้าส์ที่ถูกระบุตำแหน่งยังถูกเลือกได้แบบสุ่ม)","(已經被定位的藏匿處仍然可以被隨機選擇)","","","","","","","","","",""
241,"ReminderTextWildExile","(Wild Rogue Exiles are Rogue Exiles that are spawned randomly within the Area)","Exilés renégats errants","(Wilde abtrünnige Verbannte sind abtrünnige Verbannte, die zufällig in einem Gebiet erscheinen)","(Wild Rogue Exile: はぐれローグエグザイルとは、そのエリアでランダムにスポーンしたローグエグザイルである)","(황야 탈주 유배자는 지역 내에서 무작위로 생성되는 탈주 유배자입니다.)","(Exilados Renegados Selvagens são Exilados Renegados que aparecem aleatoriamente dentro de uma Área)","(Дикие бродячие изгнанники - это бродячие изгнанники, которые появляются в случайном месте)","(Los exiliados renegados salvajes son exiliados renegados que se generan aleatoriamente en el área)","(เอ็กไซล์อันธพาลเถื่อน คือเอ็กไซล์ที่เกิดขึ้นในด่านแบบสุ่ม)","(野生盜賊流亡者為隨機於地區內生成的盜賊流亡者)","","","","","","","","","",""
242,"ReminderTextTornVeil","(Merging Radius is the distance at which Beyond Portals can merge with one another to spawn Beyond Demons)","(Le Rayon d'Assimilation est la distance à partir de laquelle les Portails vers Ailleurs peuvent fusionner entre eux afin de générer des Démons d'Ailleurs)","(Der Überlappungsradius ist die Reichweite, bei der sich Jenseits-Portale miteinander überlappen können, um Monster aus dem Jenseits zu beschwören)","(マージ範囲はビヨンドデーモンを出現するために、ビヨンドポータル同士がマージできる距離を表します)","(병합 범위란 이계 포탈이 서로 병합되어 이계 악마를 생성할 수 있는 거리를 말합니다.)","(Raio de Fusão é a distância com a qual cada Portal Beyond pode emergir junto com outro para criar Demônios Beyond)","(Радиус слияния - это расстояние, на котором порталы Иномирья могут слиться воедино и вызвать демонов Иномирья)","(El radio de fusión es la distancia en la cual los portales del Más allá pueden fusionarse unos con otros para generar demonios del Más allá)","(รัศมีที่เชื่อมคือระยะทางที่ ประตูต่างมิติ จะเชื่อมกันได้เพื่อเรียก ปีศาจต่างมิติ)","(融合範圍是指超越傳送門可以和其它的傳送門融合並產生超越怪物)","","","","","","","","","",""
243,"ReminderTextFaceToFace","(Legion Generals are Queen Hyrri Ngamaku, General Marceus Lioneye, Cardinal Sanctus Vox, Viper Napuatzi and Aukuna, the Black Sekhema)","(Les Généraux de Légion sont la Reine Hyrri Ngamaku, le Général Marcéus Œil de Lion, le Cardinal Sanctus Vox, la Vipère Napuatzi et Aukuna, la Sekhema noire)","(Zu den Legion-Generälen gehören: Königin Hyrri Ngamaku, General Marceus Löwenauge, Kardinal Sanctus Vox, Viper Napuatzi und Aukuna, die Schwarze Sekhema)","(軍団の将軍は、ハイリ・ナマク女王、マルセウス・ライオンアイ将軍、枢機卿サンクトゥス・ヴォックス、ヴァイパー・ナプワツィ、黒いセケマ、アウクナを指す)","(군단 장군은 하이리 나마쿠 여왕, 마세우스 라이온아이 장군, 상투스 복스 추기경, 바이퍼 나푸앗지, 검은 세케마 아우카나입니다)","(Generais Legion incluem a Rainha Hyrri Ngamaku, General Marceus Lioneye, Cardeal Sanctus Vox, Víbora Napuatzi e Aukuna e a Sekhema Negra)","(Генералы Легионов: вождь Хайрри Нгамаку, генерал Марк Львиный Глаз, кардинал Санктус Вокс, Гадюка Напуаци и Аукуна, Чёрная сехема)","(Los Generales de Legion son: la Reina Hyrri Ngamaku, el General Marceus Lioneye, el Cardenal Sanctus Vox, Viper Napuatzi y Aukuna, la Sekhema Negra)","(นายพลจากกองพัน คือ ราชินีไฮรี งามาคู, นายพลไลออนอาย, พระคาร์ดินัลแซงค์ทัส วอกซ์, อสรพิษนาปวดซี และ ออคูนา เซ็คเคมาสีดำ)","(戰亂將軍包含西里娜馬庫女王、穆希爾斯．獅眼將軍、大主教桑特斯瓦克斯、邪魔毒蛇納普阿茲和漆黑絲克瑪奧庫納)","","","","","","","","","",""
244,"ReminderTextProtractedBattle","(Monsters in Stasis do not take any actions)","(Les Monstres en Stase n'agissent pas)","(Monster in Stase führen keine Aktionen durch)","(停止中のモンスターは行動を起こさない)","(정체 상태의 몬스터는 아무 행동도 하지 않습니다.)","(Monstros em Estase não tomam nenhuma ação)","(Монстры в стазисе не предпринимают никаких действий)","(Los monstruos que están en Estasis no realizan ninguna acción)","(มอนสเตอร์ที่หยุดนิ่งจะไม่เคลื่อนไหวใดๆ)","(靜止的怪物不會做任何動作)","","","","","","","","","",""
245,"ReminderTextResourceReallocation","(Non-resident Architects are those that can be killed to upgrade the Incursion room)","(Les Architectes non résidents sont ceux qui peuvent être tués afin d'améliorer la salle d'Incursion)","(Nicht-residierende Architekten sind diejenigen, die getötet werden können, um den Incursion-Raum hochzustufen)","(非レジデントアーキテクトは倒すことによって、インカージョンルームをアップグレードすることができる)","(비상주 건축가란 처치하여 기습 사원 방을 업그레이드할 수 있는 건축가입니다.)","(Arquitetos não residentes são aqueles que podem ser mortos para aprimorar o salão da Incursão)","(Пришлые архитекторы - те, которых можно убить для улучшения комнаты во Вмешательстве)","(Los Arquitectos no residentes son aquellos que puedes matar para mejorar la sala de Incursion)","(สถาปนิกที่ไม่ใช่ผู้อยู่อาศัย คือสถาปนิกที่สามารถถูกสังหารเพื่ออัพเกรด ห้องย้อนเวลา)","(非居住的建造者可以被擊殺來升級穿越房間)","","","","","","","","","",""
246,"ReminderTextContestedDevelopment","(Resident Architects are those that can be killed to change the Incursion room)","(Les Architectes résidents sont ceux qui peuvent être tués afin de modifier la salle d'Incursion)","(Residierende Architekten sind diejenigen, die getötet werden können, um den Incursion-Raum zu verändern)","(レジデントアーキテクトを倒すことで、インカージョンルームを変化させることができる)","(상주 건축가란 처치하여 기습 사원 방을 변경할 수 있는 건축가입니다.)","(Arquitetos Residentes são aqueles que podem ser mortos para mudar o salão da Incursão)","(Придворные архитекторы - те, которых можно убить для изменения комнаты во Вмешательстве)","(Los Arquitectos residentes son aquellos que puedes matar para cambiar la sala de Incursion)","(สถาปนิกผู้อยู่อาศัย คือสถาปนิกที่สามารถถูกสังหารเพื่อเปลี่ยน ห้องย้อนเวลา)","(居住的建造者可以被擊殺來改變穿越房間)","","","","","","","","","",""
247,"ReminderTextShaperGuardians","(Shaper Guardians are Guardian of the Chimera, Guardian of the Minotaur, Guardian of the Hydra and Guardian of the Phoenix)","(Les Gardiens du Façonneur sont le Gardien de la Chimère, le Gardien du Minotaure, la Gardienne de l'Hydre et le Gardien du Phénix)","(Zu den Wächtern des Schöpfers gehören: Wächter der Chimäre, Wächter des Minotauren, Wächter der Hydra und Wächter des Phönix)","(Shaper Guardian: シェイパーの守護者は、キメラの守護者、ミノタウロスの守護者、ヒュドラの守護者、フェニックスの守護者を指す)","(쉐이퍼 수호자는 키메라의 수호자, 미노타우로스의 수호자, 히드라의 수호자, 불사조의 수호자입니다)","(Os Guardiões do Criador incluem o Guardião do Quimera, Guardião do Minotauro, Guardião da Hidra e Guardião da Fênix)","(Хранители Создателя: Хранитель Химера, Хранитель Минотавр, Хранитель Гидра и Хранитель Феникс)","(Los Guardianes del Creador son: el Guardián de la Quimera, el Guardián del Minotauro, el Guardián de la Hidra y el Guardián del Fénix)","(องครักษ์เชปเปอร์ คือ องครักษ์แห่งคิเมียร่า, องครักษ์แห่งมิโนทอร์, องครักษ์แห่งไฮดร้า, องครักษ์แห่งฟีนิกซ์)","(塑者守護者包含鳳凰守護者、九頭蛇守護者、牛頭人守護者和奇美拉守護者)","","","","","","","","","",""
248,"ReminderTextElderGuardians","(Elder Guardians are The Enslaver, The Eradicator, The Constrictor and The Purifier)","(Les Gardiens de l'Ancien sont l'Asservisseur, l'Éradicateur, le Constricteur et le Purificateur)","(Zu den Wächtern des Ältesten gehören: Der Sklavenschinder, der Vernichter, der Unterdrücker und der Läuterer)","(Elder Guardian: エルダーの守護者にはエンスレイバー、エラディケーター、コンストリクター、そしてピュアリファイヤーを指す)","(엘더 수호자는 조종자, 박멸자, 위압자, 정화자입니다)","Os Guardiões do Ancião incluem O Escravizador, O Erradicador, O Constritor e o Purificador)","(Хранители Древнего: Поработитель, Искоренитель, Угнетатель и Искупитель)","(Los Guardianes del Antiguo son: El Esclavista, El Erradicador, El Constrictor y El Purificador)","(องครักษ์เอลเดอร์ คือ ผู้กดขี่, ผู้ขจัด, ผู้บีบรัด, ผู้ชำระล้าง)","(尊師守護者包含異界．奴役、異界．根除、異界．干擾和異界．淨化)","","","","","","","","","",""
249,"ReminderTextAtlasConquerors","(Conquerors are Baran, the Crusader, Veritania, the Redeemer, Al-Hezmin, the Hunter and Drox, the Warlord)","(Les Conquérants sont Baran, le Croisé, Véritania, la Rédemptrice, Al-Hezmin, le Chasseur et Drox, le Seigneur de guerre)","(Zu den Eroberern gehören: Baran der Kreuzritter, Veritania die Erlöserin, Al-Hezmin der Jäger und Drox der Kriegsfürst)","(Conquerors: 征服者はクルセイダーバラン、リディーマーヴェリタニア、ハンターアルヘズミン、ウォーロードドロクスを指す)","(정복자는 십자군 바란, 대속자 베리타니아, 사냥꾼 알-헤즈민, 전쟁군주 드록스입니다.)","(Conquistadores incluem Baran, o Cruzado, Veritania, a Redentora, Al-Hezmin, o Caçador e Drox, o Senhor da Guerra)","(Завоеватели: Бэран, Крестоносец, Веритания, Избавительница, Аль-Хезмин, Охотник и Дрокс, Вождь)","(Los Conquistadores son: Baran, el Cruzado; Veritania, la Redentora; Al-Hezmin, el Cazador; y Drox, el Jefe de guerra)","(ผู้พิชิต คือ บาราน ผู้พิชิตอธรรม, เวริทาเนีย ผู้พิชิตบาป, อัล-เฮซมิน ผู้พิชิตเหยื่อ, ดร็อกซ์ ผู้พิชิตศึก)","(征服者包含聖戰軍王．巴倫、救贖者．維羅提尼亞、狩獵者．奧赫茲明和總督軍．圖拉克斯)","","","","","","","","","",""
250,"ReminderTextBasicCurrency","(Basic Currency includes any currency that drops from non-league content)","(Les Objets monétaires basiques sont tous les Objets monétaires qui sont cédés par du contenu qui n'est pas du contenu de ligue)","(Basis-Währung beinhaltet sämtliche Währung, die von allen nicht-liga-spezifischen Inhalten fallen gelassen wird)","(基礎カレンシーはリーグコンテンツ以外のコンテンツから入手できるカレンシーを含む)","(기본 화폐에는 리그 외의 콘텐츠에서 나오는 모든 화폐가 포함됩니다.)","(Itens Monetários Básicos incluem itens monetários que caem de conteúdos diferentes da liga)","(Обычной считается любая валюта, добываемая не из контента лиги)","(Los objetos monetarios básicos son objetos monetarios que se obtienen jugando al contenido que no es de ninguna liga)","(เงินตราพื้นฐาน คือเงินตราใดๆ ที่ดรอปจากเนื้อหาที่ไม่ได้มาจากลีก)","(基礎通貨包含非聯盟內容的任何通貨)","","","","","","","","","",""
251,"ReminderTextInfluencedItems","(Influenced Items can have modifiers not found anywhere else)","(Les Objets Influencés peuvent avoir des modificateurs qui n'existent nulle part ailleurs)","(Beeinflusste Gegenstände können über Modifikatoren verfügen, die man sonst nirgendwo finden kann)","(インフルエンスアイテムは他で得られないモッドを持つことができる)","(영향을 받은 아이템에는 다른 곳에서는 찾을 수 없는 속성이 부여될 수 있습니다)","(Itens Influenciados podem ter modificadores não encontrados em nenhum outro lugar)","(Предметы с влиянием могут обладать свойствами, не встречающимися больше нигде)","(Los objetos influenciados pueden tener modificadores que no se encuentran en ningún otro lugar)","(ไอเทมที่มีอิทธิพล จะมีม็อดเฉพาะตัวที่ไม่อาจพบได้จากที่อื่น)","(勢力之物可以有專屬的詞綴)","","","","","","","","","",""
252,"ReminderTextKeystoneDivineFlesh","(All Damage taken bypasses Energy Shield\n50% of Elemental Damage taken as Chaos Damage\n+5% to maximum Chaos Resistance)","(Tous les Dégâts subis ignorent le Bouclier d'énergie\n50% des Dégâts élémentaires subis deviennent des Dégâts de chaos\n+5% à la Résistance au chaos maximale)","(Sämtlicher erlittener Schaden umgeht den Energieschild\nErleidet 50% des Elementarschadens als Chaosschaden\n+5% zu maximalem Chaoswiderstand)","(Divine Flesh: 受けるダメージの全てはエナジーシールドをバイパスする\n受けた元素ダメージの50%を混沌ダメージとして受ける\n混沌耐性の最大値 +5%)","(모든 받는 피해가 에너지 보호막을 무시함\n받는 원소 피해의 50%를 카오스 피해로 전환\n카오스 저항 최대치 +5%)","(Todo o Dano ignora o Escudo de Energia\n50% do Dano Elemental é sofrido como Dano de Caos\n+5% do máximo da Resistência a Caos)","(Весь получаемый урон обходит энергетический щит\n50% получаемого урона от стихий становится уроном хаосом\n+5% к максимальному сопротивлению хаосу)","(Todo el daño recibido atraviesa el escudo de energía\nEl 50% del daño elemental se recibe como daño de caos\n+5% a la resistencia al caos máxima)","(ความเสียหายทุกชนิดที่ได้รับจะทะลุโล่พลังงาน\nเปลี่ยน 50% ของความเสียหาย ธาตุ ที่ได้รับเป็น เคออส\nค่าต้านทาน เคออส สูงสุด +5%)","(全部承受傷害無視能量護盾\n承受 50% 元素傷害視為混沌傷害\n+5% 最大混沌抗性)","","","","","","","","","",""
253,"ReminderTextCruelty","(Cruelty makes all Skills Supported by Cruelty Support deal up to 40% more Damage over Time, based on the amount of Damage in the Hit which grants it)","(Cruauté permet aux Aptitudes modifiées par Soutien : Cruauté d'avoir jusqu'à 40% Davantage de Dégâts sur la durée, en fonction des Dégâts au Toucher qui vous ont donné Cruauté)","(Grausamkeit bewirkt, dass durch Grausamkeit unterstützte Fertigkeiten bis zu 40% mehr Schaden über Zeit verursachen, basierend auf der Schadensmenge des Treffers, der Grausamkeit gewährt hat)","(Cruelty: クルーエルティはクルーエルティにサポートされている全てのスキルの継続ダメージをそれを発生させた攻撃のヒットダメージに基づいて最大40%上昇させる)","(잔혹이 잔혹을 부여하는 명중의 피해량에 따라 잔혹 보조 효과가 적용되는 모든 스킬의 지속 피해를 최대 40% 증폭시킴)","(Crueldade faz com que as Habilidades Suportadas por Suporte: Crueldade causem até 40% mais Dano Degenerativo, baseado na quantidade de Dano no Acerto que o concedeu)","(Злость заставляет все умения, усиленные камнем поддержки Злость, наносить вплоть до 40% больше постепенного урона, в зависимости от даровавшего этот эффект удара)","(Crueldad hace que todas las habilidades asistidas por Asistencia de Crueldad inflijan hasta un 40% más de daño degenerativo, según la cantidad de daño que inflija el golpe que la otorga)","(อำมหิต ทำให้สกิลที่เสริมด้วย หินเสริม Cruelty สร้างความเสียหายต่อเนื่อง เพิ่มขึ้น สูงสุด อีก 40% โดยขึ้นกับความเสียหายจากการปะทะที่สร้างสถานะนั้น)","(殘酷使所有被殘酷輔助的技能，根據擊中的傷害總量，造成至多 40% 更多持續傷害)","","","","","","","","","",""
254,"ReminderTextKeystoneEverlastingSacrifice","(When you reach full Energy Shield, Sacrifice all Energy Shield to gain +5% to all Maximum Resistances for 4 seconds)","(Lorsque votre Bouclier d'énergie devient Plein, tout votre Bouclier d'énergie est sacrifié afin de vous octroyer +5% à toutes les Résistances maximales pendant 4 secondes)","(Wenn Ihr vollen Energieschild erreicht, wird sämtlicher Energieschild geopfert und für 4 Sekunden +5% zu allen maximalen Widerständen gewährt)","(Everlasting Sacrifice: エナジーシールドが最大になった時、全てのエナジーシールドを犠牲に4秒間全ての最大耐性に+5%を得る。)","(에너지 보호막이 최대에 도달하면, 에너지 보호막을 모두 희생하여 4초 동안 모든 저항 최대치를 +5% 얻습니다.)","(Quando atingir Escudo de Energia cheio, Sacrifica todo o Escudo de Energia para ganhar +5% do Máximo de Resistências por 4 segundos)","(Когда ваш энергетический щит заполняется, вы жертвуете всем энергетическим щитом и получаете +5% к максимуму всех сопротивлений на 4 секунды)","(Cuando llenas tu escudo de energía, sacrificas todo el escudo de energía para ganar +5% a todas las resistencias máximas durante 4 segundos)","(เมื่อคุณมี โล่พลังงานเต็ม สังเวย โล่พลังงานทั้งหมด เพื่อได้รับ ค่าต้านทาน ทุกธาตุ สูงสุด +5% เป็นเวลา 4 วินาที)","(當你滿能量護盾時，獻祭全部能量護盾以獲得 +5% 全部最大抗性 4 秒)","","","","","","","","","",""
255,"ReminderTextShepherdOfSouls","(When you use a Vaal Skill, other Vaal skills gain 50% of the consumed Souls. Deal 30% less Damage with Non-Vaal Skills)","(Lorsque vous utilisez une Aptitude vaal, les autres Aptitudes vaal gagnent 50% des Âmes consommées. Vous avez 30% de Perte de Dégâts avec les Aptitudes non vaal)","(Wenn Ihr eine Vaal-Fertigkeit verwendet, erhalten andere Vaal-Fertigkeiten 50% der verbrauchten Seelen. Verursacht 30% weniger Schaden mit Nicht-Vaal-Fertigkeiten)","(Shepherd of Souls: ヴァ―ルスキルを使用すると、消費した魂の50％がそれ以外のヴァ―ルスキルに追加される。ただし、ヴァ―ルスキルでないスキルのダメージが30％低下する)","(바알 스킬을 사용하면, 다른 바알 스킬들이 소모된 영혼의 50%를 얻습니다. 비-바알 스킬로 주는 피해가 30% 감폭됩니다.)","(Ao usar uma Habilidade Vaal, outras habilidades Vaal ganham 50% das Almas consumidas. Causa 30% menos Dano com Habilidades Não Vaal)","(Когда вы используете умение ваал, другие умения ваал получают 50% от затраченых душ. На 30% меньше урона умениями не-ваал)","(Cuando usas una habilidad vaal, las otras habilidades vaal ganan el 50% de las almas consumidas. Inflige un 30% menos de daño con habilidades que no sean vaal)","(เมื่อคุณใช้ สกิลวาล์ สกิลวาล์อื่นๆ จะได้รับวิญญาณที่ถูกใช้ไป 50% คุณสร้างความเสียหายด้วยสกิลที่ไม่ใช่ วาล์ ลดลง อีก 30%)","(當你使用瓦爾技能時，其他瓦爾技能獲得 50% 消耗的靈魂。非瓦爾技能造成 30% 更少傷害)","","","","","","","","","",""
256,"ReminderTextLifetap","(Lifetap grants 20% increased Life Recovery from Flasks)","(Ponction vitale octroie 20% d'Augmentation de la Récupération de Vie des Flacons)","(Aderlass gewährt 20% erhöhte Lebenswiederherstellung von Fläschchen)","(Lifetap: ライフタップはフラスコによるライフ回復を20%増加させる)","(생명력 전환 시 플라스크로 얻는 생명력 회복 20% 증가)","(Fonte de Vida concede Recuperação de Vida dos Frascos aumentada em 20%)","(Жизнеотвод дарует 20% увеличение восстановления здоровья от флаконов)","(Transfusión de vida otorga recuperación de vida con frascos aumentada un 20%)","(จ่ายชีวี เพิ่มการ เติมพลังชีวิต จาก ขวดยา 20%)","(活栓增加 20% 來自藥劑的生命回復)","","","","","","","","","",""
257,"ReminderTextKeystoneMagebane","(Dexterity provides no inherent bonus to Evasion Rating. +1% chance to Suppress Spell Damage per 15 Dexterity)","(La Dextérité n'octroie plus de bonus de Score d'Évasion inhérent. +1% de chances de Réprimer les Dégâts des Sorts tous les 15 de Dextérité)","(Geschick bietet keinen inhärenten Bonus auf den Ausweichwert. +1% Chance, Zauberschaden zu unterdrücken pro 15 Geschick)","(器用さは本来のボーナスを回避力に与えなくなる。器用さ15毎にスペルダメージ抑制確率を+1%)","(민첩이 회피에 직접적인 보너스를 주지 않습니다. 민첩 15당 주문 피해 억제 확률 1%를 부여합니다.)","(Destreza não concede nenhum bônus inerente para Evasão. +1% de chance de Suprimir Dano Mágico por cada 15 de Destreza)","(Ловкость перестаёт увеличивать уклонение. +1% шанс подавить урон от чар за каждые 15 ловкости)","(La destreza no otorga ninguna bonificación inherente a la evasión. +1% de probabilidad de atenuar el daño de los hechizos por cada 15 de destreza)","(Dexterity ไม่ให้โบนัสดั้งเดิมแก่ อัตราการหลบหลีก แต่มีโอกาส ยับยั้งความเสียหาย เวท +1% ต่อ Dexterity 15 หน่วย)","( 敏捷不提供固有的閃避值加成。每 15 點敏捷 +1 法術傷害壓抑率 )","","","","","","","","","",""
258,"ReminderTextSuppression","(50% of Damage from Suppressed Hits and Ailments they inflict is prevented)","(Lorsque des Dégâts au Toucher et avec les Altérations sont Réprimés, 50% de leur montant est absorbé)","(50% des Schadens von unterdrückten Treffern und Beeinträchtigungen, die sie verursachen, wird verhindert)","(抑制したヒットによるダメージとそのヒットが付与した状態異常によるダメージの50%を防ぐ)","(억제된 명중과 상태 이상으로 받는 피해의 50%를 방지합니다.)","(50% de Dano dos Acertos e Afecções Suprimidas que eles infligirem é negado)","(50% урона от подавленных ударов и накладываемых ими состояний предотвращается)","(El 50% del daño de los golpes y estados alterados atenuados que aplican se evita)","(ความเสียหาย 50% จากการปะทะและเจ็บป่วยที่ถูกยับยั้ง จะถูกยกเว้น)","( 來自壓抑的擊中和它們所造成異常狀態傷害的 50% 被阻止 )","","","","","","","","","",""
259,"ReminderTextKeystoneGhostDance","(Cannot Recover Energy Shield to above Evasion Rating. Every 2 seconds, gain a Ghost Shroud, up to a maximum of 3. When Hit, lose a Ghost Shroud to Recover Energy Shield equal to 3% of your Evasion Rating)","(Vous ne pouvez pas Récupérer de Bouclier d'énergie au-delà de votre Évasion. Toutes les 2 secondes, vous gagnez un Voile fantomatique, jusqu'à un maximum de 3. Lorsque vous êtes Touché, vous perdez un Voile fantomatique et Récupérez un montant de Bouclier d'énergie équivalent à 3% de votre Score d'Évasion)","(Ihr könnt keinen Energieschild über den Ausweichwert hinaus wiederherstellen. Erhaltet alle 2 Sekunden einen Geisterschleier, bis zu einem Maximum von 3. Wenn Ihr getroffen werdet, verliert Ihr einen Geisterschleier und stellt Energieschild in Höhe von 3% Eures Ausweichwerts wieder her)","(Ghost Dance: 回避力の値以上にエナジーシールドを回復できなくなる。2秒ごとにゴーストシュラウドを獲得し、その最大値は3である。ヒットを受けた際、ゴーストシュラウドを1つ取り除き、回避力の3%分のエナジーシールドを回復する)","(에너지 보호막 회복량은 회피를 넘어갈 수 없습니다. 2초마다 유령 연막 1개씩 획득하며, 유령 연막은 최대 3개입니다. 피격 시 유령 연막을 1개 잃고 회피의 3%와 동일한 에너지 보호막이 회복됩니다.)","(Não pode Recuperar Escudo de Energia acima da Evasão. A cada 2 segundos, ganha uma Mortalha Fantasma, máximo de 3. Quando Acertado, perca uma Mortalha Fantasma para Recuperar Escudo de Energia igual a 3% da sua Evasão)","(Нельзя восстановить энергетический щит выше уклонения. Каждые 2 секунды вы получаете Призрачный покров, вплоть до 3. При получении удара вы теряете Призрачный покров и восстанавливаете энергетический щит в размере 3% от вашего уклонения)","(No puedes recuperar escudo de energía por encima del valor de evasión. Cada 2 segundos, ganas un Velo fantasmal hasta un máximo de 3. Cuando te golpean, pierdes un Velo fantasmal y recuperas escudo de energía igual a un 3% de tu evasión)","(ไม่สามารถ เติมโล่พลังงาน ให้สูงไปกว่า อัตราการหลบหลีก ได้ แต่ทุก 2 วินาทีจะได้รับสถานะ ห่อวิญญาณ 1 ชั้น สูงสุด 3 ชั้น และเมื่อถูกปะทะจะสูญเสียสถานะ ห่อวิญญาณ 1 ชั้น เพื่อ เติมโล่พลังงาน เท่ากับ 3% ของ อัตราการหลบหลีก ของคุณ)","( 能量護盾無法回復超過閃避值。每 2 秒獲得 1 層幽魂屍布，最多 3 層。被擊中時，失去 1 層幽魂屍布以回復 3% 等同於你閃避值的能量護盾 )","","","","","","","","","",""
