"rownum","Id","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","SpawnWeight","WorldAreasKey","Image","AchievementItemsKeys","[i32]","MinDepth","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32","[i32]","[i32]","[i32]","[i32]"
160,"ForestCampsiteArmour","Lifeless Camp","Camp inanimé","Unbewohntes Lager","活気のないキャンプ","텅 빈 야영지","Acampamento Morto","Безжизненный лагерь","Campamento muerto","ค่ายไร้ชีวี","蒼白營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
161,"ForestCampsiteWeapon","Lifeless Camp","Camp inanimé","Unbewohntes Lager","活気のないキャンプ","텅 빈 야영지","Acampamento Morto","Безжизненный лагерь","Campamento muerto","ค่ายไร้ชีวี","蒼白營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
162,"ForestCampsiteTrinkets","Lifeless Camp","Camp inanimé","Unbewohntes Lager","活気のないキャンプ","텅 빈 야영지","Acampamento Morto","Безжизненный лагерь","Campamento muerto","ค่ายไร้ชีวี","蒼白營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
163,"ForestCampsiteCurrency","Lifeless Camp","Camp inanimé","Unbewohntes Lager","活気のないキャンプ","텅 빈 야영지","Acampamento Morto","Безжизненный лагерь","Campamento muerto","ค่ายไร้ชีวี","蒼白營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
164,"ForestCampsiteMaps","Lifeless Camp","Camp inanimé","Unbewohntes Lager","活気のないキャンプ","텅 빈 야영지","Acampamento Morto","Безжизненный лагерь","Campamento muerto","ค่ายไร้ชีวี","蒼白營地",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
165,"ForestTalisman","Ritual Grounds","Lieu rituel","Ritualstätte","儀式の地","의식의 대지","Local do Ritual","Ритуальное место","Tierras de ritual","ถิ่นทำพิธีกรรม","儀式之地",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Talisman",[],[2],[],"Contains Talismans","Présence de Talismans","Enthält Talismane","タリスマンがある","부적 포함","Contém Talismãs","Содержит талисманы","Contiene talismanes","มีสร้อยเครื่องราง","包含魔符",0,[],[0],[0],[100]
166,"ForestSandTrinkets","Dusty Grove","Bosquet poussiéreux","Verstaubter Hain","埃っぽい木立","먼지 쌓인 수목원","Sepúlcro Empoeirado","Запылённая роща","Arboleda polvorienta","สวนฝุ่นจับ","風塵樹叢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[200]
167,"ForestSandCurrency","Dusty Grove","Bosquet poussiéreux","Verstaubter Hain","埃っぽい木立","먼지 쌓인 수목원","Sepúlcro Empoeirado","Запылённая роща","Arboleda polvorienta","สวนฝุ่นจับ","風塵樹叢",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
168,"ForestSandMaps","Dusty Grove","Bosquet poussiéreux","Verstaubter Hain","埃っぽい木立","먼지 쌓인 수목원","Sepúlcro Empoeirado","Запылённая роща","Arboleda polvorienta","สวนฝุ่นจับ","風塵樹叢",[25],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Maps",[],[3],[35],"Contains Maps","Présence de Cartes","Enthält Karten","マップがある","지도 포함","Contém Mapas","Содержит карты","Contiene mapas","มีแผนที่","包含地圖",0,[0],[0],[0],[25]
169,"ForestNecromancerGeneric","Grim Copse","Bois sinistre","Düsterer Wald","気味の悪い雑木林","으스스한 잡목림","Bosque Sombrio","Мрачные заросли","Cadáver sombrío","ละเมาะดุร้าย","酷寒矮林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
170,"ForestNecromancerTinkets","Grim Copse","Bois sinistre","Düsterer Wald","気味の悪い雑木林","으스스한 잡목림","Bosque Sombrio","Мрачные заросли","Cadáver sombrío","ละเมาะดุร้าย","酷寒矮林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
171,"ForestNecromancerCurrency","Grim Copse","Bois sinistre","Düsterer Wald","気味の悪い雑木林","으스스한 잡목림","Bosque Sombrio","Мрачные заросли","Cadáver sombrío","ละเมาะดุร้าย","酷寒矮林",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
172,"ForestNecromancerMinions","Grim Copse","Bois sinistre","Düsterer Wald","気味の悪い雑木林","으스스한 잡목림","Bosque Sombrio","Мрачные заросли","Cadáver sombrío","ละเมาะดุร้าย","酷寒矮林",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Minion",[],[2],[50],"Contains Minion or Aura Items","Présence d'Objets de Créatures ou d'Auras","Enthält Kreaturen- oder Auren-Gegenstände","ミニオンまたはオーラアイテムがある","소환수 혹은 오라 아이템 포함","Contém Itens de Lacaios ou Aura","Содержит предметы приспешников или аур","Contiene objetos de esbirros o auras","มีไอเทมมิเนียนหรือออร่า","包含召喚物或光環物品",0,[0],[0],[0],[100]
173,"ForestDropbearsGeneric","Growling Grove","Bosquet rugissant","Brummender Hain","唸る木立","으르렁거리는 수목원","Sepúlcro Uivante","Шумная роща","Arboleda rugiente","สวนคำราม","咆哮樹叢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
174,"ForestDropbearsArmour","Growling Grove","Bosquet rugissant","Brummender Hain","唸る木立","으르렁거리는 수목원","Sepúlcro Uivante","Шумная роща","Arboleda rugiente","สวนคำราม","咆哮樹叢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
175,"ForestDropbearsWeapon","Growling Grove","Bosquet rugissant","Brummender Hain","唸る木立","으르렁거리는 수목원","Sepúlcro Uivante","Шумная роща","Arboleda rugiente","สวนคำราม","咆哮樹叢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
176,"ForestDropbearsTrinkets","Growling Grove","Bosquet rugissant","Brummender Hain","唸る木立","으르렁거리는 수목원","Sepúlcro Uivante","Шумная роща","Arboleda rugiente","สวนคำราม","咆哮樹叢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
177,"ForestDropbearsCurrency","Growling Grove","Bosquet rugissant","Brummender Hain","唸る木立","으르렁거리는 수목원","Sepúlcro Uivante","Шумная роща","Arboleda rugiente","สวนคำราม","咆哮樹叢",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
178,"ForestDevourersGeneric","Infested Thicket","Bocage infesté","Befallenes Dickicht","害虫の密林","감염된 잡목림","Matagal Infestado","Заражённая чащоба","Matorral infestado","ป่าชัฏสัตว์รังควาญ","病疫叢林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
179,"ForestDevourersArmour","Infested Thicket","Bocage infesté","Befallenes Dickicht","害虫の密林","감염된 잡목림","Matagal Infestado","Заражённая чащоба","Matorral infestado","ป่าชัฏสัตว์รังควาญ","病疫叢林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
180,"ForestDevourersWeapon","Infested Thicket","Bocage infesté","Befallenes Dickicht","害虫の密林","감염된 잡목림","Matagal Infestado","Заражённая чащоба","Matorral infestado","ป่าชัฏสัตว์รังควาญ","病疫叢林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
181,"ForestDevourersTrinkets","Infested Thicket","Bocage infesté","Befallenes Dickicht","害虫の密林","감염된 잡목림","Matagal Infestado","Заражённая чащоба","Matorral infestado","ป่าชัฏสัตว์รังควาญ","病疫叢林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
182,"ForestDevourersCurrency","Infested Thicket","Bocage infesté","Befallenes Dickicht","害虫の密林","감염된 잡목림","Matagal Infestado","Заражённая чащоба","Matorral infestado","ป่าชัฏสัตว์รังควาญ","病疫叢林",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
183,"CavernsNecromancerGeneric","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Раскопки некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
184,"CavernsNecromancerTrinkets","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Раскопки некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
185,"CavernsNecromancerCurrency","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Раскопки некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
186,"CavernsNecromancerMinions","Necromancer's Excavation","Excavation de nécromancien","Grabungsstätte des Nekromanten","ネクロマンサーの採掘場","네크로맨서의 발굴물","Escavação do Necromante","Раскопки некроманта","Excavación del Nigromante","สถานขุดค้นของหมอผี","死靈師的挖掘場",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Minion",[],[2],[50],"Contains Minion or Aura Items","Présence d'Objets de Créatures ou d'Auras","Enthält Kreaturen- oder Auren-Gegenstände","ミニオンまたはオーラアイテムがある","소환수 혹은 오라 아이템 포함","Contém Itens de Lacaios ou Aura","Содержит предметы приспешников или аур","Contiene objetos de esbirros o auras","มีไอเทมมิเนียนหรือออร่า","包含召喚物或光環物品",0,[0],[0],[0],[100]
187,"CavernsBeastGeneric","Beast Burrow","Terrier de Bête","Bestienbau","獣の巣穴","야수 토굴","Toca da Besta","Звериная нора","Madriguera de la bestia","หลุมรูสัตว์ร้าย","野獸陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
188,"CavernsBeastArmour","Beast Burrow","Terrier de Bête","Bestienbau","獣の巣穴","야수 토굴","Toca da Besta","Звериная нора","Madriguera de la bestia","หลุมรูสัตว์ร้าย","野獸陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
189,"CavernsBeastWeapon","Beast Burrow","Terrier de Bête","Bestienbau","獣の巣穴","야수 토굴","Toca da Besta","Звериная нора","Madriguera de la bestia","หลุมรูสัตว์ร้าย","野獸陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
190,"CavernsBeastTrinkets","Beast Burrow","Terrier de Bête","Bestienbau","獣の巣穴","야수 토굴","Toca da Besta","Звериная нора","Madriguera de la bestia","หลุมรูสัตว์ร้าย","野獸陋居",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
191,"CavernsBeastCurrency","Beast Burrow","Terrier de Bête","Bestienbau","獣の巣穴","야수 토굴","Toca da Besta","Звериная нора","Madriguera de la bestia","หลุมรูสัตว์ร้าย","野獸陋居",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
192,"CavernsBeastMinions","Beast Burrow","Terrier de Bête","Bestienbau","獣の巣穴","야수 토굴","Toca das Bestas","Звериная нора","Madriguera de la bestia","หลุมรูสัตว์ร้าย","野獸陋居",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Minion",[],[2],[50],"Contains Minion or Aura Items","Présence d'Objets de Créatures ou d'Auras","Enthält Kreaturen- oder Auren-Gegenstände","ミニオンまたはオーラアイテムがある","소환수 혹은 오라 아이템 포함","Contém Itens de Lacaios ou Aura","Содержит предметы приспешников или аур","Contiene objetos de esbirros o auras","มีไอเทมมิเนียนหรือออร่า","包含召喚物或光環物品",0,[0],[0],[0],[100]
193,"CavernsMossMonsterGeneric","Slumbering Boulders","Rochers assoupis","Schlummernde Felsbrocken","まどろむ巨石","움직이지 않는 바위","Pedredulhos Adormecidos","Дремлющие валуны","Pedruscos durmientes","กองหินที่หลับไหล","沉夢巨礫",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
194,"CavernsMossMonsterTrinkets","Slumbering Boulders","Rochers assoupis","Schlummernde Felsbrocken","まどろむ巨石","움직이지 않는 바위","Pedredulhos Adormecidos","Дремлющие валуны","Pedruscos durmientes","กองหินที่หลับไหล","沉夢巨礫",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
195,"CavernsMossMonsterCurrency","Slumbering Boulders","Rochers assoupis","Schlummernde Felsbrocken","まどろむ巨石","움직이지 않는 바위","Pedredulhos Adormecidos","Дремлющие валуны","Pedruscos durmientes","กองหินที่หลับไหล","沉夢巨礫",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
196,"CavernsMossMonsterGems","Slumbering Boulders","Rochers assoupis","Schlummernde Felsbrocken","まどろむ巨石","움직이지 않는 바위","Pedredulhos Adormecidos","Дремлющие валуны","Pedruscos durmientes","กองหินที่หลับไหล","沉夢巨礫",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
197,"CavernsRockGolemGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Destroços Inquietos","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
198,"CavernsRockGolemGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Destroços Inquietos","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
199,"CavernsChaosGolemGeneric","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Destroços Inquietos","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
200,"CavernsChaosGolemGems","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Destroços Inquietos","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Gems",[],[2],[],"Contains Gems","Présence de Gemmes","Enthält Gemmen","ジェムがある","젬 포함","Contém Gemas","Содержит камни","Contiene gemas","มีหิน","包含寶石",0,[],[0],[0],[20]
201,"CavernsChaosGolemChaos","Restless Rubble","Roches agitées","Unbeständige Trümmer","眠らぬ岩石","위태로운 돌덩이","Destroços Inquietos","Неспокойные валуны","Escombros inquietos","ซากหินไม่แน่นิ่ง","焦躁磚砌",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chaos",[],[2],[50],"Contains Chaos Items","Présence d'Objets du chaos","Enthält Chaos-Gegenstände","混沌アイテムがある","카오스 아이템 포함","Contém Itens de Caos","Содержит предметы хаоса","Contiene objetos de caos","มีไอเทมเคออส","包含混沌物品",0,[0],[0],[0],[100]
202,"Strongbox","Underground Stash","Réserve souterraine","Unterirdisches Versteck","地下のスタッシュ","지하 보관함","Baú Subterrâneo","Подземный запас","Alijo subterráneo","คลังเก็บของได้ดิน","地底藏匿所",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Strongbox",[],[2],[],"Contains Strongboxes","Présence de Coffres-forts","Enthält Tresore","ストロングボックスがある","금고 포함","Contém Cofres","Содержит ларцы","Contiene cajas fuertes","มีกล่องนิรภัย","包含保險箱",0,[],[0],[0],[100]
203,"CavernsBestiaryYellow","Echoing Lair","Tanière résonnante","Dröhnende Höhle","反響する棲み処","메아리 소굴","Covil Ecoante","Гулкое логово","Guarida resonante","ถ้ำสัตว์อันก้องสะท้อน","回響獸穴",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Bestiary",[],[2],[50],"Contains Animalistic Items","Présence d'Objets bestiaux","Enthält animalische Gegegenstände","ベスティアリーアイテムがある","동물성 아이템 포함","Contém Itens Animalísticos","Содержит звериные предметы","contiene objetos animalísticos","มีไอเทมสัตว์ป่า","包含野獸物品",0,[0],[0],[0],[100]
204,"CavernsBestiaryRed","Echoing Lair","Tanière résonnante","Dröhnende Höhle","反響する棲み処","메아리 소굴","Covil Ecoante","Гулкое логово","Guarida resonante","ถ้ำสัตว์อันก้องสะท้อน","回響獸穴",[100],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Bestiary",[],[2],[50],"Contains Animalistic Items","Présence d'Objets bestiaux","Enthält animalische Gegegenstände","ベスティアリーアイテムがある","동물성 아이템 포함","Contém Itens Animalísticos","Содержит звериные предметы","contiene objetos animalísticos","มีไอเทมสัตว์ป่า","包含野獸物品",0,[0],[0],[0],[100]
205,"CavernsCampsiteGeneric","Mouldy Camp","Camp moisi","Vermodertes Lager","かびたキャンプ","곰팡이 슨 야영지","Acampamento Abandonado","Затхлый лагерь","Campamento enmohecido","ค่ายปกคลุมไปด้วยรา","腐臭營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
206,"CavernsCampsiteArmour","Mouldy Camp","Camp moisi","Vermodertes Lager","かびたキャンプ","곰팡이 슨 야영지","Acampamento Abandonado","Затхлый лагерь","Campamento enmohecido","ค่ายปกคลุมไปด้วยรา","腐臭營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Armour",[],[0],[],"Contains Armour","Présence d'Armures","Enthält Rüstung","防具がある","방어구 포함","Contém Armaduras","Содержит доспехи","Contiene armaduras","มีเกราะ","包含護甲",0,[],[0],[0],[200]
207,"CavernsCampsiteWeapons","Mouldy Camp","Camp moisi","Vermodertes Lager","かびたキャンプ","곰팡이 슨 야영지","Acampamento Abandonado","Затхлый лагерь","Campamento enmohecido","ค่ายปกคลุมไปด้วยรา","腐臭營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Weapons",[],[0],[],"Contains Weapons","Présence d'Armes","Enthält Waffen","武器がある","무기 포함","Contém Armas","Содержит оружие","Contiene armas","มีอาวุธ","包含武器",0,[],[0],[0],[200]
208,"CavernsCampsiteTrinkets","Mouldy Camp","Camp moisi","Vermodertes Lager","かびたキャンプ","곰팡이 슨 야영지","Acampamento Abandonado","Затхлый лагерь","Campamento enmohecido","ค่ายปกคลุมไปด้วยรา","腐臭營地",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Trinkets",[],[1],[],"Contains Jewellery","Présence d'Accessoires","Enthält Schmuck","宝飾品がある","장신구 포함","Contém Acessórios","Содержит бижутерию","Contiene joyería","มีเครื่องประดับ","包含飾品",0,[],[0],[0],[20]
209,"CavernsCampsiteCurrency","Mouldy Camp","Camp moisi","Vermodertes Lager","かびたキャンプ","곰팡이 슨 야영지","Acampamento Abandonado","Затхлый лагерь","Campamento enmohecido","ค่ายปกคลุมไปด้วยรา","腐臭營地",[150],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Currency",[],[2],[],"Contains Currency","Présence d'Objets monétaires","Enthält Währungsgegenstände","カレンシーがある","화폐 포함","Contém Itens Monetários","Содержит валюту","Contiene objetos monetarios","มีเงินตรา","包含通貨",0,[],[0],[0],[20]
210,"CavernsSkeletonGeneric","Musty Grave","Tombe détériorée","Muffiges Grab","かび臭い墓","곰팡이 슨 묘지","Sepúlcro Mofado","Заплесневелая могила","Tumba mohosa","สุสานเหม็นอับ","霉菌古墓",[200],"","Art/2DArt/UIImages/InGame/Delve/MapEncounters/Chest",[],[0],[],"Contains Items","Présence d'Objets divers","Enthält Gegenstände","アイテムがある","아이템 포함","Contém Itens","Содержит предметы","Contiene objetos","มีไอเทม","包含物品",0,[],[0],[0],[200]
