"rownum","Id","SoundFile","BankFile","HASH16","IsAvailableInHideout","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"," (English)"," (French)"," (German)"," (Japanese)"," (Korean)"," (Portuguese)"," (Russian)"," (Spanish)"," (Thai)"," (Traditional Chinese)","MusicCategories","bool","i32"
283,"HideoutLunarisSolarisArenaSolaris","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",43253,1,"Eclipsed Hideout (Day)","Repaire éclipsé (jour)","Versteckter Altar (Tag)","ソラリス・ルナリスの隠れ家 (昼)","그늘진 은신처 (낮)","Refúgio Eclipsado (Dia)","Убежище затмения (день)","Guarida eclipsada (día)","ที่ซ่อน Eclipsed (กลางวัน)","藏身處 - 日月圓缺（白日）","","","","","","","","","","",[15],"",0
284,"HideoutLunarisSolarisArenaLunaris","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",34751,1,"Eclipsed Hideout (Night)","Repaire éclipsé (nuit)","Versteckter Altar (Nacht)","ソラリス・ルナリスの隠れ家 (夜)","그늘진 은신처 (밤)","Refúgio Eclipsado (Noite)","Убежище затмения (ночь)","Guarida eclipsada (noche)","ที่ซ่อน Eclipsed (กลางคืน)","藏身處 - 日月圓缺（夜晚）","","","","","","","","","","",[15],"",0
285,"HideoutKitavaArenaAct10","Audio/Music/Act5_RuinedSquare/Act5_RuinedSquare.ogg","Music19.bank",36378,1,"Ravenous Hideout","Repaire vorace","Verstecktes Kathedralendach","キタヴァの隠れ家","굶주린 은신처","Refúgio Faminto","Убежище алчности","Guarida voraz","ที่ซ่อน Ravenous","藏身處 - 貪婪之盡","","","","","","","","","","",[15],"",0
286,"HideoutSunken","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",18782,1,"Sunken Hideout","Repaire englouti","Versteckter Damm","水没した隠れ家","가라앉은 은신처","Refúgio Afundado","Затопленное убежище","Guarida hundida","ที่ซ่อน Sunken","藏身處 - 沉淪地域","","","","","","","","","","",[15],"",0
287,"HideoutShapersRealm","Audio/Music/AtlasOfWorlds/AtlasShapersRealm.ogg","Music16.bank",34604,1,"Celestial Hideout","Repaire céleste","Himmlisches Versteck","天上の隠れ家","천공의 은신처","Refúgio Celestial","Небесное убежище","Guarida celestial","ที่ซ่อน Celestial","藏身處 - 絢麗眾星","","","","","","","","","","",[15],"",0
288,"HideoutTwilightTempleSolaris","Audio/Music/Act3_Solaris/Act3_Solaris.ogg","Music7.bank",60486,1,"Divided Hideout (Solaris)","Repaire scindé (Solaris)","Versteckter Zwielichttempel (Solaris)","分割された隠れ家 (ソラリス)","갈라진 은신처 (솔라리스)","Refúgio Dividido (Solaris)","Разделенное убежище (Солярис)","Guarida dividida (Solaris)","ที่ซ่อน Divided (โซลาริส)","藏身處 - 暮光之殿（日耀）","","","","","","","","","","",[15],"",0
289,"HideoutTwilightTempleLunaris","Audio/Music/Act2_TempleRuin/Act2_TempleRuin.ogg","Music4.bank",48661,1,"Divided Hideout (Lunaris)","Repaire scindé (Lunaris)","Versteckter Zwielichttempel (Lunaris)","分割された隠れ家 (ルナリス)","갈라진 은신처 (루나리스)","Refúgio Dividido (Lunaris)","Разделенное убежище (Лунарис)","Guarida dividida (Lunaris)","ที่ซ่อน Divided (ลูนาริส)","藏身處 - 暮光之殿（月影）","","","","","","","","","","",[15],"",0
290,"HideoutHighGardens","Audio/Music/Act6_KaruiFortress/Act6_KaruiFortress","Music24.bank",61074,1,"Arboreal Hideout","Repaire arboricole","Versteckte Hochgärten","樹上の隠れ家","수목 은신처","Refúgio Arboreal","Древесное убежище","Guarida arbórea","ที่ซ่อน Arboreal","藏身處 - 樹之棲所","","","","","","","","","","",[15],"",0
291,"HideoutHauntedMansion","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",23230,1,"Haunted Hideout","Repaire hanté","Versteckte Geistervilla","幽霊屋敷の隠れ家","으스스한 은신처","Refúgio Assombrado","Убежище с привидениями","Guarida embrujada","ที่ซ่อน Haunted","藏身處 - 森幽莊園","","","","","","","","","","",[15],"",0
292,"HideoutPrisonTower","Audio/Music/Act6_Prison/Act6_Prison","Music23.bank",38628,1,"Brutal Hideout","Repaire pénitentiaire","Versteckter Turm","残虐な隠れ家","잔인한 은신처","Refúgio Brutal","Жестокое убежище","Guarida brutal","ที่ซ่อน Brutal","藏身處 - 行刑室","","","","","","","","","","",[15],"",0
293,"HideoutCrimsonTemple","Audio/Music/Act5_ChamberOfInnocence/Act5_ChamberOfInnocence.ogg","Music18.bank",39182,1,"Sanguine Hideout","Repaire sanglant","Versteckter Bluttempel","紅の隠れ家","핏빛 은신처","Refúgio Sanguinário","Кроваво-красное убежище","Guarida sanguina","ที่ซ่อน Sanguine","藏身處 - 緋紅之殿","","","","","","","","","","",[15],"",0
294,"HideoutIceberg","Audio/Music/Delve/DelveHub","Music25.bank",64285,1,"Glacial Hideout","Repaire glaciaire","Versteckter Gletscher","氷河の隠れ家","빙하의 은신처","Refúgio Glacial","Ледяное убежище","Guarida glacial","ที่ซ่อน Glacial","藏身處 - 凜凍冰川","","","","","","","","","","",[15],"",0
295,"HideoutMountain","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",9587,1,"Alpine Hideout","Repaire alpin","Verstecktes Gipfellager","雪山の隠れ家","고산지대 은신처","Refúgio Alpino","Высокогорное убежище","Guarida alpina","ที่ซ่อน Alpine","藏身處 - 山麓營地","","","","","","","","","","",[15],"",0
296,"HideoutDoomguard","Audio/Music/Act10_OriathDock/Act10_OriathDock.ogg","Music21.bank",54370,1,"Doomguard Hideout","Repaire de Garde-funeste","Unheilswächter-Versteck","ドゥームガードの隠れ家","파멸수호병 은신처","Refúgio da Guardião Devastador","Убежище Стража Рока","Guarida de guardia de condenación","ที่ซ่อน Doomguard","藏身處 - 厄夜衛士","","","","","","","","","","",[15],"",0
297,"HideoutSunspire","Audio/Music/Synthesis/MemoryNexus","Music25.bank",37893,1,"Sunspire Hideout","Repaire de Cime-soleil","Sonnenspitze-Versteck","サンスパイアの隠れ家","태양첨탑 은신처","Refúgio da Espiral Solar","Убежище Солнечного шпиля","Guarida de pináculo solar","ที่ซ่อน Sunspire","藏身處 - 烈陽之巔","","","","","","","","","","",[15],"",0
298,"HideoutDarkwood","Audio/Music/Act2_Cave/Act2_Cave.ogg","Music4.bank",1739,1,"Glimmerwood Hideout","Repaire de Boiscintillant","Düsterwald-Versteck","グリマーウッドの隠れ家","미광의 숲 은신처","Refúgio da Madeira Cintilante","Убежище темного леса","Guarida de bosque encantado","ที่ซ่อน Glimmerwood","藏身處 - 微熠之森","","","","","","","","","","",[15],"",0
299,"HideoutSpace","Audio/Music/AtlasOfWorlds/AtlasShapersRealm.ogg","Music16.bank",35022,1,"Celestial Nebula Hideout","Repaire de la Nébuleuse céleste","Himmlisches Sternenversteck","煌めく星雲の隠れ家","천공의 성운 은신처","Refúgio da Nébula Celestial","Убежище небесной туманности","Guarida de nebulosa celestial","ที่ซ่อน Celestial Nebula","藏身處 - 絢麗星雲","","","","","","","","","","",[15],"",0
300,"HideoutArenaGraveyardTrio","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",30781,1,"Entombed Hideout","Repaire inhumé","Versteckte Gruft","墓となった隠れ家","매장된 은신처","Refúgio Sepultado","Убежище в усыпальнице","Guarida de ultratumba","ที่ซ่อน Entombed","藏身處 - 萬聖墳場","","","","","","","","","","",[15],"",0
301,"HideoutArenaElder","Audio/Music/WarForTheAtlas/Elder","Music22.bank",26046,1,"Void Hideout","Repaire du Néant","Leerenversteck","エルダーの隠れ家","공허 은신처","Refúgio do Vazio","Убежище пустоты","Guarida del vacío","ที่ซ่อน Void","藏身處 - 虛空飄渺","","","","","","","","","","",[15],"",0
302,"HideoutChiyouSpring","Audio/Music/Synthesis/MemoryNexus","Music25.bank",63882,1,"Chiyou Hideout","Repaire Chiyou","Chiyou Hideout","蚩尤の隠れ家","치우 은신처","Refúgio Chiyou","Убежище Чи Ю","Guarida Chi You","ที่ซ่อน Chiyou","藏身處 - 蚩尤","","","","","","","","","","",[15],"",0
303,"HideoutBlankAbyss","Audio/Music/Act5_Ossuary/Act5_Ossuary.ogg","Music19.bank",32865,1,"Infinite Abyss Hideout","Repaire de l'abîme insondable","Versteckter Abgrund","無限の深遠の隠れ家","무한한 심연 은신처","Refúgio do Abismo Infinito","Убежище бесконечной бездны","Guarida de abismo infinito","ที่ซ่อน Infinite Abyss","藏身處 - 無盡深淵","","","","","","","","","","",[15],"",0
304,"HideoutBlankCity","Audio/Music/Act5_TemplarCourt/Act5_TemplarCourt.ogg","Music18.bank",26652,1,"Urban Sprawl Hideout","Repaire de l'expansion urbaine","Versteckte Stadt","石畳の広がる隠れ家","확산된 도심 은신처","Refúgio Expansão Urbana","Убежище городских просторов","Guarida de expansión urbana","ที่ซ่อน Urban Sprawl","藏身處 - 蔓延城市","","","","","","","","","","",[15],"",0
305,"HideoutBlankClouds","Audio/Music/Synthesis/MemoryNexus","Music25.bank",61767,1,"Boundless Skies Hideout","Repaire des cieux infinis","Versteckte Wolken","果てしない空の隠れ家","광대한 창공 은신처","Refúgio Firmamento Ilimitado","Убежище необъятных небес","Guarida de cielo infinito","ที่ซ่อน Boundless Skies","藏身處 - 無界天際","","","","","","","","","","",[15],"",0
306,"HideoutBlankDesert","Audio/Music/Act4_Arena/DaressoPit.ogg","Music13.bank",29167,1,"Endless Sands Hideout","Repaire du désert à perte de vue","Versteckte Wüste","終わりなき砂の隠れ家","끝없는 사막 은신처","Refúgio Areias Infinitas","Убежище бескрайних песков","Guarida de arenas interminables","ที่ซ่อน Endless Sands","藏身處 - 無限沙漠","","","","","","","","","","",[15],"",0
307,"HideoutBlankDirt","Audio/Music/Act4_Town/Act4_Town.ogg","Music10.bank",34522,1,"Eternal Wasteland Hideout","Repaire des terres désolées éternelles","Verstecktes Ödland","永遠の荒野の隠れ家","영원의 황무지 은신처","Refúgio Devastação Eterna","Убежище вечной пустоши","Guarida de páramo eterno","ที่ซ่อน Eternal Wasteland","藏身處 - 不朽荒地","","","","","","","","","","",[15],"",0
308,"HideoutBlankGrass","Audio/Music/Act2_Encampment/Act2_Encampment.ogg","Music3.bank",5889,1,"Vast Plains Hideout","Repaire des vastes plaines","Versteckte Ebenen","広大な平野の隠れ家","광활한 초원 은신처","Refúgio Planícies Vastas","Убежище привольных равнин","Guarida de planicies inmensas","ที่ซ่อน Vast Plains","藏身處 - 廣闊平原","","","","","","","","","","",[15],"",0
309,"HideoutBlankSea","Audio/Music/Vaal_Temple/Vaal_Temple","Music24.bank",58314,1,"All at Sea Hideout","Repaire en haute mer","Meeresversteck","大海の隠れ家","아득한 바다 은신처","Refúgio Marítimo","Убежище широкого моря","Guarida del mar","ที่ซ่อน All at Sea","藏身處 - 汪洋","","","","","","","","","","",[15],"",0
310,"HideoutBlankSnow","Audio/Music/Delve/DelveHub","Music25.bank",3594,1,"Glacial Expanse Hideout","Repaire de l'étendue glaciale","Versteckte Schneelandschaft","大雪原の隠れ家","드넓은 빙하 은신처","Refúgio da Expansão Glacial","Убежище ледниковой тверди","Guarida de extensión glacial","ที่ซ่อน Glacial Expanse","藏身處 - 冰河浩瀚","","","","","","","","","","",[15],"",0
311,"HideoutDark","Audio/Music/Act2_DarkForest/Act2_DarkForest.ogg","Music4.bank",11848,1,"Ghost-lit Graveyard Hideout","Repaire du Cimetière hanté","Geisterfriedhof-Versteck","鬼火の墓場の隠れ家","유령이 밝힌 묘지 은신처","Refúgio Cemitério Fantasmagórico","Призрачное кладбище","Guarida Cementerio de luz fantasmal","ที่ซ่อนสุสานแสงผี","藏身處 - 鬼魅陵墓","","","","","","","","","","",[15],"",0
312,"HideoutLight","Audio/Music/Act2_Encampment/Act2_Encampment.ogg","Music3.bank",64865,1,"Timekeeper's Hideout","Repaire du Gardien du temps","Versteck des Zeitmagiers","時の守り人の隠れ家","시간 기록자의 은신처","Refúgio do Cronometrista","Убежище хранителя времени","Guarida del Guardián del tiempo","ที่ซ่อนของผู้คุมกาลเวลา","藏身處 - 時間旅人","","","","","","","","","","",[15],"",0
313,"Lake","Audio/Music/LakeLeague/Lake","Lake.bank",36006,"","Lake","Lac","See ","レイク","호수","Lago","Озеро","Lago","ทะเลสาบ","迷湖","","","","","","","","","","",[13],"",0
314,"LakeOfKalandraHO","Audio/Music/LakeLeague/LakeOfKalandraHO","Lake.bank",38232,1,"Lake of Kalandra","Lake of Kalandra","See von Kalandra","カランドラの湖","칼란드라 호수","Lago de Kalandra","Озеро Каландры","Lago de Kalandra","ทะเลสาบคาลานดรา","卡蘭德迷湖","","","","","","","","","","",[13],1,0
315,"Sanctum","Audio/Music/SanctumLeague/Sanctum","Sanctum.bank",24684,"","","","","","","","","","","","","","","","","","","","","",[13],"",0
316,"SanctumHO","Audio/Music/SanctumLeague/SanctumHO","Sanctum.bank",39356,1,"Sanctum","Sanctum","Sanktum","サンクタム","성역","Sanctum","Святилище","Sanctum","เทวสถาน","禁忌聖域","","","","","","","","","","",[13],1,0
317,"CrucibleInMap","Audio/Music/CrucibleLeague/CrucibleInMap","Crucible.bank",44135,"","","","","","","","","","","","","","","","","","","","","",[13],1,0
318,"Crucible","Audio/Music/CrucibleLeague/Crucible","Crucible.bank",6865,"","","","","","","","","","","","","","","","","","","","","",[13],1,0
319,"CrucibleHO","Audio/Music/CrucibleLeague/CrucibleHO","Crucible.bank",27514,1,"Wisdom of the Ages","La Sagesse des âges","Weisheit des Alters","長年の英知","세월의 지혜","Sabedoria Secular","Мудрость веков","Sabiduría antigua","ปัญญาแห่งยุคสมัย","千古智慧","","","","","","","","","","",[13],1,0
320,"CrucibleFightHO","Audio/Music/CrucibleLeague/CrucibleFightHO","Crucible.bank",41418,1,"Titan's Call","L'Appel du Titan","Ruf der Titanen","タイタンの呼び声","거신의 부름","Chamado do Titã","Зов Титана","Llamada del titán","การเพรียกหาของไททัน","泰坦的呼喚","","","","","","","","","","",[13],1,0
321,"CrucibleMapHO","Audio/Music/CrucibleLeague/CrucibleMapHO","Crucible.bank",14610,1,"Forge of the Ancient's","Forge des Anciens","Schmiede der Uralten","古代人の鍛冶場","고대인의 대장간","Forja dos Ancestrais","Кузня Древних","Forja de los antiguos","เตาหลอมแห่งโบราณชน","遠古鍛造","","","","","","","","","","",[13],1,0
322,"TotATown","Audio/Music/AncestralLeague/TotAHallsOfTheDead","TrialOfTheAncestors.bank",64776,"","","","","","","","","","","","","","","","","","","","","",[13],"",0
323,"TotABattle","Audio/Music/AncestralLeague/TotABattle","TrialOfTheAncestors.bank",6830,"","","","","","","","","","","","","","","","","","","","","",[13],"",0
324,"TotATownHO","Audio/Music/AncestralLeague/TotAHallsOfTheDeadHO","TrialOfTheAncestorsHO.bank",30086,1,"The Halls of the Dead","Les Couloirs des morts","Die Hallen der Toten","死者の殿堂","죽음의 전당","Salões dos Mortos","Залы мёртвых","Los salones de los muertos","โถงแห่งผู้วายชนม์","亡者之殿","","","","","","","","","","",[13],1,0
325,"TotABattleHO","Audio/Music/AncestralLeague/TotABattleHO","TrialOfTheAncestorsHO.bank",8,1,"The Eye of Destiny","L'Œil de la destinée","Das Auge des Schicksals","運命の目","운명의 눈","O Olho do Destino","Око судьбы","El ojo del destino","ดวงตาแห่งชะตากรรม","命運之眼","","","","","","","","","","",[13],1,0
