"rownum","MetamorphosisRewardTypesKey","i32","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32"
225,22,8,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
226,22,9,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
227,22,10,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
228,22,11,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
229,22,12,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
230,22,13,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
231,22,14,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
232,22,15,"Drops additional Blight Oils","Cède des Huiles supplémentaires","Lässt zusätzliche Blight-Öle fallen","追加のブライトオイルをドロップ","역병 성유를 추가로 떨어뜨림","Derruba Óleos Blight adicionais","Бросает дополнительные масла Скверны","Arroja aceites de Blight adicionales","ดรอป น้ำมันไบล์ท เพิ่มเติม","掉落額外凋落油瓶",21332
233,22,16,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
234,22,17,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
235,22,18,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
236,22,19,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
237,22,20,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
238,22,21,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
239,22,22,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
240,22,23,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
241,22,24,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
242,22,25,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
243,22,26,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
244,22,27,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
245,22,28,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
246,22,29,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
247,22,30,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
248,22,31,"Drops a Blighted Map","Cède une Carte infestée","Lässt eine befallene Karte fallen","ブライトマップをドロップ","역병 걸린 지도를 떨어뜨림","Derruba um Mapa Infestado","Бросает заражённую карту","Arroja un mapa infestado","ดรอป แผนที่ไบล์ท 1 ชิ้น","掉落一張凋落的地圖",5439
249,23,0,"Drops additional Catalysts","Cède des Catalyseurs supplémentaires","Lässt zusätzliche Katalysatoren fallen","追加のカタリストをドロップ","기폭제를 추가로 떨어뜨림","Derruba Catalistas adicionais","Бросает дополнительные катализаторы","Arroja catalizadores adicionales","ดรอป ตัวเร่งปฏิกิริยา เพิ่มเติม","掉落額外催化劑",14784
250,23,1,"Drops additional Catalysts","Cède des Catalyseurs supplémentaires","Lässt zusätzliche Katalysatoren fallen","追加のカタリストをドロップ","기폭제를 추가로 떨어뜨림","Derruba Catalistas adicionais","Бросает дополнительные катализаторы","Arroja catalizadores adicionales","ดรอป ตัวเร่งปฏิกิริยา เพิ่มเติม","掉落額外催化劑",14784
251,23,2,"Drops additional Catalysts","Cède des Catalyseurs supplémentaires","Lässt zusätzliche Katalysatoren fallen","追加のカタリストをドロップ","기폭제를 추가로 떨어뜨림","Derruba Catalistas adicionais","Бросает дополнительные катализаторы","Arroja catalizadores adicionales","ดรอป ตัวเร่งปฏิกิริยา เพิ่มเติม","掉落額外催化劑",14784
252,22,32,"Drops a Map with a Blight Encounter","Cède une Carte avec une Rencontre avec l'Infestation","Lässt eine Karte mit einer Blight-Begegnung fallen","ブライトが追加されたマップをドロップ","역병 인카운터가 있는 지도를 떨어뜨림","Derruba um Mapa com um Encontro Blight","Бросает карту со схваткой со Скверной","Arroja un mapa con un encuentro de Blight","ดรอป แผนที่ ที่มี การเผชิญหน้าไบล์ท 1 ชิ้น","掉落有凋落事件的地圖",23869
253,21,5,"Drops additional Legion Splinters","Cède des Esquilles de Légion supplémentaires","Lässt zusätzliche Legion-Splitter fallen","追加のリージョンの破片をドロップ","군단 파편을 추가로 떨어뜨림","Derruba Fragmentos Legion adicionais","Бросает дополнительные осколки Легиона","Arroja fragmentos de Legion adicionales","ดรอป ชิ้นส่วนกองพัน เพิ่มเติม","掉落額外戰亂裂片",15116
254,3,10,"Drops additional Maps","Cède des Cartes supplémentaires","Lässt zusätzliche Karten fallen","追加のマップをドロップ","지도를 추가로 떨어뜨림","Derruma Mapas Adicionais","Бросает дополнительные карты","Arroja mapas adicionales","ดรอป แผนที่ เพิ่มเติม","掉落額外地圖",40327
255,24,0,"Drops a Turbulent Catalyst","Cède un Catalyseur agité","Lässt einen Stürmischen Katalysator fallen","大荒れのカタリストをドロップ","격동의 기폭제를 떨어뜨림","Derruba um Catalisador Turbulento","Бросает бурный катализатор","Arroja un catalizador turbulento","ดรอป Turbulent Catalyst 1 ชิ้น","掉落一個洶湧的催化劑",38920
256,25,0,"Drops an Imbued Catalyst","Cède un Catalyseur imprégné","Lässt einen Durchdrungenen Katalysator fallen","教示のカタリストをドロップ","부여의 기폭제를 떨어뜨림","Derruba um Catalisador Imbuído","Бросает волшебный катализатор","Arroja un catalizador imbuido","ดรอป Imbued Catalyst 1 ชิ้น","掉落一個充能的催化劑",46106
257,26,0,"Drops an Abrasive Catalyst","Cède un Catalyseur abrasif","Lässt einen Abschleifenden Katalysator fallen","研磨のカタリストをドロップ","연마의 기폭제를 떨어뜨림","Derruba um Catalisador Abrasivo","Бросает абразивный катализатор","Arroja un catalizador abrasivo","ดรอป Abrasive Catalyst 1 ชิ้น","掉落一個研磨的催化劑",3026
258,27,0,"Drops a Tempering Catalyst","Cède un Catalyseur trempé","Lässt einen Härtenden Katalysator fallen","焼き直しのカタリストをドロップ","완화의 기폭제를 떨어뜨림","Derruba um Catalisador Temperado","Бросает закаляющий катализатор","Arroja un catalizador templado","ดรอป Tempering Catalyst 1 ชิ้น","掉落一個冶鍊的催化劑",51849
259,28,0,"Drops a Fertile Catalyst","Cède un Catalyseur fertile","Lässt einen Fruchtbaren Katalysator fallen","肥沃のカタリストをドロップ","풍요의 기폭제를 떨어뜨림","Derruba um Catalisador Fértil","Бросает насыщенный катализатор","Arroja un catalizador fértil","ดรอป Fertile Catalyst 1 ชิ้น","掉落一個富饒的催化劑",32976
260,29,0,"Drops a Prismatic Catalyst","Cède un Catalyseur prismatique","Lässt einen Prismatischen Katalysator fallen","プリズムのカタリストをドロップ","분광의 기폭제를 떨어뜨림","Derruba um Catalisador Prismático","Бросает радужный катализатор","Arroja un catalizador prismático","ดรอป Prismatic Catalyst 1 ชิ้น","掉落一個多稜的催化劑",40095
261,30,0,"Drops an Intrinsic Catalyst","Cède un Catalyseur intrinsèque","Lässt einen Intrinsischen Katalysator fallen","本質のカタリストをドロップ","본질의 기폭제를 떨어뜨림","Derruba um Catalisador Intrínseco","Бросает истинный катализатор","Arroja un catalizador intrínseco","ดรอป Intrinsic Catalyst 1 ชิ้น","掉落一個本質的催化劑",32428
262,31,0,"Drops a Noxious Catalyst","Cède un Catalyseur nocif","Lässt einen Schädlichen Katalysator fallen","有毒なカタリストをドロップ","유독성 기폭제를 떨어뜨림","Derruba um Catalisador Nocivo","Бросает ядовитый катализатор","Arroja un catalizador nocivo","ดรอป Noxious Catalyst 1 ชิ้น","掉落一個毒性催化劑",53246
263,32,0,"Drops an Accelerating Catalyst","Cède un Catalyseur accélérant","Lässt einen Beschleunigenden Katalysator fallen","加速のカタリストをドロップ","가속의 기폭제를 떨어뜨림","Derruba um Catalisador Acelerador","Бросает ускоряющий катализатор","Arroja un catalizador acelerador","ดรอป Accelerating Catalyst 1 ชิ้น","掉落一個加速催化劑",10952
264,33,0,"Drops an Unstable Catalyst","Cède un Catalyseur instable","Lässt einen Instabilen Katalysator fallen","不安定なカタリストをドロップ","불안정한 기폭제를 떨어뜨림","Derruba um Catalisador Instável","Бросает нестабильный катализатор","Arroja un catalizador inestable","ดรอป Unstable Catalyst 1 ชิ้น","掉落一個易變催化劑",46515
