"rownum","Id","bool","IsLocal","IsWeaponLocal","Semantics","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","IsVirtual","MainHandAlias_StatsKey","OffHandAlias_StatsKey","bool","HASH32","BelongsActiveSkillsKey","Category","bool","bool","IsScalable","ContextFlags","[rid]"
12935,"off_hand_fire_damage_can_poison","","","",4,"","","","","","","","","","","",1,"","","",-768760147,[],"","","","",[2],[]
12936,"off_hand_cold_damage_can_poison","","","",4,"","","","","","","","","","","",1,"","","",-15395334,[],"","","","",[2],[]
12937,"off_hand_lightning_damage_can_poison","","","",4,"","","","","","","","","","","",1,"","","",-1672822637,[],"","","","",[2],[]
12938,"local_all_damage_can_poison","",1,1,4,"","","","","","","","","","","","",12939,12940,"",155518569,[],"","","","",[],[]
12939,"main_hand_local_all_damage_can_poison","","","",4,"","","","","","","","","","","","","","","",467883287,[],"","","","",[],[]
12940,"off_hand_local_all_damage_can_poison","","","",4,"","","","","","","","","","","","","","","",1035741003,[],"","","","",[],[]
12941,"from_quality_brand_activation_rate_+%_final_if_75%_attached_duration_expired","","","",1,"","","","","","","","","","","","","","",1,-1818034591,[],"","","",1,[],[]
12942,"combined_brand_activation_rate_+%_final_if_75%_attached_duration_expired",1,"","",1,"","","","","","","","","","",1,1,"","",1,-1631850563,[],"","","",1,[1],[]
12943,"damage_+%_while_an_ailment_on_you","","","",1,"","","","","","","","","","","",1,"","","",2055594547,[],"","","",1,[0],[]
12944,"projectiles_hitting_self_split_into_x",1,"","",3,"","","","","","","","","","",1,"","","",1,-603404160,[],"","","",1,[],[]
12945,"desecrate_chance_for_additional_corpse_%","","","",1,"","","","","","","","","","","","","","",1,1865597282,[],"","","",1,[],[]
12946,"desecrate_chance_for_special_corpse_%","","","",1,"","","","","","","","","","","","","","",1,1896110383,[],"","","",1,[],[]
12947,"evasion_rating_%_to_add_as_armour","","","",1,"","","","","","","","","","","","","","",1,-645184,[],"","","",1,[],[]
12948,"detonate_dead_damage_+%_if_corpse_ignited","","","",1,"","","","","","","","","","","","","","",1,1095870683,[],"","","",1,[],[]
12949,"detonate_mines_recover_permyriad_of_life_per_mine_detonated","","","",1,"","","","","","","","","","","","","","",1,-45798482,[],"","","",1,[],[]
12950,"discharge_damage_+%_if_3_charge_types_removed","","","",1,"","","","","","","","","","","","","","",1,860876238,[],"","","",1,[],[]
12951,"mine_projectile_speed_+%_per_frenzy_charge","","","",1,"","","","","","","","","","","","","","",1,1690833948,[],"","","",1,[],[]
12952,"puresteel_banner_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,157676191,[],"","","",1,[],[]
12953,"active_skill_quality_duration_+%_final","","","",1,"","","","","","","","","","","","","","",1,648939486,[],"","","",1,[],[]
12954,"damage_+%_vs_enemies_on_full_life","","","",1,"","","","","","","","","","","","","","",1,864718481,[],1,"","",1,[],[]
12955,"earthquake_initial_slam_area_of_effect_+%","","","",1,"","","","","","","","","","",1,"","","",1,257645099,[],"","","",1,[],[]
12956,"total_evasion_rating_%_as_armour","","","",1,"","","","","","","","","","","",1,"","","",-461082455,[],"","","",1,[0],[]
12957,"has_elemental_overload_buff","","","",4,"","","","","","","","","","","","","","","",611857894,[],"","","","",[],[]
12958,"skill_buff_grants_chance_to_freeze_%","","","",1,"","","","","","","","","","","","","","",1,597414915,[],"","","",1,[],[]
12959,"skill_buff_grants_damage_+%","","","",1,"","","","","","","","","","","","","","",1,-840836141,[],"","","",1,[],[]
12960,"skill_buff_grants_attack_and_cast_speed_+%","","","",1,"","","","","","","","","","",1,"","","",1,1469901972,[],"","","",1,[],[]
12961,"attack_speed_+%_while_phasing","","","",1,"","","","","","","","","","","","","","","",861825173,[],"","","",1,[],[]
12962,"grant_attacker_x_mana_flask_charges_when_hit_once_per_500ms","","","",3,"","","","","","","","","","","","","","",1,1294671564,[],"","","",1,[],[]
12963,"grant_attacker_x_life_flask_charges_when_hit_once_per_500ms","","","",3,"","","","","","","","","","","","","","",1,380493489,[],"","","",1,[],[]
12964,"damage_+%_with_hits_and_ailments","","","",1,"","","","","","","","","","","","","","","",1786700287,[],"","","",1,[],[]
12965,"consecrated_ground_area_+%",1,"","",1,"","","","","","","","","","",1,"","","",1,1110820962,[],18,"","",1,[],[]
12966,"conversion_trap_converted_enemies_chance_to_taunt_on_hit_%","","","",1,"","","","","","","","","","","","","","","",-2030966924,[],"","","",1,[],[]
12967,"conversation_trap_converted_enemy_damage_+%","","","",1,"","","","","","","","","","","","","","","",1142732989,[],"","","",1,[],[]
12968,"intimidate_nearby_enemies_on_use_for_ms","","","",3,"","","","","","","","","","","","","","","",-1063733118,[],"","","",1,[],[]
12969,"unnerve_nearby_enemies_on_use_for_ms","","","",3,"","","","","","","","","","","","","","","",-125354451,[],"","","",1,[],[]
12970,"cremation_base_fires_projectile_every_x_ms","","","",3,"","","","","","","","","","","","","","","",-1606238151,[],"","","",1,[],[]
12971,"cremation_fires_projectiles_faster_+%_final","","","",1,"","","","","","","","","","","","","","","",2146138392,[],"","","",1,[],[]
12972,"cyclone_max_stages_movement_speed_+%","","","",1,"","","","","","","","","","","","","","","",2028344719,[],"","","",1,[],[]
12973,"avoid_interruption_while_using_this_skill_%","","","",1,"","","","","","","","","","","","","","","",-187906397,[],"","","",1,[],[]
12974,"dark_pact_minions_recover_%_life_on_hit","","","",1,"","","","","","","","","","","","","","","",-402464069,[],"","","",1,[],[]
12975,"dash_grants_phasing_after_use_ms","","","",1,"","","","","","","","","","","","","","","",1700216670,[],"","","",1,[],[]
12976,"totems_regenerate_%_life_per_minute","","","",1,"","","","","","","","","","","","","","","",577118443,[],"","","",1,[],[]
12977,"totems_explode_on_death_for_%_life_as_physical",1,"","",1,"","","","","","","","","","","","","","","",-402297019,[],"","","",1,[],[]
12978,"virtual_cremation_fires_projectile_every_x_ms","","","",3,"","","","","","","","","","",1,1,"","",1,-76615837,[],"","","",1,[1],[]
12979,"contagion_spread_on_hit_affected_enemy_%","","","",1,"","","","","","","","","","","","","","","",864942579,[],"","","",1,[],[]
12980,"impale_on_hit_%_chance",1,"","",1,"","","","","","","","","","","","","","",1,98379192,[],18,"","",1,[],[]
12981,"chaos_damage_resistance_%_when_stationary","","","",1,"","","","","","","","","","","","","","","",-1243432895,[],"","","",1,[],[]
12982,"add_power_charge_on_hit_while_poisoned_%","","","",1,"","","","","","","","","","","","","","","",-1938636295,[],"","","",1,[],[]
12983,"movement_speed_+%_while_poisoned","","","",1,"","","","","","","","","","","","","","","",-1489371744,[],"","","",1,[],[]
12984,"spell_hits_against_you_inflict_poison_%","","","",1,"","","","","","","","","","","","","","","",-1217551355,[],"","","",1,[],[]
12985,"necrotic_footprints_from_item",1,"","",4,"","","","","","","","","","",1,"","","",1,361359664,[],"","","","",[],[]
12986,"elemental_damage_resistance_+%","","","",1,"","","","","","","","","","","","","","","",-648156621,[],"","","",1,[],[]
12987,"defences_are_zero","","","",4,"","","","","","","","","","","","","","","",-2096390277,[],"","","","",[],[]
12988,"gain_up_to_maximum_fragile_regrowth_when_hit",1,"","",4,"","","","","","","","","","","","","","",1,-1757258849,[],"","","","",[],[]
12989,"gain_x_fragile_regrowth_per_second",1,"","",3,"","","","","","","","","","","","","","",1,-1970535605,[],"","","",1,[],[]
12990,"ember_projectile_spread_area_+%","","","",1,"","","","","","","","","","",1,"","","",1,46460638,[],"","","",1,[],[]
12991,"blackhole_pulse_frequency_+%","","","",1,"","","","","","","","","","",1,"","","",1,-317722307,[],"","","",1,[],[]
12992,"disintegrate_secondary_beam_angle_+%","","","",1,"","","","","","","","","","",1,"","","",1,-1508138574,[],"","","",1,[],[]
12993,"steel_skill_%_chance_to_not_consume_ammo","","","",1,"","","","","","","","","","","","","","",1,-1865503006,[],"","","",1,[],[]
12994,"firewall_applies_%_fire_exposure","","","",1,"","","","","","","","","","","","","","",1,271239528,[],"","","",1,[],[]
12995,"lancing_steel_damage_+%_at_close_range","","","",1,"","","","","","","","","","","","","","",1,2137108844,[],"","","",1,[],[]
12996,"lancing_steel_targeting_range_+%","","","",1,"","","","","","","","","","",1,"","","",1,1927209313,[],"","","",1,[],[]
12997,"glacial_cascade_travel_speed_+%","","","",1,"","","","","","","","","","",1,"","","",1,452138989,[],"","","",1,[],[]
12998,"lancing_steel_%_chance_to_not_consume_ammo",1,"","",1,"","","","","","","","","","","","","","","",-1468160308,"[""lancing_steel_new""]","","","",1,[],[]
12999,"shattering_steel_%_chance_to_not_consume_ammo",1,"","",1,"","","","","","","","","","","","","","","",634733437,"[""shattering_steel""]","","","",1,[],[]
13000,"impacting_steel_%_chance_to_not_consume_ammo",1,"","",1,"","","","","","","","","","","","","","","",-698242543,"[""splitting_steel""]","","","",1,[],[]
13001,"active_skill_added_damage_+%_final","","","",1,"","","","","","","","","","","","","","","",1055068804,[],"","","",1,[],[]
13002,"cast_when_damage_taken_trigger_threshold_+%","","","",1,"","","","","","","","","","","","","","","",-685573973,[],"","","",1,[],[]
13003,"withering_step_chance_to_not_remove_on_skill_use_%","","","",1,"","","","","","","","","","","","","","","",-1204704090,[],"","","",1,[],[]
13004,"close_combat_damage_to_close_range_+%","","","",1,"","","","","","","","","","","","","","","",1837860321,[],"","","",1,[],[]
13005,"damage_+%_for_non_minions","","","",1,"","","","","","","","","","","","","","","",-1188542539,[],"",1,"",1,[],[]
13006,"regenerate_%_life_over_1_second_on_skill_use","","","",1,"","","","","","","","","","","","","","",1,216315497,[],"","","",1,[],[]
13007,"wither_applies_additional_wither_%","","","",1,"","","","","","","","","","","","","","","",2020502338,[],"","","",1,[],[]
13008,"local_gem_str_requirement_+%",1,1,"",1,"","","","","","","","","","","","","","","",1713245055,[],"","","",1,[],[]
13009,"local_gem_dex_requirement_+%",1,1,"",1,"","","","","","","","","","","","","","","",1017839842,[],"","","",1,[],[]
13010,"local_gem_int_requirement_+%",1,1,"",1,"","","","","","","","","","","","","","","",1165342587,[],"","","",1,[],[]
13011,"intensity_loss_frequency_while_moving_+%","","","",1,"","","","","","","","","","","","","","","",-1407715497,[],"","","",1,[],[]
13012,"flicker_strike_teleport_range_+%","","","",1,"","","","","","","","","","",1,"","","",1,321793562,[],"","","",1,[],[]
13013,"cremation_chance_to_explode_nearby_corpse_when_firing_projectiles","","","",1,"","","","","","","","","","","","","","","",-1827511296,[],"","","",1,[],[]
13014,"trap_spread_+%","","","",1,"","","","","","","","","","","","","","","",154582579,[],"","","",1,[],[]
13015,"spike_slam_additional_spike_%_chance","","","",1,"","","","","","","","","","",1,"","","",1,-637970493,[],"","","",1,[],[]
13016,"spike_slam_fissure_length_+%","","","",1,"","","","","","","","","","",1,"","","",1,-1412891083,[],"","","",1,[],[]
13017,"spike_slam_fissure_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,-865871054,[],"","","",1,[],[]
13018,"spike_slam_spike_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,-260858685,[],"","","",1,[],[]
13019,"ensnaring_arrow_enemy_spell_damage_taken_+%","","","",1,"","","","","","","","","","","","","","",1,-1265186929,[],"","","",1,[],[]
13020,"flame_dash_burning_damage_+%_final","","","",1,"","","","","","","","","","","","","","",1,1692462605,[],"","","",1,[],[]
13021,"flameblast_maximum_stages","","","",3,"","","","","","","","","","",1,"","","",1,-2067134992,[],"","","",1,[],[]
13022,"flameblast_area_+%_final_per_stage","","","",1,"","","","","","","","","","",1,"","","",1,1639433496,[],"","","",1,[],[]
13023,"damage_+%_if_changed_stances_recently","","","",1,"","","","","","","","","","","","","","",1,675585877,[],"","","",1,[],[]
13024,"freezing_pulse_damage_+%_final_at_long_range","","","",1,"","","","","","","","","","","","","","",1,-74179544,[],"","","",1,[],[]
13025,"ailment_damage_+%_per_frenzy_charge","","","",1,"","","","","","","","","","","","","","",1,586993357,[],"","","",1,[],[]
13026,"frostbolt_projectile_speed_+%_final","","","",1,"","","","","","","","","","",1,"","","",1,-604350359,[],"","","",1,[],[]
13027,"shrapnel_shot_cone_placement_distance_+","","","",3,"","","","","","","","","","",1,"","","",1,1221926458,[],"","","",1,[],[]
13028,"spiritual_cry_double_movement_velocity_+%","","","",1,"","","","","","","","","","","","","","",1,-1056513899,[],"","","",1,[],[]
13029,"buff_time_passed_+%_only_buff_category","","","",1,"","","","","","","","","","","","","","",1,1637709349,[],"","","",1,[],[]
13030,"movement_velocity_+%_on_chilled_ground","","","",1,"","","","","","","","","","","","","","",1,329351717,[],"","","",1,[],[]
13031,"base_spell_damage_taken_+%","","","",1,"","","","","","","","","","","","","","","",789737380,[],"","","",1,[],[]
13032,"virtual_cast_when_damage_taken_threshold","","","",3,"","","","","","","","","","","",1,"","",1,-125760762,[],"","","",1,[1],[]
13033,"damage_+%_from_distance","","","",1,"","","","","","","","","","","","","","","",-1962351803,[],"","","",1,[],[]
13034,"virtual_regenerate_x_life_over_1_second_on_skill_use_or_trigger",1,"","",3,"","","","","","","","","","","",1,"","",1,-2024000756,[],"","","",1,[1],[]
13035,"frost_globe_life_regeneration_rate_per_minute_%","","","",1,"","","","","","","","","","","","","","",1,-610523758,[],"","","",1,[],[]
13036,"circle_of_power_upgrade_cost_+%","","","",1,"","","","","","","","","","","","","","","",-745623665,[],"","","",1,[],[]
13037,"circle_of_power_critical_strike_chance_+%_per_stage","","","",1,"","","","","","","","","","","","","","",1,1146617625,[],"","","",1,[],[]
13038,"main_hand_skeleton_warrior_triple_damage",1,"","",4,"","","","","","","","","","",1,"","","",1,-1690959554,[],"","","","",[],[]
13039,"off_hand_skeleton_warrior_triple_damage",1,"","",4,"","","","","","","","","","",1,"","","",1,-752925034,[],"","","","",[],[]
13040,"main_hand_always_deals_triple_damage","","","",4,"","","","","","","","","","","","","","","",-1700657514,[],"","","","",[],[]
13041,"off_hand_always_deals_triple_damage","","","",4,"","","","","","","","","","","","","","","",1513958278,[],"","","","",[],[]
13042,"base_damage_+%_while_an_ailment_on_you","","","",1,"","","","","","","","","","","","","","","",-235293794,[],"","","",1,[],[]
13043,"blazing_salvo_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",-925118726,"[""blazing_salvo""]","","","",1,[],[]
13044,"blazing_salvo_number_of_additional_projectiles",1,"","",3,"","","","","","","","","","","","","","","",1252129522,"[""blazing_salvo""]","","","",1,[],[]
13045,"void_sphere_cooldown_speed_+%",1,"","",1,"","","","","","","","","","","","","","","",-1093052159,"[""void_sphere""]","","","",1,[],[]
13046,"crackling_lance_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",-171789718,"[""crackling_lance""]","","","",1,[],[]
13047,"crackling_lance_cast_speed_+%",1,"","",1,"","","","","","","","","","","","","","","",-207766242,"[""crackling_lance""]","","","",1,[],[]
13048,"frost_globe_added_cooldown_count",1,"","",3,"","","","","","","","","","","","","","","",1835728211,"[""frost_globe""]","","","",1,[],[]
13049,"splitting_steel_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",86442948,"[""splitting_steel""]","","","",1,[],[]
13050,"splitting_steel_area_of_effect_+%",1,"","",1,"","","","","","","","","","","","","","","",-1674707039,"[""splitting_steel""]","","","",1,[],[]
13051,"flame_wall_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",1445687196,"[""firewall""]","","","",1,[],[]
13052,"flame_wall_minimum_added_fire_damage",1,"","",3,"","","","","","","","","","","","","","",1,-875947406,[],"","","",1,[],[]
13053,"flame_wall_maximum_added_fire_damage",1,"","",3,"","","","","","","","","","","","","","",1,906054277,[],"","","",1,[],[]
13054,"lancing_steel_number_of_additional_projectiles",1,"","",3,"","","","","","","","","","","","","","","",139562203,"[""lancing_steel"",""lancing_steel_new""]","","","",1,[],[]
13055,"glacial_cascade_physical_damage_%_to_add_as_cold",1,"","",1,"","","","","","","","","","","","","","","",-1518440663,"[""player_glacial_cascade""]","","","",1,[],[]
13056,"discharge_radius_+",1,"","",3,"","","","","","","","","","","","","","","",811729405,"[""discharge""]","","","",1,[],[]
13057,"hexblast_damage_+%",1,"","",1,"","","","","","","","","","","","","","","",587836626,"[""hexblast""]","","","",1,[],[]
13058,"hexblast_skill_area_of_effect_+%",1,"","",1,"","","","","","","","","","","","","","","",1779854442,"[""hexblast""]","","","",1,[],[]
13059,"hexblast_%_chance_to_not_consume_hex","","","",1,"","","","","","","","","","","","","","",1,-262389686,[],"","","",1,[],[]
13060,"chance_to_be_hindered_when_hit_by_spells_%","","","",1,"","","","","","","","","","","","","","",1,363937317,[],"","","",1,[],[]
13061,"skill_is_mark_skill","","","",4,"","","","","","","","","","","","","","","",-669516423,[],"","","","",[],[]
13062,"hex_skill_cast_speed_+%","","","",1,"","","","","","","","","","","","","","","",-279994243,[],3,"","",1,[],[]
13063,"mark_skill_cast_speed_+%","","","",1,"","","","","","","","","","","","","","","",1590029358,[],3,"","",1,[],[]
13064,"hex_skill_duration_+%","","","",1,"","","","","","","","","","","","","","","",-1655571737,[],18,"","",1,[],[]
13065,"mark_skill_duration_+%","","","",1,"","","","","","","","","","","","","","","",1057440292,[],18,"","",1,[],[]
13066,"local_socketed_hex_gem_level_+","",1,"",3,"","","","","","","","","","","","","","","",-1168199091,[],"","","",1,[],[]
13067,"critical_strike_chance_+%_vs_marked_enemy","","","",1,"","","","","","","","","","","","","","","",1173009387,[],4,"","",1,[],[]
13068,"culling_strike_vs_marked_enemy","","","",4,"","","","","","","","","","","","","","","",1162092652,[],18,"","","",[],[]
13069,"marked_enemy_damage_taken_+%","","","",1,"","","","","","","","","","","","","","","",-290490651,[],1,"","",1,[],[]
13070,"hex_effect_gain_per_minute","","","",3,"","","","","","","","","","","",1,"","",1,-196745689,[],"","","",1,[1],[]
13071,"marked_enemy_accuracy_rating_+%","","","",1,"","","","","","","","","","","","","","","",1064167848,[],18,"","",1,[],[]
13072,"flask_charges_gained_from_marked_enemy_+%","","","",1,"","","","","","","","","","","","","","","",171838091,[],17,"","",1,[],[]
13073,"heist_contract_avoid_alarm_chance_%_on_kill","","","",1,"","","","","","","","","","","","","","","",-35418059,[],"","","",1,[],[]
13074,"heist_contract_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",-450649095,[],"","","",1,[],[]
13075,"heist_contract_detect_patrol_radius_when_no_alert","","","",3,"","","","","","","","","","","","","","","",944602897,[],"","","",1,[],[]
13076,"is_escaping_heist","","","",4,"","","","","","","","","","","","","","","",-435741447,[],"","","","",[],[]
13077,"damage_+%_while_not_escaping_heist","","","",1,"","","","","","","","","","","","","","","",830021765,[],"","","",1,[],[]
13078,"critical_strike_chance_+%_while_not_escaping_heist","","","",1,"","","","","","","","","","","","","","","",1088657465,[],"","","",1,[],[]
13079,"critical_strike_multiplier_+_while_not_escaping_heist","","","",1,"","","","","","","","","","","","","","","",1220614774,[],"","","",1,[],[]
13080,"movement_speed_+%_while_not_escaping_heist","","","",1,"","","","","","","","","","","","","","","",1195180805,[],"","","",1,[],[]
13081,"damage_vs_enemies_on_full_life_+%","","","",1,"","","","","","","","","","","","","","","",-165642011,[],"","","",1,[],[]
13082,"heist_contract_primary_target_value_+%","","","",1,"","","","","","","","","","","","","","","",-440194790,[],"","","",1,[],[]
13083,"heist_contract_lockdown_timer_+","","","",3,"","","","","","","","","","","","","","","",1293200875,[],"","","",1,[],[]
13084,"heist_contract_lockdown_timer_+_halved","","","",3,"","","","","","","","","","","","","","","",-2108415638,[],"","","",1,[],[]
13085,"heist_job_level_+","","","",3,"","","","","","","","","","",1,"","","",1,756836740,[],"","","",1,[],[]
13086,"heist_job_lockpicking_no_alert_multiplier","","","",4,"","","","","","","","","","",1,"","","",1,341977640,[],"","","","",[],[]
13087,"heist_job_brute_force_no_alert_multiplier","","","",4,"","","","","","","","","","",1,"","","",1,-1719312756,[],"","","","",[],[]
13088,"heist_job_demolition_no_alert_multiplier","","","",4,"","","","","","","","","","",1,"","","",1,-667888790,[],"","","","",[],[]
13089,"heist_job_counter_thaumaturgy_no_alert_multiplier","","","",4,"","","","","","","","","","",1,"","","",1,-329638754,[],"","","","",[],[]
13090,"heist_job_engineering_no_alert_multiplier","","","",4,"","","","","","","","","","",1,"","","",1,-1739064411,[],"","","","",[],[]
13091,"heist_job_lockpicking_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",-1933633751,[],"","","",1,[],[]
13092,"heist_job_brute_force_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",-920735560,[],"","","",1,[],[]
13093,"heist_job_perception_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",1044790731,[],"","","",1,[],[]
13094,"heist_job_demolition_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",1799210157,[],"","","",1,[],[]
13095,"heist_job_counter_thaumaturgy_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",416925503,[],"","","",1,[],[]
13096,"heist_job_trap_disarmament_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",-788325561,[],"","","",1,[],[]
13097,"heist_job_agility_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",911527318,[],"","","",1,[],[]
13098,"heist_job_deception_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",949554482,[],"","","",1,[],[]
13099,"heist_job_engineering_avoid_alarm_chance_%_on_open_chest","","","",1,"","","","","","","","","","","","","","","",-100293453,[],"","","",1,[],[]
13100,"heist_contract_npc_lockpicking_cost_+%","","","",1,"","","","","","","","","","","","","","","",2038699005,[],"","","",1,[],[]
13101,"heist_contract_npc_brute_force_cost_+%","","","",1,"","","","","","","","","","","","","","","",978318584,[],"","","",1,[],[]
13102,"heist_contract_npc_perception_cost_+%","","","",1,"","","","","","","","","","","","","","","",-2073068824,[],"","","",1,[],[]
13103,"heist_contract_npc_demolition_cost_+%","","","",1,"","","","","","","","","","","","","","","",-186436545,[],"","","",1,[],[]
13104,"heist_contract_npc_counter_thaumaturgy_cost_+%","","","",1,"","","","","","","","","","","","","","","",431369489,[],"","","",1,[],[]
13105,"heist_contract_npc_trap_disarmament_cost_+%","","","",1,"","","","","","","","","","","","","","","",860155186,[],"","","",1,[],[]
13106,"heist_contract_npc_agility_cost_+%","","","",1,"","","","","","","","","","","","","","","",-722568005,[],"","","",1,[],[]
13107,"heist_contract_npc_deception_cost_+%","","","",1,"","","","","","","","","","","","","","","",-1428246812,[],"","","",1,[],[]
13108,"heist_contract_npc_engineering_cost_+%","","","",1,"","","","","","","","","","","","","","","",333292321,[],"","","",1,[],[]
13109,"heist_contract_additional_whakano_intelligence_chance_on_completion_%","","","",1,"","","","","","","","","","","","","","","",-984442204,[],"","","",1,[],[]
13110,"virtual_physical_damage_%_to_add_as_random_element","","","",1,"","","","","","","","","","","",1,"","","",-1074252884,[],"","","",1,[26],[]
13111,"elemental_penetration_%_while_chilled","","","",1,"","","","","","","","","","","","","","","",-163900731,[],"","","",1,[],[]
13112,"elemental_damage_additional_rolls_lucky_shocked","","","",4,"","","","","","","","","","","","","","","",-1861627319,[],"","","","",[],[]
13113,"physical_damage_%_to_add_as_random_element_while_ignited","","","",1,"","","","","","","","","","","","","","","",56436978,[],"","","",1,[],[]
13114,"additional_spell_block_%_if_havent_blocked_recently","","","",1,"","","","","","","","","","","","","","","",-5860469,[],"","","",1,[],[]
13115,"local_energy_shield_regeneration_per_minute_%_if_crit_recently","",1,1,1,"","","","","","","","","","","","",13116,13117,"",863725367,[],"","","",1,[],[]
13116,"main_hand_energy_shield_regeneration_per_minute_%_if_crit_recently","",1,"",1,"","","","","","","","","","","","","","","",1008138714,[],"","","",1,[],[]
13117,"off_hand_energy_shield_regeneration_per_minute_%_if_crit_recently","",1,"",1,"","","","","","","","","","","","","","","",-1064862370,[],"","","",1,[],[]
13118,"cold_damage_+%_per_missing_cold_resistance","","","",1,"","","","","","","","","","","","","","","",903865825,[],"","","",1,[],[]
13119,"fire_damage_+%_per_missing_fire_resistance","","","",1,"","","","","","","","","","","","","","","",-1134233011,[],"","","",1,[],[]
13120,"missing_fire_resistance_%","","","",1,"","","","","","","","","","","",1,"","","",1348272789,[],"","","",1,[0],[]
13121,"missing_cold_resistance_%","","","",1,"","","","","","","","","","","",1,"","","",39487650,[],"","","",1,[0],[]
13122,"call_of_steel_reload_time","","","",3,"","","","","","","","","","","","","","",1,1838019224,[],"","","",1,[],[]
13123,"call_of_steel_reload_amount","","","",3,"","","","","","","","","","","","","","",1,2121468310,[],"","","",1,[],[]
13124,"max_steel_ammo","","","",3,"","","","","","","","","","","","","","",1,-2136083490,[],1,"","",1,[],[]
13125,"heist_contract_alert_level_from_guards_+%",1,"","",1,"","","","","","","","","","","","","","","",-1341443237,[],"","","",1,[],[]
13126,"heist_contract_alert_level_from_patrols_+%",1,"","",1,"","","","","","","","","","","","","","","",634515156,[],"","","",1,[],[]
13127,"local_display_socketed_gems_supported_by_level_x_pinpoint","",1,"",3,"","","","","","","","","","","","","","","",1959814824,[],"","","","",[],[]
13128,"curse_on_block_%_chance_flammability_with_+20%_effect","","","",1,"","","","","","","","","","","","","","","",1179834137,[],"","","",1,[],[]
13129,"replica_unique_hyrris_truth_hatred_mana_reservation_+%_final",1,"","",1,"","","","","","","","","","","","","","","",-941803419,"[""hatred""]","","","",1,[],[]
13130,"reservation_+%_final_from_skill_specific_stat","","","",1,"","","","","","","","","","","","","","","",761466755,[],"","","",1,[],[]
13131,"local_display_socketed_gems_supported_by_level_x_impending_doom","",1,"",3,"","","","","","","","","","","","","","","",-1675415003,[],"","","","",[],[]
13132,"heist_contract_npc_lockpicking_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-488875836,[],"","","",1,[],[]
13133,"heist_contract_npc_brute_force_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-2069649730,[],"","","",1,[],[]
13134,"heist_contract_npc_perception_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-913655969,[],"","","",1,[],[]
13135,"heist_contract_npc_demolition_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-1823476470,[],"","","",1,[],[]
13136,"heist_contract_npc_counter_thaumaturgy_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-1236562012,[],"","","",1,[],[]
13137,"heist_contract_npc_trap_disarmament_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-2086219689,[],"","","",1,[],[]
13138,"heist_contract_npc_agility_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-40207379,[],"","","",1,[],[]
13139,"heist_contract_npc_deception_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-1876237359,[],"","","",1,[],[]
13140,"heist_contract_npc_engineering_experience_gain_+%","","","",1,"","","","","","","","","","","","","","","",-610028900,[],"","","",1,[],[]
13141,"splitting_steel_area_+%_final_after_splitting","","","",1,"","","","","","","","","","","","","","",1,-512851929,[],"","","",1,[],[]
13142,"already_split_if_no_steel_shards","","","",4,"","","","","","","","","","","","","","",1,1373607503,[],"","","","",[],[]
13143,"trigger_on_block_%_chance","","","",1,"","","","","","","","","","","","","","",1,-159234314,[],"","","",1,[],[]
13144,"main_hand_attack_speed_+%_final","","","",1,"","","","","","","","","","",1,"","","",1,1757903928,[],"","","",1,[],[]
13145,"additional_off_hand_critical_strike_chance_permyriad","","","",3,"","","","","","","","","","","","","","","",-1145714487,[],"","","",1,[],[]
13146,"heist_additional_armour_rewards_from_reward_chests_%","","","",1,"","","","","","","","","","","","","","","",1111560008,[],"","","",1,[],[]
13147,"heist_additional_weapons_rewards_from_reward_chests_%","","","",1,"","","","","","","","","","","","","","","",1414874739,[],"","","",1,[],[]
