"rownum","Id","UITalkCategoriesKey","OGGFile","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool","NPCTextAudio"
75,"Incursion_TrinketsRoom3",72,"Audio/Dialogue/NPC/Alva/AV98.ogg","Azcapa yet lives? Exile, you're going to make me a <italic>{very} happy woman. Happy and rich.","Azcapa est toujours en vie ? Oh, vous allez me rendre <italic>{très} heureuse. Très heureuse et très riche.","Azcapa lebt noch? Ihr werdet mich zu einer <italic>{sehr} glücklichen Frau machen. Glücklich und reich.","アズカパはまだ生きてるの？エグザイル、あなたは私を<italic>{とっても}幸せな女にするつもりね。ハッピー＆リッチ！","아즈카파를 살렸다고? 네 덕분에 나 지금 <italic>{진짜} 행복한 여자가 된 거 알아? 행복하고 돈 많은 여자 말이야.","Azcapa ainda vive? Exilado, você me deixará <italic>{muito} feliz. Feliz e rica.","Азкапа до сих пор жив? Ты знаешь, как сделать женщину <italic>{очень} счастливой. Счастливой и богатой.","¿Azcapa aún vive? Exiliado, me vas a convertir en una mujer <italic>{muy} feliz. Feliz y rica.","แอซคาพา​ยัง​อยู่​เหรอ? เอ็กไซล์ เจ้า​จะ​ทำให้​ข้า​เป็น​หญิง​ที่​มี​ความสุข<italic>{มาก} สุข​และ​รวย​ด้วย","艾斯卡巴還活著？流亡者，你會讓我成為一個<italic>{非常}幸福的女人。幸福又有錢。",1,""
76,"IncursionWeaponsRoom1",73,"Audio/Dialogue/NPC/Alva/AV99.ogg","Ticaba did love his gladiator battles. Historical records aside, I suppose allowing him to live might make weapons easier to come by.","Ticaba raffolait de ses combats de gladiateurs, cela va sans dire. Je présume que nous trouverons des armes plus facilement maintenant que vous lui avez laissé la vie sauve.","Ticaba liebte seine Gladiatorenkämpfe. Historische Aufzeichnungen beiseite, ich vermute, ihn leben zu lassen, könnte es uns einfacher machen an den Waffen vorbeizukommen.","ティカバは彼の剣闘士の戦いを愛していたわ。歴史的な記録はさておき、彼を生かしておくことで、武器は簡単に手に入るでしょうね。","티카바는 자기네 검투사들이 싸우는 걸 정말 좋아했어. 역사적인 기록들은 뭐 생략하고... 티카바를 살려두면 앞으로 무기를 구하긴 쉬워지겠네.","Ticaba realmente amava suas batalhas de gladiadores. Registros histórios a parte, creio que permitindo que ele viva pode fazer com que armas sejam mais facilmente conseguidas.","Тикаба обожал гладиаторские бои. Если он останется жить, оружия в храме будет предостаточно.","A Ticaba le encantaban sus batallas de gladiadores. Dejando a un lado los registros históricos, supongo que permitirle vivir podría hacer que las armas fueran más fáciles de conseguir.","ทีคาบา​ชอบ​การ​ประลอง​เสีย​จริง ถ้า​ไม่​นับ​บันทึก​ประวัติศาสตร์​ละ​ก็ ​ข้า​คิด​ว่า​ให้​เขา​อยู่​อาจ​ทำให้​พบ​อาวุธ​ได้​ง่าย​ขึ้น​ก็​เป็น​ได้","堤卡巴愛死了他的鬥劍戰。拋開歷史紀錄，我猜讓他活著可能會使武器更容易到手。",1,""
77,"IncursionWeaponsRoom2",74,"Audio/Dialogue/NPC/Alva/AV100.ogg","No better place to spill Vaal blood than in the arena. And no better architect to leave in control there than Ticaba.","Il n'existe pas de meilleur endroit que l'arène pour répandre le sang des Vaal. Et il n'existe pas de meilleur Architecte que Ticaba pour en prendre le contrôle.","Es gibt keinen besseren Ort, um Vaal-Blut zu vergießen, als in der Arena. Und keinen besseren Architekten, der alles überblickt, als Ticaba.","闘技場ほどヴァールの血を流すのに適した場所は他にないわ。そして、ティカバほどそこを支配下に置くのに適したアーキテクトは他にいないわ。","투기장보다 바알인의 피를 뿌리기 좋은 곳도 없지. 티카바만큼 투기장을 잘 운영할 건축가도 없고.","Não há lugar melhor para derramar sangue Vaal do que na arena. E não há melhor arquiteto para deixar no controle do que Ticaba.","Кровь ваал лучше всего проливать на арене. А лучшим заправилой арен всегда был архитектор Тикаба.","No hay mejor lugar para derramar sangre Vaal que en la arena. Y no hay mejor arquitecto para dejar al mando que Ticaba.","ไม่มี​ที่ไหน​หลั่ง​เลือด​วาล์​ดี​กว่า​ใน​ลานประลอง​แล้ว และ​ไม่มี​สถาปนิก​คน​ไหน​ที่​คุม​ที่​นั่น​ได้​ดี​ไป​​กว่าทีคาบา","沒有比競技場好噴灑瓦爾之血的地方了。也沒有更好的建造師比堤卡巴更適合被控制待在這。",1,""
78,"IncursionWeaponsRoom3",75,"Audio/Dialogue/NPC/Alva/AV101.ogg","So you left Ticaba to reminisce in the shadow of his arena champions... Hopefully eternity will reward your actions.","Ainsi donc, vous avez laissé Ticaba à ses souvenirs dans l'ombre de ses champions de l'arène… Souhaitons que l'éternité vous récompense pour vos actions.","Also habt Ihr Ticaba im Schatten seiner Arenastreiter in Erinnerungen schwelgen lassen ... Hoffentlich wird die Ewigkeit Eure Taten entlohnen.","闘技場の王者の影で思い出に浸るため、ティカバを残したのね...永遠があなたの行いに報いることを願うわ。","그러니까 티카바가 투기장을 뒤에서 계속 운영하도록 놔뒀다 이거지... 부디 영원히 이번 일을 좋게 봐주기를.","Então você deixou Ticaba permanecer às sombras de sua arena de campeões... Espero que a eternidade recompense suas ações.","Значит, Тикаба и дальше пребывает в тени своих лучших бойцов арены... Лишь бы вечность наградила нас за твои поступки.","Así que dejaste a Ticaba evocando recuerdos a la sombra de sus campeones de la arena... Esperemos que la eternidad recompense tus acciones.","เจ้า​ปล่อย​ให้​ทีคาบา​ระลึก​ถึง​อดีต​ภาย​ใต้​เงา​ของ​แชมป์​ประลอง​สินะ... หวัง​ว่า​ความ​เป็น​นิรันดร์​จะ​ให้​รางวัล​กับ​เจ้า","所以你讓堤卡巴回憶起他的競技場冠軍的陰影…希望永世會獎勵你的行動。",1,""
79,"IncursionWorkshopRoom1",76,"Audio/Dialogue/NPC/Alva/AV102.ogg","Jiquani was obsessed with finding new and creative ways to get things done. Keeping him in there will surely result in a reward, right?","Jiquani avait l'efficacité pour obsession. Donc si on le laisse dans cette salle, on sera a priori mieux récompensés, non ?","Jiquani war besessen davon, neue und kreative Wege zu finden, um Dinge zu erledigen. Ihn dort zu behalten wird sicherlich zu einer Belohnung führen, nicht wahr?","ヘクアニは、物事を成し遂げるための新しく創造的な方法を見出すことに執着しているわ。彼をそこに留めておけば、きっと報酬があるわよね？","지콰니는 무슨 일이든지 간에 새롭고 창의적인 방법을 찾아내는 데 집착했었어. 기회를 줬다면 어떻게든 분명 보상을 받게 될걸?","Jiquani estava obcecado para encontrar novas e criativas formas de conseguir as coisas. Mantê-lo lá com certeza resultará em uma recompensa, certo?","Джиквани был одержим поиском новых и непривычных способов свершения дел. Если оставить такого в живых, это наверняка обернётся чем-нибудь интересным.","Jiquani estaba obsesionado con encontrar nuevas y creativas maneras de hacer las cosas. Mantenerlo allí seguramente resultará en una recompensa, ¿verdad?","ฮิคัวนี​หลงใหล​การ​หา​วิธี​ทำ​สิ่ง​ใหม่ๆ อย่าง​สร้างสรรค์ ถ้า​ให้​เขา​อยู่​ที่นี่ มัน​ย่อม​ส่ง​ผล​ให้​เป็น​รางวัล จริง​ไหม?","吉卡尼著迷於發現新方法或創造新方法完成事物。讓他待在那可以確保我們得到獎勵，對吧？",1,""
80,"IncursionWorkshopRoom2",77,"Audio/Dialogue/NPC/Alva/AV103.ogg","Jiquani doesn't get his title for nothing I see. He's been very \""industrious\"" in keeping himself alive and in business.","Je vois que Jiquani n'avait pas usurpé son titre : il a su non seulement rester en vie, mais aussi faire prospérer son activité de manière très « industrieuse ».","Jiquani hat seinen Titel nicht umsonst erhalten, wie ich sehe. Er war mehr als \""fleißig\"", wenn es darum ging, seinen Lebenstrieb zu erhalten und im Geschäft zu bleiben.","ヘクアニは何もせずにその肩書きを得たわけではないみたいね。彼はとても「勤勉」に、自身を生かし続け、働いていたわ。","지콰니가 자기 칭호를 허투루 받은 게 아니야. 인생에서든 일에서든 \""사업적인\"" 태도를 꿋꿋하게 유지하는 작자라고.","Jiquani não tem seu título atoa. Ele tem sido bem \""industrializado\"" ao manter-se vivo e ativo nos negócios.","Джиквани получил свой титул не за красивые глаза. Он был очень изобретателен и потому оставался на коне... и в живых.","Jiquani no recibe su título en vano, por lo que veo. Ha sido muy \""diligente\"" para mantenerse con vida y en el negocio.","ข้า​เห็น​ละ​ว่าฮิคัวนี​ไม่​ได้​ได้​ตำแหน่ง​มา​ฟรีๆ เขา \""ขยัน\"" มาก​ใน​การ​เอา​ตัว​รอด​และ​​ทำมาหากิน​อยู่​ได้","吉卡尼不是浪得虛名的吧。他非常的＂勤奮＂讓自己活下去和他的業務。",1,""
81,"IncursionWorkshopRoom3",78,"Audio/Dialogue/NPC/Alva/AV104.ogg","I have to say exile, I'm desperate to see what your plan was in keeping this bastard breathing. I guess we'll see soon enough.","Je dois vous avouer que je meurs d'envie de savoir pourquoi vous avez laissé respirer cette ordure. J'ose croire que j'aurai ma réponse bien assez tôt.","Ich muss gestehen, dass es mich brennend interessiert, warum Ihr diesem Bastard nicht die Kehle zugeschnürt habt. Ich schätze, dass wir das früh genug erfahren werden.","エグザイル、私はこのろくでなしを生かしておくというあなたの計画を理解するのに必死なの。まあ、すぐにわかると思うわ。","이 말은 좀 해야겠어, 유배자. 무슨 계획이 있길래 저 잡종의 목숨을 붙여놓은 거야? 뭐 곧 알게 될 거 같기는 하다만.","Tenho que dizer exilado, estou desesperada para ver qual era seu plano ao manter este bastardo respirando. Creio que veremos logo logo.","Честно говоря, я ужасно хочу увидеть последствия твоего решения оставить поганца в живых. Секрет? Ладно. Подожду.","Tengo que decir, exiliado, que estoy ansiosa por ver en qué consiste tu plan de mantener a este bastardo respirando. Supongo que lo veremos pronto.","ข้า​ต้อง​พูด​นะ​เอ็กไซล์ ข้า​อยาก​รู้​ใจ​จะ​ขาด​ว่า​เจ้า​วางแผน​อะไร​ถึง​ได้​ปล่อย​ให้​มัน​หายใจ​อยู่​ได้ ข้า​เดา​ว่า​เรา​จะ​ได้​เห็น​กัน​เร็วๆ นี้","流亡者，我必須說我很失望，你的計畫就是讓這該死的傢伙活著。我猜我們很快就會看夠了。",1,""
82,"Incursion_ConnectionsChanged1",79,"Audio/Dialogue/NPC/Alva/AV18_A_1.ogg","You've forged some new connections!","Vous avez créé de nouvelles voies !","Ihr habt einige neue Verbindungen hergestellt!","新しい接続を構築したのね！","네가 새로운 연결을 만들어냈어!","Você forjou algumas conexções!","Залы соединены новыми переходами!","¡Has forjado nuevas conexiones!","เจ้า​สร้าง​ทาง​เชื่อม​ใหม่​ได้​แล้ว!","你鍛造了新的連結！",1,""
83,"Incursion_ConnectionsChanged2",79,"Audio/Dialogue/NPC/Alva/AV35_A.ogg","Oh, you've opened new paths!","Oh, vous avez ouvert de nouveaux chemins !","Oh, wie ich sehe, habt Ihr neue Wege geebnet!","おぉ、新しい道を開いたのね！","오, 새로운 길을 뚫었구나!","Oh, você abriu novos caminhos!","О, тебе открылись новые пути!","Oh, ¡Has abierto nuevos caminos!","โอ้ เจ้า​เปิด​ทาง​ใหม่​ได้​แล้ว!","喔，你開啟新的道路！",1,""
84,"Incursion_ConnectionsChanged3",79,"Audio/Dialogue/NPC/Alva/AV35_B.ogg","You've made getting around the temple easier!","Nos déplacements dans le Temple seront facilités grâce à vous !","Hierdurch kommt Ihr später im Tempel sicher besser voran.","寺院での移動が楽になったみたいね！","사원을 더 쉽게 돌아다닐 수 있겠어!","Você tornou mais fácil andar pelo templo!","Теперь блуждать по храму станет проще!","¡Has hecho que sea más fácil viajar por el templo!","เจ้า​ทำให้​เรา​เข้า​สำรวจ​วิหาร​ได้​ง่าย​ขึ้น​เป็นก​อง​เลย!","你讓進入神殿更輕鬆了！",1,""
85,"Incursion_ConnectionsChanged4",79,"Audio/Dialogue/NPC/Alva/AV35_C.ogg","The paths you've opened will help us later.","Les chemins que vous avez ouverts nous seront utiles plus tard.","Die neuen Wege, die Ihr eröffnet habt, werden es uns später sicher leichter machen.","あなたが開いた道が後々役に立つわ。","네가 열어놓은 길들이 나중에 도움이 될 거야.","Os caminhos que você abriu nos ajudarão depois.","Открытые двери помогут нам в будущем.","Los caminos que has abierto nos ayudarán más tarde.","เส้นทาง​ที่​เจ้า​เปิด​จะ​ช่วย​เรา​ทีหลัง​ได้","你開啟的道路在未來對我們會有幫助。",1,""
86,"Incursion_GenericNothingChanged1",80,"Audio/Dialogue/NPC/Alva/AV17_A.ogg","Hmm... No luck this time I'm afraid. Nothing's changed on the map. Not a bad thing... perhaps not a good thing either? Keep trying.","Hum, pas de chance cette fois-ci ; rien n'a changé sur le plan. Ce n'est pas une mauvaise chose… mais pas forcément une bonne chose non plus. Continuez.","Hmm ... diesmal war das Glück uns nicht hold, fürchte ich. Die Karte hat sich nicht verändert. Das ist nicht unbedingt schlecht, aber gut ist es sicher auch nicht. Versucht es weiter.","ふむ...今回は運がなかったみたいね。地図上では何も変わっていないわ。悪い事も無ければ良い事も無い、でしょ？挑戦し続けましょう。","음... 이번엔 운이 없었던 거 같은데. 지도에 변한 게 없어. 그렇게 나쁘지는 않았지만... 그렇게 좋지도 않았네? 다음번엔 잘 해보라고.","Hmm... Sem sorte desta vez. Nada mudou no mapa. Não é uma boa coisa, mas também não é ruim. Continue tentando.","Хм-м... Боюсь, в этот раз не повезло. Карта не изменилась. Это не плохо, но ведь и не хорошо. Продолжай пытаться.","Hmm... me temo que no tuvimos suerte esta vez. Nada ha cambiado en el mapa. No es malo... ¿pero quizá tampoco sea bueno?. Sigamos intentando.","อืม... ข้า​เกรง​ว่า​คราว​นี้​เรา​อับ​โชค ไม่มี​อะไร​เปลี่ยน​ไป​บน​แผนที่​นี้​เลย ก็​ไม่​แย่​เสียที​เดียว... แต่​อาจ​จะ​ไม่​ดี​ด้วย​ก็​ได้​มั้ง? ลอง​ต่อ​ไป​นะ","嗯…這次恐怕不走運。地圖上沒什麼變化。不是壞事，但或許也不是好事？繼續試試吧。",1,""
87,"Incursion_GenericNothingChanged2",80,"Audio/Dialogue/NPC/Alva/AV17_B.ogg","Nope! Nothing changed this time. Keep trying. The more you change, the more we know.","Non, rien n'a changé ce coup-ci. Persévérez. Plus vous apporterez de modifications, plus nous avancerons.","Nein! Diesmal hat sich nichts verändert. Versucht es weiter. Je mehr Ihr verändert, desto mehr wissen wir.","ダメね！今回は何も変化しなかったわ。挑戦し続けましょう。変われば変わるほど、私達は知ることができるのだから。","이게 아냐! 아무것도 바뀐 게 없잖아. 잘 좀 해봐. 바뀌는 게 많아야, 알아내는 것도 많아진다고.","Não! Nada mudou desta vez. Continue tentando. Quanto mais você mudar, mais saberemos.","Нет! Никаких изменений. Продолжай пытаться. Чем больше ты изменишь, тем больше мы узнаем.","¡Nop! Nada ha cambiado esta vez. Sigue intentando. Cuanto más modifiques, más descubriremos.","ไม่! คราว​นี้​ไม่มี​อะไร​เปลี่ยน​ไป​เลย ลอง​ต่อไป ยิ่ง​เจ้า​เปลี่ยน เรา​ยิ่ง​รู้มาก​ขึ้น","不！這次沒有改變。繼續試試吧。你改越多，我們就會知道越多。",1,""
88,"Incursion_GenericNothingChanged3",80,"Audio/Dialogue/NPC/Alva/AV17_C.ogg","Hmm, no change. Hope that's what you wanted!","Hum, aucun changement. J'espère que c'était là votre intention !","Hmm, keine Veränderung. Hoffentlich habt Ihr das so beabsichtigt!","ふむ、変化なし。あなたの狙い通りだとよいのだけど！","음, 변한 게 없어. 뭐 나름대로 생각이 있었던 거였길 바라.","Hmm... Sem mudanças. Espero que era isso que você queria!","Хм-м, никаких изменений. Надеюсь, это тебе и требовалось!","Hmm, sin cambios. ¡Espero que sea lo que querías!","อืม ไม่มี​อะไร​เปลี่ยน​เลย หวัง​ว่า​เจ้า​อยาก​ได้​แบบนั้น​นะ!","嗯…沒不一樣。希望這就是你想要的！",1,""
89,"Incursion_StrongboxRoom1",81,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_13.ogg","Zantipi was my kind of architect! He was fixated on filling chests with valuables then rigging them with all sorts of traps. ","Zantipi était mon genre d'Architecte ! Son obsession, c'était de remplir des coffres d'objets précieux et d'y fixer tout un tas de pièges.","Zantipi war genau meine Art von Architekt! Er war darauf fokussiert, Truhen mit Kostbarkeiten zu füllen und sie dann mit allen möglichen Fallen aufzuhübschen.","ザンティーピは私の好きなアーキテクトだったわ！彼はチェストに貴重品の詰めて、そこに様々な罠を仕掛けることに執着していたわ。","잔티피는 나랑 비슷한 건축가였어! 상자를 온갖 귀중품들로 가득 채워서는 그 근처를 함정으로 도배해놓곤 했었지.","Zantipi era meu tipo de arquiteto! Ele era fascinado em preencher baús com itens valiosos e então protegê-los com todo tipo de armadilha.","Зантипи был правильным архитектором! Он постоянно набивал сундуки ценностями, хоть и обкладывал их потом всевозможными ловушками.","¡Zantipi era mi tipo de arquitecto! Estaba obsesionado con llenar cofres con cosas valiosas y después protegerlos con toda clase de trampas.","ซานทีพี​เป็น​สถาปนิก​แบบ​ที่​ข้า​ชอบ! เขา​หมกมุ่น​ไป​กับ​การ​เติม​เต็ม​กล่อง​สมบัติ​นั่น​ให้​เต็ม แทน​ที่​จะ​เป็นการ​ติดตั้ง​กับดัก​มากมาย​หลาย​ชนิด​เอา​ไว้​ใน​กล่อง​พวก​นั้น","善堤比是跟我同類的建師！他很著迷於將箱子裝滿各種稀世珍寶，然後用各種陷阱操弄它們。",1,""
90,"Incursion_StrongboxRoom2",82,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_14.ogg","With Zantipi's growing influence, there are certain to be even more dangerous -- and lucrative -- chests around.","Avec l'influence de Zantipi qui va grandissant, nous allons certainement trouver des coffres encore plus dangereux — et lucratifs.","Mit dem wachsenden Einfluss von Zantipi stolpern wir sicher noch über gefährlichere - und lukrativere - Truhen.","ザンティーピの増大する影響力によって、そこにはより危険で --儲かる-- 宝箱があることは間違いないわ。","잔티피의 영향력이 커지고 있군... 이제 훨씬 더 위험하고 반짝거리는 상자들이 생겼을 게 분명해.","Com a crescente influência de Zantipi, tenho certeza que existirão baús mais perigosos -- e lucrativos -- por aqui.","С ростом влияния Зантипи в храме наверняка станет более опасно, но и в сундуках будут лежать сокровища подороже.","Gracias a la creciente influencia de Zantipi, de seguro habrá más cofres peligrosos, y lucrativos, por aquí.","ยิ่ง​ซานทีพีมี​อิทธิพล​มาก​ขึ้น​เท่า​ไหร่ มัน​ย่อม​มี​กล่อง​สมบัติ​เพิ่ม​ขึ้น กล่อง​ที่​ทั้ง​อันตราย -- และ​ให้​กำไร​เม็ด​งาม","隨著善堤比的影響逐漸擴大，肯定有更危險 -- 更有價值 -- 的箱子在附近。",1,""
91,"Incursion_StrongboxRoom3",83,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_15.ogg","A whole room filled with dangerous strongboxes packed to the brim with treasure. You're my favourite person, Exile.","Une pièce entière remplie de dangereux coffres-forts bourrés de trésors. Si vous saviez comme je vous aime !","Ein ganzer Raum voller gefährlicher Tresore, die randvoll mit Kostbarkeiten gepackt sind. Ihr seid meine Lieblingsperson, Verbannter.","部屋は、溢れるほどの財宝が詰まった危険なストロングボックスでいっぱい。エグザイル、あなたは私のお気に入り！","방 전체가 보물이 꽉꽉 들어찬 위험한 금고로 가득 차다니. 유배자, 너 진짜 최고야!","Um salão inteiro cheio de cofres perigosos cheios até as tampas com tesouro. Você é a minha pessoa predileta, Exilado.","Это же целый зал, битком набитый опасными ларями, которые ломятся от богатств. Ты лучше всех!","Una sala entera repleta de cajas fuertes peligrosas y rebosantes de tesoro. Eres mi persona favorita.","ห้อง​นี้​มัน​มี​แต่​กล่อง​นิรภัย​อันตราย​ที่​อัดแน่น​ไป​ด้วย​สมบัติ ข้า​ชอบ​เจ้า​จริงๆ เอ็กไซล์","整個房間裡充滿了危險的保險箱，裡面裝滿了寶藏。流亡者，你是我最喜歡的人。",1,""
92,"Incursion_TormentRoom1",84,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_09.ogg","Tzamoto had a twisted sense of justice. Executions were saved for the particularly brutal crimes... He'd just imprison lower criminals for the rest of their lives.","Tzamoto avait un sens tordu de la justice. Il réservait les exécutions aux coupables des crimes les plus brutaux… Les criminels mineurs, il les emprisonnait simplement pour le restant de leurs jours.","Tzamoto hatte einen seltsamen Gerechtigkeitssinn. Hinrichtungen wurden nur für besonders grausame Verbrechen verhängt ... Niedere Kriminelle steckte er lieber für den Rest ihres Lebens hinter Gitter.","ザマトは歪んだ正義の持ち主だったわ。死刑は特に残忍な犯罪のために取っておき...軽微な犯罪者は、終身収監するだけだったわ。","자모토가 생각하는 정의는 좀 비틀려 있는 상태야. 끔찍한 범죄를 저지른 놈들을 처형하지는 않으면서... 경범죄로 들어가는 사람들은 감옥에서 평생 살게 했다더라고.","Tzamoto poossuia um senso de justiça deturpado. Execuções eram guardadas para os crimes particularmente brutais… Ele simplesmente aprisionava os pequenos criminosos pelo resto das vidas.","Цамото обладал искажённым чувством справедливости. Он приберегал казнь только для особо жестоких преступников... а всякую мелочь просто бросал в темницы до конца дней.","Tzamoto tiene un sentido de justicia retorcido. Las ejecuciones se reservaban para crímenes particularmente brutales... A los criminales menores simplemente los encerraba por el resto de sus vidas.","ซาโมโท​มี​แนวคิด​ความ​ยุติธรรม​อัน​ประหลาด​นัก การ​ประหาร​ชีวิต​จะ​เก็บ​ไว้​ใช้​กับ​โทษ​ร้ายแรง​มากๆ เท่านั้น... ส่วน​พวก​โจร​กระจอก​จะ​ถูก​เจ้า​นั่น​ขัง​ไว้​ตลอดชีวิต","薩摩特有著扭曲的正義感。處刑是保留給特別殘酷的罪行...他只是囚禁那些罪行較低的人的餘生。",1,""
93,"Incursion_TormentRoom2",85,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_10.ogg","I suppose you have your reasons for wanting Tzamoto's prison to grow, but I can't for the life of me see why.","Je suppose que vous avez vos raisons de vouloir agrandir la prison de Tzamoto, mais elles me sont totalement incompréhensibles.","Ich nehme an, dass Ihr Eure Gründe habt, warum Ihr Tzamotos Gefängnis wachsen sehen wollt. Ich kann beim besten Willen nicht erkennen, warum Ihr das nur wollt.","ザマトがその監獄を大きくするのを待つ理由があるみたいだけど、私にはどうしてもその理由が分からないわ。","자모토의 감옥을 키우는 나름의 이유가 있을 거라 믿어. 근데 그 이유라는 걸 도통 알 수 없어서 말이지.","Suponho que você tenha razões para querer que a prisão de Tzamoto cresça, mas eu não consigo mesmo ver o porque.","Наверное, у тебя есть причины желать увеличения темницы Цамото, но я убей не могу понять, какие.","Supongo que tienes razones para querer que crezca la prisión de Tzamoto, pero no me hago ni una idea de por qué.","ข้า​คิดว่า​เจ้า​คง​มี​เหตุผล​ที่​อยาก​ให้​คุก​ของ​ซาโมโท​ขยาย​ใหญ่ แต่​ข้า​คิด​ให้​ตาย​ก็​ไม่​รู้​จริงๆ ว่า​ทำไม","我想你應該有讓薩摩特監獄擴建的理由，但我不想賭上我的命只是為了見證你的原因。",1,""
94,"Incursion_TormentRoom3",86,"Audio/Dialogue/NPC/BetrayalLeague/Alva/AV_11.ogg","Tzamoto's prison is enormous and brimming with criminals. Notoriously poor criminals. Wonderful. Thanks for that, Exile.","La prison de Tzamoto est gigantesque et regorge de criminels. Des criminels forcément sans le sou. Merveilleux. Vraiment, merci.","Tzamotos Gefängnis ist riesig und randvoll gespickt mit Kriminellen. Bekanntermaßen armen Kriminellen. Großartig. Danke dafür, Verbannter.","ザマトの監獄は巨大で、犯罪者で溢れかえっているわ。悪名高い哀れな犯罪者。素晴らしい！感謝するわエグザイル。","자모토의 감옥에 범죄자들이 들어차다 못해 넘쳐나고 있구만. 특히나 악명높은 범죄자들은 더더욱. 이거 다 네 탓인 거 알지?","A prisão de Tzamoto é enorme e repleta de criminosos. Notoriamente criminosos pobres. Maravilha. Muito obrigado, Exilado.","Теперь темница Цамото огромна и под завязку набита преступниками. Заключёнными без гроша в кармане. Чудесно. Вот спасибо.","La prisión de Tzamoto es enorme, y está repleta de criminales. Criminales notoriamente pobres. Fabuloso. Gracias.","คุก​ของซาโมโท​มัน​ช่างใหญ่​โต​มโหฬาร​แล้ว​เต็ม​ไป​ด้วย​อาชญากร พวก​โจร​กระจอก​ที่​ยากไร้ เยี่ยม​มาก ขอบใจ​มาก เอ็กไซล์","薩摩特的監獄很龐大，且充滿了犯罪。惡名昭彰的罪犯。真他媽的棒。謝謝你了，流亡者。",1,""
95,"Incursion_LegionRoom1",87,"","Opiloti took that room? He was a brutally violent warlord. I hope you know what you're doing, for my sake!","Opiloti s'est emparé de cette salle ? C'était un seigneur de guerre des plus brutal. J'espère que vous savez ce que vous faites, par égard pour moi !","Opiloti hat sich den Raum zu eigen gemacht? Er war ein außerordentlich gewalttätiger Kriegsfürst. Ich hoffe nur, dass Ihr wisst, was Ihr tut, meinetwegen!","オピロティが部屋を手に入れた？彼は残忍で暴力的な軍神だったわ。あなた自身が何をしているか理解しているといいのだけど、私の目的のためにね！","오필로티한테 방을 넘겨줬다고? 그 녀석, 잔혹하기 짝이 없는 전쟁군주라고. 그 사실은 알고서 저지른 짓이길 바라지.","Opiloti tomou aquele salão? Ele era um general de guerra brutalmente violento. Espero que você saiba o que está fazendo, pelo meu bem!","Зал достался Опилоти? Он был крайне жестоким воеводой. Я надеюсь, ты знаешь, что делаешь!","¿Opitoli tomó esa sala? Era un jefe de guerra brutalmente violento. ¡Más me vale que sepas lo que estás haciendo!","โอพิโลที​มัน​เอา​ห้อง​นั้น​ไป​เหรอ? เจ้า​นั่น​เป็น​ขุนพล​ที่​โหดร้าย​ป่าเถื่อน ข้า​หวัง​ว่า​เจ้า​จะ​รู้​ว่า​ทำ​อะไร​อยู่​นะ เห็น​แก่​ข้า​เถอะ!","歐派理堤佔據那間房了？他是個冷酷殘暴的軍閥。你馬幫幫忙，希望你知道自己幹了什麼！",1,""
96,"Incursion_LegionRoom2",88,"","The Vaal were considered peaceful by today's standards, but there were still people who took joy in violence. And you just gave one of those people exactly what he wanted.","Les Vaal sont plutôt considérés comme un peuple pacifique d'après nos mœurs contemporaines, mais il n'empêche que certains d'entre eux se repaissaient de violence. Vous venez précisément d'offrir à l'un de ceux-là ce qu'il voulait.","Die Vaal galten nach heutigem Wissenstansd als friedlich, und doch gab es immer noch Menschen, die sich an Gewalt erlabten. Ihr habt einem dieser Leute einfach genau das gegeben, wonach er lechzte.","ヴァール人は現代の基準では平和的とされているけど、暴力に喜びを感じる者もいたわ。そしてあなたは、正にその者が欲しいものを与えたようね。","바알은 오늘날의 기준에도 부합하는 평화를 추구했던 이들이었어. 하지만 그 가운데에는 폭력을 통해 즐거움을 찾는 이들도 있었지. 그래, 넌 지금 그런 놈들 중 하나한테 원하던 걸 고스란히 건네준 거야.","Os Vaal eram considerados pacíficos pelos padrões de hoje, mas ainda haviam pessoas que se divertiam com a violência. E você acabou de dar à eles exatamente o que queriam.","По сегодняшним меркам ваал считаются мирными. Но тех, кому насилие было в радость, среди них тоже хватало. И одному такому человеку ты только что дал как раз то, что он хочет.","Los vaal se consideraban pacíficos en comparación con los tiempos actuales, pero aun así había gente que disfrutaba con la violencia. Y acabas de darle a una de esas personas exactamente lo que quería.","พวก​วาล์​สมัย​นั้น​ถือว่า​สงบสุข​ถ้า​เทียบ​กับ​โลก​ตอนนี้ แต่​มัน​ก็​ยัง​มี​คน​ที่​ชอบ​ความ​รุนแรง และ​เจ้า​ก็​เพิ่ง​ให้​สิ่ง​ที่​คน​แบบ​มัน​ต้องการ​ไป","瓦爾族以現今的標準來看算是滿合善的，但仍有些人以暴為樂。而你剛好就給那其中一個人他所想的。",1,""
