"rownum","Id","i32","i32","Name (English)","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","CompletionsRequired","AchievementsKey","bool","bool","bool","bool"
8636,"ArchnemesisAtlasBossFlawless2_4",1,244,"The Searing Exarch while the area has \""Monsters deal extra Physical Damage as Fire\""","L'Exarque ardent dans une zone avec le mod « Les Monstres Rajoutent X% de leurs Dégâts physiques sous forme de Dégâts de feu »","Der Brennende Exarch, während das Gebiet \""Monster verursachen extra physischen Schaden als Feuerschaden\"" hat","The Searing Exarch while the area has \""Monsters deal extra Physical Damage as Fire\""","지역에 \""몬스터가 추가 물리 피해를 화염 속성으로 가함\"" 속성이 있을 때 작열의 총주교 처치하기","O Exarca Cauterizado enquanto a área tiver \""Monstros causam Dano Físico Extra como Fogo\""","Пламенный экзарх, пока на область действует \""монстры наносят дополнительный физический урон в виде урона от огня\""","El Exarca abrasador en un área con \""Los monstruos infligen su daño físico extra como fuego\""","อุปราช​อาบเพลิง ขณะ​ที่​ด่าน มี \""มอนสเตอร์ นำ​ความ​เสียหาย กายภาพ ไป​เสริม​เป็น ไฟ\""","在帶有「怪物造成物理傷害的額外火焰傷害」詞綴的區域中擊敗灼烙總督",1,1173,"",1,"",1
8637,"ArchnemesisAtlasBoons3_1",6,245,"Complete Blighted maps","Terminez des Cartes infestées","Schließt befallene Karten ab","Complete Blighted maps","역병 걸린 지도 완료하기","Complete mapas Infestados","Завершите заражённые карты","Completa mapas infestados de Blight","ผ่าน แผนที่​ไบล์ท","完成凋落地圖",50,1174,"",1,"",1
8638,"ArchnemesisAtlasBoons3_2",7,251,"Use Atlas Scouting Reports","Utilisez des Rapports de reconnaissance","Benutzt Atlas-Kundschafterberichte","Use Atlas Scouting Reports","아틀라스 정찰 보고서 사용하기","Use Relatórios de Patrulha ","Используйте доклады разведки Атласа","Usa Informes de exploración del Atlas","ใช้ รายงาน​สำรวจ​สมุดแผนที่","使用輿圖偵查報告",100,1174,"",1,"",1
8639,"ArchnemesisAtlasBoons3_3",9,258,"Harvest Plots of seeds","Effectuez des Récoltes dans le Bosquet sacré","Erntet Parzellen mit Samen","Harvest Plots of seeds","씨앗 밭 수확하기","Colha Plantações de sementes","Соберите грядки с семенами","Cosecha parcelas de semillas de Harvest","เก็บเกี่ยว แปลง​เมล็ดพันธุ์","豐收種子",300,1174,"",1,"",1
8640,"ArchnemesisAtlasBoons3_4",5,267,"Defeat Delve bosses","Tuez des boss dans la Mine d'Azurite","Vernichtet Delve-Bosse","Defeat Delve bosses","탐광 보스 처치하기","Derrote chefes Delve","Победите боссов Спуска","Derrota jefes de la Mina de azurita","สยบ บอส​ทำ​เหมือง","擊敗掘獄頭目",20,1174,"",1,"",1
8641,"ArchnemesisAtlasBoons3_5",6,272,"Defeat Metamorphs in Tane's Laboratory","Tuez des Métamorphes dans le Laboratoire de Tane","Vernichtet Metamorphe in Tanes Laboratorium","Defeat Metamorphs in Tane's Laboratory","테인의 연구실에서 변형체 처치하기","Derrote Metamorfos no laboratório de Tane","Победите Метаморфов в Лаборатории Танэ","Derrota metamorfos en el Laboratorio de Tane","สยบ เมตามอร์ฟ ใน ห้องทดลอง​ของ​ทาเน","於塔恩的實驗室中擊敗鍊魔之物。",60,1174,"",1,"",1
8642,"ArchnemesisAtlasBoons3_6",7,278,"Defeat Factions in the Domain of Timeless Conflict","Éliminez des factions dans le Domaine du Conflit intemporel","Vernichtet Fraktionen im Reich des immerwährenden Krieges","Defeat Factions in the Domain of Timeless Conflict","끝없는 분쟁의 영토에서 진영 처치하기","Derrote Facções no Domínio do Conflito Eterno","Победите фракции во владениях вневременной войны","Derrota facciones en el Dominio de conflicto atemporal","สยบ​ฝ่าย​ต่างๆ ใน แดน​แห่ง​ความขัดแย้ง​เหนือ​กาลเวลา","於永恆鬥爭之域中擊敗軍閥",100,1174,"",1,"",1
8643,"ArchnemesisEndgameGrinds_1",1,285,"Level 100","Atteignez le niveau 100","Stufe 100","Level 100","100레벨","Nível 100","100 уровень","Nivel 100","เลเวล 100","等級 100",1,1175,"",1,"",1
8644,"ArchnemesisEndgameGrinds_2",7,286,"Defeat Elderslayers in maps","Terrassez des Tueurs de l'Ancien dans des Cartes","Tötet Vernichter des Ältesten in Karten","Defeat Elderslayers in maps","지도에서 엘더슬레이어 처치하기","Derrote Matadores do Ancião nos mapas","Победите Убийц Древнего на картах","Derrota a los Asesinos del Antiguo en los mapas","สยบ ผู้สังหาร​เอลเดอร์ ใน​แผนที่","在地圖中擊敗尊師殺手",100,1175,"",1,"",1
8645,"ArchnemesisEndgameGrinds_3",9,293,"Complete maps with 4 Sextant modifiers","Terminez des Cartes ayant 4 modificateurs de Sextant","Schließt Karten mit 4 Sextanten-Modifikatoren ab","Complete maps with 4 Sextant modifiers","육분의 속성이 4개 있는 지도 완료하기","Complete mapas com 4 modificadores Sextante","Завершите карты с 4 свойствами секстантов","Completa mapas con 4 modificadores de sextantes","ผ่าน แผนที่​ที่​มี ม็อด​เครื่อง​วัด​แดด 4 อย่าง","在 4 個六分儀詞綴影響下完成地圖",300,1175,"",1,"",1
8646,"ArchnemesisEndgameGrinds_4",6,302,"Complete Trials of Ascendancy in Maps","Terminez des Épreuves d'Ascendance dans des Cartes","Schließt Aszendenzprüfungen in Karten ab","Complete Trials of Ascendancy in Maps","지도에서 전직 시험 완료하기","Complete provações de Ascensão em Mapas","Пройдите испытания Восхождения на картах","Completa Pruebas de ascendencia en los mapas","ผ่าน บททดสอบ​แห่ง​การ​ครอง​อำนาจ ใน แผนที่","在地圖中完成試煉迷宮",50,1175,"",1,"",1
8647,"ArchnemesisEndgameGrinds_5",7,308,"Defeat Elder or Shaper Guardians in maps","Terrassez des Gardiens du Façonneur ou de l'Ancien dans des Cartes","Vernichtet Wächter des Ältesten oder des Schöpfers in Karten","Defeat Elder or Shaper Guardians in maps","지도에서 엘더 수호자 또는 쉐이퍼 수호자 처치하기","Derrote os Guardiões do Criador ou do Ancião em mapas","Победите хранителей Создателя и Древнего на картах","Derrota a guardianes del Antiguo o del Creador en los mapas","สยบ องครักษ์​เอลเดอร์​หรือ​เชปเปอร์ ใน แผนที่","在地圖中擊敗尊師或塑界者守護者",100,1175,"",1,"",1
8648,"ArchnemesisEndgameGrinds_6",10,315,"Defeat Archnemesis monsters in an area of level 83 or higher","Éliminez des Archinémésis dans des zones de niv. 83 ou plus","Vernichtet Archnemesis-Monster in einem Gebiet der Stufe 83 oder höher","Defeat Archnemesis monsters in an area of level 83 or higher","83레벨 이상의 지역에서 강적 몬스터 처치하기","Derrote monstros Archnemesis em uma área de nível 83 ou maior","Победите монстров Возмездия в области 83 уровня или выше","Derrota a monstruos de Archnemesis en un área de nivel 83 o superior","สยบ มอนสเตอร์​อริ​คู่​อาฆาต ใน​ด่าน​ที่​มี​เลเวล 83 ขึ้นไป","於等級 83 或以上的區域中擊敗宿敵怪物",1000,1175,"",1,"",1
8649,"SentinelIntroTeachingChallenge1_1",1,0,"Purchase a Gem from a Vendor","Achetez une Gemme chez un marchand","Kauft eine Gemme von einem Händler","Purchase a Gem from a Vendor","상인에게서 젬 구입하기","Adquira uma gema de um Vendedor","Купите камень у торговца","Cómprale una gema a un vendedor","ซื้อ หินสกิล จาก​ผู้ค้าขาย","通過商人配方購買一個寶石",1,1176,"",1,"",1
8650,"SentinelIntroTeachingChallenge1_2",1,1,"Socket a Jewel into your Passive Skill Tree","Enchâssez un Joyau dans votre Arbre des Talents","Fasst ein Juwel in Euren Fertigkeitenbaum ein","Socket a Jewel into your Passive Skill Tree","패시브 스킬 트리에 주얼 장착하기","Encaixe uma Joia em sua Árvore de Habilidades Passivas","Поместите самоцвет в дерево пассивных умений","Engarza una joya en tu Árbol de habilidades pasivas","ใส่ จิวเวล ลง​ไปใน​ตาราง​พาสซีฟ​ของ​คุณ","在你的天賦樹中鑲嵌一個珠寶",1,1176,"",1,"",1
8651,"SentinelIntroTeachingChallenge1_3",1,2,"Equip an Item with 4 or more Linked Sockets","Équipez-vous d'un objet doté de 4 châsses reliées ou plus","Rüstet einen Gegenstand mit 4 oder mehr verbundenen Fassungen aus","Equip an Item with 4 or more Linked Sockets","연결된 홈이 4개 이상인 아이템 장착하기","Equipe um Item com 4 ou mais Encaixes Conectados","Наденьте или возьмите в руки предмет с как минимум 4 связанными гнёздами","Equipa un objeto con 4 o más engarces vinculados","สวมใส่​ไอเทม​ที่​มี รู​เชื่อม​กัน 4 รู ขึ้น​ไป","裝備一件帶有 4 連或有更多連線的道具",1,1176,"",1,"",1
8652,"SentinelLeagueChallenge1_1",1,3,"Deploy a Sentinel","Déployez une Sentinelle","Setzt einen Wächter ein","Deploy a Sentinel","파수꾼 배치하기","Implemente um Sentinela","Запустите Часового","Invoca a un centinela","เปิดใช้ หุ่นอารักษ์","召喚一個守望",1,1177,"",1,"",1
8653,"SentinelLeagueChallenge1_2",1,4,"Defeat a Rare Monster which is empowered by a Sentinel","Tuez un Monstre rare amélioré par une Sentinelle","Vernichtet ein seltenes Monster, das von einem Wächter verstärkt wird","Defeat a Rare Monster which is empowered by a Sentinel","파수꾼이 강화한 희귀 몬스터 1마리 처치하기","Derrote um Monstro Raro maximizado por um Sentinela","Победите редкого монстра, усиленного Часовым","Derrota a un monstruo raro que esté potenciado por un centinela","สยบ มอนสเตอร์แรร์ ที่​เพิ่ม​พลัง​โดย​หุ่นอารักษ์","擊敗受到一個守望強化的稀有怪物。",1,1177,"",1,"",1
8654,"SentinelLeagueChallenge1_3",1,5,"Defeat a Rogue Exile which is empowered by a Sentinel","Tuez un Exilé renégat amélioré par une Sentinelle","Vernichtet einen Abtrünnigen Verbannten, der von einem Wächter verstärkt wird","Defeat a Rogue Exile which is empowered by a Sentinel","파수꾼이 강화한 탈주 유배자 1명 처치하기","Derrote um Exilado Renegado maximizado por um Sentinela","Победите бродячего изгнанника, усиленного Часовым","Derrota a un exiliado renegado que esté potenciado por un centinela","สยบ เอ็กไซล์​อันธพาล ที่​เพิ่ม​พลัง​โดย​หุ่นอารักษ์","擊敗受到一個守望強化的盜賊流亡者。",1,1177,"",1,"",1
8655,"SentinelLeagueChallenge1_4",1,6,"Defeat an Act Boss which is empowered by a Sentinel","Tuez un Boss de fin d'Acte amélioré par une Sentinelle","Vernichtet einen Aktboss, der von einem Wächter verstärkt wird","Defeat an Act Boss which is empowered by a Sentinel","파수꾼이 강화한 아무 장의 보스나 1마리 처치하기","Derrote um Chefe de Ato maximizado por um Sentinela","Победите босса Акта, усиленного Часовым","Derrota a un jefe de acto que esté potenciado por un centinela","สยบ บอสประจำบท ที่​​เพิ่ม​พลัง​โดย​หุ่นอารักษ์","擊敗受到一個守望強化的章節頭目。",1,1177,"",1,"",1
8656,"SentinelVendorRecipes1_1",1,7,"Magic Boots with 10% increased Movement Speed","des Bottes magiques avec 10% d'Augmentation de Vitesse de déplacement","Magische Stiefel mit mindestens 10% erhöhter Bewegungsgeschwindigkeit","Magic Boots with 10% increased Movement Speed","이동 속도 10% 증가 속성을 갖춘 마법 장화","Botas Mágicas com Velocidade de Movimento aumentada em 10%","Волшебная обувь с 10% повышением скорости передвижения","Botas mágicas con velocidad de movimiento aumentada un 10%","รองเท้า​เมจิก ที่มี เพิ่ม​ความเร็ว​ใน​การ​เคลื่อนที่ 10%","增加 10% 移動速度的魔法鞋子",1,1178,"",1,"",1
8657,"SentinelVendorRecipes1_2",1,8,"Orb of Chance","un Orbe de chance","Sphäre der Möglichkeiten","Orb of Chance","기회의 오브","Orbe da Chance","Сфера удачи","Orbe de azar","Orb of Chance","機會石",1,1178,"",1,"",1
8658,"SentinelVendorRecipes1_3",1,9,"Unique Item","un Objet unique","Einzigartiger Gegenstand","Unique Item","고유 아이템","Item Único","Уникальный предмет","Objeto único","ไอเทม​ยูนิค","傳奇道具",1,1178,"",1,"",1
8659,"SentinelVendorRecipes1_4",1,10,"Skill Gem","une Gemme d'aptitude","Fertigkeitengemme","Skill Gem","스킬 젬","Gema de Habilidade","Камень умения","Gema de habilidad","หินสกิล","技能寶石",1,1178,"",1,"",1
8660,"SentinelDefeatActBossesI_1",1,11,"Act 1: Merveil, the Twisted","Merveil, l'Aliénée (Acte 1)","Akt 1: Merveil die Verderbte","Act 1: Merveil, the Twisted","1장: 뒤틀린 자 머베일","Ato 1: Merveil, a Perversa","Акт 1: Мервейл Обернувшаяся","Acto 1: Merveil, la Retorcida","บทที่ 1: เมอร์เวล ผู้​ผิด​เพี้ยน","第一章：海妖莫薇兒",1,1179,"",1,"",1
8661,"SentinelDefeatActBossesI_2",1,12,"Act 2: Vaal Oversoul","L'Âme souveraine vaal (Acte 2)","Akt 2: Vaal-Überseele","Act 2: Vaal Oversoul","2장: 바알 신령","Ato 2: Sobrealma Vaal","Акт 2: Вседуша ваал","Acto 2: Alma suprema vaal","บทที่ 2: มหาวิญญาณ​แห่ง​วาล์","第二章：瓦爾超靈",1,1179,"",1,"",1
8662,"SentinelDefeatActBossesI_3",1,13,"Act 3: Dominus, Ascendant","Dominus, Ascendant (Acte 3)","Akt 3: Dominus, Aszendent","Act 3: Dominus, Ascendant","3장: 승천자 도미누스","Ato 3: Dominus, Ascendente","Акт 3: Владыка, Вознесшийся","Acto 3: Dóminus, Ascendiente","บทที่ 3: โดมินัส ผู้​ใฝ่​สูง","第三章：神主",1,1179,"",1,"",1
8663,"SentinelDefeatActBossesI_4",1,14,"Act 4: Malachai, The Nightmare","Malachai, le Cauchemar (Acte 4)","Akt 4: Malachai der Albtraum","Act 4: Malachai, The Nightmare","4장: 악몽 같은 자 말라카이","Ato 4: Malachai, O Pesadelo","Акт 4: Малахай, Кошмар","Acto 4: Malachai, la Pesadilla","บทที่ 4: มาลาไค ผู้​ครอง​ฝัน​ร้าย","第四章：瑪拉凱",1,1179,"",1,"",1
8664,"SentinelDefeatActBossesI_5",1,15,"Act 5: Kitava, the Insatiable","Kitava, l'Insatiable (Acte 5)","Akt 5: Kitava der Unersättliche","Act 5: Kitava, the Insatiable","5장: 만족을 모르는 자 키타바","Ato 5: Kitava, o Insaciável","Акт 5: Китава, Ненасытный","Acto 5: Kitava, el Insaciable","บทที่ 5: คิทาวา ผู้​สวาปาม​มิ​รู้​สิ้น","第五章：奇塔弗",1,1179,"",1,"",1
8665,"SentinelCompleteEncountersI_1",1,16,"Complete a Vaal Side Area","Terminez une Zone annexe vaal","Schließt ein Vaal-Nebengebiet ab","Complete a Vaal Side Area","바알 부가 지역 완료하기","Complete uma Área Paralela Vaal","Завершите побочную область ваал","Completa un área secundaria vaal","ผ่าน ด่าน​ย่อย​วาล์","完成 1 個瓦爾區域",1,1180,"",1,"",1
8666,"SentinelCompleteEncountersI_2",1,17,"Choose an Ascendancy","Choisissez une Ascendance","Wählt eine Aszendenzklasse","Choose an Ascendancy","전직 선택하기","Escolha uma Ascensão","Выберите класс Восхождения","Elige una ascendencia","เลือก​คลาส​เสริม","選擇昇華職業",1,1180,"",1,"",1
8667,"SentinelCompleteEncountersI_3",1,18,"Complete encounter at Bestiary Blood Altar","Terminez une rencontre à l'Autel de sang dans la Ménagerie","Schließt eine Begegnung am Bestiary-Blutaltar ab","Complete encounter at Bestiary Blood Altar","야수 도감 피의 제단에서 인카운터 완료하기","Complete encontros no Altar Sanguinário do Bestiário","Завершите схватку на Алтаре крови Бестиария","Completa un encuentro en el Altar de sangre del Animalario","ผ่าน​การเผชิญหน้า​ที่ แท่นบูชาโลหิตสวนสัตว์","完成一次獸獵鮮血祭壇",1,1180,"",1,"",1
8668,"SentinelCompleteEncountersI_4",1,19,"Defeat an Incursion Architect","Tuez un Architecte lors d'une Incursion","Vernichtet einen Incursion-Architekten","Defeat an Incursion Architect","기습 건축가 처치하기","Derrote um Arquiteto em uma Incursão","Победите архитектора во Вмешательстве","Derrota a un Arquitecto de Incursion","สยบ สถาปนิก​ย้อนเวลา","擊敗穿越建師",1,1180,"",1,"",1
8669,"SentinelUseSentinels1_1",1,20,"Rusted Stalker Sentinel","Sentinelle traqueuse rouillée","Rostiger Jagender Wächter","Rusted Stalker Sentinel","녹슨 추적자 파수꾼","Sentinela Perseguidor Enferrujado","Ржавый Часовой-охотник","Centinela acechador oxidado","หุ่นอารักษ์​ย่อง​ตาม​ขึ้นสนิม","鏽蝕的潛行守望",1,1181,"",1,"",1
8670,"SentinelUseSentinels1_2",1,21,"Bronze Stalker Sentinel","Sentinelle traqueuse en bronze","Bronzener Jagender Wächter","Bronze Stalker Sentinel","청동 추적자 파수꾼","Sentinela Perseguidor de Bronze","Бронзовый Часовой-охотник","Centinela acechador de bronce","หุ่นอารักษ์​ย่อง​ตาม​ทองแดง","青銅的潛行守望",1,1181,"",1,"",1
8671,"SentinelUseSentinels1_3",1,22,"Cobalt Stalker Sentinel","Sentinelle traqueuse en cobalt","Kobaltblauer Jagender Wächter","Cobalt Stalker Sentinel","코발트 추적자 파수꾼","Sentinela Perseguidor de Cobalto","Кобальтовый Часовой-охотник","Centinela acechador de cobalto","หุ่นอารักษ์​ย่อง​ตาม​โคบอลต์","鈷藍的潛行守望",1,1181,"",1,"",1
8672,"SentinelUseSentinels1_4",1,23,"Brimstone Stalker Sentinel","Sentinelle traqueuse en soufre","Schwefelhaltiger Jagender Wächter","Brimstone Stalker Sentinel","유황 추적자 파수꾼","Sentinela Perseguidor de Enxofre","Сернистый Часовой-охотник","Centinela acechador de azufre","หุ่นอารักษ์​ย่อง​ตาม​กำมะถัน","硫磺的潛行守望",1,1181,"",1,"",1
8673,"SentinelUseSentinels1_5",1,24,"Emberstone Stalker Sentinel","Sentinelle traqueuse en rochebraise","Glühender Jagender Wächter","Emberstone Stalker Sentinel","불씨석 추적자 파수꾼","Sentinela Perseguidor Embrasado","Каменноугольный Часовой-охотник","Centinela acechador de ascuas","หุ่นอารักษ์​ย่อง​ตาม​หินอัคนี","灰石的潛行守望",1,1181,"",1,"",1
8674,"SentinelUseSentinels1_6",1,25,"Obsidian Stalker Sentinel","Sentinelle traqueuse en obsidienne","Obsidianbesetzter Jagender Wächter","Obsidian Stalker Sentinel","흑요석 추적자 파수꾼","Sentinela Perseguidor Obsidiano","Обсидиановый Часовой-охотник","Centinela acechador de obsidiana","หุ่นอารักษ์​ย่อง​ตาม​ออบซิเดียน","黑曜的潛行守望",1,1181,"",1,"",1
8675,"SentinelUseSentinels1_7",1,26,"Cryptic Stalker Sentinel","Sentinelle traqueuse énigmatique","Geheimnisvoller Jagender Wächter","Cryptic Stalker Sentinel","난해한 추적자 파수꾼","Sentinela Perseguidor Críptico","Скрытый Часовой-охотник","Centinela acechador críptico","หุ่นอารักษ์​ย่อง​ตาม​ลึกลับ","神秘的潛行守望",1,1181,"",1,"",1
8676,"SentinelUseSentinels1_8",1,27,"Primeval Stalker Sentinel","Sentinelle traqueuse primordiale","Urzeitlicher Jagender Wächter","Primeval Stalker Sentinel","원시 추적자 파수꾼","Sentinela Perseguidor Primitivo","Первобытный Часовой-охотник","Centinela acechador primitivo","หุ่นอารักษ์​ย่อง​ตาม​บรรพกาล","原始的潛行守望",1,1181,"",1,"",1
8677,"SentinelUseSentinels1_9",1,28,"Ancient Stalker Sentinel","Sentinelle traqueuse ancestrale","Uralter Jagender Wächter","Ancient Stalker Sentinel","고대 추적자 파수꾼","Sentinela Perseguidor Ancestral","Древний Часовой-охотник","Centinela acechador ancestral","หุ่นอารักษ์​ย่อง​ตาม​โบราณ","古代的潛行守望",1,1181,"",1,"",1
8678,"SentinelUseSentinels1_10",1,29,"Bronze Pandemonium Sentinel","Sentinelle tumultueuse en bronze","Bronzener Höllischer Wächter","Bronze Pandemonium Sentinel","청동 대혼란 파수꾼","Sentinela do Pandemônio de Bronze","Бронзовый Часовой-пандемоний","Centinela de pandemonio de bronce","หุ่นอารักษ์​อลหม่าน​ทองแดง","青銅的萬劫守望",1,1181,"",1,"",1
8679,"SentinelUseSentinels1_11",1,30,"Cobalt Pandemonium Sentinel","Sentinelle tumultueuse en cobalt","Kobaltblauer Höllischer Wächter","Cobalt Pandemonium Sentinel","코발트 대혼란 파수꾼","Sentinela do Pandemônio de Cobalto","Кобальтовый Часовой-пандемоний","Centinela de pandemonio de cobalto","หุ่นอารักษ์​อลหม่าน​โคบอลต์","鈷藍的萬劫守望",1,1181,"",1,"",1
8680,"SentinelUseSentinels1_12",1,31,"Brimstone Pandemonium Sentinel","Sentinelle tumultueuse en soufre","Schwefelhaltiger Höllischer Wächter","Brimstone Pandemonium Sentinel","유황 대혼란 파수꾼","Sentinela do Pandemônio de Enxofre","Сернистый Часовой-пандемоний","Centinela de pandemonio de azufre","หุ่นอารักษ์​อลหม่าน​กำมะถัน","硫磺的萬劫守望",1,1181,"",1,"",1
8681,"SentinelUseSentinels1_13",1,32,"Emberstone Pandemonium Sentinel","Sentinelle tumultueuse en rochebraise","Glühender Höllischer Wächter","Emberstone Pandemonium Sentinel","불씨석 대혼란 파수꾼","Sentinela do Pandemônio Embrasado","Каменноугольный Часовой-пандемоний","Centinela de pandemonio de ascuas","หุ่นอารักษ์​อลหม่าน​หินอัคนี","灰石的萬劫守望",1,1181,"",1,"",1
8682,"SentinelUseSentinels1_14",1,33,"Obsidian Pandemonium Sentinel","Sentinelle tumultueuse en obsidienne","Obsidianbesetzter Höllischer Wächter","Obsidian Pandemonium Sentinel","흑요석 대혼란 파수꾼","Sentinela do Pandemônio Obsidiano","Обсидиановый Часовой-пандемоний","Centinela de pandemonio de obsidiana","หุ่นอารักษ์​อลหม่าน​ออบซิเดียน","黑曜的萬劫守望",1,1181,"",1,"",1
8683,"SentinelUseSentinels1_15",1,34,"Cryptic Pandemonium Sentinel","Sentinelle tumultueuse énigmatique","Geheimnisvoller Höllischer Wächter","Cryptic Pandemonium Sentinel","난해한 대혼란 파수꾼","Sentinela do Pandemônio Críptico","Скрытый Часовой-пандемоний","Centinela de pandemonio críptico","หุ่นอารักษ์​อลหม่าน​ลึกลับ","神秘的萬劫守望",1,1181,"",1,"",1
8684,"SentinelUseSentinels1_16",1,35,"Primeval Pandemonium Sentinel","Sentinelle tumultueuse primordiale","Urzeitlicher Höllischer Wächter","Primeval Pandemonium Sentinel","원시 대혼란 파수꾼","Sentinela do Pandemônio Primitivo","Первобытный Часовой-пандемоний","Centinela de pandemonio primitivo","หุ่นอารักษ์​อลหม่าน​บรรพกาล","原始的萬劫守望",1,1181,"",1,"",1
8685,"SentinelUseSentinels1_17",1,36,"Ancient Pandemonium Sentinel","Sentinelle tumultueuse ancestrale","Uralter Höllischer Wächter","Ancient Pandemonium Sentinel","고대 대혼란 파수꾼","Sentinela do Pandemônio Ancestral","Древний Часовой-пандемоний","Centinela de pandemonio ancestral","หุ่นอารักษ์​อลหม่าน​โบราณ","古代的萬劫守望",1,1181,"",1,"",1
8686,"SentinelUseSentinels1_18",1,37,"Bronze Apex Sentinel","Sentinelle alpha en bronze","Bronzener Alpha-Wächter","Bronze Apex Sentinel","청동 거물 파수꾼","Sentinela Supremo de Bronze","Бронзовый Апекс-Часовой","Centinela alfa de bronce","หุ่นอารักษ์​สูงศักดิ์​ทองแดง","青銅的巔峰守望",1,1181,"",1,"",1
8687,"SentinelUseSentinels1_19",1,38,"Cobalt Apex Sentinel","Sentinelle alpha en cobalt","Kobaltblauer Alpha-Wächter","Cobalt Apex Sentinel","코발트 거물 파수꾼","Sentinela Supremo de Cobalto","Кобальтовый Апекс-Часовой","Centinela alfa de cobalto","หุ่นอารักษ์​สูงศักดิ์​โคบอลต์","鈷藍的巔峰守望",1,1181,"",1,"",1
8688,"SentinelUseSentinels1_20",1,39,"Brimstone Apex Sentinel","Sentinelle alpha en soufre","Schwefelhaltiger Alpha-Wächter","Brimstone Apex Sentinel","유황 거물 파수꾼","Sentinela Supremo de Enxofre","Сернистый Апекс-Часовой","Centinela alfa de azufre","หุ่นอารักษ์​สูงศักดิ์​กำมะถัน","硫磺的巔峰守望",1,1181,"",1,"",1
8689,"SentinelUseSentinels1_21",1,40,"Emberstone Apex Sentinel","Sentinelle alpha en rochebraise","Glühender Alpha-Wächter","Emberstone Apex Sentinel","불씨석 거물 파수꾼","Sentinela Supremo Embrasado","Каменноугольный Апекс-Часовой","Centinela alfa de ascuas","หุ่นอารักษ์​สูงศักดิ์​หินอัคนี","灰石的巔峰守望",1,1181,"",1,"",1
8690,"SentinelUseSentinels1_22",1,41,"Obsidian Apex Sentinel","Sentinelle alpha en obsidienne","Obsidianbesetzter Alpha-Wächter","Obsidian Apex Sentinel","흑요석 거물 파수꾼","Sentinela Supremo Obsidiano","Обсидиановый Апекс-Часовой","Centinela alfa de obsidiana","หุ่นอารักษ์​สูงศักดิ์​ออบซิเดียน","黑曜的巔峰守望",1,1181,"",1,"",1
8691,"SentinelUseSentinels1_23",1,42,"Cryptic Apex Sentinel","Sentinelle alpha énigmatique","Geheimnisvoller Alpha-Wächter","Cryptic Apex Sentinel","난해한 거물 파수꾼","Sentinela Supremo Críptico","Скрытый Апекс-Часовой","Centinela alfa críptico","หุ่นอารักษ์​สูงศักดิ์​ลึกลับ","神秘的巔峰守望",1,1181,"",1,"",1
8692,"SentinelUseSentinels1_24",1,43,"Primeval Apex Sentinel","Sentinelle alpha primordiale","Urzeitlicher Alpha-Wächter","Primeval Apex Sentinel","원시 거물 파수꾼","Sentinela Supremo Primitivo","Первобытный Апекс-Часовой","Centinela alfa primitivo","หุ่นอารักษ์​สูงศักดิ์​บรรพกาล","原始的巔峰守望",1,1181,"",1,"",1
8693,"SentinelUseSentinels1_25",1,44,"Ancient Apex Sentinel","Sentinelle alpha ancestrale","Uralter Alpha-Wächter","Ancient Apex Sentinel","고대 거물 파수꾼","Sentinela Supremo Ancestral","Древний Апекс-Часовой","Centinela alfa ancestral","หุ่นอารักษ์​สูงศักดิ์​โบราณ","古代的巔峰守望",1,1181,"",1,"",1
8694,"SentinelUseSentinels1_26",1,45,"Cosmic Apex Sentinel","Sentinelle alpha cosmique","Kosmischer Alpha-Wächter","Cosmic Apex Sentinel","우주의 거물 파수꾼","Sentinela Supremo Cósmico","Космический Апекс-Часовой","Centinela alfa cósmico","หุ่นอารักษ์​สูงศักดิ์​จักรวาล","宇宙的巔峰守望",1,1181,"",1,"",1
8695,"SentinelDefeatActBossesII_1",1,46,"Act 6: Tsoagoth, The Brine King","Tsoagoth, le Roi des Embruns (Acte 6)","Akt 6: Tsoagoth, der Gischtkönig","Act 6: Tsoagoth, The Brine King","6장: 염수왕 소아고스","Ato 6: Tsoagoth, O Rei da Salmoura","Акт 6: Тсоагот, Морской царь","Acto 6: Tsoagoth, el Rey del mar","บทที่ 6: ซัวก็อธ ราชัน​น้ำ​เค็ม","第六章：賽根斯",1,1182,"",1,"",1
8696,"SentinelDefeatActBossesII_2",1,47,"Act 7: Arakaali, Spinner of Shadows","Arakaali, la Tisseuse d'ombres (Acte 7)","Akt 7: Arakaali, Weberin der Schatten","Act 7: Arakaali, Spinner of Shadows","7장: 그늘 속의 방적꾼 아라칼리","Ato 7: Arakaali, Fiandeira das Sombras","Акт 7: Аракаали, Прядильщица теней","Acto 7: Arakaali, la Hilandera de sombras","บทที่ 7: อาราคาลี ผู้​ถัก​ทอ​หมู่​เงา","第七章：艾爾卡莉",1,1182,"",1,"",1
