"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","SoundFile","ParrotSoundFile","i32"
631,"Templar73","Your hateful scorn has no place in God's land.","Ton mépris haineux n'a pas sa place sur la terre de Dieu.","Eure widerwärtige Schmähung hat keinen Platz in Gottes Land.","其方の悪意に満ちた軽蔑は、この神の地にはふさわしくない。","신의 땅에 그대의 증오로 가득한 경멸감이 발붙일 자리는 없다.","Seu desprezo odioso não tem lugar na terra de Deus.","Вашему злобному презрению не место на земле Господа!","No hay lugar para tu odioso desdén en la tierra de Dios.","แผ่น​ดิน​พระเจ้า​แห่ง​นี้​ไม่มี​ที่​ให้​กับ​ความ​รัง​เกียจ​เดียจ​ฉันท์​ของ​แก","你可惡的蔑視在神之地是沒有立足點的。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_02.ogg","",10000
632,"Templar74","Piety's 'science' may aid in uncovering the truth of this world. God does have a sense of humor.","La « science » de Piété aidera peut-être à révéler la vérité de ce monde. Dieu a certainement un sens de l'humour.","Pietys \""Forschung\"" vermag, die Wahrheit dieser Welt aufzudecken. Gott hat wahrlich einen Sinn für Humor.","パイエティの「科学」とやらは、この世界の真実を暴くのに役立ったのかもしれぬ。神はユーモアのセンスをお持ちのようだ。","파이어티의 '과학'이 이 세상의 진실을 파헤치는 데 도움이 될지도 모른다니. 신께서는 짓궂기도 하시지.","A 'ciência' de Piety pode ajudar a descobrir a verdade deste mundo. Deus tem mesmo um senso de humor. ","\""Изыскания\"" Веры могут помочь раскрыть истину этого мира. У Господа действительно есть чувство юмора.","La 'ciencia' de Piedad podría ayudar a descubrir la verdad de este mundo. Dios tiene sentido del humor.","​'​วิทยาศาสตร์' ของ​พายตี้​อาจ​ช่วย​เผย​ความ​จริง​ของ​โลก​นี้​ก็​เป็น​ได้ พระเจ้า​ทรง​มี​อารมณ์​ขัน​เสีย​จริง","派蒂的“科學”可能有助於揭示這個世界的真相。神確實有幽默感吧。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_03.ogg","",10000
633,"Templar75","You should have kept your eyes on God.","Tu aurais dû garder les yeux sur Dieu.","Ihr hättet Eure Augen nicht von Gott abwenden sollen.","神から目を離すべきではなかったな。","신을 저버려서는 안 되었다.","Você deveria ter confiado em Deus. ","Тебе не следовало отворачиваться от Господа.","Deberías haber seguido manteniendo la vista sobre Dios.","แก​ไม่​ควร​ละ​สายตา​จาก​พระเจ้า","你應該一直注意神。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_04.ogg","",10000
634,"Templar76","At long last I return home, only to find chaos and blood.","Je suis enfin de retour à la maison, tout ça pour trouver le chaos et le sang.","Letztendlich kehre ich nach Hause zurück, nur um Chaos und Blut vorzufinden.","やっと帰ってきたと思ったら、あるのは混沌と血だけとはな。","마침내 고향 땅을 다시 밟게 되었건만, 오직 혼돈과 피만이 나를 맞이하는구나.","Após muito tempo eu retorno para casa, apenas para encontrar caos e sangue. ","Наконец-то я вернулся домой, чтобы найти только хаос и кровь.","Después de tanto tiempo, vuelvo a casa solo para encontrar caos y sangre.","ใน​ที่สุด​ข้า​ก็ได้​กลับ​มา​สู่​บ้านเกิด แต่​พบ​เพียง​ความวุ่นวาย​และ​เลือด​ที่​ไหล​ริน","終於我回到家，卻發現一片混亂和鮮血。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_05.ogg","",10000
635,"Templar77","Templar initiates will suffer your humiliations no longer.","Les Templiers initiés ne souffriront pas davantage tes humiliations.\r\n","Die Initianden der Templer werden Eure Demütigungen nicht länger ertragen.","我らテンプラーは、其方の屈辱にはもう容赦せぬ。","이제 신입 템플러들이 그대 때문에 치욕을 느끼지 않아도 될 것이다.","Acabaram-se os dias das suas humilhações, Templários Iniciados não irão mais sofrer. ","Послушники больше не будут страдать от твоих унижений.","Los iniciados templarios ya no sufrirán más tus humillaciones.","ศิษย์​เทม​พลาร์​ไม่​ต้อง​ทน​ขาย​ขี้​หน้า​กับ​แก​อีก​ต่อ​ไปแล้ว","初始聖宗將不再遭受你的屈辱。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_06.ogg","",10000
636,"Templar78","I vowed before my brothers that I would return, and so I have.","J'ai fait à mes frères le serment que je reviendrai un jour, et me revoilà.","Ich schwor vor meinen Brüdern, dass ich zurückkehren würde, und so geschah es.","我は兄弟たちに必ず帰還すると誓い、そして戻ってきた。","형제들에게 맹세했던 대로 돌아왔도다.","Eu jurei diante dos meus irmãos que eu voltaria, e assim o fiz. ","Я поклялся перед братьями, что вернусь, и я так и сделал.","Juré ante mis hermanos que regresaría, y así lo he hecho.","ข้า​เคย​สาบาน​ต่อ​พี่​น้อง​ของ​ข้า​ว่า​จะ​กลับ​มา บัดนี้​ข้า​กลับ​มา​แล้ว","我在我的兄弟們面前發誓我會回來，而我做到了。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_07.ogg","",10000
637,"Templar79","The hour of judgment draws near.","Le moment du jugement est proche.","Die Stunde des Gerichts naht.","裁きの時間が近づいてきたな。","심판의 날이 다가오고 있다.","A hora do julgamento se aproxima. ","Час суда близится.","La hora del juicio se acerca.","ใกล้​ถึง​ยาม​พิพากษา​เสีย​เต็มที","審判時刻靠近了。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_08.ogg","",10000
638,"Templar80","Avarius! Face me!","Avarius ! Fais-moi face !","Avarius! Stellt Euch mir!","アヴァリウス！かかって来るがよい！","아배리우스! 덤벼라!","Avarius! Olhe para mim!","Авариус! Сразись со мной!","¡Avarius! ¡Enfréntate a mí!","อาวาริอุส! เผชิญ​หน้า​กับ​ข้า​เสีย!","伊爾莉斯！ 面對我！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_09.ogg","",10000
639,"Templar81","And so it will!","Ainsi soit-il !","Und so wird es sein!","除かれるとも！","뜻대로 되리라!","E assim será!","Так и будет!","¡Y así será!","มัน​ย่อม​เป็น​เช่น​นั้น​!","所以它會的！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_10.ogg","",10000
640,"Templar82","When God has lost His way, the devout must set Him back on the path!","Lorsque Dieu s'égare, le dévôt se doit de le remettre sur le droit chemin !","Wenn Gott sich verirrt hat, müssen die Frommen ihn wieder auf den Weg bringen!","神が彼の道を見失ったとき、正しい道に戻すのは信者の役目だ！","신께서 길을 잃으셨을 때, 그분을 바로잡는 것이 신실한 자로서의 의무일지니!","Quando Deus se perde pelo caminho, o devoto deve guiá-Lo de volta!","Когда Господь сбивается с пути, набожные должны вернуть Его!","Cuando Dios pierde el rumbo, ¡el devoto debe reconducirlo por el buen camino!","เมื่อ​พระเจ้า​ทรง​หลง​ทาง ผู้​มี​ศรัทธา​ย่อม​ต้อง​นำพา​พระองค์​ท่าน​กลับ​สู่​ทาง​ที่​ควร!","當神迷失了他的方向時，虔誠的信徒必須讓他回到正途上！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_11.ogg","",10000
641,"Templar83","To battle my own God and listen to lies from His antithesis... am I a fool?","Affronter mon propre Dieu et écouter les mensonges de Son antithèse... suis-je un sot ?","Im Clinch mit meinem eigenen Gott den Lügen seiner Antithesen lauschend... Bin ich ein Narr?","自らの神と戦い、否定から生まれる嘘を聞くことになるとは......我は愚か者か？","나의 신과 싸우고 그분께 반하는 자의 거짓말을 듣다니... 내가 어리석은 짓을 하고 있는 것인가?","Lutar contra meu próprio Deus e ouvir mentiras de Seus ateístas... Eu sou um tolo?","Сражаться с собственным Господом и слушать ложь Его антипода... дурак ли я?","Combatir contra mi propio Dios y escuchar las mentiras de su antítesis… ¿soy un necio?","ข้า​ต่อกร​กับ​พระเจ้า​ข้า​แล้ว​ฟัง​คำ​ลวง​จาก​ปาก​ปรปักษ์​ของ​พระองค์... ข้า​เป็น​คน​โง่​ไป​แล้ว​หรือ​กระไร?","與我自己的神戰鬥並聽從他對立面的謊言…我是個傻瓜嗎？","Audio/Dialogue/Character/StrInt/Event/Temp1_2_12.ogg","",10000
642,"Templar84","What in damnation have I done?","Damnation, qu'est-ce que j'ai fait ?","Bei den Göttern, was habe ich da verbrochen?","我は一体何をしたのだ？","내가 대체 무슨 짓을 한 거지?","Que diabos eu fiz?","Понимаю ли я весь ужас своего поступка?!","¿Qué demonios he hecho?","ข้า​ทำ​เรื่อง​บ้า​อะไร​ลงไป​?","我到底做了什麼？","Audio/Dialogue/Character/StrInt/Event/Temp1_2_13.ogg","",10000
643,"Templar85","What goodness remains of our order?","Qu'est-ce qu'il peut bien rester de notre ordre ?","Welche Güte bleibt von unserem Orden?","我々の中に残る善とは何だ？","우리 기사단에 정의가 남아 있기는 한 것인가?","Que bondade ainda resta de nossa ordem?","Что же осталось от нашего ордена?","¿Queda algo de bondad en nuestra orden?","ภาคี​เรา​จะ​เหลือ​สิ่ง​ดี​งาม​อัน​ใด​อีก​?","我們的秩序有什麼優點？","Audio/Dialogue/Character/StrInt/Event/Temp1_2_14.ogg","",10000
644,"Templar86","There is always hope. There is always redemption. Even when all looks lost.","Il y a toujours de l'espoir. Il y a toujours la rédemption. Même lorsque tout est perdu en apparence.","Die Hoffnung stirbt zuletzt. Die Erlösung währt ewig. Selbst wenn alles verloren scheint.","希望は常にある。贖いもだ。たとえ全てが失われたように見えてもな。","모든 것이 끝난 것 같아 보일지라도 언제나 희망이 있고 구원의 문은 열려 있다.","Sempre há esperança. Sempre há salvação. Mesmo quando tudo parece estar perdido. ","Всегда есть надежда. Всегда есть искупление. Даже когда всё выглядит потерянным.","Siempre hay esperanza. Siempre hay redención. Incluso cuando todo parece perdido.","ไม่​ว่า​อย่างไร​ก็​มี​หวัง ไม่​ว่า​อย่างไร​ก็​ย่อม​มี​การ​ไถ่บาป แม้​ใน​ยาม​ที่​เหมือน​จะ​อับจน​หนทาง​ก็ตาม","總會有希望。總會有救贖。即使一切看起來都失去了。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_15.ogg","",10000
645,"Templar87","Your ilk will suffer my wrath for what you have done!","Ceux de votre acabit souffriront mon courroux pour ce que vous avez fait !","Euresgleichen wird meinen Zorn spüren für das, was Ihr getan habt!","其方がしたことで、其方の同族は我の怒りに苦しむであろう！","네 동족들이 내 분노 앞에 죗값을 치르게 되리라!","Você e sua laia sofrerão a minha fúria pelo que fizeram!","И вам подобные понесут мой гнев за то, что вы сделали!","¡Los de tu calaña sufrirán mi ira por lo que han hecho!","ข้า​จะ​ล้างบาง​พวก​แก​ให้​ย่อยยับ​จาก​การ​กระทำ​ของ​แก!","你的同類會因為你的所作所為而遭受我的憤怒！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_16.ogg","",10000
646,"Templar88","I shall cleanse this place of hallowed legacy.","Je vais purifier ce lieu d'héritage vide de sens.","Ich werde diesen Ort des heiligen Vermächtnisses säubern.","この場所から神聖なる遺産を取り除く。","신성한 유산이 깃든 이곳을 정화하리라.","Devo purificar este local de legado sagrado. ","Я очищу это место от священного наследия.","Purificaré este lugar de legado sagrado.","ข้า​จะ​ชำระล้าง​สถาน​เก็บ​มรดก​อัน​สูงศักดิ์​แห่งนี้","我應該清掃這神聖遺跡之地。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_17.ogg","",10000
647,"Templar89","I continue to serve as God's instrument.","Je continue à servir en tant qu'instrument de Dieu.","Ich diene weiter als Gottes Werkzeug.","我は未だ神に仕える道具である。","변함없이 신의 도구로서 내 역할을 다하리라.","Eu continuo a servir como um instrumento de Deus.","Я продолжаю служить инструментом Господа.","Sigo sirviendo como el instrumento de Dios.","ข้า​ยัง​รับ​ใช้​ใน​ฐานะ​เครื่อง​มือ​ของ​พระเจ้า​ต่อ​ไป","我繼續擔任神的使者。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_18.ogg","",10000
648,"Templar90","Come forth, Ravenous One! Face the wrath of God!","Viens à moi, dieu vorace ! Fais face au courroux de Dieu !","Komm heraus, Nimmersatt! Stelle dich dem Zorn Gottes!","来い、飢える者よ！神の怒りと対面せよ！","이리 와라, 굶주린 자여! 신의 진노와 마주해라!","Venha, Devorador! Encare a ira de Deus!","Выходи, Ненасытный! Лицом к лицу с гневом Господним!","¡Ven a mí, monstruo Voraz! ¡Enfrenta la ira de Dios!","มา​เถิด เทพเจ้า​ผู้​กระหาย​เนื้อ! มา​รับ​โทสะ​ของ​พระเจ้า​เสีย!","出來吧，貪婪者！ 面對上帝的憤怒！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_19.ogg","",10000
649,"Templar91","Has my faith truly been a lie? My God, an impostor, too weak to defeat the Ravenous One...","Est-ce que ma foi était vraiment un mensonge ? Mon Dieu est un imposteur, trop faible pour vaincre le Vorace...","War mein Glaube wirklich eine Lüge? Mein Gott, ein Schwindler, zu schwach, um den Nimmersatt zu besiegen...","我が信仰は本当に嘘だったのか？我が神が偽物で、飢える者を打ち倒す力がないなど…...","내 신앙이 정녕 거짓이었단 말인가? 나의 신이 굶주린 자를 물리칠 힘도 없는 가짜였다니...","A minha fé tem sido mesmo uma mentira? Meu Deus, um impostor, muito fraco para derrotar o Devorador...","Не была ли моя вера ложью? Господь мой, самозванец, слишком слаб, чтобы победить Ненасытного ... ","¿Mi fe era en verdad una mentira? Mi Dios, un impostor demasiado débil para derrotar al Voraz…","ศาสนา​ของ​ข้า​เป็น​เพียง​คำ​ลวง​เท่านั้น​หรือ​? พระเจ้า​ของ​ข้า​เป็น​เพียง​เทพ​จอม​ปลอม อ่อนแอ​จน​ไม่​อาจ​สยบ​เทพเจ้า​ผู้​กระหาย​เนื้อ...","我的信仰真的是謊言嗎？我那個偽君子的神，太弱了，無法擊敗貪婪者…","Audio/Dialogue/Character/StrInt/Event/Temp1_2_20.ogg","",10000
650,"Templar92","The truth of this world comes into focus one tale at a time.","La vérité de ce monde se dévoile, une légende à la fois.","Die Wahrheit dieser Welt rückt in den Fokus, Geschichte um Geschichte.","この世の真実は一つずつ、物語として語られる。","이야기가 하나씩 풀릴 때마다 세상의 진실도 드러나는구나.","A verdade deste mundo é revelada, um conto de cada vez. ","Истина этого мира проявляется шаг за шагом.","La verdad de este mundo se hace visible una historia a la vez.","นิทาน​แต่ละ​เรื่อง​ทำให้​สัจธรรม​ของ​โลก​ชัดเจน​ขึ้น​ที​ละ​น้อย","這個世界的真相成為故事的焦點。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_21.ogg","",10000
651,"Templar93","Here, I was born anew. It is my honour to cleanse it of evil.","En ces terres, je suis né à nouveau. Il en va de mon honneur de les purger du mal.","Hier wurde ich von neuem geboren. Es ist meine Ehre, es vom Bösen zu säubern.","ここで我は生まれ変わった。ここから悪を浄化するのは名誉あることだ。","여기는 내가 새롭게 태어난 곳. 이곳에서 악을 몰아내는 것이 내 의무다.","Aqui, eu renasci. É minha honra purificar contra o mal. ","Здесь я родился заново. Для меня большая честь очистить это место от зла.","En este lugar, nací de nuevo. Será un honor para mí purificarlo de maldad.","นี่​เป็น​ที่​ที่​ข้า​ได้​มี​ชีวิต​ใหม่ เป็น​เกียรติ​นัก​ที่​ข้า​จะ​ได้​กวาดล้าง​ความ​ชั่วช้า​ให้​สิ้น​จาก​ที่​นี่","在這裡，我重生了。淨化它的邪惡是我的榮幸。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_22.ogg","",10000
652,"Templar94","I return to exile, humbled and shaken.","Je retourne en exil, bouleversé et empli d'humilité.","Ich kehre ins Exil zurück, demütig und aufgewühlt.","我は追放へと帰る。地に塗れ、揺さぶられて。","자신감은 꺾이고 신앙심은 흔들리는구나. 나의 방랑은 다시 시작된다.","Eu retorno ao exílio, humilde e abatido. ","Я возвращаюсь в изгнание, униженный и потрясённый.","Regreso al exilio, más humilde y perturbado.","ข้า​กลับ​มา​ถูก​เนรเทศ​อีก​ครา ทั้ง​แพ้พ่าย ทั้ง​สะเทือนขวัญ","我回到流放地，感到卑微和震驚。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_23.ogg","",10000
653,"Templar95","Caruso... yes, I met your son. One day, I will tell him of your demise.","Caruso... oui, j'ai rencontré ton fils. Un jour, je lui raconterai l'histoire de ton trépas.","Caruso... ja, ich habe Euren Sohn getroffen. Eines Tages werde ich ihm von Eurem Ableben erzählen.","カルーソ…...ああ、息子に会ったよ。いつか、奴に其方の死を伝えるよ。","카루소... 그래, 그대의 아들과 만난 적이 있지. 언젠가 그에게 그대의 최후를 전하지.","Caruso... Sim, eu conheci seu filho. Um dia eu contarei a ele sobre a sua derrota.","Карузо... да, я встретил твоего сына. Однажды я расскажу ему о твоей кончине.","Caruso… sí, conocí a tu hijo. Algún día le contaré sobre tu final.","คารูโซ่... ใช่ ข้า​ได้​พบ​กับ​ลูกชาย​แก​แล้ว สัก​วัน​ข้า​จะแจ้ง​ข่าว​ความ​ตาย​ของ​แก​ให้​ลูก​แก​ได้​รับ​รู้","卡盧索…是的，我遇到了你的兒子。總有一天，我會告訴他你的死訊。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_24.ogg","",10000
654,"Templar96","Gods and evil beset humanity while I pick up papers.","Les dieux et le mal accablent l'humanité tandis que je ramasse des papiers.","Götter und das Böse bedrohen die Menschheit, während ich Papiere aufsammle.","我が紙を拾っている間にも神や邪悪が人類を苦しませている。","내가 종이나 줍고 있는 동안 신들과 악의 무리가 인류를 위협하고 있다.","Deuses e o mal cercam a humanidade enquanto eu recolho papéis.","Боги и зло окружают человечество, а я собираю бумаги.","Los Dioses y el mal cercan a la humanidad mientras yo hago papeleo.","ข้า​มัว​แต่​เก็บ​กระดาษ​ใน​ยาม​ที่​มนุษยชาติ​ถูกรายล้อม​ไป​ด้วย​ทวย​เทพ​และ​ความ​ชั่ว​ช้า","當我拿起紙張時，神與惡魔困住人類。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_25.ogg","",10000
655,"Templar97","The world crumbles. I must gather the pieces.","Le monde tombe en morceaux, morceaux que je dois rassembler.","Die Welt bricht zusammen. Ich muss die Stücke zusammensuchen.","世界が崩壊している。欠片を集めねばなるまい。","세계가 무너지고 있다. 내가 세계의 파편을 주워야 한다.","O mundo desmorona. Eu devo juntar os pedaços. ","Мир рушится. Я должен собрать осколки.","El mundo se derrumba. Debo reunir las piezas.","โลก​กำลัง​ล่มสลาย ข้า​ต้อง​กอบกู้​สถานการณ์​ให้​จง​ได้","世界崩塌。我必須收集碎片。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_26.ogg","",10000
656,"Templar98","It seems I am but a pawn in a clash of gods.","Il semblerait que je ne sois qu'un pion dans une confrontation entre dieux.","Es scheint als wäre ich ein Bauer in einem Kampf der Götter.","我は神の戦いの盤上の歩に過ぎないようだ。","나는 신들의 전쟁에서 장기말에 불과하구나.","Parece que sou um mero peão em um combate de deuses. ","Кажется, я всего лишь пешка в битве богов.","Parece que soy solo un peón en un choque de dioses.","เหมือน​ข้า​จะ​เป็นแค่​เบี้ย​ตัว​หนึ่ง​ใน​การ​ต่อกร​ของ​ทวย​เทพ","看來我不過是諸神交鋒中的一顆棋子。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_27.ogg","",10000
657,"Templar99","Evil has returned to this place of despair.","Le mal est de retour en ce lieu de désespoir.","Das Böse ist an diesen Ort der Trostlosigkeit zurückgekehrt.","この絶望の場所に邪悪が戻ってきた。","이 절망의 장소에 악이 돌아왔구나.","O mal retornou a este lugar de desespero. ","Зло вернулось в это место отчаяния.","El mal ha regresado a este sitio de desesperación.","ความ​ชั่ว​ช้า​กลับ​มา​ใน​สถาน​อัน​แสน​โศก​แห่ง​นี้","邪惡又回到了這個絕望之地。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_28.ogg","",10000
658,"Templar100","Our final crusade sees its first triumph.","Notre dernière croisade connaît son premier triomphe.","Unser letzter Kreuzzug sieht seinen ersten Triumph.","我らの最後の聖戦の最初の勝利だ。","우리 최후의 성전에 첫 승리가 깃드는구나.","Nossa cruzada final vê o seu primeiro triunfo. ","Наш последний крестовый поход вершит свою первую победу.","Nuestra cruzada final alcanza su primer triunfo.","ชัยชนะ​แรก​ใน​สงคราม​เทพครั้ง​สุดท้าย​ของ​เรา","我們最後的遠征看到了它的第一次勝利。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_29.ogg","",10000
659,"Templar101","Your tortured and twisted goatmen deserve my God's grace, not yours.","Tes hommes-boucs torturés et déformés méritent la grâce de mon Dieu, non la tienne.","Eure geschundenen und entstellten Ziegenmänner verdienen die Gnade meines Gottes, nicht die Eure.","その苦しめられ捻じ曲げられたゴートマン達には其方のではなく、我が神の恵みが相応しい。","고통받고 뒤틀린 염소인간들은 그대의 신이 아닌 내 신의 은총을 받아 마땅하다.","Suas cabras torturadas e distorcidas merecem a graça do meu Deus, não a sua. ","Ваши замученные и извращенные козероги заслуживают милости моего Бога, а не вашего.","Tus torturados y retorcidos hombres cabra merecen la gracia de mi Dios, no del tuyo.","มนุษย์​แพะ​ผิด​เพี้ยน​ที่​ทุกข์​ทรมาน​ของ​แก​ควร​ได้​รับ​ความเมตตา​จาก​พระเจ้า​ของ​ข้า มิใช่​แก","你被折磨和扭曲的羊蹄人應該得到我神的恩典，而不是你的。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_30.ogg","",10000
660,"Templar102","Had you not barred the way the first time, Piety, things might have turned out differently... for all of us.","Si tu ne m'avais pas barré la route la première fois, Piété, les choses auraient pu tourner différemment... pour tout le monde.","Hättest du uns beim ersten Mal nicht den Weg versperrt, Piety, wären die Dinge vielleicht anders ausgegangen... für uns alle.","パイエティ、最初に其方が道を塞がなければ、物事は異なる結末を迎えたかも知れぬ...…皆にとってな。","그대가 처음에 길을 막지 않았더라면 이것과는 다른 결과가 찾아왔을지도 몰라, 파이어티... 우리 모두에게 말이야.","Se você não tivesse barrado o caminho da primeira vez, Piety, as coisas poderiam ter sido diferentes... para todos nós.","Если бы ты не встала на пути в первый раз, Вера, всё могло бы сложиться иначе... для всех нас.","Si no hubieras bloqueado el camino la primera vez, Piedad, las cosas podrían haber sido distintas... Para todos.","หาก​แก​มิได้​ขวาง​ทางใน​ครั้ง​แรก พายตี้ เรื่อง​ราว​ต่างๆ คง​ไม่​เป็น​เช่น​นี้... สำหรับ​พวก​เรา​ทุก​คน","如果你第一次沒有擋路，派蒂，事情可能會有所不同…對我們所有人來說。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_31.ogg","",10000
661,"Templar103","Some creatures are beneath God's grace. Rot in your disgusting poisons.","Certaines créatures sont indignes de la grâce de Dieu. Pourris dans tes poisons répugnants.","Manche Kreaturen verdienen Gottes Gnade nicht. Verrottet in euren abstoßenden Giften.","神の恵みに相応しくない者もいる。其方の汚らわしい毒の中で朽ちるがいい。","신의 은총을 받을 자격이 없는 생명체도 있지. 네 역겨운 독 속에서 썩어버려라.","Algumas criaturas estão abaixo da graça de Deus. Apodreça em seus venenos nojentos.","Некоторые твари не стоят божьей милости. Разлагайся в своих отвратительных ядах.","Algunas criaturas están por debajo de la gracia de Dios. Púdrete en tus asquerosos venenos.","สิ่ง​มี​ชีวิต​บาง​อย่าง​นั้น​อยู่​ต้อย​ต่ำ​เกิน​ความ​เมตตา​ของ​พระเจ้า จง​เน่า​สลาย​ไป​ใน​พิษ​อัน​น่า​รังเกียจ​ของ​แก​เสีย","有些生物在神的恩典下。腐爛在你噁心的毒藥中。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_32.ogg","",10000
662,"Templar104","The Azmeri refuge has fallen! I must find another way.","Le refuge des Azméris est tombé ! Je dois trouver un autre chemin.","Die Zuflucht der Azmeri ist gefallen! Ich muss einen anderen Weg finden.","アズメリの避難所が陥落した！別の道を見つけねばなるまい。","아즈메리 피난처가 함락되었군! 다른 길을 찾아야 해.","O refúgio Azmeri caiu! Devo encontrar outro caminho. ","Убежище азмири разрушено! Я должен найти другой путь.","¡El refugio azmeri ha caído! Debemos encontrar otro camino.","ที่​คุ้ม​ภัย​แอสเมรี​นั้น​พัง​พินาศ​แล้ว​! ข้า​จะ​ต้องหา​ทาง​อื่น","阿茲莫里避難所淪陷！我必須另闢蹊徑。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_33.ogg","",10000
663,"Templar105","I shall take this crusade to the seas themselves!","Je poursuivrai cette croisade sur les mers elles-mêmes !","Ich werde diesen Kreuzzug bis zu den Meeren selbst führen!","この聖戦を海そのものに仕掛けるぞ！","이 성전을 바다에서 이어 가리라!","Devo levar esta cruzada aos próprios mares!","Я поведу этот крестовый поход до самого моря!","¡Llevaré esta cruzada a los mismísimos mares!","ข้า​จะ​นำ​สงคราม​เทพนี้​ไป​สู่​ท้อง​ทะเล​เสีย​เอง​!","我將親自帶領這次遠征出海！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_34.ogg","",10000
664,"Templar106","Lord of Light, hold back the sea, so that I may slay its pretender king!","Seigneur de lumière, retiens la mer afin que je puisse en occire son prétendu roi !","Herr des Lichts, halte das Meer zurück, damit ich seinen heuchlerischen König erschlagen kann!","光の主よ、海を抑え給え。我がその偽物の王を殺せるように！","빛의 주인이시여, 제가 바다의 참칭자 왕을 해치울 수 있도록 바다를 물리시옵소서!","Senhor da Luz, segure os mares, para que eu possa matar seu falso rei!","Владыка Света, сдержи море, чтобы я мог убить его самозваного царя!","¡Señor de la luz, mantén a raya el mar para que pueda acabar con su rey impostor!","ท่าน​เทพ​แห่ง​แสง จง​รั้ง​ทะเล​เอา​ไว้​เถิด ข้า​จะ​ได้​สังหาร​ราชัน​จอม​ปลอม​ผู้​นี้​เสีย​ให้​สิ้น!","光之王，擋住大海，讓我斬殺牠的覬覦之王！","Audio/Dialogue/Character/StrInt/Event/Temp1_2_35.ogg","",10000
665,"Templar107","I accept this gift so that something of the innocent may live on.","J'accepte ce cadeau, afin que quelque chose de l'innocent puisse continuer à vivre.","Ich nehme dieses Geschenk an, damit etwas von den Unschuldigen weiterleben kann.","無垢なる者の一部が残るよう、我はこの贈り物を受け入れよう。","죄 없는 자의 흔적이나마 세상에 남도록, 이 선물을 받아들이겠다.","Aceito este presente para que algo dos inocentes permaneça vivo. ","Я принимаю этот дар, чтобы что-то невинное могло жить дальше.","Acepto este don para que parte de los inocentes pueda persistir.","ข้า​ขอ​น้อม​รับ​พร​นี้ เพื่อ​ให้​ผู้​บริสุทธิ์​บาง​ส่วน​ได้​ใช้​ชีวิต​ต่อไป","我接受這份禮物是為了讓一些無辜的人可以繼續生活。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_36.ogg","",10000
666,"Templar108","These innocents continue to suffer. Wraeclast must be set right.","Ces innocents continuent de souffrir. Il faut remettre de l'ordre en Wraeclast.","Diese Unschuldigen leiden immer noch. Wraeclast muss wieder in Ordnung gebracht werden.","無垢なる者たちが苦しんでいる。レイクラストを正さねばならない。","죄 없는 이들이 계속 고통받고 있구나. 레이클라스트를 바로잡아야 한다.","Estes inocentes continuam a sofrer. Wraeclast deve entrar na linha.","Эти ни в чём не повинные люди продолжают страдать. Рэкласт должен быть изменён.","Estos inocentes siguen sufriendo. Wraeclast debe ser rectificado.","ผู้​บริสุทธิ์​ยัง​คง​ทุกข์​ทรมาน เวร์แคลส์ท​ต้อง​กลับ​มา​เป็น​ธรรม​ให้​ได้","這些無辜者繼續受苦。 瓦爾克拉斯必須被導正。","Audio/Dialogue/Character/StrInt/Event/Temp1_2_37.ogg","",10000
