"rownum","Id","Text (English)","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)"
449,"InteractErrorEssence","Something else is keeping this Essence imprisoned.","Cette Essence est figée par quelque chose d'autre.","Etwas anderes sorgt dafür, dass diese Essenz eingeschlossen bleibt.","別の何かがこのエッセンスを封印しているようです。","무언가 이 에센스를 가두고 있습니다.","Outra coisa está mantendo essa Essência aprisionada.","Что-то ещё удерживает Сущность.","Algo más está manteniendo prisionera a esta Esencia.","มีพลังงานบางอย่างกักขัง เอสเซนส์ นี้ไว้อยู่","有東西使這個精髓無法被打破。"
450,"NotEnoughIngredients","You don't have enough ingredients for this action.","Vous n'avez pas les ingrédients nécessaires pour effectuer cette action.","Du hast nicht genug Bestandteile, um diese Aktion durchzuführen.","このアクションを行うのに十分な材料を所持していません。","해당 행동을 하기 위한 재료가 부족합니다.","Você não possui ingredientes suficientes para essa ação.","У вас недостаточно материалов для совершения действия.","No tienes suficientes ingredientes para realizar esta acción.","คุณมีวัตถุดิบไม่พอสำหรับการกระทำนี้","你沒有足夠的素材來完成此行為。"
451,"ConsoleDisconnectedBecauseActiveUserSignedOut","Disconnected because the active user signed out","Déconnexion : l'utilisateur actif s'est déconnecté.","Die Verbindung wurde unterbrochen, da sich der aktive Benutzer abgemeldet hat.","アクティブユーザーがサインアウトしたため、接続が切れました。","접속 중인 사용자가 탈퇴하여 접속이 해제되었습니다.","Desconectado porque o usuário ativo saiu","Соединение прервано, так как текущий пользователь завершил сеанс.","Desconectado porque el usuario activo se desconectó","ขาดการเชื่อมต่อเนื่องจากผู้เล่นออกจากระบบ","由於啟用的用戶退出而斷開連接"
452,"PS4LoginErrorNoPSNAccess","Cannot log in because \""PlayStation Network\"" cannot be reached.","Connexion impossible : le PlayStation Network ne répond pas.","Fehler beim Anmelden: \""PlayStation Network\"" konnte nicht erreicht werden.","PlayStation Networkにアクセスできないため、ログインできません。","PlayStation Network 접속이 되지 않아 로그인할 수 없습니다.","Impossível logar porque a \""PlayStation Network\"" não pode ser encontrada.","Не удалось войти: сервис \""PlayStation Network\"" недоступен.","No puedes iniciar sesión porque no hay conexión con \""PlayStation Network\"".","ล็อกอินไม่สำเร็จ เนื่องจากไม่สามารถติดต่อ \""PlayStation Network\"" ได้","無法登入，因為無法訪問“PlayStation Network”。"
453,"PS4LoginErrorOutOfMemory","Cannot log in because we are out of memory.","Connexion impossible : nous sommes à court de mémoire.","Fehler beim Anmelden: Es steht nicht genug Speicher zur Verfügung.","メモリが足りないため、ログインできません。","메모리가 부족합니다. 로그인할 수 없습니다.","Impossível logar porqque estamos sem memória.","Не удалось войти: недостаточно памяти.","No puedes iniciar sesión porque no tenemos memoria suficiente.","ล็อกอินไม่สำเร็จ เนื่องจากเรามีหน่วยความจำเต็ม","由於記憶體不足，無法登入。"
454,"PS4LoginErrorSignedOut","Cannot log in because you are signed out.","Connexion impossible : vous êtes déconnecté.","Fehler beim Anmelden: Du bist abgemeldet.","サインアウトしたため、ログインできません。","탈퇴한 사용자는 로그인할 수 없습니다.","Impossível logar porque você não entrou.","Не удалось войти: вы вышли из системы.","No puedes iniciar sesión porque estás desconectado.","ล็อกอินไม่สำเร็จ เนื่องจากคุณยังไม่ได้เข้าสู่ระบบ","無法登入，因為你已退出。"
455,"PS4LoginErrorNotSignedUp","Cannot log in because you are not signed up.","Connexion impossible : vous devez d'abord vous inscrire.","Fehler beim Anmelden: Du bist nicht angemeldet.","登録していないため、ログインできません。","미가입자는 로그인할 수 없습니다.","Impossível logar porque você não se registrou.","Не удалось войти: вы не вошли в систему.","No puedes iniciar sesión porque no estás registrado.","ล็อกอินไม่สำเร็จ เนื่องจากคุณยังไม่ได้ลงทะเบียน","無法登入，因為你尚未註冊。"
456,"PS4LoginErrorAgeRestriction","Cannot log in because of an age restriction.","Connexion impossible : vous n'avez pas l'âge requis.","Fehler beim Anmelden: Es besteht eine Altersbeschränkung.","年齢制限のため、ログインできません。","연령 제한 관계로 로그인할 수 없습니다.","Impossível logar por conta de restrição de idade.","Не удалось войти: ограничение по возрасту.","No puedes iniciar sesión debido a una restricción de edad.","ล็อกอินไม่สำเร็จ เนื่องจากคุณอายุไม่ถึง","由於年齡限制，無法登入。"
457,"PS4LoginErrorLoggedOut","Cannot log in because you are logged out.","Connexion impossible : vous êtes déconnecté de votre compte.","Fehler beim Anmelden: Du bist ausgeloggt.","ログアウトしているためログインできません。","강제 로그아웃된 사용자는 로그인할 수 없습니다.","Impossível logar porque você não está logado.","Не удалось войти: вы вышли из системы.","No puedes iniciar sesión porque no tienes la sesión iniciada.","ล็อกอินไม่สำเร็จ เนื่องจากคุณได้ล็อกเอาท์แล้ว","無法登入，因為你已登出。"
458,"PS4LoginErrorLatestSystemSoftwareExist","Cannot log in because a new version of the system software update file exists.","Connexion impossible : un nouveau fichier de mise à jour de la console existe.","Fehler beim Anmelden: Es steht eine neue Version des Systemsoftware-Updates bereit.","新しいシステムのソフトウェアアップデートファイルがあるためログインできません。","새로운 시스템 소프트웨어 업데이트 파일이 존재합니다. 로그인할 수 없습니다.","Impossível logar porque um arquivo de atualização para uma nova versão do software do sistema existe.","Не удалось войти: доступно обновление програмного обеспечения.","No puedes iniciar sesión porque existe una nueva versión del archivo de actualización del sistema del software.","ล็อกอินไม่สำเร็จ เนื่องจากมีไฟล์ซอฟต์แวร์อัพเดทระบบเวอร์ชั่นใหม่","無法登入，因為存在新版本的系統軟件更新檔案。"
459,"PS4LoginErrorLatestSystemSoftwareExistForTitle","Cannot log in because a required new version of the system software update file exists for this application.","Connexion impossible : un nouveau fichier de mise à jour obligatoire de la console existe pour cette application.","Fehler beim Anmelden: Für diese Anwendung steht eine neue Version des Systemsoftware-Updates bereit.","このアプリケーションにはシステムソフトウェアアップデートファイルの新しいバージョンがあるためログインできません。","본 애플리케이션에 대한 필수 새로운 시스템 소프트웨어 업데이트 파일이 존재합니다. 로그인할 수 없습니다.","Impossível logar porque uma nova versão um arquivo de atualização do software do sistema necessário existe para essa aplicação.","Не удалось войти: для этого приложения вышло новое необходимое обновление.","No puedes iniciar sesión porque existe una nueva versión del archivo de actualización del sistema del software, requerida para esta aplicación.","ล็อกอินไม่สำเร็จ เนื่องจากมีไฟล์ซอฟต์แวร์อัพเดทระบบเวอร์ชันใหม่ที่จำเป็นต่อแอปพลิเคชันนี้","無法登入，因為此應用程序存在所需的系統軟件更新檔案的新版本。"
460,"PS4LoginErrorLatestPatchPackageExists","Cannot log in because a new version of the patch package exists.","Connexion impossible : une nouvelle version du patch existe.","Fehler beim Anmelden: Es steht eine neue Version des Patch-Pakets bereit.","そのパッチパッケージには新しいバージョンがあるためログインできません。","새로운 버전의 패치 패키지가 존재하는 상태입니다. 로그인할 수 없습니다.","Impossível logar porque uma nova versão do pacote de patch existe.","Не удалось войти: доступен новый пакет обновлений.","No puedes iniciar sesión porque existe una nueva versión del paquete del parche.","ล็อกอินไม่สำเร็จ เนื่องจากมีแพทช์เวอร์ชันใหม่","無法登入，因為存在新版本的改版。"
461,"PS4LoginErrorLatestPatchPackageDownloaded","Cannot log in because a new version of the downloaded patch package exists.","Connexion impossible : une nouvelle version du patch téléchargé existe.","Fehler beim Anmelden: Es steht eine neue Version des heruntergeladenen Patch-Pakets bereit.","ダウンロードされたパッチパッケージには新しいバージョンがあるためログインできません。","새로운 버전의 패치 패키지를 다운로드한 상태입니다. 로그인할 수 없습니다.","Impossível logar porque uma nova versão do pacote de patch baixado existe.","Не удалось войти: доступен новый скачиваемый пакет обновлений.","No puedes iniciar sesión porque existe una nueva versión del paquete del parche descargado.","ล็อกอินไม่สำเร็จ เนื่องจากมีแพทช์ใหม่ที่ดาวน์โหลดไว้แล้ว","下載的改版存在新版本，無法登入。"
462,"PS4LoginErrorPatchNotChecked","Cannot log in because could not check if a new version update file is available.  Please try again.","Connexion impossible : nous n'avons pas pu vérifier s'il existe une nouvelle mise à jour. Veuillez réessayer.","Fehler beim Anmelden: Es konnte nicht nach einer neuen Update-Datei gesucht werden. Bitte versuche es erneut.","新しいバージョンアップデートファイルの有無を確認できなかったためログインできません。再度やり直してください。","새로운 버전의 업데이트 파일이 있는지 확인할 수 없어, 로그인이 불가합니다. 다시 시도해 주십시오.","Impossível logar porque foi impossível averiguar se uma nova versão do arquivo de atualização está disponível. Tente novamente.","Не удалось войти: не получилось запустить проверку наличия новых обновлений. Пожалуйста, повторите попытку.","No puedes iniciar sesión porque no se ha podido comprobar si existe una nueva versión del archivo de actualización disponible. Inténtalo de nuevo.","ล็อกอินไม่สำเร็จ เนื่องจากไม่สามารถตรวจสอบได้ว่ามีไฟล์อัพเดทเวอร์ชันใหม่หรือไม่ กรุณาลองใหม่อีกครั้ง","無法登入，因為無法檢查新版本更新檔案是否可用。請再試一次。"
463,"HideoutExportFailed","You must be in a Hideout to export a Hideout template.","Vous devez vous trouver dans un Repaire pour exporter un template de Repaire.","Dein Charakter muss sich im Versteck befinden, damit eine Versteck-Vorlage exportiert werden kann.","隠れ家テンプレートをエクスポートするには隠れ家にいる必要があります。","은신처 템플릿을 내보내려면 은신처 안에 있어야 합니다.","Você precisa estar em um Refúgio para exportar um template de Refúgio.","Чтобы выгрузить шаблон убежища, вы должны находиться в убежище.","Debes estar en una guarida para exportar una plantilla de guarida.","คุณต้องอยู่ในที่ซ่อนจึงจะสามารถส่งออกเทมเพลทที่ซ่อนได้","你必須待藏身處才可輸出藏身處樣板。"
464,"HideoutImportSuccess","Hideout template imported successfully.","L'importation du template de Repaire a réussi.","Die Versteck-Vorlage wurde erfolgreich importiert.","隠れ家テンプレートのインポートに成功しました。","은신처 템플릿을 무사히 가져왔습니다.","Template de refúgio importado com sucesso.","Шаблон убежища успешно загружен.","Plantilla de guarida importada correctamente.","การนำเข้าเทมเพลทที่ซ่อนสำเร็จ","藏身處樣板匯入成功。"
465,"HideoutImportFailed","Failed to import Hideout template.","L'importation du template de Repaire a échoué.","Fehler beim Importieren der Versteck-Vorlage.","隠れ家テンプレートのインポートに失敗しました。","은신처 템플릿을 가져오지 못했습니다.","Falha ao importar o template de Refúgio.","Не удалось загрузить шаблон убежища.","Falló la importación de la plantilla de guarida.","การนำเข้าเทมเพลทที่ซ่อนล้มเหลว","匯入藏身處樣板失敗。"
466,"HideoutImportFailedMustBeInHideout","You must be in your Hideout to import a Hideout template.","Vous devez vous trouver dans votre Repaire pour importer un template de Repaire.","Dein Charakter muss sich im Versteck befinden, damit eine Versteck-Vorlage importiert werden kann.","隠れ家テンプレートをインポートするには隠れ家にいる必要があります。","은신처 템플릿을 가져오려면 은신처 안에 있어야 합니다.","Você precisa estar em seu Refúgio para importar um template de Refúgio.","Чтобы загрузить шаблон убежища, вы должны находиться в своем убежище.","Debes estar en tu guarida para poder importar una plantilla de guarida.","คุณต้องอยู่ในที่ซ่อนจึงจะสามารถนำเข้าเทมเพลทที่ซ่อนได้","你必須待藏身處才可匯入藏身處樣板。"
467,"HideoutImportFailedWrongHideout","You must first set your Hideout to {0} in order to import this Hideout template.","Vous devez d'abord vous installer dans un {0} afin d'importer ce template de Repaire.","Du musst dein Versteck zunächst auf \""{0}\"" umstellen, bevor du diese Versteck-Vorlage importieren kannst.","この隠れ家テンプレートをインポートするには先に隠れ家を{0}に設定する必要があります。","해당 은신처 템플릿을 가져오려면 먼저 은신처를 {0}(으)로 설정해야 합니다.","Você primeiro precisa configurar seu Refúgio para {0} para importar esse template de Refúgio.","Установите {0} в качестве своего убежища, чтобы загрузить этот шаблон.","Primero debes establecer tu guarida a {0} para poder importar esta plantilla de guarida.","คุณต้องเปลี่ยนที่ซ่อนของคุณเป็น {0} ก่อน จึงจะสามารถนำเข้าเทมเพลทที่ซ่อนนี้ได้","你必須先將你的藏身處設置為 {0} 以便匯入藏身處樣板。"
468,"TencentTradeMarketNotExactPrice","Your offer does not match the exact price for this item.","Votre offre ne correspond pas au prix exact de cet objet.","Your offer does not match the exact price for this item.","あなたのオファーはこのアイテムの価格に正確に一致しません。","매물이 아이템의 정가와 맞지 않습니다.","Sua oferta não bate com o preço exato para esse item.","Your offer does not match the exact price for this item.","Tu oferta no coincide con el precio exacto para este objeto.","ข้อเสนอของคุณไม่ตรงกับราคาตายตัวที่ไอเทมชิ้นนี้ตั้งไว้","Tencent"
469,"TencentTradeMarketTooManyCompletedOffers","You have too many completed trades in your Trade Market to make this offer.","Vous ne pouvez pas faire cette offre car vous avez trop d'échanges terminés dans votre Marché.","You have too many completed trades in your Trade Market to make this offer.","取引所に完了された取引が多すぎるため、このオファーを行うことができません。","거래 시장에서 완료한 거래가 너무 많습니다. 해당 매물을 내놓을 수 없습니다.","Você possui trocas completadas demais em seu Comérgio para fazer essa oferta.","You have too many completed trades in your Trade Market to make this offer.","Tienes demasiados intercambios completos en tu Mercado de Comercio para hacer esta oferta.","คุณได้แลกเปลี่ยนสำเร็จในร้านค้าแลกเปลี่ยนมากเกินกว่าจะยื่นข้อเสนอนี้ได้","Tencent"
470,"IncursionRecipeUnlockRejected","Crafting recipe already unlocked","Vous connaissez déjà cette Recette d'artisanat.","Anfertigungsrezept bereits freigeschaltet","クラフトレシピは既に解除されています。","이미 습득한 조합법","Receita de criação já destravada","Ремесленный рецепт уже открыт","Ya has desbloqueado esta receta de fabricación","สูตรคราฟท์นี้ถูกปลดล็อกไปแล้ว","工藝配方已解鎖"
471,"FailedToReclaimSomeHideoutDoodads","Failed to reclaim one or more Hideout doodads. Please create a new Hideout instance and try again.","Récupération d'éléments de Repaire échouée. Veuillez créer une nouvelle instance de Repaire, puis réessayez.","Fehler beim Entfernen einer oder mehrerer Versteck-Dekorationen. Bitte erstelle eine neue Versteck-Instanz und versuche es erneut.","一つ以上の隠れ家の装飾品の回収に失敗しました。新たな隠れ家インスタンスを作り、やり直してください。","은신처 장식물을 한 개 이상 되찾지 못했습니다. 새로운 은신처 인스턴스를 만들어서 다시 시도해 주십시오.","Falha ao recuperar um ou mais itens de refúgio. Por favor crie uma nova instância de refúgio e tente novamente.","Не удалось отозвать один или более объектов убежища. Пожалуйста, создайте новую копию области убежища и повторите попытку.","No se han podido reclamar uno o más objetos de guarida. Crea una nueva instancia de guarida e inténtalo de nuevo.","ไม่สามารถเรียกคืน ของตกแต่งที่ซ่อน ได้ กรุณาสร้างอินสแตนซ์ที่ซ่อนใหม่แล้วลองอีกครั้ง","取回一個或以上裝飾物失敗。請製造新的藏身處再試一次。"
472,"FailedToLoadHideoutDoodads","Failed to load Hideout doodad list.","Échec lors du chargement de la liste des éléments du Repaire.","Fehler beim Laden der Liste mit Versteck-Dekorationen.","隠れ家の装飾品リストのロードに失敗しました。","은신처 장식물 목록을 불러오는 데 실패했습니다.","Falha ao carregar a lista de itens do Refúgio.","Не удалось загрузить список объектов убежища.","Error al cargar la lista de decoraciones de la guarida.","ไม่สามารถโหลดรายการ ของตกแต่งที่ซ่อน ได้","載入藏身處裝飾物清單失敗。"
473,"HideoutImportWarningGeneric","Warning: {0} doodads could not be imported.","Avertissement : impossible d'importer {0} éléments de Repaire.","Warnung: {0} Versteck-Dekorationen konnten nicht importiert werden.","警告：{0}個の装飾品がインポートできませんでした。","경고: 장식물 {0}개를 불러오지 못했습니다.","Aviso:  {0} itens não puderam ser importados.","Предупреждение: невозможно загрузить одно или более украшений убежища ({0}).","Advertencia: no se han podido importar {0} objetos de guarida.","คำเตือน: ไม่สามารถนำเข้า ของตกแต่ง {0} ได้","警告：無法匯入 {0} 個裝飾物。"
474,"HideoutImportWarningUnowned","Warning: {0} doodads could not be imported because you do not own any spare ones.","Avertissement : impossible d'importer {0} éléments de Repaire, car il vous les faut en plus d'exemplaires.","Warnung: {0} Versteck-Dekorationen konnten nicht importiert werden, da keine mehr zur Verfügung stehen.","警告：所持数が足りないため{0}個の装飾品がインポートできませんでした。","경고: 여분의 장식물을 소유하지 않아 장식물 {0}개를 불러오지 못했습니다.","Aviso: {0} itens não puderam ser importados porque você não possui mais nenhum.","Предупреждение: невозможно загрузить одно или более украшений убежища ({0}),  потому что у вас нет запасных.","Advertencia: no se han podido importar {0} objetos de guarida porque no posees ninguno extra.","คำเตือน: ไม่สามารถนำเข้า ของตกแต่ง {0} ได้เนื่องจากคุณไม่มีของตกแต่งชนิดนี้ที่ยังไม่ถูกใช้งาน","警告：無法匯入 {0} 個裝飾物，因為沒有多餘的裝飾物。"
475,"HideoutImportWarningBlocked","Warning: {0} doodads could not be imported because the specified location was blocked.","Avertissement : impossible d'importer {0} éléments de Repaire, car l'emplacement spécifié est bloqué.","Warnung: {0} Versteck-Dekorationen konnten nicht importiert werden, da die jeweilige Stelle blockiert war.","警告：指定された位置が塞がっているため{0}個の装飾品がインポートできませんでした。","경고: 지정한 위치가 차단되어 있어 장식물 {0}개를 불러오지 못했습니다.","Aviso: {0} itens não puderam ser importados porque o local especificado está bloqueado.","Предупреждение: невозможно загрузить одно или более украшений убежища ({0}),  потому что указанная область заблокирована.","Advertencia: no se han podido importar {0} objetos de guarida porque la ubicación especificada estaba bloqueada.","คำเตือน: ไม่สามารถนำเข้า ของตกแต่ง {0} ได้เนื่องจากตำแหน่งดังกล่าวมีอุปสรรคขวางกั้นอยู่","警告：無法匯入 {0} 個裝飾物，因為指定地點被擋住。"
476,"HideoutReclaimAllSuccess","All Hideout doodads have been reclaimed.","Tous les éléments du Repaire ont été retirés et rangés dans votre Inventaire de décorations.","Alle Versteck-Dekorationen wurden entfernt.","全ての隠れ家の装飾品は回収されました。","은신처 장식물을 모두 되찾았습니다.","Todos os objetos de Refúgio foram recuperados.","Все украшения убежища были отозваны.","Se han recuperado todas las decoraciones de la guarida.","ของตกแต่งที่ซ่อน ทั้งหมดถูกเรียกคืนแล้ว","所有藏身處裝飾物已經取回。"
477,"AreaTransitionPartyError","You must be in a party with the area owner to access this area.","Vous devez être dans le même groupe que le propriétaire la zone pour pouvoir y accéder.","Du kannst das Gebiet dieses Spielers nur als Mitglied seiner Gruppe betreten.","このエリアに進入するにはエリアのオーナーとパーティを組む必要があります。","지역 소유자와 파티를 맺어야 해당 지역에 들어갈 수 있습니다.","Você precisa estar em um grupo com o dono da área para acessar esta área.","Чтобы попасть в эту область, вы должны быть в группе с её владельцем.","Debes estar en un grupo con el propietario del área para poder acceder a ella.","คุณต้องอยู่ในปาร์ตี้ของเจ้าของด่านจึงจะสามารถเข้าสู่ด่านนี้ได้","你必須要與該地區的擁有者在同一隊伍才可進入此區域。"
478,"AreaTransitionOwnerError","The area owner must be present to access this area.","Vous ne pouvez pas accéder à cette zone en l'absence de son propriétaire.","Der Spieler, der dieses Gebiet erzeugt hat, muss anwesend sein, um dieses Gebiet betreten zu können.","このエリアに進入するにはエリアのオーナーがいる必要があります。","지역 소유자가 참석해야 해당 지역에 들어갈 수 있습니다.","O dono da área precisa estar presente para acessar esta área.","Для перехода в эту область с вами должен быть владелец области.","El propietario del área debe estar presente para que puedas acceder a esta área.","เจ้าของด่านที่ต้องอยู่ในด่านนี้ จึงจะสามารถเข้าสู่ด่านนี้ได้","此區域的擁有者必須存在才可以進入此區域。"
479,"BestiaryErrorNoData","Failed to retrieve Bestiary data.","Échec lors de la récupération des données du Bestiaire.","Fehler beim Abrufen der Bestiarium-Daten.","ベスティアリーのデータ取得に失敗しました。","야수 도감 데이터를 불러오지 못했습니다.","Falha ao recobrar as informações do Bestiário.","Не удалось извлечь данные Бестиария.","Falló la recuperación de los datos de Bestiary.","ไม่สามารถเรียกข้อมูล สมุดภาพรวมสัตว์ ได้","取回獸獵寓言資料失敗。"
480,"BestiaryErrorFailedToCaptureMonster","Failed to save captured monster: {0}","Échec lors de la sauvegarde de la Bête capturée : {0}","Fehler beim Speichern des eingefangenen Monsters: {0}","以下の捕獲したモンスターを記録できませんでした：{0}","포획한 몬스터를 저장하지 못했습니다: {0}","Falha ao salvar o monstro capturado: {0}","Не удалось сохранить пойманного монстра: {0}","Falló el guardado del monstruo capturado: {0}","ไม่สามารถบันทึกสัตว์ที่จับมาได้: {0}","保存已捕捉的怪物失敗：{0}"
481,"PS4BadRedeemToken","Bad redeem token","Mauvais jeton de récupération","Eingelöster Token ist ungültig","不正な交換用トークン","유효하지 않은 교환 토큰","Falha no resgatem do token","Ошибка активации маркера","Error al canjear el token","รหัสคูปองผิดพลาด","錯誤的兌換序號"
482,"CurrencyTradingPrevented2","You cannot trade currency or unique items to other players until you have verified your account.","Vous devez vérifier votre compte avant de pouvoir échanger des Objets monétaires ou des Objets uniques avec d'autres joueurs.","Du kannst mit anderen Spielern keine Währung oder einzigartige Gegenstände handeln, bis du dein Konto bestätigt hast.","カレンシーやユニークアイテムを他のプレーヤーとトレードするには、アカウント認証が必要です。","계정을 인증하기 전까지는 화폐나 고유 아이템을 다른 플레이어와 거래할 수 없습니다.","Você não pode negociar itens monetários ou únicos com outros jogadores até ter verificado sua conta.","Вы не можете обмениваться валютой или уникальными вещами с другими игроками, пока не подтвердите ваш аккаунт.","No puedes intercambiar objetos monetarios y objetos únicos con otros jugadores si no has verificado tu cuenta.","คุณไม่สามารถแลกเปลี่ยนเงินตราหรือไอเทมยูนิคได้จนกว่าคุณจะทำการยืนยันบัญชีของคุณ","在等級到達 60 前，你無法和其他玩家交易通貨或傳奇物品。"
483,"PublicListingLockedDueToVerified","You cannot publicly list items for sale until you have verified your account.","Vous devez vérifier votre compte avant de pouvoir mettre des objets en vente.","Du kannst Gegenstände nicht öffentlich zum Verkauf anbieten, solange du dein Konto nicht bestätigt hast.","アカウントの認証が済むまでトレード用にアイテムを公開することはできません。","계정을 인증하기 전까지는 아이템을 공개적으로 판매할 수 없습니다.","Você não pode listar itens publicamente à venda até que tenha verificado sua conta.","Вы не можете выставлять предметы на продажу в открытый доступ, пока не подтвердите ваш аккаунт.","no puedes listar públicamente los objetos a la venta hasta que hayas verificado tu cuenta.","คุณไม่สามารถตั้งขายไอเทมได้จนกว่าคุณจะทำการยืนยันบัญชีของคุณ","在你完成帳號驗證前，你無法公開販售物品。"
484,"OffersLockedDueToVerified","You cannot make offers on items until you have verified your account.","Vous devez vérifier votre compte avant de pouvoir faire une offre sur un objet.","Du kannst keine Angebote für Gegenstände abgeben, solange du dein Konto nicht bestätigt hast.","アカウントの認証が済むまでトレードの申込みをすることはできません。","계정을 인증하기 전까지는 아이템 매물을 제시할 수 없습니다.","Você não pode fazer ofertas em itens até que tenha verificado sua conta.","Вы не можете предлагать цену за предметы, пока не подтвердите ваш аккаунт.","No puedes realizar ofertas sobre objetos hasta que hayas verificado tu cuenta.","คุณไม่สามารถยื่นข้อเสนอไอเทมได้จนกว่าคุณจะทำการยืนยันบัญชีของคุณ","在你完成帳號驗證前，你無法對物品出價。"
485,"SynthesisPortalFullyDecayed","This area has decayed.","Cette zone a fini par sombrer dans l'Oubli.","Dieses Gebiet ist zerfallen.","このエリアは崩壊しています。","쇠퇴한 지역입니다.","Está área decaiu.","Эта область истощилась.","Esta área se ha deteriorado.","ด่านนี้เสื่อมสลายไปแล้ว","此地區開始腐敗。"
486,"SynthesisTooManyMemories","You have placed too many memories, please remove some before attempting to place more.","Vous avez placé trop de Souvenirs. Veuillez en oublier au moins un avant de pouvoir en placer d'autres.","Du hast zu viele Erinnerungen platziert. Bitte entferne erst einige Erinnerungen, bevor du mit dem Platzieren fortfährst.","メモリーを設置しすぎです。これ以上設置する場合、いくつか取り除いてください。","기억을 지나치게 많이 배치했습니다. 기억을 추가로 배치하려면 먼저 배치된 기억을 제거해야 합니다.","Você colocou memórias demais, por favor remova algumas antes de tentar colocar mais.","Вы разместили слишком много воспоминаний. Пожалуйста, удалите часть из них, прежде чем добавлять ещё.","Has colocado demasiadas memorias, quita algunas antes de tratar de colocar más.","คุณวางความทรงจำไว้มากเกินไป โปรดนำความทรงจำออกก่อนวางใหม่","你已經放置太多記憶，在嘗試擺放更多前請先移除一些記憶。"
487,"SynthesisOtherMemoryInstance","You cannot place memories in another persons Memory Nexus or Memory Expanse.","Vous ne pouvez pas placer de Souvenirs dans un Nexus des Souvenirs ou une Étendue des Souvenirs qui ne vous appartient pas.","Du kannst keine Erinnerungen im Nexus der Erinnerungen eines anderen Spielers platzieren.","他のプレーヤーのメモリーネクサスとメモリーエクスパンスにはメモリーを設置することはできません。","다른 사람의 기억 연결부나 기억의 터에서 기억을 배치할 수 없습니다.","Você não pode colocar memórias no Nexus de Memórias ou Extensão de Memórias de outras pessoas.","Вы не можете разместить воспоминания в Нексусе другого игрока или на Просторах памяти.","No puedes colocar memorias en el Nexo de la Memoria o la Extensión de Memoria de otra persona.","คุณไม่สามารถวางความทรงจำลงในศูนย์รวมความทรงจำของผู้อื่นได้","你無法在他人的記憶叉點或記憶擴充放置記憶。"
488,"ConsoleDisconnectedBecauseNoInternetConnection","Disconnected because there is no Internet connection.","Déconnexion : aucune connexion Internet.","Die Verbindung wurde unterbrochen, da keine Internetverbindung besteht.","インターネットに接続していないため、接続が遮断されました。","인터넷을 연결하지 못하여 접속이 해제되었습니다.","Desconectado por falta de conexão com a Internet. ","Вы были отключены из-за отсутствия подключения к Интернету.","Has sido desconectado porque no hay conexión a Internet.","ขาดการเชื่อมต่อเนื่องจากไม่ได้เชื่อมต่อกับอินเตอร์เน็ต","由於沒有網路連接而斷開連接。"
489,"PS4DisconnectedBecauseNoPSNAccess","Disconnected because \""PlayStation Network\"" cannot be reached.","Déconnexion : le PlayStation Network est inaccessible.","Die Verbindung wurde unterbrochen, da \""PlayStation Network\"" nicht erreicht werden konnte.","プレイステーションネットワークにアクセスできないため、接続が遮断されました。","PlayStation Network 연결이 되지 않아 접속이 해제되었습니다.","Desconectado por falta de acesso ao “PlayStation Network”.","Вы были отключены из-за отсутствия связи с \""PlayStation Network\"".","Has sido desconectado porque no hay conexión con \""PlayStation Network\"".","ขาดการเชื่อมต่อเนื่องจากไม่สามารถเข้าถึง \""PlayStation Network\"" ได้","由於無法訪問“PlayStation Network”而斷開連接。"
490,"XboxDisconnectedBecauseNoXboxLiveAccess","Disconnected because Xbox Live cannot be accessed.","Déconnexion : le Xbox Live est inaccessible.","Die Verbindung wurde unterbrochen, da Xbox Live nicht erreicht werden konnte.","Xbox Liveにアクセスできないため、接続が切れました。","Xbox Live에 연결하지 못하여 접속이 해제되었습니다.","Desconectado por falta de acesso ao Xbox Live.","Вы были отключены из-за отсутствия связи с Xbox Live.","Has sido desconectado porque no se pudo acceder a Xbox Live.","ขาดการเชื่อมต่อเนื่องจากไม่สามารถเข้าถึง Xbox Live ได้","由於無法訪問 Xbox Live，因此已斷開連接。"
491,"PS4CannotLogInUGMRestriction","Cannot log in due to parental controls.","Connexion impossible : contrôle parental actif.","Fehler beim Anmelden: Der Zugang ist durch Jugendschutzeinstellungen beschränkt.","視聴年齢制限のため、ログインできません。","보호자 제한에 의하여 로그인할 수 없습니다.","Impossível logar devido ao controle parental. ","Невозможно подключиться из-за родительского контроля.","No puedes iniciar sesión debido a controles parentales.","ล็อกอินไม่สำเร็จ เนื่องจากติดการควบคุมโดยผู้ปกครอง","由於家長控制，無法登入。"
