"rownum","Id","Description (English)","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","SetId","Objective (English)","Objective (French)","Objective (German)","Objective (Japanese)","Objective (Korean)","Objective (Portuguese)","Objective (Russian)","Objective (Spanish)","Objective (Thai)","Objective (Traditional Chinese)","i32","bool","HideAchievementItems","bool","MinCompletedItems","TwoColumnLayout","ShowItemCompletionsAsOne","string","SoftcoreOnly","HardcoreOnly","bool","string"
10,"KillNemesisMonsters","Slay the Nemeses","Tuez les Némésis","Tötet die Nemesis","Slay the Nemeses","천벌 속성 적 살해하기","Matar os Nêmeses","Перебейте «Немезид»","Derrota a los Némesis","สังหาร Nemesis Monster","殺光他們！",3,"Kill Rare monsters with each of these Nemesis Mods.","Tuez des Monstres rares dotés des mods Némésis suivants :","Tötet seltene Monster mit jedem dieser Nemesis-Modifikatoren.","Kill Rare monsters with each of these Nemesis Mods.","\""천벌\"" 속성 부여가 적용된 희귀 몬스터를 처치하십시오.","Mate monstros Raros com cada um destes Mods Nemesis.","Перебейте редких монстров в каждом из перечисленных режимов «Возмездия».","Mata monstruos Raros con cada uno de estos modificadores de Némesis.","สังหาร Rare Monster ซึ่งมีแต่ละ Nemesis ม็อดต่อไปนี้","殺死具有以下特殊屬性的稀有怪物。",15972,1,"","",0,1,"","","","","",""
11,"65AllClasses","Reach level 65","Atteignez le niveau 65","Erreicht die Stufe 65","Reach level 65","65레벨 도달하기","Alcançar o Nível 65","Достигните уровня 65","Alcanza nivel 65","เพิ่มเลเวลถึง 65","初出茅廬",3,"Attain character level 65 with each class in the Domination or Nemesis leagues. This challenge still counts even if a character dies after reaching level 65.","Atteignez le niveau 65 avec un personnage de chaque classe en ligue Domination ou Némésis. Ce défi n'est pas perdu si l'un de vos personnages meurt après avoir atteint le niveau 65.","Erreicht in der Herrschaft- oder Nemesis-Liga mit jeder Klasse die Charakterstufe 65. Diese Herausforderung wird selbst dann angerechnet, wenn ein Charakter stirbt, nachdem er Stufe 65 erreicht hat.","Attain character level 65 with each class in the Domination or Nemesis leagues. This challenge still counts even if a character dies after reaching level 65.","지배 혹은 천벌 리그에서 모든 직업으로 65레벨에 도달하십시오. 캐릭터가 65레벨에 도달한 후 사망하더라도 계속 인정됩니다.","Tenha um personagem de nível 65 de cada classe nas ligas Domination ou Nemesis. Este desafio ainda será considerado mesmo se um personagem morrer após atingir o nível 65.","Поднимите уровень героев каждого класса до 65 уровня в лиге «Господство» или «Возмездие». Если герой умрет после достижения 65 уровня, он все равно идет в зачет.","Alcanza nivel 65 con cada clase en la ligas de Dominación o de Némesis. Este desafío cuenta aunque un personaje muera luego de alcanzar nivel 65.","เพิ่มระดับตัวละครแต่ละคลาสถึงเลเวล 65 ใน Domination หรือ Nemesis League การท้าทายนี้จะนับรวมแม้ตัวละครจะตายหลังจากเลเวล 65","在混亂聯盟或猛攻聯盟中江所有角色達到 65 等級，專家級角色 65 等以後死亡仍然算達成。",48805,"","","",0,1,"","","","","",""
12,"FindUniquesDominationNemesis","Own these Unique Items","Possédez ces Objets uniques","Besitzt diese einzigartigen Gegenstände","Own these Unique Items","고유 아이템 보유하기","Tenha estes Itens Únicos","Завладейте этими уникальными предметами","Sé dueño de estos Objetos Únicos","ครอบครอง Unique Item เหล่านี้","蒐集狂",3,"Own 65 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Domination and Nemesis leagues are counted for this challenge.","Possédez 65 Objets uniques spécifiques pour compléter ce défi. Remarque : si vous vous séparez de l'un de ces objets, il ne comptera plus jusqu'à ce que vous le récupériez. Les Objets uniques des ligues Domination et Némésis comptent pour ce défi.","Besitzt 65 einzigartige Gegenstände, um diese Herausforderung zu meistern. Achtung: Wenn Ihr einen dieser Gegenstände tauscht, gilt die Herausforderung als nicht gemeistert, bis Euch dieser Gegenstand wieder gehört. Einzigartige Gegenstände der Dominanz- und Nemesis-Liga werden dieser Herausforderung angerechnet.","Own 65 specific Unique items to complete this challenge. Note that if you trade any away, the challenge will un-complete until you obtain the item again. Uniques in both Domination and Nemesis leagues are counted for this challenge.","특정 고유 아이템 65개를 얻어 도전과제를 완료하십시오. 거래로 처분했을 경우 해당 아이템을 다시 얻을 때까지 도전과제가 완료되지 않습니다. 지배와 천벌, 어느 리그든지 관계없이 인정됩니다.","Tenha 65 itens Únicos específicos para completar esta missão. Note que se você trocar o item o desafio deixará de estar completo até você obter o item novamente. Itens únicos das ligas Domination e Nemesis são considerados nesse desafio.","Для прохождения этого испытания завладейте 65 перечисленными уникальными предметами. Учтите, что отдав такой предмет, вы не пройдете испытание, пока не получите его обратно. В зачет выполнения идут предметы как из лиги «Господство», так и из лиги «Возмездие».","Posee 65 objetos Únicos específicos para completar este desafío. Ten en cuenta que si los intercambias de alguna forma, el desafío dejará de estar completo hasta que vuelvas a obtener el objeto. Los Únicos de las Ligas de Dominación y de Némesis cuentan para este desafío.","ครอบครอง Unique Item 65 ชิ้นเพื่อผ่านการท้าทายนี้ โปรดทราบว่าหากคุณได้ทำการแลกเปลี่ยนไอเทมไปก่อน คุณจะไม่ผ่านการท้าทายจนกว่าจะครอบครองไอเทมนั้นอีกครั้ง การท้าทายนี้จะนับรวมทั้งยูนิคใน Domination และ Nemesis","同時持有 65 件不同的傳奇裝備。請注意，若是將持有的傳奇裝備交易給他人，則該項傳奇裝備將會不納入計算直到再次取得該項裝備。",9221,1,"","",0,1,"","","","","",""
13,"KillUniqueBosses","Kill these Unique Bosses","Tuez ces Boss uniques","Tötet diese einzigartigen Bosse","Kill these Unique Bosses","고유 보스 처치하기","Matar estes Chefes Únicos","Перебейте этих уникальных боссов","Mata a estos Jefes Únicos","สังหาร Unique Boss เหล่านี้","頭目殺手",3,"Kill each of the following Unique bosses.","Tuez chacun des Boss uniques suivants :","Tötet jeden der folgenden einzigartigen Bosse.","Kill each of the following Unique bosses.","다음 고유 보스를 전부 처치하십시오.","Mate cada um dos seguintes Chefes Únicos.","Убейте каждого из перечисленных уникальных боссов.","Mata cada uno de los siguientes jefes Únicos.","สังหาร Unique Boss แต่ละตัวต่อไปนี้","殺死以下傳奇頭目。",23159,"","","",0,1,"","","","","",""
14,"UseCurrencyDominationNemesis","Use these Currency Items","Utilisez ces Objets monétaires","Benutzt diese Währungsgegenstände","Use these Currency Items","화폐 아이템 사용하기","Use estes Itens Monetários","Используйте эту валюту","Usa estos Objetos monetarios","ใช้ Currency Item เหล่านี้","土豪",3,"Use the following 23 currency items in either Domination or Nemesis.","Utilisez les 23 Objets monétaires suivants en ligue Domination ou Némésis :","Benutzt die folgenden 23 Währungsgegenstände entweder in 'Herrschaft' oder 'Nemesis'.","Use the following 23 currency items in either Domination or Nemesis.","지배 혹은 천벌 리그에서 다음 23가지 화폐 아이템을 사용하십시오.","Utilize os seguintes 23 itens de moeda nas ligas Domination ou Nemesis.","Используйте 23 перечисленных обменных предмета в лиге «Господство» или «Возмездие».","Usa los siguientes 23 objetos monetarios en Dominación o en Némesis.","ใช้ 23 ไอเทมเงินตราต่อไปนี้ใน Domination หรือ Nemesis","在任意聯盟中使用下列 23 種通貨。",17420,"","","",0,1,"","","","","",""
15,"RecipesDominationNemesis","Items from Vendor Recipes","Réalisez des formules de marchand","Gegenstände aus Händlerrezepten","Items from Vendor Recipes","거래 조합을 통해 아이템 획득하기","Itens de Receitas de Vendedores","Получите предметы по рецептам торговцев","Objeto de Recetas de Venta","ไอเทมจากตำราผู้ค้า","商人的秘方",3,"Complete vendor recipes in either Domination or Nemesis to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.","Réalisez des formules de marchand en ligue Domination ou Némésis afin d'obtenir chacun des objets ci-dessous. Une formule de marchand consiste à vendre un assortiment spécifique d'objets à un PNJ, et non à lui en acheter.","Meistert in 'Herrschaft' oder 'Nemesis' Händlerrezepte, um jeden der folgenden Gegenstände zu erhalten. Ein Händlerrezept ist eine Liste bestimmter Gegenstände, die Ihr mit einem Händler tauscht, statt einen Gegenstand über seine/ihre Händlerseite zu erwerben.","Complete vendor recipes in either Domination or Nemesis to receive each of the following items. A vendor recipe is when you trade a specific pattern of items to a vendor, not when you buy items from his/her purchase screen.","지배 혹은 천벌 리그에서 거래 조합을 완성하고 그에 맞는 아이템을 받으십시오. 거래 조합은 상인의 구입 화면에서 아이템을 살 때가 아니라, 조합의 패턴에 해당하는 아이템들을 상인과 거래할 때 이루어집니다.","Complete receitas de vendedores nas ligas Domination ou Nemesis para receber todos os itens a seguir. Uma receita de vendedor é quando você negocia um padrão de itens específicos com um vendedor, não quando você compra itens da tela de compra dele/dela.","Соберите вещи на обмен по рецептам торговцев в лиге «Господство» или «Возмездие» и получите по одному из перечисленных предметов. Под рецептом торговца понимается определенная подборка вещей, которые предлагаются торговцу, а не покупаются через его окно торговли.","Completa recetas de venta en Dominación o en Némesis para recibir cada uno de los siguientes objetos. Una receta de venta se logra cuando intercambias un patrón específico de objetos con un vendedor, no cuando compras objetos en su ventana de compra.","ทำตามตำราผู้ค้าใน Domination หรือ Nemesis เพื่อรับไอเทมแต่ละรายการต่อไปนี้ ตำราผู้ค้าคือการแลกเปลี่ยนรูปแบบไอเทมเฉพาะกับผู้ค้า ไม่ใช่การซื้อไอเทมจากหน้าจอการซื้อของผู้ค้า","在任意聯盟中完成以下商人配方獲取道具。 注意，商人配方是指用指定道具與商人交換特定物品，並非由商人處購買。",34658,"","","",0,1,"","","","","",""
16,"FinishNormal","Challenger","Compétiteur","Herausforderer","挑戦者","도전자","Desafiador","Претендент","Retador","ประชาชน","完成一般難度",2,"Complete the Labyrinth in a non-Hardcore league.","Terminez le Labyrinthe dans une ligue non Hardcore.","Schließt das Labyrinth in einer Nicht-Hardcore-Liga ab.","ハードコアリーグ以外でラビリンスをクリアせよ。","비-하드코어 리그에서 미궁을 완료하십시오.","Complete o Labirinto em uma liga não Hardcore.","Завершите Лабиринт в лиге без ограничений на возрождения.","Completa el Laberinto en una Liga no Hardcore.","ผ่าน เขาวงกต ในลีกที่ไม่ใช่ Hardcore","在標準模式中完成帝王迷宮。",17209,"",1,"",0,1,"","98",1,"","","32"
17,"FinishCruel","Leader","Meneur","Anführer","リーダー","지도자","Líder","Лидер","Líder","ผู้นำ","完成殘酷難度",2,"Complete the Cruel Labyrinth in a non-Hardcore league.","Terminez le Labyrinthe Cruel dans une ligue non Hardcore.","Schließt das grausame Labyrinth in einer Nicht-Hardcore-Liga ab.","ハードコアリーグ以外で残酷なラビリンスをクリアせよ。","비-하드코어 리그에서 잔혹한 미궁을 완료하십시오.","Complete o Labirinto Cruel em uma liga não Hardcore.","Завершите Жестокий Лабиринт в лиге без ограничений на возрождения.","Completa el Laberinto Cruel en una Liga no Hardcore.","ผ่าน เขาวงกตโหดร้าย ในลีกที่ไม่ใช่ Hardcore","在標準模式中完成殘酷帝王迷宮。",54772,"",1,"",0,1,"","99",1,"","",""
18,"FinishMerciless","Lord","Seigneur","Fürst","君主","군주","Lorde","Правитель","Señor","วีรชน","完成無情難度",2,"Complete the Merciless Labyrinth in a non-Hardcore league.","Terminez le Labyrinthe Impitoyable dans une ligue non Hardcore.","Schließt das gnadenlose Labyrinth in einer Nicht-Hardcore-Liga ab.","ハードコアリーグ以外で無慈悲なラビリンスをクリアせよ。","비-하드코어 리그에서 무자비한 미궁을 완료하십시오.","Complete o Labirinto Impiedoso em uma liga não Hardcore.","Завершите Безжалостный Лабиринт в лиге без ограничений на возрождения.","Completa el Laberinto Despiadado en una Liga no Hardcore.","ผ่าน เขาวงกตไร้ปรานี ในลีกที่ไม่ใช่ Hardcore","在標準模式中完成無情帝王迷宮。",48471,"",1,"",0,1,"","100",1,"","",""
19,"FinishNormalHC","Fearless","Intrépide","Furchtlos","恐れ無き者","용맹한 자","Destemido","Отвага","Valiente","ห้าวหาญ","完成專家級一般難度",2,"Complete the Labyrinth in a Hardcore league.","Terminez le Labyrinthe dans une ligue Hardcore.","Schließt das Labyrinth in einer Hardcore-Liga ab.","ハードコアリーグでラビリンスをクリアせよ。","하드코어 리그에서 미궁을 완료하십시오.","Complete o Labirinto em uma liga Hardcore.","Завершите Лабиринт в лиге с одной жизнью.","Completa el Laberinto en una Liga Hardcore.","ผ่าน เขาวงกต ใน ลีก Hardcore","在專家模式中完成帝王迷宮。",9203,"",1,"",0,1,"","","",1,"",""
20,"FinishCruelHC","Dauntless","Téméraire","Verwegen","怯まぬ者","대담무쌍","Audaz","Бесстрашие","Intrépido","ไม่หวาดหวั่น","完成專家級殘酷難度",2,"Complete the Cruel Labyrinth in a Hardcore league.","Terminez le Labyrinthe Cruel dans une ligue Hardcore.","Schließt das grausame Labyrinth in einer Hardcore-Liga ab.","ハードコアリーグで残酷なラビリンスをクリアせよ。","하드코어 리그에서 잔혹한 미궁을 완료하십시오.","Complete o Labirinto Cruel em uma liga Hardcore.","Завершите Жестокий Лабиринт в лиге с одной жизнью.","Completa el Laberinto Cruel en una Liga Hardcore.","ผ่าน เขาวงกตโหดร้าย ในลีก Hardcore","在專家模式中完成殘酷帝王迷宮。",35230,"",1,"",0,1,"","","",1,"",""
21,"FinishMercilessHC","Indomitable","Indomptable","Unbeugsam","不屈なる者","불굴의 의지","Indomável","Неукротимость","Indómito","ทรหด","完成專家級無情難度",2,"Complete the Merciless Labyrinth in a Hardcore league.","Terminez le Labyrinthe Impitoyable dans une ligue Hardcore.","Schließt das gnadenlose Labyrinth in einer Hardcore-Liga ab.","ハードコアリーグで無慈悲なラビリンスをクリアせよ。","하드코어 리그에서 무자비한 미궁을 완료하십시오.","Complete o Labirinto Impiedoso em uma liga Hardcore.","Завершите Безжалостный Лабиринт в лиге с одной жизнью.","Completa el Laberinto Despiadado en una Liga Hardcore.","ผ่าน เขาวงกตไร้ปรานี ในลีก Hardcore","在專家模式中完成無情帝王迷宮。",14083,"",1,"",0,1,"","","",1,"",""
22,"KillBrutus","Mercy Killing","Meurtre par compassion","Gnadentod","慈悲のある殺し","자비로운 살인","Misericordioso","Дар смерти","Eutanasia","ตายอย่างสงบ","安樂死",2,"Kill Brutus, Warden of Axiom Prison.","Tuez Brutus, le Geôlier de la Prison d'Axiom.","Tötet Brutus, den Wächter des Axiom-Gefängnisses.","アクシオム監獄の看守ブルータスを撃破","액시옴 수용소의 간수 브루투스를 처치하십시오.","Mate Brutus, o Carcereiro da Prisão Axiom.","Убейте Изувера, смотрителя Тюрьмы Аксиомы.","Mata a Brutus, Guardián de la Prisión de Axiom.","สังหาร บรูตัส พัศดีแห่งเรือนจำแอกเซียม","殺死典獄長布魯特斯。",9880,"",1,"",0,1,"","87","","","",""
23,"KillMerveil","The Star of Wraeclast","L'Étoile de Wraeclast","Der Stern von Wraeclast","レイクラストの歌姫","레이클라스트의 별","A Estrela de Wraeclast","Звезда Рэкласта","La Estrella de Wraeclast","ดวงดาวแห่งเวร์แคลส์ท","海妖悲歌",2,"Kill Merveil, the Siren.","Tuez Merveil, la Sirène.","Tötet die Sirene Merveil.","セイレーンマーヴェイルを撃破","사이렌 머베일을 처치하십시오.","Mate Merveil, a Sereia.","Убейте сирену Мервейл.","Mata a Merveil, la Sirena.","สังหาร เมอร์เวล พรายน้ำ","殺死海妖莫薇兒。",56916,"",1,"",0,1,"","88","","","","1"
