"rownum","string","string","string","string","i32","[i32]"
65,"GamepadTargetingCustomOptionAimOverrideSoftlockOnTitle","On","","",-1909209477,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
66,"GamepadTargetingCustomOptionPriortiseCombatDirectionOnTitle","Facing Direction","","",1083026971,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
67,"GamepadLegendEditKeywordSearch","Filter Menu","","",159118749,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
68,"PassiveSkillKeywordNewFilterButton","Add New Filter","","",656432451,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
69,"GamepadLegendKeywordSearchClear","Reset Filter","","",-1679821367,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
70,"PassiveSkillKeywordEditorCurrentSearchTitle","Current Filter","","",-2124925605,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
71,"PassiveSkillKeywordEntryEmpty","None","","",-784460328,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
72,"GamepadLegendKeywordAddInclude","Add to Includes","","",705327741,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
73,"GamepadLegendKeywordAddExclude","Add to Excludes","","",-749423002,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
74,"GamepadLegendKeywordRemoveEntry","Remove","","",553679290,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
75,"GamepadCycleFilterResults","Cycle Search Results","","",-1703155912,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
76,"GamepadLegendKeywordLegendShowAllOptions","Show All Options","","",-148944246,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
77,"GamepadLegendKeywordLegendShowSuggestedOptions","Show Suggested Options","","",1264680407,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
78,"GamepadLegendKeywordShowSuggestedTitle","Suggested Keywords based on your Skills and Equipment","","",1854526081,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
79,"GamepadLegendKeywordLegendToggleEntryActive","Toggle Active","","",987651926,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
80,"GamepadLegendKeywordLegendDeleteEntry","Delete Filter","","",-249885724,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
81,"GamepadLegendKeywordLegendEditEntry","Edit Filter","","",-447691392,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
82,"GamepadLegendKeywordFilteredOutBrightness","Filtered Out Brightness","","",699406331,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
83,"GamepadLegendKeywordHighlightBrightness","Highlight Glow Intensity","","",-1297973535,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
84,"GamepadToggleSkillTargetingMode","Toggle Targeting Mode","","",1250999178,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
85,"GamepadToggleSkillTargetingRangedPopup","<bigger>{<<targeting_mode_ranged>> Ranged Mode}\r\n\r\n<<xbox_button_a>> <default>{to use melee mode for this Skill.}","","",-1114402863,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
86,"GamepadToggleSkillTargetingMeleePopup","<bigger>{<<targeting_mode_melee>> Melee Mode}\r\n\r\n<<xbox_button_a>> <default>{to use ranged mode for this Skill.}","","",-2001894764,"[0,7274583,7078002,5242980,7209057,7077989,7209029,6750308,7143521,5046373,7340129,6619212,6619239,6553710,7274562,7602292,7143535,6619220,7602296,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,4391013,7471215,7667826,7602288,6553701,0,7274563,7471218,7340149,6619252,100,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,6881352,6619236,7667823,116,4718592,6553705,7274597,7602293,0,7209029,6750308,7143521,5046373,7340129,7274563,7602286,7209061,5111924,7143521,5046373,7471205,6815843,7209057,116,5046272,7471205,6815843,7209057,116,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6357070,6619245,7209045,7405673,6619253,6357069,112,5570560,6881390,7667825,2097253,6357069,112,4521984,6553710,6357095,6619245,6357069,4391024,7209071,6619252,7602286,6619204,6488179,6881394,7602288,7274601,4391022,7471215,7667826,7602288,6553701,0,7471169,6357093,6815776,7536737,5963808,7274563,7077985,7536741,6619235,4391012,7471215,7667826,7602288,7274601,8126574,7274563,7077985,7536741,6619235,2097252,7274563,7471218,7340149,6881396,7209071,93,4521984]"
