"rownum","Id","Term","Definition","string"
387,"ExtraContent","Extra Content","Random Extra Content is [Shrine|Shrines], [Strongbox|Strongboxes], [Essence|Essences], [RogueExile|Rogue Exiles] and [AzmeriSpirit|Azmeri Spirits].",""
388,"CovetousShrine","Seeking Shrine","Seeking [Shrine|Shrines] grant increased [ItemRarity|Rarity] of Items Found.",""
389,"EnlighteningShrine","Enlightening Shrine","Enlightening [Shrine|Shrines] cause you to gain increased Experience.",""
390,"GreedShrine","Greed Shrine","Greed [Shrine|Shrines] cause item drops to be converted to Gold and monsters to drop increased Gold.",""
391,"CartographersStrongbox","Cartographer's Strongbox","Cartographer's [Strongbox|Strongboxes] drop [Waystone|Waystones].",""
392,"ResearchersStrongbox","Researcher's Strongbox","Researcher's [Strongbox|Strongboxes] drop Currency items.",""
393,"OrnateStrongbox","Ornate Strongbox","Ornate [Strongbox|Strongboxes] have improved dropped [ItemRarity|Item Rarity].",""
394,"EffectiveChance","Effective Chance","Some effects manipulate how random chances are rolled in ways that affect the result without changing the stated chance for the effect, such as a chance being [Lucky] causing it to be rolled twice and use the better result, or an effect skipping the roll entirely to force something to succeed or fail. The Effective chance is the real chance to get a specific result, accounting for all such roll-manipulating effects.\r\n\r\nFor example, if you had a [Critical|Critical Hit] chance of 20%, and your Critical Hit chance was [Lucky], you would have an Effective Critical Hit chance of 36%, which is the chance that at least one of the two 20% rolls succeeds.",""
395,"CrimsonAssault","Crimson Assault","[Bleeding] you inflict is [Aggravate|Aggravated] and base [Bleeding] Duration is 1 second.",""
396,"Equipped","Equipped","Weapon, Armour, Belt, and [Jewellery] Items are Equipped to the character in the Inventory Panel. Flasks, Skill Gems, and Jewels are never considered to be Equipped.",""
397,"Jewellery","Jewellery","Amulets and Rings are considered Jewellery",""
398,"Equipment","Equipment","Equipment are items that can be [Equipped]",""
399,"BooleanDamageRoll","Only Minimum or Maximum Damage","This weapon's hits will not roll a random value between the minimum or maximum damage value, but instead will always roll either the minimum value or the maximum value, with a 50% chance for each.\r\n\r\nEach [DamageTypes|Damage Type] has its damage value rolled separately, so if the hit deals multiple types of damage, some types may roll the maximum while others are at minimum.\r\n\r\nIf the damage rolls are [Lucky], that will still apply, make this roll twice and picking the maximum if either roll had that result, only picking minimum damage if both rolls selected minimum. Unlucky damage rolls will prefer minimum damage in the same way.\r\n\r\n",""
400,"TrustedKinship","Trusted Kinship","You can have two [Companion|Companions] of different types\r\nYou have 30% less [Defences]\r\n[Companion|Companions] have +1 to each [Defences|Defence] for every 2 of that [Defences|Defence] you have",""
401,"DamageAbsorption","Damage Absorption","Absorption effects include [Guard], Encased in Jade and Sorcery Ward.",""
402,"Parry","Parry","Parry is a Skill granted by [Buckler|Bucklers] that allows you to [Block] and retaliate against an enemy [Strike] or [Projectile], leaving them off balance and inflicting the [ParriedDebuff|Parried Debuff].",""
403,"ParriedDebuff","Parried","Enemies you [Parry] with a [Buckler] take more [Attack] Damage and cannot [Evasion|Evade] [Attack|Attacks] for a duration.",""
404,"EverlastingSacrifice","Everlasting Sacrifice","When you reach full [EnergyShield|Energy Shield], [Sacrifice] all [EnergyShield|Energy Shield] to gain +5% to all [MaximumResistances|Maximum Resistances] for 4 seconds",""
405,"LocalOnAggravateBleeding","Aggravating any Bleeding","This effect will occur when a hit with the weapon directly causes at least one [Bleeding] [Debuff] on the target to become [Aggravate|Aggravated].\r\n\r\nIt will not occur if an on-hit effect tries to [Aggravate] [Bleeding] but there are no [Bleeding] [Debuff|Debuffs] on the target to [Aggravate], or all of them are already [Aggravated], since no [Bleeding] [Debuff|Debuffs] will be [Aggravate|Aggravated] byt that hit.",""
406,"DetonationTime","Detonation Time","Skills with a Detonation Time [Detonator|Detonate] once this time has elapsed. This time is not affected by duration modifiers.",""
407,"MapBossMapDrop","Waystone Tier Progression","Only Final [MapBoss|Map Bosses] in a Map Area have a chance to drop a [Waystone] of a higher tier than the tier of that Map Area.\r\n\r\nThe chance diminishes the higher the tier of the [Waystone] used to the create the Map Area, but can be increased again by adding modifiers to [Waystone|Waystones], additional modifiers on [Waystone|Waystones] can give increased chance for [Waystone|Waystones] to drop in the Map Areas they create.",""
408,"RareMonsterMapDrop","Final Rare Monster Waystone Drops","The final [Rarity|Rare Monster] slain in a Map Area has a chance to drop a [Waystone] equal to the tier of the [Waystone] used to create that Map Area. \r\n\r\nThe chance diminishes the tier of the [Waystone] used to the create the Map Area, but can be increased again by adding modifiers to [Waystone|Waystones], additional modifiers on [Waystone|Waystones] can give increased chance for [Waystone|Waystones] to drop in the Map Areas they create.",""
409,"CorruptedNexus","Corrupted Nexus","A Corrupted Nexus is the source of immense corruption, guarded by a powerful monster.",""
410,"IrradiatedNonAtlas","Irradiated","Irradiated Areas have +1 to Monster Level",""
411,"RetaliateAgainstAll","Retaliate against all Hits","This allows your [Thorns] to [Retaliate] against any kind of [HitDamage|Hit] dealt to you by enemies, rather than just [Melee] [Attack|Attacks], except that you can never [Retaliate] against the enemy's [Thorns] damage.",""
412,"TakeManaCostAsDamage","Take Mana Costs as Damage","[UpfrontCost|Upfront Costs] will result in taking the damage all at once as a [HitDamage|Hit].\r\n\r\nA per-second costs will instead result in taking Damage per second, which is damage over time, and thus not a [HitDamage|Hit].",""
413,"UpfrontCost","Upfront Costs","An upfront cost is one that lists just an amount of resource to pay, rather than a per-second rate to pay at.\r\n\r\n\""3 Mana\"" is an Upfront Cost, while \""3 Mana per second\"" is not.",""
414,"AccountBound","Account Bound","Account Bound items cannot be traded to other players, but can be shared between other characters on your account.",""
415,"EssenceDelirium","Essence of Delirium","A monster empowered by an Essence of Delirium will periodically summon the demons that lay behind the [ContainsDelirium|Delirium] Mirror.",""
416,"Cleansed","Cleansed","The Corruption in this area has been Cleansed, which may add an additional modifier to the area.\r\n\r\nCleansed areas also contain monsters twisted by the disruption of power in the area.",""
417,"Delirious","Delirious Players","Delirious players are assaulted by illusions, making combat more difficult. Higher delirium causes monsters to deal more damage and have additional [Toughness]. It can also cause additional monsters to appear or can grant additional modifiers to existing monsters. Monster item drops are improved by higher delirium.",""
418,"OvercapChance","Chances in excess of 100%","By default, chance-based stats cap at 100% chance for the result to occur. However, some chances can exceed 100%. In this case, the result occurs once for each 100% chance you have, plus a normal percentage chance for it to occur again based on the remaining value.",""
419,"SpiritOfTheOwlPossessedPlayer","Spirit Of The Owl","Players possessed by the Spirit Of The Owl have 60% increased [EnergyShield|Energy Shield], 80% increased Damage and [Gain] 20% of Damage as Extra [Cold] Damage.\r\nPlayers will also periodically summon a spiritual Owl that conjures a [Cold] tornado.",""
420,"SpiritOfTheSerpentPossessedPlayer","Spirit Of The Serpent","Players possessed by the Spirit Of The Serpent have [DamageTypes|All Damage] from [HitDamage|Hits] [Contributes|Contributes] to [Poison] Magnitude, Always [Poison] on [HitDamage|Hit] and 80% increased Damage.\r\nPlayers will also be accompanied by Spiritual Snakes that periodically strike enemies.",""
421,"SpiritOfThePrimatePossessedPlayer","Spirit Of The Primate","Players possessed by the Spirit Of The Primate have [DamageTypes|All Damage] from [HitDamage|Hits] [Contributes|Contributes] to [Chill] Magnitude, 60% Increased [Freeze] Buildup and 80% increased Damage.\r\nPlayers will also periodically summon a group of spiritual Primates.",""
422,"SpiritOfTheBearPossessedPlayer","Spirit Of The Bear","Players possessed by the Spirit Of The Bear have 20% Increased Maximum Life, 60% increased [StunThreshold|Stun Threshold], 60% increased [Stun|Stun] Buildup and 20% reduced damage taken.\r\nPlayers will also periodically summon a spiritual Bear that uses slam attacks.",""
423,"SpiritOfTheBoarPossessedPlayer","Spirit Of The Boar","Players possessed by the Spirit Of The Boar [Gain] 20% of Damage as Extra [Fire] Damage, always inflict [Bleeding] on [HitDamage|Hit] and have 20% reduced damage taken.\r\nPlayers will also periodically summon spiritual Boars that explode, dealing [Fire] Damage.",""
424,"SpiritOfTheOxPossessedPlayer","Spirit Of The Ox","Players possessed by the Spirit Of The Ox have 50% reduced [Slow|Slowing] Potency of [Debuff|Debuffs] on them, 60% increased [AilmentThreshold|Elemental Ailment Threshold] and [Armour] and 20% reduced damage taken.\r\nPlayers will also periodically summon a spiritual stampede of Oxen that tramples over enemies.",""
425,"SpiritOfTheWolfPossessedPlayer","Spirit Of The Wolf","Players possessed by the Spirit Of The Wolf have 50% chance to [Maim|Maim] on [Attack] [HitDamage|Hit], 30% increased [SkillSpeed|Skill Speed], 15% increased Movement Speed and [ArmourBreak|Break Armour] equal to 10% of [HitDamage|Hit Damage] dealt.\r\nPlayers will also periodically summon a spiritual Wolf which uses a dash attack.",""
426,"SpiritOfTheStagPossessedPlayer","Spirit Of The Stag","Players possessed by the Spirit Of The Stag have +30% to all [ElementalDamage|Elemental] [Resistances], 30% increased [SkillSpeed|Skill Speed], 15% increased Movement Speed and [Gain] 20% of Damage as Extra [Lightning] Damage.\r\nPlayers will also periodically summon a spiritual Stag that calls down [Lightning] bolts.",""
427,"SpiritOfTheCatPossessedPlayer","Spirit Of The Cat","Players possessed by the Spirit Of The Cat have 60% increased [Evasion] Rating, 100% increased [Critical|Critical Hit chance], 30% increased [SkillSpeed|Skill Speed] and 15% increased Movement Speed.\r\nPlayers will also periodically summon a ravaging flurry of spiritual Cats.",""
428,"PlayerPossessed","Possessed","Players possessed by Spirits of the Azmeri gain powerful buffs depending on what Spirit Animal has possessed them. Spiritual beasts will occasionally be summoned to aid the player. Players can only be possessed by one Spirit at a time.",""
429,"Flammability","Flammability","Flammability is a [Curse] that lowers the [Fire] [Resistances|Resistance] of those affected. If not otherwise specified, Flammability lowers [Fire] [Resistances|Resistance] by 25%.",""
430,"Hypothermia","Hypothermia","Hypothermia is a [Curse] that lowers the [Cold] [Resistances|Resistance] of those affected. If not otherwise specified, Hypothermia lowers [Cold] [Resistances|Resistance] by 25%.",""
431,"Conductivity","Conductivity","Conductivity is a [Curse] that lowers the [Lightning] [Resistances|Resistance] of those affected. If not otherwise specified, Conductivity lowers [Lightning] [Resistances|Resistance] by 25%.",""
432,"Vulnerability","Vulnerability","Vulnerability is a [Curse] that lowers the [Armour] of those affected. If not otherwise specified, Vulnerability removes 191 [Armour].",""
433,"Despair","Despair","Despair is a [Curse] that lowers the [Chaos] [Resistances|Resistance] of those affected. If not otherwise specified, Despair lowers [Chaos] [Resistances|Resistance] by 25%.",""
434,"TemporalChains","Temporal Chains","Temporal Chains is a [Curse] that [Slow|slows] those affected and makes other effects on them expire more slowly. If not otherwise specified, Temporal Chains [Slow|slows] by 26%.",""
435,"ResistedBy","Resisted by Other Value","Damage from your [HitDamage|Hits] will effectively ignore the value of the target's relevant [Resistances|Resistance], and instead be mitigated by the specified value of [Resistances|Resistance].\r\n\r\nThis will still occur even if you [IgnoreResistances|Ignore] the target's [Resistances|Resistance], as this mitigation is not based on their [Resistances|Resistance] stats. Similarly, [Penetration] will not apply to this [Resistances|Resistance] value.",""
436,"Glory","Glory","Glory is a resource that must be Consumed to use certain extremely powerful Skills. [HeavyStun|Heavy Stunning] an enemy generates Glory equal to the monster's [Power].\r\n\r\nYou can have up to 20 Glory, and lose 2 Glory per second if you haven't gained Glory in the past 30 seconds. You cannot gain Glory while a Skill that requires Glory is active.",""
437,"MountingGreed","Mounting Greed","Players with Mounting Greed gain increased [ItemRarity|Rarity of Items] on kill up to a limit of 100%. This increased Rarity decays over time.\r\n\r\n Higher [Rarity] monsters grant a greater amount of Rarity.",""
438,"ObeliskCorruption","Obelisk of Corruption","An Obelisk of Corruption is an object that activates once a player gets close enough; granting a 10 second [Buff] that makes enemies killed by you explode, dealing 10% of their life as [Physical] damage.",""
439,"ObeliskCleansing","Obelisk of Cleansing","An Obelisk of Cleansing is an object that activates once a player gets close enough; granting a 10 second [Buff] that grants 100% [ItemRarity|Item Rarity], 50% increased [Defences] and makes players [Gain] 30% of Damage as extra [Lightning] Damage.",""
440,"ImmuredFury","Immured Fury","The Immured Fury is a powerful monster that has appeared due to the Cleansing process. This monster has dangerous abilities but greatly increased rewards.",""
441,"Fracture","Fractured Modifiers","A Fractured Modifier is locked onto the item permanently. It cannot be removed or altered.",""
