"rownum","Id","Text","rid","Command","Parameters","AchievementItemsKeys","bool","i32","HarvestCraftOptionIconsKeys","Description","DDSFile","bool","bool"
236,"ModChaos_3b","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingchaos>{Chaos} modifier",0,"add_type_mod","chaos noinfluence",[6987],"",30841,[0],"Augment a non-Influenced Magic or Rare item with a new Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
237,"ModChaos_4","<white>{Remove} a random <craftingchaos>{Chaos} modifier from a non-Influenced item",0,"remove_type_mod","chaos noinfluence",[6987],"",53050,[8],"Remove a random Chaos modifier from a non-Influenced item","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
238,"ModChaos_5","<white>{Randomise} the numeric values of the random <craftingchaos>{Chaos} modifiers on a Magic or Rare item",0,"reroll_type_mods","chaos",[6987],"",12910,[9],"Randomise the numeric values of the random Chaos modifiers on a Magic or Rare item","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
239,"ModChaos_6","<white>{Remove} a random <craftingchaos>{Chaos} modifier from a non-Influenced item and <white>{add} a new <craftingchaos>{Chaos} modifier",0,"remove_type_and_add_type_mod","chaos FOR chaos noinfluence",[6987],"",48707,"[8,0]","Remove a random Chaos modifier from a non-Influenced item and add a new Chaos modifier","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
240,"ModChaos_7","<white>{Reforge} a Normal, Magic or Rare item as a Rare item with random modifiers, including a <craftingchaos>{Chaos} modifier. <craftingchaos>{Chaos} modifiers are more common",0,"reroll_with_mod_with_affinity_multiplier","chaos ON normal_magic_rare",[6987],"",27347,"[2,3]","Reforge a Normal, Magic or Rare item as a Rare item with random modifiers, including a Chaos modifier. Chaos modifiers are more common","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
241,"ModChaos_8","<white>{Augment} a non-Influenced Magic or Rare item with a new <craftingchaos>{Chaos} modifier with Lucky values",0,"add_type_mod_lucky","chaos noinfluence",[6987],"",25238,[0],"Augment a non-Influenced Magic or Rare item with a new Chaos modifier with Lucky values","Art/2DItems/Currency/Harvest/BlueSeedTier1Frog.dds","",""
242,"Gem_1","<white>{Change} a <white>{Gem} into another Gem, carrying over experience and quality if possible",1,"change_gem","",[6987],1,18416,[],"Change a Gem into another Gem, carrying over experience and quality if possible","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
243,"Gem_2","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 20% of the gem's quality as <white>{Gemcutter's Prisms}",1,"sacrifice_gem_for_currency","quality 20",[6987],1,51874,[],"Sacrifice a Corrupted Gem to gain 20% of the gem's quality as Gemcutter's Prisms","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
244,"Gem_3","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 30% of the gem's quality as <white>{Gemcutter's Prisms}",1,"sacrifice_gem_for_currency","quality 30",[6987],1,49620,[],"Sacrifice a Corrupted Gem to gain 30% of the gem's quality as Gemcutter's Prisms","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
245,"Gem_4","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 40% of the gem's quality as <white>{Gemcutter's Prisms}",1,"sacrifice_gem_for_currency","quality 40",[6987],1,34792,[],"Sacrifice a Corrupted Gem to gain 40% of the gem's quality as Gemcutter's Prisms","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
246,"Gem_5","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 50% of the gem's quality as <white>{Gemcutter's Prisms}",1,"sacrifice_gem_for_currency","quality 50",[6987],1,1437,[],"Sacrifice a Corrupted Gem to gain 50% of the gem's quality as Gemcutter's Prisms","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
247,"Gem_6","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 20% of the gem's total experience stored as a <white>{Facetor's Lens}",1,"sacrifice_gem_for_currency","experience 20",[6987],1,48,[],"Sacrifice a Corrupted Gem to gain 20% of the gem's total experience stored as a Facetor's Lens","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
248,"Gem_7","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 30% of the gem's total experience stored as a <white>{Facetor's Lens}",1,"sacrifice_gem_for_currency","experience 30",[6987],1,23489,[],"Sacrifice a Corrupted Gem to gain 30% of the gem's total experience stored as a Facetor's Lens","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
249,"Gem_8","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 40% of the gem's total experience stored as a <white>{Facetor's Lens}",1,"sacrifice_gem_for_currency","experience 40",[6987],1,5843,[],"Sacrifice a Corrupted Gem to gain 40% of the gem's total experience stored as a Facetor's Lens","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
250,"Gem_9","<white>{Sacrifice} a <white>{Corrupted Gem} to gain 50% of the gem's total experience stored as a <white>{Facetor's Lens}",1,"sacrifice_gem_for_currency","experience 50",[6987],1,18731,[],"Sacrifice a Corrupted Gem to gain 50% of the gem's total experience stored as a Facetor's Lens","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
251,"Gem_10","Attempt to <white>{Awaken} a <white>{level 20 Support Gem} that can be Awakened with a 5% chance. If it does not Awaken, it is destroyed.",1,"awaken_gem","",[6987],1,6907,[],"Attempt to Awaken a level 20 Support Gem that can be Awakened with a 5% chance. If it does not Awaken, it is destroyed.","Art/2DItems/Currency/Harvest/YellowSeedTier2SabreSpider.dds","",""
252,"DivinationCard_1","<white>{Change} a <white>{Divination Card} into another random Divination Card",1,"reroll_into_new_div_card","",[6987],1,50443,[],"Change a Divination Card into another random Divination Card","Art/2DItems/Currency/Harvest/BlueSeedTier2Rhex.dds",1,""
253,"DivinationCard_2","<white>{Sacrifice} up to half a stack of <white>{Divination Cards} to receive between 0 and twice that amount of the same Card",1,"reroll_num_div_cards","","[6987,7112]",1,21273,[],"Sacrifice up to half a stack of Divination Cards to receive between 0 and twice that amount of the same Card","Art/2DItems/Currency/Harvest/BlueSeedTier2Rhex.dds",1,""
254,"DivinationCard_3","<white>{Sacrifice} a stack of <white>{Divination Cards} for that many different Divination Cards",1,"reroll_into_new_div_card","stack","[6987,7112]",1,56374,[],"Sacrifice a stack of Divination Cards for that many different Divination Cards","Art/2DItems/Currency/Harvest/BlueSeedTier2Rhex.dds",1,""
255,"CurrencyExchange1_1","<white>{Exchange} 10 <white>{Chaos Orbs} for an Exalted Orb",2,"exchange_currency","Metadata/Items/Currency/CurrencyRerollRare 10 Metadata/Items/Currency/CurrencyAddModToRare 1","[6987,7183]",1,25631,[],"Exchange 10 Chaos Orbs for an Exalted Orb","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
256,"CurrencyExchange1_2","<white>{Exchange} 10 <white>{Orbs of Transmutation} for 10 Orbs of Alchemy",2,"exchange_currency","Metadata/Items/Currency/CurrencyUpgradeToMagic 10 Metadata/Items/Currency/CurrencyUpgradeToRare 10","[6987,7183]",1,48512,[],"Exchange 10 Orbs of Transmutation for 10 Orbs of Alchemy","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
257,"CurrencyExchange1_3","<white>{Exchange} 10 <white>{Blessed Orbs} for 20 Orbs of Alteration",2,"exchange_currency","Metadata/Items/Currency/CurrencyRerollImplicit 10 Metadata/Items/Currency/CurrencyRerollMagic 20","[6987,7183]",1,1197,[],"Exchange 10 Blessed Orbs for 20 Orbs of Alteration","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
258,"CurrencyExchange1_4","<white>{Exchange} 10 <white>{Orbs of Alchemy} for 20 Cartographer's Chisels",2,"exchange_currency","Metadata/Items/Currency/CurrencyUpgradeToRare 10 Metadata/Items/Currency/CurrencyMapQuality 20","[6987,7183]",1,33034,[],"Exchange 10 Orbs of Alchemy for 20 Cartographer's Chisels","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
259,"CurrencyExchange1_5","<white>{Exchange} 10 <white>{Chromatic Orbs} for 20 Gemcutter's Prisms",2,"exchange_currency","Metadata/Items/Currency/CurrencyRerollSocketColours 10 Metadata/Items/Currency/CurrencyGemQuality 20","[6987,7183]",1,1247,[],"Exchange 10 Chromatic Orbs for 20 Gemcutter's Prisms","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
260,"CurrencyExchange1_6","<white>{Exchange} 10 <white>{Jeweller's Orbs} for 20 Orbs of Fusing",2,"exchange_currency","Metadata/Items/Currency/CurrencyRerollSocketNumbers 10 Metadata/Items/Currency/CurrencyRerollSocketLinks 20","[6987,7183]",1,36468,[],"Exchange 10 Jeweller's Orbs for 20 Orbs of Fusing","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
261,"CurrencyExchange1_7","<white>{Exchange} 10 <white>{Orbs of Augmentation} for 10 Regal Orbs",2,"exchange_currency","Metadata/Items/Currency/CurrencyAddModToMagic 10 Metadata/Items/Currency/CurrencyUpgradeMagicToRare 10","[6987,7183]",1,33182,[],"Exchange 10 Orbs of Augmentation for 10 Regal Orbs","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
262,"CurrencyExchange1_8","<white>{Exchange} 10 <white>{Scrolls of Wisdom} for 20 Orbs of Chance",2,"exchange_currency","Metadata/Items/Currency/CurrencyIdentification 10 Metadata/Items/Currency/CurrencyUpgradeRandomly 20","[6987,7183]",1,24786,[],"Exchange 10 Scrolls of Wisdom for 20 Orbs of Chance","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
263,"CurrencyExchange1_9","<white>{Exchange} 10 <white>{Simple Sextants} for 10 Prime Sextants",2,"exchange_currency","Metadata/Items/Currency/CurrencyAddAtlasMod 10 Metadata/Items/Currency/CurrencyAddAtlasModMid 10","[6987,7183]",1,44330,[],"Exchange 10 Simple Sextants for 10 Prime Sextants","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
264,"CurrencyExchange1_10","<white>{Exchange} 10 <white>{Prime Sextants} for 10 Awakened Sextants",2,"exchange_currency","Metadata/Items/Currency/CurrencyAddAtlasModMid 10 Metadata/Items/Currency/CurrencyAddAtlasModHigh 10","[6987,7183]",1,61280,[],"Exchange 10 Prime Sextants for 10 Awakened Sextants","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
265,"CurrencyExchange1_11","<white>{Exchange} 10 <white>{Orbs of Scouring} for 10 Orbs of Annulment",2,"exchange_currency","Metadata/Items/Currency/CurrencyConvertToNormal 10 Metadata/Items/Currency/CurrencyRemoveMod 10","[6987,7183]",1,12960,[],"Exchange 10 Orbs of Scouring for 10 Orbs of Annulment","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
266,"CurrencyExchange1_12","<white>{Exchange} 10 <white>{Orbs of Alteration} for 10 Chaos Orbs",2,"exchange_currency","Metadata/Items/Currency/CurrencyRerollMagic 10 Metadata/Items/Currency/CurrencyRerollRare 10","[6987,7183]",1,53842,[],"Exchange 10 Orbs of Alteration for 10 Chaos Orbs","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
267,"CurrencyExchange1_13","<white>{Exchange} 10 <white>{Vaal Orbs} for 20 Orbs of Regret",2,"exchange_currency","Metadata/Items/Currency/CurrencyCorrupt 10 Metadata/Items/Currency/CurrencyPassiveRefund 20","[6987,7183]",1,31805,[],"Exchange 10 Vaal Orbs for 20 Orbs of Regret","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
268,"CurrencyExchange1_14","<white>{Exchange} 10 <white>{Cartographer's Chisels} for 10 Vaal Orbs",2,"exchange_currency","Metadata/Items/Currency/CurrencyMapQuality 10 Metadata/Items/Currency/CurrencyCorrupt 10","[6987,7183]",1,11528,[],"Exchange 10 Cartographer's Chisels for 10 Vaal Orbs","Art/2DItems/Currency/Harvest/YellowSeedTier3BlackSpider.dds",1,""
269,"CurrencyExchange2_1","<white>{Exchange} 3 <white>{Chaos Orbs} for a Divine Orb",1,"exchange_currency","Metadata/Items/Currency/CurrencyRerollRare 3 Metadata/Items/Currency/CurrencyModValues 1","[6987,7183]",1,6673,[],"Exchange 3 Chaos Orbs for a Divine Orb","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
270,"CurrencyExchange2_2","<white>{Exchange} 3 <white>{Orbs of Transmutation} for 3 Orbs of Alchemy",1,"exchange_currency","Metadata/Items/Currency/CurrencyUpgradeToMagic 3 Metadata/Items/Currency/CurrencyUpgradeToRare 3","[6987,7183]",1,49206,[],"Exchange 3 Orbs of Transmutation for 3 Orbs of Alchemy","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
271,"CurrencyExchange2_3","<white>{Exchange} 3 <white>{Blessed Orbs} for 6 Orbs of Alteration",1,"exchange_currency","Metadata/Items/Currency/CurrencyRerollImplicit 3 Metadata/Items/Currency/CurrencyRerollMagic 6","[6987,7183]",1,57288,[],"Exchange 3 Blessed Orbs for 6 Orbs of Alteration","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
272,"CurrencyExchange2_4","<white>{Exchange} 3 <white>{Orbs of Alchemy} for 6 Cartographer's Chisels",1,"exchange_currency","Metadata/Items/Currency/CurrencyUpgradeToRare 3 Metadata/Items/Currency/CurrencyMapQuality 6","[6987,7183]",1,26321,[],"Exchange 3 Orbs of Alchemy for 6 Cartographer's Chisels","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
273,"CurrencyExchange2_5","<white>{Exchange} 3 <white>{Chromatic Orbs} for 6 Gemcutter's Prisms",1,"exchange_currency","Metadata/Items/Currency/CurrencyRerollSocketColours 3 Metadata/Items/Currency/CurrencyGemQuality 6","[6987,7183]",1,38555,[],"Exchange 3 Chromatic Orbs for 6 Gemcutter's Prisms","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
274,"CurrencyExchange2_6","<white>{Exchange} 3 <white>{Jeweller's Orbs} for 6 Orbs of Fusing",1,"exchange_currency","Metadata/Items/Currency/CurrencyRerollSocketNumbers 3 Metadata/Items/Currency/CurrencyRerollSocketLinks 6","[6987,7183]",1,8527,[],"Exchange 3 Jeweller's Orbs for 6 Orbs of Fusing","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
275,"CurrencyExchange2_7","<white>{Exchange} 3 <white>{Orbs of Augmentation} for 3 Regal Orbs",1,"exchange_currency","Metadata/Items/Currency/CurrencyAddModToMagic 3 Metadata/Items/Currency/CurrencyUpgradeMagicToRare 3","[6987,7183]",1,33551,[],"Exchange 3 Orbs of Augmentation for 3 Regal Orbs","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
276,"CurrencyExchange2_8","<white>{Exchange} 3 <white>{Scrolls of Wisdom} for 6 Orbs of Chance",1,"exchange_currency","Metadata/Items/Currency/CurrencyIdentification 3 Metadata/Items/Currency/CurrencyUpgradeRandomly 6","[6987,7183]",1,47459,[],"Exchange 3 Scrolls of Wisdom for 6 Orbs of Chance","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
277,"CurrencyExchange2_9","<white>{Exchange} 3 <white>{Simple Sextants} for 3 Prime Sextants",1,"exchange_currency","Metadata/Items/Currency/CurrencyAddAtlasMod 3 Metadata/Items/Currency/CurrencyAddAtlasModMid 3","[6987,7183]",1,28276,[],"Exchange 3 Simple Sextants for 3 Prime Sextants","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
278,"CurrencyExchange2_10","<white>{Exchange} 3 <white>{Prime Sextants} for 3 Awakened Sextants",1,"exchange_currency","Metadata/Items/Currency/CurrencyAddAtlasModMid 3 Metadata/Items/Currency/CurrencyAddAtlasModHigh 3","[6987,7183]",1,1019,[],"Exchange 3 Prime Sextants for 3 Awakened Sextants","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
279,"CurrencyExchange2_11","<white>{Exchange} 3 <white>{Orbs of Scouring} for 3 Orbs of Annulment",1,"exchange_currency","Metadata/Items/Currency/CurrencyConvertToNormal 3 Metadata/Items/Currency/CurrencyRemoveMod 3","[6987,7183]",1,17866,[],"Exchange 3 Orbs of Scouring for 3 Orbs of Annulment","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
280,"CurrencyExchange2_12","<white>{Exchange} 3 <white>{Orbs of Alteration} for 3 Chaos Orbs",1,"exchange_currency","Metadata/Items/Currency/CurrencyRerollMagic 3 Metadata/Items/Currency/CurrencyRerollRare 3","[6987,7183]",1,40713,[],"Exchange 3 Orbs of Alteration for 3 Chaos Orbs","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
281,"CurrencyExchange2_13","<white>{Exchange} 3 <white>{Vaal Orbs} for 6 Orbs of Regret",1,"exchange_currency","Metadata/Items/Currency/CurrencyCorrupt 3 Metadata/Items/Currency/CurrencyPassiveRefund 6","[6987,7183]",1,8138,[],"Exchange 3 Vaal Orbs for 6 Orbs of Regret","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
282,"CurrencyExchange2_14","<white>{Exchange} 3 <white>{Cartographer's Chisels} for 3 Vaal Orbs",1,"exchange_currency","Metadata/Items/Currency/CurrencyMapQuality 3 Metadata/Items/Currency/CurrencyCorrupt 3","[6987,7183]",1,5685,[],"Exchange 3 Cartographer's Chisels for 3 Vaal Orbs","Art/2DItems/Currency/Harvest/RedSeedTier2Hound.dds",1,""
283,"MapItems_1","<white>{Sacrifice} a <white>{White} or <white>{Yellow Map} to create random Map Fragments based on its tier",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftMapFragments 2 4",[6987],1,10387,[],"Sacrifice a White or Yellow Map to create random Map Fragments based on its tier","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
284,"MapItems_1b","<white>{Sacrifice} a <white>{White} or <white>{Yellow Map} to create random Map Fragments based on its tier",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftMapFragments 2 4",[6987],1,3979,[],"Sacrifice a White or Yellow Map to create random Map Fragments based on its tier","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
285,"MapItems_1_2","<white>{Sacrifice} a <white>{Red Map} to create random Map Fragments based on its tier",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftMapFragmentsRed 2 4",[6987],1,54878,[],"Sacrifice a Red Map to create random Map Fragments based on its tier","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
286,"MapItems_2","<white>{Sacrifice} a <white>{Map} to create random Map currency based on its tier",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftMapCurrency 2 3",[6987],1,35151,[],"Sacrifice a Map to create random Map currency based on its tier","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
287,"MapItems_3","<white>{Sacrifice} a <white>{Map} to create a random Scarab based on its colour",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftScarab 1 1",[6987],1,56118,[],"Sacrifice a Map to create a random Scarab based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
288,"MapItems_4","<white>{Sacrifice} a <white>{Tier 14 Map} or higher to create a random Elder Guardian-occupied Map",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftElderGuardianMap 1 1",[6987],1,8546,[],"Sacrifice a Tier 14 Map or higher to create a random Elder Guardian-occupied Map","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
289,"MapItems_5","<white>{Sacrifice} a <white>{Tier 14 Map} or higher to create a random Shaper Guardian-occupied Map",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftShaperGuardianMap 1 1",[6987],1,51702,[],"Sacrifice a Tier 14 Map or higher to create a random Shaper Guardian-occupied Map","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
290,"MapItems_6","<white>{Sacrifice} a <white>{Tier 14 Map} or higher to create a random Unique Synthesis Map",2,"sacrifice_map_for_item_from_set","HarvestMapItemsCraftSynthesisMap 1 1","[6987,7105,7113]",1,46949,[],"Sacrifice a Tier 14 Map or higher to create a random Unique Synthesis Map","Art/2DItems/Currency/Harvest/RedSeedTier3Birddog.dds",1,""
291,"Fracture_1","<white>{Fracture} a random modifier on an item with <white>{at least 5 modifiers}, locking it in place. This can't be used on Influenced, Synthesised, or Fractured items",3,"fracture_mod_on_item","both 5",[6987],"",48546,[],"Fracture a random modifier on an item with at least 5 modifiers, locking it in place. This can't be used on Influenced, Synthesised, or Fractured items","Art/2DItems/Currency/Harvest/RedSeedBoss.dds","",""
292,"Fracture_2","<white>{Fracture} a random <white>{Suffix} on an item with <white>{at least 3 Suffixes}. This can't be used on Influenced, Synthesised, or Fractured items",3,"fracture_mod_on_item","suffix 3",[6987],"",24161,[],"Fracture a random Suffix on an item with at least 3 Suffixes. This can't be used on Influenced, Synthesised, or Fractured items","Art/2DItems/Currency/Harvest/RedSeedBoss.dds","",""
293,"Fracture_3","<white>{Fracture} a random <white>{Prefix} on an item with <white>{at least 3 Prefixes}. This can't be used on Influenced, Synthesised, or Fractured items.",3,"fracture_mod_on_item","prefix 3",[6987],"",24386,[],"Fracture a random Prefix on an item with at least 3 Prefixes. This can't be used on Influenced, Synthesised, or Fractured items.","Art/2DItems/Currency/Harvest/RedSeedBoss.dds","",""
294,"ForgeJewelryJewel_1","<white>{Sacrifice} a <white>{Weapon} or <white>{Armour} to create a <white>{Belt} with similar modifiers",2,"sacrifice_type_item_for_type_item_with_similar_mods","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Gloves Boots Body_Armour Helmet Rune_Dagger Warstaff Sceptre FOR Belt",[6987],"",19260,[],"Sacrifice a Weapon or Armour to create a Belt with similar modifiers","Art/2DItems/Currency/Harvest/RedSeedTier3Hellion.dds","",""
295,"ForgeJewelryJewel_2","<white>{Sacrifice} a <white>{Weapon} or <white>{Armour} to create a <white>{Ring} with similar modifiers",2,"sacrifice_type_item_for_type_item_with_similar_mods","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Gloves Boots Body_Armour Helmet Rune_Dagger Warstaff Sceptre FOR Ring",[6987],"",33866,[],"Sacrifice a Weapon or Armour to create a Ring with similar modifiers","Art/2DItems/Currency/Harvest/RedSeedTier3Hellion.dds","",""
296,"ForgeJewelryJewel_3","<white>{Sacrifice} a <white>{Weapon} or <white>{Armour} to create an <white>{Amulet} with similar modifiers",2,"sacrifice_type_item_for_type_item_with_similar_mods","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Gloves Boots Body_Armour Helmet Rune_Dagger Warstaff Sceptre FOR Amulet",[6987],"",10263,[],"Sacrifice a Weapon or Armour to create an Amulet with similar modifiers","Art/2DItems/Currency/Harvest/RedSeedTier3Hellion.dds","",""
297,"ForgeJewelryJewel_4","<white>{Sacrifice} a <white>{Weapon} or <white>{Armour} to create a <white>{Jewel} with similar modifiers",2,"sacrifice_type_item_for_jewel","Claw Dagger Wand One_Hand_Sword Thrusting_One_Hand_Sword One_Hand_Axe One_Hand_Mace Bow Staff Two_Hand_Sword Two_Hand_Axe Two_Hand_Mace Gloves Boots Body_Armour Helmet Rune_Dagger Warstaff Sceptre",[6987],"",57323,[],"Sacrifice a Weapon or Armour to create a Jewel with similar modifiers","Art/2DItems/Currency/Harvest/RedSeedTier3Hellion.dds","",""
298,"MasterMission_1","<white>{Sacrifice} a <white>{Map} to gain 3 <white>{Alva} Atlas Missions based on its colour",2,"sacrifice_map_for_master_missions","Alva 3","[6987,7114]",1,37322,[],"Sacrifice a Map to gain 3 Alva Atlas Missions based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Beast.dds","",""
299,"MasterMission_2","<white>{Sacrifice} a <white>{Map} to gain 3 <white>{Niko} Atlas Missions based on its colour",2,"sacrifice_map_for_master_missions","Niko 3","[6987,7114]",1,3150,[],"Sacrifice a Map to gain 3 Niko Atlas Missions based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Beast.dds","",""
300,"MasterMission_3","<white>{Sacrifice} a <white>{Map} to gain 3 <white>{Einhar} Atlas Missions based on its colour",2,"sacrifice_map_for_master_missions","Einhar 3","[6987,7114]",1,39790,[],"Sacrifice a Map to gain 3 Einhar Atlas Missions based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Beast.dds","",""
301,"MasterMission_4","<white>{Sacrifice} a <white>{Map} to gain 3 <white>{Jun} Atlas Missions based on its colour",2,"sacrifice_map_for_master_missions","Jun 3","[6987,7114]",1,63159,[],"Sacrifice a Map to gain 3 Jun Atlas Missions based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Beast.dds","",""
302,"MasterMission_5","<white>{Sacrifice} a <white>{Map} to gain 3 <white>{Zana} Atlas Missions based on its colour",2,"sacrifice_map_for_master_missions","Zana 3","[6987,7114]",1,8982,[],"Sacrifice a Map to gain 3 Zana Atlas Missions based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Beast.dds","",""
303,"MasterMission_6","<white>{Sacrifice} a <white>{Map} to gain 1 Atlas Mission for <white>{each Master} based on its colour",2,"sacrifice_map_for_master_missions","ALL 1","[6987,7114]",1,31227,[],"Sacrifice a Map to gain 1 Atlas Mission for each Master based on its colour","Art/2DItems/Currency/Harvest/RedSeedTier3Beast.dds","",""
304,"LeagueCurrencyExchange_1","<white>{Change} a stack of <white>{Fossils} into a different type of Fossil. The new Fossil type may have a smaller stack size.",1,"exchange_item_in_set_for_other_item_in_set","delvefossilssquareroot","[6987,7185]",1,11337,[],"Change a stack of Fossils into a different type of Fossil","Art/2DItems/Currency/Harvest/RedSeedTier2Wolf.dds",1,""
305,"LeagueCurrencyExchange_2","<white>{Change} a stack of <white>{Essences} into a different type of the same tier",1,"exchange_essences_for_other_essence_of_same_tier","","[6987,7185]",1,25592,[],"Change a stack of Essences into a different type of the same tier","Art/2DItems/Currency/Harvest/RedSeedTier2Wolf.dds",1,""
306,"LeagueCurrencyExchange_3","<white>{Change} a stack of <white>{Delirium Orbs} into a different type of Delirium Orb",1,"exchange_item_in_set_for_other_item_in_set","afflictionorbs","[6987,7185]",1,16748,[],"Change a stack of Delirium Orbs into a different type of Delirium Orb","Art/2DItems/Currency/Harvest/RedSeedTier2Wolf.dds",1,""
307,"LeagueCurrencyExchange_4","<white>{Change} a stack of <white>{Oils} into a different colour of Oil",1,"exchange_item_in_set_for_other_item_in_set","mushrune","[6987,7185]",1,62792,[],"Change a stack of Oils into a different colour of Oil","Art/2DItems/Currency/Harvest/RedSeedTier2Wolf.dds",1,""
308,"LeagueCurrencyExchange_5","<white>{Change} a stack of <white>{Catalysts} into a different type of Catalyst",1,"exchange_item_in_set_for_other_item_in_set","metamorphcatalystsspecial","[6987,7185]",1,57677,[],"Change a stack of Catalysts into a different type of Catalyst","Art/2DItems/Currency/Harvest/RedSeedTier2Wolf.dds",1,""
